hospital_name	hospital_id	hospital_url
Memorial Hospital for Cancer and Allied Diseases	memorial-hospital-for-cancer-and-allied-diseases	https://www.mskcc.org/public-notices/chargemaster/download
Memorial Regional Hospital	memorial-regional-hospital	https://www.mhs.net/patients-visitors/billing/charges
Methodist Healthcare Hospital (Memphis)	methodist-healthcare-hospital-(memphis)	https://www.methodisthealth.org/patients-guests/billing-department.dot
Methodist Hospital (San Antonio)	methodist-hospital-(san-antonio)	https://sahealth.com/about/legal/detail-price-list.dot
Milton S. Hershey Medical Center	milton-s.-hershey-medical-center	https://hmc.pennstatehealth.org/patients-families-and-visitors/billing-and-medical-records/request-a-price-estimate
Montefiore Medical Center	montefiore-medical-center	https://www.montefiore.org/information-about-charges
Morristown Memorial Hospital	morristown-memorial-hospital	https://www.atlantichealth.org/patients-visitors/insurance/out-network-insurance.html
Mount Sinai Health System – Beth Israel	mount-sinai-health-system-–-beth-israel	https://www.mountsinai.org/about/insurance/cm-faq-msl
Mount Sinai Hospital	mount-sinai-hospital	https://www.mountsinai.org/about/insurance/cm-faq-msh
New York Presbyterian Hospital	new-york-presbyterian-hospital	https://www.nyp.org/patients-and-visitors/paying-for-care
New York University Hospitals Center	new-york-university-hospitals-center	https://med.nyu.edu/standard-charges/form/price-transparency-info-download/confirmation?token=B9bGu4DLNzR-ly23TGOd4NYWvFewtJ6m1K_jDE7nsD8
North Carolina Baptist Hospital	north-carolina-baptist-hospital	https://www.wakehealth.edu/Patient-and-Family-Resources/Billing-and-Insurance/Your-Health-Care-Costs
North Shore University Hospital	north-shore-university-hospital	https://www.northwell.edu/billing-and-insurance/price-transparency
Northshore University Health System	northshore-university-health-system	https://www.northshore.org/about-us/billing/standard-hospital-charges/
Northside Hospital	northside-hospital	https://www.northside.com/billing-collections
Northwestern Memorial Hospital	northwestern-memorial-hospital	https://www.nm.org/locations/northwestern-memorial-hospital
Norton Hospitals Inc.	norton-hospitals-inc.	http://search.hospitalpriceindex.com/hospital/Norton-Healthcare/5192
Ochsner Clinic Foundation	ochsner-clinic-foundation	https://www.ochsner.org/patients-visitors/billing-and-financial-services/estimates
Ohio State University Hospital	ohio-state-university-hospital	https://wexnermedical.osu.edu/patient-and-visitor-guide/patient-pricing-lists
Orlando Health	orlando-health	https://www.orlandohealth.com/patients-and-visitors/patient-financial-resources/pricing-transparency-guide
Presbyterian Intercommunity Hospital	presbyterian-intercommunity-hospital	https://www.pihhealth.org/patients-visitors/billing-financial-assistance/cms-hospital-pricing/
Rainbow Babies and Childrens Hospital	rainbow-babies-and-childrens-hospital	https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative
Riverside Methodist Hospital	riverside-methodist-hospital	https://www.ohiohealth.com/patients-and-visitors/paying-for-your-care/cost-of-services/
Robert Wood Johnson University Hospital	robert-wood-johnson-university-hospital	https://www.rwjbh.org/rwj-university-hospital-new-brunswick/billing/charges/
Ronald Reagan UCLA Medical Center	ronald-reagan-ucla-medical-center	https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Rush University Medical Center	rush-university-medical-center	https://www.rush.edu/patients-visitors/patients/pay-your-bill/cost-care
Scott and White Memorial Hospital	scott-and-white-memorial-hospital	https://www.bswhealth.com/patient-tools/patient-registration-and-billing/estimate-your-cost-care/Pages/default.aspx
Sharp Memorial Hospital	sharp-memorial-hospital	https://www.sharp.com/chargemaster/memorial/
Spectrum Health Hospitals	spectrum-health-hospitals	https://www.spectrumhealth.org/about-us/average-prices-for-grand-rapids-area
St. Francis Medical Center	st.-francis-medical-center	https://www.sfmc.net/billing/price-transparency/
St. Joseph’s Hospital (Tampa)	st.-joseph’s-hospital-(tampa)	https://baycare.org/billing-and-insurance?h=%7BE8674E87-55E2-4279-8327-5C27406EE723%7D
St. Joseph’s Hospital and Medical Center	st.-joseph’s-hospital-and-medical-center	https://www.dignityhealth.org/arizona/locations/stjosephs/patients-and-visitors/for-patients/billing-payment-information
St. Luke’s Hospital (Pennsylvania)	st.-luke’s-hospital-(pennsylvania)	https://www.slhn.org/billpay/patient-billing/standard-charges-for-services-provided
St. Luke’s Hospital (San Francisco)	st.-luke’s-hospital-(san-francisco)	https://www.sutterhealth.org/for-patients/health-care-costs-and-charges
Stanford Hospitals and Clinics	stanford-hospitals-and-clinics	https://oshpd.ca.gov/data-and-reports/cost-transparency/hospital-chargemasters/2018-chargemasters/
Sunrise Hospital and Medical Center	sunrise-hospital-and-medical-center	https://sunrisehospital.com/about/legal/detail-price-list.dot
Swedish Medical Center	swedish-medical-center	https://swedishhospital.com/about/legal/detail-price-list.dot
Tampa General Hospital	tampa-general-hospital	https://www.tgh.org/patients-visitors/financial-information/hospital-services-and-charges
Temple University Hospital	temple-university-hospital	https://tuh.templehealth.org/content/pricing-info.htm
The Childrens Hospital of Philadelphia	the-childrens-hospital-of-philadelphia	https://www.chop.edu/centers-programs/billing-and-insurance/understanding-hospital-charges
The Methodist Hospital (Houston)	the-methodist-hospital-(houston)	https://www.houstonmethodist.org/for-patients/patient-resources/billing-insurance/charge-description-master/
Thomas Jefferson University Hospital	thomas-jefferson-university-hospital	https://hospitals.jefferson.edu/patients-and-visitors/charge-description-master.html
UC Davis Medical Center	uc-davis-medical-center	https://health.ucdavis.edu/newsroom/public-records/chargemaster.html
UC Irvine Medical Center	uc-irvine-medical-center	http://www.ucihealth.org/patients-visitors/pricing-transparency
UC San Diego Medical Center	uc-san-diego-medical-center	https://health.ucsd.edu/patients/billing/standard-charges/Pages/default.aspx
UC San Francisco Medical Center	uc-san-francisco-medical-center	https://www.ucsfhealth.org/about/pricing-transparency/
University Hospital (Lexington)	university-hospital-(lexington)	https://ukhealthcare.uky.edu/uk-healthcare-rates
University Hospitals Case Medical Center	university-hospitals-case-medical-center	https://www.uhhospitals.org/patients-and-visitors/billing-insurance-and-medical-records/cms-medicare-price-transparency-initiative
University of Wisconsin Madison Hospitals and Clinics	university-of-wisconsin-madison-hospitals-and-clinics	https://www.uwhealth.org/billing-and-insurance/priceline-pricing-costs/30091
University of Alabama Hospital	university-of-alabama-hospital	https://www.uabmedicine.org/billing-insurance-and-medical-records
University of Chicago Hospitals	university-of-chicago-hospitals	http://search.hospitalpriceindex.com/hospital/the-university-of-chicago-medical-center/5342
University of Colorado Hospital	university-of-colorado-hospital	https://www.uchealth.org/billing-and-pricing-information/
University of Florida Health Shands	university-of-florida-health-shands	https://ufhealth.org/pricing-transparency
University of Iowa Hospitals and Clinics	university-of-iowa-hospitals-and-clinics	https://uihc.org/hospital-services-and-charges
University of Kansas Hospitals	university-of-kansas-hospitals	https://www.kansashealthsystem.com/patient-visitor/insurance-billing-financial-support/services-fees/charge-descriptions
University of Massachusetts Memorial Medical Center	university-of-massachusetts-memorial-medical-center	https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/patients-visitors/patient-resources/healthalliance-clinton-pricing-list
University of Michigan Hospitals and Health Centers	university-of-michigan-hospitals-and-health-centers	https://www.uofmhealth.org/michigan-medicine-standard-charges
University of Minnesota Medical Center	university-of-minnesota-medical-center	https://www.fairview.org/billing/fairview-patient-billing
University of North Carolina Hospital	university-of-north-carolina-hospital	https://www.unchealthcare.org/about-us/billing-and-financial-assistance/chargemaster/
University of Oklahoma Medical Center	university-of-oklahoma-medical-center	https://www.oumedicine.com/oumedicine/primary-care/patients-visitors/hospital-financial-assistance/hospital-charges
University of Pittsburgh Medical Center Presbyterian Shadyside	university-of-pittsburgh-medical-center-presbyterian-shadyside	https://www.upmc.com/locations/hospitals/mckeesport/patients-visitors/patient-information/cdm
University of Texas MD Anderson Cancer Center	university-of-texas-md-anderson-cancer-center	https://www.mdanderson.org/patients-family/becoming-our-patient/planning-for-care/insurance-billing-financial-support/health-care-disclosures.html
University of Virginia Medical Center	university-of-virginia-medical-center	https://uvahealth.com/services/billing-insurance/common-prices
Vanderbilt University Medical Center	vanderbilt-university-medical-center	https://finance.vumc.org/chargemaster/
VCU Health System MCV Hospital	vcu-health-system-mcv-hospital	https://www.vcuhealth.org/locations/vcu-medical-center/billing-and-insurance/price-transparency
West Jersey Health System	west-jersey-health-system	https://www.virtua.org/patient-tools/hospital-charges-information
Westchester Medical Center	westchester-medical-center	https://www.westchestermedicalcenter.com/billing-insurance-and-financial-assistance
William Beaumont Hospital – Royal Oak	william-beaumont-hospital-–-royal-oak	https://www.beaumont.org/patients-families/billing/pricing
Winthrop University Hospital	winthrop-university-hospital	https://www.nyuwinthrop.org/standard-charges
Yale New Haven Hospital	yale-new-haven-hospital	https://www.ynhh.org/patients-visitors/billing-insurance/pricing.aspx
