Description, Amount 
"A-GRAM, EXT UPPER/LOWER, UNI S&I","$5,410.00 "
AICD OTHER THAN SINGLE/DUAL CHAMBER," 46,797.74 "
AIRWAY ADAPTER-END TIDAL CO2,$15.00 
"AIRWAY, LARYNGEAL MASK",$15.00 
ALBUMIN (RL),$29.00 
"ALBUMIN, BODY FLUID - RL",$30.00 
"ALBUMIN, BODY FLUID (QUANT)",$30.00 
"albumin, human 25 % intravenous solution", 186.75 
"albumin, human 5 % intravenous solution", 176.38 
ALBUMIN-SERUM,$29.00 
albuterol sulfate 2 mg/5 mL syrup, 76.68 
albuterol sulfate 2.5 mg/3 mL (0.083 %) solution for nebulization, 2.00 
albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization, 2.25 
albuterol sulfate HFA 90 mcg/actuation aerosol inhaler, 117.12 
"ALCOHOL, BLOOD (MEDICAL)",$61.00 
"ALCOHOL, URINE MEDICAL",$49.00 
ALDOLASE,$56.00 
ALDOSTERONE- SERUM,$230.00 
ALK PHOS ISOENZYMES,$8.00 
"ALK PHOS, TOTAL",$3.00 
ALK-2P23 BY FISH,$370.00 
ALKALINE PHOSPHATASE,$30.00 
"ALKALINE PHOSPHATASE, BONE SPE-RL",$30.00 
ALLERGY PATCH TEST,$81.00 
"ALLODERM, PER SQ CM"," 13,971.86 "
allopurinol 100 mg Tab, 2.31 
allopurinol 100 mg tablet, 2.00 
allopurinol 300 mg tablet, 2.00 
ALPHA FETOPROTEIN (TUMOR MARK),$96.00 
ALPHA GLOBIN GENE ANALYSIS,$642.00 
ALPHA-1-ANTITRYPSIN,$77.00 
ALPHA1-ANTITRYPSIN PHENOTYPE,$82.00 
ALPHA1-ANTITRYPSIN-RL,$77.00 
"alpha-1-proteinase inhibitor (human) 1,000 mg intravenous solution"," 1,480.00 "
alprazolam 0.25 mg, 2.00 
ALPRAZolam 0.25 mg tablet, 2.00 
ALPRAZolam 0.5 mg tablet, 2.00 
ALT SGPT,$31.00 
alteplase," 2,376.10 "
alteplase 100 mg intravenous solution," 21,384.87 "
alteplase 2 mg intra-catheter solution, 459.18 
alteplase 50 mg intravenous solution," 13,200.54 "
"alum, ammonium (bulk) powder", 58.10 
ALUMINUM,$179.00 
aluminum chloride 20 % topical solution, 39.22 
aluminum-mag hydroxide-simethicone 200 mg-200 mg-20 mg/5 mL oral susp, 2.30 
ALVEOLOPLASTY,"$4,639.00 "
ALVEOPLASTY W/O EXTRACTION,$56.00 
amantadine HCl 100 mg capsule, 5.05 
AMIKACIN,$67.00 
"amikacin 1,000 mg/4 mL injection solution", 18.38 
amikacin 500 mg/2 mL injection solution, 15.32 
amino acid 4.25 % in 10 % dextrose intravenous solution, 100.00 
amino acid 4.25 % in 25 % dextrose intravenous solution, 205.00 
amino acid 4.25 % in dextrose 5 % intravenous solution, 98.75 
amino acid 5 % in 20 % dextrose intravenous solution, 215.00 
amino acid 5.4 % intravenous solution, 63.13 
amino acids 4.25 % with lytes and calcium in D10W intravenous solution, 170.00 
amino acids 4.25 % with lytes and calcium in D25W intravenous solution, 225.00 
amino acids 5 % with lytes and calcium in D20W intravenous solution, 116.25 
amino acids 5 %-dextrose 15 %-electrolytes intravenous solution, 112.50 
aminocaproic acid 250 mg/mL intravenous solution, 19.65 
aminocaproic acid 500 mg tablet, 39.09 
aminophylline 250 mg/10 mL intravenous solution, 34.10 
"AMINOPHYLLINE, UP TO 250MG",$10.00 
amiodarone 100 mg tablet, 29.67 
"amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose, iso-osmotic IV", 104.00 
amiodarone 200 mg tablet, 4.12 
"amiodarone 360 mg/200 mL (1.8 mg/mL) in dextrose, iso-osmotic IV", 138.50 
amiodarone 50 mg/mL intravenous solution, 10.36 
amitriptyline 10 mg tablet, 2.00 
amitriptyline 25 mg tablet, 2.00 
amitriptyline 50 mg tablet, 2.21 
AMITRIPTYLINE AND NORTRIPTYLINE,$58.00 
"AML FISH, INITIAL PROBES EACH",$103.00 
amLODIPine 10 mg tablet, 2.00 
amLODIPine 2.5 mg tablet, 4.35 
amLODIPine 5 mg tablet, 3.16 
ammonia aromatic 15 % (w/v) solution for inhalation, 2.00 
"AMMONIA, BLOOD",$83.00 
ammonium lactate 12 % lotion, 45.40 
"AMNIOBAND / GUARDIAN, PER SQ CM"," 16,641.18 "
AMNIOTIC MEMBRANE/GRAFT," 4,500.50 "
amoxicillin 125 mg/5 mL oral suspension, 5.80 
amoxicillin 200 mg/5 mL oral suspension, 10.32 
amoxicillin 250 mg capsule, 2.00 
amoxicillin 250 mg/5 mL oral suspension, 10.00 
amoxicillin 250 mg-potassium clavulanate 62.5 mg/5 mL oral suspension, 216.85 
amoxicillin 400 mg/5 mL oral suspension, 11.00 
amoxicillin 400 mg-potassium clavulanate 57 mg/5 mL oral suspension, 87.88 
amoxicillin 500 mg capsule, 2.00 
amoxicillin 500 mg-potassium clavulanate 125 mg tablet, 9.46 
amoxicillin 600 mg-potassium clavulanate 42.9 mg/5 mL oral suspension, 86.16 
amoxicillin 875 mg-potassium clavulanate 125 mg tablet, 12.50 
"AMPHETAMINES CONFIRM, UR",$77.00 
AMPHIPHYSIN AB,$53.00 
amphotericin B 50 mg solution for injection, 114.00 
amphotericin B liposome 50 mg intravenous suspension, 680.19 
ampicillin 1 gram solution for injection, 39.29 
"ampicillin 1 gram Solution for Injection,ampicillin 1 gram intravenous solution", 35.60 
ampicillin 2 gram solution for injection, 37.14 
"ampicillin 2 gram Solution for Injection,ampicillin 2 gram intravenous solution", 81.63 
ampicillin 250 mg solution for injection, 10.00 
ampicillin 500 mg solution for injection, 10.51 
ampicillin-sulbactam 1.5 gram solution for injection, 22.69 
ampicillin-sulbactam 3 gram solution for injection, 30.12 
ampiicillin-sulbactam 3 gram Solution for Injection, 82.80 
AMPUTATE FNGR/THUMB;W/NEURECTOMIES;DIRECT CLOSURE,"$2,770.00 "
AMYLASE,$37.00 
AMYLASE BODY FLUID,$37.00 
ANA TITER,$63.00 
ANAEROBIC ORG ID DEFIN. EACH,$47.00 
anastrozole 1 mg tablet, 6.01 
ANCHOR/SCREW (BONE-TO-BONE/SOFT TISSUE-TO-BONE)," 1,303.97 "
ANDROSTENEDIONE,$166.00 
ANG LOW EXTR BIL W/CATH S&I,"$5,410.00 "
ANG SEL EA ADDL VESSL AFT EXAM,"$1,611.00 "
ANGIOTESIN CONV ENZ,$83.00 
ANKLE 2 VIEWS,$248.00 
ANKLE 3 VIEWS,$248.00 
ANKLE BRACHIAL INDEX W/EXERCIS,$300.00 
ANKLE BRANCHIAL INDEX,$184.00 
"ANSER ADA ANALYSIS, INITIAL","$2,550.00 "
"ANSER IFX ANALYSIS, SUBSEQUENT",$400.00 
ANTI MITOCHONDRIAL AB TITER,$67.00 
ANTI MULLERIAN HORMONE,$74.00 
ANTI PARIETAL CELLAB,$69.00 
ANTI THYROGLOBULIN AB,$91.00 
ANTI-ADALIMUMAB ANTIBODY,$242.00 
ANTIBIOTIC LEVEL,$41.00 
ANTICARDIOLIPIN AB IGA,$67.00 
ANTICARDIOLIPIN AB IGG,$67.00 
ANTICARDIOLIPIN AB IGM,$67.00 
ANTIGEN SCREEN,$23.00 
ANTIGEN SCREEN TEST,$54.00 
"ANTI-GLIAL NUCLEAR AB, TYPE 1",$53.00 
antihemophilic factor 401 unit-800 unit intravenous powdr for solution," 3,192.00 "
"antihemophilic factor 801 unit-1,500 unit intravenous powder for soln"," 5,985.00 "
"antihemophilic factor-vWF 1,000 unit-2,400 unit intravenous solution"," 9,432.00 "
"antihemophilic factor-vWF 1,500 (600 vWF) unit/10 mL intravenous soln"," 5,445.00 "
antihemophilic factor-vWF 250 unit-600 unit intravenous solution," 2,358.00 "
"antihemophilic factor-vWF 500 unit-1,200 unit intravenous solution"," 4,716.00 "
ANTIHISTONE ABY,$6.00 
ANTI-INFLIXIMAB ANTIBODY,$202.00 
ANTIJO1 ANTIBODY,$67.00 
ANTI-LIVER-KIDNEY MICROSOME AB,$83.00 
"ANTI-NEURONAL NUC AB, TYPE 1",$53.00 
"ANTI-NEURONAL NUC AB, TYPE 2",$53.00 
"ANTI-NEURONAL NUC AB, TYPE 3",$53.00 
ANTI-NEUTROPHIL CYTOPLASMIC AB,$65.00 
ANTI-NUCLEAR AB(ANA),$69.00 
ANTI-NUCLEAR DNA AB,$78.00 
ANTI-SMOOTH MUSC AB,$69.00 
ANTI-STREPTOLYSIN O TITER,$42.00 
ANTITHROMBIN ANTIGEN,$60.00 
ANTITHROMBIN III,$68.00 
antithrombin III (human) 500 (+/-) unit intravenous solution," 5,820.00 "
"antivenin Latrodectus mactans 6,000 unit solution for injection", 83.13 
"AORTO ABD+BILAT ILIOFEM,S&I","$5,410.00 "
apixaban 2.5 mg tablet, 20.95 
apixaban 5 mg tablet, 10.48 
"APLIGRAF, PER SQ CM"," 3,405.85 "
"APOLIPOPROTEIN, EACH",$85.00 
APP SPLINT S/FNGR DYNAMC,$7.00 
APPL CAST LONG LEG-CYCLINDER,$387.00 
APPL CAST SHORT LEG-PTB,$437.00 
"APPL OF CAST, LONG LEG WALK/AMB TYPE",$414.00 
APPL SPLINT SHRT ARM DYNAMIC,$182.00 
APPL SPLINT SHRT ARM STATIC-OT,$197.00 
APPLICATION OF UNNA BOOT,$197.00 
"APPLICATION, CAST, LONG ARM",$437.00 
"APPLICATION, CAST, LONG LEG",$437.00 
"APPLICATION, CAST, SHORT ARM",$437.00 
"APPLICATION, CAST, SHORT LEG",$437.00 
"APPLICATION, CAST, SHORT LEG, WALK/AMB TYPE",$437.00 
"APPLICATION, SPLINT, LOWER LEG",$197.00 
"APPLICATION, SPLINT, SHORT ARM, STATIC",$197.00 
APPLY FINGER SPLINT,$197.00 
APPLY LONG ARM SPLINT,$197.00 
APPLY LONG LEG SPLINT,$197.00 
APPY ON BODY INJECTOR; TIMED SQ INJECTIONS,$140.00 
apraclonidine 0.5 % eye drops, 314.60 
aprepitant 7.2 mg/mL intravenous emulsion, 885.02 
APTT MIXING STUDIES,$37.00 
AQUESOUS SHUNT," 2,071.60 "
arformoterol 15 mcg/2 mL solution for nebulization, 48.54 
argatroban 1 mg/mL in 0.9 % sodium chloride intravenous solution," 1,782.63 "
argatroban 100 mg/mL intravenous solution," 3,546.45 "
ARIPiprazole 10 mg tablet, 34.78 
ARIPiprazole 15 mg tablet, 11.89 
ARIPiprazole 5 mg tablet, 33.89 
"ARIPiprazole ER 400 mg intramuscular suspension,extended release"," 6,207.48 "
"ARIPiprazole ER 400 mg suspension, extended rel.intramuscular syringe"," 4,655.61 "
ARSENIC FRACTIONATION,$105.00 
"ARSENIC, BLOOD",$108.00 
"ARSENIC, URINE",$108.00 
ART BLD GAS ANALYS,$29.00 
ART CATH EA 1ST ORDER THORAC,"$3,024.00 "
ART CATH INIT 2 ORDER THORAC,$696.00 
ART CATH INIT 3 ORDER ABDOM,$834.00 
ARTERIAL BLOOD DRAW,$107.00 
ARTERIAL LINE INSERTION,$132.00 
ARTERIAL PUNCTURE,$98.25 
ARTHOCENTESIS; INTERMEDIATE JOINT/BURSA,$952.00 
ARTHOCENTESIS; SMALL JOINT,$476.00 
ARTHROCENTESIS MAJOR JOINT,$476.00 
"ARTHROFLEX, PER SQUARE CENTIMETER"," 6,674.12 "
ARTHROGRAM SHOULDER S&I,$494.00 
"articaine 4 %-epinephrine bitartrate 1:100,000 injection cartridge", 10.00 
artificial tears with lanolin eye ointment, 9.70 
ASC PARING/ CUTTING HYPERKERATOTIC LESION >4,$164.00 
ascorbic acid (vitamin C) 500 mg tablet, 2.00 
ascorbic acid (vitamin C) 500 mg/mL injection solution, 271.50 
ASD/PFO CLOSURE,"$38,877.00 "
asenapine 5 mg sublingual tablet, 60.03 
ASP OR INJ RENAL CYST OR PELVI,"$1,352.00 "
ASP/SUCTION NASOTRACHEAL,$134.00 
ASPERGILLUS AB BY ID,$82.00 
"ASPERGILLUS ANTIGEN, SERUM",$63.00 
ASPIRATION BREAST CYST,"$1,617.00 "
ASPIRATION BREAST CYST EA ADD,$480.00 
"aspirin 25 mg-dipyridamole 200 mg capsule,ext.release 12 hr multiphase", 21.44 
aspirin 300 mg rectal suppository, 3.65 
aspirin 325 mg tablet, 2.00 
"aspirin 325 mg tablet,delayed release", 2.00 
aspirin 600 mg rectal suppository, 3.77 
aspirin 81 mg chewable tablet, 2.00 
"aspirin 81 mg tablet,delayed release", 2.00 
AST SGOT,$30.00 
atazanavir 300 mg capsule, 141.32 
atenolol 25 mg tab, 2.05 
atenolol 25 mg tablet, 2.00 
atenolol 50 mg tablet, 2.08 
"ATHEROCATH, CORONARY CATHETER","$5,806.00 "
atorvastatin 10 mg tablet, 2.00 
atorvastatin 20 mg tablet, 2.00 
atorvastatin 40 mg tablet, 2.30 
atovaquone 750 mg/5 mL oral suspension," 1,187.15 "
atropine 0.1 mg/mL injection syringe, 23.29 
atropine 0.4 mg/mL injection solution, 63.59 
atropine 1 % eye drops, 83.92 
atropine 1 % eye ointment, 49.75 
atropine 1 mg/mL injection solution, 10.00 
"ATROPINE SULFATE, 0.01MG",$1.75 
"AUDITORY OSSEOINTEGRATED DEVICE, ALL"," 5,766.16 "
"AUDITORY OSSEOINTEGRATED DEVICE, EXTERNAL"," 12,265.19 "
AUTO CHONDROCYTES IMPLANT," 115,859.92 "
AVULSION NAIL PLATE SINGLE,$164.00 
azaCITIDine 100 mg solution for injection," 1,678.89 "
azaTHIOprine 50 mg tablet, 4.39 
azelastine 137 mcg (0.1 %) nasal spray aerosol, 263.03 
azithromycin 1 gram oral packet, 72.83 
azithromycin 100 mg/5 mL oral suspension, 87.19 
azithromycin 100 mg/5 mL oral susr, 13.76 
azithromycin 200 mg/5 mL oral suspension, 62.71 
azithromycin 250 mg tablet, 28.56 
azithromycin 500 mg intravenous solution, 25.16 
azithromycin 500 mg IV Solution, 170.36 
azithromycin 600 mg tablet, 19.46 
aztreonam 1 gram Solution for Injection, 104.22 
aztreonam 2 gram Solution for Injection, 194.83 
"B CELLS, TOTAL COUNT",$136.00 
B PERTUSSIS IMMUNOBLOT-EACH AB,$75.00 
bacitracin 500 unit/gram topical ointment, 13.16 
bacitracin zinc 500 unit/gram topical ointment, 10.90 
"bacitracin-polymyxin B 500 unit-10,000 unit/gram topical ointment", 18.00 
baclofen 10 mg Tab, 6.18 
baclofen 10 mg tablet, 2.55 
balanced salt solution combination no.1 intraocular irrigation, 192.50 
balanced salt solution combination no.2 intraocular irrigation, 57.30 
BALLOON DILATOR ENDO,$248.00 
"BALLOON, DILATION (ANY)",$557.00 
"BALLOON, EXTRACTION (ANY)",$384.00 
"BARBITURATES CONFIRM, UR",$102.00 
"barium sulfate 2.1 % (w/v), 2.0 % (w/w) oral suspension", 13.13 
"BARTONELLA AB, IGG",$58.00 
"BARTONELLA AB, IGM",$58.00 
"BARTONELLA PCR, BLOOD",$145.00 
BASIC METABOLIC PANEL(8 TESTS),$49.00 
BCG live 50 mg intravesical suspension, 471.21 
B-complex with vitamin C tablet, 2.00 
"BCR/ABL 1 FISH PROBE, EACH",$107.00 
"BCR/ABL MUTATION, ASPE",$578.00 
BCR/ABL P190 RNA QUANT,$317.00 
BCR/ABL P210 RNA QUANT,$380.00 
BCR/ABL RNA QUAL MAJOR BREAKPT,$180.00 
BCR/ABL RNA QUAL MINOR BREAKPT,$180.00 
BCR/ABL RNA QUAL OTHER BREAKPT,$180.00 
belimumab 120 mg intravenous solution," 1,560.65 "
belimumab 400 mg intravenous solution," 5,134.34 "
belladonna alkaloids-opium 16.2 mg-30 mg rectal suppository, 68.80 
belladonna alkaloids-opium 16.2 mg-60 mg rectal suppository, 83.63 
benazepril 10 mg tablet, 2.38 
benazepril 20 mg tablet, 2.00 
benazepril 40 mg tablet, 2.00 
benazepril 5 mg tablet, 2.63 
bendamustine 100 mg intravenous powder for solution," 8,944.40 "
bendamustine 25 mg/mL intravenous solution," 7,450.40 "
"BENIGN HYPERKERATOTIC SKIN LESION,2",$164.00 
benzocaine 20 % mucosal aerosol spray, 115.82 
benzocaine 20 % mucosal spray, 36.47 
benzoin-aloe vera-storax-tolu balsam 10 %-2 %-8 %-4 % topical tincture, 13.34 
benzonatate 100 mg capsule, 3.77 
benztropine 0.5 mg tablet, 2.58 
benztropine 1 mg tablet, 2.00 
benztropine 2 mg tablet, 2.00 
benztropine 2 mg/2 mL injection solution, 167.97 
"BETA 2 MICROGLOBULIN, CSF",$125.00 
BETA HYDROXYBUTYRATE,$46.00 
BETA LACTAMASE ENZYME DETECT.,$28.00 
"BETA-2 GLYCOPROTEIN, EACH",$6.00 
"BETA-2 MICROGLOBULIN, BLD",$92.00 
"BETA-2 MICROGLOBULIN, URINE",$92.00 
"BETA-2 TRANSFERIN, BF",$98.00 
BETA-HCG QUANTITATIVE (TUMOR MARKER),$105.00 
betamethasone acetate and sodium phos 6 mg/mL suspension for injection, 133.35 
bevacizumab 25 mg/mL intravenous solution," 5,860.25 "
bevacizumab 25 mg/mL IV, 78.78 
bicalutamide 50 mg tablet, 24.17 
"BILIRUBIN, BODY FLUID",$50.00 
"BILIRUBIN, DIRECT",$20.00 
"BILIRUBIN, TOTAL",$20.00 
"BIODEFENCE, PER SQ CM"," 5,296.27 "
BIOPATCH,$15.00 
BIOPS ABD/RETRO MASS,"$1,797.00 "
BIOPSY BONE DEEP,"$1,066.00 "
BIOPSY BONE SUPERFICIAL,$640.91 
BIOPSY BREAST W/O IMAGING,$855.00 
BIOPSY CLIP SUPPLY,$168.00 
BIOPSY KIDNEY,"$1,797.00 "
BIOPSY LYMPH NODES; SUPERFICIAL BY NEEDLE,"$1,000.00 "
BIOPSY OF EYELID,$600.00 
BIOPSY OF SKIN LESION,$287.00 
"BIOPSY OF SKIN, SUBCUT EACH SEPERATE/ADDITIONAL LESION",$164.00 
BIOPSY SOFT TISSUE OF BACK OR FLANK,"$1,355.00 "
BIOPSY TRAY,$64.00 
"BIOPSY, LUNG OR MEDIASTINUM","$1,797.00 "
BIPAP/CPAP DAILY,$264.00 
bisacodyl 10 mg rectal suppository, 2.00 
"bisacodyl 5 mg tablet,delayed release", 2.00 
bismuth subsalicylate 262 mg chewable tablet, 2.00 
bismuth subsalicylate 262 mg/15 mL oral suspension, 2.00 
BK VIRUS DNA QUANTATION,$497.00 
"BK VIRUS, QUANT BY PCR (URINE)",$497.00 
BLADDER INSTILL OF ANTICARCIN AGENT,$562.00 
BLADDER IRRIG SIMP LAVAGE,$376.00 
BLANKET BAIR HUGGER ANY SIZE,$15.00 
BLASTOMYCES AB BY ID,$72.00 
BLD PRODUCT TRANSFUSION/ADMIN (ONE PER DAY),$645.00 
bleomycin 15 unit solution for injection, 47.07 
BLOOD CULTURE,$59.00 
BONE AGE STUDIES,$124.00 
BONE LENGTH STUDIES,$124.00 
BONE MARROW ASP W/ BIOPSY,"$3,545.00 "
BONE MARROW ASPIRATION,$390.00 
BONE MARROW BIOPSY,$640.91 
BONE/JT IMAGING 3 PHASE,$683.00 
BONE/JT IMAGING WHOLE BODY,$683.00 
BORDETELLA PERTUSSIS AB-IGG,$75.00 
BORDETELLA PERTUSSIS AB-IGM,$47.00 
BORDETELLA PERTUSSIS IGA,$57.00 
BORRELIA GARINII/BORRELIA AFZELII PCR,$50.00 
BORRELIA MAYONII PCR,$50.00 
bortezomib 3.5 mg solution for injection," 4,838.00 "
BOVIE PENCIL,$31.00 
BRACY SEED NS IODINE 125, 49.97 
BRACYTHERAPY NEEDLE, 41.20 
BRAF MUTATION,$360.00 
BRAVO PH CAPSULE W/DEL SYSTEM,$573.00 
BREAST SURGICAL SPECIMEN,"$1,042.00 "
brentuximab vedotin 50 mg intravenous solution," 21,323.00 "
brimonidine 0.1 % eye drops, 438.24 
brimonidine 0.15 % eye drops, 433.63 
BRONCH EBUS NEEDLE/SYRINGE,$246.00 
BRONCH W TRB BX W/WO FO,"$1,928.00 "
"BRONCH W/ EBUS, SAMPLING 1 OR 2 NODES, INCL GUIDE","$5,239.00 "
"BRONCH W/TRANSBR NDLE BX,ADD'L","$1,000.00 "
BRONCH W/TRANSBR NEEDLE BX,"$2,000.39 "
BRONCHOSCOPY DX W/WASHING,"$1,390.00 "
BRONCHOSCOPY W BIOPSY,"$1,928.00 "
BRONCHOSCOPY W/BRSH,"$1,543.00 "
"BRONCHOSCOPY, W/ BRNONCHIAL ALVEO LAVAGE","$1,928.00 "
"BRUCELLA AB, EACH",$51.00 
"BRUSH, CYTOLOGY",$283.00 
budesonide 0.25 mg/2 mL suspension for nebulization, 22.37 
budesonide 0.5 mg/2 mL suspension for nebulization, 28.52 
BUFFY COAT,$21.00 
bumetanide 0.25 mg/mL injection solution, 10.00 
bumetanide 0.5 mg tablet, 6.07 
bumetanide 1 mg tablet, 2.69 
bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution, 10.00 
bupivacaine (PF) 0.5 % (5 mg/mL) injection solution, 10.00 
bupivacaine (PF) 0.75 % (7.5 mg/mL) in 8.25 % dextrose injection, 10.68 
bupivacaine (PF) 0.75 % (7.5 mg/mL) injection solution, 10.00 
bupivacaine 0.25 % (2.5 mg/mL) injection solution, 10.00 
bupivacaine 0.5 % (5 mg/mL) injection solution, 10.00 
"bupivacaine 0.5 %-epinephrine bitartrate 1:200,000 injection,cartridge", 10.00 
"bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution", 10.00 
"bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution", 10.00 
"bupivacaine-epinephrine 0.25 %-1:200,000 injection solution", 10.00 
buPROPion HCl 100 mg tablet, 2.84 
"buPROPion HCl SR 150 mg tablet,12 hr sustained-release", 3.18 
"buPROPion HCl XL 150 mg 24 hr tablet, extended release", 12.73 
busPIRone 10 mg tablet, 2.68 
buspirone 2.5 mg tab, 2.00 
busPIRone 5 mg tablet, 2.00 
butalbital-acetaminophen-caffeine 50 mg-325 mg-40 mg tablet, 3.70 
"BX BRST, 1ST LESION, US GUIDANCE","$2,783.00 "
"BX BRST, EA ADD'L LESION, US GUIDANCE","$1,564.00 "
BX ORAL TISSUE SOFT ALL OTHERS,$67.00 
"BX, LIVER-PERC NEEDLE","$1,797.00 "
C DIFFICILE TOXIN,$69.00 
C PEPTIDE,$118.00 
C. DIFFICILE ANTIGEN,$69.00 
C. DIFFICILE TOXIN BY PCR,$183.00 
C. PNEUMONIAE IGG,$68.00 
C. PNEUMONIAE IGM,$70.00 
C. PSITTACI IGG,$68.00 
C. PSITTACI IGM,$70.00 
"C. TRACH, MISC, AMPLIFIED RNA",$221.00 
C. TRACHOMATIS IGG,$68.00 
C. TRACHOMATIS IGM,$70.00 
C1 ESTERASE INHIB - RL,$27.00 
"C1 ESTERASE INHIB AG, S",$38.00 
C1 ESTERASE INHIB FUNCT - RL,$80.00 
C1Q COMPL QUANT,$138.00 
CA 125 (CANCER ANTIGEN 125),$118.00 
CA 19-9,$118.00 
cabazitaxel 10 mg/mL (first dilution) intravenous solution," 78,612.28 "
"CADMIUM, BLOOD",$125.00 
"CADMIUM, URINE",$125.00 
calamine 8 %-zinc oxide 8 % lotion, 10.62 
calamine lotion, 10.62 
CALCANEUS,$124.00 
