Description, Amount 
ADALIMUMAB CONCENTRATION,$242.00 
"ADAPTOR,EXTENSION, PACING/NEUROSTIM LEAD"," 6,755.08 "
adenosine (diagnostic) 3 mg/mL intravenous solution, 705.07 
adenosine 3 mg/mL intravenous solution, 36.01 
adenosine 3 mg/mL intravenous syringe, 73.63 
"ADENOVIRUS AG, EIA",$345.00 
ADHESION BARRIER, 847.79 
"ADSORPTION TECHNIQUE, EACH",$78.00 
AERIS PRESSURE WIRE,"$2,171.00 "
"AEROBIC ORG ID DEFINITIVE, EA",$49.00 
AEROBIKA DEVICE,$129.00 
AEROSOL /IPPB/MDI TREATMENT,$151.00 
AEROSOL TREATMENT,$151.00 
A-GRAM + NON-SEL AORTIC ARCH,"$3,808.00 "
"A-GRAM, ABD, S&I","$2,305.00 "
"A-GRAM, EXT UPPER/LOWER, UNI S&I","$2,305.00 "
AICD OTHER THAN SINGLE/DUAL CHAMBER," 53,381.45 "
"AIRWAY, LMA",$109.00 
ALBUMIN (RL),$43.00 
"ALBUMIN, BODY FLUID - RL",$44.00 
"ALBUMIN, BODY FLUID (QUANT)",$84.00 
"albumin, human 25 % intravenous solution", 310.54 
"albumin, human 5 % intravenous solution", 229.88 
ALBUMIN-SERUM,$56.00 
albuterol sulfate 2 mg/5 mL syrup, 54.81 
albuterol sulfate 2.5 mg/3 mL (0.083 %) solution for nebulization, 2.00 
albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization, 3.15 
albuterol sulfate HFA 90 mcg/actuation aerosol inhaler, 198.14 
"ALCOHOL, BLOOD (MEDICAL)",$74.00 
"ALCOHOL, URINE MEDICAL",$49.00 
ALDOLASE,$124.00 
ALDOSTERONE- SERUM,$325.00 
"ALDOSTERONE, URINE",$278.00 
alendronate 10 mg tablet, 10.23 
alendronate 35 mg tablet, 2.00 
alendronate 70 mg tablet, 71.62 
aliskiren 150 mg tablet, 23.11 
ALK PHOS ISOENZYMES,$99.00 
"ALK PHOS, TOTAL",$41.00 
ALKALINE PHOSPHATASE,$56.00 
"ALKALINE PHOSPHATASE, BONE SPE-RL",$125.00 
"ALLODERM, PER SQ CM"," 16,600.15 "
allopurinol 100 mg tablet, 2.00 
allopurinol 300 mg tablet, 2.00 
ALPHA FETOPROTEIN (TUMOR MARK),$188.00 
ALPHA I ANTITRYPSIN (STOOL),$86.00 
ALPHA-1-ANTITRYPSIN,$92.00 
ALPHA1-ANTITRYPSIN PHENOTYPE,$141.00 
ALPHA1-ANTITRYPSIN-RL,$39.00 
alprazolam 0.25 mg, 2.00 
ALPRAZolam 0.25 mg tablet, 2.11 
ALPRAZolam 0.5 mg tablet, 2.00 
ALT SGPT,$69.00 
alteplase," 3,345.54 "
alteplase 100 mg intravenous solution," 29,957.82 "
alteplase 2 mg intra-catheter solution, 661.85 
alteplase 50 mg intravenous solution," 18,499.76 "
ALUMINUM,$208.00 
aluminum-mag hydroxide-simethicone 200 mg-200 mg-20 mg/5 mL oral susp, 4.88 
aluminum-mag hydroxide-simethicone 400 mg-400 mg-40 mg/5 mL oral susp, 9.70 
amantadine HCl 100 mg capsule, 9.68 
amantadine HCl 50 mg/5 mL oral solution, 70.67 
AMBU BAG ADULT/PED,$27.00 
"AMBULANCE ADVANCED LIFE SUPPORT, LEVEL 2","$1,280.00 "
AMBULANCE EMERGENT-ALS,"$1,764.00 "
AMBULANCE EMERGENT-BLS,$998.00 
AMBULANCE MILEAGE,$42.00 
AMBULANCE MILEAGE 1/10 MI,$5.00 
AMBULANCE NON EMERG-ALS,"$1,428.00 "
AMBULANCE NON EMERG-BLS,$789.00 
amikacin 500 mg/2 mL injection solution, 44.74 
aMILoride 5 mg tablet, 2.00 
amino acid 4.25 % in 10 % dextrose intravenous solution, 159.00 
amino acid 4.25 % in 25 % dextrose intravenous solution, 159.00 
amino acid 4.25 % in dextrose 5 % intravenous solution, 157.25 
amino acid 5 % in 20 % dextrose intravenous solution, 320.00 
amino acid 5.4 % intravenous solution, 88.38 
amino acids 4.25 % with lytes and calcium in D10W intravenous solution, 238.00 
amino acids 4.25 % with lytes and calcium in D5W intravenous solution, 294.00 
amino acids 5 % with lytes and calcium in D25W intravenous solution, 341.00 
aminophylline 250 mg/10 mL intravenous solution, 66.74 
aminophylline 500 mg/20 mL intravenous solution, 48.40 
AMIODARONE,$99.00 
amiodarone 100 mg tablet, 26.01 
"amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose, iso-osmotic IV", 164.60 
amiodarone 200 mg tablet, 12.40 
"amiodarone 360 mg/200 mL (1.8 mg/mL) in dextrose, iso-osmotic IV", 212.90 
amiodarone 50 mg/mL intravenous solution, 29.00 
amitriptyline 10 mg tablet, 2.00 
amitriptyline 25 mg tablet, 2.12 
amitriptyline 75 mg tablet, 2.00 
amLODIPine 10 mg tablet, 2.04 
amLODIPine 2.5 mg tablet, 6.05 
amLODIPine 5 mg tablet, 3.02 
ammonia aromatic 15 % (w/v) solution for inhalation, 2.00 
"AMMONIA, BLOOD",$138.00 
ammonium lactate 12 % lotion, 26.42 
"AMNIOBAND / GUARDIAN, PER SQ CM"," 18,982.34 "
AMNIOTIC MEMBRANE/GRAFT," 5,399.56 "
amoxicillin 125 mg/5 mL oral suspension, 12.60 
amoxicillin 250 mg capsule, 2.00 
amoxicillin 250 mg-potassium clavulanate 125 mg tablet, 20.71 
amoxicillin 250 mg-potassium clavulanate 62.5 mg/5 mL oral suspension, 303.59 
amoxicillin 500 mg-potassium clavulanate 125 mg tablet, 13.25 
amoxicillin 875 mg-potassium clavulanate 125 mg tablet, 17.68 
"amoxicillin-potassium clavulanate 1,000 mg-62.5 mg tablet,ext.rel 12hr", 28.15 
AMPHIPHYSIN AB,$53.00 
amphotericin B 50 mg solution for injection, 178.60 
ampicillin 1 gram solution for injection, 43.78 
"ampicillin 1 gram Solution for Injection,ampicillin 1 gram intravenous solution", 45.84 
ampicillin 2 gram solution for injection, 58.78 
"ampicillin 2 gram Solution for Injection,ampicillin 2 gram intravenous solution", 110.29 
ampicillin 250 mg capsule, 2.00 
ampicillin 250 mg solution for injection, 29.00 
ampicillin 250 mg/5 mL oral suspension, 49.35 
ampicillin 500 mg capsule, 2.06 
ampicillin 500 mg solution for injection, 31.53 
ampicillin-sulbactam 1.5 gram solution for injection, 64.83 
ampicillin-sulbactam 3 gram solution for injection, 60.74 
ampiicillin-sulbactam 3 gram Solution for Injection, 111.92 
AMYLASE,$110.00 
ANA TITER,$87.00 
ANAEROBIC ORG ID DEFIN. EACH,$126.00 
anagrelide 0.5 mg capsule, 39.07 
anastrozole 1 mg tablet, 15.27 
ANCHOR/SCREW (BONE-TO-BONE/SOFT TISSUE-TO-BONE)," 1,488.26 "
ANDROSTENEDIONE,$198.00 
ANESTHESIA 1ST 15 MINUTES,$778.00 
ANESTHESIA EA ADD 15 MINS,$261.00 
ANG LOW EXTR BIL W/CATH S&I,"$1,983.00 "
ANGIO CAROTID EXTERNAL UNILATERAL,$825.00 
ANGIO THROMBOLYSIS SUBSEQUENT DAY,$827.00 
ANGIO THROMBOLYSIS SUBSEQUENT DAY W/ CATH REMOVAL,$486.00 
ANGIOTESIN CONV ENZ,$129.00 
ANKLE 2 VIEWS,$208.00 
ANKLE 3 VIEWS,$231.00 
ANKLE BRANCHIAL INDEX,$357.00 
ANTI MITOCHONDRIAL AB TITER,$176.00 
ANTI MULLERIAN HORMONE,$154.00 
ANTI THYROGLOBULIN AB,$179.00 
ANTI-ADALIMUMAB ANTIBODY,$242.00 
ANTICARDIOLIPIN AB IGA,$80.00 
ANTICARDIOLIPIN AB IGG,$80.00 
ANTICARDIOLIPIN AB IGM,$80.00 
ANTIGEN SCREEN,$24.00 
ANTIGEN SCREEN TEST,$195.00 
"ANTI-GLIAL NUCLEAR AB, TYPE 1",$53.00 
ANTI-INFLIXIMAB ANTIBODY,$202.00 
ANTIJO1 ANTIBODY,$84.00 
ANTI-LIVER-KIDNEY MICROSOME AB,$133.00 
"ANTI-NEURONAL NUC AB, TYPE 1",$53.00 
"ANTI-NEURONAL NUC AB, TYPE 2",$53.00 
"ANTI-NEURONAL NUC AB, TYPE 3",$53.00 
ANTI-NEUTROPHIL CYTOPLASMIC AB,$193.00 
ANTI-NUCLEAR AB(ANA),$117.00 
ANTI-NUCLEAR DNA AB,$56.00 
ANTI-SMOOTH MUSC AB,$176.00 
ANTI-STREPTOLYSIN O TITER,$110.00 
ANTITHROMBIN III,$293.00 
"AORTO ABD+BILAT ILIOFEM,S&I","$2,544.00 "
apixaban 2.5 mg tablet, 29.33 
apixaban 5 mg tablet, 14.67 
"APLIGRAF, PER SQ CM"," 3,885.00 "
APP SPLINT S/FNGR DYNAMC,$168.00 
APPL SPLINT SHRT ARM STATIC-OT,$274.00 
APPLICATION OF INTERDENTAL FIXATION DEVICE,"$3,415.00 "
APPLICATION OF UNNA BOOT,$180.00 
"APPLICATION, SPLINT, LOWER LEG",$358.00 
"APPLICATION, SPLINT, SHORT ARM, STATIC",$274.00 
APPLY FINGER SPLINT,$168.00 
APPLY LONG ARM SPLINT,$357.00 
APPLY LONG LEG SPLINT,$357.00 
APPLY MULTILAY COMPRS LWR LEG,$375.00 
AQUESOUS SHUNT," 2,363.05 "
argatroban 100 mg/mL intravenous solution," 4,984.03 "
ARIPiprazole 15 mg tablet, 14.85 
ARIPiprazole 2 mg tablet, 112.39 
ARIPiprazole 30 mg tablet, 26.46 
ARIPiprazole 5 mg tablet, 46.60 
"ARIPiprazole ER 400 mg intramuscular suspension,extended release"," 7,543.07 "
ARROW CATHERIZATION KIT,$60.00 
"ARSENIC, BLOOD",$181.00 
ART BLD GAS ANALYS,$241.00 
ART CATH EA 1ST ORDER THORAC,"$5,091.00 "
ART CATH INIT 3 ORDER ABDOM,"$7,269.00 "
ARTERIAL BLOOD DRAW,$68.00 
ARTERIAL LINE INSERTION,$433.00 
ARTERIAL PUNCTURE,$99.00 
"ARTERIAL STENT, XCRANIAL VERTEBRAL/ THORACIC CAROTIDL","$3,785.00 "
ARTHOCENTESIS; INTERMEDIATE JOINT/BURSA,"$1,342.00 "
ARTHROCENTESIS MAJOR JOINT,$656.00 
"ARTHROFLEX, PER SQUARE CENTIMETER"," 7,613.06 "
ARTHROGRAM HIP S&I,$748.00 
ARTHROGRAM SHOULDER S&I,$616.00 
artificial tears with lanolin eye ointment, 13.59 
ascorbic acid (vitamin C) 500 mg tablet, 2.00 
ascorbic acid (vitamin C) 500 mg/mL injection solution, 399.10 
asenapine 5 mg sublingual tablet, 84.06 
ASP/SUCTION NASOTRACHEAL,$151.00 
"aspirin 25 mg-dipyridamole 200 mg capsule,ext.release 12 hr multiphase", 30.40 
aspirin 300 mg rectal suppository, 5.10 
aspirin 325 mg tablet, 2.00 
"aspirin 325 mg tablet,delayed release", 2.00 
aspirin 81 mg chewable tablet, 2.00 
"aspirin 81 mg tablet,delayed release", 2.00 
aspirin-acetaminophen-caffeine 250 mg-250 mg-65 mg tablet, 2.00 
AST SGOT,$56.00 
atazanavir 150 mg capsule, 204.86 
atenolol 25 mg tab, 2.86 
atenolol 25 mg tablet, 2.40 
atenolol 50 mg tablet, 2.00 
"ATERIAL THROMBOLYTIC INFUSION, INITIAL DAY, S&I","$1,339.00 "
ATHERECT W/DES SINGLE,"$2,004.00 "
ATHERECTOMY ILIAC ANASTOMOSIS,"$3,451.00 "
ATHERECTOMY W/ STENT,"$2,220.00 "
atorvastatin 10 mg tablet, 2.00 
atorvastatin 40 mg tablet, 2.00 
atracurium 10 mg/mL intravenous solution, 79.06 
atropine 0.1 mg/mL injection syringe, 57.33 
atropine 0.4 mg/mL injection solution, 49.63 
atropine 1 % eye drops, 155.98 
atropine 1 % eye ointment, 69.65 
"AUDITORY OSSEOINTEGRATED DEVICE, ALL"," 6,577.37 "
"AUDITORY OSSEOINTEGRATED DEVICE, EXTERNAL"," 13,990.72 "
AUTO - ABSORPTION EACH,$362.00 
AUTO CHONDROCYTES IMPLANT," 132,159.60 "
azaTHIOprine 50 mg tablet, 8.21 
azelastine 137 mcg (0.1 %) nasal spray aerosol, 368.24 
azithromycin 200 mg/5 mL oral suspension, 366.32 
azithromycin 250 mg tablet, 24.24 
azithromycin 500 mg intravenous solution, 69.26 
azithromycin 500 mg IV Solution, 234.50 
aztreonam 1 gram Solution for Injection, 147.67 
aztreonam 2 gram Solution for Injection, 288.22 
B PERTUSSIS IMMUNOBLOT-EACH AB,$125.00 
"bacitracin 50,000 unit intramuscular solution", 61.19 
bacitracin 500 unit/gram topical ointment, 12.59 
bacitracin 500 unit/gram topical packet, 2.00 
bacitracin zinc 500 unit/gram topical ointment, 9.16 
bacitracin zinc 500 unit/gram topical packet, 2.00 
"bacitracin-polymyxin B 500 unit-10,000 unit/gram topical ointment", 26.51 
baclofen 10 mg Tab, 8.65 
baclofen 10 mg tablet, 2.00 
balanced salt solution combination no.1 intraocular irrigation, 288.50 
BALLOON ANGIO CATHETER,$259.00 
BALLOON CATH NC STORMER,$535.00 
"BALLOON, AMPHRION","$1,292.00 "
"BALLOON, ANGIOSCULPT/ CORDIS","$2,200.00 "
"BALLOON, DILATION (ANY)",$640.00 
"BARTONELLA AB, IGG",$125.00 
"BARTONELLA AB, IGM",$73.00 
"BARTONELLA PCR, BLOOD",$145.00 
BASIC METABOLIC PANEL(8 TESTS),$301.00 
beclomethasone dipropionate 40 mcg/actuation aerosol inhaler, 4.56 
beclomethasone dipropionate 80 mcg/actuation aerosol inhaler, 2.00 
BEHAVRAL & QUAL ANALYSIS OF VOICE AND RESONANCE,$324.00 
belladonna alkaloids-opium 16.2 mg-30 mg rectal suppository, 96.31 
benazepril 10 mg tablet, 3.33 
benazepril 5 mg tablet, 3.17 
benzocaine 20 % mucosal gel, 20.87 
benzocaine 20 % mucosal spray, 44.75 
benzonatate 100 mg capsule, 4.44 
benzoyl peroxide 10 % topical gel, 24.25 
benztropine 0.5 mg tablet, 4.12 
benztropine 1 mg tablet, 2.04 
benztropine 2 mg tablet, 2.00 
benztropine 2 mg/2 mL injection solution, 438.89 
BETA HYDROXYBUTYRATE,$56.00 
BETA LACTAMASE ENZYME DETECT.,$53.00 
"BETA-2 GLYCOPROTEIN, EACH",$90.00 
"BETA-2 MICROGLOBULIN, BLD",$110.00 
BETA-HCG QUANTITATIVE (TUMOR MARKER),$149.00 
betamethasone acetate and sodium phos 6 mg/mL suspension for injection, 205.69 
betamethasone dipropionate 0.05 % topical cream, 184.91 
betamethasone valerate 0.1 % topical ointment, 71.19 
"betaxolol 0.25 % eye drops,suspension"," 1,304.24 "
betaxolol 0.5 % eye drops, 221.94 
bethanechol chloride 10 mg tablet, 3.50 
bethanechol chloride 25 mg tablet, 2.00 
bicalutamide 50 mg tablet, 64.87 
"BILE ACIDS, TOTAL",$117.00 
"BILIRUBIN, DIRECT",$56.00 
"BILIRUBIN, TOTAL",$123.00 
bimatoprost 0.01 % eye drops, 755.49 
bimatoprost 0.03 % eye drops, 12.57 
"BIODEFENCE, PER SQ CM"," 6,041.37 "
BIPAP/CPAP DAILY,$448.00 
bisacodyl 10 mg rectal suppository, 2.00 
"bisacodyl 5 mg tablet,delayed release", 2.00 
bismuth subsalicylate 262 mg/15 mL oral suspension, 2.00 
bisoprolol 2.5 mg-hydrochlorothiazide 6.25 mg tablet, 3.95 
bisoprolol fumarate 5 mg tablet, 2.26 
bivalirudin 250 mg intravenous solution," 4,041.34 "
BK VIRUS DNA QUANTATION,$312.00 
BLD PRODUCT TRANSFUSION/ADMIN (ONE PER DAY),"$1,587.00 "
BLOOD CULTURE,$171.00 
BLOOD FLOW VELOCITY,"$1,113.00 "
BLOOD FLOW VELOCITY EA ADD VES,$780.00 
BONE AGE STUDIES,$124.00 
BONE/JT IMAGING 3 PHASE,"$1,293.00 "
BONE/JT IMAGING LTD,$593.00 
BONE/JT IMAGING WHOLE BODY,"$1,068.00 "
BORDETELLA DETECTION BY PCR,$264.00 
BORDETELLA PERTUSSIS AB-IGG,$47.00 
BORDETELLA PERTUSSIS AB-IGM,$47.00 
BORDETELLA PERTUSSIS IGA,$57.00 
BRACY SEED NS IODINE 125, 57.00 
BRACYTHERAPY NEEDLE, 47.00 
brimonidine 0.1 % eye drops, 6.13 
brimonidine 0.15 % eye drops, 560.04 
brimonidine 0.2 % eye drops, 63.46 
brimonidine-timolol 0.2 %-0.5 % eye drops," 1,014.54 "
"brinzolamide 1 % eye drops,suspension"," 1,199.28 "
bromocriptine 2.5 mg tablet, 14.48 
BUDDY TAPING TOES,$164.00 
budesonide 0.25 mg/2 mL suspension for nebulization, 34.17 
budesonide 0.5 mg/2 mL suspension for nebulization, 38.78 
budesonide 180 mcg/actuation breath activated powder inhaler, 963.90 
budesonide-formoterol HFA 160 mcg-4.5 mcg/actuation aerosol inhaler, 933.83 
budesonide-formoterol HFA 80 mcg-4.5 mcg/actuation aerosol inhaler, 811.78 
bumetanide 0.25 mg/mL injection solution, 29.00 
bumetanide 0.5 mg tablet, 3.64 
bumetanide 1 mg tablet, 2.40 
bupivacaine (PF) 0.25 % (2.5 mg/mL) injection solution, 29.20 
bupivacaine (PF) 0.5 % (5 mg/mL) injection solution, 29.00 
bupivacaine (PF) 0.75 % (7.5 mg/mL) in 8.25 % dextrose injection, 29.00 
bupivacaine (PF) 0.75 % (7.5 mg/mL) injection solution, 29.00 
"bupivacaine 0.5 %-epinephrine bitartrate 1:200,000 injection,cartridge", 10.00 
bupivacaine liposome(PF) 1.3 %(13.3 mg/mL) suspension for infiltration," 1,342.00 "
"bupivacaine-epinephrine (PF) 0.25 %-1:200,000 injection solution", 30.97 
"bupivacaine-epinephrine (PF) 0.5 %-1:200,000 injection solution", 29.00 
buprenorphine 2 mg-naloxone 0.5 mg sublingual tablet, 20.39 
buprenorphine 8 mg-naloxone 2 mg sublingual film, 34.22 
buprenorphine 8 mg-naloxone 2 mg sublingual tablet, 9.12 
"BUPRENORPHINE ANALYSIS, URINE - RL",$65.00 
BUPRENORPHINE AND METABOLITE,$168.00 
buPROPion HCl 100 mg tablet, 4.44 
buPROPion HCl 75 mg tablet, 4.51 
"buPROPion HCl SR 100 mg tablet,12 hr sustained-release", 5.87 
"buPROPion HCl SR 150 mg tablet,12 hr sustained-release", 3.26 
"buPROPion HCl XL 150 mg 24 hr tablet, extended release", 17.05 
busPIRone 10 mg tablet, 3.14 
buspirone 2.5 mg tab, 2.70 
busPIRone 5 mg tablet, 2.70 
busPIRone 7.5 mg tablet, 2.55 
butalbital-acetaminophen-caffeine 50 mg-325 mg-40 mg tablet, 6.37 
butalbital-aspirin-caffeine 50 mg-325 mg-40 mg capsule, 5.95 
butamben-tetracaine-benzocaine 2 %-2 %-14 % (200 mg/sec) topical spray, 264.98 
butorphanol tartrate 2 mg/mL injection solution, 29.00 
C DIFFICILE TOXIN,$174.00 
C PEPTIDE,$218.00 
C. DIFFICILE ANTIGEN,$115.00 
C. DIFFICILE TOXIN BY PCR,$154.00 
C1 ESTERASE INHIB - RL,$197.00 
CA 125 (CANCER ANTIGEN 125),$160.00 
CA 153,$171.00 
CA 19-9,$182.00 
"CADMIUM, BLOOD",$155.00 
calamine 8 %-zinc oxide 8 % lotion, 6.20 
CALCANEUS,$175.00 
CALCITONIN,$180.00 
calcitonin (salmon) 200 unit/actuation nasal spray, 414.89 
calcitonin (salmon) 200 unit/mL injection solution," 2,481.48 "
calcitriol 0.25 mcg capsule, 4.36 
calcium acetate 667 mg capsule, 3.59 
calcium carbonate 200 mg calcium (500 mg) chewable tablet, 2.73 
"calcium carbonate 500 mg (1,250 mg)-vitamin D3 200 unit tablet", 2.00 
"calcium carbonate 500 mg calcium (1,250 mg) tablet", 2.00 
calcium chloride 100 mg/mL (10 %) intravenous syringe, 35.58 
calcium gluconate 100 mg/mL (10 %) intravenous solut, 70.55 
calcium gluconate 100 mg/mL (10 %) intravenous solution, 44.31 
CALCIUM IONIZED,$170.00 
calcium polycarbophil 625 mg tablet, 2.00 
CALCIUM SERUM,$56.00 
"CALCIUM, URINE (QUAN)",$103.00 
CALIF VIRUS ENCEPH IGG AB,$46.00 
CALIF VIRUS ENCEPH IGM AB,$46.00 
"CALPROTECTIN, FECAL",$415.00 
"CALR, GENE MUTATION, EXON 9, R",$345.00 
camphor 4 %-methyl salicylate 30 %-menthol 10 % topical cream, 19.83 
camphor-menthol 0.5 %-0.5 % lotion, 16.32 
candesartan 16 mg tablet, 2.84 
candesartan 4 mg tablet, 10.70 
captopril 12.5 mg table, 4.25 
captopril 12.5 mg tablet, 3.00 
captopril 25 mg tablet, 4.26 
CARBAMAZEPINE,$139.00 
carBAMazepine 100 mg chewable tablet, 2.31 
carBAMazepine 100 mg/5 mL (5 mL) oral suspension, 12.71 
carBAMazepine 100 mg/5 mL oral suspension, 310.28 
carBAMazepine 200 mg tablet, 5.70 
carBAMazepine 200 mg/10 mL oral suspension, 14.25 
"carBAMazepine ER 100 mg tablet,extended release,12 hr", 4.46 
"carBAMazepine ER 200 mg tablet,extended release,12 hr", 7.06 
carbamide peroxide 6.5 % ear drops, 9.90 
carbidopa 10 mg-levodopa 100 mg tablet, 2.00 
carbidopa 25 mg-levodopa 100 mg tablet, 2.70 
carbidopa 25 mg-levodopa 250 mg tablet, 2.83 
"carbidopa ER 25 mg-levodopa 100 mg tablet,extended release", 3.26 
carbidopa-levodopa 12.5-50 mg oral tab, 2.00 
CARBOXYHEMOGLOBIN (COHB),$86.00 
carboxymethylcellulose sodium 0.25 % eye drops in a dropperette, 2.00 
carboxymethylcellulose sodium 1 % eye gel in a dropperette, 2.00 
CARDIAC REHAB; W/ CONT ECG MONITORING (PER SESSION),$309.00 
CARDIOVERSION,"$1,113.00 "
"CARDIOVERTER-DEFIBRILLATOR, DUAL CHAMBER"," 44,901.95 "
"CARDIOVERTER-DEFIBRILLATOR, SINGLE CHAMBER"," 40,002.23 "
carisoprodol 350 mg tablet, 2.00 
"CAROTENE, SERUM",$67.00 
CAROTID DUPLEX SCAN; BILAT,$987.00 
carvedilol 12.5 mg tablet, 2.00 
carvedilol 3.125 mg tablet, 2.00 
"carvedilol phosphate ER 10 mg capsule,ext.release24hr multiphase", 38.54 
caspofungin 50 mg intravenous solution," 1,437.38 "
castor oil oral, 24.16 
"CATECHOLAMINE, PLASMA",$172.00 
"CATECHOLAMINE, URINE",$288.00 
"CATH ABLATION, NONCARDIAC, ENDOVASCULAR"," 1,020.00 "
CATH ANGIOGRAM,$86.00 
"CATH ART, ABD/PLV/LOW 1ST","$4,536.00 "
"CATH ART, ABD/PLV/LOW 2ND","$4,076.00 "
CATH INTRO VEIN 1ST ORDER,"$3,851.00 "
"CATH PLCMT VEIN, SVC/IVC","$2,285.00 "
"CATH, ASPIRATION (PRONTO)","$1,125.00 "
"CATH, BALLOON PTA DRUG COATE","$4,410.00 "
"CATH, BALLOON VENOGRAM", 818.18 
"CATH, BRACHYTX SEED ADM"," 10,755.00 "
"CATH, CORONARY","$11,385.00 "
"CATH, DIAG, OTHER THAN 3D, 19 OR FEWER"," 1,528.82 "
"CATH, DOUBLE LUMEN PIGTAIL",$382.00 
"CATH, EP, 20 OR MORE ELEC"," 4,058.00 "
"CATH, EP, COOL-TIP"," 5,500.00 "
"CATH, EP, DIAG/ABLATION, OTHER THAN 3D/VECTOR/COOL"," 3,691.54 "
"CATH, JETSTREAM","$9,047.50 "
"CATH, MICROCATH MERCI 14X","$2,256.00 "
"CATH, OUTBACK","$6,913.00 "
"CATH, PICC LINE WITH TRAY",$648.00 
"CATH, POSSIS DVX THROMB","$6,642.00 "
"CATH, PTA DORADO",$520.00 
"CATH, QUICK CROSS .014/.018",$559.00 
"CATH, TRANSLUMINAL ANGIOPLASTY, DRUG-COATED, NONLASER"," 3,559.21 "
"CATH, TRANSLUMINAL ANGIOPLASTY, NONLASER", 724.57 
"CATH, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL"," 7,986.97 "
"CATH, TRIPLE LUMEN",$802.00 
"CATH, TRIPLE LUMEN - PICC",$704.00 
"CATH,INFUS (INSERTED PERIPH,CENTRAL,OR MIDLINE)", 434.46 
"CATH,SWAN-GANZ STD",$668.00 
"CATHEER, INTRAVASCUALR ULTRASOUND"," 2,956.88 "
CATHETER URETERAL, 97.93 
"CATHETER, BALLOON DILITATION, NONVASCULAR"," 1,342.93 "
"CATHETER, BALLOON TISSUE DISSECTOR, NONVASCULAR"," 1,335.38 "
"CATHETER, DRAINAGE", 518.85 
"CATHETER, EP,DIAG/ABLATION,3D OR VECTOR MAPPING"," 5,129.79 "
"CATHETER, GUIDING", 972.26 
"CATHETER, HEMODIALYSIS/PERITONEAL, LONG-TERM", 618.64 
"CATHETER, HEMODIALYSIS/PERITONEAL, SHORT-TERM", 391.22 
"CATHETER, INTRASPINAL"," 3,001.09 "
"CATHETER, OCCLUSION"," 2,084.44 "
"CATHETER, SUPRAPUBIC/CYSTOSCOPIC", 380.94 
"CATHETER, THROMBECTOMY/EMBOLECTOMY"," 2,640.84 "
"CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL"," 8,251.09 "
"CATHETER, TWIN-PASS","$1,166.00 "
C-BLOOD RH TYPE,$67.00 
C-BLOOD TYPING; ABO,$67.00 
CCP ANTIBODIES,$352.00 
CD3,$166.00 
CD4,$138.00 
CD4 AND CD8 COUNT WITH RATIO,$271.00 
