Px Code,Procedure Name,Total Price
25000071,HC MAPS FLU VIR VAC SPLIT PR 3YR+IM,116.00
25000073,"HC MAPS FLU VIRUS VAC,SPLIT; <3 YRS.",40.00
25000074,"HC MAPS FLU VIRS VAC,ENHNCD IMMUNGN",60.00
25000075,HC MAPS PNEUMOCOCCAL VACC 13 VAL IM,610.00
25000078,HC MAPS IIV4 VACC NO PRSV 3 YRS+ IM,64.00
25000079,"HC MAPS TYPHOID VACCINE,LIVE,ORAL",81.00
25000081,"HC MAPS DIPHTHERIA,TETANUS TOXOIDS,",42.00
25000082,"HC MAPS MEASLES,MUMPS,RUNELLA VIRUS",117.00
25000084,"HC MAPS POLIOVIRUS VAC,INACT(IPV),SUB",45.00
25000086,HC MAPS TD VACCINE NO PRSRV>/=7 IM,79.00
25000087,HC MAPS TDAP VACCINE>7 YEARS;IM,127.00
25000088,"HC MAPS CHICKEN POX VACCINE,SC",11.00
25000089,"HC MAPS YELLOW FEVER VACCIN,LIVE,SU",159.00
25000090,HC MAPS MENINGOCOCCAL POLYSACCHRIDE,187.00
25000091,HC MAPS MENINGCCL CONJUGT VAC IM,185.00
25000092,"HC MAPS ZOSTER VACCINE,LIVE,SUBCUT",300.00
25000093,"HC MAPS HEP B VAC,DIAL/IMMU SUP PT,",240.00
25000094,"HC MAPS HEPATITUS B VACCINE,PEDIATR",60.00
25000095,"HC MAPS INJCTN,BEVACIZUMAB,0.25MG",4.50
25000096,"HC MAPS INJECTN,ALPROSTADIL,1.25 MC",16.00
25000097,"HC MAPS INJ, AMPICILLIN SODIUM, 500MG INJ",12.00
25000098,HC MAPS PENG BENZATHINE/PROCAINE IN,10.00
25000099,"HC MAPS INJ,PENCLN G BENZTHN,100000",13.00
25000100,"HC MAPS BOTULINUM TOXN TYPE A,PER U",11.00
25000101,HC MAPS INJ MEPIVACAINE HCL/10 ML,14.00
25000102,"HC MAPS INJ,CEFTRIAXON SOD,PER 250M",30.00
25000103,HC MAPS BETAMETHASONE ACET&SOD PHOS,40.00
25000104,"HC MAPS INJECTION,CIDOFOVIR,375MG",2270.00
25000105,"HC MAPS COLLAGENASE,CLOS HIS INJ,.0",115.00
25000106,HC MAPS INJECTION PROCHLORPERAZINE,15.00
25000107,"HC MAPS INJCTN,COSYNTROPN,NOS,0.25M",120.00
25000108,HC MAPS METHYLPREDNISOLONE 20MG INJ,14.00
25000109,HC MAPS METHYLPREDNISOLONE 40MG INJ,11.00
25000110,HC MAPS INJ.METHYLPREDNIS.ACE.80MG,22.00
25000111,"HC MAPS INJ,MEDROXYPROGEST,1MG",1.00
25000112,"HC MAPS INJ,TESTOSTERONE CYPIONATE,",15.00
25000114,"HC MAPS INJ,DEXAMTH ACETATE,1MG",1.00
25000115,"HC MAPS DEXAMETHASONE SODIUM PHOS,1",4.50
25000116,"HC MAPS INJDMSO,DIMTHL SULFX,50%,50",160.00
25000117,"HC MAPS GARAMYCN/GENTAMCN INJ,UPTO8",7.00
25000118,"HC MAPS INJCTN,INSULIN,PER 5 UNITS",3.50
25000119,HC MAPS INJ KEROROLAC THROM 15MG,12.00
25000120,"HC MAPS INJECTION,LANREOTIDE,1MG",39.00
25000121,HC MAPS LIDOCAINE,4.00
25000123,HC MAPS METHYLERGONOVIN MALEATE INJ,18.00
25000124,"HC MAPS INJCT, OMALIZUMAB, 5 MG",90.00
25000125,"HC MAPS THR INJ PNCLN,PRCANEAQE600,",3.25
25000126,"HC MAPS PROMETHAZN HCL INJ,UP TO 50",5.00
25000127,"HC MAPS INJCT,PREDNSLN ACET,UP TO 1",2.00
25000128,HC MAPS THR INJ FLUPENZNE DECNOATE2,20.00
25000130,HC MAPS THER INJ MTHYLPRDNISLONE-125 MG,10.00
25000132,"HC MAPS INJ,THYROTRPN ALPH,.9MG/1.1",1658.00
25000134,HC MAPS INJ-TRIAMCINOLONE ACETONIDE 10MG,21.00
25000138,"HC MAPS INFUSN,NORMAL SALINE SOL,1000 CC",45.00
25000140,"HC MAPS IV NORMAL SALINE SOL,250CC",15.00
25000141,HC MAPS INTRAUTERINE COPPER CONTRAC,671.00
25000142,HC MAPS ETONOGESTRL(CONTRCPT)IMPLNT,1100.00
25000143,"HC MAPS LEVULAN KERASTICK, 354MG",314.00
25000145,"HC MAPS HYALGAN/SUPARTZ,INTRA-ARTX",210.00
25000146,"HC MAPS EUFLEXXA, INTRA-ARTICLR INJ",352.00
25000147,"HC MAPS ORTHOVISC,INTRA-ARTICULR IN",210.00
25000148,"HC MAPS SYNVISC/SYNVISC-1,IA INJ,1M",30.00
25000149,"HC MAPS GEL-ONE,INTRAARTCLR INJ-PER",1685.00
25000150,"HC MAPS ALBUTRL,INHAL,CONCNTR FRM 1",1.00
25000151,HC MAPS BCG (INTRAVESCL)PER INSTILLATION,250.00
25000152,"HC MAPS INJECTION,BEVACIZUMAB,10MG",70.00
25000153,"HC MAPS INJECTION,FLUOROURACIL,500MG",10.00
25000154,HC MAPS GEMCITABINE HCL INJECTN -20,25.00
25000155,HC MAPS GOSERELIN ACETATE IMPLT PER,470.00
25000156,"HC MAPS INTERFERON, 1 MILLION (OTH)",32.00
25000157,HC MAPS LEUPROLIDE ACETATE DEPOT 7.5 MG,1522.00
25000160,"HC MAPS INJ,VALRUBICIN INTRAVSCL,20",1285.00
25000161,"HC MAPS INJ PERFLUTREN LIP MICROS,M",183.00
25000162,"HC MAPS INJ,BUPIVICN HYDROCHLRD,30M",5.00
25000163,"HC MAPS INJ,CLINDAMYCN PHOSPHT,300M",10.00
25000164,HC MAPS TESTOSTERONE PELLET 75 MG,190.00
25000165,"HC MAPS MIFEPRISTONE,ORAL,200MG",285.00
25000166,"HC MAPS MISOPROSTOL,ORAL,200MCG",5.00
25000170,"HC MAPS INJECTION,RANIBIZUMAB,0.1MG",874.00
25000171,"HC MAPS INJECTION,REGADENOSON,0.1 MG",105.00
25000172,"HC MAPS INJ,RHO D IMM GLB,300MICROG",259.00
25000173,"HC MAPS INJ,TRIAMCNLN HEXACTND,PER",15.00
25000174,HC MAPS VITAMIN B12 INJECTION,5.00
25000175,HC MAPS THER INSULIN,190.00
25000186,HC NITRIC OXIDE(PER HR) -NEONATE,988.00
25000189,"HC INJ,REGADENOSON(LEXISCAN),0.1M",284.00
25000201,"HC LEVULAN KERASTICK, 354MG",663.00
25000202,"HC MAPS METHOTREXATE SOD, 5MG",15.00
25000207,HC MAP OASIS WOUND MATRIX,24.00
25000248,"HC MAPS INJ,RIMABOTULINUMTOXINB",32.00
25800004,HC MAPS NORMAL SALINE SOLUTION INFUSION,22.00
25900001,HC MAPS AFLIBERCEPT INJECTION,2945.00
26000003,HC IV PUSH INITIAL,495.00
26000004,HC COLLECT BLOOD PORT,551.00
26000005,HC PORTABLE PUMP REFILL,1547.00
26000006,HC COLLECT BLOOD PICC/CVC,2566.00
26000007,"HC HYDRAT;IV INF; EA ADD HR,UPTO8",342.00
26000008,"HC HYDRATION,IV INF:INIT,UPTO 1HR",1014.00
26000009,HC IV INF EA ADD HR,342.00
26000010,HC IV INF INITITAL 1ST HR,1767.00
26000011,HC IV INF EA ADD SEQ INFUS,495.00
26000012,"HC IV INF TX/DX,CONCURRENT INF",1048.00
26000013,HC IV PUSH SAME DRUG ADON,495.00
26000015,HC IV PUSH EA ADDL SEQ,588.00
26000016,HC THER/PROPH/DIAG INJ SC/IM,168.00
26000024,"HC MAPS HYDRATION,IV INF:INIT,UPTO 1HR",200.00
26000025,"HC MAPS HYDRAT;IV INF; EA ADD HR,UPTO8",60.00
26000026,HC MAPS INTRAMSCINJ.ANTIBIOTIC,70.00
26000028,HC THERAP/PROPHYL/DX INJ; IV,1092.00
26000029,HC INTRAMSCINJ.ANTIBIOTIC,264.00
26000030,HC HYDRATION IV INFUSION INIT,1463.00
26000031,HC HYDRATE IV INFUSION ADD-ON,953.00
26000032,HC THER/PROPH/DIAG IV INF INIT,953.00
26000033,HC INFUSION EACH ADDITIONAL HOUR,953.00
26000034,HC TX/PROPH/DG ADDL SEQ IV INF,953.00
26000035,"HC IV INF TX/DX,CONCURRENT INF",953.00
26000036,HC THER/PROPH/DIAG INJ IV PUSH,592.00
26000037,HC TX/PRO/DX INJ NEW DRUG ADDON,592.00
26000038,HC START IV FOR FLUIDS/MEDS,175.00
26000040,"HC INFUSION HYDRATE,EA ADD'L HR",949.00
26000041,HC APPL ON-BODY INJECTOR FOR TIMED SUBQ INJECTION,1400.00
26000043,HC REGENERON,1320.00
27000002,"HC MAPS PESSARY RUBBER,ANY TYPE",35.00
27000003,"HC MAPS PESSARY,NON-RUBBER TYPE",75.00
27000010,HC MAPS CAST SUP SHRT LEG FIBERGLASS,60.00
27000012,HC MAPS CAST SUP SHT ARM SPLINT FBRG,59.00
27000013,HC MAPS CAST SUP LNG ARM SPLINT FBRG,64.00
27000014,HC MAPS CAST SUP SHT ARM ADULT FBRGL,59.00
27000020,HC DEVICE#C1361,28451.00
27000056,HC MAPS COLLAGEN IMP URINARY 2.5 ML,730.00
27000060,HC MAPS CAST SUP SHT ARM PED FBRGLAS,59.00
27000061,HC MAPS CAST SUP GAUNTLET FIBERGLASS,40.00
27000062,HC MAPS CAST SUP SHT ARM SPLNT PED F,35.00
27000063,HC MAPS CAST SUP LNG LEG CYLINDER PL,40.00
27000065,HC MAPS CAST SUP SHRT LEG PLASTER,25.00
27000066,HC MAPS CAST SUP SHRT LEG PED FBRGLS,59.00
27000067,HC MAPS CAST SUP SHT LEG SPLNT FBRGL,59.00
27000068,"HC MAPS FINGER SPLINT, STATIC",10.00
27000069,HC OXYGEN HOURLY,65.00
27000070,HC OXYGEN DISPOSABLE,107.00
27000072,HC VENTILATOR TUBING,349.00
27000074,HC AEROSOL CHANGE-NEONATE,800.00
27000077,HC HIGH FLOW O2 SYSTEM SE,232.00
27000078,HC HIGH FLOW O2 DAILY CHA,171.00
27000079,HC INCENTIVE SPIROMETER,19.00
27000080,HC MINI NEB,2.00
27000082,HC ADDITIONAL REPIRATOR MASK,26.00
27000083,HC NIF MANOMETER,59.00
27000084,HC NON-INVASIVE MASK,153.00
27000087,HC COUGH ASSIST DEVICE,1.00
27000088,HC CF EXPIR RESP DEVICE-ACCAPELLA,249.00
27000090,HC CF VALVED HOLDNG CHAMB FOR MDI,55.00
27000092,HC EPOPROSTENOL SET UP,130.00
27000093,HC THRESHOLD PEP DEVICE,5.00
27000095,HC NITRIC OXIDE (PER HOUR),988.00
27000106,HC NASAL CANNULA,354.00
27000115,HC MANUAL RESUSCITATION BAG,581.00
27000120,HC TREATMENT DISPOSA,212.00
27000121,HC VENTILATOR TUBING-NEONATE,349.00
27000124,HC INFANT OXYGEN HOD,125.00
27000125,HC OXYGEN,65.00
27000134,HC VAPOTHERM SET-UP-NEONATE,232.00
27000135,HC VAPOTHERM - DAILY-NEONATE,171.00
27000444,HC OXYGEN DISPOSABLE-NEONATE,107.00
27000454,HC MAPS MISC SUPPLY CHARGE,46.00
27000469,HC OXYGEN HOURLY NEONATE,65.00
27100001,HC HELIOX HOURLY,84.00
27200053,HC ANGIOSEAL,1982.00
27200065,"HC CATHER,TRANSLUMIN N/LASER",2252.00
27200234,HC CATH TRANSLU ANGIO NON,2042.00
27200272,HC ACUNAV DIAG ULTRASOUND CATH.,24673.00
27200273,"HC CATH, BALLOON DILAT (TRANSLUM)",2336.00
27200274,"HC CATHETER, BRACHYTHERAPY",26124.00
27200275,"HC CATHETER, GUIDING",528.00
27200276,"HC CATHETER, INTRACARDIAC ECHO",5640.00
27200277,"HC CATHETER, INTRAVASCULAR",5640.00
27200278,"HC CATHETER, TRANSLUMINAL",2336.00
27200279,"HC CATHETER, ATHERECTOMY",7887.00
27200280,HC CLOSURE DEVICE,1982.00
27200281,"HC GUIDEWIRE, THERAPEUTIC",795.00
27200282,HC INTRODUCER/SHEATH EXCLUDING PE,134.00
27200283,HC INTRODUCER/SHEATH INCLUDING PE,354.00
27200284,HC INTRODUCER/SHEATH NON-LASER,195.00
27200285,HC INTRODUCER/SHEATH THERAPEUTIC,134.00
27200286,HC RETREIVAL DEVICE,2336.00
27200287,HC PRESSURE WIRE 3 SENSOR,5033.00
27200288,"HC ANJIO JET CATHETER, THROMBECTO",15809.00
27200289,HC SET PUMP FOR LF140 CATH,2189.00
27200290,HC ENDOVASCULAR VALVE REPAIR SYST,81072.00
27200291,HC PRECISE NITINOL STENT,15809.00
27200292,HC 8F-HI GUIDE CATHETER,919.00
27200293,HC AVIATOR BALLOON-4MM*20MM,3726.00
27200294,HC AVIATOR BALLOON-6MM*20MM,3726.00
27200295,"HC CATH,INF PER/CENT/MIDLINE",1071.00
27200296,HC CATH HEMO-DIALYSIS/SHRT TERM,501.00
27200298,HC VASCULAR PLUG,3966.00
27200299,HC TANDOM HEART PROCEDURE KIT,167544.00
27200300,HC ACUNAV DIAG ULTRASOUND CA,25697.00
27200301,"HC CATHETER, DIAG. EPS, NOT",10051.00
27200302,"HC CATHETER, DIAG. EPS, NOT",10051.00
27200303,"HC CATHETER, DIAG. EPS, 3D O",27534.00
27200304,"HC CATHETER, DIAG. EPS, NOT",9131.00
27200305,"HC CATHETER, DIAG. EPS, NOT",13767.00
27200306,"HC GUIDEWIRE, THERAPEUTIC",828.00
27200307,HC INTRODUCER/SHEATH EXCLUDI,138.00
27200308,HC INTRODUCER/SHEATH INCLUDI,371.00
27200309,HC INTRODUCER/SHEATH NON-LASER,371.00
27200310,HC INTRODUCER/SHEATH THERAPE,138.00
27200311,HC LEAD LOCKING DEVICE,4227.00
27200312,HC LASER SHEATH KIT,21029.00
27200313,HC LEAD CUTTER,761.00
27200314,HC ACCESSORY KIT,1015.00
27200315,"HC INTRO/SHEATH,STRIBLE, NON-PEEL",371.00
27200316,"HC CATHETER, GUIDING",632.00
27200317,"HC INTRO/SHEATH, STRBLE NON-PEEL",371.00
27200318,HC FREEZOR CRYOABLATION CATHETER,15393.00
27200319,"HC CATHETER,DIAG.EPS,REUSE,LASSO",3282.00
27200320,"HC CATHETER,DIAG,EPS.REUSE,HALO",1637.00
27200321,"HC CATHETER,REUSE,DYNAM DECA,&DEC",759.00
27200322,"HC NAVISTAR THERMACOOL CATH,THROM",21549.00
27200323,HC CELSIUS ABLATION CATHETER,6979.00
27200324,HC ACUNAV DIAG ULTRASOUND CATH.,24673.00
27200325,"HC BRACHYTHERAPY SEED, YTTRIUM-90",95655.00
27200326,"HC CATH, BALLOON DILAT (TRANSLUM)",2336.00
27200327,"HC CATHETER, BRACHYTHERAPY",26124.00
27200328,"HC CATHETER, GUIDING",528.00
27200329,"HC CATHETER, INTRACARDIAC ECHO",5640.00
27200330,"HC CATHETER, INTRAVASCULAR",5640.00
27200331,"HC CATHETER, TRANSLUMINAL",2336.00
27200332,"HC CATHETER, ATHERECTOMY",7887.00
27200333,HC CLOSURE DEVICE,1982.00
27200334,"HC GUIDEWIRE, THERAPEUTIC",795.00
27200335,HC INTRODUCER/SHEATH EXCLUDING PE,134.00
27200336,HC INTRODUCER/SHEATH INCLUDING PE,371.00
27200337,HC INTRODUCER/SHEATH NON-LASER,371.00
27200338,HC INTRODUCER/SHEATH THERAPEUTIC,134.00
27200339,HC RETREIVAL DEVICE,2336.00
27200340,HC PRESSURE WIRE 3 SENSOR,5033.00
27200341,"HC ANJIO JET CATHETER, THROMBECTO",15809.00
27200342,HC SET PUMP FOR LF140 CATH,2189.00
27200343,HC ENDOVASCULAR VALVE REPAIR SYST,83277.00
27200344,HC PRECISE NITINOL STENT,15809.00
27200345,HC 8F-HI GUIDE CATHETER,919.00
27200346,HC AVIATOR BALLOON-4MM*20MM,3726.00
27200347,HC AVIATOR BALLOON-6MM*20MM,3726.00
27200348,"HC CATH,INF PER/CENT/MIDLINE",487.00
27200349,HC CATH HEMO-DIALYSIS/SHRT TERM,501.00
27200350,HC INTRO/SHEATH,403.00
27200351,HC VASCULAR PLUG,3966.00
27200352,HC TANDOM HEART PROCEDURE KIT,167544.00
27200353,"HC CATHETER, GUIDING",528.00
27200354,"HC CATHETER, TRANSLUMINAL",2336.00
27200355,HC CLOSURE DEVICE,1982.00
27200356,"HC GUIDEWIRE, THERAPEUTIC",795.00
27200357,HC INTRODUCER/SHEATH EXCLUDING PE,134.00
27200358,HC INTRODUCER/SHEATH INCLUDING PE,354.00
27200359,HC INTRODUCER/SHEATH NON-LASER,195.00
27200360,HC INTRODUCER/SHEATH THERAPEUTIC,134.00
27200479,HC MAPS SUPP/MATRL(EXC SPEC)PROV BY,150.00
27200480,"HC MAPS COLLGN BSD WND FILLR,DRY,ST",104.00
27200530,HC ELCA CORNRY LSR ATHRCTMY CATH,8168.00
27200569,HC TACTICATH ABLATION CATH,13767.00
27200571,HC VAP-BARD CATH-PERPH/CTRL/MIDLN,780.00
27200574,HC BRACHY NEEDLE PER/SET (MD T,273.00
27200575,HC CIRCULATORY ASSIST DISPOSABLE,2622.00
27200576,HC ECMO DISPOSABLES,9022.00
27200577,HC EEG DISPOSABLE LEADS,252.00
27200578,HC INTRODUCER OTHER THAN GUIDE,192.00
27200579,HC PERCUTANEOUS CANNULAE DISPO,1927.00
27200580,HC TACTI ABLATION CATHETER,11576.00
27200589,"HC CATH, TRANSLUMIN NON-LASER",911.00
27200591,"HC CATH, TRANSLUMIN NON-LASER",1869.00
27200592,"HC CATHETER, ABLATION",543.00
27200593,HC INOUE MV PERC BALLOON CATH,9660.00
