Item Description, Price 
ALENDRONATE SODIUM (FOSAMAX) TAB  70MG, $11.00 
ALFUZOSIN (UROXATRAL) TAB 10MG, $11.00 
ALIGN CAP 4MG, $11.00 
ALISKIREN (TEKTURNA) TAB: 300MG, $15.00 
ALKALINE PHOSPHATASE, $42.00 
ALKALINE PHOSPHATASE ISOENZYMES, $120.00 
ALLOPURINOL TAB  100MG, $11.00 
ALLOPURINOL TAB  300MG, $11.00 
ALOXI 0.25MG/5ML VIAL, $269.04 
ALPHA 1 ANTITRYPSIN FECES, $159.00 
ALPHA 1 ANTITRYPSIN PHENOTYPE, $133.00 
ALPHA 1 ANTITRYPSIN TOTAL, $102.00 
ALPHA 2 MACROGLOBULIN, $210.00 
"ALPHA FETOPROTEIN, TUMOR MARKER, SERUM", $117.00 
ALPHA GLOBULIN GENE ANALYSIS, $475.00 
ALPRAZOLAM (XANAX), $130.00 
ALPRAZOLAM TAB  0.25MG, $11.00 
ALT(SGPT), $62.00 
ALTEPLACE (ACTIVASE) INJ VIAL 100MG," $10,775.45 "
AMEBIASIS ANTIBODY, $76.00 
AMILORIDE TAB: 5MG, $11.00 
AMINO ACIDS QUANTITATIVE, $442.00 
AMIODARONE HCL (PACERONE) TAB  200MG, $11.00 
AMIODARONE HCL VIAL INJ  150MG/3ML, $36.00 
AMIODARONE IV SOLN 360MG/200ML-4.14%, $165.00 
AMITRIPTYLINE, $101.00 
AMITRIPTYLINE HCL TAB  25MG, $11.00 
AMLODIPINE (NORVASC) TAB  2.5MG, $11.00 
AMLODIPINE (NORVASC) TAB  5MG, $11.00 
AMMONIA, $143.00 
AMOX/CLAV (AUGMENTIN) 250MG/5ML: 75ML, $110.32 
AMOX/CLAV (AUGMENTIN) TAB 875MG, $11.00 
AMOXICILLIN (AMOXIL) 250MG/5ML : 150ML, $21.00 
AMOXICILLIN CAP  500MG, $11.00 
AMPHOTERICIN B LIPOSOME VIAL: 50MG, $164.00 
AMPICIL/SULBACT  ADDV INJ : 1.5GM, $27.00 
AMPICILLIN SODIUM VIAL 2GM, $36.00 
AMPICILLIN/SULBACTAM VIAL INJ  3GM, $36.00 
AMPLIFIED PROBE TECHNIQUE," $2,459.00 "
AMYLASE, $69.00 
ANA INTERP, $85.00 
ANA TITER, $86.00 
ANA WITH CASCADING REFLEX, $94.00 
ANES NECK ORGAN 1 & OVER, $13.00 
ANGIOTENSIN CONVERTING ENZYME (ACE), $102.00 
ANTI DNASE B, $112.00 
ANTI MICROSOMAL AB, $108.00 
ANTI MULLERIAN HORMONE (AMH), $127.00 
ANTI-A4-FLA2 IGG ELISA, $160.00 
ANTI-CBIR1 IGG ELISA, $160.00 
ANTI-FLAX IGG ELISA, $160.00 
ANTI-NEUTROPHIL CYTOPLASMIC AB (ANCA), $124.00 
ANTINUCLEAR ANTIBODY SCREEN, $94.00 
ANTI-OMPC IGA ELISA, $160.00 
ANTI-SMITH AB, $70.00 
ANTISTREPTOLYSIN 0 SCREEN (ASO), $74.00 
ANTITHROMBIN III ACTIVITY, $153.00 
APIXABAN 2.5MG TAB, $19.49 
APPLY FINGER SPLINT; STATIC, $163.00 
APPLY LONG ARM CAST, $136.00 
APPLY LONG ARM SPLINT, $212.00 
APPLY LONG LEG CAST BRACE, $536.00 
APPLY LONG LEG CAST BRACE, $460.00 
APPLY LONG LEG SPLINT, $136.00 
APPLY SHORT ARM SPLINT; STATIC, $295.00 
APPLY SHORT LEG SPLINT, $288.00 
APPLY UNNA BOOT STRAPPING, $244.00 
APPLY WLKR SH LEG CAST, $217.00 
AQUAPHILIC OINT 4 OZ., $17.00 
AQUAPHOR OINT: 3.5 ounce, $28.00 
ARICEPT TAB 23MG, $32.00 
ARIPIPRAZOLE (ABILIFY) TAB 5MG, $11.00 
ARSENIC, $115.00 
ARTERIAL PUNCTURE, $204.00 
ARTHROCENTENSIS AND LIGAMENT INJ, $978.00 
ASCA IGA ELISA, $160.00 
ASCA IGG ELISA, $160.00 
ASMANEX (MOMETASONE) INH: 220MCG, $434.00 
ASPERGILLUS FUMIGATUS IGE, $43.00 
ASPIRIN RECTAL SUPP 300MG, $11.00 
AST(SGOT), $68.00 
ATENOLOL TAB  25MG, $11.00 
ATG16L1 SNP, $98.00 
"ATLAS**AFP, MATERNAL SCREEN", $117.00 
ATORVASTATIN (LIPITOR) TAB  10MG, $11.00 
ATORVASTATIN (LIPITOR) TAB  20MG, $11.00 
ATRACURIUM BESYLATE VIAL  100MG/10ML, $41.00 
ATROPINE 1% OPH DROPS 5ML, $161.90 
ATROPINE SULF SYR INJ  1MG/10ML, $46.00 
ATROPINE SULFATE VIAL INJ   0.4MG, $36.00 
ATROPINE VIAL  0.4MG/1ML, $36.00 
AUTOLOGOUS TRANSPLANTATION 2ND PROCEDURE," $2,843.00 "
AZATHIOPRINE ORAL TABLET 50MG, $10.00 
AZATHIOPRINE TAB 50MG, $5.00 
AZELASTINE (ASTELIN) NASAL SPRAY, $301.00 
AZELASTINE HCL OPHTH SOLN 0.05%, $270.00 
AZITHROMYCIN (ZITHROMAX) TAB  250MG, $11.00 
AZITHROMYCIN (ZITHROMAX): 200MG/5ML, $46.37 
AZITHROMYCIN VIAL INJ  500MG, $36.00 
"BACITRACIN VIAL 50,000 UNITS", $53.01 
BACLOFEN  TAB 10MG, $11.00 
BALANCED SALT SOL (BSS) 500ML, $36.00 
BALSALZIDE (COLAZAL) CAP 750MG, $11.00 
BB ABO BLOOD, $63.00 
BB ANTIBODY ELUTION, $140.00 
BB ANTIBODY ID, $162.00 
BB ANTIBODY SCREEN, $94.00 
BB ANTIGEN MOECULAR PROFILE, $568.00 
BB ANTIGEN SCREEN BLOOD EA, $87.00 
"BB ANTIGEN SCREEN TIER II (c,M,N,Fya,Lea", $127.00 
"BB ANTIGEN SCREEN TIER IIIFyb,Jka/b,k,Cw", $178.00 
"BB ANTIGEN SCREEN TIER IV (e,S,s,Leb,P1)", $220.00 
BB COLD ABSORPTION, $92.00 
BB CPD LEUK PR RB CELL BLOOD, $449.00 
BB CPD LEUK PR RB CELL IRRADIATED BLOOD, $544.00 
BB CROSS MATCH/UNIT, $103.00 
BB DIFF ABSORPTION, $215.00 
BB DIRECT COOMBS, $61.00 
BB DU FACTOR, $76.00 
BB PLATELET UNIT," $1,114.00 "
BB RH TYPE BLOOD, $52.00 
BB RHOGAM INJECTION, $213.00 
BB TRANSFUSION REACTION WORKUP, $161.00 
BCR-ABL GENE REARRANGEMENT, $531.00 
BEACH CHAIR KIT FOR SHOULDER, $130.00 
BENAZEPRIL (LOTENSIN) TAB  10MG, $11.00 
BENZODIAZAPINES, $132.00 
BENZONATATE CAP  100MG, $11.00 
BENZTROPINE  TAB: 0.5MG, $11.00 
BENZTROPINE MESYLATE INJ 2MG/2ML, $147.87 
BENZTROPINE MESYLATE ORAL TABLET 1MG, $10.00 
BETA 2 GLYCOPROTEIN  AB IGA, $126.00 
BETA 2 GLYCOPROTEIN  AB IGG, $126.00 
BETA 2 GLYCOPROTEIN  AB IGM, $123.00 
BETA 2 MICROGLOBULIN, $127.00 
BETA HCG QUANTITATIVE, $138.00 
BETA-HYDROXYBUTYRIC ACID, $83.00 
BETAMETHASONE VIAL  6MG/ML, $122.00 
BETAXOLOL HCL (BETOPTIC S OPTH) DROPS BT, $334.00 
BETHANECHOL TAB 10 MG, $11.00 
BEVACIZUMAB (AVASTIN) 400MG/16ML VIAL," $3,998.00 "
BILE ACIDS TOTAL, $88.00 
BILIRUBIN DIRECT, $75.00 
BILIRUBIN TOTAL, $77.00 
BIOTINIDASE NP, $189.00 
BISOPROLOL TAB : 5MG, $11.00 
BK VIRUS DNA BY PCR - PLASMA, $431.00 
BK VIRUS DNA BY PCR - URINE, $431.00 
"BLADDER SCAN, NON IMAGING", $167.00 
"BLADDER SCAN, NON IMAGING", $52.00 
BLASTOMYCOSIS  IMMUNODIFFUSION, $92.00 
BLOOD CULTURE BY DNA GRAM NEG ADDITIONAL, $67.00 
BLOOD CULTURE BY DNA GRAM POS ADDITIONAL, $67.00 
BLOOD CULTURE DNA GRAM NEG, $67.00 
BLOOD CULTURE DNA GRAM POS, $67.00 
BLOOD ER-1 HOUR TRANSFUSION, $947.00 
BLOOD ER-2 HOURS TRANSFUSION," $1,370.00 "
BLOOD ER-3 HOURS TRANSFUSION," $1,683.00 "
BLOOD ER-4 HOURS TRANSFUSION," $1,927.00 "
BLOOD ER-5 HOURS TRANSFUSION," $2,100.00 "
BLOOD ER-6 HOURS TRANSFUSION," $2,278.00 "
BLOOD ER-7 HOURS TRANSFUSION," $2,452.00 "
BLOOD MEDSURG-1 HOUR TRANSFUSION, $948.00 
BLOOD MEDSURG-2 HOURS TRANSFUSION," $1,372.00 "
BLOOD MEDSURG-3 HOURS TRANSFUSION," $1,684.00 "
BLOOD MEDSURG-4 HOURS TRANSFUSION," $1,929.00 "
BLOOD MEDSURG-5 HOURS TRANSFUSION," $2,102.00 "
BLOOD MEDSURG-6 HOURS TRANSFUSION," $2,164.00 "
BLOOD MEDSURG-7 HOURS TRANSFUSION," $2,229.00 "
BLOOD OR-1 HOUR TRANSFUSION, $948.00 
BLOOD OR-2 HOURS TRANSFUSION," $1,372.00 "
BNP, $215.00 
BODY FLUID CELL CT, $99.00 
BODY FLUID CRYSTAL ANALYSIS, $66.00 
BODY FLUID GLUCOSE, $59.00 
BODY FLUID LDH, $64.00 
BODY FLUID PH, $51.00 
BODY FLUID PROTEIN, $69.00 
BORDATELLA PERTUSSIS AB IGG, $102.00 
BORDATELLA PERTUSSIS AB IGM, $101.00 
BORDETELLA PERTUSSIS, $190.00 
BORTEZOMIB (VELCADE) 3.5MG VIAL," $5,073.00 "
BRINZOLAMIDE DROPS 1% 10ML, $204.00 
"BRONCHODILATOR-PRE & POST BD, SPIROMETRY", $369.00 
BROVANA INH SOLN 15MCG/2ML, $21.00 
BRUKER MALDI ID, $95.00 
BUDESONIDE (PULMICORT POWD) INHALER :, $438.00 
BUDESONIDE NEB  0.5MG/2ML, $15.36 
BUMETANIDE TAB  1MG, $11.00 
BUMETANIDE VIAL  0.25MG/ML  10ML, $36.00 
BUN, $48.00 
BUPIV / EPI  0.5% 10ML    CHG  0.0091MG, $36.00 
BUPIVACAINE (SENSORCAINE) VIAL 0.5% 50, $36.00 
BUPIVACAINE HCL VIAL 0.25% 50ML, $36.00 
BUPIVACAINE LIPOSOME SUSP 1.3% 10ML, $531.00 
BUPIVACAINE VIAL 0.25% 10ML STERILE, $36.00 
BUPIVACAINE VIAL 0.25% MPF, $36.00 
BUPIVACAINE VIAL 0.5% STERILE, $36.00 
BUPIVICAINE 0.25% W/EPI    (91MG), $36.00 
BUPIVICAINE IN DEXTROSE 0.75%: 2ML, $36.00 
BUPRENORPHINE (BUTRANS) PAT: 5MCG/1HR, $116.00 
BUPROPION SR (WELLBUTRIN) TAB: 100MG, $11.00 
BUPROPION XL TAB 150MG (EXTENDED RELEASE, $11.00 
BUSPIRONE HCL TAB  15MG, $11.00 
BUTORPHANOL VIAL INJ  2MG/ML, $42.00 
C DIFF PCR - ATLAS, $178.00 
C DIFF TOXIN PCR, $178.00 
C1 ESTERASE INHIBITOR FUNCTIONAL, $112.00 
C1 ESTERASE INHIBITOR TOTAL, $121.00 
CA 125, $144.00 
CA 15-3, $196.00 
CA 19-9, $155.00 
CA 27-29, $196.00 
CAFFEINE, $71.00 
CALCITONIN NASAL SPRAY 200 I UNITS/DOSE, $64.83 
CALCITRIOL CAP 0.25MCG, $11.00 
CALCIUM CHLORIDE SYR: 1GM/10ML, $43.05 
CALCIUM GLUCONATE 10% VIAL INJ   10ML, $44.00 
"CALCIUM, IONIZED", $97.00 
"CALCIUM, TOTAL", $42.00 
CALCULUS ANALYSIS, $96.00 
CALPROTECTIN FECAL, $174.00 
CAPITAL- LONG ARM STATIC SPLINT APP, $233.00 
CAPITAL- SHORT ARM STATIC SPLINT APPL, $224.00 
CAPITAL-ARTHROCENTENSIS AND LIGAMENT INJ, $215.00 
CAPITAL-CARPAL TUNNEL INJ, $294.00 
CAPITAL-COUNSELING 15 MIN, $115.00 
CAPITAL-DRAIN/INJ INTERM JNT/BURSA WO US, $268.00 
CAPITAL-DRAIN/INJ MAJOR JNT/BURSA W/US, $573.00 
CAPITAL-DRAIN/INJ MAJOR JNT/BURSA WO US, $316.00 
CAPITAL-DRAIN/INJ SM JNT/BURSA WO US, $174.00 
CAPITAL-INJ SGL TENDON SHTH OR LIGAMENT, $242.00 
CAPITAL-OFFICE ESTABLISHED-LIMITED, $130.00 
CAPITAL-OFFICE ESTABLISHED-MINIMAL, $47.00 
CAPITAL-OFFICE ESTABLISHED-MINOR, $73.00 
CAPITAL-OFFICE ESTABLISHED-MODERATE, $187.00 
CAPITAL-OFFICE NEW/EXP PROBLEM FOCUSED, $135.00 
CAPITAL-OFFICE NEW/LIMITED, $187.00 
CAPITAL-OFFICE NEW/MODERATE, $218.00 
CAPITAL-OFFICE NEW/PROBLEM FOCUSED, $104.00 
CAPTOPRIL TAB 100MG, $11.00 
CAPTOPRIL/HCTZ TAB 25/15 MG, $5.00 
CARBAMAZEPINE TAB  200MG, $11.00 
CARBAMAZEPINE TOTAL, $175.00 
CARBAMAZEPINE XR TAB 100MG, $11.00 
CARBIDOPA/LEVODOPA *CR* TAB 25/100MG, $11.00 
CARBIDOPA/LEVODOPA TAB  25/100MG, $11.00 
CARBIDOPA/LEVODOPA TAB  25/250, $11.00 
CARBON DIOXIDE, $40.00 
CARBON MONOXIDE, $117.00 
CARBOPLATIN VIAL 600MG/60ML, $162.00 
CARDIAC INTERVIEW; OFF/OP VS NEW LVL 1, $382.00 
CARDIAC REHAB SVCS; W CONT ECG, $271.00 
CARDIAC STRESS TEST CVSLR TRACING ONLY," $1,128.00 "
CARDIOLIPIN ANTIBODY IGA, $185.00 
CARDIOLIPIN ANTIBODY IGG, $185.00 
CARDIOLIPIN ANTIBODY IGM, $185.00 
CARDIOVERSION ELECTRIC EXT," $1,190.00 "
"CARNITINE, QUANT", $162.00 
CAROTENE, $65.00 
CARPAL SCAPHOID FX INC INTERNAL FIXATION," $11,783.00 "
CARVEDILOL (COREG) TAB 3.125MG, $11.00 
CARVEDILOL (COREG) TAB: 12.5MG, $11.00 
CAT SCRATCH-IGG (BARTONELLA AB), $71.00 
CAT SCRATCH-IGM (BARTONELLA AB), $73.00 
CATECHOLAMINES FRACTIONATED PLASMA, $250.00 
CATHFLO ACTIVASE INJ VIAL 2MG, $486.00 
CBC - AUTO DIFF, $93.00 
CBC HEMOGRAM, $70.00 
C-DIFFICILE TOXIN AG, $98.00 
CEA, $165.00 
CEFAZOLIN ADDVANTAGE VIAL INJ : 1GM, $26.00 
CEFAZOLIN VIAL 1 GRAM, $36.00 
CEFDINIR CAP 300MG, $11.00 
CEFEPIME  VIAL 2GM, $43.00 
CEFEPIME (MAXIPIME) INJ VIAL 1GM, $37.00 
CEFEPIME INJ VIAL 1GM, $36.00 
CEFOXITIN SODIUM VIAL 1GM INJ, $40.00 
CEFPROZIL (CEFZIL) SUSP 250/5 50ML, $75.00 
CEFTAROLINE 600MG VIAL, $384.00 
CEFTAZIDIME INJ VIAL 1 GRAM, $36.00 
CEFTAZIDIME VIAL INJ 2GM, $38.00 
CEFTRIAXONE 1GM VIAL INJ, $36.00 
CEFTRIAXONE 250MG VIAL, $36.00 
CEFTRIAXONE 2GM VIAL INJ, $36.00 
CEFTRIAXONE VIAL: 500MG, $36.00 
CEFTRIAXONE(ROCEPHIN) ADDV VIAL INJ 1GM, $36.00 
CEFTRIAXONE(ROCEPHIN) ADDV VIAL INJ 2GM, $44.00 
CEFUROXIME TAB 250MG, $11.00 
CELECOXIB (CELEBREX) CAP 100MG, $11.00 
CENTROMERE ANTIBODY, $126.00 
CEPHALEXIN MONOHYDRATE CAP 250MG, $11.00 
CEPHALEXIN MONOHYDRATE SUSP 250/5, $25.00 
CERULOPLASMIN, $83.00 
CETIRIZINE HCL (ZYRTEC)TAB 10MG, $11.00 
CEVIMELINE (EVOXAC) CAP 30MG, $14.00 
CHARCOAL/SORBITOL TUBE (ACTIDOE) 25GM, $45.98 
CHARGE ONLY LYME WESTERN BLOT, $211.00 
CHEST PT ACAPELLA INIT, $369.00 
CHLAMYDIA DNA PROBE, $143.00 
CHLAMYDOPHILA PNEUMONIAE BY PCR, $174.00 
CHLORDIAZEPOXIDE HCL CAP 5MG, $11.00 
CHLORHEXIDINE GLUCONATE LIQ 0.12%, $24.00 
CHLORIDE - BODY FLUID, $56.00 
CHLORIDE BLOOD, $36.00 
CHLORTHALIDONE TAB 25MG, $11.00 
CHOLESTEROL TOTAL, $40.00 
CHOLESTYRAMINE/SUCROSE PCKT 4GM, $16.00 
CHOLINESTERASE, $81.00 
CHROMAGRANIN A, $141.00 
CHROMIUM, $165.00 
CITALOPRAM (CELEXA) TAB 20MG, $11.00 
CK MB - MB FRACTION ONLY, $161.00 
CK TOTAL, $82.00 
CL TX IP JOINT DISL; WO ANESTH, $254.00 
CL TX POSTOP HIP DISLOC W ANESTH," $2,727.00 "
CL TX SHLDR DISL W MANI; WO ANESTH, $195.00 
CLINDAMYCIN  GEL: 1%  30GM, $85.00 
CLINDAMYCIN 900 MG VIAL, $36.00 
CLINDAMYCIN ADV 600MG, $36.00 
CLINDAMYCIN CAP 150MG, $11.00 
CLINDAMYCIN VIAL 600MG, $36.00 
CLOBAZAM (ONFI), $193.00 
CLOMIPRAMINE LEVEL, $132.00 
CLONAZEPAM, $129.00 
CLONAZEPAM TAB 0.5MG, $10.00 
CLONIDINE (CATAPRES-TTS-1) PATCH 0.1MG, $49.00 
CLONIDINE (CATAPRES-TTS-2) PATCH 0.2MG, $60.29 
CLONIDINE HCL TAB 0.1MG, $11.00 
CLOPIDOGREL (PLAVIX) 75MG, $11.00 
CLOTRIMAZOLE/BETAMEHASONE CREAM 15GM, $51.00 
CLOZAPINE, $127.00 
CLTX BIMALLEOLAR ANKLE FRACT W MNP, $546.00 
CMV DNA QUANT BY PCR, $286.00 
COAG FACTOR VIII, $177.00 
COBALT, $132.00 
COCCIDIOIDES IMMUNODIFFUSION, $73.00 
CODEINE SULFATE TAB 30MG, $11.00 
COLCHICINE (COLCRYS) TAB 0.6MG, $17.00 
COLESEVELAM ORAL TABLET 625MG, $12.00 
COLESEVLAM TAB:  625MG, $5.00 
COLLAGENASE OINTMENT 30GM, $462.00 
COMP METABOLIC PANEL, $170.00 
COMPLEMENT C3 AG EA, $94.00 
COMPLEMENT C4 AG EA, $94.00 
COMPLEMENT TOTAL CH50, $92.00 
COMPLEX UROFLOMETRY, $268.00 
CONCENTRATION OF INFECTIOUS AGENTS, $118.00 
CONGENITAL ADRENAL HYPERPLASIA NP, $117.00 
COPPER LEVEL, $76.00 
CORP DRUG SCREEN, $55.00 
CORP QUANTIFERON-TB GOLD TEST, $110.00 
CORP SALIVA ALCOHOL TEST, $40.00 
CORP WELLNESS ALCOHOL BREATH TEST, $55.00 
CORTISOL AM, $119.00 
CORTISOL FREE URINE TIMED, $153.00 
CORTISOL SALIVA TOTAL, $120.00 
"CORTISONE, SERUM", $154.00 
COXSACKIE A ANTIBODY, $168.00 
C-PEPTIDE, $136.00 
CPK - ATLAS, $82.00 
CPR, $855.00 
"CRD REHAB PH 3,CARDIO UNL SVC 1D NON-PHY", $82.00 
CREATINE KINASE ISOENZYMES, $80.00 
CREATININE - ATLAS, $47.00 
CREATININE BLOOD, $47.00 
CREP S/A/L; 2.6-7.5 CM, $212.00 
CREP S/A/L; EA  ADD <=5 CM, $212.00 
CREP S/A/L; EA  ADD <=5 CM, $212.00 
CREP TRUNK; 2.6-7.5 CM, $352.00 
CRITICAL CARE EVAL & MGMT 30-74 MIN, $639.00 
CRNA  TECH ANES WRIST DIAG ARTHROSCOPIC, $12.00 
CRNA NECK ORGAN 1 & OVER, $19.00 
CRNA PRO ANES ABD WALL SURG LOWER AT, $10.00 
CRNA PRO ANES ABD WALL SURG UP ANT NOS, $11.00 
CRNA PRO ANES ANORECTAL SURGERY, $13.00 
CRNA PRO ANES ARTHROPLASTY, $13.00 
CRNA PRO ANES BLADDER SURG TRANSUR NOS, $7.00 
CRNA PRO ANES BLADDER TUMOR SURG RESECT, $13.00 
CRNA PRO ANES BONES LOWER LEG SURG NOS, $7.00 
CRNA PRO ANES BREAST RAD/MOD PROC, $13.00 
CRNA PRO ANES CLAVICLE NOS PROC, $13.00 
CRNA PRO ANES DX UP ARM&ELB ARTHR NOS, $8.00 
CRNA PRO ANES EAR SURGERY NOS, $13.00 
CRNA PRO ANES ELB TO SHOULDER OPEN SURG, $13.00 
CRNA PRO ANES EXT/PER/ATRUNK INTEGME NOS, $7.00 
CRNA PRO ANES EYE LENS SURGERY, $15.00 
CRNA PRO ANES EYE NOS, $13.00 
CRNA PRO ANES HD/NK/TRNK/P AND NOS, $13.00 
CRNA PRO ANES HERNIA LOW REP NOS, $13.00 
CRNA PRO ANES KNEE ARTHRO, $13.00 
CRNA PRO ANES KNEE JT NOS, $13.00 
CRNA PRO ANES LOW ACHILLES REP TEND NOS, $13.00 
CRNA PRO ANES LOW ANK/FT/LG ARTHRO NOS, $7.00 
CRNA PRO ANES LOW LEG BONE OSTEOTOMY, $13.00 
CRNA PRO ANES LOWER ABD NOS, $19.00 
CRNA PRO ANES LOWER ARM CLOSED PROC, $7.00 
CRNA PRO ANES LOWER ARM NOS O, $7.00 
CRNA PRO ANES LOWER POSTERIOR ABD WALL, $13.00 
