Generic Name,National Drug Code,Unit Price
acetaminophen 325 mg tablet,63739044001,20
acetaminophen 325 mg/10.15 mL oral solution,121065711,20
acetaminophen 500 mg tablet,904198861,20
acetaminophen 500 mg tablet,904672080,20
acetaminophen 500 mg tablet,904673061,20
acetaminophen 650 mg rectal suppository,713016506,20
acetaminophen 650 mg rectal suppository,713016550,20
acetaminophen 650 mg rectal suppository,45802073000,20
acetaminophen 650 mg rectal suppository,45802073030,20
acetaminophen 650 mg/20.3 mL oral solution,121065721,20
acetaZOLAMIDE 125 mg tablet,51672402201,20
acetaZOLAMIDE 250 mg tablet,527105001,65.92
acetaZOLAMIDE 250 mg tablet,51672402301,57.68
acetaZOLAMIDE 250 mg tablet,68084054101,83.76
acetaZOLAMIDE 250 mg tablet,68084054111,83.76
acetaZOLAMIDE 500 mg solution for injection,39822019001,996
acetaZOLAMIDE ER 500 mg capsule extended release,68084040111,97.92
acetaZOLAMIDE ER 500 mg capsule extended release,68084040121,97.92
acetaZOLAMIDE ER 500 mg capsule extended release,68382026101,85.8
acetic acid 0.25 % irrigation solution,338065604,140
acetic acid 2 % ear solution,50383088915,800.12
acetic acid 2 % ear solution,60432074115,800.12
acetic acid-aluminum acetate 2 % ear drops,24208061577,1440
acetylcholine chloride 1 % (10 mg/mL) intraocular kit,24208053920,565.16
acetylcysteine (PF) 10 % in sterile water eye drops,70360003739,250
acetylcysteine 200 mg/mL (20 %) intravenous solution,63323096330,3609.6
acetylcysteine 200 mg/mL (20 %) solution,409330803,736.2
acetylcysteine 200 mg/mL (20 %) solution,517760425,1152
acetylcysteine 200 mg/mL (20 %) solution,63323069030,1501.2
acetylcysteine 200 mg/mL (20 %) solution,63323069404,1228.16
acitretin 25 mg capsule,42794008308,769.2
aclidinium bromide 400 mcg/actuation breath activated powder inhaler,310080039,3278.4
activated charcoal 25 gram/120 mL oral suspension,574012104,333.6
activated charcoal 25 gram/120 mL oral suspension,574012174,333.6
activated charcoal 25 gram/120 mL oral suspension,66689020204,592.8
activated charcoal-sorbitol 25 gram/120 mL oral suspension,574012004,333.6
activated charcoal-sorbitol 25 gram/120 mL oral suspension,66689020304,592.8
acyclovir 200 mg capsule,93894001,20
acyclovir 200 mg capsule,904578961,20
acyclovir 200 mg capsule,68084010701,20
acyclovir 200 mg capsule,68084010711,20
acyclovir 200 mg/5 mL oral suspension,472008216,7023.12
acyclovir 200 mg/5 mL oral suspension,50383081016,7023.12
acyclovir 200 mg/5 mL oral suspension,55555003905,185.6
acyclovir 400 mg tablet,904579061,20
acyclovir 400 mg tablet,68084010801,20
acyclovir 5 % topical ointment,378870006,6380.88
acyclovir 800 mg tablet,93894701,73.36
acyclovir 800 mg tablet,63304050501,84.36
acyclovir 800 mg tablet,68084010901,91
acyclovir 800 mg tablet,68084010911,91
acyclovir sodium 50 mg/mL intravenous solution,55150015410,320
acyclovir sodium 50 mg/mL intravenous solution,63323032510,451.2
acyclovir sodium 50 mg/mL intravenous solution,63323032520,840
adalimumab 40 mg/0.8 mL subcutaneous pen kit,74433902,29232.2
adalimumab 40 mg/0.8 mL subcutaneous syringe kit,74379902,29232.2
adalimumab 40 mg/0.8 mL subcutaneous syringe kit adalimumab 40 mg/0.8 mL subcutaneous pen kit,74379902,29232.2
adalimumab 40 mg/0.8 mL subcutaneous syringe kit adalimumab 40 mg/0.8 mL subcutaneous pen kit,74433902,29232.2
adefovir 10 mg tablet,42794000308,757.92
adefovir 10 mg tablet,61958050101,1132
adenosine (diagnostic) 3 mg/mL intravenous solution,409193202,3090.24
adenosine (diagnostic) 3 mg/mL intravenous solution,703877601,1663.36
adenosine 3 mg/mL intravenous solution,17478054202,148.8
adenosine 3 mg/mL intravenous solution,25021030102,150
adenosine 3 mg/mL intravenous solution,63323065102,262.8
ado-trastuzumab emtansine 100 mg intravenous solution,50242008801,35854.92
ado-trastuzumab emtansine 160 mg intravenous solution,50242008701,57367.92
albendazole 200 mg tablet,52054055022,4239.52
albendazole 200 mg tablet,52054055028,1631.8
albumin  human 25 % intravenous solution,944049301,2778
albumin  human 25 % intravenous solution,944049302,4444.8
albumin  human 25 % intravenous solution,13533069220,2366
albumin  human 25 % intravenous solution,13533069221,2366
albumin  human 25 % intravenous solution,44206025105,3456
albumin  human 25 % intravenous solution,44206025190,3456
albumin  human 25 % intravenous solution,67467064301,2756
albumin  human 25 % intravenous solution,68516521601,2208
albumin  human 25 % intravenous solution,68516521602,3532.8
albumin  human 25 % intravenous solution,68982064301,2756
albumin  human 5 % intravenous solution,13533069025,4338
albumin  human 5 % intravenous solution,13533069026,4338
albumin  human 5 % intravenous solution,44206031025,7200
albumin  human 5 % intravenous solution,44206031090,7200
albumin  human 5 % intravenous solution,68516521401,4140
albumin  human 5 % intravenous solution,68516521403,4140
albumin  human 5 % intravenous solution,68982062302,6246
albumin  human 5 % intravenous solution,76125078526,4320
albumin  human 5 % intravenous solution,76125079025,4320
albumin  human 5 % intravenous solution,76125079026,4320
albuterol sulfate 2 mg tablet,51079065720,141
albuterol sulfate 2 mg tablet,53489017601,117.52
albuterol sulfate 2 mg tablet,68084094995,132.72
albuterol sulfate 2.5 mg/3 mL (0.083 %) solution for nebulization,487950101,20
albuterol sulfate 4 mg tablet,51079065801,70.52
albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization,487990102,20
albuterol sulfate concentrate 2.5 mg/0.5 mL solution for nebulization,487990130,20
albuterol sulfate concentrate 5 mg/mL(0.5 %) solution for nebulization,24208034720,417.2
albuterol sulfate concentrate 5 mg/mL(0.5 %) solution for nebulization,50383074120,800
albuterol sulfate HFA 90 mcg/actuation aerosol inhaler,173068220,1289.88
albuterol sulfate HFA 90 mcg/actuation aerosol inhaler,173068221,514.08
albuterol sulfate HFA 90 mcg/actuation aerosol inhaler,173068224,514.08
albuterol sulfate HFA 90 mcg/actuation aerosol inhaler,59310057922,1429.52
alclometasone 0.05 % topical cream,51672130601,961.52
aldesleukin 22 million unit intravenous solution,65483011607,46847
alemtuzumab 12 mg/1.2 mL intravenous solution,58468020001,223453.28
alemtuzumab 30 mg/mL intravenous solution,58468035701,17650
alendronate 10 mg tablet,51079094101,20
alendronate 10 mg tablet,51079094105,20
alendronate 35 mg tablet,93517244,409.76
alendronate 5 mg tablet,93514056,58.56
alendronate 70 mg tablet,51079094201,204.64
alendronate 70 mg tablet,69543013120,204.88
alfuzosin ER 10 mg tablet extended release 24 hr,59212020010,482.4
alglucosidase alfa 50 mg intravenous solution,58468016001,9420
alglucosidase alfa 50 mg intravenous solution,58468016002,9420
aliskiren 300 mg tablet,78048615,75.8
aliskiren 300 mg tablet,70839030030,90.8
allopurinol 100 mg tablet,51079020501,20
allopurinol 100 mg tablet,51079020520,20
allopurinol 100 mg tablet,62584098811,20
allopurinol 300 mg tablet,51079020601,20
allopurinol 300 mg tablet,51079020620,20
allopurinol 300 mg tablet,62584071301,20
allopurinol 300 mg tablet,62584071311,20
allopurinol 500 mg intravenous solution,67457018750,47844.72
almotriptan malate 12.5 mg tablet,50458021001,1024.88
alpha-1-proteinase inhibitor (human) 1 000 mg intravenous solution,53720102,20
alpha-1-proteinase inhibitor(human) 1 gram/50 mL(2 %) intravenous soln,944288401,20
alpha-1-proteinase inhibitor(human) 1 gram/50 mL(2 %) intravenous soln,944288402,20
ALPRAZolam 0.25 mg tablet,904585861,20
ALPRAZolam 0.25 mg tablet,51079078820,20
ALPRAZolam 0.25 mg tablet,68084064701,20
ALPRAZolam 0.25 mg tablet,68084064711,20
ALPRAZolam 0.5 mg tablet,904585961,20
ALPRAZolam 0.5 mg tablet,51079078901,20
ALPRAZolam 0.5 mg tablet,51079078920,20
ALPRAZolam 1 mg tablet,904586061,20
alprostadil 20 mcg intracavernosal kit,52244002002,2981.6
alprostadil 40 mcg intracavernosal kit,52244004002,4071.68
alprostadil 500 mcg/mL injection solution,9316901,2276.48
alprostadil 500 mcg/mL injection solution,9316906,2276.48
alteplase 100 mg intravenous solution,50242008525,422417.28
alteplase 100 mg intravenous solution,50242008527,422417.28
alteplase 2 mg intra-catheter solution,50242004163,2938.72
alteplase 2 mg intra-catheter solution,50242004164,2938.72
alteplase 50 mg intravenous solution,50242004406,158406.6
alteplase 50 mg intravenous solution,50242004413,158406.6
aluminum hydroxide gel 320 mg/5 mL oral suspension,536009185,113.52
aluminum-mag hydroxide-simethicone 200 mg-200 mg-20 mg/5 mL oral susp,121176130,55.8
aluminum-magnesium hydroxide 200 mg-200 mg/5 mL oral suspension,121176030,52.8
alvimopan 12 mg capsule,67919002010,3021.52
amantadine HCl 100 mg capsule,50268006911,69.68
amantadine HCl 100 mg capsule,51079024701,65.96
amantadine HCl 100 mg capsule,68084061101,20
amantadine HCl 100 mg capsule,68084061111,20
amantadine HCl 50 mg/5 mL oral solution,121064610,51.4
amantadine HCl 50 mg/5 mL oral solution,121064616,1437.92
amantadine HCl 50 mg/5 mL oral solution,50383080710,53.6
amantadine HCl 50 mg/5 mL oral solution,60432009316,1390.64
ambrisentan 5 mg tablet,61958080101,4716.16
ambrisentan 5 mg tablet,61958080102,4716.16
amikacin 1 000 mg/4 mL injection solution,703904001,588.24
amikacin 1 000 mg/4 mL injection solution,703904003,588.24
amikacin 1 000 mg/4 mL injection solution,63323081504,559.2
amikacin 500 mg/2 mL injection solution,641616701,192
amikacin 500 mg/2 mL injection solution,641616710,192
amikacin 500 mg/2 mL injection solution,703903201,294.2
amikacin 500 mg/2 mL injection solution,23155029031,196
amikacin 500 mg/2 mL injection solution,23155029041,196
aMILoride 5 mg tablet,574029201,20
aMILoride 5 mg tablet,50268007111,20
aMILoride 5 mg tablet,50268007115,20
amino acid 10 % intravenous solution,264934155,580
amino acids-protein hydrolysate 15 gram-60 kcal/30 mL oral liquid pack,94688001476,20
aminocaproic acid 250 mg/mL (25 %) oral solution,49411005208,28479.32
aminocaproic acid 250 mg/mL intravenous solution,409434673,472.8
aminocaproic acid 500 mg tablet,49411005030,488.64
aminophylline 250 mg/10 mL intravenous solution,409592101,272.8
amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose 5 % intravenous soln,61553072548,20
amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose 5 % intravenous soln,70092100236,1600
amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose 5 % intravenous soln,71019000601,20
amiodarone 200 mg tablet,185014460,20
amiodarone 200 mg tablet,63739038710,20
amiodarone 200 mg tablet,68084037101,20
amiodarone 200 mg tablet,68084037111,20
amiodarone 200 mg tablet,68382022714,20
amiodarone 400 mg tablet,245014530,74.8
amiodarone 400 mg tablet,51672405706,20
amiodarone 50 mg/mL intravenous solution,143987501,20
amiodarone 50 mg/mL intravenous solution,143987510,20
amiodarone 50 mg/mL intravenous solution,63323061603,20
amiodarone 50 mg/mL intravenous solution,63323061609,20
amiodarone 50 mg/mL intravenous solution,67457015318,56.72
amitriptyline 10 mg tablet,51079013101,20
amitriptyline 100 mg tablet,603221621,20
amitriptyline 100 mg tablet,781149001,20
amitriptyline 100 mg tablet,51079056301,20
amitriptyline 25 mg tablet,603221321,20
amitriptyline 25 mg tablet,904020161,20
amitriptyline 25 mg tablet,51079010701,20
amitriptyline 25 mg tablet,51079010720,20
amitriptyline 50 mg tablet,781148801,20
amitriptyline 50 mg tablet,51079013301,20
amitriptyline 50 mg tablet,51079013320,20
amitriptyline 75 mg tablet,51079014701,20
amLODIPine 10 mg-atorvastatin 40 mg tablet,69225030,463.88
amLODIPine 2.5 mg tablet,51079045001,20
amLODIPine 2.5 mg tablet,68084025801,20
amLODIPine 2.5 mg tablet,68084025811,20
amLODIPine 5 mg tablet,603210902,20
amLODIPine 5 mg tablet,50268008411,20
amLODIPine 5 mg tablet,51079045101,20
amLODIPine 5 mg tablet,51079045120,20
amLODIPine 5 mg tablet,68084025901,20
amLODIPine 5 mg tablet,68084025911,20
ammonia aromatic 15 % (w/v) solution for inhalation,39822990002,20
ammonium lactate 12 % lotion,904598426,94.92
ammonium lactate 12 % lotion,92771061208,150.96
amoxicillin 125 mg/5 mL oral suspension,93415080,93
amoxicillin 125 mg/5 mL oral suspension,143988815,72
amoxicillin 125 mg-potassium clavulanate 31.25 mg/5 mL oral susp,43598001252,8008.8
amoxicillin 200 mg-potassium clavulanate 28.5 mg/5 mL oral suspension,143998150,207
amoxicillin 200 mg-potassium clavulanate 28.5 mg/5 mL oral suspension,66685101100,369
amoxicillin 250 mg capsule,781202001,20
amoxicillin 250 mg/5 mL oral suspension,143988901,70
amoxicillin 250 mg/5 mL oral suspension,781604146,122
amoxicillin 250 mg-potassium clavulanate 125 mg tablet,781187431,118.36
amoxicillin 250 mg-potassium clavulanate 62.5 mg/5 mL oral suspension,43598020451,1740
amoxicillin 250 mg-potassium clavulanate 62.5 mg/5 mL oral suspension,43598020452,2323.2
amoxicillin 400 mg/5 mL oral suspension,143988750,78
amoxicillin 400 mg/5 mL oral suspension,143988775,117
amoxicillin 400 mg/5 mL oral suspension,781615746,196
amoxicillin 400 mg/5 mL oral suspension,781615752,98
amoxicillin 400 mg-potassium clavulanate 57 mg/5 mL oral suspension,143998250,259
amoxicillin 400 mg-potassium clavulanate 57 mg/5 mL oral suspension,66685101200,703
amoxicillin 400 mg-potassium clavulanate 57 mg/5 mL oral suspension,66685101202,1378
amoxicillin 500 mg capsule,781261301,20
amoxicillin 500 mg capsule,76439010410,20
amoxicillin 500 mg-potassium clavulanate 125 mg tablet,66685100200,75.72
amoxicillin 500 mg-potassium clavulanate 125 mg tablet,66685100202,73.44
amoxicillin 600 mg-potassium clavulanate 42.9 mg/5 mL oral suspension,93867578,768
amoxicillin 600 mg-potassium clavulanate 42.9 mg/5 mL oral suspension,781613948,2086.4
amoxicillin 600 mg-potassium clavulanate 42.9 mg/5 mL oral suspension,781613957,1036.52
amoxicillin 875 mg-potassium clavulanate 125 mg tablet,66685100101,98
amphotericin B 50 mg solution for injection,39822105505,2736
amphotericin B liposome 50 mg intravenous suspension,469305130,4745.12
ampicillin 1 gram solution for injection,781340485,172.8
ampicillin 1 gram solution for injection,55150011310,164.2
ampicillin 1 gram solution for injection,63323038910,141.6
ampicillin 125 mg/5 mL oral suspension,67253018210,190
ampicillin 125 mg/5 mL oral suspension,67253018220,332
ampicillin 2 gram solution for injection,781340880,335
ampicillin 2 gram solution for injection,781340895,335
ampicillin 2 gram solution for injection,781927380,335
ampicillin 2 gram solution for injection,25021013720,180
ampicillin 2 gram solution for injection,55150011420,318.4
ampicillin 2 gram solution for injection,63323039923,190.6
ampicillin 250 mg capsule,781214401,20
ampicillin 250 mg capsule,67253018010,20
ampicillin 250 mg solution for injection,63323038710,54
ampicillin 500 mg capsule,781214501,20
ampicillin 500 mg capsule,67253018110,20
ampicillin 500 mg solution for injection,44567010110,72
ampicillin 500 mg solution for injection,63323038810,59
ampicillin-sulbactam 1.5 gram solution for injection,49001381,182.4
ampicillin-sulbactam 1.5 gram solution for injection,49001383,182.4
ampicillin-sulbactam 1.5 gram solution for injection,25021014220,132
ampicillin-sulbactam 1.5 gram solution for injection,55150011620,154.8
ampicillin-sulbactam 1.5 gram solution for injection,63323036820,93.4
ampicillin-sulbactam 1.5 gram solution for injection,67457034815,162.8
ampicillin-sulbactam 3 gram solution for injection,49001481,344.4
ampicillin-sulbactam 3 gram solution for injection,49001483,344.4
ampicillin-sulbactam 3 gram solution for injection,641611701,152.4
ampicillin-sulbactam 3 gram solution for injection,25021014330,216
ampicillin-sulbactam 3 gram solution for injection,44567021110,382.8
ampicillin-sulbactam 3 gram solution for injection,55150011720,292
ampicillin-sulbactam 3 gram solution for injection,63323036920,185
ampicillin-sulbactam 3 gram solution for injection,67457034903,307.4
anagrelide 0.5 mg capsule,172524160,223.28
anakinra 100 mg/0.67 mL subcutaneous syringe,66658023401,2684.16
anakinra 100 mg/0.67 mL subcutaneous syringe,66658023407,2684.16
anakinra 100 mg/0.67 mL subcutaneous syringe,66658023428,2101.76
anastrozole 1 mg tablet,60687011211,20
anastrozole 1 mg tablet,60687011221,20
anastrozole 1 mg tablet,68084044811,20
anastrozole 1 mg tablet,68084044821,20
anidulafungin 100 mg intravenous solution,49011628,3456
anidulafungin 50 mg intravenous solution,49011428,1728
antihemophilic factor (recomb) 1 000 (+/-) unit intravenous solution,944284310,20
antihemophilic factor (recomb) 500 (+/-) unit intravenous solution,944284210,20
antihemophilic factor 801 unit-1 500 unit intravenous powder for soln,944394402,20
antihemophilic factor VIII  full length 1 000 (+/-) unit IV solution,26378555,20
antihemophilic factor VIII  full length 1 000 (+/-) unit IV solution,26478501,20
antihemophilic factor VIII  full length 1 000 (+/-) unit IV solution,944305302,20
antihemophilic factor VIII  full length 250 (+/-) unit IV solution,26378225,20
antihemophilic factor VIII  full length 250 (+/-) unit IV solution,26382125,20
antihemophilic factor VIII  full length 250 (+/-) unit IV solution,944305102,20
antihemophilic factor VIII  full length 500 (+/-) unit IV solution,53813202,20
antihemophilic factor VIII rec B-domain delet 1 000 (+/-) unit IV soln,58394001401,20
antihemophilic factor-vWF 1 000 (400 vWF) unit/10 mL intravenous soln,84,72.52
antihemophilic factor-vWF 1 000 (400 vWF) unit/10 mL intravenous soln,68516460302,20
antihemophilic factor-vWF 1 000 unit-2 400 unit intravenous solution,63833061702,20
antihemophilic factor-vWF 1 500 (600 vWF) unit/10 mL intravenous soln,68516460402,20
antihemophilic factor-vWF 250 unit-600 unit intravenous kit,81,75.36
antihemophilic factor-vWF 250 unit-600 unit intravenous solution,63833061502,20
antihemophilic factor-vWF 500 unit-1 200 unit intravenous solution,63833061602,20
antihemophilic FVIII  B-dom truncated 250 (+/-) unit intravenous soln,169782501,20
antihemophilic FVIII B-dom truncated 1 000 (+/-) unit intravenous soln,169781001,20
antihemophilic FVIII B-dom truncated 1 500 (+/-) unit intravenous soln,169781501,20
antihemophilic FVIII B-dom truncated 2 000 (+/-) unit intravenous soln,169782001,20
antihemophilic FVIII B-dom truncated 3 000 (+/-) unit intravenous soln,169783001,20
antihemophilic FVIII B-dom truncated 500 (+/-) unit intravenous soln,169785001,20
antihemophilic FVIII full length (alb-free) 500 (+/-) unit IV solution,26378335,20
antihemophilic FVIII full length (alb-free) 500 (+/-) unit IV solution,26382225,20
antihemophilic FVIII full length (alb-free) 500 (+/-) unit IV solution,26482201,20
antihemophilic FVIII full length (alb-free) 500 (+/-) unit IV solution,944305202,20
antihemophilic FVIII full length pegylated 250 (+/-) unit IV solution,944425202,20
antihemophilic FVIII rec B-domain deleted 1 000 (+/-) unit IV syringe,58394002403,20
anti-inhibitor coagulant complex 651 unit-1 200 unit intravenous soln,64193042402,51.8
antithrombin III (human) 500 (+/-) unit intravenous solution,13533060320,93.2
anti-thymocyte globulin (rabbit) 25 mg intravenous solution,58468008001,11495.52
apixaban 2.5 mg tablet,3089321,167.64
apixaban 2.5 mg tablet,3089331,167.64
apixaban 5 mg tablet,3089421,83.8
apixaban 5 mg tablet,3089431,83.8
apraclonidine 0.5 % eye drops,17478071610,1810.8
apraclonidine 0.5 % eye drops,61314066505,1735.4
aprepitant 125 mg capsule,6046201,4200.4
aprepitant 125 mg capsule,6046206,4200.4
aprepitant 80 mg capsule,6046101,4200.36
aprepitant 80 mg capsule,6046106,4200.36
aprepitant 80 mg capsule,781232246,3260.56
aprepitant 80 mg capsule,68462058440,3260.16
aprepitant 80 mg capsule,68462058476,3260.16
arformoterol 15 mcg/2 mL solution for nebulization,63402091101,388.4
argatroban 100 mg/mL intravenous solution,7440701,15762
argatroban 100 mg/mL intravenous solution,143967401,14185.8
argatroban 100 mg/mL intravenous solution,63323052603,9705.6
argatroban 50 mg/50 mL (1 mg/mL) in sodium chloride (iso-osmotic) IV,42367020307,4358.4
argatroban 50 mg/50 mL (1 mg/mL) in sodium chloride (iso-osmotic) IV,42367020384,4358.4
arginine HCl (L-arginine) 10 % intravenous solution,9043601,894
ARIPiprazole 10 mg tablet,13811068130,128.32
ARIPiprazole 10 mg tablet,59148000813,142.72
ARIPiprazole 10 mg tablet,60687017911,120.16
ARIPiprazole 10 mg tablet,62332009930,128
ARIPiprazole 15 mg tablet,13811068230,85.52
ARIPiprazole 15 mg tablet,59148000913,95.16
ARIPiprazole 15 mg tablet,60687019111,82.4
ARIPiprazole 15 mg tablet,62332010030,85.32
ARIPiprazole 2 mg tablet,13811067910,641.48
ARIPiprazole 2 mg tablet,13811067930,641.52
ARIPiprazole 2 mg tablet,59148000613,713.6
ARIPiprazole 2 mg tablet,60687015711,618.16
ARIPiprazole 2 mg tablet,62332009730,640
ARIPiprazole 20 mg tablet,13811068310,90.72
ARIPiprazole 20 mg tablet,59148001013,100.92
ARIPiprazole 20 mg tablet,62332010130,90
ARIPiprazole 30 mg tablet,59148001113,67.28
ARIPiprazole 30 mg tablet,60687021311,55.2
ARIPiprazole 5 mg tablet,13811068030,256.6
ARIPiprazole 5 mg tablet,59148000713,285.44
ARIPiprazole 5 mg tablet,60687016811,240.32
ARIPiprazole 5 mg tablet,62332009830,256
arsenic trioxide 1 mg/mL intravenous solution,63459060010,9773.28
arsenic trioxide 2 mg/mL intravenous solution,63459060106,10692
arsenic trioxide 2 mg/mL intravenous solution,63459060111,10692
artemether-lumefantrine 20 mg-120 mg tablet,78056845,490.56
articaine 4 %-epinephrine bitartrate 1:100 000 injection cartridge,66312060116,20
artificial tears (hypromellose) 0.2 % eye drops,78051724,134.72
artificial tears (hypromellose) 0.3 % eye drops,78051824,161.72
artificial tears (hypromellose) 0.3 % eye gel,78042947,156
ascorbic acid (vitamin C) 250 mg tablet,904052260,20
ascorbic acid (vitamin C) 500 mg tablet,904052361,20
ascorbic acid (vitamin C) 500 mg tablet,904052380,20
ascorbic acid (vitamin C) 500 mg/5 mL syrup,536016097,20
ascorbic acid (vitamin C) 500 mg/mL injection solution,67457011850,1737.6
asenapine 10 mg sublingual tablet,456241006,240.16
asenapine 5 mg sublingual tablet,456240560,480.32
aspirin 25 mg-dipyridamole 200 mg capsule ext.release 12 hr multiphase,93304006,138.52
aspirin 25 mg-dipyridamole 200 mg capsule ext.release 12 hr multiphase,597000160,208.84
aspirin 25 mg-dipyridamole 200 mg capsule ext.release 12 hr multiphase,65162059606,167.12
aspirin 300 mg rectal suppository,574703412,20
aspirin 325 mg tablet,57896090101,20
aspirin 325 mg tablet,66553000101,20
aspirin 325 mg tablet delayed release,57896092101,20
aspirin 325 mg tablet delayed release,63739052301,20
aspirin 600 mg rectal suppository,574703612,20
aspirin 81 mg chewable tablet,904628889,20
aspirin 81 mg chewable tablet,63739043401,40
aspirin 81 mg chewable tablet,66553000201,20
aspirin 81 mg tablet delayed release,603002622,20
aspirin 81 mg tablet delayed release,904671318,20
aspirin 81 mg tablet delayed release,904770470,20
aspirin 81 mg tablet delayed release,46122026248,20
aspirin 81 mg tablet delayed release,63739052201,20
aspirin 81 mg tablet delayed release,63739052210,20
atazanavir 150 mg capsule,3362412,1170.6
atazanavir 200 mg capsule,3363112,877.96
atazanavir 300 mg capsule,3362212,1159.56
atenolol 100 mg tablet,51079068501,20
atenolol 25 mg tablet,93078701,20
atenolol 25 mg tablet,378021801,20
atenolol 25 mg tablet,904539261,20
atenolol 25 mg tablet,51079075901,20
atenolol 25 mg tablet,55555006505,20
atenolol 50 mg tablet,51079068401,20
atenolol 50 mg tablet,51079068420,20
atenolol 50 mg tablet,62584046711,20
atezolizumab 1 200 mg/20 mL (60 mg/mL) intravenous solution,50242091701,106566.6
atomoxetine 40 mg capsule,68462026830,77.32
atorvastatin 10 mg tablet,55555006605,20
atorvastatin 10 mg tablet,68084009701,20
atorvastatin 10 mg tablet,68084009711,20
atorvastatin 20 mg tablet,904629161,20
atorvastatin 20 mg tablet,68084009801,20
atorvastatin 20 mg tablet,68084009811,20
atorvastatin 40 mg tablet,51079021001,20
atorvastatin 40 mg tablet,51079021020,20
atorvastatin 40 mg tablet,59762015701,20
atorvastatin 40 mg tablet,68084009901,20
atorvastatin 40 mg tablet,68084009911,20
atorvastatin 80 mg tablet,51079021101,20
atorvastatin 80 mg tablet,60505267109,20
atorvastatin 80 mg tablet,68084059025,20
atorvastatin 80 mg tablet,68084059095,20
atovaquone 750 mg/5 mL oral suspension,173054700,795.8
atovaquone 750 mg/5 mL oral suspension,55555007705,326.92
atovaquone 750 mg/5 mL oral suspension,65162069388,13782.32
atovaquone-proguanil 250 mg-100 mg tablet,173067502,164.8
atovaquone-proguanil 250 mg-100 mg tablet,68001024500,142.96
atropine 0.1 mg/mL injection syringe,409163010,121.2
atropine 0.1 mg/mL injection syringe,409491134,222
atropine 0.1 mg/mL injection syringe,76329333901,216
atropine 0.4 mg/mL injection solution,517040125,168
atropine 0.4 mg/mL injection solution,641600601,842.4
atropine 0.4 mg/mL injection solution,641600610,842.4
atropine 1 % eye drops,17478021502,615
atropine 1 % eye drops,17478021505,1167.6
atropine 1 % eye ointment,24208082555,348.24
atropine 1 mg/mL injection solution,517101025,132
avelumab 20 mg/mL intravenous solution,44087353501,18593.52
axicabtagene ciloleucel intravenous suspension,71287011901,3730000
azaCITIDine 100 mg solution for injection,43598030562,15360
azaCITIDine 100 mg solution for injection,59572010201,16854.96
azaCITIDine 100 mg solution for injection,67457025430,14822.88
azaTHIOprine 100 mg solution for injection,143956601,4800
azaTHIOprine 50 mg tablet,54808425,20
azaTHIOprine 50 mg tablet,51079062001,20
azaTHIOprine 50 mg tablet,68084022911,20
azaTHIOprine 50 mg tablet,68382000301,20
azithromycin 1 % eye drops,17478030703,3414.56
azithromycin 1 gram oral packet,59762305101,582.6
azithromycin 200 mg/5 mL oral suspension,93202631,697.8
azithromycin 200 mg/5 mL oral suspension,59762312001,697.52
azithromycin 200 mg/5 mL oral suspension,59762314001,697.8
azithromycin 250 mg tablet,781149631,155.68
azithromycin 250 mg tablet,781149669,155.68
