Procedure Description,Unit Price
HC AB ID RBC EA PANEL EA TECHN COMPLEX,644
HC AB ID RBC EA PANEL EA TECHN SIMPLE,219
HC AB ID; LEUKOCYTE AB,1359
HC AB ID; LEUKOCYTE AB,219
HC AB ID; LEUKOCYTE AB-SO,56
HC AB ID; PLATELET AB,559
HC AB ID; PLATELET AB,559
HC AB ID; PLATELET IG ASSAY,745
HC AB SCREEN-ANTIGLOBULI - CHRG O,116
HC AB SCREEN-IMMED.SPIN - CHRG ON,67
HC AB SCREEN-INCUBATION - CHRG ON,116
HC AB; BLASTOMYCES,178
HC AB; COCCIDIOIDES  CF,99
HC AB; COCCIDIOIDES  CSF,99
HC AB; ENCEPHALITIS E EQUINE,181
HC AB; ENCEPHALITIS W EQUINE,181
HC AB; ENTEROVIRUS A,179
HC AB; ENTEROVIRUS AB,179
HC AB; GIARDIA LAMBLIA,74
HC AB; HAAB - TOTAL,173
HC AB; HBCAB - TOTAL,169
HC AB; HISTOPLASMA,171
HC AB; HIV-1,124
HC AB; HIV-2,308
HC AB; MUMPS,211
HC AB; RUBELLA,199
HC AB; RUBELLA-SO,133
HC AB; RUBEOLA,134
HC AB; TETANUS,203
HC AB; VIRUS NES; DENGUE FEVER,64
HC AB; YERSINIA,119
HC AB;HELMINTH NES STRONGYLOIDES,188
HC ABD AORTOGRAM W BILAT RUNOFF S&I,4096
HC ABD PARACENTESIS W/IMAG GUID,1161
HC ABD PARACENTESIS W/IMAG GUID,1161
HC ABD ULTRASOUND COMPLETE,1694
HC ABD ULTRSND LTD,1101
HC ABDOMEN ULTRSND W/CONTRAST,623
HC ABDOMEN ULTRSND W/CONTRAST,775
HC ABDOMINAL AORTOGRAM S&I,4096
HC ABDOMINAL DUPLEX SCAN  LIMITED,1931
HC ABL RENL TUMOR PERC UNI RF,8896
HC ABL1 NGS MUTATION ANALYSIS,42
HC ABLAT RENAL TUM UNI PERC CRYO,9455
HC ABLAT THER VEIN EXT W/IMG 1ST,5750
HC ABLATE ARRHYTHMIA ADD ON,15986
HC ABLATE BONE TUMOR(S) PERQ,8732
HC ABLATE TUMOR PULM 1+ PERQ CRYO,14129.37
HC ABO COMMON ALLELES,439
HC ABSC CYST CONSTRAST INJ,419
HC ABSCESS FISTULA/SINUS TRACT STUDY,862
HC ACETAMINOPHEN,283
HC ACETONE,100
HC ACETONE ASSAY,100
HC ACHILLES BOOT,697
HC ACHR MODULATING AB,362
HC ACOUSTIC REFLEX TESTING,423
HC ACTH,540
HC ACTIVATED PROTEIN C RESISTANCE,334
HC ACTIVATED PROTEIN C RESISTANCE 0300,334
HC ACTIVATED PROTEIN C RESISTANCE 0300,528
HC ACUTE GI BLOOD LOSS IMAGING,1921
HC ACYLCARNITINE  PLASMA,279
HC ACYLCARNITINES; QUAL,191
HC ADAMTS 13 ACTIVITY ,497
HC ADAMTS 13 ANTIBODY,613
HC ADAMTS 13 INHIBITOR,504
HC ADAMTS13 ACTIVITY,158
HC ADAMTS13 ANTIBODY,537
HC ADAMTS13INHIBITOR,176
HC ADD'T AG SC 21-30 U - CHRG ONL,132
HC ADD'T AG. SC 1-10 U - CHRG ONL,132
HC ADD'T AG. SC. 11-20 U - CHRG O,132
HC ADENOVIRUS ANTIBODY,176
HC ADENOVIRUS B/E,150
HC ADENOVIRUS DNA  QUALITATIVE REAL-TIME PCR,439
HC ADENOVIRUS DNA  QUANTITATIVE REAL-TIME PCR,591
HC ADMIN HEP-B VACC,80
HC ADMIN INFLU VIR VACC,30
HC ADMIN PNEUMONIA VACCINE,30
HC ADMIN VIR/VACC  EA ADL VACC,106
HC AEROB BACTERIA CULTURE STOOL,132
HC AEROB BACTERIAL BLOOD CULTURE,145
HC AEROB BLOOD CULT  BONE MARROW,145
HC AEROBIC STOOL CULT ADL PATH EA PLATE,132
HC AEROSOL INHALATION TREATMENT,578
HC AFB IDENTIFICATION DNA PROBE (SENDOUT 87149),108
HC AFO ANKLE GAUNTLET CUSTOME FIT,279
HC AFO POST SOLID ANKLE MOD PT,1752
HC AFT; AFP-L3 FRACT & TOTAL,885
HC AG NEG UNIT 1 AG - CHRG ONLY,34
HC AG NEG UNIT 2 AGS - CHRG ONLY,34
HC AG NEG UNIT 3AG - CHRG ONLY,34
HC AG NEG UNIT 4 AGS - CHRG ONLY,34
HC AG NEG UNIT 5 AGS - CHRG ONLY,34
HC AG SCREEN W/ PT SERUM - CHRG 0,133
HC AG SCREEN W/RGT - CHRG ONLY,132
HC AG TYPE NOT ABO/RH - CHRG ONLY,34
HC AGENT NOS ASSAY W/OPTIC,126
HC AHUS COMPLEMENT PROFILE (PRICE PANEL CHARGE),2887.94
HC AHUS/DDD GENETIC EVALUATION (PRICE PANEL CHARGE),13964.99
HC AIRWAY INHALATION TREATMENT,60
HC ALBUMIN  SERUM,52
HC ALBUMIN; QUAN,25
HC ALBUTEROL NDC 59310-579-22 OR 0173-0682-24,182.65
HC ALCOHOL ETHANOL,148
HC ALCOHOL NEUROLYSIS  US GUID,3184.76
HC ALDOLASE,135
HC ALDOLASE-SO,135
HC ALDOSTERONE,559
HC ALDOSTERONE-RENIN,143
HC ALK PHOS ISOENZYMES,203
HC ALKALINE PHOSPHATASE,52
HC ALKALINE PHOSPHATASE-SO,52
HC ALKALOIDS NOS,114
HC ALLERG SP IGE,81
HC ALLERG SP IGG QUAN OR SEMIQUAN,82
HC ALLERGEN SPECIFIC IGE PANEL (86003) 24,48
HC ALLERGEN SPECIFIC IGE PANEL 86003 (21),7
HC ALPHA ANTITRYPSIN PHENOTYPE,199
HC ALPHA ANTITRYSPIN TOTAL,184
HC ALPHA-FETOPROTEIN PLUS 2,230
HC ALPHA-FETOPROTEIN SERUM,230
HC ALT (SGPT) HEP C VIRUS FIBRO,73
HC ALTEPLACE INJ PER 1MG,112
HC ALUMINUM  SERUM OR URINE,349
HC AMBULATORY SURGICAL BOOT,202
HC AMIKACIN,211
HC AMINO ACID  QUANTITATIVE,382
HC AMINO ACIDS MULTI QUAL,191
HC AMITRIPTYLINE,246
HC AMMONIA  BLOOD,201
HC AMNIOCENTESIS DIAGNOSTIC,548
HC AMNIOCENTESIS PR,321
HC AMNIOCENTESIS THERAPEUTIC,1748
HC AMPHIPHYSIN WB; IM ID BANDS,329
HC AMPLIF NA PROBE NOS AGENT,518
HC AMYLASE FLUID,90
HC AMYLASE URINE,90
HC AMYLASE  BLOOD,90
HC AMYLASE URINE,90
HC AMYLOID PROTEIN IDENTIFICATION  PARAFFIN  LC-MS/MS,202
HC ANAEROB BACT CULTURE W ID,133
HC ANCILLARY GLUCOSE,52
HC ANDROSTENEDIONE,401
HC ANESTHESIA LOCAL  INJ,340
HC ANGIO EXIST CTH FOR F/U STUDY,1557
HC ANGIOGR EA ADDTL VESSEL,2800
HC ANGIOTENSIN I - CONVERTING ENZYME,180
HC ANGIOTENSIN I-CONVERTING ENZY,201
HC ANK AP & LAT 2VWS,452
HC ANKLE FORM FIT HONEYCOMB,115
HC ANORECTAL MANOMETRY,949
HC ANOSCOPY DIAG W/WO SPECIMEN,147
HC ANTERIOR THORACIC EXT,752
HC ANTI FACTOR XA,404
HC ANTI JO-1 ANTIBODY,247
HC ANTI SCL-70,247
HC ANTI SS-A,247
HC ANTI SS-B,247
HC ANTIBODY ABSORPTION,99
HC ANTIBODY ELUTION,246
HC ANTIBODY ID ABSORPTION,193
HC ANTIBODY ID LEUKOCYTE ABS,123
HC ANTIBODY ID PANEL,653
HC ANTIBODY SCREEN,177
HC ANTI-CARDIOLIPIN ANTIBODY,788
HC ANTIDEPRESSANT TRICYCLIC 1/2,131
HC ANTIDEPRESSANT TRICYCLIC 1/2-AMITRIPTYLINE,116
HC ANTIDEPRESSANT TRICYCLIC 1/2-DOXEPIN,126
HC ANTIDEPRESSANT TRICYCLIC 1/2-IMIPRAMINE,111
HC ANTIDEPRESSANT TRICYCLIC 1/2-NORTRIPTYLINE,128
HC ANTIDEPRESSANTS CLASS 1 OR 2,101
HC ANTI-DNA  DOUBLE STRANDED,193
HC ANTI-DNA  SINGLE STRANDED,170
HC ANTIEPILEPTICS NOS 1-3,101
HC ANTIGEN TYPE COMMERCIAL,129
HC ANTI-HMGCR AB (EIA),280
HC ANTI-LKM ANTIBODY,203
HC ANTI-MICROSOMAL SCREEN,203
HC ANTI-MITOCHONDRIAL SCREEN,168
HC ANTI-NEURONAL CELL ANTIBODY  CSF,70
HC ANTINEUT CYTOPLASMIC SCREEN,168
HC ANTI-NEUTRO CYTOPLASMIC AB,247
HC ANTINUCLEAR AB (ANA);,170
HC ANTINUCLEAR AB (ANA); TITER,157
HC ANTI-PARIETAL CELL SCREEN,168
HC ANTI-PLATELET AB,122
HC ANTIPSYCHOTICS NOS 1-3,128
HC ANTI-RNP,247
HC ANTI-SM,247
HC ANTI-SMOOTH MUSCLE SCREEN,168
HC ANTISTREPTOLYSIN-O TITER,101
HC ANTITHROMBIN III (ACTIVITY),480
HC ANTITHROMBIN III ACTIVITY ASSAY,480
HC APHERESIS PLASMA,2504
HC APHERESIS PLATELETS(PLT DEPLETION),2766
HC APHERESIS RBC,3533
HC APHERESIS WBC(WBC REDUCTION),3533
HC APOLIPOPROTEIN EACH,207
HC APOLIPOPROTEIN EACH-A1&B,199
HC APOLIPOPROTEIN EACH-SO,61
HC APP OF HIP CASTS 1.5 SPICA/2 L,3534
HC APPL FINGER SPLINT STATIC,236
HC APPL LONG LEG SPLINT,296
HC APPL ON-BODY INJR TIMED SQ INJ,169
HC APPL SHORT ARM SPLINT STATIC,236
HC APPL SHORT LEG SPLINT,236
HC APPL STRESS BY PHY FOR JT US,628
HC APPLICATION LONG ARM SPLINT,296
HC Application of cranial tongs  caliper  or stereotactic frame  including removal,4249
HC APPLY BODY CAST SHOULDER TO HI,824
HC APPLY CYLINDER CAST,512
HC APPLY LONG ARM CAST,497
HC APPLY LONG LEG CAST,489
HC APPLY MULTI LYR COMP WRAP,293
HC APPLY SH LEG CAST,387
HC APPLY SHORT ARM CAST,254
HC APPLY SHORT LEG CAST,665
HC APPLY TOTAL CONTACT LEG CAST,633
HC APPLY UNNA BOOT,285
HC APTT MIX,169
HC AQUA PLAST,1385
HC ARBOVIRUS AB PNL,923
HC ARBOVIRUS AB PNL (PRICE PANEL CHARGE),922.92
HC ARC AB ID/EA PANEL & MEDIA,171
HC ARC AB ID/EA PANEL & MEDIA,216
HC ARC AB ID/EA SELECTED REAGENT CELL,80
HC ARC ABO TYPE,226
HC ARC ABSORPTION  EACH - CHRG ON,171
HC ARC ANTIBODY ID PANEL - CHRG O,187
HC ARC ANTIBODY SCREEN - CHRG ONL,106
HC ARC ANTIBODY SCREEN  EA MEDIA,92
HC ARC ANTIGEN SCREENED -1,471
HC ARC ANTIGEN SCREENED -2,602
HC ARC ANTIGEN SCREENED -3,754
HC ARC ANTIGEN SCREENED -4,1106
HC ARC ANTIGEN SCREENED -5,1230
HC ARC ANTIGEN SCREENED -6,1339
HC ARC ANTIGEN SCREENED -6,1339
HC ARC ANTIGEN SCREENED -7,1511
HC ARC ANTIGEN SCREENED -7,1511
HC ARC ANTIGEN SCREENED -8,1678
HC ARC ANTIGEN SCREENED -8,1678
HC ARC ANTIGEN SCREENED -9,1511
HC ARC ANTIGEN SCREENED -9,1511
HC ARC COLD AGGULUTININ SCREEN,92
HC ARC COLD AGGULUTININ TITER,112
HC ARC DAT EA ANTISERA,47
HC ARC DAT EACH ANTISERA - CHRG O,76
HC ARC DIFF/AUTO ADS OF SERUM  EA ADS,166
HC ARC DILUTION OF SERUM  PER ALIQUOT,28
HC ARC ELUTION  EA (OUTSIDE LAB),133
HC ARC FFP PROCUREMENT 8-24 HRS,214
HC ARC FFT 8-24 HR COLL P/UNIT,158
HC ARC HEMOL & AGGLUL INCUB,146
HC ARC HEMOL & AGGLUT AUTO EA,83
HC ARC HEMOLYSINS/AGGLUTININS AUTO  EA,330
HC ARC HEMOLYSINS/AGGLUTININS INCUBATED,99
HC ARC HEP INDUCED PLT AB CONFIRM,129
HC ARC HEP INDUCED PLT AB WORK-UP,1166
HC ARC HPA-LA (PLA-1) ANTIGEN NEG,1148
HC ARC HPA-LA (PLA-1) ANTIGEN NEG,1190
HC ARC IGA TESTING,128
HC ARC INCUBATE W/DRUGS - CHRG ON,401
HC ARC INCUBATION W/INHIBITORS  PER ALIQUOT,111
HC ARC INCUBATION: SERUM & DRUGS  EA,1095
HC ARC INDIRECT TITER  PER AB,148
HC ARC PATIENT PHENOTYPE - CHRG O,34
HC ARC PLATELET AB ID  PSIFT,130
HC ARC PLATELET AG TYPING,1097
HC ARC PLATELET ANTIBODY  ELISA,1170
HC ARC PLATELETS IR P/UNIT,434
HC ARC PLATELETS PHER LR IR P/UN,1101
HC ARC PLATELETS PHER P/UNIT,1242
HC ARC PLT AB DRUG INCUBATION,931
HC ARC PLT AB PER TEST,143
HC ARC PLT ASSOCIATED IG ASSAY,1285
HC ARC PRE-RX RBCS W/CHEMICALS/DRUGS  PER CELL,79
HC ARC PRE-TREAT W/ENZYMES  PER CELL,21
HC ARC RBC AG  OTHER THAN ABO OR D  EA,88
HC ARC RBC IR P/UNIT,729
HC ARC RH PHENOTYPE - CHRG ONLY,108
HC ARC RH PHENOTYPING COMPLETE,108
HC ARC RH TYPE (OUTSIDE LAB),47
HC ARC SEPARATION BY DENSITY GRADIENT  RETICS,1095
HC ARC SERUM DILUTION - CHRG ONLY,28
HC ARC SERUM INHIBITION - CHRG ON,72
HC ARC SPEC ANTIGLOB TEST,1352
HC ARC WHL BLD LR IR P/UNIT,1226
HC ARC WHL/RBC LR FR DEGL WA P/UN,1072
HC ARC-ANTIGEN SCREENING 10+,237
HC ARC-ANTIGEN SCREENING 11-20,361
HC ARC-ANTIGEN SCREENING 21-30,602
HC ARC-EACH ADDITIONAL ANTIGEN  CPT,546
HC ARC-RARE UNIT HIGH FREQUENCY,1398
HC ARC-RARE UNIT PHENOTYPE,1297
HC ARSENIC  QUANTITATIVE,262
HC ART CATH - SAMPLE/MONITOR/TRANS,620
HC ARTERIAL CATH,620
HC ARTERIAL PUNCT BLD FOR OX DIAG,361
HC ARTHROCEN ASP OR INJ SMALL JT,467
HC ARTHROCENTESIS SM JT/BURSA/GAN,467
HC ARTHROGRAM ELBOW S&I,1706
HC ARTHROGRAM HIP S&I,1706
HC ARTHROGRAM KNEE S&I,1494
HC ARTHROGRAM SHOULDER S&I,1867
HC ARTHROPLASTY KNEE TIBIAL PLATEAU;,4376
HC ARTHROPOD MACROSCOPIC EX,57
HC ARTHROTOMY KNEE W BX SYNOVIAL ONLY,8326.59
HC A-SCAN EYE US W IOL MEASR,481
HC ASCORBIC ACID,135
HC ASHKENAZI JEWISH PANEL (11 TESTS),5578
HC ASHKENAZI JEWISH PANEL (4 TESTS) (PRICE PANEL CHARGE),2622.97
HC ASP AND/OR INJECT THYROID CYST,770
HC ASP BREAST EA ADL CYST,336
HC ASP VITREOUS SUBRETIN CR CHORID FLUID,12953
HC ASP/INJ GANGLION CYST ANY LOC,535
HC ASP/INJ INTERM JT/BURSA US GUI,467
HC ASP/INJ MAJOR JT/BURSA US GUID,467
HC ASPEN COLLAR,330
HC ASPEN COLLAR PADS,211
HC ASPERGILLUS ANTIGEN  EIA  SERUM,190
HC ASPERGILLUS FLAVUS ANTIBODIES,208
HC ASPERGILLUS INFECT AGT DET,152
HC ASPERGILLUSANTIGEN  EIA  BAL,318
HC ASPIRATE PLEURA W IMAGING,1656
HC ASPIRATE PLEURA W/O IMAGING,1775
HC ASPRIATION OF BLADDER:BY TROCAR OR INTRACATHETER,2751
HC ASSAY CARBOXYHB QUANT,73
HC ASSAY IGA/IGD/IGG/IGM EACH,76
HC ASSAY IGA/IGD/IGG/IGM EACH,128
HC ASSAY NONENDOCRINE IL2 RECEPTR,351
HC ASSAY OF BLOOD FATTY ACIDS PANEL 82725,52
HC ASSAY OF BLOOD LIPOPROTEIN LDL,126
HC ASSAY OF LIPOPROTEIN(A),181
HC ASSAY OF PROTEIN SERUM TOTAL,48
HC ASSAY OF RIBOFLAVIN (VITAMIN B-2),277
HC ASSAY OF SERUM ALBUMIN,76
HC ASSAY OF SERUM SODIUM,6.8
HC ASSAY OF THIAMINE (VITAMIN B-1),293
HC ASSAY PH BODY FLUID NOS,39
HC AST OR SGOT,68
HC ATTEN CURRENT STATUS,0.01
HC ATTEN D/C STATUS,0.01
HC ATTEN GOAL STATUS,0.01
HC AUDITORY EP - COMPREHENSIVE,1519
HC AUDITORY EP - LIMITED,1014
HC AUTO ANTIBODY ID PANEL,653
HC AUTO ANTIBODY SCREEN,177
HC AUTO BLOOD TYPE ABO,212
HC AUTO BLOOD TYPE RH,134
HC AUTOIMMUNE NEURO AB PANEL (PRICE PANEL CHARGE),10024.63
HC AUTOLOGOUS COLLECTION,350
HC AUTOM ERYTHROCYTE SED RATE,33
HC AUTOM URINALYSIS WO MICRO,30
HC AUTOM URINE DIP W MICRO,43
HC AUTOMATED PLATELET COUNT,68
HC AUTO-TRANSFUSION,5544
HC AUTO-TRANSFUSION,5544
HC AVULSION NAIL PLATE 1,242
HC AVULSION NAIL PLATE SINGLE,242
HC B CELL RECEPTOR IGK  PRICE PANEL CHARGE,384.99
HC B CELLS  TOTAL COUNT,140
HC B SCAN,487
HC B2 GLYCOPROTEN I AB,850
HC BABESIA MICROTI DNA  REAL-TIME PCR,506
HC BACTERIAL CULTURE - OTHR SOURCE,122
HC BACTERIUM  ANTIBODY,276
HC BAL DILAT IC VASOSPM ADL SAME VF,12500
HC BALLOON ANGIOPLASTY INTRACRANI,4144
HC BALLOON CATHTER COOK SCI,1083
HC BALLOON DILATE URTRL STRICT,2669
HC BANDING HEMORRHOIDS,1565
HC BARTONELLA,141
HC BARTONELLA ANTIBODY,67
HC BASIC METABOLIC PANEL,422
HC BASIC METABOLIC PNL W/CAI,568
HC BASIC RAD DOSIMETRY CALCULAT,602
HC BASIC VESTIBULAR EVALUATION ,649
HC BAT CLPS ELEC/COMBO VAD REP,1421
HC BCR-ABL1 MAJOR BP Quant,1495
HC BCR-ABL1 MINOR BP Quant,1495
HC BE COLON W AIR & BARIUM,1580
HC BED SIDE MINOR PROCEDURE,839
HC BEHAVRAL QUALIT ANALYS VOICE,341
HC BELT/VEST ELEC/COMBO VAD REP,521
HC BENZODIAZEPINE QUALITATIVE,190
HC BENZODIAZEPINES1-12; LORAZEPAM,305
HC BENZODIAZEPINES1-12;CLONAZEPAM,135
HC BETA 2-MICROGLOBULIN URINE,222
HC BIL ENDO PERC DX W/SPECI-BRUSH,3734
HC BILE DUCT STNT;NEW W/SEP CATH,13362
HC BILE DUCT STNT;NEW WO SEP CATH,13362
HC BILIARY DILAT W/O STENT S&I,3638
HC BILIARY DILATATION W/O STENT,3734
HC BILIARY DILATATION W/STENT,3734
HC BILIARY STENT DRAINAGE  INTERNAL,7064
HC BILIARY WHITAKER TEST,930
HC BILIRUBIN DIRECT,18
HC BILIRUBIN TOTAL,71
HC BILIRUBIN TOTAL OUTREACH,23
HC BILIRUBIN TOTAL-SO,71
HC BILIRUBIN TOTAL MICRO,71
HC BIOPROBE,109
HC BIOPSY LUNG/MEDIAS PERC NEDL,1338
HC BIOPSY MUSCLE DEEP,4428
HC BIOPSY RENAL  PERCU,1338
HC BIOPSY SALIVARY GLAND; NEEDLE,1830
HC BIOPSY SKIN 1 LESION,280
HC BIOPSY  PANCREAS,1673
HC BIOPSY  PLEURA,1338
HC BIOPSY  PROSTATE,1338
HC BIOPSY/EXCISION LYMPH NODE,1250
HC BIOPSY; OROPHARYNX,6922
HC BIOPUMP,732
HC BIOTINIDASE,231
HC BLAPLAROTOMY DRAIN ABCESS LIK,887
HC BLD GLUCOSE CHECK,31
HC BLD GLUCOSE CHECK PRE & POST,31
HC BLINK REFLEX TEST,986
HC BLOOD CARDIOPLEGIA SET,488
HC BLOOD CLOT FACTOR VIII TEST,364
HC BLOOD COUNT RETICULOCYTE CNT,53
HC BLOOD COUNT  WBC'S,34
HC BLOOD GAS ARTERIAL,272
HC BLOOD GAS PH ONLY,119
HC BLOOD GAS VENOUS,272
HC BLOOD GASES PH PC02 P02 SIMUL,272
HC BLOOD ID FILM ARRAY,134
HC BLOOD OSMOLALITY,92
HC BLOOD PRODUCT POOLING - CHRG O,67
HC BLOOD SCREENING-FETAL,91
HC BLOOD SPLIT UNIT,405
HC BLOOD TYPE,226
HC BLOOD TYPE (SEED ACCT),212
HC BLOOD TYPING; ABO,226
HC BLOOD TYPING; ABO,226
HC BLOOD WARMER,77
HC BM IMAGING; LIMITED,964
HC BME POST BLOOD MONO,1098
HC BME POST BLOOD T-CELL,1098
HC BME POST BLOOD TOTAL,4083
HC BME POST BM MONO,1098
HC BME POST BM TOTAL,873
HC BME PRE BMT SPEC 1,905
HC BME PRE BMT SPEC 2,905
HC BODY FIX,1385
HC BODY POS CURRENT STATUS,0.01
HC BODY POS CURRENT STATUS,0.01
HC BODY POS D/C STATUS,0.01
HC BODY POS D/C STATUS,0.01
HC BODY POS GOAL STATUS,0.01
HC BODY POS GOAL STATUS,0.01
HC BONE BIOPSY TROCAR/NEEDLE,3413
HC BONE BX TR/NDL; SUPERF,1661
HC BONE IMAGING 3 PHASE,1818
HC BONE IMAGING; SPECT,1711
HC BONE IMAGING; WHOLE BODY,1442
HC BONE MARROW TRANSPLANT UNIT,12103
HC BORDETELLA AB,181
HC BOWEL IMAGING; MECKEL'S,1997
HC BRACHYTHERAPY NEEDLE: PROGUIDE SHARP,135
HC BRACHYTHERAPY NEEDLE;  FLEXI NEEDLE,178
HC Brachytherapy source  non-stranded  yttrium-90  Clinical Trial,1
HC BRACHYTX ISODOSE PLAN COMPLEX,1947
HC BRACHYTX ISODOSE PLAN INTERMED,1839
HC BRACHYTX ISODOSE PLAN SIMPLE,1750
HC BRACHYTX NON-STR HDR IR-192,2445
HC BRACHYTX NON-STR YTTRIUM-90,62381
HC BRACHYTX NON-STRANDED C-131,212
HC BRACHYTX STRANDED C-131,402
HC BRAF MUTATION ANAL FFPE,1515
HC BRAF MUTATION ANAL FNA,1515
HC BRAF NGS MUTATION ANALYSIS,499
HC BRAF V 600E MUT ANAL,1515
HC BRAIN IMAGING; SPECT,3481
HC BRAIN IMAGING; W/VASCULAR FLOW,2323
HC BRAIN PET; METABOLIC EVAL,8119
HC BRAIN STIMULATION INIT HOUR,2417
HC BRCAVANTAG  ASHKENAZI JEWISH SCREEN,575
HC BREAST TOMOSYNTHE DIAG DIG U/B,190
HC BREAST TOMOSYNTHES DIG SCR BIL,190
HC BREATH HYDROGEN TEST,369
HC BROAD RANGE PCR BACTERIA (TISSUE),995
HC BROAD-RANGE PCR FUNGI (TISSUE),1623
HC BRONCH  EBUS IVNTJ PERPH LES,3231
HC BRONCH EBUS SAMPLIING 1/2 NODE,6463
HC BRONCH EBUS SAMPLING 3/> NODE,6463
HC BRONCH THERMOPLSTY 1 LOBE,5697
HC BRONCH THERMOPLSTY 2/>LOBES,5697
HC BRONCH-BRONCHIAL STENT PLACE,3226
HC BRONCH-BRONCHOALVEOLAR LAVAGE,2550
HC BRONCH-BRUSH/PROTECTED BRUSH,2550
HC BRONCH-ENDOBRONCHIAL BX,2550
HC BRONCH-EXCISION OF TUMOR,3226
HC BRONCH-FOREIGN BODY REMOVAL,2550
HC BRONCHIAL VALVE INIT INSERT,5697
HC BRONCHIAL VALVE INSERTION ADDL,5411
HC BRONCHIAL VALVE REMOV ADDL,2630
HC BRONCHIAL VALVE REMOV INIT,5697
HC BRONCHOGRAPHY,2263
HC BRONCHOGRAPHY UNILATERAL,1263
HC BRONCHOGRAPHY-BILATERAL,1263
HC BRONCHOSCOPY CLEAR AIRWAYS INITIAL,3188
HC BRONCHOSCOPY DILATE/FX REPR,3226
HC BRONCHOSCOPY RECLEAR AIRWAY,2550
HC BRONCHOSCOPY STENT ADD-ON,2263
HC BRONCHOSCOPY TREAT BLOCKAGE,4392
HC BRONCHOSCOPY/LUNG BX EACH,2550
HC BRONCHOSCOPY/NEEDLE BX ADDL,2263
HC BRONCHOSCOPY/NEEDLE BX EACH,2550
HC BRONCHOSCOPYW/MARKERS,7250
HC BRONCHOSPASM - PRE & POST BD,1098
HC BRONCH-REVISION PREVIOUS STENT,3226
HC BRONCH-TRACHEAL STENT PLACEMEN,3226
HC BRONCH-TRANSBRONCH BX ADL LOBE,2263
HC BRUCELLA ANTIBODY,113
HC BRUSH BIOPSY TRANSCATHETER,2276
HC BUNDLE OF HIS RECORDING,9911
HC BUPRENORPHINE  QUANTITATIVE URINE,168
HC BURN TX 1ST DEGREE INITIAL,185
HC BX ABD/RETROPERIT MASS,1291
HC BX BREAST 1ST LESION MR IMAG,4974
HC BX BREAST 1ST LESION STRTCTC,3421
HC BX BREAST 1ST LESION US IMAG,3421
HC BX BREAST ADD LESION MR IMAG,3979
HC BX BREAST ADD LESION STRTCTC,2738
HC BX BREAST ADD LESION US IMAG,2738
HC BX PLEURA; PERCUTANEOUS NEEDLE,1338
HC C DIFFICILE TOXIN A,155
