Charge,Unit Price
AIRWAY ORAL - 100MM - STOCK,$3.00 
AIRWAY ORAL - 40MM - STOCK,$2.00 
AIRWAY ORAL - 60MM - STOCK,$3.00 
AIRWAY ORAL - 70MM - STOCK,$2.00 
AIRWAY ORAL - 80MM - STOCK,$2.00 
AIRWAY ORAL - 90MM - STOCK,$2.00 
AIRWAY SINGLE USE,$60.00 
AKA/BKA,"$2,708.00 "
AK-CON DROP 0.1% 15ML,$37.00 
"ALA (AMINOLEVULINIC ACID),URINE",$135.00 
ALBUMIN,$36.00 
"ALBUMIN, FLUID",$36.00 
ALBUTEROL SULFATE INH/NEB 0.042%,$7.47 
ALCOHOL STERILE DEHYDRATED SDV 5ML,$80.00 
ALDACTONE TAB 25MG,$3.00 
"ALDOLASE, SERUM",$69.00 
ALDOMET TAB  250MG,$3.00 
"ALDOSTERONE, SERUM",$77.00 
"ALDOSTERONE,URINE (24HR)",$117.00 
ALIGNMENT,"$7,238.00 "
A-LINE BLOOD GAS KIT,$3.00 
ALINIA TAB 500MG,$111.00 
ALK. PHOS. FOR ISOS ASSOC CHG.,$27.00 
ALKALINE PHOS ISOENZYMES,$112.00 
ALKALINE PHOSPHATASE,$37.00 
ALKERAN TAB  2MG,$28.00 
ALLBEE W/C TAB,$2.00 
ALLEGRA-D TAB 12-HR,$11.00 
ALLEGRA-D TAB 24HR,$24.00 
ALLERGEN SPECIFIC IgG ASSOC CHG.,$61.00 
ALLEVYN HEEL,$54.42 
ALLEVYN LRG,$50.74 
ALLODERM - NONSTOCK 6 X 12,"$6,800.00 "
ALOE VERA GEL 12OZ,$24.00 
"ALPHA FETOPROTEIN, AMNIOTIC FLUID",$116.00 
"ALPHA FETOPROTEIN, MATERNAL, SINGLE",$116.00 
"ALPHA FETOPROTEIN, TUMOR MARKER",$116.00 
ALPHA GLOBULIN GENE ANALYSIS,$736.00 
"ALPHA-1-ANTITRYPSIN PHENOTYPE, SERUM",$92.00 
ALPHA-1-ANTITRYPSIN PROTEOTYPE S/Z,$428.00 
"ALPHA-1-ANTITRYPSIN, SERUM",$92.00 
ALPHACURVE 19CM,"$1,459.50 "
ALPHACURVE 24CM - NONSTOCK,"$1,459.50 "
ALPHACURVE 28CM,"$1,490.55 "
ALPHAGAN-P OPH SOLN 0.1% 5ML,$190.00 
ALREX OPH SOLN 0.2% 5ML,$202.00 
ALTACE CAP  1.25MG,$12.00 
ALTACE CAP  2.5MG,$12.00 
ALTACE CAP 10MG,$13.00 
ALUMAFOAM FINGER SPLINT,$13.00 
"ALUMINUM, SERUM",$172.00 
AMARYL TAB  2MG,$5.00 
AMBICOR PENILE PROSTHESIS,"$18,828.00 "
AMBIEN TAB  5MG,$9.25 
AMBISOME: SDV 50MG,$458.00 
AMBU BAGS PEDIACTRIC - STOCK,$71.00 
AMBU MASK PED DISC,$16.00 
AMERGE TAB  2.5MG,$162.00 
AMERICAINE AERO 20% 20ML,$24.00 
AMERICAINE OINT 30GM,$23.00 
AMERICAINE OTIC SOLN 20% 15ML,$105.00 
AMICAR SDV : 5GM/20ML,$43.00 
AMICAR TAB  500MG,$14.00 
AMIDATE VIAL : 20MG/10ML,$153.00 
"AMIKACIN, PEAK/POST",$105.00 
"AMIKACIN, RANDOM",$105.00 
"AMIKACIN, TROUGH/PRE",$105.00 
AMIKIN MDV : 1000MG/4ML,$175.00 
AMIN 4.25%/DEX 10%+ELECT:PREMIX 1L,$153.00 
AMINO ACID FRACT QUANT PLASMA ION EXCH,$337.00 
"AMINO ACID QUANT, RANDOM URINE",$337.00 
AMINOPHYLLINE SDV : 500MG/20ML,$21.00 
"AMIODARONE, SERUM",$110.00 
AMITIZA CAP   8MCG,$16.15 
AMITIZA CAP 24MCG,$21.00 
"AMITRIPTYLINE & NORTRIPTYLINE, SERUM",$112.00 
AMMONIA AMP FOR INHALATION,$2.00 
"AMMONIA, BLOOD",$100.00 
AMNIHOOK - STOCK,$5.00 
AMNIO FIX MICRONIZED,"$7,980.00 "
AMNIO FIX MICRONIZED,"$2,992.50 "
AMNIO GRAFT - NONSTOCK-REFRIGERATED,"$1,566.79 "
AMNIOCENTESIS,$524.00 
AMNIOCENTESIS TRAY  NO STOCK,$62.00 
AMNIOFIX 4.0X6.0CM,"$6,113.25 "
AMNIOSTAT FOR PG (PHOSPHATIDYL GLYCEROL),$168.00 
"AMOEBIC ANTIB., SERUM (E. HISTOLYTICA)",$87.00 
AMOXICILLIN CAP  250MG,$2.00 
AMOXICILLIN TAB 875MG,$0.55 
AMOXIL SUSP 400MG/5ML UD,$13.00 
AMP PROBE ASSOC. CHG,$213.00 
AMPHETAMINE ASSOC CHG.,$48.00 
"AMPHETAMINES ANALYSIS, SERUM",$277.00 
"AMPHETAMINES CONFIRMATION, URINE",$48.00 
AMPICILLIN ADD-V : 1 GM,$53.00 
AMPICILLIN ADD-V : 2 GM,$103.00 
AMPICILLIN CAP  250MG,$3.00 
AMPICILLIN SUS  : 250MG/5ML 5ML,$3.00 
AMPICILLIN SUS 250MG/5ML 100ML,$40.00 
AMPICILLIN VIAL :  250MG,$22.00 
AMPICILLIN VIAL :  500MG,$25.00 
AMPICILLIN VIAL : 1 GM,$45.00 
AMPICILLIN VIAL : 2 GM,$85.00 
AMPLATZ SUPER STIFF .035 X 145CM 3.5CM,$95.20 
AMPLATZ TYPE RENAL DILATOR/SHEATH SET,$609.87 
AMPLATZ WIRE GUIDE,$79.00 
AMPUTATION FINGER,"$4,700.00 "
AMPUTATION FINGER OR THUMB W/DIRECT CLOS,"$2,753.00 "
AMPUTATION FINGER/TOE,"$1,639.00 "
AMS 800 SPHINCTER URINARY PROSTHESIS,"$3,223.00 "
AMS SPHINCTER 800 PROS/ALPHAI MENTOR,"$29,084.25 "
AMYL NITRITE AMP 0.3ML,$4.00 
AMYLASE ISO ASSOC CHG.,$61.00 
AMYLASE ISOENZYMES,$61.00 
"AMYLASE, FLUID",$61.00 
"AMYLASE, SERUM",$61.00 
"AMYLASE, URINE (2HR)",$76.00 
"ANA HEp-2 SUBSTRATE, SERUM",$110.00 
ANA SCREEN W/REFLEX AUTOANTIBODIES,$87.00 
"ANA, BODY FLUID",$157.00 
ANAEROBIC CULTURE (CONFIRMATORY)HH,$125.00 
ANAEROBIC ORGANISM ID,$312.00 
ANAEROBIC SUSCEPTIBILITY,$65.00 
ANAFRANIL CAP  25MG,$6.00 
ANAL DILATION,"$2,106.00 "
"ANAPLASMA PHAGOCYTOPHILUM AB, SERUM",$103.00 
ANCA (CYTOPLASMIC NEUTROPHIL ANTIB),$84.00 
ANCEF ADD-V :  500MG,$32.00 
ANCEF ADD-V : 1 GM,$32.00 
ANCEF OPHTH SYRINGE 100MG/0.5ML,$34.00 
ANCEF SDV :  500MG,$27.00 
ANCEF SDV : 1 GM,$34.00 
ANCHOR 1.3,$842.00 
ANCHOR 2.0,$543.00 
ANCHOR 2.8MM,$424.00 
ANCHOR 5.0MM,$490.00 
ANCHOR FOOTPRINT,$926.25 
ANCHOR QFIX,$877.80 
ANCHOR ZIP 5.5 PEEK,$720.25 
ANDRODERM PATCH 2.5MG,$19.00 
"ANDROSTENEDIONE, SERUM",$196.00 
ANECTINE MDV : 20MG/ML 10ML,$103.57 
ANECTINE SYRINGE 100MG/5ML,$25.00 
ANES SVC/SUPPLIES:ADD'L 15 MIN,$75.00 
ANES SVCS/SUPPLIES:1ST 15 MIN,$750.00 
ANES. SPINAL TRAY BUPIVACAINE -STOCK,$86.00 
ANES. TRAY SPINAL LIDOCAINE -XITEM,$70.00 
"ANGIO, AV SHUNT FISTULOGRAM","$1,849.00 "
"ANGIO, BRACHIAL RETROGRADE","$3,174.00 "
"ANGIO, EXTREMITY, BILATERAL","$3,174.00 "
"ANGIO, EXTREMITY, UNILATERAL","$3,174.00 "
"ANGIO, PELVIC","$3,174.00 "
"ANGIO, PULMONARY NONSELEC CATH/INJ","$1,738.00 "
"ANGIO, PULMONARY, BILAT, SELECT","$3,174.00 "
"ANGIO, PULMONARY, UNLATERAL","$9,073.00 "
"ANGIO, SELECT, EACH ADD VESSEL","$1,608.00 "
"ANGIO, THRU CATH F/U STUDY","$1,328.00 "
"ANGIO, VISCERAL, SELECT OR SUPRASE","$11,000.00 "
ANGIOTENSIN CONV. ENZYME (ACE),$100.00 
ANKLE BRACHIAL INDEX,$475.00 
ANKLE LEFT 3 OR MORE VIEWS,$350.00 
ANKLE LEFT: PORTABLE,$350.00 
ANKLE RIGHT 3 OR MORE VIEWS,$350.00 
ANKLE RIGHT: PORTABLE,$350.00 
ANKLE STRAPPING,$132.00 
ANKLE SUPPLIES,"$7,873.01 "
ANKLE: AP/LAT LEFT,$350.00 
ANKLE: AP/LAT RIGHT,$350.00 
ANOSCOPE DISP,$7.00 
ANTIBODY I.D. PANEL,$405.00 
ANTIBODY SCREEN,$110.00 
"ANTIBODY TITER (C,D,E)",$405.00 
ANTI-IgE RECEPTOR ANTIBODY,$405.00 
ANTILIRIUM AMP 2MG/2ML,$57.00 
ANTI-MITOCHONDRIAL ANTB TITER,$75.00 
"ANTIMULLERIAN HORMONE (AMH), SERUM",$196.00 
ANTI-PM-SCL (POLYMYOSITIS ASSOCIATED),$182.00 
"ANTIPSYCHOTIC, ASSOC CHG. 80342",$176.00 
ANTI-REFLUX VALVE - STOCK,$28.00 
ANTI-SMOOTH MUSCLE ANTIBODY,$80.00 
ANTI-STREPTOLYSIN O (ASO),$51.00 
ANTI-STRIATED MUSCLE (SKELETAL),$153.00 
ANTI-THROMBIN III ACTIVITY,$87.00 
ANTIVENIN BLACK WIDOW SDV,$219.00 
ANTIVERT TAB  25MG,$5.00 
ANUSOL-HC CREAM 30GM,$127.00 
ANUSOL-HC SUPP  : 25MG,$18.00 
AORTIC DYSFUNCTION ASSOC. CHG-81410,"$3,861.00 "
"AORTOGRAPHY, ABD PLUS BIL LOWER EXT RUNO","$3,174.00 "
"AORTOGRAPHY, ABD, BY SERIOLOGRAPHY","$3,299.00 "
APLIGRAF PER SQ CM,$903.00 
APLISOL MDV : 5TU/ 0.1ML 1ML VIAL,$160.00 
APLISOL MDV : 5TU/ 0.1ML DOSE,$13.00 
APOGEE AND PERIGEE,"$7,270.00 "
APOGEE SYSTEM - NONSTOCK,"$4,166.00 "
"APOLIPOPROTEIN A1, PLASMA",$106.00 
"APOLIPOPROTEIN B, PLASMA",$106.00 
"APOLIPOPROTEIN E GENOTYPING, BLOOD",$470.00 
APP  COMP MULT LAY VEN WOUND BEL KNE BIL,$861.00 
APP SKIN SUB GRATRUNK/ARM/LEG ADD 100CM,$945.00 
APPENDECTOMY,"$2,888.00 "
APPLI COMPR BOOT OR WRAP UNNA BOOT BILAT,$861.00 
APPLI COMPR BOOT OR WRAP UNNA BOOT UNILA,$538.00 
APPLICATION CYLINDER CAST,$219.00 
APPLICATION LONG LEG AMB CAST,$219.00 
APPLICATION LONG LEG BRACE,$219.00 
APPLICATION LOWER LEG SPLINT,$132.00 
APPLICATION OF GAUNTLET CAST,$219.00 
APPLICATION OF LONG ARM CAST,$219.00 
APPLICATION OF LONG ARM SPLINT,$132.00 
APPLICATION OF LONG LEG CAST,$219.00 
APPLICATION OF SHORT ARM CAST,$395.00 
APPLICATION OF SHORT LEG CAST,$938.00 
APPLICATION OF UNNA BOOT,$197.00 
APPLICATION RIGID TOTAL CONTACT LEG CAST,$938.00 
APPLICATION SHORT LEG AMB CAST,$219.00 
APPLICATION SHORT LEG CAST,$395.00 
APPLICATOR ENDOSCOPIC,$206.89 
APPLIER MENISCAL,$223.00 
APPLY  COMP MULT LAYER VEN WOUND BEL KNE,$538.00 
APPLY LOW COST SK SUB GRF TRUN/ARM 25CM,"$1,806.00 "
APPLY LOW SK SUB GRF FACE/HAND  ADD25 CM,$494.00 
APPLY LOW SK SUB GRF FACE/HAND 100CM,"$1,806.00 "
APPLY LOW SK SUB GRF FACE/HAND ADD 100CM,$945.00 
APPLY LOW SK SUB GRF FACE/HANDS 25 CM,"$1,806.00 "
APPLY LOW SK SUB GRF TRUN/ARM  ADD100 CM,"$3,014.00 "
APPLY LOW SK SUB GRF TRUN/ARM 100 CM,"$5,909.00 "
APPLY LOW SK SUB GRF TRUN/ARM ADD 25CM,$494.00 
APPLY SKIN SUB GRAFT FACE/HAND ADD 100CM,$945.00 
APPLY SKIN SUB GRAFT FACE/HANDS 100CM,"$5,909.00 "
APPLY SKIN SUB GRAFT FACE/HANDS 25CM,"$5,909.00 "
APPLY SKIN SUB GRAFT FACE/HANDS ADD 25CM,$315.00 
APPLY SKIN SUB GRAFT TRUNK/ARM/LEG 100CM,"$9,660.00 "
APPLY SKIN SUB GRAFT TRUNK/ARM/LEG 25CM,"$5,909.00 "
APPLY SKIN SUB GRAFT TRUNK/ARM/LEG ADD,$315.00 
APRESOLINE SDV  : 20MG/1ML,$92.00 
APRESOLINE TAB  10MG,$2.00 
APRESOLINE TAB  25MG,$3.00 
APRISO ER CAP 0.375GM,$8.20 
AQUAMANTYS 6.0 BIPOLAR SET,"$1,410.75 "
AQUAMEPHYTON(ADULT ONLY)AMP: 10MG/1ML,$90.00 
AQUAMEPHYTON(NEONATAL) AMP 1MG/0.5ML,$35.00 
AQUATIC THERAPY,$95.00 
ARAVA TAB  20MG,$102.00 
AREDIA SDV  : 30MG,$633.00 
ARGATROBAN: 250MG/2.5ML VIAL,"$2,560.00 "
ARGATROBAN: 250MG/2.5ML VIAL (NON-ESRD),"$2,560.00 "
ARGINAID PACKET,$7.00 
ARICEPT TAB   5MG,$39.00 
ARICEPT TAB  23MG,$39.00 
ARIMIDEX TAB 1 MG,$68.00 
ARISTA AH 5G,"$1,380.00 "
ARIXTRA 2.5MG SYRINGE,$166.00 
ARIXTRA 5MG SYRINGE,$313.00 
ARIXTRA 7.5MG SYRINGE,$313.00 
ARM SUPPORT FOAM,$81.00 
"ARSENIC FRACTIONATION, URINE (24HR)",$153.00 
"ARSENIC, BLOOD",$130.00 
"ARSENIC, HAIR",$130.00 
"ARSENIC, NAILS",$130.00 
"ARSENIC, URINE ASSOC. CHG",$130.00 
ART IMAGING LOW EXT BILAT,$403.00 
ART IMAGING LOW EXT UNILAT,$232.00 
ARTANE TAB 2MG,$2.00 
ARTERIAL BLOOD GAS,$94.00 
ARTERIAL PRESS TUBING,$17.00 
ARTERIAL PUNCTURE,$36.00 
ARTHRITIC SURVEY/HANDS,$327.00 
ARTHROGRAM ELBOW LEFT,$821.00 
ARTHROGRAM ELBOW RIGHT,$821.00 
ARTHROGRAM HIP LEFT,$594.00 
ARTHROGRAM HIP RIGHT,$594.00 
ARTHROGRAM KNEE LEFT,$536.00 
ARTHROGRAM KNEE RIGHT,$536.00 
ARTHROGRAM SHOULDER LEFT,$821.00 
ARTHROGRAM SHOULDER RIGHT,$821.00 
ARTHROGRAM WRIST LEFT,$821.00 
ARTHROGRAM WRIST RIGHT,$821.00 
ARTHROPLASTY CERVICAL DISC,"$18,642.00 "
ARTHROPLASTY CMC TRAPEZIUM IMPLANT,"$2,978.00 "
ARTHROPLASTY FINGER,"$9,120.00 "
ARTHROPLASTY FINGERS/TOES,"$2,271.00 "
ARTHROSCOPY HIP,"$8,079.00 "
ARTHROSCOPY KNEE,"$8,079.00 "
ARTHROSCOPY METACARPAL,"$3,267.00 "
ARTHROSCOPY OF SMALL JOINT,"$8,079.00 "
ARTHROSCOPY PACK V HD,$200.00 
ARTHROSCOPY SHOULDER CLOSED,"$8,079.00 "
ARTHROSCOPY W/ACL RECONSTRUCTION,"$6,089.00 "
ARTHROSCOPY WRIST,"$7,128.00 "
ARTHROTEC TAB 50-0.2MG,$14.00 
ARTHROTEC TAB 75-0.2MG,$14.00 
ARTHROWAND SUPER MULTIVAC 50,$767.00 
ARTICULAR FX INVOLVING JOINT W/ MANIP,$273.00 
ARTICULAR FX INVOLVING JOINT W/O MANIP,$206.00 
"ARYLSULFATASE A, LEUKOCYTES",$183.00 
ASACOL TAB  400MG,$9.00 
ASCERTA FIRM STENT 6FR X 24CM,$265.44 
ASCERTA FIRM STENT 6FRX22CM,$265.44 
ASCERTA FIRM STENT 7FR X 22CM,$265.44 
ASCERTA FIRM STENT 7FR X 24CM,$265.44 
ASCERTA FIRM STENT 7FR X 26CM,$265.44 
ASCERTA FIRM STENT 7FR X 28CM,$265.44 
ASMANEX INH 220MCG,$268.00 
ASO ASSOC CHG.,$51.00 
"ASPERGILLUS ANTIBODIES, SERUM",$103.00 
"ASPERGILLUS ANTIGEN, SERUM",$141.00 
"ASPERGILLUS DNA, PCR",$168.00 
ASPERGILLUS FUMIGATUS IgE,$103.00 
ASPERGILLUS FUMIGATUS IgG,$103.00 
ASPIRATION OF BLADDER BY NEEDLE,$206.00 
ASPIRATION PERITONSILLAR CELLULITIS,$371.00 
ASPIRATOR TUBING W/HANDLE,$78.00 
ASPIRIN SUPP  : 325MG,$6.00 
ASPIRIN SUPP  : 600MG,$6.00 
ASPIRIN TAB  81MG,$1.00 
ASPIRIN TAB 325MG,$1.00 
ASPIRIN-BUFFERED TAB  325MG,$1.00 
ASPIRIN-EC TAB  325MG,$1.00 
ASPIRIN-EC TAB  81MG,$1.00 
ASSOCIATED CHARGE-86160,$160.00 
ASTELIN NASAL SPRAY : 137MCG  30ML,$252.00 
ATACAND TAB  16MG,$12.00 
ATACAND TAB 32MG,$14.00 
ATIVAN (LORAZEPAM),$153.00 
ATIVAN SDV : 2MG/ML 1ML,$53.00 
ATIVAN SDV : 4MG/1ML **NOTE STRENGTH**,$53.00 
ATIVAN TAB 1MG,$6.00 
ATLAS GOLD PTA BALLOON 12X4,"$1,500.00 "
ATLAS GOLD PTA BALLOON 14X4,"$1,500.00 "
ATRIUM MESH,$270.00 
ATROPINE OPH SOLN 1%  : 5ML,$105.00 
ATROPINE SDV  : 0.4MG/1ML,$10.00 
ATROPINE SYRN  : 0.1MG/ML 10ML,$79.00 
ATROVENT 0.5MG/2.5ML RT UD NEB,$9.00 
ATROVENT INHALER: 12.9GM,$269.00 
ATROVENT NASAL SPRY : 21MCG  30ML,$202.00 
ATROVENT NASAL SPRY 42MCG  15ML,$191.00 
AUDIOLOGIC SCREENING TEST,$60.00 
AUGMENTIN SUSP  : 400MG/5ML UD,$36.00 
AUGMENTIN TAB  250MG,$19.00 
AUGMENTIN TAB  500MG,$28.00 
AUGMENTIN TAB  875MG,$38.00 
AUGMENTIN XR TAB 1000MG,$26.00 
AURALGAN OTIC SOLN : 15ML,$66.00 
AV FISTULA,"$3,780.00 "
AVANDia TAB 4 MG,$24.00 
AVAPRO TAB  75MG,$7.00 
AVAPRO TAB 150MG,$13.00 
AVEENO BATH PACKET,$24.00 
AVEENO LOTION 8OZ,$27.00 
AVELOX TAB 400MG,$79.00 
"AVIAN PANEL (5 BIRD ANTIGENS), SERUM",$407.00 
AVITENE PWDR  : 1GM,$282.00 
AVODART CAP 0.5MG,$21.00 
AVULSION OF NAIL PLATE,$67.00 
AVULSION OF NAIL PLATE,$614.00 
AVULSION OF NAIL PLATE; EACH ADD NAIL PL,$319.00 
AXILLARY LYMPH NODE DISSECTION,"$8,537.00 "
AYGESTIN TAB 5 MG,$13.00 
AYR NASAL DROPS 30ML,$12.00 
AYR NASAL GEL 14GM,$16.00 
AZACTAM SDV : 1GM,$181.00 
AZACTAM SDV : 2GM,$183.00 
AZASITE 1% OPH SOLN 2.5ML,$162.80 
AZILECT TAB  0.5 MG,$68.20 
