Charge,Unit Price
ACETAMINOPHEN/DP-HYDRAM HCL 500/25 TAB,$4.00 
acetaZOLAMIDE 250 MG TAB,$11.55 
ACETAZOLAMIDE ER 500 MG CAP,$15.50 
acetaZOLAMIDE sodium 500 MG/VIAL VIAL,$207.50 
ACETYLCHOLINE CHLORIDE 2 ML DROPBTL,$470.95 
ACETYLCYSTEINE 10% 4 ML VIAL (RESP),$51.15 
ACETYLCYSTEINE 100 MG/ML 10 ML (RESP),$60.75 
ACETYLCYSTEINE 100 MG/ML VIAL (ORAL),$83.35 
ACETYLCYSTEINE 200 MG/ML 4ML (RESP),$60.00 
ACETYLCYSTEINE 200 MG/ML VIAL (ORAL),$51.15 
ACETYLCYSTEINE 6000 MG/30 ML SDV,"$1,034.95 "
ACL KIT,$548.00 
ACL TIGHTROPE,$525.00 
ACLIDINIUM (TUDORZA) 30 PUFF INHALER 400 MCG/DOSE,$426.88 
ACROMIONIZER,$191.00 
ACTIVATED CHARCOAL 25 GM/120 ML ORAL.SUSP,$66.80 
ACURA-COUNT,$10.00 
ACYCLOVIR 200 MG CAP,$4.00 
ACYCLOVIR 200 MG/5 ML ORAL SUSP UDC,$20.95 
ACYCLOVIR 5% CREAM 5 GM TUBE,"$1,991.25 "
ACYCLOVIR 5% OINT 30 GM,"$1,600.00 "
ACYCLOVIR 800 MG TAB,$4.00 
ACYCLOVIR OINTMENT 5 GM,$292.45 
"ACYCLOVIR SODIUM 1,000 MG/20 ML",$175.00 
ACYCLOVIR SODIUM 500 MG/10 ML,$76.00 
ADAPTER AIRWAY,$25.00 
ADAPTER PLUG LF,$15.00 
ADENOSINE 6 MG/2 ML SDV,$76.00 
ADL 15 MIN,$106.00 
ADMIN OF FLU VACCINE - CL,$94.50 
ADMIRAL PTA BALLO CATH IN,"$2,340.00 "
ADO-TRASTUZUMAB EMTANSINE 100 MG SUV,"$14,939.55 "
AERO VENT,$19.00 
AEROCHAMBER & MASK,$82.00 
AGGRENOX 200/25 MG CAP,$24.95 
AIR-STIRRUP BRACE,$440.00 
AIRTRAQ OPTICAL LARYNNGOS,$211.00 
AIRWAY EXCHANGE CATHETER,$87.00 
AIRWAY NASAL,$25.00 
ALBUMIN HUMAN 12.5 GM/50 ML BAG 25% SOLN,$289.30 
ALBUMIN HUMAN 25 GM/100 ML BAG 25% SOLN,$578.60 
ALBUMIN HUMAN 5% SOLN  500 ML BOT,"$1,092.70 "
ALBUMIN HUMAN 5% SOLN 250 ML BOT,$346.50 
ALBUTEROL 2.5 MG/0.5 ML NEB,$4.00 
ALBUTEROL 2.5 MG/3 ML NEB,$2.00 
ALBUTEROL INHALER 90 mcg/dose 60 DOSE,$64.25 
ALBUTEROL SULFATE 1 PUFF,$4.00 
ALBUTEROL SULFATE 4 MG TAB,$29.40 
ALFUZOSIN HCL 10 MG TAB.SR.24H,$4.00 
ALGLUCOSIDASE ALFA 50 MG SDV,"$3,845.40 "
ALISKIREN HEMIFUMARATE 150 MG TABLET,$34.65 
ALLEGRA-D 12 HR TAB 60/120 MG,$4.95 
ALLEGRA-D 24 HR TAB 180-240 MG,$5.60 
ALLOPURINOL 100 MG TAB,$4.00 
ALLOPURINOL 300 MG TAB,$4.00 
"ALPHA-1-PROTEINASE INHIBITOR 1,000 MG/VIAL","$2,100.00 "
ALPRAZolam 0.25 MG TAB,$2.00 
ALPRAZolam 0.5 MG TAB,$2.00 
ALTEPLASE 100 MG SDV,"$44,001.80 "
ALTEPLASE 2 MG/VIAL,$765.30 
ALTEPLASE 50 MG/SDV,"$22,000.90 "
ALTIS SLING,"$1,980.00 "
ALUMINUM HYDROXIDE 30 ML UDC,$4.00 
ALVIMOPAN 12 MG CAPSULE,$786.85 
AMANTADINE HCL 100 MG CAP,$8.10 
AMIKACIN SULFATE 500 MG/2 ML VIAL,$76.00 
AMILoride HCL 5 MG TAB,$4.50 
"AMINO ACIDS 4.25%/DEXTROSE 10% 1,000 ML IV.SOLN",$167.05 
"Amino Acids 5 %/Dextrose 20 % 1,000 ML BAG",$195.90 
"Amino Acids 5 %/Dextrose 20 % 2,000 ML IV.SOLN",$356.00 
"AMINO ACIDS 5 %/DEXTROSE 25 % 2,000 ML IV.SOLN",$364.40 
"AMINOCAPROIC ACID 5,000 MG/20 ML VIAL",$76.00 
AMINOCAPROIC ACID 500 MG TAB,$107.40 
AMIODARONE HCL 150 MG/3 ML VIAL,$76.00 
AMIODARONE HCL 200 MG TAB,$5.85 
AMIODARONE/DEXTROSE PREMIX 150 MG/100 ML,$173.45 
AMIODARONE/DEXTROSE PREMIX 360 MG/200 ML,$230.70 
AMITRIPTYLINE HCL 10 MG UDTAB,$4.00 
AMITRIPTYLINE HCL 25 MG TAB,$4.00 
AMITRIPTYLINE HCL 50 MG TAB,$4.00 
AMITRIPTYLINE HCL 75 MG TAB,$4.30 
AmLODIPine BESYLATE 2.5 MG TAB,$4.00 
AmLODIPine BESYLATE 5 MG TAB,$2.00 
AMLODIPINE/BENAZEPRIL 10/20,$4.00 
AMLODIPINE/BENAZEPRIL 2.5/10,$4.00 
AMLODIPINE/BENAZEPRIL 5/10,$4.00 
AMMONIA 0.33 ML AMP,$4.00 
AMMONIUM LACTATE LOTION 12% 227 GM BOT,$24.13 
AMOX/POT CLAV 600 MG/5 ML SUSP 75 MLBOT,$35.63 
AMOX/POT CLAV 875 MG TAB,$8.10 
AMOX/POT CLAV SUSP 250 MG/5 ML BOT 150 ML,$254.00 
AMOXICILLIN 400 MG/5 ML SUSP.RECON 50 ML BOT,$10.00 
AMOXICILLIN 400 MG/5 ML UDC,$4.00 
AMOXICILLIN 500 MG CAP,$2.00 
AMOXICILLIN 875 MG TAB,$4.00 
AMOXICILLIN/CLAV UDC (for ER)250 MG/5 ML,$17.25 
AMOXICILLIN/CLAV XR 1000/62.5 MG TAB,$27.90 
AMOXICILLIN/POT CLAV 200 MG/5 ML BOT,$34.60 
AMP SING FING/THUMB,"$2,039.00 "
AMPICILLIN SODIUM 1 GM VIAL,$76.00 
AMPICILLIN SODIUM 1 GM/100 ML PIGGYBACK,$76.00 
AMPICILLIN SODIUM 2 GM/100 ML NS,$76.00 
AMPICILLIN SODIUM 250 MG/VIAL,$76.00 
AMPICILLIN SODIUM 500 MG/50 ML NS,$76.00 
AMPICILLIN SODIUM/SULBACTAM NA 3 GM/VIAL,$76.00 
AMPICILLIN/SULBACTAM 1.5 GM/NS 50 ML PIGGYBACK,$76.00 
AMPICILLIN/SULBACTAM 3 GM/NS 100 ML PIGGYBACK,$76.00 
AMPICILLIN/SULBACTAM NA 1.5 GM/VIAL,$76.00 
AMPLATZ CATHETER,$90.00 
AMS ACCESSORY KIT,"$1,657.50 "
AMS PRECONNECT PUMP,"$14,557.50 "
AMS SPHINCTER 800 URINARY,"$8,010.00 "
ANASTROZOLE 1 MG TAB,$6.50 
ANES SUPP EA 1 MIN,$1.00 
ANESTHESIA 72 IN SET,$18.00 
ANESTHESIA IV SET 1 EA IV.SET,$10.00 
ANESTHIA CIRCUIT,$42.00 
ANGIOGRAPHIC KIT,$85.00 
ANGIOGRAPHY DRAPE,$63.00 
ANGLED CRESCENT KNIFE,$82.00 
ANGLED GLIDED GUIDE WIRE,$87.00 
ANTENNA PATIENT PROGRAMME,$198.00 
"ANTIVENIN,CROTALIDAE FAB(OVIN) 1 VIAL","$15,990.00 "
APC PROBLES,$528.00 
APHASIA EVAL,$330.00 
APIXABAN 2.5 MG TABLET,$34.90 
APP LONG ARM SPLINT,$172.00 
APP OF FINGER SPLIN,$127.00 
APP SHORT ARM SPLIN,$152.00 
APPL LONMG LEG SPLN,$269.00 
APPL SHORT LEG SPLN,$240.00 
APPLICATORS,$8.00 
AQUACEL SILVER DRESSING,$42.00 
AQUAPHOR OINT 396 GM JAR,$26.60 
AQUATIC THERAPY,$336.00 
AQUATIC THERAPY W/OTHER T,$253.00 
ARFORMOTEROL TARTRATE 15 MCG/2 ML NEB,$80.90 
ARIPiprazole 10 MG TABLET,$34.15 
ARIPiprazole 15 MG TABLET,$47.40 
ARIPiprazole 2 MG TABLET,$148.65 
ARIPiprazole 5 MG TABLET,$7.45 
ARM SLING,$70.00 
ARMODAFINIL 150 MG TABLET,$87.45 
ARMODAFINIL 250 MG TABLET,$121.25 
ARTERIAL BLOOD GAS,$392.00 
ARTERIAL PUNCTURE,$39.00 
ARTHOCENTESIS. INT,$237.00 
ARTHOCENTESIS. MAJ,$219.00 
ARTHREX CORKSCREW,$495.00 
ARTHREX DELTA SCREW,$414.00 
ARTIFICIAL TEARS OPTH OINT,$10.10 
ASCORBIC ACID 500 MG UDTAB,$2.00 
ASCORBIC ACID 500 MG/5 ML SYRUP,$11.13 
ASENAPINE MALEATE 5 MG SL TAB,$100.05 
ASPIRIN 300 MG/SUPP,$5.85 
ASPIRIN 325 MG TAB,$2.00 
ASPIRIN BABY CHEWABLE 81 MG,$2.00 
ASPIRIN EC 325 MG TAB,$4.00 
ASPIRIN EC 81 MG TAB,$2.00 
ASPIRIN/APAP/CAFFEINE 1 TAB 250-250-65,$4.00 
ATENOLOL 25 MG UDTAB,$4.00 
ATENOLOL 50 MG TAB,$2.00 
ATENOLOL/CHLORTHALIDONE 50/25 TAB,$4.00 
ATHERECTOMY SYSTEM HAWK O,"$4,792.50 "
ATHROSCOPIC SHAVER BLADES,$326.00 
ATLAS SHORTY HANDPIECE,$519.00 
ATORVASTATIN CALCIUM 10 MG TAB,$2.00 
ATORVASTATIN CALCIUM 20 MG TAB,$2.00 
ATROPINE OPTH DROPS 1% 5 ML BOT,$128.30 
ATROPINE SULFATE 0.4 MG/ML VIAL,$76.00 
ATROPINE SULFATE 0.5 MG/5 ML SYR,$76.00 
ATROPINE SULFATE 1 MG/10 ML SYR,$76.00 
ATROPINE SULFATE 1 MG/ML VIAL,$76.00 
ATTENDED ESTIM W LASER EA,$318.00 
AUGMENTIN 500 MG TAB,$7.05 
AVUL NAIL PLATE,$258.00 
azaTHIOprine 50 MG TAB,$4.00 
AZELASTINE 0.05% OPTH DROPS 6 ML BOT,$125.00 
AZELASTINE NASAL SPRAY 0.1%,$191.38 
AZELASTINE NASAL SPRAY 0.15% 30 ML,$403.95 
AZITHROMYCIN 250 MG TAB,$8.50 
AZITHROMYCIN 500 MG/NS 250 ML IVPB,$76.00 
AZITHROMYCIN 500 MG/VIAL,$76.00 
AZITHROMYCIN ORAL SUSP 100 MG/5 ML 15 ML BOT,$43.60 
AZITHROMYCIN ORAL SUSP 200 MG/5 ML 15 ML BOT,$65.40 
AZTREONAM 1 GM/VIAL,$164.75 
AZTREONAM 2 GM/VIAL,$290.00 
B/P CUFF,$42.00 
"BACITRACIN 50,000 UNIT/VIAL",$76.00 
BACITRACIN OINT 30 GM TUBE,$11.85 
BACITRACIN OPTH OINT 3.5 GM TUBE,$246.75 
BACITRACIN/POLYMYXIN B SULFATE 1 PKT UD 0.9 GM,$4.00 
BACITRACIN/POLYMYXIN B SULFATE 3.5 GM TUBE,$54.43 
BACLOFEN 10 MG TAB,$4.00 
BAG AMBEE ADULT,$65.00 
BAKER JEJUNOSTOMY TB,$515.00 
Balanced Salt Irrig Soln No.2 500 ML BOT,$144.25 
BALL ELECTRODE,$82.00 
BALL TIP WIRE,$720.50 
BALSALAZIDE DISODIUM 750 MG CAPSULE,$27.90 
BANDAGE ESMARK 4,$64.00 
BANDAGE ESMARK 6,$53.00 
BARIUM SULFATE FOR VERTER,$164.00 
BARRELL ELECTRODE,$141.00 
BARTHOLIN CYST,$389.00 
BEAVER MYRINGOTOMY,$27.00 
BECLOMETHASONE INHALER 40 MCG/PUFF,$507.85 
BECLOMETHASONE INHALER 80 MCG/PUFF,$679.98 
BEH QUAL ANAL VOICE RESON,$361.00 
BELIMUMAB 120 MG SDV,"$2,552.75 "
BELIMUMAB 400 MG SDV,"$8,508.90 "
BENAZEPRIL 20 MG TAB,$4.00 
BENAZEPRIL 5 MG TAB,$4.00 
BENAZEPRIL/HCTZ 10/12.5,$4.45 
BENDAMUSTINE HCL 100 MG SUV,"$14,859.00 "
BENDAMUSTINE HCL 25 MG SUV,"$3,714.75 "
BENZOCAINE 10% ORAL GEL,$10.00 
BENZOCAINE 20% ORAL GEL,$13.08 
BENZOCAINE 57 SPRAYS/57 ML SPRAY,$4.00 
BENZOCAINE SPRAY 57 GM/CAN,$11.68 
BENZONATATE 100 MG CAP,$4.00 
BENZTROPINE MESYLATE 1 MG UDTAB,$4.00 
BENZTROPINE MESYLATE 1 MG/ML AMP,$300.00 
BENZTROPINE MESYLATE 2 MG TAB,$4.00 
BETAMET ACET/BETAMET NA PH 6 MG/ML,$76.00 
BETAMET ACET/BETAMET NA PH 6 MG/ML 5ML VIAL,$187.00 
BETAMETASONE DP AUGMENTED 0.05% CR,$167.38 
BETAMETHASONE DIPROPIONATE 0.05% CR,$105.65 
BETAMETHASONE DIPROPIONATE 0.05% LOT,$99.98 
BETAMETHASONE DIPROPIONATE OINT 0.05% 15 GM TUBE,$98.23 
BETAMETHASONE VALERATE 0.1% 15 GM TUBE,$55.95 
BETAMETHASONE VALERATE 0.1% LOTION,$150.00 
BETAMETHASONE VALERATE 0.1% OINT,$40.68 
BETHANECHOL CHLORIDE 10 MG TAB,$4.00 
BETHANECHOL CHLORIDE 25 MG TAB,$4.55 
BEVACIZUMAB 100 MG/4 ML VIAL,"$3,984.70 "
BEVACIZUMAB 400 MG/16 ML VIAL,"$15,938.80 "
BICALUTAMIDE 50 MG TAB,$4.00 
BILIARY STENT,$88.00 
BILI-LITE MASK,$10.00 
BIMATOPROST 0.01% OPTH DROPS 2.5 ML BOT,$449.70 
BIO SHIELD BIOPSY VALVE,$6.00 
BIOLX DLTA TS CERAM FEMO,$286.00 
BIOPSY FORCEP LG CAP SERR,$230.00 
BIOPSY MARKER 13GA,$134.00 
BIOPSY MARKER 9GA/126A,$186.00 
BIOPSY VALVE,$11.00 
BIOZIP ANCHOR,$515.00 
BIPAP CIRCUIT,$30.00 
BISACODYL 10 MG/SUPP SUPP,$4.00 
BISACODYL 5 MG TAB,$2.00 
BISMUTH SUBSALICYLATE 262 MG CHEW TAB,$4.00 
BISMUTH SUBSALICYLATE 30 ML UDC,$4.00 
BISOPROLOL FUMARATE 5 MG TAB,$4.15 
BISOPROLOL/HCTZ 10/6.25 MG TAB,$4.00 
BISOPROLOL/HCTZ 2.5/6.25 MG TAB,$4.00 
BISOPROLOL/HCTZ 5/6.25 MG TAB,$29.55 
BIT STRYKER,$162.00 
BIVALIRUDIN 250 MG SDV,"$4,875.00 "
BLADDER IRRIGATION,$147.00 
BLADE INTRA ORAL,$371.00 
BLADE MCGRATH SZ 3-4,$70.00 
"BLADES, BEAVER",$74.00 
BLANKET FULL ACCESS,$70.00 
BLEOMYCIN SULFATE 15 UNITS/VIAL,$248.55 
BLOOD DRAW - IMPLANTED VA,$104.00 
BLUNT TIP BALLOON TROCAR,$324.00 
BONE CUTTER,$484.00 
BONE MARROW TRAY,$116.00 
BONE MILL DISPOSABLE KIT,$495.00 
BONE PUTTY DBM 10CC,"$4,840.00 "
BONE PUTTY DBM 5CC,"$3,080.00 "
BONE SCREW 2.7,$124.00 
BONE SCREW 6.5,$157.00 
BOOT EQUALIZER XL,$523.00 
BORTEZOMIB 3.5 MG SDV,"$8,015.00 "
BOTULINUM TOXIN TYPE A 100 UNITS/SDV,"$3,005.00 "
BOVIE BIPOLAR CORD,$20.00 
BRACE KNEE LONG HINGED,"$1,450.98 "
BRACE KNEE SHORT HINGED,"$1,450.98 "
BREAK OFF SET SCREW,$264.00 
BREAST PUMP,$62.00 
BREATHING CIRCUIT BAG 2 L,$6.00 
BRIMONIDINE 0.1% OPTH DROPS,$365.20 
BRIMONIDINE 0.15% OPTH DROPS,$320.03 
BRIMONIDINE 0.2% OPTH DROPS,$36.25 
BRIMONIDINE TARTRATE/TIMOLOL OPTH DROPS,$402.58 
BRINZOLAMIDE 1% OPTH DROPS 10 ML BOT,$713.85 
Brompheniramine/Pseudoephed/Dm 5 ML UDC 2MG/30MG/10 MG/5ML,$5.00 
BRONCHOSCOPY,"$2,287.00 "
BSS OPTH SOLN IRRIG. 15 ML BOT,$41.30 
BSS OPTH SOLN IRRIG. 30 ML BOT,$58.20 
BSS PLUS 500 ML BOT,$386.25 
BUBBLE HUMIDIFIER,$9.00 
BUDESONIDE 0.25 MG/2 ML NEB,$37.65 
BUDESONIDE 0.5 MG/2 ML NEB,$51.30 
BUDESONIDE 180 MCG/SPRAY INHALER 120 PUFFS,$573.75 
BUDESONIDE 3 MG CAP,$69.80 
BUDESONIDE 90 MCG INHALER 60 PUFFS,$428.48 
BUDESONIDE/FORMOTEROL FUMARATE 1 PUFF PUFF,$19.30 
BUDESONIDE/FORMOTEROL FUMARATE 160/4.5 INHALER,$667.03 
BUDESONIDE/FORMOTEROL FUMARATE 60 PUFF/INHALER 80/4.5 MCG,$579.85 
BUMETANIDE 1 MG TAB,$4.35 
BUMETANIDE 1 MG/4 ML VIAL,$76.00 
BUPIVACAINE 0.25% 10 ML VIAL,$76.00 
BUPIVACAINE 0.25% 30 ML VIAL,$76.00 
BUPIVACAINE 0.5% 10 ML VIAL,$76.00 
BUPIVACAINE 0.5% 30 ML VIAL,$76.00 
BUPIVACAINE 0.5%-EPI 1:200  10 ML SDV,$76.00 
BUPIVACAINE 0.75% 30 ML VIAL,$76.00 
BUPIVACAINE HCL/EPINEPHRINE BI 1.8 ML SYR DENTAL,$76.00 
BUPIVACAINE LIPOSOME/PF 266 MG/20 ML VIAL,"$1,575.00 "
BUPIVACAINE/EPI 0.25% PF 30 ML VIAL,$76.00 
BUPIVACAINE/EPI 0.5% PF 30 ML VIAL,$76.00 
BUPIVACAINE/EPI/PF 0.25%/1:200000 10 ML VIAL,$76.00 
BUPRENORPHINE 5 MCG/HR PATCH,$335.55 
BuPROPion 100 MG TAB,$8.20 
BuPROPion 75 MG TAB,$6.15 
BuPROPion SR (12 HOUR) 100 MG,$4.00 
BuPROPion SR (12 HOUR) 150 MG,$4.25 
BuPROPion XL (24 HOUR) 150 MG,$6.55 
BuPROPion XL (24 HOUR) 300 MG,$7.50 
BUR 3.0MM RAD FRONTAL FIN,"$1,349.00 "
BUR CARBIDE,$100.00 
BURNHAM FINGER SPLIT,$77.00 
BusPIRone HCL 5 MG TAB,$2.00 
BUTALB/ACETAMINOPHEN/CAFFEINE 1 TABLET,$8.15 
BUTALBITAL 50/ASA 325/CAFFEINE 40MG CAP,$5.50 
BUTALBITAL/APAP 50/325 MG TAB,$6.25 
BUTORPHANOL NASAL SPR 10 MG/ML BOT,$56.40 
BUTORPHANOL TARTRATE 1 MG/ML VIAL,$76.00 
C1 +X KNEE DISLOC,$286.00 
CABLE W/CRIMP 1.0MM,"$2,060.55 "
CAFFEINE CITRATED 60 MG/3 ML VIAL,$142.15 
CALAMINE/ZINC OXIDE 180 ML BOT,$10.00 
"CALCITONIN,SALMON,SYNTHETIC 3.7 ML BOT",$187.18 
CALCITRIOL 0.25 MCG CAP,$4.80 
CALCIUM ACETATE 667 MG CAP,$4.00 
CALCIUM ACETATE/AL SULFATE 1 PKT,$4.00 
CALCIUM CARBONATE 500 MG TAB CHEW.(200 MG ELEMENTAL CALCIUM),$4.00 
CALCIUM CARBONATE 600MG (ELEMENTAL CALCIUM) TAB,$2.00 
CALCIUM CARBONATE/VITAMIN D 1 TAB 600/400,$2.00 
"CALCIUM CHLORIDE 1,000 MG/10 ML SYR",$76.00 
CALCIUM CHLORIDE 13.6 MEQ/10 ML VIAL,$92.75 
CALCIUM CITRATE 200 MG TAB,$4.00 
CALCIUM GLUCONATE 0.465 MEQ/ML VIAL,$76.00 
CALCIUM GLUCONATE 10% 0.465 MEQ/ML 50 ML VIAL,$76.00 
CALCIUM POLYCARBOPHIL 625 MG TAB,$4.00 
CAL-DRILL,$392.00 
CALIBRATED DRILL 3.2 MM,$294.00 
CANAGLIFLOZIN 100 MG TABLET,$77.45 
CANCELLOUS CHIP 15CC,"$1,760.00 "
CANCELLOUS CHIPS 30CC,"$1,760.00 "
CANDESARTAN 16 MG TAB,$17.75 
CANDESARTAN/HCTZ 32/12.5 MG TAB,$15.45 
CANDIDA ALBICANS SKIN TEST 0.1 ML INJ,$89.00 
CANNULA 8.5MM X 72MM,$16.00 
CANNULA 825 X 9,$70.00 
CANNULATED DRILL BIT,$652.00 
CANNULATED SCREW 4.0,$274.00 
CAPD EXCHANGE,"$1,243.00 "
CAPIO C.L,"$1,498.00 "
CAPTOPRIL 25 MG TAB,$5.45 
CARBACHOL OPTH 1.5 ML VIAL,$176.80 
CarBAMazepine 100 MG CHEW TAB,$4.00 
CarBAMazepine 200 MG ER CAP,$8.85 
carBAMazepine 200 MG TAB,$6.40 
CarBAMazepine 300 MG ER CAP,$8.85 
CarBAMazepine XR 100 MG TAB,$7.45 
CARBAMIDE PEROXIDE 15 ML BOT,$10.00 
CARBIDOPA/LEVODOPA 10/100 TAB,$4.00 
CARBIDOPA/LEVODOPA 25/100 TAB,$4.00 
CARBIDOPA/LEVODOPA ER 25/100 TAB,$4.00 
CARBIDOPA/LEVODOPA ER 50/200 TAB,$4.00 
CARBIDOPA/LEVODOPA ODT 25/100 TAB,$4.40 
CARBON MONO DIF CAP TECHN,$98.00 
CARBOplatin 150 MG/15 ML MDV,$105.00 
CARBOplatin 450 MG/45 ML MDV,$258.50 
CARBOplatin 50 MG/5 ML MDV,$76.00 
CARBOPROST TROMETHAMINE 250 MCG/ML AMP,"$1,772.15 "
CARBOXYMETHYLCELLULOSE SODIUM 15 ML BOT,$19.73 
CARDIOVERSION,"$1,117.00 "
CARFILZOMIB 60 MG SDV,"$11,270.20 "
CARISOPRODOL 350 MG TAB,$4.00 
C-ARM DRAPE,$42.00 
CARR-LOCKE NJECTION NEEDL,$108.00 
CARVEDILOL 12.5 MG TABLET,$2.00 
CARVEDILOL 25 MG TAB,$4.00 
CARVEDILOL 3.125 MG TAB,$2.00 
CARVEDILOL 6.25 MG TAB,$4.00 
CAST SOF-ROL,$9.00 
CATH AMPLATZRENAL,$76.00 
CATH DUAL LUMEN,$66.50 
CATH LAB PACK,$374.00 
CATH SWAN NECK COIL,$791.00 
CATHETER ACCESS REFILL KI,$80.00 
CATHETER COLONIC DILATATI,$471.00 
CATHETER DEELEE SUC,$19.00 
CATHETER FOLEY,$44.00 
CATHETER TIG 5 FR,$92.00 
CATHETER URETERAL AXXCESS,$18.00 
CATHETER WEDGE,$76.00 
CAUTERY,$39.00 
CAUTERY PADS,$32.00 
CEFADROXIL 500 MG CAP,$4.00 
CeFAZolin 1 GM/D5W 50 ML PIGGYBACK,$76.00 
CeFAZolin 2 GM/DEXTROSE 50 ML PIGGYBACK,$76.00 
CeFAZolin SODIUM 1 GM VIAL,$76.00 
CeFAZolin SODIUM 500 MG/NS 50 ML,$76.00 
CEFDINIR 125 MG/5 ML UDC,$10.35 
CEFDINIR 300 MG CAP,$7.70 
CEFEPIME HCL 1 GM/VIAL,$76.00 
CEFEPIME HCL 2 GM/VIAL,$76.00 
CEFEPIME/D5W 1 GM/50 ML PREMIX,$76.00 
CEFEPIME/D5W 2 GM/50 ML PREMIX,$88.40 
CEFOTAXIME SODIUM 2 GM/VIAL,$76.00 
CEFOTAXIME SODIUM 500 MG VIAL,$76.00 
CEFOTETAN/DEXTROSE 1 GM/50 ML IVPB,$78.15 
CEFOXITIN SODIUM 1 GM/50 ML IVPB,$76.00 
CEFOXITIN SODIUM 2 GM/50 ML IVPB,$76.00 
CEFOXITIN SODIUM 2 GM/VIAL,$76.00 
CEFPROZIL 125 MG/5 ML BOT,$39.28 
cefTAZidime 1 GM/100 ML PIGGYBACK,$76.00 
CEFTAZIDIME 1 GM/VIAL,$59.30 
CEFTAZIDIME 2 GM/VIAL,$76.00 
"CefTRIAXone NA/DEXTROSE,ISO 1 GM/50 ML PIGGYBACK",$76.00 
CefTRIAXone SODIUM 1 GM/VIAL,$76.00 
CefTRIAXone SODIUM 250 MG/VIAL,$76.00 
CefTRIAXone SODIUM 500 MG/VIAL,$76.00 
CefTRIAXone/DEXTROSE 2 GM/50 ML IVPB,$91.15 
cefUROXime axetil 250 MG TAB,$8.05 
CEFUROXIME AXETIL 250 MG/5 ML  50 ML BOT,$272.70 
CELECOXIB 100 MG CAP,$6.05 
CEMENT MIXER,$191.00 
CEMENTED STEM 12MM,"$2,811.00 "
CENTRAL LINE DRESSING TRA,$24.00 
CENTRAL VENOUS ACCESS PRO,"$1,362.00 "
CENTURION FMS WITH TIP,$486.00 
CEPACOL SUGAR-FREE LOZENGE,$2.00 
CEPHALEXIN  250 MG CAP,$4.00 
cephALEXin 500 MG CAP,$4.00 
CEPHALEXIN SUSP 250 MG/5 ML UDC,$5.75 
CETAPHIL LOTION 480 ML BOT,$24.35 
CETIRIZINE HCL 10 MG TAB,$2.00 
"CETIRIZINE SOLUTION ORAL DF,SF 10 MG/10 ML UDC",$4.00 
CETIRIZINE/PSEUDOEPHEDRINE 5-120 ER 12 HR TAB,$4.00 
CETUXIMAB 100 MG/50 ML SDV,"$3,032.60 "
