Category,MSDRG,MSDRG Description,Average Case
Medical,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$38,240.03 "
Cardiovascular Services,215,OTHER HEART ASSIST SYSTEM IMPLANT, 
Cardiovascular Services,216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC, 
Cardiovascular Services,217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC, 
Cardiovascular Services,218,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC, 
Cardiovascular Services,219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC, 
Cardiovascular Services,220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC, 
Cardiovascular Services,221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC, 
Cardiovascular Services,222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC, 
Cardiovascular Services,223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC, 
Cardiovascular Services,224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC, 
Cardiovascular Services,225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC, 
Cardiovascular Services,226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC, 
Cardiovascular Services,227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC, 
Cardiovascular Services,228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"$18,875.24 "
Cardiovascular Services,229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC, 
Cardiovascular Services,231,CORONARY BYPASS W PTCA W MCC, 
Cardiovascular Services,232,CORONARY BYPASS W PTCA W/O MCC, 
Cardiovascular Services,233,CORONARY BYPASS W CARDIAC CATH W MCC, 
Cardiovascular Services,234,CORONARY BYPASS W CARDIAC CATH W/O MCC, 
Cardiovascular Services,235,CORONARY BYPASS W/O CARDIAC CATH W MCC, 
Cardiovascular Services,236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC, 
Cardiovascular Services,239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC, 
Cardiovascular Services,240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"$27,912.02 "
Cardiovascular Services,241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC, 
Cardiovascular Services,242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC, 
Cardiovascular Services,243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC, 
Cardiovascular Services,244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC, 
Cardiovascular Services,245,AICD GENERATOR PROCEDURES, 
Cardiovascular Services,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS, 
Cardiovascular Services,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC, 
Cardiovascular Services,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS, 
Cardiovascular Services,249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC, 
Cardiovascular Services,250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC, 
Cardiovascular Services,251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC, 
Cardiovascular Services,252,OTHER VASCULAR PROCEDURES W MCC,"$32,285.96 "
Cardiovascular Services,253,OTHER VASCULAR PROCEDURES W CC, 
Cardiovascular Services,254,OTHER VASCULAR PROCEDURES W/O CC/MCC, 
Cardiovascular Services,255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC, 
Cardiovascular Services,256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC, 
Cardiovascular Services,258,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC, 
Cardiovascular Services,259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC, 
Cardiovascular Services,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC, 
Cardiovascular Services,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC, 
Cardiovascular Services,262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC, 
Cardiovascular Services,263,VEIN LIGATION & STRIPPING, 
Cardiovascular Services,264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$30,904.22 "
Cardiovascular Services,265,AICD LEAD PROCEDURES, 
Cardiovascular Services,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$22,275.13 "
Cardiovascular Services,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC", 
Cardiovascular Services,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$3,377.07 "
Cardiovascular Services,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC", 
Cardiovascular Services,284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC", 
Cardiovascular Services,285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC", 
Cardiovascular Services,286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC", 
Cardiovascular Services,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC", 
Cardiovascular Services,288,ACUTE & SUBACUTE ENDOCARDITIS W MCC, 
Cardiovascular Services,289,ACUTE & SUBACUTE ENDOCARDITIS W CC, 
Cardiovascular Services,290,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC, 
Cardiovascular Services,291,HEART FAILURE & SHOCK W MCC,"$16,324.05 "
Cardiovascular Services,292,HEART FAILURE & SHOCK W CC,"$12,155.61 "
Cardiovascular Services,293,HEART FAILURE & SHOCK W/O CC/MCC,"$9,187.81 "
Cardiovascular Services,294,DEEP VEIN THROMBOPHLEBITIS W CC/MCC, 
Cardiovascular Services,296,"CARDIAC ARREST, UNEXPLAINED W MCC","$19,682.99 "
Cardiovascular Services,297,"CARDIAC ARREST, UNEXPLAINED W CC","$9,969.01 "
Cardiovascular Services,299,PERIPHERAL VASCULAR DISORDERS W MCC,"$12,582.92 "
Cardiovascular Services,300,PERIPHERAL VASCULAR DISORDERS W CC,"$12,418.11 "
Cardiovascular Services,301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$7,355.52 "
Cardiovascular Services,302,ATHEROSCLEROSIS W MCC,"$20,537.75 "
Cardiovascular Services,303,ATHEROSCLEROSIS W/O MCC,"$9,836.69 "
Cardiovascular Services,304,HYPERTENSION W MCC,"$22,696.45 "
Cardiovascular Services,305,HYPERTENSION W/O MCC,"$9,006.14 "
Cardiovascular Services,306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,"$7,103.50 "
Cardiovascular Services,307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC, 
Cardiovascular Services,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$15,748.72 "
Cardiovascular Services,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$12,597.49 "
Cardiovascular Services,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$9,415.13 "
Cardiovascular Services,311,ANGINA PECTORIS,"$15,324.83 "
Cardiovascular Services,312,SYNCOPE & COLLAPSE,"$12,941.10 "
Cardiovascular Services,313,CHEST PAIN,"$11,020.24 "
Cardiovascular Services,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$29,665.08 "
Cardiovascular Services,315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$14,355.67 "
Cardiovascular Services,316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$8,434.46 "
Surgical,326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","$225,899.00 "
Surgical,327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","$54,519.98 "
Surgical,328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC", 
Surgical,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$106,797.44 "
Surgical,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$46,482.66 "
Surgical,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$33,635.81 "
Surgical,333,RECTAL RESECTION W CC, 
Surgical,334,RECTAL RESECTION W/O CC/MCC, 
Surgical,335,PERITONEAL ADHESIOLYSIS W MCC, 
Surgical,336,PERITONEAL ADHESIOLYSIS W CC,"$52,147.08 "
Surgical,337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$46,476.03 "
Surgical,338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC, 
Surgical,339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$30,722.48 "
Surgical,340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$20,912.72 "
Surgical,341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC, 
Surgical,342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$22,884.65 "
Surgical,343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$21,519.05 "
Surgical,344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC, 
Surgical,345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$30,133.97 "
Surgical,346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC, 
Surgical,347,ANAL & STOMAL PROCEDURES W MCC,"$42,441.02 "
Surgical,348,ANAL & STOMAL PROCEDURES W CC,"$31,621.05 "
Surgical,349,ANAL & STOMAL PROCEDURES W/O CC/MCC, 
Surgical,350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,"$33,233.87 "
Surgical,351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"$23,858.57 "
Surgical,352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$16,034.33 "
Surgical,353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$36,466.40 "
Surgical,354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC, 
Surgical,355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"$30,371.32 "
Surgical,356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$48,908.24 "
Surgical,357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$34,341.66 "
Surgical,358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC, 
Medical,368,MAJOR ESOPHAGEAL DISORDERS W MCC,"$14,273.60 "
Medical,369,MAJOR ESOPHAGEAL DISORDERS W CC,"$16,315.27 "
Medical,370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,"$75,413.59 "
Medical,371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$22,287.36 "
Medical,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$16,998.12 "
Medical,373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"$12,790.09 "
Oncology,374,DIGESTIVE MALIGNANCY W MCC, 
Oncology,375,DIGESTIVE MALIGNANCY W CC, 
Oncology,376,DIGESTIVE MALIGNANCY W/O CC/MCC,"$12,183.71 "
Medical,377,G.I. HEMORRHAGE W MCC,"$23,653.86 "
Medical,378,G.I. HEMORRHAGE W CC,"$16,477.96 "
Medical,379,G.I. HEMORRHAGE W/O CC/MCC,"$11,059.44 "
Medical,380,COMPLICATED PEPTIC ULCER W MCC,"$18,262.98 "
Medical,381,COMPLICATED PEPTIC ULCER W CC,"$16,746.53 "
Medical,382,COMPLICATED PEPTIC ULCER W/O CC/MCC, 
Medical,383,UNCOMPLICATED PEPTIC ULCER W MCC, 
Medical,384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$30,010.95 "
Medical,385,INFLAMMATORY BOWEL DISEASE W MCC, 
Medical,386,INFLAMMATORY BOWEL DISEASE W CC,"$8,554.88 "
Medical,387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$10,711.00 "
Medical,388,G.I. OBSTRUCTION W MCC,"$40,266.40 "
Medical,389,G.I. OBSTRUCTION W CC,"$14,384.93 "
Medical,390,G.I. OBSTRUCTION W/O CC/MCC,"$14,733.40 "
Medical,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$24,091.55 "
Medical,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$14,407.60 "
Medical,393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$33,704.41 "
Medical,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$16,788.75 "
Medical,395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$12,648.72 "
Surgical,405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC", 
Surgical,406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC", 
Surgical,408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC, 
Surgical,409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC, 
Surgical,410,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC, 
Surgical,411,CHOLECYSTECTOMY W C.D.E. W MCC, 
Surgical,414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,"$38,021.01 "
Surgical,415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC, 
Surgical,416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC, 
Surgical,417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$39,002.34 "
Surgical,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$33,449.88 "
