Service Area|Px Code|Procedure Description|Default Rev Code|CPT(R)/HCPCS Code|Default Mod|Fee Schedule Group Name|Unit Price
WS SERVICE AREA|70376498|HC MRI CEREBRAL PERFUSION STUDIES|MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRI - BRAIN/BRAINSTEM [0611]|76498||WS HB DEFAULT|3,523.00
WS SERVICE AREA|60060699|HC ENDOCRINE SYSTEM PROCEDURE UNLISTED|SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761]|60699||WS HB DEFAULT|7,921.00
WS SERVICE AREA|20022999|HC ABDOMEN MUSCULOSKELETAL PROCEDURE UNLISTED|SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761]|22999||WS HB DEFAULT|6,931.00
WS SERVICE AREA|50053899|HC URINARY PROCEDURE UNLISTED|SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761]|53899||WS HB DEFAULT|6,711.00
WS SERVICE AREA|50058999|HC FEMALE GENITAL PROCEDURE NON-OB UNLISTED|SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761]|58999||WS HB DEFAULT|5,579.00
WS SERVICE AREA|70274328|HC FL ERCP BILE DUCT ENDOSCOPY|RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320]|74328||WS HB DEFAULT|1,553.00
WS SERVICE AREA|70274480|HC FL NEPHROSTOMY PERCUTANEOUS W STENT|RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320]|74480||WS HB DEFAULT|2,402.00
WS SERVICE AREA|70549084|HC CT PERITONEAL LAVAGE WITH GUIDANCE|SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761]|49084||WS HB DEFAULT|3,568.00
WS SERVICE AREA|70449084|HC US PERITONEAL LAVAGE WITH GUIDANCE|SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761]|48084||WS HB DEFAULT|3,568.00
WS SERVICE AREA|36052323|HC PACU CLASS V|RECOVERY ROOM - GENERAL CLASSIFICATION [0710]|||WS HB DEFAULT|0.00
WS SERVICE AREA|27101039|HC TUBE 79MM 13.8 8.9MM CUFF FEN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|154.00
WS SERVICE AREA|27101279|HC TUBE 62MM 9.4 5MM LOPRS FEN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|165.00
WS SERVICE AREA|27209171|HC KIT PRESS MONITOR OLM INTERCRAN 1104B|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|308.00
WS SERVICE AREA|27237812|HC EXCHANGE TRANSFER SET|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|636.00
WS SERVICE AREA|27161442|HC TUBE 90MM 9.6MM 5MM CUFF PROX|MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY [0271]|||WS HB DEFAULT|272.00
WS SERVICE AREA|272114020|HC KIT PRICRDCTS SPCL PROC W/LDCN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1729||WS HB DEFAULT|530.00
WS SERVICE AREA|272114222|HC TRAY CATH DIA CRV 13F 15CM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1752||WS HB DEFAULT|691.00
WS SERVICE AREA|272114223|HC TRAY CATH DIA CRV 13F 20CM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1752||WS HB DEFAULT|691.00
WS SERVICE AREA|272114363|HC KIT ICP MTL DISP ADLT|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|1,774.00
WS SERVICE AREA|270114368|HC KIT MAN DUAL MNTR IV POLE MNT 72IN 48IN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270]|||WS HB DEFAULT|149.00
WS SERVICE AREA|270114792|HC BATH SITZ GRAD BAG GOLD|MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270]|||WS HB DEFAULT|10.00
WS SERVICE AREA|270115162|HC SLING ARM CLOTH BUCKLE CLSR XS|MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270]|||WS HB DEFAULT|7.00
WS SERVICE AREA|272115845|HC KIT CRNL ACC VENTRI NDL TOWEL|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|1,344.00
WS SERVICE AREA|272116800|HC BAG COLLECT EXT DRAIN SYS CODMAN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|424.00
WS SERVICE AREA|272118359|HC KIT DRAIN 25G LDCN 28F 41CM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1729||WS HB DEFAULT|684.00
WS SERVICE AREA|272118367|HC SET HEMOFILTRATION PRSM FLX|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|857.00
WS SERVICE AREA|272118472|HC TRAY TRACH 8 HYDROPHULIC|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|1,841.00
WS SERVICE AREA|272118626|HC POUCH DRAIN TRANS 2.25IN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|29.00
WS SERVICE AREA|27006729|HC MASK ANES INF ULTHN CSH INF VLV|MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270]|||WS HB DEFAULT|5.00
WS SERVICE AREA|27235599|HC CATHETER AIRWAY EXCH 19.0|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|165.00
WS SERVICE AREA|27064720|HC MASK ANES PED ULTHN CSH INF VLV|MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270]|||WS HB DEFAULT|5.00
WS SERVICE AREA|270110488|HC COVER AIR WARM ADULT 85.8X502IN UPR FRC|MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270]|||WS HB DEFAULT|24.00
WS SERVICE AREA|270110487|HC COVER AIR WARM PED 57.1X40.2IN UPR FRC|MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270]|||WS HB DEFAULT|43.00
WS SERVICE AREA|93091420|HC PTCA ADDL BRANCH RI|CARDIOLOGY - CARDIAC CATH LAB [0481]|92921|RI|WS HB DEFAULT|9,360.00
WS SERVICE AREA|90040437|HC NEB W/I-PAP|RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410]|94640||WS HB DEFAULT|362.00
WS SERVICE AREA|90040438|HC INTRAPUL PERCUSSIVE VENTILATION (IPV)|RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410]|94640||WS HB DEFAULT|401.00
WS SERVICE AREA|95020013|HC HOME SLEEP TEST-PAT|EEG (ELECTROENCEPHALOGRAM) - GENERAL CLASSIFICATION [0740]|95800||WS HB DEFAULT|1,098.00
WS SERVICE AREA|95010048|HC EEG OVER 1 HOUR|EEG (ELECTROENCEPHALOGRAM) - GENERAL CLASSIFICATION [0740]|95813||WS HB DEFAULT|2,453.00
WS SERVICE AREA|90010337|HC REMOVAL OF SKIN TAGS <W/15|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|11200||WS HB DEFAULT|415.00
WS SERVICE AREA|90010338|HC BIOPSY SKIN LESION|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|11100||WS HB DEFAULT|625.00
WS SERVICE AREA|272132851|HC DRESSING AQUACEL AG 2X2IN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|19.00
WS SERVICE AREA|272132852|HC DRESSING AQUACEL AG 6X6IN|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|78.00
WS SERVICE AREA|272131930|HC DRESSING VAC VERAFLO CLEANSE CHOICE|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|576.00
WS SERVICE AREA|30032552|HC RMVL IDWELG TUNNELED PLEURAL CATH W/CUFF|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|32552||WS HB DEFAULT|1,758.00
WS SERVICE AREA|90092928|HC ROBOTIC ASST STENT BMS LD/LAD ARTERY OR BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|92928|LD|WS HB DEFAULT|12,192.00
WS SERVICE AREA|36010048|OR PROC RM|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|||WS HB DEFAULT|0.00
WS SERVICE AREA|90192928|HC ROBOTIC ASST STENT BMS LC/LCX ARTERY OR BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|92928|LC|WS HB DEFAULT|12,192.00
WS SERVICE AREA|90292928|HC ROBOTIC ASST STENT BMS RC/RCA ARTERY OR BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|92928|RC|WS HB DEFAULT|12,192.00
WS SERVICE AREA|90392928|HC ROBOTIC ASST STENT BMS LM ARTERY|CARDIOLOGY - CARDIAC CATH LAB [0481]|92928|LM|WS HB DEFAULT|12,192.00
WS SERVICE AREA|90492928|HC ROBOTIC ASST STENT BMS RAMUS ARTERY|CARDIOLOGY - CARDIAC CATH LAB [0481]|92928|RI|WS HB DEFAULT|12,192.00
WS SERVICE AREA|90092929|HC ROBOTIC ASST STENT BMS LD/LAD ADDITIONAL BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|92929|LD|WS HB DEFAULT|6,101.00
WS SERVICE AREA|90192929|HC ROBOTIC  ASST STENT BMS LC/LCX ADDITIONAL BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|92929|LC|WS HB DEFAULT|6,101.00
WS SERVICE AREA|90292929|HC ROBITIC ASST STENT BMS RC/RCA ADDITIONAL BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|92929|RC|WS HB DEFAULT|6,101.00
WS SERVICE AREA|90092934|HC ROBOTIC ASST ATHERECTOMY BMS STENT ADDITIONAL LD/LAD|CARDIOLOGY - CARDIAC CATH LAB [0481]|92934|LD|WS HB DEFAULT|17,512.00
WS SERVICE AREA|90192934|HC ROBOTIC ASST ATHERECTOMY BMS STENT ADDITIONAL LC/LCX|CARDIOLOGY - CARDIAC CATH LAB [0481]|92934|LC|WS HB DEFAULT|17,512.00
WS SERVICE AREA|90292934|HC ROBOTIC ASST ATHERECTOMY BMS STENT ADDITIONAL RC/RCA|CARDIOLOGY - CARDIAC CATH LAB [0481]|92934|RC|WS HB DEFAULT|17,512.00
WS SERVICE AREA|90092937|HC ROBOTIC ASST GRAFT PTCA AND/OR BMS STENT TO LD/LAD|CARDIOLOGY - CARDIAC CATH LAB [0481]|92937|LD|WS HB DEFAULT|24,518.00
WS SERVICE AREA|90192937|HC ROBOTIC ASST GRAFT PTCA AND/OR BMS STENT TO LC/LCX|CARDIOLOGY - CARDIAC CATH LAB [0481]|92937|LC|WS HB DEFAULT|24,518.00
WS SERVICE AREA|90292937|HC ROBOTIC ASST GRAFT PTCA AND/OR BMS STENT TO RC/RCA|CARDIOLOGY - CARDIAC CATH LAB [0481]|92937|RC|WS HB DEFAULT|24,518.00
WS SERVICE AREA|90692937|HC ROBOTIC ASST GRAFT PTCA AND/OR BMS STENT RAMUS ARTERY|CARDIOLOGY - CARDIAC CATH LAB [0481]|92937|RI|WS HB DEFAULT|24,518.00
WS SERVICE AREA|90092938|HC  ROBOTIC ASST GRAFT PTCA AND/OR BMS STENT ADDTL LD/LAD|CARDIOLOGY - CARDIAC CATH LAB [0481]|92938|LD|WS HB DEFAULT|18,425.00
WS SERVICE AREA|90192938|HC  ROBOTIC ASST GRAFT PTCA AND/OR BMS STENT ADDTL LC/LCX|CARDIOLOGY - CARDIAC CATH LAB [0481]|92938|LC|WS HB DEFAULT|18,425.00
WS SERVICE AREA|90292938|HC  ROBOTIC ASST GRAFT PTCA AND/OR BMS STENT ADDTL RC/RCA|CARDIOLOGY - CARDIAC CATH LAB [0481]|92938|RC|WS HB DEFAULT|18,425.00
WS SERVICE AREA|90092941|HC IP ONLY-ROBOTIC ASST PRQ CARD BMS REVASC MI 1VSL LD|CARDIOLOGY - CARDIAC CATH LAB [0481]|92941|LD|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90292941|HC IP ONLY-ROBOTIC ASST PRQ CARD BMS REVASC MI 1 VSL LC|CARDIOLOGY - CARDIAC CATH LAB [0481]|92941|LC|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90492941|HC IP ONLY-ROBOTIC ASST  PRQ CARD BMS REVASC MI 1 VSL RC|CARDIOLOGY - CARDIAC CATH LAB [0481]|92941|RC|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90692941|HC IP ONLY-ROBOTIC ASST PRQ CARD BMS REVASC MI 1 VSL LM|CARDIOLOGY - CARDIAC CATH LAB [0481]|92941|LM|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90892941|HC  IP ONLY-ROBOTIC ASST PRQ CARD BMS REVASC MI 1 VSL RI|CARDIOLOGY - CARDIAC CATH LAB [0481]|92941|RI|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90040436|HC TOBACCO-USE COUNSEL 3-10 MIN|OTHER THERAPEUTIC SERVICES - EDUCATION/TRAINING [0942]|G0436||WS HB DEFAULT|75.00
WS SERVICE AREA|90092943|HC ROBOTIC ASST CTO BMS STENT LD/LAD|CARDIOLOGY - CARDIAC CATH LAB [0481]|92943|LD|WS HB DEFAULT|34,452.00
WS SERVICE AREA|99301003|HC TELEHEALTH FACILITY FEE|TELEMEDICINE - GENERAL CLASSIFICATION [0780]|Q3014||WS HB DEFAULT|80.00
WS SERVICE AREA|90292943|HC ROBOTIC ASST CTO BMS STENT LC/LCX|CARDIOLOGY - CARDIAC CATH LAB [0481]|92943|LC|WS HB DEFAULT|34,452.00
WS SERVICE AREA|99301004|HC TELEHEALTH TRANMISSION FEE|TELEMEDICINE - GENERAL CLASSIFICATION [0780]|T1014||WS HB DEFAULT|84.00
WS SERVICE AREA|90492943|HC ROBOTIC ASST CTO BMS STENT RC/RCA|CARDIOLOGY - CARDIAC CATH LAB [0481]|92943|RC|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90692943|HC ROBOTIC ASST CTO BMS STENT LM ARTERY|CARDIOLOGY - CARDIAC CATH LAB [0481]|92943|LM|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90892943|HC ROBOTIC ASST CTO BMS STENT RAMUS ARTERY|CARDIOLOGY - CARDIAC CATH LAB [0481]|92943|RI|WS HB DEFAULT|34,452.00
WS SERVICE AREA|90092944|HC ROBOTIC ASST CTO BMS STENT ADDL BRCH LD/LAD|CARDIOLOGY - CARDIAC CATH LAB [0481]|92944|LD|WS HB DEFAULT|28,359.00
WS SERVICE AREA|95010049|HC EEG 41 - 60 MINUTES|EEG (ELECTROENCEPHALOGRAM) - GENERAL CLASSIFICATION [0740]|95812||WS HB DEFAULT|1,791.00
WS SERVICE AREA|70075870|HC VENOGRAPHY SKULL SUPERIOR SAGITTAL SINUS|RADIOLOGY - DIAGNOSTIC - ARTERIOGRAPHY [0323]|75870||WS HB DEFAULT|3,640.00
WS SERVICE AREA|90292944|HC ROBOTIC ASST CTO BMS STENT ADDL BRCH LC/LCX|CARDIOLOGY - CARDIAC CATH LAB [0481]|92944|LC|WS HB DEFAULT|28,359.00
WS SERVICE AREA|90492944|HC ROBOTIC ASST CTO BMS STENT ADDL BRCH RC/RCA|CARDIOLOGY - CARDIAC CATH LAB [0481]|92944|RC|WS HB DEFAULT|28,359.00
WS SERVICE AREA|60061107|HC DRILL INSERT CEREBRAL MONITOR DEVICE|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|61107||WS HB DEFAULT|2,189.00
WS SERVICE AREA|90010339|HC SUTURE < 2.5 CM|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|12001||WS HB DEFAULT|508.00
WS SERVICE AREA|90010340|HC DRAIN/INJ JOINT/BURSA W/O US|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|20610||WS HB DEFAULT|871.00
WS SERVICE AREA|90010341|HC LESION EXCISION MARG 0.5/<|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|11420||WS HB DEFAULT|2,267.00
WS SERVICE AREA|90010342|HC SHAVE SKIN LESION 0.5 CM/<|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|11300||WS HB DEFAULT|180.00
WS SERVICE AREA|90010343|HC DRAINAGE OF SKIN ABSCESS|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|10061||WS HB DEFAULT|791.00
WS SERVICE AREA|90010344|HC INSERT INTRAUTERINE DEVICE (IUD)|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|58300||WS HB DEFAULT|934.00
WS SERVICE AREA|90010345|HC BIOPSY OF UTERUS LINING|OPERATING ROOM SERVICES - MINOR SURGERY [0361]|58100||WS HB DEFAULT|441.00
WS SERVICE AREA|27296426|HC CATHETER THRMB 132CM 5MAX ACE|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|9,832.00
WS SERVICE AREA|27802999|HC STENT SYS 3.5X15MM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|||WS HB DEFAULT|23,613.00
WS SERVICE AREA|27803006|HC STENT SYS 4.5X15MM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|||WS HB DEFAULT|23,613.00
WS SERVICE AREA|27298771|HC GUIDEWIRE SNCHR2 300CM STD|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1769||WS HB DEFAULT|2,438.00
WS SERVICE AREA|27205346|HC CATHETER BALL DIL .014IN/4/135|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1725||WS HB DEFAULT|1,097.00
WS SERVICE AREA|27823031|HC CEMENT BN CDS KYP BALLOON|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|C1713||WS HB DEFAULT|373.00
WS SERVICE AREA|27223033|HC GUN CEMENT BN SZ 2 CDS KYP|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|1,294.00
WS SERVICE AREA|27830159|HC CEMENT BN XPEDE TAP SZ 2|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|C1713||WS HB DEFAULT|684.00
WS SERVICE AREA|27885359|HC SYSTEM EMBOL 190CM 4.5MM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|C1884||WS HB DEFAULT|7,305.00
WS SERVICE AREA|27286468|HC INTRODUCER ORTH KPHPK XPR 1ST|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|||WS HB DEFAULT|12,066.00
WS SERVICE AREA|27294762|HC DEVICE REVASC 40MM 4MM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1725||WS HB DEFAULT|526.00
WS SERVICE AREA|272109708|HC BALLOON APEX RX 2.5X12|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1725||WS HB DEFAULT|21,717.00
WS SERVICE AREA|27802993|HC STENT SYS 2.5X15MM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|||WS HB DEFAULT|23,613.00
WS SERVICE AREA|27802996|HC STENT SYS 3X15MM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|||WS HB DEFAULT|23,613.00
WS SERVICE AREA|27803002|HC STENT SYS 4X15MM|MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]|||WS HB DEFAULT|23,613.00
WS SERVICE AREA|93492928|HC ROBOTIC ASST STENT DES LD/LAD ARTERY OR BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|C9600|LD|WS HB DEFAULT|12,192.00
WS SERVICE AREA|27298581|HC GUIDEWIRE SNCHR2 200CM STD|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1769||WS HB DEFAULT|2,063.00
WS SERVICE AREA|27205060|HC CATHETER DSC 6F X 105CM US|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1887||WS HB DEFAULT|3,889.00
WS SERVICE AREA|93592928|HC ROBOTIC ASST STENT DES LC/LCX ARTERY OR BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|C9600|LC|WS HB DEFAULT|12,192.00
WS SERVICE AREA|27294769|HC BALLOON APEX RX 3.0X12|MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]|C1725||WS HB DEFAULT|526.00
WS SERVICE AREA|93692928|HC ROBOTIC ASST STENT DES RC/RCA ARTERY OR BRANCH|CARDIOLOGY - CARDIAC CATH LAB [0481]|C9600|RC|WS HB DEFAULT|12,192.00
WS SERVICE AREA|80030101|HC  RBC AB ELUTION EACH|LABORATORY - IMMUNOLOGY [0302]|86860||WS HB DEFAULT|261.00
WS SERVICE AREA|80030102|HC COOMBS INDIRECT TITER EACH|LABORATORY - IMMUNOLOGY [0302]|86886||WS HB DEFAULT|314.00
WS SERVICE AREA|93792928|HC ROBOTIC ASST STENT DES LM ARTERY|CARDIOLOGY - CARDIAC CATH LAB [0481]|C9600|LM|WS HB DEFAULT|12,192.00
