Service Area|Px Code|Procedure Description|Alternate CPT/HCPCS Code|Alternate Identification|Alternate Code by Location|Alternate Code by Department|Fee Schedule Group Name|Unit Price
WS SERVICE AREA|93192929|HC ROBOTIC  ASST STENT DES LC/LCX ADDITIONAL BRANCH|92929,92929|24101,24102|,|,|WS HB DEFAULT|6,101.00
WS SERVICE AREA|93292929|HC ROBITIC ASST STENT DES RC/RCA ADDITIONAL BRANCH|92929,92929|24101,24102|,|,|WS HB DEFAULT|6,101.00
WS SERVICE AREA|93592933|HC ROBOTIC ASST ATHERECTOMY AND DES STENT LD/LAD|92933,92933|24101,24102|,|,|WS HB DEFAULT|23,604.00
WS SERVICE AREA|93692933|HC ROBOTIC ASST ATHERECTOMY DES STENT LC/LCX|92933,92933|24101,24102|,|,|WS HB DEFAULT|23,604.00
WS SERVICE AREA|93792933|HC ROBOTIC ASST ATHERECTOMY AND DES STENT RC/RCA|92933,92933|24101,24102|,|,|WS HB DEFAULT|23,604.00
WS SERVICE AREA|93892933|HC ROBOTIC ASST ATHERECTOMY AND DES STENT LM ARTERY|92933,92933|24101,24102|,|,|WS HB DEFAULT|23,604.00
WS SERVICE AREA|93992933|HC ROBOTIC ASST ATHERECTOMY AND DES STENT RAMUS ARTERY|92933,92933|24101,24102|,|,|WS HB DEFAULT|23,604.00
WS SERVICE AREA|93392934|HC ROBOTIC ASST ATHERECTOMY DES STENT ADDITIONAL LD/LAD|92934,92934|24101,24102|,|,|WS HB DEFAULT|17,512.00
WS SERVICE AREA|93492934|HC ROBOTIC ASST ATHERECTOMY DES STENT ADDITIONAL LC/LCX|92934,92934|24101,24102|,|,|WS HB DEFAULT|17,512.00
WS SERVICE AREA|93592934|HC ROBOTIC ASST ATHERECTOMY DES STENT ADDITIONAL RC/RCA|92934,92934|24101,24102|,|,|WS HB DEFAULT|17,512.00
WS SERVICE AREA|93392937|HC ROBOTIC ASST GRAFT PTCA AND DES STENT TO LD/LAD|92937,92937|24101,24102|,|,|WS HB DEFAULT|24,518.00
WS SERVICE AREA|93492937|HC ROBOTIC ASST GRAFT PTCA AND DES STENT TO LC/LCX|92937,92937|24101,24102|,|,|WS HB DEFAULT|24,518.00
WS SERVICE AREA|93592937|HC ROBOTIC ASST GRAFT PTCA AND DES STENT TO RC/RCA|92937,92937|24101,24102|,|,|WS HB DEFAULT|24,518.00
WS SERVICE AREA|93792937|HC ROBOTIC ASST GRAFT PTCA AND/OR DES STENT RAMUS ARTERY|92937,92937|24101,24102|,|,|WS HB DEFAULT|24,518.00
WS SERVICE AREA|93092938|HC  ROBOTIC ASST GRAFT PTCA AND/OR DES STENT ADDTL LD/LAD|92938,92938|24101,24102|,|,|WS HB DEFAULT|18,425.00
WS SERVICE AREA|93492938|HC  ROBOTIC ASST GRAFT PTCA AND/OR DES STENT ADDTL LC/LCX|92938,92938|24101,24102|,|,|WS HB DEFAULT|18,425.00
WS SERVICE AREA|93592938|HC  ROBOTIC ASST GRAFT PTCA AND/OR DES STENT ADDTL RC/RCA|92938,92938|24101,24102|,|,|WS HB DEFAULT|18,425.00
WS SERVICE AREA|93192941|HC IP ONLY-ROBOTIC ASST PRQ CARD DES REVASC MI 1VSL LD|92941,92941|24101,24102|,|,|WS HB DEFAULT|34,323.00
WS SERVICE AREA|93392941|HC IP ONLY-ROBOTIC ASST PRQ CARD DES REVASC MI 1VSL LC|92941,92941|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93492941|HC IP ONLY-ROBOTIC ASST PRQ CARD DES REVASC MI 1VSL RC|92941,92941|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93792941|HC IP ONLY- ROBOTIC ASST PRQ CARD DES REVASC MI 1VSL LM|92941,92941|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93992941|HC IP ONLY-ROBOTIC ASST PRQ CARD DES REVASC MI 1VSL RI|92941,92941|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93192943|HC ROBOTIC ASST CTO DES STENT LD/LAD|92943,92943|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93392943|HC ROBOTIC ASST CTO DES STENT LC/LCX|92943,92943|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93592943|HC ROBOTIC ASST CTO DES STENT RC/RCA|92943,92943|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93792943|HC ROBOTIC ASST CTO DES STENT LM ARTERY|92943,92943|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93992943|HC ROBOTIC ASST CTO DES STENT RAMUS ARTERY|92943,92943|24101,24102|,|,|WS HB DEFAULT|34,452.00
WS SERVICE AREA|93192944|HC ROBOTIC ASST CTO DES STENT ADDL BRCH LD/LAD|92944,92944|24101,24102|,|,|WS HB DEFAULT|28,359.00
WS SERVICE AREA|93392944|HC ROBOTIC ASST CTO DES STENT ADDL BRCH LC/LCX|92944,92944|24101,24102|,|,|WS HB DEFAULT|28,359.00
WS SERVICE AREA|93592944|HC ROBOTIC ASST CTO DES STENT ADDL BRCH RC/RCA|92944,92944|24101,24102|,|,|WS HB DEFAULT|28,359.00
WS SERVICE AREA|93008921|HC  TTE W OR W/O FOL W/CONT, COM|93303,93303|24101,24102|,|,|WS HB DEFAULT|2,046.00
WS SERVICE AREA|70600279|HC BREAST TOMOSYNTHESIS DIAGNOSTIC DIGITAL BILATERAL|G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279,G0279|20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24402,24701,26001,26702,26901,26902,26903,26904,26905,26906,27501,27901,31601,33201,33402,34801,34901,24201,24101,24203,24301,46801|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|154.00
WS SERVICE AREA|10010107|HC SKIN SPLIT GRAFT TRUNK/ARM/LEG < 100 SQCM|15100,15100,15100,15100,15100,15100,15100|,,,,,,|,,,,,,|,,,,,,|WS HB DEFAULT|4,689.00
WS SERVICE AREA|30010319|HC PICC LINE INSERTION W/O IMAGING|36569,36569,36569,36569,36569,36569,36569,36569,36569,36569,36569|,,,,,,,,,,|,,,,,,,,,,|,,,,,,,,,,|WS HB DEFAULT|6,411.00
WS SERVICE AREA|80081415|HC NON TLC DEVICES DRUG SCREENS|G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478,G0478|20201,20202,20501,20502,21201,21202,21203,21204,21401,21501,21601,22301,23201,23202,23203,23501,24101,24102,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|571.00
WS SERVICE AREA|70600022|HC MAMMO DIAGNOSTIC DIGITAL AUG BILAT|G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702,30302|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|1,140.00
WS SERVICE AREA|70600027|HC MAMMO DIAGNOSTIC DIGITAL AUG UNI|G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702,30302|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|828.00
WS SERVICE AREA|70600023|HC MAMMO DIAGNOSTIC DIGITAL BILAT|G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204,G0204|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,30201,35701,35702,30302,27401,27402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|905.00
WS SERVICE AREA|70600028|HC MAMMO DIAGNOSTIC DIGITAL UNI|G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206,G0206|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702,30302|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|765.00
WS SERVICE AREA|70600016|HC MAMMO SCREENING DIGITAL AUG UNI|G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,24402,24701,26001,26901,26902,26903,26904,26905,26906,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,27501,27901,31601,33402,34801,34901,30302,27401,27402,30201,35701,35702|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|784.00
WS SERVICE AREA|70600019|HC MAMMO SCREENING DIGITAL BILAT|G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702,30302|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|807.00
WS SERVICE AREA|70600017|HC MAMMO SCREENING DIGITAL UNI|G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,30302,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|760.00
WS SERVICE AREA|90010098|HC GENETIC COUNSELING EA 30 MIN|G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463,G0463|20201,20202,20501,20502,21201,21202,21203,21204,21401,22301,22302,23201,23202,23203,23501,24101,24102,24201,24202,24203,24205,24301,24302,24303,24701,25401,25402,26001,26901,26902,26903,26904,26905,26906,27401,27402,27501,27901,31601,34801,34901,35701,38501|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|328.00
WS SERVICE AREA|90010141|HC ER LEVEL B 1|99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281,99281|24101,24102,20101,20102,20103,20105,20601,20107,20201,20202,20705,24502,30001,31701,22202,22203,22205,22206,22207,30101,20701,20109,20108,37901,38001,24501,23107,23101,23102,23104,35502,35501,26401,36601,37501,37301,37201,32401,22701,37101,32201,37001,23602,23603,36901,25701,25703,25702,25901,26102,26501,27101,31101,36801,36701,27701,38501,38801,21109,21130,21118,21110,21125,21104,21103,21131,21105,21132,21112,21113,21133,21106,21120,21121,21117,21124,21123,21116,21122,21107,21108,21135,21126,21115,21134,21111,21119,21114,21128,21129,35401,21201,21202,21203,21204,20501,20502,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|310.00
WS SERVICE AREA|80081421|HC ANTIDEPRESSANTS,NOT OTHERWISE SPECIFIED|G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482|20201,20202,20501,20502,21201,21202,21203,21204,21501,21601,22301,23201,23202,23203,23501,24102,24201,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|248.00
WS SERVICE AREA|90010142|HC ER LEVEL B II|99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282,99282|24101,24102,20101,20102,20103,20105,20601,20107,20201,20202,20705,24502,30001,31701,22202,22203,22205,22206,22207,30101,20701,20109,20108,37901,38001,24501,23107,23101,23102,23104,35502,35501,26401,36601,37501,37301,37201,32401,22701,37101,32201,37001,23602,23603,36901,25701,25703,25702,25901,26102,26501,27101,31101,36801,36701,27701,38501,38801,21109,21130,21118,21110,21125,21104,21103,21131,21105,21132,21112,21113,21133,21106,21120,21121,21117,21124,21123,21116,21122,21107,21108,21135,21126,21115,21134,21111,21119,21114,21128,21129,35401,21201,21202,21203,21204,20501,20502,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|451.00
WS SERVICE AREA|90010143|HC ER LEVEL B III|99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283,99283|24101,24102,20101,20102,20103,20105,20601,20107,20201,20202,20705,24502,30001,31701,22202,22203,22205,22206,22207,30101,20701,20109,20108,37901,38001,24501,23107,23101,23102,23104,35502,35501,26401,36601,37501,37301,37201,32401,22701,37101,32201,37001,23602,23603,36901,25701,25703,25702,25901,26102,26501,27101,31101,36801,36701,27701,38501,38801,21109,21130,21118,21110,21125,21104,21103,21131,21105,21132,21112,21113,21133,21106,21120,21121,21117,21124,21123,21116,21122,21107,21108,21135,21126,21115,21134,21111,21119,21114,21128,21129,35401,21201,21202,21203,21204,20501,20502,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|901.00
