MEDICATION,CHARGE
acetazolamide 25 mg/ml oral,$432.00
ACETAZOLAMIDE 250 MG TAB,$15.49
ACETAZOLAMIDE 250 MG TAB,$12.20
ACETAZOLAMIDE INJ UPTO 500MG,$113.51
ACETAZOLAMIDE INJ UPTO 500MG,$106.97
ACETAZOLAMIDE INJ UPTO 500MG,$119.32
ACETAZOLAMIDE SR 500 MG CAP,$31.69
ACETAZOLAMIDE SR 500 MG CAP,$25.12
ACETAZOLAMIDE SR 500 MG CAP,$25.12
ACETIC ACID 3% LIQUID,$100.00
ACETIC ACID 0.25 % IRR SOLN,$34.81
ACETIC ACID 2 % EAR SOLN,$97.77
ACETIC ACID 2 % EAR SOLN,$85.29
ACETIC ACID 2 % EAR SOLN,$104.76
ACETIC ACID 3% LIQUID,$100.00
ACETYLCHOLINE 10MG/1ML KIT,$262.58
ACETYLCYSTEINE SOLN PER 100MG,$657.17
ACETYLCYSTEINE SOLN PER 100MG,$366.88
ACETYLCYSTEINE SOLN PER 100MG,$366.88
ACETYLCYSTEINE 20 % SOLN,$39.01
ACETYLCYSTEINE 20 % SOLN,$71.78
ACETYLCYSTEINE 20 % SOLN,$61.44
ACETYLCYSTEINE 20 % SOLN,$61.44
ACETYLCYSTEINE 20 % SOLN,$61.44
ACETYLCYSTEINE 20 % SOLN,$61.44
ACETYLCYSTEINE 20 % SOLN,$78.28
ACETYLCYSTEINE 20 % SOLN,$39.01
ACETYLCYSTEINE 20 % SOLN,$61.44
ACETYLCYSTEINE 20 % SOLN,$71.78
ACETYLCYSTEINE 20 % SOLN,$61.44
ACETYLCYSTEINE 20 % SOLN,$78.28
ACETYLCYSTEINE 20 % PER 1 G,$78.28
ACETYLCYSTEINE 20 % PER 1 G,$61.44
ACETYLCYSTEINE SOLN PER 100MG,$47.00
ACETYLCYSTEINE 600 MG CAP,$8.53
ACTIVATED CHARCOAL 25G/120ML SUSP,$34.32
ACTIVATED CHARCOAL 25G/120ML SUSP,$74.24
ACTIVATED CHARCOAL 25G/120ML SUSP,$66.42
activated charcoal oral liquid,$74.24
activated charcoal oral liquid,$66.42
activated charcoal oral liquid,$34.32
ACTIDOSE (ALT) 25G/120ML SUSP,$74.24
ACTIDOSE (ALT) 25G/120ML SUSP,$74.24
ACTIDOSE (ALT) 25G/120ML SUSP,$67.91
activated charcoal-SORBITOL oral,$74.24
activated charcoal-SORBITOL oral,$74.24
ACYCLOVIR 200 MG CAP,$8.39
ACYCLOVIR 200 MG CAP,$10.07
ACYCLOVIR 200 MG CAP,$8.39
ACYCLOVIR 200 MG CAP,$8.47
ACYCLOVIR 200 MG CAP,$8.42
ACYCLOVIR 200 MG/5 ML ORAL SUSP,"$1,551.62"
ACYCLOVIR 200 MG/5 ML ORAL SUSP,$905.97
ACYCLOVIR 400 MG TAB,$8.56
ACYCLOVIR 400 MG TAB,$9.75
ACYCLOVIR 400 MG TAB,$9.51
ACYCLOVIR 400 MG TAB,$9.19
ACYCLOVIR 400 MG TAB,$10.31
ACYCLOVIR 400 MG TAB,$9.19
acyclovir 40mg/ml oral,"$1,551.62"
acyclovir 40mg/ml oral,$905.97
acyclovir 40mg/ml oral,"$1,551.62"
acyclovir 40mg/ml oral,$905.97
ACYCLOVIR 5 % OINTMENT,$138.24
ACYCLOVIR 5 % OINTMENT,$652.43
ACYCLOVIR 5 % OINTMENT,$652.98
ACYCLOVIR INJ PER 5MG,$95.83
ACYCLOVIR INJ PER 5MG,$135.15
ACYCLOVIR INJ PER 5MG,$151.40
ACYCLOVIR INJ PER 5MG,$70.28
ACYCLOVIR INJ PER 5MG,$72.10
ACYCLOVIR INJ PER 5MG,$61.05
ADEFOVIR 10 MG TAB,$116.81
ADEFOVIR 10 MG TAB,$87.89
ADEFOVIR 5 MG TAB,$120.81
ADENOSINE (DIAG) INJ PER 1 MG,"$1,324.97"
ADENOSINE (DIAG) INJ PER 1 MG,"$1,144.96"
ADENOSINE (DIAG) INJ PER 1 MG,$615.80
ADENOSINE (DIAG) INJ PER 1 MG,$696.10
ADENOSINE (DIAG) INJ PER 1 MG,$550.85
ADENOSINE (DIAG) INJ PER 1 MG,$160.47
ADENOSINE INJ PER 6 MG,$255.00
ADENOSINE INJ PER 1 MG,$67.55
ADENOSINE INJ PER 1 MG,$83.41
ADENOSINE INJ PER 1 MG,$58.52
ADENOSINE INJ PER 1 MG,$58.52
ADENOSINE INJ PER 1 MG,$67.55
ADENOSINE INJ PER 1 MG,$83.41
ADENOSINE INJ PER 1 MG,$67.55
ADENOSINE INJ PER 1 MG,$58.52
ADENOSINE INJ PER 1 MG,$83.41
ado-trastuzumab inj per 1 mg,"$7,777.32"
ADO-TRASTUZUMAB INJ PER 1 MG,"$12,353.70"
ADO-TRASTUZUMAB INJ PER 1 MG,"$12,353.70"
AGITATED BACTERIOSTATIC SALINE,$52.28
ALBENDAZOLE 100 MG TAB,$251.53
ALBENDAZOLE 200 MG TAB,$247.53
ALBENDAZOLE 200 MG TAB,$397.90
albumin 25% injection,$350.00
albumin 25% injection,$350.00
albumin 25% injection,$350.00
albumin 25% injection,$206.41
albumin 5% injection,$206.25
albumin 25% injection,$350.00
albumin 25% injection,$350.00
albumin 25% injection,$350.00
albumin 5% injection,$350.00
albumin 5% injection,$350.00
albumin 5% injection,$350.00
albumin 5% injection,$350.00
albumin 5% injection,$350.00
albumin 5% injection,$350.00
albumin 5% injection,$350.00
albumin 5% injection,$350.00
"ALBUMIN 25%, 50ML INJECTION",$350.00
"ALBUMIN 25%, 50ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
"ALBUMIN 5%, 250ML INJECTION",$350.00
ALBUTEROL 0.083% INH SOLUTION,$8.67
ALBUTEROL 0.083% INH SOLUTION,$9.05
ALBUTEROL SULFATE 2 MG TAB,$31.11
ALBUTEROL 0.5% INH SOLUTION,$9.26
ALBUTEROL SULFATE SR 4 MG TAB,$10.73
ALBUTEROL 0.083% INH SOLUTION,$8.67
ALBUTEROL 0.083% INH SOLUTION,$9.05
ALBUTEROL 0.083% INH SOLUTION,$8.67
ALBUTEROL 0.083% INH SOLUTION,$9.05
ALBUTEROL 0.5% INH SOLUTION,$9.26
ALBUTEROL 0.5% INH SOLUTION,$9.26
ALBUTEROL SULFATE 4 MG TAB,$27.11
ALBUTEROL 5 MG/ML INH SOLUTION,$62.40
ALBUTEROL 5 MG/ML INH SOLUTION,$43.50
ALBUTEROL HFA AEROSOL MDI,$187.28
ALBUTEROL HFA AEROSOL MDI,$75.06
ALBUTEROL HFA AEROSOL MDI,$175.42
ALBUTEROL HFA AEROSOL MDI,$171.55
ALBUTEROL HFA AEROSOL MDI,$75.06
ALDESLEUKIN PER SINGLE USE VIAL,"$10,048.38"
ALDESLEUKIN PER SINGLE USE VIAL,"$10,048.38"
ALENDRONATE 10 MG TAB,$10.42
ALENDRONATE 10 MG TAB,$10.42
ALENDRONATE 35 MG TAB,$21.06
ALENDRONATE 35 MG TAB,$10.17
ALENDRONATE 35 MG TAB,$10.87
ALENDRONATE 5 MG TAB,$14.42
ALENDRONATE 70 MG TAB,$11.05
ALENDRONATE 70 MG TAB,$9.51
ALENDRONATE 70 MG TAB,$11.05
ALFUZOSIN SR 10 MG 24 HR TAB,$8.67
ALISKIREN 150 MG TAB,$22.39
ALISKIREN 150 MG TAB,$24.64
ALISKIREN 75 MG TAB,$26.39
ALLOPURINOL 100 MG TAB,$9.54
ALLOPURINOL 100 MG TAB,$9.05
ALLOPURINOL 100 MG TAB,$9.75
ALLOPURINOL 100 MG TAB,$8.56
ALLOPURINOL 100 MG TAB,$9.05
ALLOPURINOL 150 MG TAB,$14.10
allopurinol 20 mg/ml oral,$432.00
allopurinol 20 mg/ml  oral susp,$432.00
ALLOPURINOL 300 MG TAB,$10.10
ALLOPURINOL 300 MG TAB,$11.29
ALLOPURINOL 300 MG TAB,$8.39
ALLOPURINOL 300 MG TAB,$10.10
ALLOPURINOL 300 MG TAB,$9.61
ALLOPURINOL 50 MG TAB,$13.05
ALPRAZOLAM 0.25 MG TAB,$12.15
ALPRAZOLAM 0.25 MG TAB,$12.18
ALPRAZOLAM 0.25 MG TAB,$12.12
ALPRAZOLAM 0.25 MG TAB,$8.21
ALPRAZOLAM 0.5 MG TAB,$12.15
ALPRAZOLAM 0.5 MG TAB,$11.64
ALPRAZOLAM 1 MG TAB,$12.24
ALPRAZOLAM 1 MG TAB,$8.21
ALPRAZOLAM 1 MG TAB,$12.24
ALPROSTADIL 20 MCG INJ KIT,$350.53
ALPROSTADIL 20 MCG INJ KIT,$281.92
ALPROSTADIL 20 MCG INTRACAV INJ,$79.17
ALPROSTADIL 20 MCG INTRACAV INJ,$302.01
ALPROSTADIL 500 MCG/ML INJECTION,$557.61
ALPROSTADIL 500 MCG/ML INJECTION,$557.61
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1 MG,$825.02
ALTEPLASE INJ PER 1 MG,$825.02
ALTEPLASE INJ PER 1MG,"$34,158.13"
ALTEPLASE INJ PER 1MG,"$34,158.13"
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,"$34,158.13"
ALTEPLASE INJ PER 1MG,"$34,158.13"
ALTEPLASE INJ PER 1MG,"$34,158.13"
ALTEPLASE INJ PER 1MG,"$34,158.13"
ALTEPLASE INJ PER 1 MG,$825.02
ALTEPLASE INJ PER 1 MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,$825.02
ALTEPLASE INJ PER 1MG,"$17,179.07"
ALTEPLASE INJ PER 1MG,"$17,179.07"
ALTEPLASE INJ PER 1 MG,"$34,158.13"
ALTEPLASE INJ PER 1 MG,"$34,158.13"
"ALUM, AMMONIUM (BULK) POWDER",$38.55
ALTERNGEL  320 MG/5 ML ORAL SUSP,$21.94
GAVISCON ORAL SUSP,$45.69
MYLANTA (ALT*) SUSP,$10.80
MYLANTA (ALT*) SUSP,$29.45
MYLANTA (ALT*) SUSP,$25.39
ALVIMOPAN 12 MG CAP,$370.50
AMANTADINE 100 MG CAP,$14.41
AMANTADINE 100 MG CAP,$14.41
amantadine 10mg/ml solution,$69.96
amantadine 10mg/ml solution,$94.78
AMANTADINE 50 MG/5 ML SYRUP,$69.96
AMANTADINE 50 MG/5 ML SYRUP,$94.78
AMANTADINE 50 MG/5 ML SYRUP,$47.28
Ambisome inj per 10mg,$92.50
AMIFOSTINE INJ PER 500MG ON,"$1,437.36"
AMIKACIN INJ PER 100 MG,$385.00
AMIKACIN INJ PER 100MG,$92.38
AMIKACIN INJ PER 100MG,$68.12
AMIKACIN INJ PER 100MG,$96.48
AMIKACIN INJ PER 100MG,$78.16
AMIKACIN INJ PER 100MG,$92.38
Amikacin 25 mg/0.5 mL subconj sol,$141.25
AMIKACIN 50 MG/ML OPTH SOL,$55.00
amikacin inj per 100mg,$79.93
amikacin inj per 100mg,$68.53
Amikacin 400 mcg intravitreal sol,$141.25
AMIKACIN INJ PER 100MG,$68.53
AMIKACIN INJ PER 100MG,$79.93
AMILORIDE 2.5 MG TAB,$14.10
AMILORIDE 5 MG TAB,$12.38
AMILORIDE 5 MG TAB,$10.94
AMILORIDE 5 MG TAB,$10.10
AMILORIDE 5 MG TAB,$10.10
AMINO ACID 15% IN SWI INFUSION,$200.00
CLINIMIX E (*ALT) 4.25/D10 IV,$150.00
AMINO ACID INFUSION 10 % IV,$136.00
AMINOCAPROIC ACID 25 % SYRUP,"$7,013.57"
AMINOCAPROIC ACID 250 MG/ML IV,$65.50
AMINOCAPROIC ACID 250 MG/ML IV,$65.50
AMINOCAPROIC ACID 250 MG/ML IV,$64.85
aminocaproic acid 250mg/ml oral,"$7,013.57"
AMINOCAPROIC ACID 500 MG TAB,$67.67
AMINOPHYLLINE 250 MG/10 ML IV,$76.91
AMINOPHYLLINE 250 MG/10 ML IV,$76.91
AMINOPHYLLINE 25 MG/ML PER 250 MG,$95.01
AMINOPHYLLINE INJ PER 250 MG,$95.01
AMIODARONE 100 MG TAB,$15.85
AMIODARONE 200 MG TAB,$9.68
AMIODARONE 200 MG TAB,$10.56
AMIODARONE 200 MG TAB,$8.39
AMIODARONE 200 MG TAB,$11.82
AMIODARONE 200 MG TAB,$8.84
AMIODARONE 200 MG TAB,$9.68
amiodarone 5 mg/ml oral,$432.00
AMIODARONE INJ PER 30MG,$243.64
AMIODARONE INJ PER 30MG,$60.66
AMIODARONE INJ PER 30MG,$63.46
AMIODARONE INJ PER 30MG,$53.32
AMIODARONE INJ PER 30MG,$52.54
AMIODARONE INJ PER 30MG,$57.90
AMIODARONE INJ PER 30MG,$243.64
AMIODARONE INJ PER 30MG,$150.00
AMIODARONE INJ PER 30MG,$150.00
AMITRIPTYLINE 10 MG TAB,$8.35
AMITRIPTYLINE 10 MG TAB,$8.56
AMITRIPTYLINE 10 MG TAB,$8.35
AMITRIPTYLINE 100 MG TAB,$10.66
AMITRIPTYLINE 100 MG TAB,$10.66
AMITRIPTYLINE 12.5 MG TAB,$12.67
AMITRIPTYLINE 25 MG TAB,$10.24
AMITRIPTYLINE 25 MG TAB,$8.67
AMITRIPTYLINE 25 MG TAB,$8.95
AMITRIPTYLINE 25 MG TAB,$8.67
AMITRIPTYLINE 5 MG TAB,$15.50
AMITRIPTYLINE 50 MG TAB,$9.33
AMITRIPTYLINE 50 MG TAB,$10.45
AMITRIPTYLINE 50 MG TAB,$9.86
AMITRIPTYLINE 50 MG TAB,$9.33
AMITRIPTYLINE 75 MG TAB,$10.00
AMITRIPTYLINE 75 MG TAB,$10.00
AMLODIPINE 1.25 MG TAB,$12.56
amlodipine 1 mg/ml oral,$13.75
AMLODIPINE 2.5 MG TAB,$20.43
AMLODIPINE 2.5 MG TAB,$8.56
AMLODIPINE 2.5 MG TAB,$8.35
AMLODIPINE 2.5 MG TAB,$8.56
AMLODIPINE 5 MG TAB,$20.43
AMLODIPINE 5 MG TAB,$9.05
AMLODIPINE 5 MG TAB,$8.28
AMLODIPINE 5 MG TAB,$8.04
AMLODIPINE 5 MG TAB,$8.07
AMLODIPINE 5 MG TAB,$8.25
AMLODIPINE 5 MG TAB,$8.28
AMLODIPINE-BENAZEPRIL 5-10MG CAP,$27.79
AMLODIPINE-BENAZEPRIL 5-20MG CAP,$28.90
AMMONIA AROMATIC 15 % INH SOLN,$21.86
AMMONIUM LACTATE 12 % LOTION,$56.60
AMMONIUM LACTATE 12 % LOTION,$33.51
AMMONIUM LACTATE 12 % LOTION,$81.69
AMOBARBITAL 500 MG INJ,"$1,771.58"
AMOXAPINE 25 MG TAB,$14.31
AMOXAPINE 50 MG TAB,$10.31
AMOXICILLIN 250 MG CAP,$8.35
AMOXICILLIN 250 MG/5 ML ORAL SUSP,$23.20
AMOXICILLIN 250 MG/5 ML ORAL SUSP,$20.40
AMOXICILLIN 250 MG/5 ML ORAL SUSP,$15.92
AMOXICILLIN 250 MG/5 ML ORAL SUSP,$20.40
AMOXICILLIN 5 MG/ML ORAL SUSP,$12.35
AMOXICILLIN 500 MG CAP,$8.28
AMOXICILLIN 500 MG CAP,$8.46
AMOXICILLIN 500 MG CAP,$8.21
amoxicillin 50mg/ml oral,$23.20
amoxicillin 50mg/ml oral,$20.40
amoxicillin 50mg/ml oral,$23.20
amoxicillin 50mg/ml oral,$20.40
augmentin 600-42.9mg/5ml oral,$158.27
augmentin 600-42.9mg/5ml oral,$103.88
augmentin 600-42.9mg/5ml oral,$71.06
augmentin 600-42.9mg/5ml oral,$158.27
augmentin 600-42.9mg/5ml oral,$103.88
augmentin 600-42.9mg/5ml oral,$71.06
AUGMENTIN (ALT*) 500 MG TAB,$12.41
AUGMENTIN (ALT*) 500 MG TAB,$12.20
AUGMENTIN (ALT*) SUSP,$158.27
AUGMENTIN (ALT*) SUSP,$103.88
AUGMENTIN (ALT*) SUSP,$71.06
AUGMENTIN (ALT*) SUSP,$45.69
AUGMENTIN (ALT*)875 MG TAB,$9.89
ADDERALL 10MG TAB (ALT*),$14.67
ADDERALL 10MG TAB (ALT*),$13.05
ADDERALL 5 MG TAB (ALT*),$15.18
ADDERALL 5 MG TAB (ALT*),$14.21
ADDERALL 5 MG TAB (ALT*),$14.29
ADDERALL XR (ALT*) 10 MG CAP,$32.07
ADDERALL XR (ALT*) 10 MG CAP,$25.53
ADDERALL XR (ALT*) 10 MG CAP,$25.41
ADDERALL XR (ALT*) 10 MG CAP,$21.57
ADDERALL XR (ALT*) 10 MG CAP,$20.40
ADDERALL XR (ALT*) 5 MG CAP,$32.07
ADDERALL XR (ALT*) 5 MG CAP,$25.29
ADDERALL XR (ALT*) 5 MG CAP,$22.86
ADDERALL XR (ALT*) 5 MG CAP,$18.78
amphotericin inj per 50 mg,$92.50
amphotericin inj per 50 mg,$92.50
amphotericin B 0.15 % eye drops,$295.00
amphotericin b 0.1 mg/ml inj,$92.50
amphotericin inj per 50 mg,$92.50
amphotericin b 0.5 mg/ml inj,$92.50
AMPHOTERICIN B 5 MG/ML INJ,$92.50
Amphotericin B per 50mcg,$92.50
AMPHOTERICIN B INJ PER 50MG,$92.74
AMPHOTERICIN B INJ PER 50MG,$92.74
AMPHOTERICIN B LIPOSOME PER 10MG,$499.04
AMPHOTERICIN B NASAL SPR 5 MG/ML,$57.18
AMPICILLIN INJ PER 500MG,$57.02
AMPICILLIN INJ PER 500MG,$71.09
AMPICILLIN INJ PER 500MG,$55.66
AMPICILLIN INJ PER 500MG,$71.09
AMPICILLIN INJ PER 500MG,$57.02
AMPICILLIN INJ PER 500MG,$55.66
AMPICILLIN INJ PER 500MG,$63.85
AMPICILLIN INJ PER 500MG,$63.85
AMPICILLIN INJ PER 500MG,$110.71
AMPICILLIN INJ PER 500MG,$59.39
AMPICILLIN INJ PER 500MG,$104.44
AMPICILLIN INJ PER 500MG,$153.51
AMPICILLIN INJ PER 500MG,$59.26
AMPICILLIN INJ PER 500MG,$104.44
AMPICILLIN INJ PER 500MG,$58.19
AMPICILLIN INJ PER 500MG,$104.44
AMPICILLIN INJ PER 500MG,$59.39
AMPICILLIN INJ PER 500MG,$153.51
AMPICILLIN INJ PER 500MG,$59.26
AMPICILLIN INJ PER 500MG,$104.44
AMPICILLIN INJ PER 500MG,$58.19
AMPICILLIN 250 MG CAP,$8.60
AMPICILLIN INJ PER 500MG,$60.24
AMPICILLIN INJ PER 500MG,$52.18
AMPICILLIN INJ PER 500MG,$53.22
AMPICILLIN INJ PER 500MG,$60.24
AMPICILLIN INJ PER 500MG,$53.02
AMPICILLIN INJ PER 500MG,$53.22
AMPICILLIN INJ PER 500MG,$60.24
AMPICILLIN INJ PER 500MG,$52.18
AMPICILLIN INJ PER 500MG,$51.92
AMPICILLIN INJ PER 500MG,$60.24
AMPICILLIN INJ PER 500MG,$51.92
AMPICILLIN INJ PER 500MG,$53.02
AMPICILLIN 250 MG/5 ML ORAL SUSP,$54.00
AMPICILLIN 500 MG CAP,$8.53
AMPICILLIN PER 500 MG INJ,$53.54
AMPICILLIN PER 500 MG INJ,$60.76
AMPICILLIN PER 500 MG INJ,$52.50
AMPICILLIN PER 500 MG INJ,$55.23
AMPICILLIN INJ PER 500MG,$53.54
AMPICILLIN INJ PER 500MG,$60.76
AMPICILLIN INJ PER 500MG,$52.50
AMPICILLIN INJ PER 500MG,$55.23
AMPICILLIN INJ PER 500MG,$52.34
ampicillin inj per 500mg,$63.85
ampicillin inj per 500mg,$63.85
AMPICILLIN PER 500 MG INJ,$53.22
AMPICILLIN PER 500 MG INJ,$52.18
AMPICILLIN PER 500 MG INJ,$53.02
AMPICILLIN PER 500 MG INJ,$53.22
AMPICILLIN PER 500 MG INJ,$52.18
AMPICILLIN PER 500 MG INJ,$53.02
AMPICILLIN PER 500 MG INJ,$60.76
AMPICILLIN PER 500 MG INJ,$53.54
AMPICILLIN PER 500 MG INJ,$52.50
AMPICILLIN PER 500 MG INJ,$55.23
AMPICILLIN PER 500 MG INJ,$52.34
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.97
AMPICILIN-SULBACTAM INJ PER 1.5G,$60.04
AMPICILIN-SULBACTAM INJ PER 1.5G,$57.64
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.26
AMPICILIN-SULBACTAM INJ PER 1.5G,$55.23
AMPICILIN-SULBACTAM INJ PER 1.5G,$54.26
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.97
AMPICILIN-SULBACTAM INJ PER 1.5G,$55.23
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.97
AMPICILIN-SULBACTAM INJ PER 1.5G,$60.04
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.26
AMPICILIN-SULBACTAM INJ PER 1.5G,$54.26
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.97
unasyn inj per 1.5gm,$55.23
unasyn inj per 1.5gm,$58.97
unasyn inj per 1.5gm,$58.26
unasyn inj per 1.5gm,$54.26
unasyn inj per 1.5gm,$58.97
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.13
AMPICILIN-SULBACTAM INJ PER 1.5G,$59.98
AMPICILIN-SULBACTAM INJ PER 1.5G,$66.67
AMPICILIN-SULBACTAM INJ PER 1.5G,$62.06
AMPICILIN-SULBACTAM INJ PER 1.5G,$65.99
AMPICILIN-SULBACTAM INJ PER 1.5G,$57.70
AMPICILIN-SULBACTAM INJ PER 1.5G,$60.89
AMPICILIN-SULBACTAM INJ PER 1.5G,$65.99
AMPICILIN-SULBACTAM INJ PER 1.5G,$58.13
AMPICILIN-SULBACTAM INJ PER 1.5G,$59.98
AMPICILIN-SULBACTAM INJ PER 1.5G,$66.67
AMPICILIN-SULBACTAM INJ PER 1.5G,$62.06
AMPICILIN-SULBACTAM INJ PER 1.5G,$65.99
AMPICILIN-SULBACTAM INJ PER 1.5G,$57.70
AMPICILIN-SULBACTAM INJ PER 1.5G,$60.89
AMPICILIN-SULBACTAM INJ PER 1.5G,$65.99
CREON 24 CAP,$24.14
CREON 6 (ALT*) CAPSULE,$12.20
CREON 12 CAP,$16.23
ANAGRELIDE 0.5 MG CAP,$33.25
ANAGRELIDE 0.5 MG CAP,$10.07
ANASTROZOLE 0.5 MG TAB,$14.03
ANASTROZOLE 1 MG TAB,$56.59
ANASTROZOLE 1 MG TAB,$9.09
ANASTROZOLE 1 MG TAB,$8.46
ANASTROZOLE 1 MG TAB,$8.86
Factor VIII Refacto Per IU,$4.48
Factor VIII Advate Per IU,$4.59
Factor VIII Kogenate FS Per IU,$3.40
Factor VW Humate P Per IU,$4.39
FACTOR VIII ALPHANATE PER IU,$4.51
FACTOR VIII WILATE PER IU,$3.19
Anti-Inhibitor FEBIA per IU,$5.04
ANTITHROMBIN III Per IU,$11.69
ANTI-THYMOCYTE GLOB  25 MG IV,"$3,513.98"
ANTI-THYMOCYTE GLOB  25 MG IV,"$3,513.98"
APIXABAN 2.5 MG TABLET,$29.26
APIXABAN 2.5 MG TABLET,$25.26
APIXABAN 5 MG TABLET,$25.26
APIXABAN 5 MG TABLET,$25.26
APREPITANT CAP PER 5MG,$521.20
APREPITANT CAP PER 5MG,$595.18
APREPITANT CAP PER 5MG,$521.20
APREPITANT CAP PER 5MG,$68.88
APREPITANT CAP PER 5MG,$366.00
APREPITANT CAP PER 5MG,$336.45
APREPITANT CAP PER 5MG,$383.95
APREPITANT CAP PER 5MG,$383.95
ARGATROBAN INJ PER 5MG,"$1,023.35"
ARGATROBAN INJ PER 1 MG,"$12,859.82"
