Service Area,Description,Revenue Code,Charge Patient Pay
WAKE FOREST BAPTIST MEDICAL CENTER High Point,038/150 STIFF ANG GLIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],107
WAKE FOREST BAPTIST MEDICAL CENTER High Point,08/2.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,09/3.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,1 VIEW NECK SOFT TISSUE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],167
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"1,25 VITAMIN D (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],140
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10.2F X 25CM DRAINAGE CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],291
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10/4/75 CONQUEST BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],593
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10/6 VIATORR STENT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"7,371.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10/7 VIATORR STENT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"7,371.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10/8 VIATORR STENT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"7,371.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10-11-12 Cre Balloon,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],838
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10F PINNACLE SHEATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],38
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10MM SNARE CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],898
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"10MM X60MM BALL, 80CM SHAFT, ARMADA 35 PTA CATH, 0.035IN MAX GWIRE",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],353
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10MM/20CM INTERLOCK COIL 2D,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"1,154.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,10MM/30CM INTERLOCK COIL 2D,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"1,154.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,1144 CAPSULE DELIVERY DEVICE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],94
WAKE FOREST BAPTIST MEDICAL CENTER High Point,11-DEOXYCORTISOL,LABORATORY - GENERAL CLASSIFICATION [0300],190
WAKE FOREST BAPTIST MEDICAL CENTER High Point,11-Deoxycortisol (Beaker),LABORATORY - CHEMISTRY [0301],82
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12 DISPOSABLE CABLE W/ALLIGATOR CLIP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],217
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12 LEAD ELECTROCARDIOGRAM,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION [0730],112
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12/2.25 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12/2.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12/2.75 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12/20 EN SNARE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"1,058.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12/3.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12/3.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12/4.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12Fr FlexCath Advance Steerable Sheath,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"3,154.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12Fr GlideLight Laser Sheath,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"6,905.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12MM X 40CM INTERLOCK 2D COIL,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"2,361.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,12MM/20CM INTERLOCK COIL 2D,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"1,155.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,13Fr x 18.7in TightRail Rotating Mechanical Dilator Sheath,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"4,980.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,14/2.25 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,14/2.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,14/2.75 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,14/4 ATLAS BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"1,042.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"14Fr x 30cm, Check-Flo Introducer, Large Valve Assembly, RB tip, w/o w",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],324
WAKE FOREST BAPTIST MEDICAL CENTER High Point,15/3.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,15/3.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,15/4.0 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"150CM WRKNG LENGTH, .035"" GW, QUICK-CROSS SUPPORT2 CATH",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],495
WAKE FOREST BAPTIST MEDICAL CENTER High Point,16 FR VALVED PEEL AWAY SHEATHS,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],96
WAKE FOREST BAPTIST MEDICAL CENTER High Point,16Fr Gastrostomy Tube,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],118
WAKE FOREST BAPTIST MEDICAL CENTER High Point,16Fr GlideLight Laser Sheath,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"6,905.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"17-HYDROXYPREGNENOLONE, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],138
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-HYDROXYPROGESTERONE,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-HYDROXYPROGESTERONE-CAH1,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PREGNENOLONE - CAH4,LABORATORY - GENERAL CLASSIFICATION [0300],180
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PREGNENOLONG - CAH6,LABORATORY - GENERAL CLASSIFICATION [0300],180
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PROGESTERONE,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PROGESTERONE - CAH2,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PROGESTERONE - CAH4,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PROGESTERONE - CAH6,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PROGESTERONE - CAH7,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,17-OH PROGESTERONE - PAI,LABORATORY - GENERAL CLASSIFICATION [0300],129
WAKE FOREST BAPTIST MEDICAL CENTER High Point,18 FR GORE DRYSEAL,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"1,889.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,18 X 30MM ENSNARE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"1,070.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,18/2.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,18/2.75 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,18/3.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,18/4.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,18Fr Gastrostomy Tube,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],117
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"18GaX71cm NRG Transseptal Needle, Mdl NRG-71-C0, Adult, Curve 0",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"1,604.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.25 / 12 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.25 / 15 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.25 / 20 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.25 X 15  NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.25 X 8 NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.25 X12 NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.25X 20 NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.5  X20  NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.5 X 12 NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.5 X 15  NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.5 X8 NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],462
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.50 / 08 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.50 / 12 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.50 / 15 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.50 / 20 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.6m Cool Point Tubing Set,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],343
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.75  X 15   NC TREK RX BALLOO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.75  X 6   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.75 / 12 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.75 / 15 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2.75 / 20 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2/3MM/2.3CM INTERLOCK DIAMOND,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"1,154.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,20Fr Gastrostomy Tube,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],118
WAKE FOREST BAPTIST MEDICAL CENTER High Point,20MM GOOSENECK SNARE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],940
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"21-HYDROXYLASE ANTIBODIES, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],110
WAKE FOREST BAPTIST MEDICAL CENTER High Point,22/2.25 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,22/2.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,22/2.75 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,22/3.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,22/3.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,22/4.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,22Fr Gastrostomy Tube,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],115
WAKE FOREST BAPTIST MEDICAL CENTER High Point,23mm Advanced Arctic Front Cardiac CryoAblation Catheter,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"11,035.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,24 CM VASC BAND,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],62
WAKE FOREST BAPTIST MEDICAL CENTER High Point,24 HOUR PLASMA,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION [0390]",143
WAKE FOREST BAPTIST MEDICAL CENTER High Point,24Fr Gastrostomy Tube,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],97
WAKE FOREST BAPTIST MEDICAL CENTER High Point,25MM SNARE CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],898
WAKE FOREST BAPTIST MEDICAL CENTER High Point,26/2.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,26/2.75 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,26/3.0 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,26/3.5 RESOLUTE INTEGRITY STE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],"3,384.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,28MM ADVANCED ARCTIC FRONT CARDIAC CRYOABLATION CATHETER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"10,534.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,29CM LONG TR BAND,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],153
WAKE FOREST BAPTIST MEDICAL CENTER High Point,2D ECHOCARD LIMITED ADULT,CARDIOLOGY - ECHOCARDIOLOGY [0483],429
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0  X 12   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0  X 15   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0  X 20   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0  X 8   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0 / 08 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0 / 12 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0 / 15 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0 / 20 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.0 / 30 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.25  X 12   NC TREK RX BALLOO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.25  X 8   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.25 / 12 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.25 / 20 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,"3.3Fr x 165cm, 20mm loop dia, Achieve Map Cath, 6mm Electrode Spacing",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],"2,711.00"
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.5  X 12   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.5  X 15   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.5  X 20   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.5  X 8   NC TREK RX BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.50 / 08 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.50 / 12 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.50 / 15 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.50 / 20 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.50 / 30 TREK RX,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],451
WAKE FOREST BAPTIST MEDICAL CENTER High Point,3.75  X 15   NC TREK RX BALLOO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],451
