"The University of Texas MD Anderson Cancer Center
Hospital Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
29,LABORATORY - GENERAL CLASSIFICATION,80176,Lidocaine level,$75
30,LABORATORY - GENERAL CLASSIFICATION,80177,Levetiracetam level,$64
31,LABORATORY - GENERAL CLASSIFICATION,80180,Mycophenolate (mycophenolic acid) level,$57
32,LABORATORY - GENERAL CLASSIFICATION,80183,Oxcarbazepine level,$52
33,LABORATORY - GENERAL CLASSIFICATION,80184,Phenobarbital level,$79
34,LABORATORY - GENERAL CLASSIFICATION,80185,Phenytoin level,$171
35,LABORATORY - GENERAL CLASSIFICATION,80186,Phenytoin level,$91
36,LABORATORY - GENERAL CLASSIFICATION,80188,Primidone level,$32
37,LABORATORY - GENERAL CLASSIFICATION,80197,Tacrolimus level,$169
38,LABORATORY - GENERAL CLASSIFICATION,80200,Tobramycin (antibiotic) level,$97
39,LABORATORY - GENERAL CLASSIFICATION,80201,Topiramate level,$66
40,LABORATORY - GENERAL CLASSIFICATION,80202,Vancomycin (antibiotic) level,$124
41,LABORATORY - GENERAL CLASSIFICATION,80203,Zonisamide level,$79
42,LABORATORY - GENERAL CLASSIFICATION,80299,Quantitation of therapeutic drug,$138
43,LABORATORY - GENERAL CLASSIFICATION,81001,Manual urinalysis test with examination using microscope,$92
44,LABORATORY - GENERAL CLASSIFICATION,81002,"Urinalysis, manual test",$203
45,LABORATORY - GENERAL CLASSIFICATION,81003,Automated urinalysis test,$74
46,LABORATORY - GENERAL CLASSIFICATION,81025,Urine pregnancy test,$74
47,LABORATORY - GENERAL CLASSIFICATION,81050,Urine volume measurement,$53
48,LABORATORY - GENERAL CLASSIFICATION,81232,Gene analysis (dihydropyrimidine dehydrogenase) for common variant,"$2,046"
49,LABORATORY - GENERAL CLASSIFICATION,81240,"Gene analysis (prothrombin, coagulation factor II) A variant",$291
50,LABORATORY - GENERAL CLASSIFICATION,81241,Gene analysis (coagulation factor V) Leiden variant,$291
51,LABORATORY - GENERAL CLASSIFICATION,81242,"Gene analysis (Fanconi anemia, complementation group C) common variant",$464
52,LABORATORY - GENERAL CLASSIFICATION,81256,Gene analysis (hemochromatosis) common variants,$476
53,LABORATORY - GENERAL CLASSIFICATION,81265,Comparative analysis using Short Tandem Repeat (STR) markers of patient and specimen,$669
54,LABORATORY - GENERAL CLASSIFICATION,81266,Comparative analysis using Short Tandem Repeat (STR) markers of patient and specimen,$669
55,LABORATORY - GENERAL CLASSIFICATION,81269,Gene analysis (alpha globin 1 and alpha globin 2) for duplication/deletion variants,$793
56,LABORATORY - GENERAL CLASSIFICATION,81291,"Gene analysis (5, 10-methylenetetrahydrofolate reductase) common variants",$291
57,LABORATORY - GENERAL CLASSIFICATION,81313,Test for detecting genes associated with prostate cancer,"$1,159"
58,LABORATORY - GENERAL CLASSIFICATION,81324,"Gene analysis (peripheral myelin protein 22), duplication or deletion analysis","$2,319"
59,LABORATORY - GENERAL CLASSIFICATION,81350,"Gene analysis (UDP glucuronosyltransferase 1 family, polypeptide A1) common variants","$1,836"
60,LABORATORY - GENERAL CLASSIFICATION,81400,Molecular pathology procedure level 1,$118
61,LABORATORY - GENERAL CLASSIFICATION,81401,Molecular pathology procedure level 2,"$1,410"
62,LABORATORY - GENERAL CLASSIFICATION,81403,Molecular pathology procedure level 4,"$1,160"
63,LABORATORY - GENERAL CLASSIFICATION,81404,Molecular pathology procedure level 5,"$1,704"
64,LABORATORY - GENERAL CLASSIFICATION,81405,Molecular pathology procedure level 6,"$1,623"
65,LABORATORY - GENERAL CLASSIFICATION,81479,Molecular pathology procedure,"$5,564"
66,LABORATORY - GENERAL CLASSIFICATION,82248,Bilirubin level,$78
67,LABORATORY - GENERAL CLASSIFICATION,83036,Hemoglobin A1C level,$198
68,LABORATORY - GENERAL CLASSIFICATION,83516,Analysis of substance using immunoassay technique,$48
69,LABORATORY - GENERAL CLASSIFICATION,85396,"Coagulation or fibrinolysis (clot dissolving) function measurement with interpretation and written report, per day",$509
70,LABORATORY - GENERAL CLASSIFICATION,86832,"Assessment of antibody to human leukocyte antigens (HLA) with high definition qualitative panel for identification of antibody specificities, HLA class I",$994
71,LABORATORY - GENERAL CLASSIFICATION,86833,"Assessment of antibody to human leukocyte antigens (HLA) with high definition qualitative panel for identification of antibody specificities, HLA class II",$868
72,LABORATORY - GENERAL CLASSIFICATION,86850,Screening test for red blood cell antibodies,$37
73,LABORATORY - GENERAL CLASSIFICATION,86860,Removal of antibodies from surface of red blood cell,$116
74,LABORATORY - GENERAL CLASSIFICATION,86870,Identification of red blood cell antibodies,$280
75,LABORATORY - GENERAL CLASSIFICATION,86880,Red blood cell antibody detection test,$69
76,LABORATORY - GENERAL CLASSIFICATION,86885,Red blood cell antibody detection test,$39
77,LABORATORY - GENERAL CLASSIFICATION,86890,Processing and storage of blood unit or component,$358
78,LABORATORY - GENERAL CLASSIFICATION,86900,Blood group typing (ABO),$80
79,LABORATORY - GENERAL CLASSIFICATION,86901,Blood typing for Rh (D) antigen,$41
80,LABORATORY - GENERAL CLASSIFICATION,86905,Blood typing for red blood cell antigens,$46
81,LABORATORY - GENERAL CLASSIFICATION,86920,Blood unit compatibility test,$78
82,LABORATORY - GENERAL CLASSIFICATION,86922,Blood unit compatibility test,$73
83,LABORATORY - GENERAL CLASSIFICATION,86927,Thawing of fresh frozen plasma unit,$26
84,LABORATORY - GENERAL CLASSIFICATION,86945,"Irradiation of blood product, each unit",$29
85,LABORATORY - GENERAL CLASSIFICATION,86960,Volume reduction of blood unit or blood product,$131
86,LABORATORY - GENERAL CLASSIFICATION,86965,Pooling of platelets or other blood products,$31
87,LABORATORY - GENERAL CLASSIFICATION,87254,Virus isolation,$73
88,LABORATORY - GENERAL CLASSIFICATION,87497,"Detection test for cytomegalovirus, quantification",$337
89,LABORATORY - GENERAL CLASSIFICATION,87507,Detection test for digestive tract pathogen,"$1,286"
90,LABORATORY - GENERAL CLASSIFICATION,87529,Detection test for herpes simplex virus,$134
91,LABORATORY - GENERAL CLASSIFICATION,87798,Detection test for organism,$134
92,LABORATORY - GENERAL CLASSIFICATION,88182,Flow cytometry technique for DNA or cell analysis,$910
93,LABORATORY - GENERAL CLASSIFICATION,88185,Flow cytometry technique for DNA or cell analysis,$619
94,LABORATORY - GENERAL CLASSIFICATION,88399,Surgical pathology procedure,"$3,020"
95,LABORATORY - GENERAL CLASSIFICATION,89050,Body fluid cell count,$30
96,LABORATORY - GENERAL CLASSIFICATION,89051,Body fluid cell count with cell identification,$41
97,LABORATORY - GENERAL CLASSIFICATION,89060,Crystal identification from tissue or body fluid,$31
98,LABORATORY - CHEMISTRY,80169,Everolimus level,$281
99,LABORATORY - CHEMISTRY,80178,Lithium level,$88
100,LABORATORY - CHEMISTRY,80180,Mycophenolate (mycophenolic acid) level,$212
101,LABORATORY - CHEMISTRY,80184,Phenobarbital level,$99
102,LABORATORY - CHEMISTRY,80186,Phenytoin level,$218
103,LABORATORY - CHEMISTRY,80195,Sirolimus level,$278
104,LABORATORY - CHEMISTRY,80200,Tobramycin (antibiotic) level,$97
105,LABORATORY - CHEMISTRY,80305,Testing for presence of drug,$154
106,LABORATORY - CHEMISTRY,80306,Testing for presence of drug,$198
107,LABORATORY - CHEMISTRY,80307,Testing for presence of drug,$300
108,LABORATORY - CHEMISTRY,80320,Alcohols levels,$594
109,LABORATORY - CHEMISTRY,80323,Alkaloids levels,$106
110,LABORATORY - CHEMISTRY,80324,Amphetamines levels,$52
111,LABORATORY - CHEMISTRY,80327,Anabolic steroids levels,$265
112,LABORATORY - CHEMISTRY,80329,Analgesics levels,$94
113,LABORATORY - CHEMISTRY,80335,Antidepressants levels,$80
114,LABORATORY - CHEMISTRY,80345,Barbiturates levels,$118
115,LABORATORY - CHEMISTRY,80346,Benzodiazepines levels,$118
116,LABORATORY - CHEMISTRY,80348,Buprenorphine level,$372
117,LABORATORY - CHEMISTRY,80349,Cannabinoids levels,$95
118,LABORATORY - CHEMISTRY,80353,Cocaine level,$94
119,LABORATORY - CHEMISTRY,80354,Fentanyl level,$168
120,LABORATORY - CHEMISTRY,80356,Heroin metabolite level,$434
121,LABORATORY - CHEMISTRY,80358,Methadone level,$170
122,LABORATORY - CHEMISTRY,80359,Methylenedioxyamphetamines levels,$52
123,LABORATORY - CHEMISTRY,80361,Opiates levels,$80
124,LABORATORY - CHEMISTRY,80364,Opioids levels,$69
125,LABORATORY - CHEMISTRY,80365,Oxycodone levels,$376
126,LABORATORY - CHEMISTRY,80375,Drugs or substances measurement,$282
127,LABORATORY - CHEMISTRY,81025,Urine pregnancy test,$74
128,LABORATORY - CHEMISTRY,82010,Ketone bodies analysis,$85
129,LABORATORY - CHEMISTRY,82017,Chemical test for genetic disorder,$73
130,LABORATORY - CHEMISTRY,82024,Adrenocorticotropic hormone (ACTH) level,$474
131,LABORATORY - CHEMISTRY,82040,Albumin (protein) level,$38
132,LABORATORY - CHEMISTRY,82042,"Cerebrospinal fluid, or amniotic fluid albumin (protein) level",$38
133,LABORATORY - CHEMISTRY,82043,Urine microalbumin (protein) level,$148
134,LABORATORY - CHEMISTRY,82085,Aldolase (enzyme) level,$40
135,LABORATORY - CHEMISTRY,82088,Aldosterone hormone level,$87
136,LABORATORY - CHEMISTRY,82103,Alpha-1-antitrypsin (protein) blood test,$81
137,LABORATORY - CHEMISTRY,82104,Alpha-1-antitrypsin (protein) blood test,$39
138,LABORATORY - CHEMISTRY,82105,"Alpha-fetoprotein (AFP) level, serum",$168
139,LABORATORY - CHEMISTRY,82108,Aluminum level,$51
140,LABORATORY - CHEMISTRY,82135,Aminolevulinic acid (protein) level,$96
141,LABORATORY - CHEMISTRY,82139,"Amino acid level, multiple amino acids",$371
142,LABORATORY - CHEMISTRY,82140,Ammonia level,$182
143,LABORATORY - CHEMISTRY,82150,Amylase (enzyme) level,$60
144,LABORATORY - CHEMISTRY,82154,Androstanediol glucuronide (hormone) level,$170
145,LABORATORY - CHEMISTRY,82157,Androstenedione (hormone) level,$61
146,LABORATORY - CHEMISTRY,82164,Angiotensin l - converting enzyme (ACE) level,$112
147,LABORATORY - CHEMISTRY,82172,Apolipoprotein level,$92
148,LABORATORY - CHEMISTRY,82175,Arsenic level,$63
149,LABORATORY - CHEMISTRY,82180,"Ascorbic acid (Vitamin C) level, blood",$62
150,LABORATORY - CHEMISTRY,82232,Beta-2 microglobulin (protein) level,$181
151,LABORATORY - CHEMISTRY,82247,Bilirubin level,$41
152,LABORATORY - CHEMISTRY,82270,Stool analysis for blood to screen for colon tumors,$24
153,LABORATORY - CHEMISTRY,82271,Specimen analysis for blood,$7
154,LABORATORY - CHEMISTRY,82272,Stool analysis for blood,$24
155,LABORATORY - CHEMISTRY,82274,Stool analysis for blood,$350
156,LABORATORY - CHEMISTRY,82300,Cadmium level,$34
157,LABORATORY - CHEMISTRY,82306,Vitamin D-3 level,$217
158,LABORATORY - CHEMISTRY,82308,Calcitonin (hormone) level,$322
159,LABORATORY - CHEMISTRY,82310,Calcium level,$38
160,LABORATORY - CHEMISTRY,82330,Calcium level,$89
161,LABORATORY - CHEMISTRY,82340,Urine calcium level,$78
162,LABORATORY - CHEMISTRY,82365,Infrared analysis of stone,$69
163,LABORATORY - CHEMISTRY,82373,Carbohydrate deficient transferrin (protein) level,$99
164,LABORATORY - CHEMISTRY,82374,Carbon dioxide (bicarbonate) level,$103
165,LABORATORY - CHEMISTRY,82375,Carboxyhemoglobin (protein) level,$67
166,LABORATORY - CHEMISTRY,82378,Carcinoembryonic antigen (CEA) protein level,$133
167,LABORATORY - CHEMISTRY,82379,Carnitine level,$264
168,LABORATORY - CHEMISTRY,82380,Carotene level,$77
169,LABORATORY - CHEMISTRY,82384,Catecholamines (organic nitrogen) level,$95
170,LABORATORY - CHEMISTRY,82390,Ceruloplasmin (protein) level,$47
171,LABORATORY - CHEMISTRY,82397,Analysis using chemiluminescent technique (light and chemical )reaction,$552
172,LABORATORY - CHEMISTRY,82435,Blood chloride level,$57
173,LABORATORY - CHEMISTRY,82436,Urine chloride level,$31
174,LABORATORY - CHEMISTRY,82438,Chloride level,$77
175,LABORATORY - CHEMISTRY,82465,Cholesterol level,$69
176,LABORATORY - CHEMISTRY,82480,"Cholinesterase (enzyme) level, to test for exposure to chemical or liver disease",$31
177,LABORATORY - CHEMISTRY,82482,Cholinesterase (enzyme) level,$93
178,LABORATORY - CHEMISTRY,82495,Chromium level to test for poisoning or deficiency,$657
179,LABORATORY - CHEMISTRY,82507,Citrate level,$68
180,LABORATORY - CHEMISTRY,82523,"Collagen cross links test, (urine test to evaluate bone health)",$285
181,LABORATORY - CHEMISTRY,82525,Copper level,$78
182,LABORATORY - CHEMISTRY,82530,Cortisol (hormone) measurement,$152
183,LABORATORY - CHEMISTRY,82533,Cortisol (hormone) measurement,$202
184,LABORATORY - CHEMISTRY,82542,Chemical analysis using chromatography technique,$189
185,LABORATORY - CHEMISTRY,82550,Creatine kinase (cardiac enzyme) level,$85
186,LABORATORY - CHEMISTRY,82552,Creatine kinase (cardiac enzyme) level,$22
187,LABORATORY - CHEMISTRY,82553,Creatine kinase (cardiac enzyme) level,$96
188,LABORATORY - CHEMISTRY,82565,Blood creatinine level,$53
189,LABORATORY - CHEMISTRY,82570,Creatinine level to test for kidney function or muscle injury,$67
190,LABORATORY - CHEMISTRY,82575,Creatinine clearance measurement to test for kidney function,$108
191,LABORATORY - CHEMISTRY,82585,Cryofibrinogen (protein) level,$42
192,LABORATORY - CHEMISTRY,82595,Cryoglobulin (protein) measurement,$63
193,LABORATORY - CHEMISTRY,82600,Cyanide measurement,$78
194,LABORATORY - CHEMISTRY,82607,Cyanocobalamin (vitamin B-12) level,$91
195,LABORATORY - CHEMISTRY,82608,Cyanocobalamin (vitamin B-12) level,$88
196,LABORATORY - CHEMISTRY,82610,Cystatin C (enzyme inhibitor) level,$95
197,LABORATORY - CHEMISTRY,82626,Dehydroepiandrosterone (DHEA) hormone level,$57
198,LABORATORY - CHEMISTRY,82627,Dehydroepiandrosterone (DHEA-S) hormone level,$71
199,LABORATORY - CHEMISTRY,82638,Dibucaine number (enzyme) measurement,$30
200,LABORATORY - CHEMISTRY,82656,Pancreatic elastase (enzyme) measurement,$205
201,LABORATORY - CHEMISTRY,82657,Enzyme activity measurement,$298
202,LABORATORY - CHEMISTRY,82664,"Electrophoresis, laboratory testing technique",$153
203,LABORATORY - CHEMISTRY,82668,Erythropoietin (protein) level,$116
204,LABORATORY - CHEMISTRY,82670,Estradiol (hormone) level,$130
205,LABORATORY - CHEMISTRY,82677,Estriol (hormone) level,$53
206,LABORATORY - CHEMISTRY,82679,Estrone (hormone) level,$59
207,LABORATORY - CHEMISTRY,82693,Ethylene glycol (antifreeze) measurement,$97
208,LABORATORY - CHEMISTRY,82710,Stool fat measurement,$64
209,LABORATORY - CHEMISTRY,82726,Very long chain fatty acids level,$87
210,LABORATORY - CHEMISTRY,82728,Ferritin (blood protein) level,$174
211,LABORATORY - CHEMISTRY,82735,Fluoride level,$89
212,LABORATORY - CHEMISTRY,82746,Folic acid level,$173
213,LABORATORY - CHEMISTRY,82747,Folic acid level,$85
214,LABORATORY - CHEMISTRY,82784,Gammaglobulin (immune system protein) measurement,$117
215,LABORATORY - CHEMISTRY,82785,IgE (immune system protein) level,$168
216,LABORATORY - CHEMISTRY,82787,Gammaglobulin (immune system protein) measurement,$19
217,LABORATORY - CHEMISTRY,82800,Blood pH level,$60
218,LABORATORY - CHEMISTRY,82803,Blood gases measurement,$151
219,LABORATORY - CHEMISTRY,82810,"Blood gas, oxygen saturation measurement",$30
220,LABORATORY - CHEMISTRY,82941,Gastrin (GI tract hormone) level,$64
221,LABORATORY - CHEMISTRY,82943,Glucagon (pancreatic hormone) level,$66
222,LABORATORY - CHEMISTRY,82945,Glucose (sugar) level on body fluid,$41
223,LABORATORY - CHEMISTRY,82947,Blood glucose (sugar) level,$34
224,LABORATORY - CHEMISTRY,82951,Blood glucose (sugar) tolerance test,$163
225,LABORATORY - CHEMISTRY,82952,Blood glucose (sugar) tolerance test,$39
226,LABORATORY - CHEMISTRY,82955,G6PD (enzyme) level,$59
227,LABORATORY - CHEMISTRY,82962,Blood glucose (sugar) test performed by hand-held instrument,$61
228,LABORATORY - CHEMISTRY,82977,Glutamyltransferase (liver enzyme) level,$104
229,LABORATORY - CHEMISTRY,82985,Glycated protein level,$133
230,LABORATORY - CHEMISTRY,83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$168
231,LABORATORY - CHEMISTRY,83002,"Gonadotropin, luteinizing (reproductive hormone) level",$177
232,LABORATORY - CHEMISTRY,83003,Human growth hormone level,$44
233,LABORATORY - CHEMISTRY,83010,Haptoglobin (serum protein) level,$126
234,LABORATORY - CHEMISTRY,83018,Heavy metal level,$148
235,LABORATORY - CHEMISTRY,83020,Hemoglobin analysis and measurement,$67
236,LABORATORY - CHEMISTRY,83021,Hemoglobin analysis and measurement,$101
237,LABORATORY - CHEMISTRY,83036,Hemoglobin A1C level,$89
238,LABORATORY - CHEMISTRY,83050,Methemoglobin (hemoglobin) analysis,$126
239,LABORATORY - CHEMISTRY,83051,Plasma hemoglobin level,$93
240,LABORATORY - CHEMISTRY,83068,Screening test for unstable hemoglobin,$98
241,LABORATORY - CHEMISTRY,83070,Hemosiderin (hemoglobin breakdown product) analysis,$64
242,LABORATORY - CHEMISTRY,83088,Histamine (immune system substance) level,$208
243,LABORATORY - CHEMISTRY,83090,Homocysteine (amino acid) level,$236
244,LABORATORY - CHEMISTRY,83150,Homovanillic acid (organic acid) level,$58
245,LABORATORY - CHEMISTRY,83497,Hydroxyindolacetic acid (product of metabolism) level,$52
246,LABORATORY - CHEMISTRY,83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$52
247,LABORATORY - CHEMISTRY,83516,Analysis of substance using immunoassay technique,$101
248,LABORATORY - CHEMISTRY,83519,Measurement of substance using immunoassay technique,$321
249,LABORATORY - CHEMISTRY,83520,Measurement of substance using immunoassay technique,$444
250,LABORATORY - CHEMISTRY,83525,Insulin measurement,$145
251,LABORATORY - CHEMISTRY,83540,Iron level,$79
252,LABORATORY - CHEMISTRY,83605,Lactic acid level,$73
253,LABORATORY - CHEMISTRY,83615,Lactate dehydrogenase (enzyme) level,$38
254,LABORATORY - CHEMISTRY,83630,Stool lactoferrin (immune system protein) analysis,$184
255,LABORATORY - CHEMISTRY,83632,Human placental lactogen (placental hormone) level,$168
256,LABORATORY - CHEMISTRY,83655,Lead level,$67
257,LABORATORY - CHEMISTRY,83690,Lipase (fat enzyme) level,$92
258,LABORATORY - CHEMISTRY,83695,Lipoprotein (A) level,$49
259,LABORATORY - CHEMISTRY,83718,HDL cholesterol level,$76
260,LABORATORY - CHEMISTRY,83727,Luteinizing releasing factor (reproductive hormone) level,$286
261,LABORATORY - CHEMISTRY,83735,Magnesium level,$87
262,LABORATORY - CHEMISTRY,83785,Manganese (heavy metal) level,$220
263,LABORATORY - CHEMISTRY,83789,Mass spectrometry (laboratory testing method),$535
264,LABORATORY - CHEMISTRY,83825,Mercury level,$53
265,LABORATORY - CHEMISTRY,83835,Metanephrines level,$83
266,LABORATORY - CHEMISTRY,83873,"Myelin basic protein (nerve protein) level, spinal fluid",$64
267,LABORATORY - CHEMISTRY,83874,Myoglobin (muscle protein) level,$82
268,LABORATORY - CHEMISTRY,83880,Natriuretic peptide (heart and blood vessel protein) level,$226
269,LABORATORY - CHEMISTRY,83883,"Nephelometry, test method using light",$254
270,LABORATORY - CHEMISTRY,83915,Nucleotidase 5' (enzyme) level,$85
271,LABORATORY - CHEMISTRY,83916,Measurement of immune substance (oligoclonal bands),$41
272,LABORATORY - CHEMISTRY,83919,Organic acids analysis,$80
273,LABORATORY - CHEMISTRY,83921,Organic acid level,$59
274,LABORATORY - CHEMISTRY,83930,Blood osmolality (concentration) measurement,$67
275,LABORATORY - CHEMISTRY,83935,Urine osmolality (concentration) measurement,$54
276,LABORATORY - CHEMISTRY,83937,Osteocalcin (bone protein) level,$288
277,LABORATORY - CHEMISTRY,83945,Oxalate level,$75
278,LABORATORY - CHEMISTRY,83950,HER-2 oncoprotein (cancer related gene) measurement,$254
279,LABORATORY - CHEMISTRY,83970,Parathormone (parathyroid hormone) level,$464
280,LABORATORY - CHEMISTRY,83986,Body fluid pH level,$60
281,LABORATORY - CHEMISTRY,83992,PCP drug level,$185
282,LABORATORY - CHEMISTRY,83993,Stool calprotectin (protein) level,$264
283,LABORATORY - CHEMISTRY,84066,"Phosphatase, prostatic (prostate enzyme) level",$174
284,LABORATORY - CHEMISTRY,84075,Phosphatase (enzyme) level,$38
285,LABORATORY - CHEMISTRY,84080,Phosphatase (enzyme) measurement,$54
286,LABORATORY - CHEMISTRY,84087,Phosphohexose isomerase (enzyme) level,$50
287,LABORATORY - CHEMISTRY,84100,Phosphate level,$31
288,LABORATORY - CHEMISTRY,84105,Urine phosphate level,$89
289,LABORATORY - CHEMISTRY,84110,Urine porphobilinogen (metabolism substance) level,$58
290,LABORATORY - CHEMISTRY,84120,Urine porphyrins (metabolism substance) measurement,$38
291,LABORATORY - CHEMISTRY,84126,Stool porphyrins (metabolism substance) level,$75
292,LABORATORY - CHEMISTRY,84132,Blood potassium level,$57
293,LABORATORY - CHEMISTRY,84133,Urine potassium level,$34
294,LABORATORY - CHEMISTRY,84134,Prealbumin (protein) level,$78
295,LABORATORY - CHEMISTRY,84140,Pregnenolone (reproductive hormone) level,$132
296,LABORATORY - CHEMISTRY,84143,17-hydroxypregnenolone (hormone) level,$132
297,LABORATORY - CHEMISTRY,84144,Progesterone (reproductive hormone) level,$74
298,LABORATORY - CHEMISTRY,84145,Procalcitonin (hormone) level,"$1,159"
299,LABORATORY - CHEMISTRY,84146,Prolactin (milk producing hormone) level,$101
300,LABORATORY - CHEMISTRY,84150,Prostaglandin (hormone) level,$337
