"The University of Texas MD Anderson Cancer Center
Pharmacy Charge List",,,,
The pharmacy list below reflects the average charge per date of service from May 2018 to October 2018 is are subject to change.,,,,
14,,C9028,INOTUZUMAB OZOGAMICIN INJECTION 0.25 MG/ML,"$49,924"
15,,C9113,PANTOPRAZOLE 4 MG/ML INJECTION,$174
16,,C9113,PANTOPRAZOLE 40 MG INTRAVENOUS SOLUTION,$25
17,,C9113,PANTOPRAZOLE INFUSION 80 MG IN 100 ML NS (IP-CMPD),$188
18,,C9132,HUM PROTHROMBIN CPLX (PCC) 4FACTOR 500 UNIT (400-620 UNIT) IV SOLUTION,"$12,855"
19,,C9132,PROTHROMBIN COMPLEX CONCENTRATE - DOSE GREATER THAN 2500 UNITS,"$24,601"
20,,C9254,LACOSAMIDE 200 MG/20 ML INTRAVENOUS SOLUTION,$369
21,,C9257,BEVACIZUMAB INTRAVITREAL INJECTION 2.5 MG/0.1 ML,$103
22,,C9275,HEXAMINOLEVULINATE 100 MG INTRAVESICAL SOLUTION,"$3,260"
23,,C9290,BUPIVACAINE LIPOSOME(PF) 1.3 %(13.3 MG/ML) SUSPENSION FOR INFILTRATION,$960
24,,C9293,"GLUCARPIDASE 1,000 UNIT INTRAVENOUS SOLUTION","$479,385"
25,,C9399,AXICABTAGENE CILOLEUCEL INTRAVENOUS SUSPENSION,"$410,300"
26,,C9399,DABRAFENIB 75 MG CAPSULE,$913
27,,C9399,DASATINIB 20 MG TABLET,"$1,013"
28,,C9399,DASATINIB 50 MG TABLET,"$1,368"
29,,C9399,DASATINIB 70 MG TABLET,$759
30,,C9399,DEFIBROTIDE 80 MG/ML INTRAVENOUS SOLUTION,"$26,047"
31,,C9399,DINUTUXIMAB 3.5 MG/ML INTRAVENOUS SOLUTION,"$43,979"
32,,C9399,ERLOTINIB 150 MG TABLET,$896
33,,C9399,MOGAMULIZUMAB-KPKC 4 MG/ML INTRAVENOUS SOLUTION,"$44,659"
34,,C9399,NILOTINIB 200 MG CAPSULE,$458
35,,C9399,POSACONAZOLE 300 MG/16.7 ML INTRAVENOUS SOLUTION,"$1,880"
36,,C9399,SORAFENIB 200 MG TABLET,"$1,343"
37,,C9399,SORAFENIB ORAL SUSPENSION 6.7 MG/ML (IP-CMPD),"$1,273"
38,,C9399,SUGAMMADEX 100 MG/ML INTRAVENOUS SOLUTION,$301
39,,C9399,TRAMETINIB 2 MG TABLET,"$1,155"
40,,C9399,VORINOSTAT 100 MG CAPSULE,"$3,829"
41,,C9399,VORINOSTAT ORAL SUSPENSION 50 MG/ML (IP-CMPD),$565
42,,C9488,CONIVAPTAN 20 MG/100 ML IN 5 % DEXTROSE IV,$830
43,,C9488,CONIVAPTAN 20 MG/100 ML IN D5W INFUSION,"$1,037"
44,,J0131,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",$230
45,,J0131,ACETAMINOPHEN IVPB 10 MG/ML (IV PREP; DOSES NOT 1000 MG),$185
46,,J0131,ACETAMINOPHEN IVPB 10 MG/ML (MAX CONC) (PEDI < 20.5 KG),$81
47,,J0132,ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION,"$1,523"
48,,J0133,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,$235
49,,J0153,ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,$66
50,,J0171,EPINEPHRINE 0.1 MG/ML INJECTION SYRINGE,$50
51,,J0171,EPINEPHRINE 1 MG/ML (1 ML) INJECTION SOLUTION,$44
52,,J0171,EPINEPHRINE 1 MG/ML (1:1000) INJ CONTAINER,$30
53,,J0171,EPINEPHRINE 1 MG/ML INJECTION SOLUTION,$258
54,,J0278,AMIKACIN 25 MG/ML INJ CONTAINER,$10
55,,J0278,AMIKACIN 250 MG/ML INJ CONTAINER,$120
56,,J0278,AMIKACIN 500 MG/2 ML INJECTION SOLUTION,$34
57,,J0282,"AMIODARONE 150 MG/100 ML (1.5 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV",$97
58,,J0282,AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION,$95
59,,J0282,AMIODARONE INFUSION 450 MG IN 250 ML D5W (IP-CMPD),$176
60,,J0285,AMPHOTERICIN B 8.33 MG/ML SOLUTION FOR INJECTION,$56
61,,J0285,AMPHOTERICIN B INJ 5 MG/ML,$63
62,,J0285,AMPHOTERICIN B INTRAVITREAL INJECTION 10 MCG/0.1 ML,$14
63,,J0287,AMPHOTERICIN B LIPID COMPLEX (ABELCET) FOR NEBULIZATION 50 MG/10 ML (IP-CMPD),$436
64,,J0287,AMPHOTERICIN B LIPID COMPLEX 5 MG/ML INTRAVENOUS SUSPENSION,"$2,463"
65,,J0289,AMPHOTERICIN B LIPOSOMAL (AMBISOME) FOR INHALATION 50 MG/12 ML (IP-CMPD),$550
66,,J0289,AMPHOTERICIN B LIPOSOMAL 4 MG/ML INJ,"$5,546"
67,,J0290,AMPICILLIN 1 GRAM SOLUTION FOR INJECTION,$225
68,,J0290,AMPICILLIN 2 GRAM SOLUTION FOR INJECTION,$478
69,,J0290,AMPICILLIN 250 MG/ML INJ CONTAINER,$341
70,,J0295,AMPICILLIN-SULBACTAM 1.5 GRAM INTRAVENOUS SOLUTION CONTAINER,$280
71,,J0295,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION,$146
72,,J0295,AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION,$349
73,,J0295,AMPICILLIN-SULBACTAM 375 MG/ML INJ CONTAINER,$256
74,,J0330,SUCCINYLCHOLINE 200 MG/10 ML (20 MG/ML) INTRAVENOUS SYRINGE CONTAINER,$83
75,,J0330,SUCCINYLCHOLINE CHLORIDE 20 MG/ML INJECTION SOLUTION,$38
76,,J0348,ANIDULAFUNGIN 3.33 MG/ML INJ CONTAINER,$671
77,,J0360,HYDRALAZINE 20 MG/ML INJECTION SOLUTION,$60
78,,J0456,AZITHROMYCIN 100 MG/ML INJ,$100
79,,J0461,ATROPINE 0.1 MG/ML INJECTION SYRINGE,$36
80,,J0461,ATROPINE 0.1 MG/ML INJECTION SYRINGE (CARD OSM),$31
81,,J0461,ATROPINE 0.4 MG/ML INJ CONTAINER,$19
82,,J0461,ATROPINE 0.4 MG/ML INJECTION SOLUTION,$27
83,,J0515,BENZTROPINE 2 MG/2 ML INJECTION SOLUTION,$109
84,,J0565,BEZLOTOXUMAB 25 MG/ML INTRAVENOUS SOLUTION,"$8,344"
85,,J0583,BIVALIRUDIN 50 MG/ML INJ,"$2,083"
86,,J0585,ONABOTULINUMTOXINA 100 UNIT SOLUTION FOR INJECTION,"$3,213"
87,,J0594,BUSULFAN 60 MG/10 ML INTRAVENOUS SOLUTION,"$14,597"
88,,J0610,CALCIUM GLUCONATE 1 GRAM/50 ML IN 0.9 % SODIUM CHLORIDE INTRAVENOUS,$101
89,,J0610,CALCIUM GLUCONATE 100 MG/ML (10 %) INTRAVENOUS SOLUTION,$117
90,,J0610,"CALCIUM GLUCONATE IVPB 1,000 MG IN 50 ML NS (IP-CMPD)",$151
91,,J0630,CALCITONIN (SALMON) 200 UNIT/ML INJECTION SOLUTION,"$9,725"
92,,J0636,CALCITRIOL 1 MCG/ML INTRAVENOUS SOLUTION,$49
93,,J0637,CASPOFUNGIN 5 MG/ML INJ,"$1,360"
94,,J0637,CASPOFUNGIN 50 MG INTRAVENOUS SOLUTION,"$1,062"
95,,J0637,CASPOFUNGIN 7 MG/ML INJ,"$1,186"
96,,J0640,LEUCOVORIN CALCIUM 20 MG/ML INJECTION,$294
97,,J0670,MEPIVACAINE (PF) 20 MG/ML (2 %) INJECTION SOLUTION,$13
98,,J0690,CEFAZOLIN 1 G RECONSTITUTED IN 10 ML STERILE WATER (RN OSM),$6
99,,J0690,CEFAZOLIN 1 GRAM INTRAVENOUS SOLUTION CONTAINER,$160
100,,J0690,CEFAZOLIN 1 GRAM SOLUTION FOR INJECTION,$69
101,,J0690,CEFAZOLIN 2 GRAM/50 ML IN DEXTROSE (ISO-OSMOTIC) INTRAVENOUS PIGGYBACK,$131
102,,J0690,CEFAZOLIN 225 MG/ML INJ,$92
103,,J0690,CEFAZOLIN 330 MG/ML INJ,$191
104,,J0692,CEFEPIME 1 GRAM INTRAVENOUS SOLUTION CONTAINER,$177
105,,J0692,CEFEPIME 1 GRAM SOLUTION FOR INJECTION,$96
106,,J0692,CEFEPIME 100 MG/ML INJ,$151
107,,J0692,CEFEPIME 160 MG/ML INJ,$211
108,,J0692,CEFEPIME 2 GRAM INTRAVENOUS SOLUTION CONTAINER,$228
109,,J0692,CEFEPIME 2 GRAM SOLUTION FOR INJECTION,$124
110,,J0692,CEFEPIME 40 MG/ML IN NS STOCK BAG,$37
111,,J0694,CEFOXITIN 1 GRAM INTRAVENOUS SOLUTION,$189
112,,J0694,CEFOXITIN 180 MG/ML INJ,$228
113,,J0694,CEFOXITIN 2 GRAM INTRAVENOUS SOLUTION,$225
114,,J0696,CEFTRIAXONE 1 GRAM INTRAVENOUS SOLUTION CONTAINER,$89
115,,J0696,CEFTRIAXONE 1 GRAM SOLUTION FOR INJECTION,$81
116,,J0696,CEFTRIAXONE 100 MG/ML INJ CONTAINER,$92
117,,J0696,CEFTRIAXONE 2 GRAM INTRAVENOUS SOLUTION CONTAINER,$106
118,,J0696,CEFTRIAXONE 2 GRAM SOLUTION FOR INJECTION,$101
119,,J0697,CEFUROXIME SODIUM 750 MG SOLUTION FOR INJECTION,$158
120,,J0698,CEFOTAXIME 180 MG/ML INJ,$136
121,,J0698,CEFOTAXIME 2 GRAM SOLUTION FOR INJECTION,$195
122,,J0712,CEFTAROLINE 30 MG/ML INJ,"$1,046"
123,,J0712,CEFTAROLINE FOSAMIL 400 MG INTRAVENOUS SOLUTION,$698
124,,J0712,CEFTAROLINE FOSAMIL 600 MG INTRAVENOUS SOLUTION,"$1,446"
125,,J0713,CEFTAZIDIME 1 GRAM INTRAVENOUS SOLUTION CONTAINER,$165
126,,J0713,CEFTAZIDIME 1 GRAM SOLUTION FOR INJECTION,$102
127,,J0713,CEFTAZIDIME 100 MG/ML INJ,$141
128,,J0713,CEFTAZIDIME 170 MG/ML INJ,$274
129,,J0713,CEFTAZIDIME 2 GRAM INTRAVENOUS SOLUTION CONTAINER,$261
130,,J0713,CEFTAZIDIME 2 GRAM SOLUTION FOR INJECTION,$90
131,,J0714,CEFTAZIDIME-AVIBACTAM 2.5 GRAM INTRAVENOUS SOLUTION,"$2,663"
132,,J0714,CEFTAZIDIME-AVIBACTAM 209 MG/ML INJ,"$1,339"
133,,J0735,"CLONIDINE (PF) 1,000 MCG/10 ML (100 MCG/ML) EPIDURAL SOLUTION",$9
134,,J0740,CIDOFOVIR 75 MG/ML INTRAVENOUS SOLUTION,$651
135,,J0743,IMIPENEM-CILASTATIN 50 MG/ML INJ,$645
136,,J0743,IMIPENEM-CILASTATIN 500 MG INTRAVENOUS SOLUTION,$513
137,,J0744,CIPROFLOXACIN 200 MG/100 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,$113
138,,J0744,CIPROFLOXACIN 400 MG/200 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,$112
139,,J0744,CIPROFLOXACIN 400 MG/40 ML INTRAVENOUS SOLUTION,$27
140,,J0744,CIPROFLOXACIN IVPB IN D5W 2 MG/ML (MAX CONC),$140
141,,J0770,COLISTIMETHATE 75 MG/ML INJ,$192
142,,J0780,PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION,$81
143,,J0833,COSYNTROPIN 0.25 MG SOLUTION FOR INJECTION,$746
144,,J0833,COSYNTROPIN 1 MCG/ML INJ (IP-CMPD),$88
145,,J0833,COSYNTROPIN 125 MCG/ML INJ (HIGH-DOSE),$339
146,,J0875,DALBAVANCIN INJ 20 MG/ML,"$14,140"
147,,J0878,DAPTOMYCIN 500 MG INTRAVENOUS SOLUTION,$354
148,,J0878,DAPTOMYCIN INJ 50 MG/ML,"$1,754"
149,,J0881,DARBEPOETIN ALFA 300 MCG/0.6 ML IN POLYSORBATE INJECTION SYRINGE,"$7,737"
150,,J0883,ARGATROBAN 100 MG/ML INTRAVENOUS SOLUTION,"$2,609"
151,,J0885,"EPOETIN ALFA 10,000 UNIT/ML INJECTION SOLUTION","$1,636"
152,,J0885,"EPOETIN ALFA 40,000 UNIT/ML INJECTION SOLUTION","$3,272"
153,,J0894,DECITABINE 5 MG/ML INJ,"$4,329"
154,,J0895,DEFEROXAMINE 95 MG/ML INJ CONTAINER,$323
155,,J0897,DENOSUMAB 120 MG/1.7 ML (70 MG/ML) SUBCUTANEOUS SOLUTION,"$6,428"
156,,J1030,METHYLPREDNISOLONE ACETATE 40 MG/ML SUSPENSION FOR INJECTION,$65
157,,J1050,MEDROXYPROGESTERONE 150 MG/ML INJ CONTAINER,$664
158,,J1071,TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR OIL,$70
159,,J1100,DEXAMETHASONE 10 MG/ML INJECTION SOLUTION,$6
160,,J1100,DEXAMETHASONE 4 MG/ML INJECTION SOLUTION,$32
161,,J1100,DEXAMETHASONE IVPB 20 MG IN 25 ML NS (IP-CMPD),$104
162,,J1100,DEXAMETHASONE IVPB 4 MG/ML (MAX CONC) (PEDI < 20.5  KG),$13
163,,J1100,DEXAMETHASONE SODIUM PHOSPHATE (PF) 10 MG/ML INJECTION SOLUTION,$22
164,,J1120,ACETAZOLAMIDE 100 MG/ML INJ,$342
165,,J1120,ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,$150
166,,J1160,DIGOXIN 250 MCG/ML INJECTION SOLUTION,$34
167,,J1165,PHENYTOIN SODIUM 50 MG/ML INTRAVENOUS SOLUTION,$24
168,,J1170,HYDROMORPHONE (BULK) 100 % POWDER,$170
169,,J1170,HYDROMORPHONE (PF) 1 MG/ML INJECTION SOLUTION,$9
170,,J1170,HYDROMORPHONE (PF) 10 MG/ML INJECTION SOLUTION,$124
171,,J1170,HYDROMORPHONE 0.5 MG/0.5 ML INJ CONTAINER,$36
172,,J1170,HYDROMORPHONE 0.5 MG/0.5 ML INJECTION SYRINGE,$29
173,,J1170,HYDROMORPHONE 1 MG/ML IN 0.9 % SODIUM CHLORIDE PCA SYRINGE CONTAINER,$119
174,,J1170,HYDROMORPHONE 1 MG/ML IN NS PCA SYRINGE (PREMIX) (PALLIATIVE),$114
175,,J1170,HYDROMORPHONE 1 MG/ML IN NS PCA SYRINGE (PREMIX) (PEDI),$114
176,,J1170,HYDROMORPHONE 1 MG/ML INFUSION SYRINGE (PREMIX),$136
177,,J1170,HYDROMORPHONE 1 MG/ML INJECTION SYRINGE,$237
178,,J1170,HYDROMORPHONE 2 MG/ML INJECTION SOLUTION,$42
179,,J1170,HYDROMORPHONE 2 MG/ML INJECTION SYRINGE,$33
180,,J1170,HYDROMORPHONE 50 MG/50 ML IN 0.9 % SODIUM CHLORIDE IV PCA SYRINGE,$129
181,,J1170,HYDROMORPHONE PF 1 MG/5 ML SYRINGE (ANES OSM),$25
182,,J1190,DEXRAZOXANE (GENERIC) 10 MG/ML INJ CONTAINER,"$3,460"
183,,J1200,DIPHENHYDRAMINE 50 MG/ML INJECTION SOLUTION,$16
184,,J1205,CHLOROTHIAZIDE SODIUM 28 MG/ML INJ,$569
185,,J1230,METHADONE 10 MG/ML INJECTION SOLUTION,$299
186,,J1250,DOBUTAMINE 250 MG/20 ML (12.5 MG/ML) INTRAVENOUS SOLUTION,$172
187,,J1250,"DOBUTAMINE 500 MG/250 ML (2,000 MCG/ML) IN 5 % DEXTROSE IV",$92
188,,J1265,"DOPAMINE 800 MG/250 ML (3,200 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS SOLN",$89
189,,J1265,"DOPAMINE 800 MG/250 ML (3,200 MCG/ML) IN 5 % DEXTROSE INTRAVENOUS SOLN (MELANOMA)",$77
190,,J1300,ECULIZUMAB 300 MG/30 ML INTRAVENOUS SOLUTION,"$72,667"
191,,J1335,ERTAPENEM 1 GRAM SOLUTION FOR INJECTION,$442
192,,J1335,ERTAPENEM 100 MG/ML INJ,$411
193,,J1442,FILGRASTIM 300 MCG/0.5 ML INJECTION SYRINGE,"$1,270"
194,,J1442,FILGRASTIM 300 MCG/ML INJECTION SOLUTION,"$1,077"
195,,J1442,FILGRASTIM 480 MCG/0.8 ML INJECTION SYRINGE,"$1,612"
196,,J1442,FILGRASTIM 480 MCG/1.6 ML INJECTION SOLUTION,"$1,579"
197,,J1450,FLUCONAZOLE 200 MG/100 ML IN DEXTROSE (ISO-OSM) INTRAVENOUS PIGGYBACK,$68
198,,J1450,FLUCONAZOLE 200 MG/100 ML IN SOD. CHLORIDE (ISO) INTRAVENOUS PIGGYBACK,$69
199,,J1450,FLUCONAZOLE 400 MG/200 ML IN SOD. CHLORIDE(ISO) INTRAVENOUS PIGGYBACK,$68
200,,J1450,FLUCONAZOLE IVPB 2 MG/ML IN NS (MAX CONC) (PEDI < 20.5 KG),$65
201,,J1450,FLUCONAZOLE IVPB 200 MG/100 ML IN NS (IV PREP; DOSES < 200 MG),$64
202,,J1450,FLUCONAZOLE IVPB 400 MG/200 ML IN NS (IV PREP; DOSES > 400 MG),$87
203,,J1450,FLUCONAZOLE IVPB 400 MG/200 ML IN NS (IV PREP; DOSES 201-399 MG),$68
204,,J1451,FOMEPIZOLE 1 GRAM/ML INTRAVENOUS SOLUTION,"$1,883"
205,,J1453,FOSAPREPITANT 30 MG/ML INJ,"$1,118"
206,,J1455,FOSCARNET 24 MG/ML INTRAVENOUS SOLUTION,"$1,989"
207,,J1459,"IMMUNE GLOB,GAMM(IGG) 10 %-PRO-IGA 0 TO 50 MCG/ML INTRAVENOUS SOLUTION","$16,331"
208,,J1459,IMMUNE GLOBULIN (HUMAN (IGG) 10% (INJ FOR PO USE),"$2,254"
209,,J1570,GANCICLOVIR INJ 50 MG/ML,$447
210,,J1580,GENTAMICIN 40 MG/ML INJECTION SOLUTION,$27
211,,J1610,GLUCAGON (HUMAN RECOMBINANT) 1 MG/ML SOLUTION FOR INJECTION,$540
212,,J1626,GRANISETRON HCL 1 MG/ML INJ CONTAINER,$73
213,,J1630,HALOPERIDOL LACTATE 5 MG/ML INJECTION SOLUTION,$17
214,,J1644,"HEPARIN (PORCINE) (PF) 1,000 UNIT/500 ML IN 0.9 % SODIUM CHLORIDE IV",$65
215,,J1644,"HEPARIN (PORCINE) (PF) 2,000 UNIT/1,000 ML IN 0.9 % SODIUM CHLORIDE IRRIGATION (IR OSM)",$65
216,,J1644,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION SOLUTION",$29
217,,J1644,"HEPARIN (PORCINE) 10,000 UNIT/ML INJECTION SOLUTION",$78
218,,J1644,"HEPARIN (PORCINE) 25,000 UNIT/500 ML (50 UNIT/ML) IN DEXTROSE 5 % IV",$70
219,,J1644,"HEPARIN (PORCINE) 25,000 UNIT/500 ML IN 0.45 % SODIUM CHLORIDE IV SOLN",$75
220,,J1644,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION SOLUTION",$23
221,,J1644,"HEPARIN 1,000 UNIT/ML INJ (EXTRACORPOREAL USE)",$9
222,,J1644,"HEPARIN INFUSION 10,000 UNITS IN 1,000 ML NS (IR USE ONLY) (IP-CMPD)",$162
223,,J1644,"HEPARIN INFUSION 10,000 UNITS IN 500 ML NS (APHERESIS USE ONLY) (IP-CMPD)",$101
224,,J1644,"HEPARIN INFUSION 2,500 UNITS IN 250 ML NS (IP-CMPD)",$76
225,,J1644,"HEPARIN INFUSION 5,000 UNITS IN 1,000 ML NS (IR USE ONLY) (IP-CMPD)",$89
226,,J1644,"HEPARIN TITRATABLE 25,000 UNIT/500 ML IN 0.45% NACL (PREMIX)",$80
227,,J1644,"HEPARIN TITRATABLE 25,000 UNIT/500 ML IN D5W (PREMIX)",$73
228,,J1644,"HEPARIN, PORCINE (PF) 1,000 UNIT/ML INJECTION SOLUTION",$74
229,,J1645,"DALTEPARIN (PORCINE) 10,000 ANTI-XA UNIT/ML SUBCUTANEOUS SYRINGE",$253
230,,J1645,"DALTEPARIN (PORCINE) 12,500 ANTI-XA UNIT/0.5 ML SUBCUTANEOUS SYRINGE",$302
231,,J1645,"DALTEPARIN (PORCINE) 15,000 ANTI-XA UNIT/0.6 ML SUBCUTANEOUS SYRINGE",$360
232,,J1645,"DALTEPARIN (PORCINE) 18,000 ANTI-XA UNIT/0.72 ML SUBCUTANEOUS SYRINGE",$434
233,,J1645,"DALTEPARIN (PORCINE) 5,000 ANTI-XA UNIT/0.2 ML SUBCUTANEOUS SYRINGE",$135
234,,J1650,ENOXAPARIN 100 MG/ML SUBCUTANEOUS SYRINGE,$353
235,,J1650,ENOXAPARIN 120 MG/0.8 ML SUBCUTANEOUS SYRINGE,$395
236,,J1650,ENOXAPARIN 150 MG/ML SUBCUTANEOUS SYRINGE,$420
237,,J1650,ENOXAPARIN 30 MG/0.3 ML SUBCUTANEOUS SYRINGE,$79
238,,J1650,ENOXAPARIN 40 MG/0.4 ML SUBCUTANEOUS SYRINGE,$93
239,,J1650,ENOXAPARIN 60 MG/0.6 ML SUBCUTANEOUS SYRINGE,$218
240,,J1650,ENOXAPARIN 80 MG/0.8 ML SUBCUTANEOUS SYRINGE,$299
241,,J1652,FONDAPARINUX 10 MG/0.8 ML SUBCUTANEOUS SOLUTION SYRINGE,$180
242,,J1652,FONDAPARINUX 2.5 MG/0.5 ML SUBCUTANEOUS SOLUTION SYRINGE,$77
243,,J1652,FONDAPARINUX 5 MG/0.4 ML SUBCUTANEOUS SOLUTION SYRINGE,$180
244,,J1652,FONDAPARINUX 7.5 MG/0.6 ML SUBCUTANEOUS SOLUTION SYRINGE,$180
245,,J1720,HYDROCORTISONE (PF) 50 MG/ML INJ,$17
246,,J1720,HYDROCORTISONE SOD SUCCINATE (PF) 100 MG/2 ML SOLUTION FOR INJECTION,$65
247,,J1720,HYDROCORTISONE SODIUM SUCCINATE 100 MG SOLUTION FOR INJECTION,$34
248,,J1742,IBUTILIDE FUMARATE 0.1 MG/ML INTRAVENOUS SOLUTION,"$1,303"
249,,J1745,INFLIXIMAB 10 MG/ML INJ,"$15,531"
250,,J1756,IRON SUCROSE 100 MG IRON/5 ML INTRAVENOUS SOLUTION,$275
251,,J1756,IRON SUCROSE 20 MG/ML INJ CONTAINER,$566
252,,J1815,INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCUTANEOUS SUSPENSION,$143
253,,J1815,INSULIN REGULAR INFUSION 100 UNITS IN 100 ML NS (IP-CMPD),$137
254,,J1833,ISAVUCONAZONIUM SULFATE 74.4 MG/ML INTRAVEOUS SOLUTION,"$1,164"
255,,J1885,KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,$24
256,,J1930,LANREOTIDE 120 MG/0.5 ML SUBCUTANEOUS SYRINGE,"$21,312"
257,,J1940,FUROSEMIDE 10 MG/ML INJECTION SOLUTION,$45
258,,J1940,FUROSEMIDE INFUSION 10 MG/ML,$743
259,,J1950,LEUPROLIDE 11.25 MG (3 MONTH) INTRAMUSCULAR SYRINGE KIT,"$6,304"
260,,J1950,LEUPROLIDE 11.25 MG (PEDIATRIC 3 MONTH) INTRAMUSCULAR SYRINGE KIT,"$13,767"
261,,J1950,LEUPROLIDE 3.75 MG INTRAMUSCULAR SYRINGE KIT,"$2,101"
262,,J1953,LEVETIRACETAM 500 MG/5 ML INTRAVENOUS SOLUTION,$237
263,,J1955,LEVOCARNITINE 200 MG/ML INTRAVENOUS SOLUTION,$479
264,,J1956,LEVOFLOXACIN 25 MG/ML INTRAVENOUS SOLUTION,$123
265,,J1956,LEVOFLOXACIN 250 MG/50 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,$63
266,,J1956,LEVOFLOXACIN 500 MG/100 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,$67
267,,J1956,LEVOFLOXACIN 750 MG/150 ML IN 5 % DEXTROSE INTRAVENOUS PIGGYBACK,$68
268,,J2001,LIDOCAINE (PF) 100 MG/5 ML (2 %) INTRAVENOUS SYRINGE,$16
269,,J2001,LIDOCAINE (PF) 4 MG/ML (0.4 %) IN 5 % DEXTROSE INTRAVENOUS SOLUTION,$67
270,,J2020,LINEZOLID IN 5% DEXTROSE IN WATER 600 MG/300 ML INTRAVENOUS PIGGYBACK,$244
271,,J2020,LINEZOLID IVPB 2 MG/ML (MAX CONC),$226
272,,J2060,LORAZEPAM 2 MG/ML INFUSION,$158
273,,J2060,LORAZEPAM 2 MG/ML INJ CONTAINER,$26
274,,J2060,LORAZEPAM 2 MG/ML INJECTION SOLUTION,$12
275,,J2060,LORAZEPAM 2 MG/ML INJECTION SYRINGE,$10
276,,J2175,MEPERIDINE (PF) 25 MG/ML INJECTION SOLUTION,$13
277,,J2175,MEPERIDINE (PF) 50 MG/ML INJECTION SOLUTION,$15
278,,J2185,MEROPENEM 0.02 MG/ML INJ (DESENSITIZATION),$266
279,,J2185,MEROPENEM 1 GRAM INTRAVENOUS SOLUTION,$319
