Description,Price,
acetaminophen 100 mg/mL drops 15 mL DROP BTL,18.08,
acetaminophen 120 mg suppository 1 each Box,3.78,
acetaminophen 120 mg suppository 12 each Box,3.82,
acetaminophen 120 mg suppository 50 each Box,3.93,
acetaminophen 160 mg/5 mL (5 mL) suspension 5 mL Cup,19.74,
acetaminophen 325 mg suppository 12 each Box,1.18,
acetaminophen 325 mg suppository 50 each Box,1.18,
"acetaminophen 325 mg tablet 1,000 each Bottle",0.21,
acetaminophen 325 mg tablet 100 each BLIST PACK,0.45,
acetaminophen 650 mg suppository 12 each Box,0.63,
acetaminophen 650 mg suppository 50 each Box,0.53,
acetaminophen 650 mg/20.3 mL solution 20.3 mL BLIST PACK,1.44,
acetaminophen 650 mg/20.3 mL solution 20.3 mL Cup,2.19,
"acetaminophen 80 mg tablet,chewable 30 each Bottle",0.36,
acetaminophen-codeine 120 mg-12 mg /5 mL (5 mL) solution 5 mL Cup,28.87,
acetaminophen-codeine 300-30 mg tablet 1 each BLIST PACK,3.15,
acetaminophen-codeine 300-30 mg tablet 100 each BLIST PACK,5.93,
acetaZOLAMIDE 250 mg tablet 100 each Bottle,28.02,
"acetaZOLAMIDE 500 mg capsule, extended release 100 each Bottle",41.74,
acetazolamide per 500 mg,403.38,
acetic acid (bulk) 3 % liquid 500 mL Bottle,651.24,
"acetic acid 0.25 % solution 1,000 mL Bottle",58.32,
acetic acid 2 % solution 15 mL Bottle,388.85,
acetic acid 2 % solution 15 mL DROP BTL,388.85,
acetic acid 5 % liquid 500 mL Bottle,680.40,
acetylcysteine 100 mg/mL (10 %) solution 30 mL Vial,96.81,
acetylcysteine 100 mg/mL (10 %) solution 4 mL Vial,248.64,
acetylcysteine 200 mg/mL (20 %) solution 10 mL Vial,11.81,
acetylcysteine 200 mg/mL (20 %) solution 2 mL Syringe,36.36,
acetylcysteine 200 mg/mL (20 %) solution 30 mL Vial,16.57,
acetylcysteine 200 mg/mL (20 %) solution 4 mL Vial,181.81,
acetylcysteine per 100 mg,419.18,
ACHIEVE BIOPSY SYSTEM CA20/11,340.64,
ACHIEVE BIOPSY SYSTEM CA20/15,340.64,
ACHILLES TENDON,8624.07,
ACL INSTRUMENTATION SYSTEM,1912.50,
ACL KIT,3060.00,
ACL KIT DISP,1147.50,
ACL RECONSTRUCTION TIGHTRO IMPL DELIVERY SYSTEM,2500.88,
ACL RECONSTRUCTION TIGHTROPE RT IMPL,1945.13,
ACL TRANSTIBIAL KIT DISP - 1897S,327.04,
ACL TRANSTIBIAL KIT DISP - 1898S,1053.79,
ACP KIT,1271.81,
ACP KIT SERIES II AUTOLOUS CONDITIONED PLASMA SYST,1912.50,
ACROSEAL,287.56,
ACTIFUSE SHAPE L CYLINDER 15 X 45MM,4805.00,
ACTIFUSE SHAPE L STRIP 25X7MM,9021.00,
ACTIFUSE SHAPE LARGE STRIP 90 X 25 X 7MM,9207.00,
ACTIFUSE SHAPE M CYLINDER 15X15MM,4387.50,
ACTIFUSE SHAPE S CYLINDER 15 X 15MM,4387.50,
ACTIFUSE SHAPE S CYLINDER 15 X 9MM,2340.00,
activated charcoal 50 gram/240 mL suspension 240 mL Bottle,394.24,
ACTIVATOR SELF CURE 4.5ML,1095.40,
ACTIVE CORD UNIVERSAL MONOPOLAR,650.25,
acyclovir (5 mg/mL) 10 mL Bag,155.52,
acyclovir 200 mg capsule 100 each Bottle,28.34,
acyclovir 200 mg/5 mL suspension 473 mL Bottle,4326.30,
acyclovir 5 % ointment 15 g Tube,3876.38,
acyclovir 800 mg tablet 100 each Bottle,35.64,
acyclovir per 5 mg,291.60,
adalimumab per 20 mg,24924.27,
ADAPTER 11-PIN GE,198.90,
ADAPTER 8 CHANNEL 10CM,5053.00,
ADAPTER ACMI/STRYKER  RELIEVA LUMA,267.75,
ADAPTER AGENT KEYED VAPOFILL,619.65,
ADAPTER AIR WATER CHAN CLEANER,729.81,
ADAPTER BOX TRIGGER AUTOSONIX,734.63,
ADAPTER BRONCHOSCOPE OLYMPUS SUPERDIMENSION,275.53,
ADAPTER CABLE HF 4MM PIN 3MM,581.40,
ADAPTER CELLULAR 3G USB LATITUDE,1164.15,
ADAPTER CHANNEL CLEANING,981.11,
ADAPTER CLEANING SUCTION DUODENOVIDEOSCOPE EVIS EXERA II,361.46,
ADAPTER CONTINUOUS FLOW IRRIGATION,7497.00,
ADAPTER CORD ESU HI CAPACITY 75W,1338.75,
ADAPTER DISPOSABLE PACE-LOC,153.98,
ADAPTER DRIVE/4.0 SHANZ SCREWS,1420.15,
ADAPTER EASYFILL ISOFLURANE,334.61,
ADAPTER EASYFILL SEVOFLURANE,262.32,
ADAPTER FUNNEL-FILL ANTISPILL FORANE/ISOFLURANE,191.25,
ADAPTER INFUSION 4.5MM,1417.16,
ADAPTER LENGTH -6MM HIP-NECK STAGEONE SELECT,1415.70,
ADAPTER LIGHT CABLE,615.83,
ADAPTER LIGHT GUIDE FOR OES 4000 LIGHT-GUIDE CABLE,459.00,
ADAPTER LIGHT GUIDE STORZ,749.70,
ADAPTER LIGHT-GUIDE FOR ENF-GP FIBERSCOPE,1769.29,
ADAPTER LIGHT-GUIDE OLYMPUS OES PROLIGHT GUIDE CAB,1545.91,
ADAPTER MAGNUM 52-60 +3,1608.75,
ADAPTER MAGNUM 52-60 MINUS 3,1608.75,
ADAPTER MAGNUM 52-60MM PLUS,1608.75,
ADAPTER MAGNUM 52-60MM STND,1608.75,
ADAPTER MINI-TAPER SHOULDER COMPREHENSIVE,936.00,
ADAPTER MORSE TPR +10MM,141.86,
ADAPTER MORSE TPR +5MM,141.86,
ADAPTER MORSE TPR STANDARD,28.37,
ADAPTER NECK-LENGTH +6,2142.00,
ADAPTER OFFSET 2.5MM W/SCREWS VANGUARD KNEE SYSTEM,4206.15,
ADAPTER OFFSET 4MM,6730.39,
ADAPTER OFFSET 5.0MM VANGUARD 360,4206.15,
ADAPTER OFFSET 5MM,6730.39,
ADAPTER OFFSET 6MM,6730.39,
ADAPTER OFFSET 7.5MM W/SCREWS VANGUARD KNEE SYSTEM,4206.15,
ADAPTER OFFSET LONG WIRE BOLT CIRCULAR EXTERNAL FI,2321.39,
ADAPTER PIN SHORT APEX,3043.17,
ADAPTER POWER COAXIAL CHEST DRAIN SYSTEM THOPAZ,994.50,
ADAPTER PROBE FIAPC,1338.75,
ADAPTER RIGHT ANGLE,1464.82,
ADAPTER SCHRADER FEMALE ADAPTER MEDICAL AIR,267.75,
ADAPTER SCHRADER MALE ADAPTER MEDICAL AIR,573.75,
ADAPTER SCOPE HENKE/DYONICS/STORZ SAFELIGHT,393.98,
ADAPTER SERIES 3TO4 TRKLE DRLL,4299.30,
ADAPTER SET FLASH CARD COMPACT,1208.32,
ADAPTER SINGLE HEATED WIRE,1353.97,
ADAPTER STACKING DIAPHYSEAL OSS,865.80,
ADAPTER STEM 1CM DIAPHRAGM OSS,19108.40,
ADAPTER SUCTION CLEANING,344.25,
ADAPTER THREAD .875-6 TRI6-2MM CEMENT CARTIDGE,267.75,
ADAPTER TOOMEY,596.70,
ADAPTER TOUHY-BORST,306.00,
ADAPTER TUBE W/CLAMPING CONE,604.35,
ADAPTER UNIVERSAL 6IN SIDE-RAIL,3251.25,
ADAPTER UROLOK,167.12,
ADAPTER WOLF/DYONICS  RELIEVA LUMA,267.75,
ADAPTER WTRJT FOR EVO TECH CONNECTOR OLYMPUS,2233.80,
ADAPTER Y KIT,183.31,
ADAPTOR KIT 1X4 POCKET,2895.75,
ADAPTOR TAPER VERSA DIAL,936.00,
ADAPTOR TWO-PIN,2176.20,
ADAPTOR UNIVERSAL,2457.00,
ADD TO UPPER EXT JT-WRST-ELBOW,305.00,
ADD TO UPPER EXTREMITY ORTHOSI,125.00,
adenosine (diagnostic) per 1 mg,2309.23,
adenosine 3 mg/mL syringe 2 mL Syringe,233.22,
adenosine 3 mg/mL syringe 4 mL Syringe,166.08,
adenosine per 1 mg,48.11,
ADHESIVE MEDICAL,286.88,
ado-trastuzumab 100 mg recon soln 100 mg Vial,29042.49,
AEROGEN ULTRA STARTER KIT,350.37,
AERONEB SOLO CONVENIENCE,348.08,
AFO ANKLE GAUNTLET PRE OTS,377.21,
AFO PLASTIC,1048.55,
AFO RIG ANT TIB PREFAB TCF,4128.75,
AFO SPIRAL PREFABRICATED,3885.69,
AIRSEAL PORT 12MM 100MM,649.41,
AIRSEAL PORT 12MM 100MM PALM GRIP OB,649.41,
AIRSEAL PORT 12MM 120MM,669.76,
AIRSEAL PORT 12MM 120MM PALM GRIP OB,669.76,
AIRSEAL PORT 12MM 150MM,689.49,
AIRSEAL PORT 5MM 100MM,624.93,
AIRSEAL PORT 5MM 110MM,638.24,
AIRSEAL PORT 5MM 150MM,669.76,
AIRSEAL PORT 8MM 100MM,640.23,
AIRSEAL PORT 8MM 120MM,646.12,
AIRWAY GUEDEL 100MM SZ 5,323.98,
AIRWAY GUEDEL 90MM SZ 4,323.98,
AIRWAY IGEL SIZE 5,242.66,
AIRWAY LARYN OPTICAL REG AIRTRAQ,604.35,
AIRWAY LARYNGEAL FLEX SZ4 LMA,2486.25,
AIRWAY LARYNGEAL FLEX SZ5 LMA,2486.25,
AIRWAY LMA CLASSIC SIZE 1.5,1759.50,
AIRWAY LMA CLASSIC SIZE 2.0,1721.25,
AIRWAY LMA CLASSIC SIZE 2.5,1721.25,
AIRWAY LMA FLEXIBLE SIZE 2,2256.75,
AIRWAY LMA FLEXIBLE SIZE 2.5,1721.25,
AIRWAY LMA FLEXIBLE SIZE 3.0,1721.25,
AIRWAY LMA SUPREME SZ 3 STD,153.00,
AIRWAY LMA SUPREME SZ 4 STD,153.00,
AIRWAY LMA SUPREME SZ 5 STD,153.00,
AIRWAY STENT SYSTEM 14X40,7750.00,
ALARM BELT SENSOR HOOK AND LOOP,292.54,
ALARM BELT SENSOR HOOK AND LOOP LONG,337.59,
ALARM TAB PERSONAL,265.07,
ALARM UNIT SITTER SELECT - 8345,739.30,
albendazole 200 mg tablet 2 each Bottle,1952.94,
albumin human 25% per 50 mL,1749.60,
albumin human 5% per 50 mL,874.80,
albuterol 2 mg tablet 100 each Bottle,57.11,
albuterol 2 mg/5 mL syrup 473 mL Bottle,0.63,
albuterol 2.5 mg/0.5 mL solution for nebulization 1 each Vial,8.75,
albuterol ER 4 mg tablet extended release 12 hr 100 each Bottle,17.34,
albuterol HFA 90 mcg/actuation HFA aerosol inhaler 8.5 g CANISTER,579.00,
albuterol per 1 mg,388.80,
aldesleukin per vial,45535.28,
ALGINOT INTRO KIT 50ML REG SET,569.08,
ALIKE ACRYLIC INTRODUCTORY PACKAGE,930.16,
ALISTRAP 1.5X30,349.45,
"allergen ext-T. mentagrophytes 20,000 unit/mL solution 10 mL Vial",291.57,
ALLODERM 10X16,15772.80,
ALLODERM ACEL GRAFT 1X4CM,1450.80,
ALLODERM ACEL GRAFT 2CMX4CM,1275.30,
ALLODERM SELECT MATRIX 16CM X20CM,28433.20,
ALLOGRAFT 0.1-4MM 30CC CRUSHED CANCELLOUS,2925.00,
ALLOGRAFT 0.1-4MM 5CC CANCELLOUS CRUSHED TRADITION,1316.25,
ALLOGRAFT 11X11X6MM 7-DEGREES LORDOTIC MACHINED PUROS S,5850.00,
ALLOGRAFT 11X11X7MM 7-DEGREES LORDOTIC MACHINED PUROS S,5850.00,
ALLOGRAFT 15CC CELLENTRA ADVANCE,19623.00,
ALLOGRAFT 7X14X11 MACHINED CORNERSTONE TISSUE,5557.50,
ALLOGRAFT CERV,4910.40,
ALLOGRAFT CERV 9.75MM X 11.22MM,6155.66,
ALLOGRAFT CERV LORDOTIC 4.75MM X 6.22MM,6155.66,
ALLOGRAFT CERV LORDOTIC 4.75X7.22MM VG2 VERTIG,6155.66,
ALLOGRAFT CERV LORDOTIC 6.75MM X 8.22MM,6155.66,
ALLOGRAFT CERV LORDOTIC 7.75X9.22MM VG2 VERTIG,6155.66,
ALLOGRAFT CERV LORDOTIC 8.75MM X 10.22MM,6155.66,
ALLOGRAFT CERV LORDOTIC 9.75X11.22MM VG2,6875.21,
ALLOGRAFT CERV PARALLEL 10X10MM VG2,6875.21,
ALLOGRAFT CERV PARALLEL 11X11MM VG2,6875.21,
ALLOGRAFT CERV PARALLEL 6X6MM VG2,6875.21,
ALLOGRAFT CERV PARALLEL 7X7MM VG2,6875.21,
ALLOGRAFT CERV PARALLEL 8X8MM VG2,6875.21,
ALLOGRAFT CERV PARALLEL 9X9MM VG2,6875.21,
ALLOGRAFT CERV VIKOS 8MM W/PLUG,4910.40,
ALLOGRAFT CHONDROFIX 11MM,11417.30,
ALLOGRAFT CHONDROFIX 7MM,8667.60,
ALLOGRAFT CHONDROFIX 9MM,10760.10,
ALLOGRAFT CORTICAL CANCELLOUS 6MM,5557.50,
ALLOGRAFT CORTICAL CANCELLOUS 7MM,5557.50,
ALLOGRAFT CORTICAL CANCELLOUS 8MM,5557.50,
ALLOGRAFT C-PLUG 4-DEGREES W/5MM PLUG BIO AVS,5557.50,
ALLOGRAFT LUMBAR  14.75 MM,9853.35,
ALLOGRAFT LUMBAR 10.75MM,9853.35,
ALLOGRAFT LUMBAR 12.75MM,9853.35,
ALLOGRAFT LUMBAR 16.75MM,9853.35,
ALLOGRAFT LUMBAR 18.75MM,9853.35,
ALLOGRAFT LUMBAR 20.75MM,9853.35,
ALLOGRAFT PLATE FEM LARGE 2.3X21CM,5031.00,
ALLOGRAFT SHAFT FIBULA 60X14-18,3574.35,
ALLOGRAFT TALUS RIGHT FOOT + ANKLE,20150.00,
ALLOOSS CANCELLOUS PARTIC 1CC 1000MICR,828.42,
ALLOOSS CORTICAL PARTICULATE .5CC,628.60,
ALLOOSS CORTICO CANCELLOUS .5CC,628.60,
allopurinol 100 mg tablet 1 each BLIST PACK,3.66,
"allopurinol 100 mg tablet 1,000 each Bottle",4.24,
allopurinol 300 mg tablet 100 each BLIST PACK,9.16,
alpha 1 proteinase inhibitor per 10 mg,4860.00,
ALPRAZolam 0.25 mg tablet 1 each BLIST PACK,6.34,
ALPRAZolam 0.25 mg tablet 100 each BLIST PACK,0.54,
ALPRAZolam 0.25 mg tablet 100 each Bottle,6.76,
ALPRAZolam 0.5 mg tablet 1 each BLIST PACK,3.87,
ALPRAZolam 0.5 mg tablet 100 each BLIST PACK,3.69,
alprostadil per 1 mL,1152.54,
alteplase 2 mg recon soln 2 mg Vial,1487.74,
alteplase per 1 mg,85539.50,
"alum (30 g/100 mL) 3,000 mL Bag",16.62,
"alum, ammonium (bulk) powder 340 g Jar",194.98,
aluminum hydroxide 320 mg/5 mL suspension 30 mL Cup,2.04,
aluminum hydroxide 320 mg/5 mL suspension 473 mL Bottle,55.17,
aluminum hydrox-magnesium carb 95-358 mg/15 mL suspension 355 mL Bottle,2.48,
"aluminum sulfate-calcium acetate 952-1,347 mg powder in packet 12 each Packet",6.47,
alum-mag hydroxide-simeth 200-200-20 mg/5 mL suspension 30 mL Cup,13.56,
alum-mag hydroxide-simeth 200-200-20 mg/5 mL suspension 355 mL Bottle,1.17,
AMALGAM RECYCLE KIT ONLY NO FILTER,1105.35,
amantadine 100 mg capsule 100 each Bottle,19.62,
amantadine 50 mg/5 mL solution 473 mL Bottle,708.02,
AMERICATH LAP CHOLE 5MMX23CM,749.70,
amikcain per 100 mg,119.13,
AMILoride 5 mg tablet 100 each Bottle,12.44,
amino acid 10 % 10 % parenteral solution 500 mL Bag,233.28,
aminocaproic acid 250 mg/mL (25 %) solution 236.5 mL Bottle,28091.09,
aminocaproic acid 500 mg tablet 30 each Bottle,474.94,
aminocaproic acid per 5 g,63.76,
aminophylline per 250 mg,110.52,
amiodarone 200 mg tablet 100 each BLIST PACK,2.95,
amiodarone 200 mg tablet 500 each Bottle,15.70,
"amiodarone in dextrose,iso-osm 360 mg/200 mL (1.8 mg/mL) solution 200 mL Bag",449.06,
amiodarone per 30 mg,42.34,
amitriptyline 10 mg tablet 1 each BLIST PACK,3.09,
amitriptyline 25 mg tablet 1 each BLIST PACK,2.47,
amitriptyline 50 mg tablet 1 each BLIST PACK,2.05,
amitriptyline 50 mg tablet 100 each BLIST PACK,2.05,
amLODIPine 10 mg tablet 100 each BLIST PACK,0.26,
amLODIPine 2.5 mg tablet 1 each BLIST PACK,16.81,
amLODIPine 2.5 mg tablet 100 each BLIST PACK,1.35,
amLODIPine 5 mg tablet 1 each BLIST PACK,1.92,
amLODIPine 5 mg tablet 100 each BLIST PACK,30.23,
ammonia 15 % (w/v) solution 1 each AMPUL,4.26,
ammonium lactate 12 % cream 140 g Tube,272.16,
ammonium lactate 12 % lotion 227 g Bottle,176.52,
"ammonium,sod,potassium lactate cream 85 g Tube",78.49,
amoxicillin 250 mg capsule 100 each Bottle,2.43,
amoxicillin 250 mg/5 mL suspension for reconstitution 150 mL Bottle,68.53,
amoxicillin 250 mg/5 mL suspension for reconstitution 5 mL Syringe,2.28,
amoxicillin 500 mg capsule 100 each Bottle,2.14,
amoxicillin-pot clavulanate 250-62.5 mg/5 mL suspension for reconstitution 100 mL Bottle,7936.38,
amoxicillin-pot clavulanate 250-62.5 mg/5 mL suspension for reconstitution 75 mL Bottle,5945.00,
amoxicillin-pot clavulanate 400-57 mg/5 mL suspension for reconstitution 5 mL Syringe,30.33,
amoxicillin-pot clavulanate 400-57 mg/5 mL suspension for reconstitution 75 mL Bottle,454.90,
amoxicillin-pot clavulanate 500-125 mg tablet 20 each Bottle,36.79,
amoxicillin-pot clavulanate 600-42.9 mg/5 mL suspension for reconstitution 125 mL Bottle,32.27,
amoxicillin-pot clavulanate 875-125 mg tablet 20 each Bottle,49.11,
amphotericin b lipid per 10 mg,1909.98,
amphotericin B liposome (1 mg/mL) 50 mL Bag,2021.76,
amphotericin b liposome per 10 mg,2402.20,
amphotericin per 50 mg,369.36,
ampicillin (1 gram/50 mL) 50 mL Bag,108.14,
ampicillin (2 gram/100 mL) 100 mL Bag,187.11,
ampicillin (30 mg/mL) 50 mL,79.75,
AMPICILLIN IN NS 1 GRAM/50 ML ADD-VANTAGE 50 mL Bag,159.12,
AMPICILLIN IN NS 2 GRAM/100 ML ADD-VANTAGE 100 mL Bag,337.75,
ampicillin per 500 mg,337.75,
ampicillin sodium 10 gram recon soln 1 each Vial,758.16,
ampicillin-sulbactam (1.5 gram/50 mL) 50 mL Bag,77.27,
ampicillin-sulbactam (3 gram/100 mL) 100 mL Bag,212.28,
ampicillin-sulbactam (30 mg/mL) 100 mL Bag,139.44,
ampicillin-sulbactam 250 mL Bag,87.48,
ampicillin-sulbactam per 1.5 g,746.98,
AMS 800 IZ ACCESSORY KIT,7131.15,
amyl nitrite 0.3 mL solution 144 each AMPUL,1.58,
anagrelide 0.5 mg capsule 100 each Bottle,108.51,
ANASTOMOTIC INSTRUMENT TI TIP,9141.75,
anastrozole 1 mg tablet 1 each BLIST PACK,20.14,
anastrozole 1 mg tablet 30 each Bottle,129.72,
ANATOMIC TI MATRIX L-PL 3X3 H SHORT 0.7,2170.35,
ANCHOR + INSERTER CINCHLOCK,3717.90,
ANCHOR 5.0MM TITANIUM ALLTHREAD III W/TAPERED NEED,2334.15,
ANCHOR ALL PEEK 5.5 NUMBER 2,1608.75,
ANCHOR BIO W/HERC 2 DISP DRIV,1468.35,
ANCHOR BIOCORK FT#2FIBER5.5X15,316.78,
ANCHOR BIOKNOTLESS 1 PAN,2428.69,
ANCHOR BIOKNOTLESS RC 2 PAN,3264.30,
ANCHOR BIOKNOTLESS W/ORTHOCORD RAPIED,3229.20,
ANCHOR BIOPUSH LOCK 2.9MMX10.7MM,2000.70,
ANCHOR BIOPUSH LOCK 3.5MMX14MM,2000.70,
ANCHOR CINCH,451.35,
ANCHOR CLIK,2581.88,
ANCHOR CORKSCREW 3.5,1583.89,
ANCHOR CORKSCREW BIO 6.5MM,1444.95,
ANCHOR FASTACK 2.8X11.7 W/HAND,1000.35,
ANCHOR FASTACK CORKSCREW 3.5MM,1000.35,
ANCHOR FASTACK CORKSCREW 5MM,1000.35,
ANCHOR FASTACK SPEAR,574.13,
ANCHOR FASTACK SPEAR 2,581.40,
ANCHOR FASTIN RC 2 ETH GR/WH,1804.49,
ANCHOR FASTIN RC 6.5 2 ETH,1827.19,
ANCHOR FIX TISSUE BAND 2 KNOT PUSHERS SYSTEM,5235.75,
ANCHOR FOOTPRINT 4.5,2767.05,
ANCHOR FOOTPRINT 5.5MM,2767.05,
ANCHOR GII W/ORTHOCORD CP2,2363.40,
ANCHOR GRYPHON W/ORTHOCORD,2462.85,
ANCHOR HEALIK PEEK 5.5MM,1901.25,
ANCHOR HEALIX ADVANCE KNOTLESS PEEK 6.5MM,2345.85,
ANCHOR HEALIX BR 5.5 W/ORTHOCORD AND NEEDLE,1725.75,
ANCHOR HEALIX BR W/ORTHOCORD,2158.65,
ANCHOR HEALIX KNOTLESS 4.5,7812.00,
ANCHOR HEALIX KNOTLESS 5.5,2018.25,
ANCHOR HEALIX KNOTLESS 6.5,3439.80,
ANCHOR HEALIX PEEK 4.5,1901.25,
ANCHOR HELIX BR 6.5 W/ORTHOCORD,1725.75,
ANCHOR IMPLANT DUAL THREADED 12.5 X 35MM,9300.00,
ANCHOR IMPLANT DUAL THREADED 12.5 X 40MM,9506.65,
ANCHOR INJEX BUMPY IMP,1608.75,
ANCHOR LUPINE LOOP W/ORTHO,1433.25,
ANCHOR LUPINE W/DUAL ORTH CORD,2942.55,
ANCHOR MINI REVO 2.7X8.5P/L 2ST,877.50,
ANCHOR MULTIFIX S 5.5,2691.00,
ANCHOR PEEK KNOTLESS 4.5MM W/TITANIUM-TIP QUATTRO,4207.50,
ANCHOR PEEK SUTURE 2.9MM QUATTRO GL2,3021.75,
ANCHOR PEEK SUTURE 6.5MM QUATTRO X,3098.25,
ANCHOR PEG GLENOID 40MM,7885.80,
ANCHOR QUICK GII 2 ETH CP-2,2293.20,
ANCHOR QUICK MICRO +3 W/DR BIT,2287.35,
ANCHOR QUICK MICRO 4/0 ETH C-1,2199.60,
ANCHOR QUICK MINI,2293.20,
ANCHOR QUICK MINI W/O ETHIBOND,2293.20,
ANCHOR QUICK SUPER,1804.49,
ANCHOR QUICK SUPER 2 SUTURE,2299.05,
ANCHOR REVO W/HERC 2 5MM KIT,1193.40,
ANCHOR SCREW 3.0M SNGL LOAD TI,3217.50,
ANCHOR SCREW 5MM TITANIUM W/NEEDLE,2363.40,
ANCHOR SHOULDER 52MM SZ 48,7885.80,
ANCHOR SPARTAN PEEK,1608.75,
ANCHOR SUTURE 2.4X8.5MM MINI BIOCOMPOSITE SUTURETA,1806.19,
ANCHOR SUTURE 2.8MM OBL,1115.19,
ANCHOR SUTURE 2.9X15.5MM BIOCOMPOSITE PUSHLOCK,444.60,
ANCHOR SUTURE 3.0MM BIO SUTURETAK W/FIBERWIRE#2,1695.04,
ANCHOR SUTURE 3.0X14.5MM BIOCOMPOSITE SUTURETAK W/,1778.40,
ANCHOR SUTURE 3.5X19.5MM BIOCOMPOSITE PUSHLOCK,2223.00,
ANCHOR SUTURE 3X12.7MM W/#2FIBERWIRE CL BIOCOMPOSITE KNOTLESS SUTURETAK,3251.25,
ANCHOR SUTURE 4.5MM BLUE/BLUE W/NEEDLES TWINFIX ULTRA PK,2524.50,
ANCHOR SUTURE 4.5MM FOOTPRINT ULTRA,1930.50,
ANCHOR SUTURE 4.5MM HEALIX PEEK W/ORTHOCORD,1608.75,
ANCHOR SUTURE 4.5MM TWINFIX ULTRA  WHITE/BLUE,1872.00,
ANCHOR SUTURE 4.5MM TWINFIX ULTRA BLUE/BLUE,1930.50,
ANCHOR SUTURE 4.75X19.1MM W/EYELET CLOSED BIOCOMPO,2223.00,
ANCHOR SUTURE 4.75X19.1MM W/LOOP SUTURE FIBERTAPE,2612.03,
ANCHOR SUTURE 5.0MM OBL,1111.50,
ANCHOR SUTURE 5.5 X 14.7MM BIOCOMP  VENTED,1917.34,
ANCHOR SUTURE 5.5MM BIO SUTURETAK W/FIBERWIRE#2,361.24,
ANCHOR SUTURE 5.5MM FOOTPRINT ULTRA,1930.50,
ANCHOR SUTURE 5.5MM HEALIX TI,1550.25,
ANCHOR SUTURE 5.5MM HEALIX W/ORTHOCORD,1608.75,
ANCHOR SUTURE 5.5MM HEALIX W/ORTHOCORD + NEEDLES,1608.75,
ANCHOR SUTURE 5.5MM TWINFIX ULTRA  WHITE/BLUE,1872.00,
ANCHOR SUTURE 5.5MM W/SUTURE #2 (2) TWINFIX ULTRA,1725.75,
ANCHOR SUTURE 5.5X15MM BIOCOMPOSITE CORKSCREW FT W,1889.55,
ANCHOR SUTURE 5.5X15MM CORKSCREW W/FIBERWIRE #,1639.46,
ANCHOR SUTURE 5.5X15MM PEEK CORKSCREW FT W/FIBERWI,333.45,
ANCHOR SUTURE 5.5X16MM CORKSCREW FT II,1389.38,
ANCHOR SUTURE 5.5X16MM CORKSCREW FT II W/FIBERWR#2,255.65,
ANCHOR SUTURE 6.5MM HEALIX W/ORTHOCORD-222219,1638.00,
ANCHOR SUTURE 6.5MM HEALIX W/ORTHOCORD-222221,1608.75,
ANCHOR SUTURE 6.5MM W/ORTHOCORD + NEEDLES HEALIX A,1842.75,
ANCHOR SUTURE BB-TAK THREADED,462.15,
ANCHOR SUTURE CORKSCREW 3.7MM,1444.95,
ANCHOR SUTURE DUET #2,1626.30,
ANCHOR SUTURE HARPOON 2 COLLAR,849.42,
ANCHOR SUTURE HELICOIL 5.5,2761.20,
ANCHOR SUTURE HELICOIL ULTRABRAID 4.5MM,2135.25,
ANCHOR SUTURE KIT DISPOSABLES DX FIBERTAK,2103.75,
ANCHOR SUTURE KNOTLESS BIORAPTOR,2626.65,
ANCHOR SUTURE MINI PUSHLOCK,2000.70,
ANCHOR SUTURE SWIVELOCK DBL LOADED 4.75MM,2317.48,
