UF Health Shands Gainesville - Pricing Transparency Charge Master,,
Issued 12/28/2018,,
"NOTE: prices identified as ""Mark Up' encompass multiple items with different prices based item markup",,
,,
BILLING_DESC,UNIT,PRICE
.038X 6CMX 4MM EMB COIL ,EACH,145.00
.038X 6CMX5MM EMB COIL ,EACH,145.00
.038X 8CMX 6MM EMB COIL ,EACH,230.00
.038X 8CMX 8MM EMB COIL ,EACH,220.00
.038X 8CMX15MM EMB COIL ,EACH,135.00
.038X10CMX12MM EMB COIL ,EACH,250.00
.038X12CMX10MM EMB COIL ,EACH,250.00
.038X145CM J WIRE ,EACH,40.00
.038X145CM J WIRE HEAVY DUTY ,EACH,40.00
.038X145CM WIRE ,EACH,60.00
.038X15CMX15MM EMB COIL ,EACH,175.00
.038X3CMX2MM EMB COIL ,EACH,250.00
.038X5CMX12MM EMB COIL ,EACH,175.00
.038X5CMX15MM EMB COIL ,EACH,170.00
.052X 8CMX 6MM EMB COIL ,EACH,175.00
.052X 8CMX 8MM EMB COIL ,EACH,170.00
.052X10CMX 8MM EMB COIL ,EACH,160.00
.052X12CMX10MM EMB COIL ,EACH,240.00
.052X15CMX10MM EMB COIL ,EACH,175.00
0.010X205CM TRANSEND GUIDEWIRE ,EACH,"1,165.00"
0.014X175CM DOPPLER GUIDEWIRE ,EACH,"1,555.00"
0.018 X 200CM HT FLEX-T WIRE ,EACH,270.00
0.018 X 40CM TORQ-FLEX WIRE (A ,EACH,80.00
0.018 X145CM HI-TORQUE FLEX-T ,EACH,270.00
0.021 X145CM J WIRE ,EACH,50.00
0.025 X 260CM 1.5 J (ROSEN) EX ,EACH,50.00
0.025 X 260CM J EXCH WIRE ,EACH,60.00
0.025 X 260CM STR EXCH WIRE ,EACH,50.00
0.025 X145CM J WIRE ,EACH,40.00
0.035 X 260 J 1.5 ROSEN WIRE ,EACH,50.00
0.035 X 260 J WIRE ,EACH,40.00
0.035 X 260CM STR EXCH WIRE ,EACH,50.00
0.035 X115CM LOC WIRE EXT ,EACH,175.00
0.035 X145CM WHOLEY HT STAND W ,EACH,40.00
0.035 X150 J WIRE ,EACH,50.00
0.035 X150 STR WIRE ,EACH,50.00
0.035 X180CM J 1.5 ROSEN WIRE ,EACH,40.00
0.035X180CM STORQ STAND WIRE ,EACH,180.00
0.035X300CM STORQ STAND WIRE ,EACH,240.00
025-260CM ANGLED GLIDEWIRE ,EACH,160.00
10.038 75CM HAUSDORF CHECK-FLO ,EACH,310.00
10.038 75CM MULLINS INTRO SET ,EACH,250.00
10.038 80CM FLEX CHECK-FLO INT ,EACH,270.00
10.038 85 CM RBMTS CHECK FLO PERF ,EACH,335.00
10CC BLUE SYRINGE ,EACH,30.00
10CC RED SYRINGE ,EACH,30.00
10F 45CM FLEX SHEATH ,EACH,230.00
10F 80CM ARROW FLEX SHEATH ,EACH,310.00
10F INTRO 10CM ,EACH,30.00
10F SL1 INTRO ,EACH,990.00
10FR PED ASHSPLIT CATH ,EACH,"1,460.00"
10MM VOICE PROSTHESIS ,EACH,745.00
10MMX20MMX80CM STER OTW BALL ,EACH,810.00
10MMX2CM TYSHAK BALL ,EACH,"1,360.00"
10MMX2CM TYSHAK II BALL ,EACH,"1,410.00"
10MMX2CM Z-II BALL ,EACH,920.00
10MMX30MMX80CM STER OTW BALL ,EACH,810.00
10MMX3CM TYSHAK BALL ,EACH,"1,070.00"
10MMX3CM TYSHAK II BALL ,EACH,"1,410.00"
10MMX3CM Z-MED BALL ,EACH,920.00
10MMX40MMX80CM STER OTW BALL ,EACH,810.00
10MMX4CM TYSHAK BALL ,EACH,"1,070.00"
11.038 75CM MULLINS TRANS SHEA ,EACH,240.00
11F 65CM FLEX SHEATH ,EACH,260.00
11F INTRO 10CM ,EACH,70.00
11F X15CM BREVIA DBL LUM HEMOD ,EACH,315.00
12.038 13CM J CHECK-FLO II INT ,EACH,150.00
12.038 30CM J CHECK-FLO II INT ,EACH,200.00
12.038 75CM HAUSDORF CHECK-FLO ,EACH,330.00
12.038 75CM MULLINS TRANS SHEA ,EACH,280.00
12.038 85CM CHECK FLO PERFORMER ,EACH,335.00
12.038 DILATOR ,EACH,70.00
12.5MM VOICE PROSTHESIS ,EACH,765.00
12-20CM ATRIEVE SNARE SYSTEM ,EACH,"1,020.00"
12-20CM SNARE SYSTEM ,EACH,"1,005.00"
12CC CONTROL SYRINGE ,EACH,30.00
12F FAST-CATH TRIO INTRO ,EACH,90.00
12F X16CM DBLE LUM HEMODIAL CA ,EACH,175.00
12FR BILIARY CATH ,EACH,260.00
12FR NEPHROSTOMY CATH ,EACH,260.00
12FT DISP SAFETY CABLE ,EACH,190.00
12MMX2CM TYSHAK BALL ,EACH,"1,410.00"
12MMX2CM TYSHAK II BALL ,EACH,"1,410.00"
12MMX2CMX120CM ATLAS PTA BALL ,EACH,870.00
12MMX3CM TYSHAK BALL ,EACH,"1,410.00"
12MMX3CM TYSHAK II BALL ,EACH,"1,360.00"
12MMX3CM Z-II BALL ,EACH,"1,570.00"
12MMX4CM TYSHAK II BALL ,EACH,"1,410.00"
12MMX4CM Z-II BALL ,EACH,"1,510.00"
12MMX4CM Z-MED BALL ,EACH,"1,260.00"
12MMX6CM Z-II BALL ,EACH,"1,570.00"
13.5X1.35CM SEPTOSTOMY BALL ,EACH,780.00
14.038 13CM J CHECK FLO II INTRO SET ,EACH,155.00
14.038 30CM J CHECK-FLO II INT ,EACH,205.00
14.038 75CM MULLINS TRANS SHEA ,EACH,280.00
14.038 80CM CHECK-FLO PERFORMER ,EACH,525.00
145CM PROTRACK MICROCATH ,EACH,"1,965.00"
14F .038 DILATOR 15CM ,EACH,70.00
14FR APD ,EACH,280.00
14MMX2CMX120CM ATLAS PTA BALL ,EACH,870.00
14MMX3CM TYSHAK II BALL ,EACH,"1,410.00"
14MMX3CM Z-II BALL ,EACH,"1,570.00"
14MMX4CM TYSHAK II BALL ,EACH,"1,410.00"
14MMX4CM Z-II BALL ,EACH,"1,560.00"
14MMX4CMX120CMXXL BALL ,EACH,930.00
14MMX6CM Z-II BALL ,EACH,"1,605.00"
150CM RENEGADE HIFLO MICROCATH ,EACH,"2,425.00"
15CM SCHON XL DIALYSIS CATH ,EACH,330.00
15MMX2CM TYSHAK BALL ,EACH,"1,070.00"
15MMX3CM TYSHAK BALL ,EACH,"1,070.00"
15MMX3CM TYSHAK II BALL ,EACH,"1,460.00"
15MMX3CM Z-II BALL ,EACH,"1,570.00"
15MMX3CM Z-MED BALL ,EACH,"1,410.00"
15MMX4CM TYSHAK BALL ,EACH,"1,320.00"
15MMX4CM TYSHAK II BALL ,EACH,"1,410.00"
15MMX4CM Z-II BALL ,EACH,"1,570.00"
15MMX6CM Z-II BALL ,EACH,"1,560.00"
16.038 30CM CHECK FLO PERFORMER ,EACH,340.00
16F FOLEY COUDE TIP CATHETER ,EACH,40.00
16MMX2CMX120CM ATLAS PTA BALL ,EACH,985.00
16MMX3CM Z-MED BALL ,EACH,"1,260.00"
16MMX4CM TYSHAK II BALL ,EACH,"1,520.00"
16MMX4CM Z-II BALL ,EACH,"1,560.00"
16MMX4CMX75CMXXL BALL ,EACH,815.00
16MMX6CM Z-II BALL ,EACH,"1,570.00"
"17G X 4.5 ENCAPSULON EPI NEED """,EACH,70.00
17-HYDROXYPREGNENOLONE SERUM ,EACH,68.00
18 ANGLED GUIDEWIRE ,EACH,185.00
18 STRAIGHT GLIDE-5/B ,EACH,105.00
18 STRAIGHT GUIDEWIRE ,EACH,70.00
18.0-38-30-VAD5 SHEATH ,EACH,190.00
18-302 RENEG HI-FLO MICROCATH ,EACH,"1,080.00"
18-30CM ATRIEVE SNARE SYSTEM ,EACH,"1,830.00"
18-30CM SNARE SYSTEM ,EACH,"1,005.00"
18FR DILATOR ,EACH,40.00
18GA 10CM BLUNT NEEDLE ,EACH,80.00
18GA 15CM BLUNT NEEDLE ,EACH,80.00
18GA 89CM BRK BROCK NEEDLE ,EACH,755.00
18GA FLASHBACK NEEDLE ,EACH,30.00
18GA X 2.5CM ENTRY NEEDLE ,EACH,40.00
18GA X 4CM ENTRY NEEDLE ,EACH,30.00
18GA X 71CM BROCK NEEDLE ,EACH,270.00
18MMX2CMX120CM ATLAS PTA BALL ,EACH,985.00
18MMX3CM TYSHAK BALL ,EACH,"1,070.00"
18MMX3CM TYSHAK II BALL ,EACH,"1,410.00"
18MMX4CM TYSHAK II BALL ,EACH,"1,520.00"
18MMX4CM Z-II BALL ,EACH,"1,560.00"
18MMX5CM TYSHAK II BALL ,EACH,"1,360.00"
18MMX6CM Z-II BALL ,EACH,"1,560.00"
18MMX6CMX75CMXXL BALL ,EACH,"1,010.00"
19GA 56CM BROCK NEEDLE ,EACH,270.00
1P19Q DELETION BY FISH ,EACH,491.00
"2 ELASTIC BANDAGE """,EACH,12.00
"2 ELASTIC BANDAGE """,EACH,12.00
2.0MMX20MM STER ES OTW BALL ,EACH,810.00
2.5MMX20MM STER ES OTW BALL ,EACH,810.00
2.6X130CM FINECROSS MICRO CATH ,EACH,"1,570.00"
2.6X150CM FINECROSS MICRO CATH ,EACH,"1,570.00"
2.8X110CM PROGR MICROCATH W/MA ,EACH,"1,025.00"
2.8X130CM PROGR MICROCATH W/MA ,EACH,"1,025.00"
20CM SCHON XL DIALYSIS CATH ,EACH,330.00
20FR DILATOR ,EACH,70.00
20MMX2CMX120CM ATLAS PTA BALL ,EACH,985.00
20MMX4CM TYSHAK II BALL ,EACH,"1,520.00"
20MMX4CM Z-II BALL ,EACH,"1,560.00"
20MMX4CM Z-MED BALL ,EACH,"1,260.00"
20MMX5CM TYSHAK II BALL ,EACH,"1,480.00"
20MMX6CM Z-II BALL ,EACH,"1,605.00"
21 GA NEEDLE ,EACH,30.00
21/45/21 CANNULA ,EACH,Mark Up
21GA SHARP NEEDLE ,EACH,30.00
21GA X 2.5CM ENTRY NEEDLE ,EACH,30.00
21GA X 4CM ENTRY NEEDLE ,EACH,30.00
22.038 DILATOR (COONS) ,EACH,40.00
22.0-38 PEELAWAY SHEATH ,EACH,115.00
22FR DILATOR ,EACH,32.00
22G CHIBA NEEDLE ,EACH,50.00
22GAX10CM CHIBA BIOPSY NEEDLE ,EACH,60.00
22MMX2CMX75CM ATLAS PTA BALL ,EACH,"1,330.00"
22MMX4CM TYSHAK II BALL ,EACH,"1,480.00"
22MMX4CM Z-II BALL ,EACH,"1,405.00"
22MMX5CM TYSHAK II BALL ,EACH,"1,480.00"
22MMX6CM Z-II BALL ,EACH,"1,560.00"
2301-0378-03 GEL ,EACH,20.00
23MMX4CM TYSHAK II BALL ,EACH,"1,480.00"
23MMX5CM TYSHAK II BALL ,EACH,"1,480.00"
23MMX6CM Z-II BALL ,EACH,"1,560.00"
24.0-38 SHEATH ,EACH,115.00
24MM SIZING BALL ,EACH,870.00
24X24 POLYESTER NETTED DRESSING ,EACH,90.00
25 ANGLED GUIDEWIRE ,EACH,135.00
25-15 CURVE NEEDLE ,EACH,145.00
25MMX 4CMTYSHAK BALL ,EACH,"1,070.00"
25MMX4CM TYSHAK II BALL ,EACH,"1,480.00"
25MMX4CM Z-MED BALL ,EACH,"1,260.00"
25MMX5CM TYSHAK II BALL ,EACH,"1,360.00"
25MMX5CM Z-II BALLOON ,EACH,"1,560.00"
25MMX6CM Z-II BALL ,EACH,"1,520.00"
265CM RFA WIRE-NUKANEN ,EACH,"4,100.00"
26MMX3CM Z-MED BALL ,EACH,"1,795.00"
26MMX4CM Z-MED BALL ,EACH,"1,795.00"
2D ECHOCARDIOGRAM ,EACH,435.00
2F BASIC PICC TRAY SNGL LUMEN ,EACH,220.00
2MMX4CM TYSHAK BALL ,EACH,"1,320.00"
2X1 COIL GDC 10-US ,EACH,"3,405.00"
"3 ELASTIC BANDAGE """,EACH,20.00
"3 ELASTIC BANDAGE """,EACH,20.00
3.018 6CM CHECK-FLO INTRO SET ,EACH,60.00
3.0MM SPIDER EMBOLIC PROT DEV ,EACH,"3,270.00"
3.0MMX20MM STER ES OTW BALL ,EACH,810.00
3.0MMX2CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
3.5MMX20MM STER ES OTW BALL ,EACH,810.00
3.5MMX2CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
3/18 PIGTAIL CATH ,EACH,80.00
300-500 EMBOSPH 2ML ,EACH,810.00
34CC INTRA AORTIC BALLON ,EACH,"2,120.00"
34MM SIZING BALL ,EACH,870.00
35 EXCH GUIDEWIRE ,EACH,50.00
35 GUIDEWIRE ,EACH,70.00
35 ROSEN EXCH GUIDEWIRE ,EACH,50.00
35 ROSEN GUIDEWIRE ,EACH,32.00
3D COIL 2-3MM ,EACH,"3,930.00"
3D COIL 4-10MM ,EACH,"4,400.00"
3D DETACH COIL 7-16MM ,EACH,"3,140.00"
3D ON INDEPENDENT WRKST ,EACH,"1,165.00"
3D RENDERING INDEP WORKSTATION ,EACH,"1,165.00"
3D RENDERING SAME WORKSTATION ,EACH,"1,165.00"
3F 120CM BIOPSY FORCEP ,EACH,"1,195.00"
3F 120CM VASC RETRIEVAL FORCEP ,EACH,"1,400.00"
3F 175CM 7MM LOOP MICROSNARE K ,EACH,"1,805.00"
3F 60CM BIOPSY FORCEP ,EACH,"1,195.00"
3F 60CM VASC RETRIEVAL FORCEPS ,EACH,"1,425.00"
3F SGL PASV PICC ,EACH,500.00
3FR PED CARIDI CATH ,EACH,50.00
3FR PED OMNI FLUSH ,EACH,Mark Up
3FR SGL PICC TRAY ,EACH,195.00
3FT ADAPTER CABLE 6-9 POLE ,EACH,710.00
"4 ELASTIC BANDAGE """,EACH,30.00
"4 ELASTIC BANDAGE """,EACH,30.00
4.0-18-30.0-MPIS CATH ,EACH,60.00
4.021 5CM PERFORMER INTRO SET ,EACH,60.00
4.021 7.5CM INTRO ,EACH,115.00
4.025 45CM PERF CHB SHEATH ,EACH,170.00
4.025 75CM PERF CHB SHEATH ,EACH,170.00
4.035 11CM INTRO ,EACH,80.00
4.0G-18-10.0-MPIS DILATOR ,EACH,60.00
4.0MM SPIDER EMBOLIC PROT DEV ,EACH,"3,270.00"
4.0MMX1CM TYSHAK BALL ,EACH,"1,070.00"
4.0MMX20MMX80CM STER ES OTW BA ,EACH,810.00
4.0MMX2CM TYSHAK II BALL ,EACH,"1,410.00"
4.0MMX2CM TYSHAK MINI BALL ,EACH,"1,410.00"
4.0MMX2CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
4.0MMX30MMX80CM STER ES OTW BA ,EACH,810.00
4.0MMX3CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
4.0MMX40MMX80CM STER ES OTW BA ,EACH,810.00
4.0MMX4CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
4.1-80CM JL1 CATHETER ,EACH,80.00
4.1-80CM JL1.5 CATHETER ,EACH,50.00
4.1-80CM JL2 CATHETER ,EACH,50.00
4.2F 71CM SGL LUMEN BROV INTRO ,EACH,565.00
4.5MM VOICE PROSTHESIS ,EACH,745.00
4.5MMX2CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
4.5MMX4CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
4/100 VERTEBRAL CATH ,EACH,40.00
4/65 BERENSTEIN COIL ,EACH,40.00
4/65 OMNI FLUSH CATH ,EACH,40.00
4/65 PIGTAIL CATH ,EACH,40.00
4/90 OMNIFLUSH CATH ,EACH,40.00
40CC INTRA AORTIC BALLON ,EACH,"2,120.00"
4-100 C2 GLIDECATH CATHETER ,EACH,160.00
4-100 GLIDECATH ANGLED TAPER ,EACH,155.00
4-100 GLIDECATH STR CATHETER ,EACH,155.00
4-110CM PACEL BIP PACING CATH ,EACH,220.00
4-120 GLIDECATH STR CATHETER ,EACH,155.00
4-150 GLIDECATH NONTAPER ANGL ,EACH,160.00
4-150 GLIDECATH STRAIGHT ,EACH,160.00
4-35 DILATOR ,EACH,40.00
4-65 C1 GLIDECATH CATHETER ,EACH,155.00
4-65 CB1 CATHETER ,EACH,40.00
4-65 GLIDECATH CATH (NO TAPER) ,EACH,155.00
4-70 JL 3.0 PERFORMA ,EACH,60.00
4-70CM HIGH FLOW PIGTAIL ,EACH,70.00
"48 CONTRAST INJECTION LINE """,EACH,40.00
4-8CM ATRIEVE SNARE SYSTEM ,EACH,"1,830.00"
4F 50CM BERMAN CATHETER ,EACH,190.00
4F 5CM CENTRAL VENOUS CATH TRAY ,EACH,280.00
4F 5MM SUPREME CRD CURVE ,EACH,360.00
4F 5MM SUPREME JSN CURVE ,EACH,360.00
4F DECAPOLAR LARGE CURL INQUIR ,EACH,"1,430.00"
4F MICRO INTRO KIT ,EACH,90.00
4F MICRO INTRO KIT STIFF ,EACH,110.00
4F MICRO INTRO KIT W/NITINOL W ,EACH,90.00
4F MICRO STIFF PEDIATRIC INTRO ,EACH,70.00
4F MULTI INFINITI CATH (CRV PI ,EACH,150.00
4F MULTI INFINITI CATH (STR PI ,EACH,115.00
4FR DUAL CATH PICC TRAY ,EACH,260.00
4FR MICRO ACCESS PLAT ,EACH,68.00
4FR PIGTAIL CATH ,EACH,40.00
4FR SGL PICC TRAY ,EACH,220.00
4FR SINGLE PASV ,EACH,270.00
4FRX135X5 INFUSE CATH ,EACH,240.00
5 FR PIG-CSC-20 CATHETER ,EACH,420.00
5.018 10CM MICRO SET W/NITI WI ,EACH,70.00
5.021 5CM PERFORMER INTRO SET ,EACH,50.00
5.032 48CM CHECK-FLO PERFORMER INTRO ,EACH,210.00
5.035 45CM PERFORMER INTRO SET ,EACH,90.00
5.035 63CM CHECK FLO PERF INTR ,EACH,165.00
5.038 5.5CM INTRO ,EACH,115.00
5.0MM SPIDER EMBOLIC PROT DEV ,EACH,"3,270.00"
5.0MMX20MMX80CM STER ES OTW BA ,EACH,810.00
5.0MMX2CM TYSHAK II BALL ,EACH,"1,410.00"
5.0MMX2CM TYSHAK MINI BALL ,EACH,"1,410.00"
5.0MMX2CMX80CM MINI GHOST BALL ,EACH,"1,180.00"
5.0MMX30MMX80CM STER ES OTW BA ,EACH,810.00
5.0MMX3CM TYSHAK II BALL ,EACH,"1,410.00"
5.0MMX3CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
5.0MMX40MMX80CM STER ES OTW BA ,EACH,810.00
5.0MMX4CMX80CM MINI GHOST BALL ,EACH,"1,110.00"
5.2F 60CM BIOPSY FORCEP ,EACH,"1,080.00"
5.5-7 SHEATH ,EACH,90.00
5.5MMX2CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
5.5MMX4CMX80CM MINI GHOST BALL ,EACH,"1,110.00"
5/100 JB2 CATH ,EACH,40.00
5/100 VERTEBRAL CATH ,EACH,40.00
5/35 DILATOR ,EACH,60.00
5/65 BERENSTEIN COIL ,EACH,40.00
5/80 SOS OMNI 2 CATH ,EACH,40.00
500-700 EMBOSPH 2ML ,EACH,795.00
50CC INTRA AORTIC BALLON ,EACH,"2,120.00"
50CM MILLER SEPTOSTOMY BALL ,EACH,940.00
5-100 ANGLED GLIDECATH XP CATH ,EACH,160.00
5-100 BER GLIDECATH ANG TAPER ,EACH,155.00
5-100 GLIDECATH STR CATH ,EACH,160.00
5-100 MPA CONVEY GUIDE ,EACH,165.00
5-100 MULTIPURPOSE ,EACH,160.00
5-100 SIM 2 (S2) GLIDECATH XP ,EACH,160.00
5-100 STR GLIDECATH XP CATH ,EACH,160.00
5-100CM OMNI FLUSH CATHETER ,EACH,40.00
5-100CM VTK CATHETER ,EACH,40.00
5-125CM VTK CATHETER ,EACH,135.00
5-50 RASHKIND SEPTOSTOMY BALL ,EACH,355.00
5-65 AO VESSEL SIZING CATHETER ,EACH,80.00
5-75CM CS IMPRESS CATH ,EACH,300.00
5-80CM GOODALE-LUBIN CATHETER ,EACH,160.00
5F 20CM PERICARD (CUSTOM) SET ,EACH,340.00
5F 20CM PERICARD TRAY ,EACH,365.00
5F 50CM BERMAN CATHETER ,EACH,180.00
5F 80CM REVERSE BERMAN ,EACH,210.00
5F J-TIP PACING SWAN ,EACH,180.00
5F MICRO INTODUCER KIT STIFF ,EACH,110.00
5F MICRO INTRO KIT ,EACH,90.00
5F PACING SWAN ,EACH,175.00
5F QUAD JSN SUPREME CATHETER ,EACH,315.00
5F RAD GLIDESHEATH HYDOPHIL ,EACH,170.00
5F SIZING OMNI FLUSH ,EACH,470.00
5F TD SWAN ,EACH,660.00
5FR 65CM PIGTAIL CATH ,EACH,40.00
5FR 90CM PIGTAIL CATH ,EACH,40.00
5FR DUAL CATH TRAY ,EACH,375.00
5FR DUAL CATH TRAY PASV ,EACH,395.00
5FR MULT C GUIDE CATH ,EACH,945.00
5FR PICC LINE CATH ,EACH,195.00
5-HIAA ,EACH,39.00
5X12 GENESIS STENT ,EACH,"3,550.00"
5X15 GENESIS STENT ,EACH,"3,550.00"
"6 ELASTIC BANDAGE """,EACH,30.00
"6 ELASTIC BANDAGE """,EACH,30.00
6.032 CHECK-FLO PERFORMER INTRO ,EACH,165.00
6.0-35-40-BLKN SHEATH ,EACH,270.00
6.038 45CM DEST RENAL ST SHEAT ,EACH,330.00
6.038 45CM FLEXOR INTRO SET ,EACH,145.00
6.038 55CM FLEXOR RAABE SHEATH ,EACH,170.00
6.038 70CM FLEXOR RAABE SHEATH ,EACH,170.00
6.038 90CM DEST CAROTID ST SHE ,EACH,310.00
6.038 90CM SHUTTLE SHEATH ,EACH,375.00
6.0-38-30-VAD5 SHEATH ,EACH,185.00
6.0MM SPIDER EMBOLIC PROT DEV ,EACH,"3,370.00"
6.0MMX20MMX80CM STER OTW BALL ,EACH,810.00
6.0MMX2CM TYSHAK II BALL ,EACH,"1,410.00"
6.0MMX2CM TYSHAK MINI BALL ,EACH,"1,410.00"
6.0MMX2CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
6.0MMX30MMX80CM STER OTW BALL ,EACH,810.00
6.0MMX3CM TYSHAK BALL ,EACH,"1,480.00"
6.0MMX3CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
6.0MMX40MMX80CM STER OTW BALL ,EACH,810.00
6.0MMX4CMX80CM MINI GHOST BALL ,EACH,"1,140.00"
6/10 SHEATH ,EACH,40.00
6/90 ME GUIDE CATH ,EACH,"1,490.00"
6-100 3DRC GUIDE ,EACH,180.00
6-100 3DRC SH GUIDE ,EACH,180.00
6-100 MULTIPACK CATHETER ,EACH,80.00
6-100CM FA (FELDMAN AS) CATHET ,EACH,50.00
6-100CM FA2 (FELDMAN AS) CATH ,EACH,50.00
6-10MM/120CM SNARE ,EACH,"1,080.00"
6-110CM DUAL LUMEN PIGTAIL ,EACH,360.00
6-110CM PACEL BIP PACING CATH ,EACH,280.00
6-125 FL7 CATHETER ,EACH,70.00
6-125 MPA2 CATHETER ,EACH,70.00
6-145CM EXPORT CATHETER (.014) ,EACH,"1,555.00"
635001 DCS SYRINGE ,EACH,560.00
6F 110CM WEDGE DOUBLE-LUMEN ,EACH,170.00
6F 24CM ARROW FLEX SHEATH ,EACH,80.00
6F 60CM BERMAN CATHETER ,EACH,190.00
6F 90CM BERMAN CATHETER ,EACH,190.00
6F ANGIOSEAL VIP ,EACH,740.00
6F DECAPOLAR CRD RESPONSE ,EACH,490.00
6F DECAPOLAR JSN RESPONSE ,EACH,490.00
