Internal ID,Master Charge Description of Service,NS Charge Per Unit
80000264,HB CATHETER;DRAINAGE (TENCKHOFF),$736.00
80000265,HB BREAST PUMP PEDS,$60.00
80000266,HB MONITORING PEDS,$80.00
80000267,HB PHOTOTHERAPY,$157.00
80000268,HB CENTRAL LINE SUPPLIES,$39.00
80000271,HB CENTRAL LINE SPECIAL DRESSING,$57.00
80000273,HB DAIG BRK NEEDLE,$729.00
80000274,HB SLEEVE 6177,$53.00
80000277,HB PCA INFUSER SET,$323.00
80000331,HB EUS DISPOSABLE SHEATH,$106.00
80000332,HB EUS NON CORING NEEDLE,"$1,049.00"
80000333,HB EUS BALLOON,$98.00
80000337,HB MIDLINE CATHETER,$311.00
80000338,HB SINGLE LUMEN PICC,$558.00
80000339,"HB ADDL CATH, TEMP PACING",$388.00
80000340,HB PULM ART PACE CATH (SWAN-GANZ),$592.00
80000341,HB CENTRAL LINE CATHETER,$60.00
80000342,HB SVO2-OXIMETRIC PULM ART CATH,$559.00
80000343,HB PERC SHEATH INTRO KIT,$193.00
80000344,"HB SHORT LEG FIBERGLAS CAST,ADULT",$716.00
80000345,"HB SHORT LEG PLASTER CAST, PEDS",$153.00
80000346,"HB SHORT LEG FIBERGLASS CAST,PEDS",$349.00
80000347,"HB HIP SPICA, FIBERGLASS, ADULT","$1,269.00"
80000348,"HB HIP SPICA, PLASTER, PEDS",$298.00
80000349,"HB HIP SPICA, FIBERGLASS, PEDS",$635.00
80000350,"HB LONG ARM FIBERGLASS CAST,ADULT",$450.00
80000351,"HB LONG ARM PLASTER CAST, PEDS",$95.00
80000352,"HB LONG ARM FIBERGLASS CAST, PEDS",$225.00
80000353,HB TRAPEZE BAR; TRACTION LEVEL 1,$62.00
80000354,HB CAPD EXCHANGE,$162.00
80000357,HB FOAM LEG ELEVATOR,$78.00
80000358,HB QUICK COMBO DEFIB PADS,$183.00
80000359,HB SITE RITE SHEATH KIT,$518.00
80000360,HB RX TAPERED ERCP CANNULA,$183.00
80000361,HB RX LOCKING DEVICES,$40.00
80000362,HB RX INFLATION DEVICE,$53.00
80000363,HB RX TRAPIZOID,"$1,034.00"
80000365,HB STONE RETRIEVAL BASKET,$807.00
80000367,HB FOREIGN BODY RETRIEVAL DEVICE,$366.00
80000369,"HB LONG LEG FIBERGLASS CAST, PEDS",$625.00
80000370,"HB SHORT ARM FIBERGLASS CAST,PEDS",$173.00
80000371,HB POST-OP SHOES,$24.00
80000372,HB FINGER SPLINT STATIC CAST RM,$75.00
80000373,HB INJECTION TRAY-ARTHRITIS TREATMENT CTR,$16.00
80000374,"HB SHORT ARM PLASTER CAST, ADULT",$79.00
80000375,"HB SHORT ARM FIBERGLAS CAST,ADULT",$349.00
80000376,"HB SHORT ARM PLASTER CAST, PEDS",$36.00
80000377,"HB LONG LEG PLASTER CAST, ADULT",$276.00
80000378,"HB LONG LEG FIBERGLASS CAST,ADULT",$625.00
80000379,"HB SHORT LEG PLASTER CAST, ADULT",$153.00
80000380,"HB LONG LEG PLASTER CAST, PEDS",$276.00
80000381,HB UNIVERSAL SLITTER MODEL 6228SLT,$109.00
80000382,HB SERVICE KIT MODEL 5873-C,$160.00
80000383,HB PIN PLUG KIT MODEL 6725,$351.00
80000384,HB D-STAT FLOWABLE HEMOSTAT,$472.00
80000385,HB RADIO FREQ NEEDLES,"$8,436.00"
80000386,HB LEVEL 2 NEEDLE,$376.00
80000387,HB ST. JUDE PACEL PACING CATHETER,$351.00
80000390,HB CARBON DIOXIDE KIT,$468.00
80000391,HB SLCN VESL LOOPS REF:01-1-014,$79.00
80000392,HB BLAZER 4500TH STNDRD CRV 8MM TIP,"$5,012.00"
80000393,HB BLAZER 4500THK2 LRG CRV 8MM TIP,"$5,012.00"
80000394,HB STEEROACHATH-T ABLATION CATHETER,"$2,044.00"
80000395,HB SHEATH LEVEL 3,$473.00
80000396,"HB COIL,SYRINGE TRUFIL DCS","$5,265.00"
80000397,HB CLOSURE DEVICE,$780.00
80000398,HB POLARIS X STEERABLE DX CATH,$997.00
80000400,HB HEMOLOOP (HX-4000U-30),$332.00
80000401,HB EMR (K-003),$979.00
80000402,HB WOUND VAC + SUPPLIES,$290.00
80000403,HB SAFESHEATH LONG,$211.00
80000404,HB CRYOCATH CO-AXIAL UMBILICAL,$468.00
80000406,HB FECAL DEVICE (CATHETER & BAGS),$866.00
80000407,HB LUMBAR EDM DRAINAGE ASSEMBLY- PARTS ONLY,$376.00
80000408,HB ARTERIAL MONITORING SET,$55.00
80000409,HB ARTERIAL MONITORING BI-FURCATED,$52.00
80000410,HB ANESTHESIA KIT TRI-FURCATED,$139.00
80000411,HB ACE BANDAGE > OR = 5 INCHES,$3.00
80000412,HB DASH,$877.00
80000413,HB PRESEP CENT VEN OX CATHETER KIT,$776.00
80000414,HB NON INVASIVE OUTPUT CATHETER,$605.00
80000416,HB DISPOSABLE COIL PROSTATE-MRI SUPPLY,$228.00
80000425,HB LASER ABLATION KIT,"$1,749.00"
80000426,HB US TRAY VENOUS,$116.00
80000428,HB NAVISTAR REFERENCE PATCH,"$1,863.00"
80000434,HB LIGATION DEVICE (ESOPHAGEAL BAND),$792.00
80000436,HB CRE WIRE GUID COL BALLOON DILA,$729.00
80000438,HB COLON DECOMPRESSION TUBE,$534.00
80000439,HB CYTO BRUSH (CYTOMAX/COMBO CATH),$494.00
80000440,HB GUIDE WIRE-PLAIN,$503.00
80000441,HB GUIDE WIRE-ZEBRA,$293.00
80000442,HB GUIDE WIRE-JAGWIRE,$586.00
80000443,HB PUSH CATHETER,$189.00
80000444,HB GUIDING CATH;ULTRATOME SPINCT XL,$449.00
80000445,HB STONETOME,$346.00
80000447,HB GUIDING CATH;CANNULATOME SPINCT,"$1,182.00"
80000448,HB ADD'L ENDOSCOPE USAGE,$52.00
80000449,HB NEEDLE KNIFE,$581.00
80000450,HB COMPND TUFT FINGER RX,$23.00
80000451,HB EYEWASH IRRIGATION,$144.00
80000453,HB REGULAR SHEATH,$31.00
80000454,HB SHEATH LEVEL I,$248.00
80000455,HB PEEL AWAY SHEATH,$248.00
80000458,HB CARDIO-RESPIRATORY MONITORING PROBES,$92.00
80000459,"HB IV PUMP CHANGE SUPPLIES,ISCU",$41.00
80000460,HB LUMBAR PUNCTURE SUPPLIES,$83.00
80000461,HB CHEST TUBE INSERTION SUPPLIES ISCU,$374.00
80000462,HB INDWELLING LINE CATHERIZATION,$462.00
80000471,HB GROSHONG/HICKMAN,"$1,719.00"
80000472,HB LASER ARGON,$199.00
80000473,HB KIRSCHNER WIRE,$159.00
80000474,HB BUNIONECTOMY SCREW,$26.00
80000475,HB BIOPSY NEEDLE BREAST,$135.00
80000478,HB ENDO RECTAL COIL,$225.00
80000479,HB 8900-ULTRA ICE CATHETER,"$2,850.00"
80000481,HB ADVANCER,$780.00
80000482,HB SUPREME 6F QUADRIPOLAR EP CATH,$399.00
80000483,HB CUTTING BALLOON,"$2,984.00"
80000484,HB ROTALINLK SYSTEM,"$4,271.00"
80000485,HB BALLOON CATHETER,$507.00
80000486,HB GUIDING WIRE,$308.00
80000487,HB GUIDING CATHETER,$346.00
80000488,HB ROTABLATOR,"$4,271.00"
80000489,HB CORONARY ULTRASOUND CATHETER,"$2,246.00"
80000490,HB FRACTIONAL GUIDE WIRE,"$1,650.00"
80000491,HB AORTIC BALLOON,$975.00
80000492,HB ACUNAV-INTRACARDIAC CATHETER,"$6,825.00"
80000493,HB DIAGNOSTIC CATHETER,$138.00
80000494,HB DIAGNOSTIC WIRE,$200.00
80000498,HB CATHETER LEVEL 4,"$3,120.00"
80000499,HB SHEATH LEVEL 2,$285.00
80000500,HB WIRE LEVEL 3,$742.00
80000503,HB DRAINAGE CATHETER,$404.00
80000504,HB MIC*KEY TUBE,$361.00
80000506,HB IVUS CATHETER,"$3,315.00"
80000510,HB SYRINGE W/NEEDLE (DIALYSIS SUPPLY),$110.00
80000511,HB MINOR NEEDLING OR MINOR TRAY,$58.00
80000512,HB NON-KOR NEEDLE,$14.00
80000513,HB BIOPSY NEEDLE ULTRASOUND,$244.00
80000514,HB VERTEBROPLASTY SUPPLY CHARGE,"$5,569.00"
80000516,HB THROMBECTOMY CATHETER LEVEL 1,"$6,187.00"
80000517,HB ACCESSORY KIT,$47.00
80000518,HB LEVEL 1 NEEDLE,$109.00
80000519,HB LEVEL 3 NEEDLE,"$1,862.00"
80000521,HB BALLOON LEVEL 1,$694.00
80000522,HB OCCLUSION BALLOON LEVEL 1,$585.00
80000523,HB BALLOON LEVEL 2,"$1,502.00"
80000524,HB BALLOON LEVEL 3,"$4,023.00"
80000526,HB CATHETER LEVEL 1,$117.00
80000528,HB CATHETER LEVEL 2,$566.00
80000529,HB CATHETER LEVEL 3,"$1,442.00"
80000530,HB INFUSION CATHETER,$421.00
80000531,HB SHEATH LEVEL 1,$98.00
80000532,HB PEEL AWAY SHEATH,$507.00
80000535,HB URETERAL STENT,$442.00
80000536,HB WIRE LEVEL 1,$122.00
80000537,HB WIRE LEVEL 2,$326.00
80000540,HB NEFF SET,$300.00
80000542,HB COIL PUSHER,$573.00
80000543,HB PARTICALS,$948.00
80000547,HB SNARE,"$1,743.00"
80000549,HB SUTURE REMOVAL SUPPLIES,$32.00
80000550,HB CONSTELLATION DIAG EP CATH,"$10,901.00"
80000551,HB EN-SITE CATHETER,"$8,955.00"
80000552,HB LIVEWIRE 6F DECAPOLAR,"$1,706.00"
80000553,HB LIVEWIRE TC XLS7F (5MM),"$1,394.00"
80000554,HB LIVEWIRE TC XLS 7F QUADRIPOLAR,"$1,130.00"
80000555,HB SUPREME 4F DECAPOLAR,$842.00
80000556,HB SUPREME SPIRAL SC DECAPOLAR,"$2,172.00"
80000557,HB SUPREME SPIRAL SC 4F DECAPOLAR,"$2,172.00"
80000558,HB FAST CATH DUO,$480.00
80000559,HB SWARTZ FAST CATH HEMO INTRODUCER,$566.00
80000560,HB EXPLORER CATHETER,$692.00
80000561,HB EP SOFT TIP SHEATH,$492.00
80000562,HB EP BLAZER ABLATION CATHETERS,"$3,855.00"
80000563,HB CS DIAGNOSTIC EP CATHETER,"$1,865.00"
80000564,HB CURVED INNER FEMORAL SHEATH,$248.00
80000566,HB SAFESHEATH,$164.00
80000569,HB EP PROCEDURE TRAY,$224.00
80000579,HB BALLOON-DILATION ONLY,$756.00
80000580,HB BALLOON-EXTRACTION ONLY,$449.00
80000581,HB INTERMITTENT URINARY CATH,$10.00
80000582,HB HEMOSTASIS INTRODUCER VALVE,$59.00
80000583,HB PSA CABLE,$264.00
80000586,HB RX CANNULATING SPHINCTERTOME,$346.00
80000587,HB RX RETRIEVAL BALLOONS,$788.00
80000588,HB RX DILATING BALLOONS,$788.00
80000590,HB ENSITE NAVX KIT,"$5,441.00"
80000599,HB  PLEURX CATHETER KIT,"$2,048.00"
80000600,HB  T-FASTENERS,$429.00
80000603,HB SAFESHEATH SEALING ADAPTER,$193.00
80000605,HB BIOSENSE FIXED QUDS,"$1,302.00"
80000606,HB BIOSENSE DEFLECTABLE QUADS,"$1,302.00"
80000607,HB BIOSENSE DEFLECTABLE DECAPOLAR,"$1,801.00"
80000608,HB BIOSENSE ISMUS CATHETER,"$3,933.00"
80000614,HB BIOSENSE PREFACE GUIDING SHEATH,$492.00
80000617,HB LASER ABLATION KIT,"$1,749.00"
80000618,HB APEEL CS,"$1,920.00"
80000620,HB ACCUNET EMBOLIC DEVICE,"$4,650.00"
80000621,HB ST JUDE S STYLET KIT,$148.00
80000622,HB ORBITER MAPPING CATH,"$2,513.00"
80000623,HB WOVEN EP CATHETER,$445.00
80000626,HB BARD ORBITER PV,"$2,872.00"
80000627,HB BARD COURNAND CURV,$476.00
80000632,HB LEAD ADAPTOR KIT,"$1,073.00"
80000633,HB MULLINS TRANSEPTAL SHEATH,$351.00
80000637,HB NAVISTAR CATHETER 4MM,"$6,219.00"
80000638,HB NAVISTAR 8MM,"$6,219.00"
80000640,HB OPTIC DILATOR,$186.00
80000641,HB BIOSENSE 7F TICUSPID/HALO XP,"$3,569.00"
80000642,HB MAMMO ATEC 0914 12 OR 20MR HANDPC-MR SUP,$725.00
80000643,HB MAMMO ILS 0914 12 OR 20 INTRODUCR-MR SUP,$404.00
80000644,HB MAMMO ATEC SUCTION CANISTER-MR SUPPLY,$10.00
80000645,HB MAMMO ATEC TF-1 TISSUE FILTER-MR SUPPLY,$8.00
80000646,HB MAMMO SNGL/DB HOOK WIRE LOC ND,$219.00
80000647,HB MAMMO COAXIAL NEEDLE - MR SUPPLY,$166.00
80000648,HB MAMMO NEEDLE HUB - MR SUPPLY,$31.00
80000649,HB MAMMO NEEDLE SLEEVE - MR SUPPLY,$25.00
80000650,HB MAMMO IMMOBILIZATION PLATE - MR SUPPLY,$31.00
80000651,HB MAMMO FLUID DRIP TRAY - MR SUPPLY,$112.00
80000652,HB MAMMO ATEC TRIMARK,$224.00
80000654,HB DOUBLE LUMEN PICC,$782.00
80000655,HB TRIPLE LUMEN PICC,$723.00
80000656,HB CLIAC AXIS/PLEXUS NEEDLE,$871.00
80000658,HB INCENTIVE SPIROMETRY + EDUCATION,$92.00
80000659,HB GASTRIC LAVAGE KIT,$250.00
80000662,HB OP BREAST PUMP RENTL 1ST 2 WKS,$37.00
80000663,HB OP BREAST PUMP RENTAL PER DAY,$3.00
80000664,HB CAR SEAT-INFANT,$35.00
80000665,HB STARTER SNS W OR W/O 80 ML BOTTLE,$19.00
80000668,HB PEAK FLOW METER,$21.00
80000674,HB PLEURX TAKE HOME KIT,"$1,034.00"
80000675,HB SYMPHONY PUMP KIT,$63.00
80000687,HB FULL SNS,$53.00
80000688,HB HB PUMP CONNECTOR & PUMPING RING,$8.00
80000689,HB SOFT FIT BREAST SHIELD,$13.00
80000690,HB SOOTHIES PER PAIR,$11.00
80000691,HB SPRING EXPRESS MANUAL BREAST PUMP,$42.00
80000693,HB HABERMAN FEEDER W/80 ML BOTTLE,$49.00
80000699,HB NON-ADJUSTABLE FOAM COLLAR,$82.00
80000700,HB KNEE BRACE-LONG,$227.00
80000703,HB KNEE BRACE-REGULAR,$205.00
80000704,"HB SHOULDER IMMOBILIZER, CANVAS",$259.00
80000708,HB PELVIC SLING,$723.00
80000709,HB AIR CAST ANKLE BRACE,$78.00
80000710,HB VELCRO WRIST SPLINT,$290.00
80000711,HB TEP VOICE PROSTHESIS,$621.00
80000775,"HB TEMP PACING,EXT;1ST 24 HR","$2,441.00"
80000836,HB RESTOR/ REZOOM/ RESTOR-TORIC IOL,"$2,826.00"
80000837,HB CRYSTALENS IOL,"$2,826.00"
80000838,HB CRYSTALENS IOL - PT PORTION,$815.00
80000839,HB RESTOR/ REZOOM/ RESTOR-TORIC IOL-PT PORTION,$760.00
80000840,HB TORIC PREMIUM UPGRADE IOL,"$1,594.00"
80000841,HB TORIC PREMIUM UPGRADE IOL-PT PORTION,$345.00
80000842,HB CLOSURE (HEMOCLIP) DEVICE,$430.00
80000843,HB WALL STENT,"$7,257.00"
80000845,HB ROTA GLIDE,$346.00
80000848,HB LEAD END CAP KIT 5867-3M,$90.00
80000877,"HB PORT, VASCULAR ACCESS","$1,318.00"
80000886,HB BONE SCREW,$102.00
80000887,HB TITANIUM GROMMET,$586.00
80000888,HB TOE IMPLANT,$576.00
80000889,HB ABSORBABLE PIN-SINGLE,$529.00
80000890,HB SCREW THREADED HEAD,$253.00
80000891,HB LUHR SCREW,$123.00
80000892,HB OSTEOMED SCREW,$181.00
80000894,HB STENT-COATED,"$5,457.00"
80000895,HB IRIDIUM HIGH DOSE RATE STRANDED,$768.00
80000899,HB ARTERIAL SEALING DEVICE 6F,$780.00
80000900,HB ARTERIAL SEALING DEVICE 8F,$780.00
80000901,HB STENT,"$3,998.00"
80000902,HB INSERTABLE LOOP RECORDER,"$15,885.00"
80000903,HB THROMBECTOMY CATHETER,"$3,173.00"
80000904,HB MITRAL BALLOON,"$8,970.00"
80000908,HB SHEATH,$207.00
80000911,HB STENT-GRAFT EXTENSION,"$8,247.00"
80000915,HB COIL LEVEL 4,"$7,595.00"
80000920,HB VENA CAVA FILTER,"$4,189.00"
80000927,HB COIL LEVEL 1/REGULAR,$376.00
80000934,HB LEAD EXTRACTION LODGING STYLET,$776.00
80000948,HB STENT-OTHER;NONCOAT/NON COV W/O DSYSTEM,$322.00
80000953,HB DRUG ELUTING STENT,"$5,265.00"
80000976,HB FILTER WIRE EX,"$6,084.00"
80000993,HB NEURO GLUE- 1 VIAL,"$11,401.00"
80001016,HB ACCULINK STRAIGHT,"$6,150.00"
80001017,HB ACCULINK TAPER,"$6,750.00"
80001023,HB CAROTID STEN,"$7,553.00"
80001024,"HB CAROTID STEN, ADD VSL","$3,732.00"
80001026,HB COIL LEVEL 2,"$1,393.00"
80001027,HB COIL LEVEL 3,"$3,613.00"
80001040,HB I-125 EYE PLAQUE NON-STRANDED,$316.00
80001048,HB LUMBAR DRAINAGE SYSTEM W/BAGS,$423.00
80001077,HB IODINE-125 STRANDED,$136.00
80001086,HB AUTOLOGOUS TRANSFUSION SERVICE,"$1,203.00"
80001088,HB BLOOD DRAW PHLEBOTOMY,$31.00
80001089,HB CAPILLARY BLOOD DRAW/HEEL STICK,$22.00
80001090,HB URINE PREGNANCY TEST,$102.00
80001091,HB POTASSIUM EMER CSU LAB (P),$60.00
80001092,HB LACTIC ACID (P),$174.00
80001093,HB IONIZED CALCIUM-WHOLE,$253.00
80001094,HB GLUCOSE-WHOLE BLOOD(P),$67.00
80001095,"HB CHLORIDE, WHOLE BLD",$83.00
80001096,HB RESP.PROF.EMER.CSU       LAB,$58.00
80001097,"HB SODIUM,EMER,CSU LAB (P)",$110.00
80001098,HB VENOUS BLOOD GAS/O2 SAT (P),$300.00
80001099,HB METHEMOGLOBIN QUALITATIVE,$69.00
80001100,HB TB INTRADERMAL SKIN TEST,$34.00
80001101,HB PT/INR-TAU,$50.00
80001102,HB HCT(P),$43.00
80001103,HB TOTAL HEMOGLOBIN,$48.00
80001104,HB H PYLORI (SPECIMEN/CLO) TEST,$89.00
80001106,HB ABDOMINAL AORTOGRAM W SERIALGRAPH S&I,"$3,840.00"
80001107,HB ANGIO EXTREMITY BILAT S&I,"$3,613.00"
80001108,"HB NOSE TO RECTUM FOR F.B.CHILD, 1 VIEW",$200.00
80001109,HB RIBS BILAT INCL PA CHEST MIN 4 VIEWS,$829.00
80001110,HB SELLA TURCICA,$190.00
80001111,HB SPINE SCOLIOSIS STANDING AP 1 VIEW,$229.00
80001112,"HB SPINE THORACOLUMBAR, AP & LAT",$444.00
80001113,"HB SPINE,THORACIC 3 VIEWS",$505.00
80001114,HB SHOULDER COMP 2+ VIEWS,$391.00
80001115,HB ELBOW COMP 3+ VIEWS,$376.00
80001116,"HB BONE DENSITY DXA, 1+ SITES, AXIAL",$516.00
80001117,HB KNEES STANDING BILAT AP,$344.00
80001118,HB SKEL SURV COMPL AXIAL/APPENDIC,$854.00
80001119,HB WRIST COMP MIN 3 VIEWS,$324.00
80001120,HB STERNUM MIN 2 VIEWS,$309.00
80001121,HB ABDOMEN (KUB) ONE VIEW,$361.00
80001122,"HB SPINE L/S, MIN 4 VIEWS",$621.00
80001123,HB SPINE CERVICAL 2-3 VIEWS,$409.00
80001124,"HB SPINE L/S BENDING ONLY, 2-3 VWS",$439.00
80001125,HB SPINE SINGLE VIEW,$377.00
80001126,HB ACROMIOCLAVICULAR JOINTS BILAT,$190.00
80001127,HB LYMPHANGIO PELVIC/ABD BILATERAL S&I,"$2,500.00"
80001128,HB FLUOROSCOPY-OVER 1 HR,"$1,127.00"
80001129,HB SKULL COMPLETE 4+ VIEWS,$496.00
80001130,HB SINUSES PARANASAL < 3 VIEWS,$237.00
80001131,HB FACIAL BONES COMPLETE 3+ VIEWS,$567.00
80001132,HB NASAL BONES COMPLETE 3+ VIEWS,$400.00
80001133,HB MASTOIDS COMPLETE 3 VIEWS PER SIDE,$262.00
80001134,HB SKULL LESS THAN 4 VIEWS,$431.00
80001135,HB ESOPHAGUS X-RAY,$785.00
80001136,HB UGI W/AIR DBL CONTR W/O KUB,$739.00
80001137,HB SMALL BOWEL ONLY,$820.00
80001138,HB BARIUM ENEMA,$931.00
80001139,HB LGI W/AIR CONTRAST,$919.00
80001140,HB CHOLANGIOGRAM,$854.00
80001141,"HB I.V.P. (UROGRAM,INTRAVENOUS)",$925.00
80001142,HB UROGRAPHY RETROGRADE IN OR,$748.00
80001143,HB I.V.P. W/BOLUS TOMOGRAPHY,"$1,342.00"
80001144,HB SPINE ENTIRE AP & LAT SURVEY 2-3 VWS,$433.00
80001145,HB SPINE L/S 2-3 VIEWS,$403.00
80001146,HB PELVIS COMP MIN 3 VIEWS,$601.00
80001147,HB BONE AGE STUDY,$190.00
80001148,HB BONE LENGTH (SCANOGRAM) STUDY,$425.00
80001149,"HB HIP BIL,MIN 2 VWS +AP PELV",$485.00
80001150,HB VIDEO SPEECH SWALLOW STUDY,$700.00
80001151,HB ENTEROCLYSIS TUBE PLACEMNT S&I,$496.00
80001152,HB URETHOCYSTOG. RETROG.SUP&INT,$635.00
80001153,"HB TOMOGRAPHY, SINGLE PLANE",$478.00
80001154,HB BONE SURVEY INFANT,$320.00
80001155,HB BARIUM ENEMA THERAPUTIC,$633.00
80001156,HB FLOUROSCOPY UP TO 1HR,$664.00
80001158,HB ANGIOGRAPHY INTERNAL MAMMARY S&I,"$3,083.00"
80001159,HB SHUNTOGRAM S&I,"$1,020.00"
80001160,HB VENOGRAM EXTREMITY UNILATERAL S&I,"$1,618.00"
80001161,HB VENOGRAPHY EXTERMITY BILAT S&I,"$2,520.00"
80001162,HB VENOGRAPHY CAVAL SUPERIOR S&I,"$3,133.00"
80001163,HB VENOGRAM RENAL UNILATERAL S&I,"$4,122.00"
80001164,HB VENOGRAM RENAL BILATERAL S&I,"$4,122.00"
80001165,HB VENOGRAPH ADRENAL SELECT UNILATERAL S&I,"$4,122.00"
80001166,HB VENOGRAM ADRENAL SELECT BILAT S&I,"$4,275.00"
80001167,HB VENOGRAM SINUS/JUGULAR CATH S&I,"$2,867.00"
80001168,HB VENOGRAM SUPERIOR SAG SINUS S&I,"$2,939.00"
80001169,HB VENOGRAPHY EPIDURAL S&I,"$3,083.00"
80001170,HB VENOGRAM ORBITAL S&I,"$2,939.00"
80001171,HB TRANHEP PORT W/HEMO EVAL S&I,"$4,122.00"
80001172,HB TRANHEPATIC PORT W/O HEMODYN EVAL S&I,"$3,083.00"
80001173,HB VENOGRAM HEPATIC W/HEMODYN EVAL S&I,"$3,919.00"
80001174,HB VENOGRAM HEPATIC W/O HEMODYN EVAL S&I,"$4,122.00"
