MS-DRG,MS-DRG DESCRIPTION, Total            (All Payor) Discharges , Total                 (All Payor) Charges , Average Charge Per Discharge 
34,CAROTID ARTERY STENT PROCEDURE W MCC,7,"$684,319 ","$97,760 "
35,CAROTID ARTERY STENT PROCEDURE W CC,21,"$2,345,480 ","$111,690 "
36,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,22,"$1,791,710 ","$81,441 "
37,EXTRACRANIAL PROCEDURES W MCC,4,"$721,489 ","$180,372 "
38,EXTRACRANIAL PROCEDURES W CC,30,"$3,334,427 ","$111,148 "
39,EXTRACRANIAL PROCEDURES W/O CC/MCC,32,"$1,878,484 ","$58,703 "
40,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W MCC,48,"$9,014,264 ","$187,797 "
41,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,72,"$7,205,596 ","$100,078 "
42,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W/O CC/MCC,37,"$3,267,225 ","$88,303 "
52,SPINAL DISORDERS  INJURIES W CC/MCC,25,"$4,853,567 ","$194,143 "
53,SPINAL DISORDERS  INJURIES W/O CC/MCC,2,"$87,175 ","$43,588 "
54,NERVOUS SYSTEM NEOPLASMS W MCC,136,"$9,927,865 ","$72,999 "
55,NERVOUS SYSTEM NEOPLASMS W/O MCC,51,"$2,893,527 ","$56,736 "
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,99,"$10,863,772 ","$109,735 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,205,"$16,195,654 ","$79,003 "
58,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W MCC,6,"$530,871 ","$88,479 "
59,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W CC,24,"$1,139,072 ","$47,461 "
60,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W/O CC/MCC,48,"$2,181,217 ","$45,442 "
61,ISCHEMIC STROKE PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC,10,"$848,618 ","$84,862 "
62,ISCHEMIC STROKE PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC,22,"$2,127,157 ","$96,689 "
63,ISCHEMIC STROKE PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W/O CC/MCC,5,"$366,559 ","$73,312 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,379,"$38,558,209 ","$101,737 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,443,"$29,856,301 ","$67,396 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,131,"$7,286,445 ","$55,622 "
67,NONSPECIFIC CVA  PRECEREBRAL OCCLUSION W/O INFARCT W MCC,5,"$271,771 ","$54,354 "
68,NONSPECIFIC CVA  PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,17,"$682,590 ","$40,152 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,120,"$5,616,928 ","$46,808 "
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,25,"$2,735,412 ","$109,416 "
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,34,"$2,302,814 ","$67,730 "
72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,14,"$517,202 ","$36,943 "
73,CRANIAL  PERIPHERAL NERVE DISORDERS W MCC,29,"$2,831,226 ","$97,628 "
74,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,107,"$4,999,101 ","$46,721 "
75,VIRAL MENINGITIS W CC/MCC,4,"$481,098 ","$120,275 "
76,VIRAL MENINGITIS W/O CC/MCC,5,"$116,965 ","$23,393 "
77,HYPERTENSIVE ENCEPHALOPATHY W MCC,1,"$125,287 ","$125,287 "
78,HYPERTENSIVE ENCEPHALOPATHY W CC,1,"$86,555 ","$86,555 "
80,NONTRAUMATIC STUPOR  COMA W MCC,4,"$183,240 ","$45,810 "
81,NONTRAUMATIC STUPOR  COMA W/O MCC,3,"$111,616 ","$37,205 "
82,TRAUMATIC STUPOR  COMA COMA >1 HR W MCC,28,"$3,471,625 ","$123,987 "
83,TRAUMATIC STUPOR  COMA COMA >1 HR W CC,34,"$2,338,490 ","$68,779 "
84,TRAUMATIC STUPOR  COMA COMA >1 HR W/O CC/MCC,29,"$1,120,569 ","$38,640 "
85,TRAUMATIC STUPOR  COMA COMA <1 HR W MCC,7,"$813,181 ","$116,169 "
86,TRAUMATIC STUPOR  COMA COMA <1 HR W CC,47,"$2,567,380 ","$54,625 "
87,TRAUMATIC STUPOR  COMA COMA <1 HR W/O CC/MCC,44,"$1,533,046 ","$34,842 "
89,CONCUSSION W CC,3,"$132,788 ","$44,263 "
90,CONCUSSION W/O CC/MCC,2,"$44,861 ","$22,431 "
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,117,"$13,125,739 ","$112,186 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,93,"$5,300,515 ","$56,995 "
93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,63,"$2,827,744 ","$44,885 "
94,BACTERIAL  TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,10,"$1,678,311 ","$167,831 "
95,BACTERIAL  TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,12,"$1,468,003 ","$122,334 "
96,BACTERIAL  TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,3,"$323,614 ","$107,871 "
97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,16,"$2,060,562 ","$128,785 "
98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,29,"$2,499,525 ","$86,191 "
99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,10,"$518,117 ","$51,812 "
100,SEIZURES W MCC,210,"$22,907,687 ","$109,084 "
101,SEIZURES W/O MCC,380,"$19,621,581 ","$51,636 "
102,HEADACHES W MCC,34,"$1,464,540 ","$43,075 "
103,HEADACHES W/O MCC,726,"$28,126,355 ","$38,742 "
113,ORBITAL PROCEDURES W CC/MCC,26,"$3,005,582 ","$115,599 "
114,ORBITAL PROCEDURES W/O CC/MCC,16,"$1,223,431 ","$76,464 "
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,25,"$1,633,052 ","$65,322 "
116,INTRAOCULAR PROCEDURES W CC/MCC,35,"$4,218,217 ","$120,520 "
117,INTRAOCULAR PROCEDURES W/O CC/MCC,32,"$1,177,250 ","$36,789 "
121,ACUTE MAJOR EYE INFECTIONS W CC/MCC,7,"$456,212 ","$65,173 "
122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,14,"$542,347 ","$38,739 "
123,NEUROLOGICAL EYE DISORDERS,207,"$9,002,938 ","$43,492 "
124,OTHER DISORDERS OF THE EYE W MCC,32,"$3,346,909 ","$104,591 "
125,OTHER DISORDERS OF THE EYE W/O MCC,79,"$2,717,661 ","$34,401 "
129,MAJOR HEAD  NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,68,"$9,057,756 ","$133,202 "
130,MAJOR HEAD  NECK PROCEDURES W/O CC/MCC,33,"$3,810,282 ","$115,463 "
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,48,"$5,506,679 ","$114,722 "
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,92,"$8,192,565 ","$89,050 "
133,OTHER EAR NOSE MOUTH  THROAT O.R. PROCEDURES W CC/MCC,43,"$4,741,035 ","$110,257 "
134,OTHER EAR NOSE MOUTH  THROAT O.R. PROCEDURES W/O CC/MCC,41,"$2,885,149 ","$70,369 "
135,SINUS  MASTOID PROCEDURES W CC/MCC,11,"$711,726 ","$64,702 "
136,SINUS  MASTOID PROCEDURES W/O CC/MCC,2,"$117,253 ","$58,627 "
137,MOUTH PROCEDURES W CC/MCC,13,"$742,446 ","$57,111 "
138,MOUTH PROCEDURES W/O CC/MCC,15,"$607,591 ","$40,506 "
139,SALIVARY GLAND PROCEDURES,3,"$156,855 ","$52,285 "
146,EAR NOSE MOUTH  THROAT MALIGNANCY W MCC,10,"$1,230,500 ","$123,050 "
147,EAR NOSE MOUTH  THROAT MALIGNANCY W CC,10,"$695,076 ","$69,508 "
148,EAR NOSE MOUTH  THROAT MALIGNANCY W/O CC/MCC,5,"$264,260 ","$52,852 "
149,DYSEQUILIBRIUM,21,"$653,472 ","$31,118 "
150,EPISTAXIS W MCC,1,"$23,480 ","$23,480 "
151,EPISTAXIS W/O MCC,11,"$251,064 ","$22,824 "
152,OTITIS MEDIA  URI W MCC,20,"$1,180,141 ","$59,007 "
153,OTITIS MEDIA  URI W/O MCC,66,"$1,661,371 ","$25,172 "
154,OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W MCC,11,"$469,043 ","$42,640 "
155,OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W CC,25,"$854,517 ","$34,181 "
156,OTHER EAR NOSE MOUTH  THROAT DIAGNOSES W/O CC/MCC,14,"$364,807 ","$26,058 "
157,DENTAL  ORAL DISEASES W MCC,20,"$1,055,553 ","$52,778 "
158,DENTAL  ORAL DISEASES W CC,15,"$489,826 ","$32,655 "
159,DENTAL  ORAL DISEASES W/O CC/MCC,10,"$355,020 ","$35,502 "
163,MAJOR CHEST PROCEDURES W MCC,36,"$7,646,040 ","$212,390 "
164,MAJOR CHEST PROCEDURES W CC,77,"$8,940,150 ","$116,106 "
165,MAJOR CHEST PROCEDURES W/O CC/MCC,78,"$6,677,834 ","$85,613 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,96,"$16,184,110 ","$168,584 "
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,57,"$4,819,156 ","$84,547 "
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,25,"$1,789,324 ","$71,573 "
175,PULMONARY EMBOLISM W MCC,77,"$5,701,565 ","$74,046 "
176,PULMONARY EMBOLISM W/O MCC,129,"$4,569,490 ","$35,422 "
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,62,"$6,086,241 ","$98,165 "
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC,49,"$2,729,058 ","$55,695 "
179,RESPIRATORY INFECTIONS  INFLAMMATIONS W/O CC/MCC,11,"$448,608 ","$40,783 "
180,RESPIRATORY NEOPLASMS W MCC,59,"$4,345,916 ","$73,660 "
181,RESPIRATORY NEOPLASMS W CC,43,"$2,343,581 ","$54,502 "
182,RESPIRATORY NEOPLASMS W/O CC/MCC,7,"$250,801 ","$35,829 "
183,MAJOR CHEST TRAUMA W MCC,6,"$331,342 ","$55,224 "
184,MAJOR CHEST TRAUMA W CC,29,"$1,520,862 ","$52,444 "
185,MAJOR CHEST TRAUMA W/O CC/MCC,4,"$178,291 ","$44,573 "
186,PLEURAL EFFUSION W MCC,17,"$1,057,209 ","$62,189 "
187,PLEURAL EFFUSION W CC,21,"$1,197,968 ","$57,046 "
188,PLEURAL EFFUSION W/O CC/MCC,4,"$204,259 ","$51,065 "
189,PULMONARY EDEMA  RESPIRATORY FAILURE,180,"$9,819,352 ","$54,552 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,270,"$11,832,362 ","$43,824 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,184,"$6,852,192 ","$37,240 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,69,"$1,865,955 ","$27,043 "
193,SIMPLE PNEUMONIA  PLEURISY W MCC,163,"$8,947,557 ","$54,893 "
194,SIMPLE PNEUMONIA  PLEURISY W CC,242,"$7,848,389 ","$32,431 "
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC,55,"$1,405,776 ","$25,560 "
196,INTERSTITIAL LUNG DISEASE W MCC,13,"$763,420 ","$58,725 "
197,INTERSTITIAL LUNG DISEASE W CC,20,"$996,231 ","$49,812 "
198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,7,"$249,743 ","$35,678 "
199,PNEUMOTHORAX W MCC,9,"$718,352 ","$79,817 "
200,PNEUMOTHORAX W CC,32,"$1,391,451 ","$43,483 "
201,PNEUMOTHORAX W/O CC/MCC,12,"$341,042 ","$28,420 "
202,BRONCHITIS  ASTHMA W CC/MCC,140,"$4,963,091 ","$35,451 "
203,BRONCHITIS  ASTHMA W/O CC/MCC,102,"$2,287,946 ","$22,431 "
204,RESPIRATORY SIGNS  SYMPTOMS,34,"$1,213,701 ","$35,697 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,28,"$1,232,578 ","$44,021 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,41,"$1,342,263 ","$32,738 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),48,"$10,056,490 ","$209,510 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,105,"$10,595,873 ","$100,913 "
215,OTHER HEART ASSIST SYSTEM IMPLANT,1,"$908,388 ","$908,388 "
216,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,25,"$12,321,975 ","$492,879 "
217,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,1,"$284,161 ","$284,161 "
219,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,58,"$18,671,730 ","$321,926 "
220,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,39,"$8,040,383 ","$206,164 "
221,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,9,"$1,317,415 ","$146,379 "
222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,7,"$2,719,414 ","$388,488 "
223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,2,"$495,758 ","$247,879 "
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,2,"$589,539 ","$294,770 "
225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,4,"$699,188 ","$174,797 "
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,15,"$3,303,521 ","$220,235 "
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,15,"$2,796,981 ","$186,465 "
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,15,"$3,222,571 ","$214,838 "
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,16,"$2,694,274 ","$168,392 "
233,CORONARY BYPASS W CARDIAC CATH W MCC,45,"$13,315,314 ","$295,896 "
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,22,"$5,134,347 ","$233,379 "
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,23,"$4,770,611 ","$207,418 "
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,21,"$3,675,572 ","$175,027 "
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W MCC,15,"$3,455,935 ","$230,396 "
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W CC,22,"$3,209,123 ","$145,869 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,30,"$3,677,841 ","$122,595 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,40,"$3,086,502 ","$77,163 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,33,"$2,234,039 ","$67,698 "
245,AICD GENERATOR PROCEDURES,14,"$4,391,603 ","$313,686 "
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,41,"$4,588,862 ","$111,923 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,129,"$10,123,981 ","$78,480 "
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,19,"$2,256,349 ","$118,755 "
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,20,"$1,614,957 ","$80,748 "
250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,7,"$772,616 ","$110,374 "
251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,4,"$384,083 ","$96,021 "
252,OTHER VASCULAR PROCEDURES W MCC,55,"$7,080,920 ","$128,744 "
253,OTHER VASCULAR PROCEDURES W CC,67,"$8,668,722 ","$129,384 "
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,44,"$3,421,268 ","$77,756 "
255,UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,5,"$673,247 ","$134,649 "
256,UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,4,"$289,370 ","$72,343 "
257,UPPER LIMB  TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W/O CC/MCC,1,"$23,932 ","$23,932 "
258,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,3,"$356,207 ","$118,736 "
259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,2,"$92,332 ","$46,166 "
260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,6,"$1,568,722 ","$261,454 "
261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,15,"$1,002,474 ","$66,832 "
262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,2,"$92,893 ","$46,447 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,53,"$9,665,476 ","$182,367 "
265,AICD LEAD PROCEDURES,3,"$442,120 ","$147,373 "
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,27,"$8,931,710 ","$330,804 "
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,42,"$8,403,342 ","$200,080 "
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,11,"$3,891,650 ","$353,786 "
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,51,"$7,095,766 ","$139,133 "
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,41,"$9,866,600 ","$240,649 "
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,22,"$3,488,049 ","$158,548 "
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,22,"$2,342,632 ","$106,483 "
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,26,"$4,781,634 ","$183,909 "
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,40,"$4,592,151 ","$114,804 "
280,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W MCC,115,"$9,754,078 ","$84,818 "
281,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W CC,78,"$3,763,476 ","$48,250 "
282,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE W/O CC/MCC,46,"$1,766,681 ","$38,406 "
283,ACUTE MYOCARDIAL INFARCTION EXPIRED W MCC,21,"$2,496,121 ","$118,863 "
284,ACUTE MYOCARDIAL INFARCTION EXPIRED W CC,2,"$53,996 ","$26,998 "
285,ACUTE MYOCARDIAL INFARCTION EXPIRED W/O CC/MCC,1,"$50,471 ","$50,471 "
286,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W MCC,145,"$16,817,843 ","$115,985 "
287,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,220,"$12,284,541 ","$55,839 "
288,ACUTE  SUBACUTE ENDOCARDITIS W MCC,16,"$1,394,188 ","$87,137 "
289,ACUTE  SUBACUTE ENDOCARDITIS W CC,13,"$796,218 ","$61,248 "
290,ACUTE  SUBACUTE ENDOCARDITIS W/O CC/MCC,1,"$91,922 ","$91,922 "
291,HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),591,"$32,907,186 ","$55,681 "
292,HEART FAILURE  SHOCK W CC,232,"$9,283,345 ","$40,014 "
293,HEART FAILURE  SHOCK W/O CC/MCC,70,"$1,960,737 ","$28,011 "
294,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,1,"$19,635 ","$19,635 "
296,CARDIAC ARREST UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),6,"$298,803 ","$49,801 "
297,CARDIAC ARREST UNEXPLAINED W CC,1,"$52,301 ","$52,301 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,75,"$5,854,047 ","$78,054 "
300,PERIPHERAL VASCULAR DISORDERS W CC,126,"$5,624,102 ","$44,636 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,47,"$1,443,262 ","$30,708 "
302,ATHEROSCLEROSIS W MCC,7,"$371,565 ","$53,081 "
303,ATHEROSCLEROSIS W/O MCC,25,"$794,602 ","$31,784 "
304,HYPERTENSION W MCC,55,"$3,114,431 ","$56,626 "
305,HYPERTENSION W/O MCC,85,"$3,411,154 ","$40,131 "
306,CARDIAC CONGENITAL  VALVULAR DISORDERS W MCC,9,"$715,112 ","$79,457 "
307,CARDIAC CONGENITAL  VALVULAR DISORDERS W/O MCC,16,"$648,915 ","$40,557 "
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,105,"$6,081,794 ","$57,922 "
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,170,"$6,112,985 ","$35,959 "
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC,112,"$2,948,328 ","$26,324 "
311,ANGINA PECTORIS,8,"$159,030 ","$19,879 "
312,SYNCOPE  COLLAPSE,137,"$5,222,068 ","$38,117 "
313,CHEST PAIN,140,"$3,537,311 ","$25,267 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,131,"$13,036,305 ","$99,514 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,70,"$3,448,004 ","$49,257 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,15,"$553,728 ","$36,915 "
326,STOMACH ESOPHAGEAL  DUODENAL PROC W MCC,43,"$9,203,524 ","$214,035 "
327,STOMACH ESOPHAGEAL  DUODENAL PROC W CC,72,"$9,694,793 ","$134,650 "
328,STOMACH ESOPHAGEAL  DUODENAL PROC W/O CC/MCC,101,"$7,137,705 ","$70,670 "
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,85,"$16,802,069 ","$197,671 "
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,256,"$27,968,496 ","$109,252 "
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,162,"$11,662,152 ","$71,989 "
333,RECTAL RESECTION W CC,7,"$765,207 ","$109,315 "
334,RECTAL RESECTION W/O CC/MCC,4,"$262,036 ","$65,509 "
335,PERITONEAL ADHESIOLYSIS W MCC,16,"$2,414,188 ","$150,887 "
336,PERITONEAL ADHESIOLYSIS W CC,34,"$3,652,696 ","$107,432 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,34,"$3,063,960 ","$90,116 "
338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,1,"$80,929 ","$80,929 "
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,9,"$763,403 ","$84,823 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,37,"$1,788,107 ","$48,327 "
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,8,"$412,889 ","$51,611 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,33,"$1,651,055 ","$50,032 "
344,MINOR SMALL  LARGE BOWEL PROCEDURES W MCC,13,"$1,568,144 ","$120,626 "
