Procedure Description,Unit Price
HC Cciiv3 vac no prsv 0.5 ml im,55
HC Cefazolin sodium injection,5
HC CEFTRIAXONE SODIUM INJECTION,30
HC Change of bladder tube,248
HC CHANGE OF WINDPIPE AIRWAY,315
HC Chemical cautery tissue,182
HC Chemical peel face dermal,527
HC Chemical peel face epiderm,182
HC CHEMO ANTI-NEOPL SQ/IM,115
HC CHEMO HORMON ANTINEOPL SQ/IM,115
HC CHEMO INTRALESIONAL OVER 7,150
HC CHEMO INTRALESIONAL UP TO 7,63
HC CHEMO IV INFUSION 1 HR PBB,305
HC Chemo iv infusion addl hr,80
HC Chemodener muscle larynx emg,587
HC CHEMODENERV 1 EXTREM 1-4 EA,34
HC CHEMODENERV 1 EXTREM 5/> EA,48
HC CHEMODENERV 1 EXTREM 5/> MUS,587
HC CHEMODENERV 1 EXTREMITY 1-4,587
HC Chemodenerv eccrine glands,264
HC Chemodenerv eccrine glands,64
HC CHEMODENERV MUSC MIGRAINE,264
HC CHEMODENERV MUSC NECK DYSTON,264
HC CHEMODENERV SALIV GLANDS,264
HC CHEMODENERV TRUNK MUSC 1-5,587
HC CHEMODENERV TRUNK MUSC 6/>,62
HC Chemotherapy injection,168
HC Chemotherapy intracavitary,293
HC Chorion biopsy,350
HC CHRON CARE MGMT SRVC 20 MIN,26
HC Chylmd trach assay w/optic,30
HC Chylmd trach dna amp probe,12
HC CIRCUMCISION W/REGIONL BLOCK,179
HC Clean out mastoid cavity,182
HC Clean out mastoid cavity,497
HC CLEAR OUTER EAR CANAL,117
HC Closure of split wound,341
HC Clot factor viii ahg 1 stage,215
HC Clot factor viii vw antigen,50
HC Clot factor xi pta,215
HC Cmplx rpr e/n/e/l 1.1-2.5 cm,549
HC Cmplx rpr e/n/e/l 2.6-7.5 cm,527
HC CMPLX RPR E/N/E/L ADDL 5CM/>,142
HC Cmplx rpr f/c/c/m/n/ax/g/h/f,398
HC Cmplx rpr f/c/c/m/n/ax/g/h/f,560
HC CMPLX RPR F/C/C/M/N/AZ/G/H/F,249
HC Cmplx rpr s/a/l 1.1-2.5 cm,527
HC Cmplx rpr s/a/l 2.6-7.5 cm,527
HC Cmplx rpr s/a/l addl 5 cm/>,196
HC Cmplx rpr trunk 1.1-2.5 cm,527
HC Cmplx rpr trunk 2.6-7.5 cm,527
HC Cmplx rpr trunk addl 5cm/<,158
HC Co/membane diffuse capacity,105
HC CO2 BREATHING RESPONSE CURVE,90
HC Cochlear implt f/up exam 7/>,181
HC COLLECT BLOOD FROM IMPLANT VENOUS ACCESS DEVICE,113
HC COLONOSCOPY AND BIOPSY,1011
HC COLONOSCOPY W/ABLATION,1214
HC COLONOSCOPY W/LESION REMOVAL,629
HC COLONOSCOPY W/LESION REMOVAL,1011
HC Color vision examination,100
HC COMPLETE CBC W/AUTO DIFF WBC,18
HC Complex cystometrogram,860
HC Complex drainage wound,252
HC Comprehensive hearing test,95
HC Conization of cervix,2455
HC Conization of cervix,2455
HC Consultation with family,123
HC Control of nosebleed,105
HC Control of nosebleed,141
HC Control of nosebleed,113
HC Conz of cervix w/scope leep,2455
HC COOMBS TEST DIRECT,15
HC COSYNTROPIN CORTROSYN INJ,175
HC Cranial neurostim complex,124
HC C-reactive protein,14
HC Create eardrum opening,496
HC CRITICAL CARE ADDL 30 MIN,123
HC Cryocautery of cervix,331
HC CRYOSURGERY ANAL LESION(S),139
HC Cryosurgery penis lesion(s),182
HC CSF SHUNT REPROGRAM,190
HC Ct maxillofacial w/o dye,265
HC Ct soft tissue neck w/dye,273
HC Ct soft tissue neck w/o dye,114
HC Culture othr specimn aerobic,24
HC CYSTO DIL URETHRAL STRICTURE,1800
HC CYSTO INSRT IMPLNT(S) TRANSPROSTATE 4 or MORE,8000
HC CYSTO TX FEMALE URETHRAL SYNDROME,1800
HC CYSTO W DESTRUCTION <0.5CM LESION,1800
HC CYSTO W DESTRUCTION 0.5-2.0CM,2800
HC CYSTO W DESTRUCTION LESIONS,1800
HC Cystometrogram w/vp,611
HC Cystometrogram w/vp&up,611
HC CYSTOSCOPY,611
HC CYSTOSCOPY BLADDER W CATH URETER,1800
HC CYSTOURETHROSCOPY INJ CHEMODENERVATION BLADDER,1831
HC CYSTOURETHROSCOPY W BIOPSY,1800
HC Cytopath c/v thin layer,100
HC Cytopath concentrate tech,250
HC Cytopath eval fna report,155
HC Cytopath fl nongyn filter,50
HC DARBEPOETIN ALFA  NON-ESRD,10
HC DEB BONE 20 SQ CM/<,1456
HC Deb bone add-on,203
HC Deb musc/fascia 20 sq cm/<,527
HC DEB SUBQ TISSUE 20 SQ CM/<,336
HC DEB SUBQ TISSUE ADD-ON,32
HC Debride infected skin,58
HC DEBRIDEMENT  INFECTED SKIN  EA ADD 10% BSA,58
HC Decalcify tissue,190
HC Decitabine injection,100
HC DEGARELIX INJECTION,10
HC DELAY/SECTN FLAP LID NOS EAR LIP,1694
HC DENOSUMAB INJECTION,40
HC Depo-estradiol cypionate inj,20
HC Dermal filler injection(s),1694
HC DEST INTERCOSTAL NEUROLYTIC,726
HC DESTROY NERVE FACE MUSCLE,264
HC DESTROY PREMAL LESIONS 15/>,336
HC DESTROY VAG LESIONS SIMPLE,50
HC Destroy vulva lesion/s compl,1694
HC DESTROY VULVA LESIONS SIM,1694
HC DESTRUCT B9 LESION 1-14,182
HC DESTRUCT LESION 15 OR MORE,182
HC DESTRUCT PREMALG LES 2-14,25
HC DESTRUCT PREMALG LESION,182
HC DESTRUCTION ANAL LESION(S),488
HC Destruction of skin lesions,336
HC Destruction of skin lesions,629
HC Destruction of skin lesions,1016
HC Destruction of skin lesions,177
HC Destruction of skin lesions,213
HC Destruction of skin lesions,216
HC Destruction of skin lesions,182
HC Destruction of skin lesions,336
HC Destruction of skin lesions,182
HC Destruction of skin lesions,178
HC Destruction of skin lesions,182
HC Destruction of skin lesions,290
HC Destruction of skin lesions,215
HC Destruction of skin lesions,336
HC Destruction of skin lesions,291
HC Destruction of skin lesions,372
HC Destruction penis lesion(s),123
HC DESTRUCTION PENIS LESION(S),110
HC DEXAMETHASONE SODIUM PHOS,10
HC DIAGNOSTIC ANOSCOPY SPX,138
HC DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,1456
HC DIAGNOSTIC COLONOSCOPY,767
HC Diagnostic laryngoscopy,194
HC DIAGNOSTIC SIGMOIDOSCOPY,767
HC Dilate esophagus 1/mult pass,803
HC Dilate urethra stricture,248
HC Dilate urethra stricture,126
HC Dilation and curettage,2455
HC Dilation of cervical canal,147
HC Dilation of salivary duct,1229
HC Dilation of salivary duct,497
HC Dilation of urethra,149
HC Dilation of urethra,147
HC DIPHENHYDRAMINE HCL INJECTIO,5
HC Dipyridamole injection,30
HC Disposable endoscope sheath,15
HC DNA OR RNA EXTRACTION ONLY,165
HC Doppler color flow add-on,325
HC Doppler echo exam heart,115
HC Drain bl w/cath insertion,1831
HC DRAIN CEREBRO SPINAL FLUID,587
HC Drain outer ear canal lesion,619
HC DRAIN/INJ JOINT/BURSA W/O US,264
HC DRAIN/INJ JOINT/BURSA W/O US,264
HC DRAIN/INJ JOINT/BURSA W/O US,264
HC DRAIN/INJ JOINT/BURSA W/US,264
HC DRAIN/INJ JOINT/BURSA W/US,587
HC DRAIN/INJ JOINT/BURSA W/US,264
HC Drainage of breast lesion,82
HC DRAINAGE OF GLAND ABSCESS,174
HC Drainage of gum lesion,149
HC DRAINAGE OF HEMATOMA/FLUID,1456
HC Drainage of mouth lesion,127
HC Drainage of mouth lesion,199
HC Drainage of nose lesion,175
HC Drainage of nose lesion,205
HC DRAINAGE OF PILONIDAL CYST,126
HC Drainage of pilonidal cyst,199
HC Drainage of salivary cyst,501
HC Drainage of salivary gland,1229
HC Drainage of scrotum abscess,252
HC DRAINAGE OF SKIN ABSCESS,182
HC DRAINAGE OF SKIN ABSCESS,336
HC Drainage of tonsil abscess,222
HC Dress/debrid p-thick burn s,66
HC DRUG TEST PRESUMP OPTICAL,75
HC DTAP VACCINE < 7 YRS IM,40
HC Dtap-hep b-ipv vaccine im,130
HC DTAP-IPV/HIB VACCINE IM,145
HC EAR CARTILAGE GRAFT TO FACE,4686
HC Ear microscopy examination,20
HC Ecg monit/reprt up to 48 hrs,450
HC Ecg monit/reprt up to 48 hrs 93225,150
HC Ecg monit/reprt up to 48 hrs 93227,150
HC Ecg/review interpret only,75
HC Echo exam of abdomen,130
HC Echo exam of fetal heart,285
HC Echo exam of fetal heart,230
HC Echo exam of fetal heart,255
HC Echo exam of fetal heart,170
HC Echo exam uterus,160
HC Echo guide for amniocentesis,230
HC ECHO GUIDE FOR BIOPSY,410
HC Eeg monitoring/computer,480
HC EEG MONITORING/FUNCTION TEST,975
HC EGD BIOPSY SINGLE/MULTIPLE,604
HC EGD DIAGNOSTIC BRUSH WASH,803
HC EGD REMOVE FOREIGN BODY,530
HC EGD TUBE/CATH INSERTION,970
HC EGD VARICES LIGATION,970
HC ELEC ALYS NSTIM PLS GEN CPLX SC/PERPH 1ST HR,124
HC ELECT ANLYS IMPLT ITHCL/EDRL PMP W/REPRG&REFILL,283
HC ELECTRIC STIM GUIDANCE FOR CHEMODENERVATION,65
HC Electrical stimulation,35
HC ELECTROCARDIOGRAM 12 LEAD SPLIT,15
HC ELECTROCARDIOGRAM TRACING,35
HC Electrocardiogram tracing 730G0405,70
HC Electro-uroflowmetry first,147
HC EMG  NEEDLE  ONE LIMB,113
HC ENDOCERV CURETTAGE W/SCOPE,290
HC ENDOCERVICAL CURETTAGE,622
HC Endometrial cryoablation,909
HC Endoscopy swallow (fees) vid,117
HC ENDOVENOUS RF 1ST VEIN,4872
HC ENDOVENOUS RF VEIN ADD-ON,370
HC EPOETIN ALFA  NON-ESRD,30
HC ESOPH EGD DILATION <30 MM,1364
HC Esoph imped function test,300
HC ESOPHAGEAL CAPSULE ENDOSCOPY,1350
HC Esophagoscopy flex biopsy,1542
HC Esophagoscopy flex dx brush,803
HC Esophagoscopy flexible brush,803
HC ESOPHAGUS MOTILITY STUDY,480
HC Etonogestrel implant system,1565
HC EUFLEXXA INJ PER DOSE,375
HC Eval aud rehab status,68
HC Eval aud status rehab add-on,36
HC EVALUATE PT USE OF INHALER,50
HC Evaluation of wheezing,269
HC Evaluation of wheezing,85
HC Evoked auditory test limited,115
HC Evoked auditory tst complete,175
HC EXAM OF CERVIX W/SCOPE,53
HC Exam of vagina w/scope,269
HC Exam of vulva w/scope,219
HC Exam/biopsy of vag w/scope,364
HC Exam/biopsy of vulva w/scope,353
HC Exc f/e/e/n/l mal+mrg >4 cm,2511
HC Exc f/e/e/n/l mal+mrg 0.5cm<,619
HC Exc f/e/e/n/l mal+mrg 0.6-1,619
HC Exc f/e/e/n/l mal+mrg 1.1-2,619
HC Exc f/e/e/n/l mal+mrg 2.1-3,1456
HC Exc f/e/e/n/l mal+mrg 3.1-4,1456
HC EXC FACE-MM B9+MARG >4 CM,2511
HC EXC FACE-MM B9+MARG 0.5 CM/<,619
HC Exc face-mm b9+marg 0.6-1 cm,619
HC EXC FACE-MM B9+MARG 1.1-2 CM,619
HC Exc face-mm b9+marg 2.1-3 cm,1456
HC Exc face-mm b9+marg 3.1-4 cm,1456
HC Exc h-f-nk-sp b9+marg >4 cm,2511
HC EXC H-F-NK-SP B9+MARG 0.5/<,1456
HC EXC H-F-NK-SP B9+MARG 0.6-1,619
HC EXC H-F-NK-SP B9+MARG 1.1-2,1456
HC Exc h-f-nk-sp b9+marg 2.1-3,182
HC Exc h-f-nk-sp b9+marg 3.1-4,236
HC Exc h-f-nk-sp mal+marg 0.5/<,251
HC Exc s/n/h/f/g mal+mrg >4 cm,2511
HC Exc s/n/h/f/g mal+mrg 0.6-1,619
HC Exc s/n/h/f/g mal+mrg 1.1-2,619
HC Exc s/n/h/f/g mal+mrg 2.1-3,1456
HC Exc s/n/h/f/g mal+mrg 3.1-4,1456
HC Exc tr-ext b9+marg >4.0 cm,1456
HC EXC TR-EXT B9+MARG 0.5 CM<,182
HC EXC TR-EXT B9+MARG 0.6-1 CM,336
HC EXC TR-EXT B9+MARG 1.1-2 CM,619
HC EXC TR-EXT B9+MARG 2.1-3CM/<,619
HC Exc tr-ext b9+marg 3.1-4 cm,1456
HC Exc tr-ext mal+marg >4 cm,1456
HC Exc tr-ext mal+marg 0.5 cm/<,178
HC Exc tr-ext mal+marg 0.6-1 cm,619
HC Exc tr-ext mal+marg 1.1-2 cm,336
HC Exc tr-ext mal+marg 2.1-3 cm,619
HC Exc tr-ext mal+marg 3.1-4 cm,619
HC EXC TUMOR SOFT TISS UPPER ARM/ELBOW SUBQ <3CM,1456
HC EXC TUMOR SOFT TISSUE FOREARM &/WRIST SUBQ <3CM,1456
HC EXC TUMOR SOFT TISSUE LEG/ANKLE SUBQ <3CM,1456
HC EXCISE ANAL EXT TAG/PAPILLA,138
HC Excision lesion mouth roof,224
HC Excision lesion mouth roof,2375
HC EXCISION OF ANAL LESION(S),316
HC Excision of penis lesion(s),1694
HC Excision of tongue fold,1229
HC Excision of tongue lesion,2375
HC EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ < 2CM,1456
HC EXCISION TUMOR SOFT TISS FACE/SCALP SUBQ 2+CM,1456
HC EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM,1456
HC EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ 3+CM,1456
HC EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ <3CM,1456
HC EXCISION TUMOR SOFT TISSUE THIGH/KNEE SUBQ <3CM,1456
HC Extracranial bilat study,30
HC Extremity study,30
HC Extremity study,65
HC Facial nerve function test,243
HC FATS/LIPIDS FECES QUANT,175
HC FENTANYL CITRATE INJECITON,10
HC Fetal biophys profil w/o nst,210
HC Fetal biophys profile w/nst,265
HC FETAL NON-STRESS TEST,174
HC FLAP ISLAND PEDICLE ANATOMIC NAMED AXIAL ARTERY,1694
HC FLU VACC IIV3 NO PRESERV ID,45
HC FLU VACC IIV4 NO PRESERV ID,60
HC Flulaval vacc  3 yrs & >  im,15
HC Fluorouracil injection,5
HC Fluvirin vacc  3 yrs & >  im,30
HC Fluzone vacc  3 yrs & >  im,30
HC Fna w/image,619
HC FNA W/O IMAGE,336
HC FOREHEAD FLAP W/VASC PEDICLE,2927
HC Fosaprepitant injection,5
HC FULL THICK GRFT NOS EAR LID ADD 20SQ,1694
HC Garamycin gentamicin inj,5
HC Gardner vag dna dir probe,50
HC GASTROENTEROLOGY PROCEDURE,147
HC Gastroesophageal reflux test,140
HC Gated heart planar single,185
HC GEL-ONE,1405
HC GENERATOR NEUROSTIM NON-RECHG,11225
HC G-ESOPH REFLX TST W/ELECTROD,735
HC GI TRACT CAPSULE ENDOSCOPY,803
HC GLUCOSE BLOOD TEST,15
HC GLUCOSE MONITORING CONT,300
HC GOSERELIN ACETATE IMPLANT,685
HC GUIDE NERV DESTR NEEDLE EMG,70
HC HALOPERIDOL DECANOATE INJ,30
HC Haloperidol injection,5
HC Hemagglutination inhibition,105
HC HEMOGLOBIN,8
HC HEP A/HEP B VACC ADULT IM,165
HC HEPA VACC PED/ADOL 2 DOSE IM,65
HC Hepa vacc ped/adol 3 dose,100
HC HEPA VACCINE ADULT IM,125
HC HEPB VACC 2 DOSE ADOLESC IM,100
HC HEPB VACC 3 DOSE IMMUNSUP IM,265
HC HEPB VACC 3 DOSE PED/ADOL IM,80
HC HEPB VACCINE 3 DOSE ADULT IM,120
HC Herpes simplex 2 ag if,25
HC Hib prp-omp vacc 3 dose im,45
HC HIB PRP-T VACCINE 4 DOSE IM,50
HC Hib-hepb vaccine im,90
HC HISTOPLASMOSIS SKIN TEST,20
HC HIV-1ANTIBODY,30
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC HOSPITAL OUTPT CLINIC VISIT,120
HC Hospital outpt clinic visit 51059425,120
HC Hospital outpt clinic visit 51059426,120
HC Hospital outpt clinic visit 51059430,120
HC Hospital outpt clinic visit 51099172,120
HC Hospital outpt clinic visit 51099173,120
HC Hospital outpt clinic visit 51099241,120
HC Hospital outpt clinic visit 51099242,120
HC Hospital outpt clinic visit 51099243,120
HC Hospital outpt clinic visit 51099244,120
HC Hospital outpt clinic visit 51099245,120
HC Hospital outpt clinic visit 51099381,120
HC Hospital outpt clinic visit 51099382,120
HC Hospital outpt clinic visit 51099383,120
HC Hospital outpt clinic visit 51099384,120
HC Hospital outpt clinic visit 51099385,120
HC Hospital outpt clinic visit 51099386,120
HC Hospital outpt clinic visit 51099387,120
HC Hospital outpt clinic visit 51099391,120
HC Hospital outpt clinic visit 51099392,120
HC Hospital outpt clinic visit 51099393,120
HC Hospital outpt clinic visit 51099394,120
HC Hospital outpt clinic visit 51099395,120
HC Hospital outpt clinic visit 51099396,120
HC Hospital outpt clinic visit 51099397,120
HC Hospital outpt clinic visit 510G0124,120
HC Hospital outpt clinic visit BNCADMIT,120
HC Hospital outpt clinic visit NCCHGVT,120
HC Hospital outpt clinic visit NU97802,120
HC Hospital outpt clinic visit NU97803,120
HC Hospital outpt clinic visit NU97804,120
HC Hospital outpt clinic visit ZEND14,120
HC Hospital outpt clinic visit ZFMA02,120
HC Hospital outpt clinic visit ZFMA03,120
HC Hospital outpt clinic visit ZFMA12,120
HC Hospital outpt clinic visit ZFMA13,120
HC Ht muscle image spect mult,715
HC Ht muscle image spect sing,500
HC Hyaluronidase injection,55
HC HYDRATE IV INFUSION ADD-ON,55
HC HYDRATION IV INFUSION INIT,160
HC HYPNOTHERAPY,20
HC Hysteroscopy ablation,4441
HC Hysteroscopy biopsy,2455
HC Hysteroscopy dx sep proc,2455
HC Hysteroscopy remove fb,2455
HC Hysteroscopy sterilization,1625
HC Hzv vaccine live subq,375
HC I & D OF VULVA/PERINEUM,290
HC Icm device eval,30
HC Icut allergy test drug/bug,60
HC Iiv adjuvant vaccine im,30
HC IIV NO PRSV INCREASED AG IM,135
HC Iiv3 vacc no prsv 0.25 ml im,30
HC IIV3 VACC NO PRSV 3 YRS+ IM,30
HC Iiv3 vaccine splt 0.25 ml im,30
HC Iiv3 vaccine splt 0.5 ml im,30
HC IIV4 VACC NO PRSV 3 YRS+ IM,135
HC IIV4 VACC NO PRSV 6-35 M IM,135
HC IIV4 VACCINE 3 YRS PLUS IM,95
HC IIV4 VACCINE 6-35 MONTHS IM,95
HC Ilr device eval progr,60
HC Ilr device interrogat remote,75
HC Ilr device interrogate,50
HC Im admin 1st/only component,45
HC IMMUNE ADMIN ORAL/NASAL,30
HC IMMUNE ADMIN ORAL/NASAL ADDL,25
HC IMMUNIZATION ADMIN,45
HC IMMUNIZATION ADMIN EACH ADD,30
HC Immunofluor antb addl stain,44
HC Immunohisto antb 1st stain,211
HC Immunohisto antb addl slide,219
HC Immunohisto antibody slide,207
HC IMMUNOTHERAPY INJECTIONS,40
HC IMMUNOTHERAPY ONE INJECTION,35
HC IMPLANT NEUROELECTRODES,6540
HC IN MORPHINE PRESERVATIV FREE,15
HC INCISE FINGER TENDON SHEATH,1458
HC Incise inner ear,1229
HC INCISION OF ANAL ABSCESS,164
HC Incision of breast lesion,290
HC Incision of eardrum,228
HC INCOBOTULINUMTOXIN A,10
HC INFLUENZA ASSAY W/OPTIC,30
HC Influenza virus vaccine  nos,30
HC Ingest challenge addl 60 min,129
HC Ingest challenge ini 120 min,179
HC INIT NB EM PER DAY HOSP,335
HC Initial foot exam pt lops,110
HC INITIAL PREVENTIVE EXAM,123
HC INJ DEXAMETHASONE ACETATE,10
HC INJ FILGRASTIM EXCL BIOSIMIL,5
HC INJ HEPARIN SODIUM PER 10 U,5
HC Inj heparin sodium per 1000u,5
HC Inj midazolam hydrochloride,20
HC INJ TENDON ORIGIN/INSERTION,264
HC INJ TENDON SHEATH/LIGAMENT,264
HC INJ TESTOSTERO ENANTHATE 1MG,0.25
HC INJ TESTOSTERONE CYPIONATE,0.25
HC INJ TRIGGER POINT 1/2 MUSCL,264
HC INJ  RIMABOTULINUMTOXINB,20
HC Inject epidural patch,290
HC INJECT NERV BLCK AXILLARY NERV,726
HC INJECT NERV BLCK CERV PLEXUS,587
HC INJECT NERV BLCK ILIOINGU/ILIOHYP,587
HC INJECT NERV BLCK PARAVERT SYMPATH,726
HC INJECT NERV BLCK SUPRASCAP N.,587
HC INJECT SKIN LESIONS </W 7,182
HC Inject skin lesions >7,182
HC INJECT TRIGGER POINTS 3/>,264
HC Injection for bladder x-ray,193
HC Injection into vocal cord,406
HC Injection therapy of vein,151
HC INJECTION THERAPY OF VEINS,156
HC INJECTION TREATMENT OF NERVE,488
HC INJECTION(S) SPIDER VEINS,250
HC INJECTION  FULVESTRANT,175
HC Injection  nivolumab,65
HC INJECTION  PEGFILGRASTIM 6MG,6390
HC INJECTION ONABOTULINUMTOXINA,15
HC INJECTION SACROILIAC JOINT,587
HC Ins vag brachytx device,290
HC Insert bladder cath complex,173
HC INSERT BLADDER CATHETER,126
HC Insert cervical dilator,290
HC INSERT DRUG IMPLANT DEVICE,113
HC Insert electrodes for eeg,108
HC INSERT PESSARY/OTHER DEVICE,174
HC Insert temp bladder cath,112
HC Insert uteri tandem/ovoids,2455
HC INSULIN INJECTION,10
HC INTERFERON ALFA-2B INJ,40
HC Interrog device eval heart,65
HC Interrogate subq defib,170
HC Interrogation vad in person,124
HC Interv hlth/behav fam w/pt,123
HC Intervene hlth/behave indiv,123
HC Intmd rpr face/mm 2.5 cm/<,336
HC Intmd rpr face/mm 2.6-5.0 cm,359
HC Intmd rpr face/mm 5.1-7.5 cm,319
HC Intmd rpr face/mm 7.6-12.5cm,372
HC Intmd rpr n-hf/genit 2.5cm/<,336
HC Intmd rpr n-hf/genit2.6-7.5,362
HC Intmd rpr n-hf/genit7.6-12.5,527
HC Intmd rpr s/a/t/ext 12.6-20,382
HC Intmd rpr s/a/t/ext 2.5 cm/<,336
HC Intmd rpr s/a/t/ext 2.6-7.5,329
HC Intmd rpr s/tr/ext 7.6-12.5,336
HC Intraabdominal pressure test,475
HC Intranasal biopsy,1229
HC Intraop cyto path consult 1,584
HC Intraop cyto path consult 2,105
