Description,Typical Charges,Average Insured Patient Responsibility
"Dc, Conization, Laparoscopy  Tubal Interruption W/O Cc/Mcc","$58,929 ","$1,637 "
Deep Vein Thrombophlebitis W Cc/Mcc,"$21,473 ","$1,571 "
Degenerative Nervous System Disorders W Mcc,"$77,818 ",$207 
Degenerative Nervous System Disorders W/O Mcc,"$42,654 ",$625 
Dental  Oral Diseases W Cc,"$36,035 ",$522 
Dental  Oral Diseases W Mcc,"$50,692 ",$743 
Dental  Oral Diseases W/O Cc/Mcc,"$33,655 ",$224 
Depressive Neuroses,"$31,986 ",$0 
Diabetes W Cc,"$31,349 ",$764 
Diabetes W Mcc,"$58,773 ",$389 
Diabetes W/O Cc/Mcc,"$17,380 ","$1,055 "
Digestive Malignancy W Cc,"$72,792 ",$247 
Digestive Malignancy W Mcc,"$84,477 ",$120 
Digestive Malignancy W/O Cc/Mcc,"$49,134 ",$0 
"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Cc","$42,158 ",$483 
"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Mcc","$96,380 ",$444 
"Disorders Of Liver Except Malig,Cirr,Alc Hepa W/O Cc/Mcc","$68,726 ",$247 
Disorders Of Pancreas Except Malignancy W Cc,"$36,734 ",$462 
Disorders Of Pancreas Except Malignancy W Mcc,"$66,773 ",$767 
Disorders Of Pancreas Except Malignancy W/O Cc/Mcc,"$34,713 ",$526 
Disorders Of Personality  Impulse Control,"$25,828 ",$0 
Disorders Of The Biliary Tract W Cc,"$65,107 ",$192 
Disorders Of The Biliary Tract W Mcc,"$102,996 ","($6,668)"
Disorders Of The Biliary Tract W/O Cc/Mcc,"$68,521 ",$586 
Dysequilibrium,"$35,583 ",$948 
"Ear, Nose, Mouth  Throat Malignancy W Cc","$52,998 ",$234 
"Ear, Nose, Mouth  Throat Malignancy W Mcc","$78,876 ",$99 
"Ear, Nose, Mouth  Throat Malignancy W/O Cc/Mcc","$40,533 ","$1,307 "
"Ecmo Or Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth  Neck W Maj O.R.","$814,538 ",$322 
Ectopic Pregnancy,"$61,026 ","$1,408 "
Endocrine Disorders W Cc,"$28,004 ",$663 
Endocrine Disorders W Mcc,"$78,752 ",$270 
Endocrine Disorders W/O Cc/Mcc,"$39,199 ","$1,106 "
Endovascular Cardiac Valve Replacement W Mcc,"$251,041 ",($68)
Endovascular Cardiac Valve Replacement W/O Mcc,"$154,979 ",$348 
Epistaxis W Mcc,"$84,486 ",$0 
Epistaxis W/O Mcc,"$31,624 ",$193 
"Esophagitis, Gastroent  Misc Digest Disorders W Mcc","$50,743 ",$357 
"Esophagitis, Gastroent  Misc Digest Disorders W/O Mcc","$28,626 ",$619 
Extensive Burns Or Full Thickness Burns W Mv >96 Hrs W Skin Graft,"$787,589 ","$1,337 "
Extensive Burns Or Full Thickness Burns W Mv >96 Hrs W/O Skin Graft,"$168,400 ","$1,490 "
Extensive O.R. Procedure Unrelated To Principal Diagnosis W Cc,"$104,223 ",$414 
Extensive O.R. Procedure Unrelated To Principal Diagnosis W Mcc,"$212,478 ",$239 
Extensive O.R. Procedure Unrelated To Principal Diagnosis W/O Cc/Mcc,"$73,288 ",$466 
Extracranial Procedures W Cc,"$124,791 ",$248 
Extracranial Procedures W Mcc,"$212,200 ",$349 
Extracranial Procedures W/O Cc/Mcc,"$91,200 ",$652 
Extraocular Procedures Except Orbit,"$63,817 ",$4 
"Extreme Immaturity Or Respiratory Distress Syndrome, Neonate","$396,838 ",$967 
False Labor,"$10,523 ",$679 
Female Reproductive System Reconstructive Procedures,"$99,388 ",$293 
Fever,"$29,364 ",$624 
Foot Procedures W Cc,"$101,161 ",$592 
Foot Procedures W Mcc,"$90,229 ",$0 
Foot Procedures W/O Cc/Mcc,"$77,525 ","$1,234 "
Fractures Of Femur W Mcc,"$66,939 ",$0 
Fractures Of Femur W/O Mcc,"$32,063 ",$213 
Fractures Of Hip  Pelvis W Mcc,"$68,094 ",$115 
Fractures Of Hip  Pelvis W/O Mcc,"$35,362 ",$849 
Full Term Neonate W Major Problems,"$92,684 ",$919 
Full Thickness Burn W Skin Graft Or Inhal Inj W Cc/Mcc,"$202,138 ",$664 
Full Thickness Burn W Skin Graft Or Inhal Inj W/O Cc/Mcc,"$65,697 ","$1,252 "
Full Thickness Burn W/O Skin Grft Or Inhal Inj,"$35,493 ","$1,228 "
"Fx, Sprn, Strn  Disl Except Femur, Hip, Pelvis  Thigh W Mcc","$63,924 ",$179 
"Fx, Sprn, Strn  Disl Except Femur, Hip, Pelvis  Thigh W/O Mcc","$40,221 ",$214 
G.I. Hemorrhage W Cc,"$56,020 ",$328 
G.I. Hemorrhage W Mcc,"$79,046 ",$375 
G.I. Hemorrhage W/O Cc/Mcc,"$26,448 ",$892 
G.I. Obstruction W Cc,"$30,806 ",$259 
G.I. Obstruction W Mcc,"$47,534 ",$15 
G.I. Obstruction W/O Cc/Mcc,"$21,711 ",$458 
"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W Cc/Mcc","$77,259 ","$1,195 "
"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W/O Cc/Mcc","$54,073 ","$1,509 "
Hand Procedures For Injuries,"$85,519 ","$1,167 "
Headaches W Mcc,"$51,999 ",$571 
Headaches W/O Mcc,"$33,091 ",$633 
Heart Failure  Shock W Cc,"$37,442 ",$268 
Heart Failure  Shock W Mcc,"$60,448 ",$177 
Heart Failure  Shock W/O Cc/Mcc,"$30,347 ",$412 
Heart Transplant Or Implant Of Heart Assist System W Mcc,"$1,208,626 ",$558 
Heart Transplant Or Implant Of Heart Assist System W/O Mcc,"$537,680 ",$0 
Hepatobiliary Diagnostic Procedures W Cc,"$125,544 ",$0 
Hepatobiliary Diagnostic Procedures W Mcc,"$99,614 ",$0 
Hepatobiliary Diagnostic Procedures W/O Cc/Mcc,"$60,419 ",$479 
Hernia Procedures Except Inguinal  Femoral W Cc,"$94,055 ",$406 
Hernia Procedures Except Inguinal  Femoral W Mcc,"$239,003 ","$2,848 "
Hernia Procedures Except Inguinal  Femoral W/O Cc/Mcc,"$91,090 ","$1,050 "
Hip  Femur Procedures Except Major Joint W Cc,"$118,757 ",$665 
Hip  Femur Procedures Except Major Joint W Mcc,"$157,982 ",$241 
Hip  Femur Procedures Except Major Joint W/O Cc/Mcc,"$92,601 ",$857 
Hiv W Extensive O.R. Procedure W Mcc,"$238,115 ",$50 
Hiv W Extensive O.R. Procedure W/O Mcc,"$144,211 ",$0 
Hiv W Major Related Condition W Cc,"$53,865 ",$590 
Hiv W Major Related Condition W Mcc,"$120,947 ",$500 
Hiv W Major Related Condition W/O Cc/Mcc,"$30,862 ",$0 
Hiv W Or W/O Other Related Condition,"$66,737 ","$1,148 "
Hypertension W Mcc,"$59,350 ",$575 
Hypertension W/O Mcc,"$35,661 ",$377 
Hypertensive Encephalopathy W Cc,"$46,721 ",$39 
Hypertensive Encephalopathy W Mcc,"$118,818 ",$44 
Hypertensive Encephalopathy W/O Cc/Mcc,"$40,463 ","$5,064 "
Inborn And Other Disorders Of Metabolism,"$52,754 ",$720 
"Infections, Female Reproductive System W Cc","$25,020 ",$956 
"Infections, Female Reproductive System W Mcc","$11,501 ",$0 
"Infections, Female Reproductive System W/O Cc/Mcc","$26,825 ","$1,464 "
Infectious  Parasitic Diseases W O.R. Procedure W Cc,"$116,744 ",$376 
Infectious  Parasitic Diseases W O.R. Procedure W Mcc,"$261,026 ",$268 
Inflammation Of The Male Reproductive System W Mcc,"$53,312 ",$19 
Inflammation Of The Male Reproductive System W/O Mcc,"$21,716 ",$530 
Inflammatory Bowel Disease W Cc,"$42,929 ",$667 
Inflammatory Bowel Disease W Mcc,"$87,036 ",$365 
Inflammatory Bowel Disease W/O Cc/Mcc,"$33,282 ",$585 
Inguinal  Femoral Hernia Procedures W Cc,"$82,881 ",$335 
Inguinal  Femoral Hernia Procedures W Mcc,"$105,568 ","$2,141 "
Inguinal  Femoral Hernia Procedures W/O Cc/Mcc,"$55,873 ",$20 
Interstitial Lung Disease W Cc,"$72,436 ",$578 
Interstitial Lung Disease W Mcc,"$78,508 ",$55 
Interstitial Lung Disease W/O Cc/Mcc,"$17,021 ",$813 
Intracranial Hemorrhage Or Cerebral Infarction W Cc Or Tpa In 24 Hrs,"$53,317 ",$583 
Intracranial Hemorrhage Or Cerebral Infarction W Mcc,"$86,288 ",$403 
Intracranial Hemorrhage Or Cerebral Infarction W/O Cc/Mcc,"$45,296 ",$875 
Intracranial Vascular Procedures W Pdx Hemorrhage W Cc,"$233,935 ",$446 
Intracranial Vascular Procedures W Pdx Hemorrhage W Mcc,"$406,807 ",$462 
Intraocular Procedures W Cc/Mcc,"$58,018 ",$72 
Intraocular Procedures W/O Cc/Mcc,"$60,429 ",$0 
"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Cc","$96,138 ",$486 
"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Mcc","$123,846 ",$537 
"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W/O Cc/Mcc","$72,866 ","$1,103 "
Kidney  Ureter Procedures For Neoplasm W Cc,"$132,564 ",$783 
Kidney  Ureter Procedures For Neoplasm W Mcc,"$182,375 ",$535 
Kidney  Ureter Procedures For Neoplasm W/O Cc/Mcc,"$124,111 ",$339 
Kidney  Ureter Procedures For Non-Neoplasm W Cc,"$128,656 ",$213 
Kidney  Ureter Procedures For Non-Neoplasm W Mcc,"$146,039 ",$111 
Kidney  Ureter Procedures For Non-Neoplasm W/O Cc/Mcc,"$94,008 ",$252 
Kidney  Urinary Tract Infections W Mcc,"$41,505 ",$82 
Kidney  Urinary Tract Infections W/O Mcc,"$24,664 ",$227 
Kidney  Urinary Tract Neoplasms W Cc,"$63,467 ",$288 
Kidney  Urinary Tract Neoplasms W Mcc,"$130,025 ",$613 
Kidney  Urinary Tract Signs  Symptoms W/O Mcc,"$15,855 ",$482 
Kidney Transplant,"$259,333 ",$50 
Knee Procedures W Pdx Of Infection W Cc,"$130,975 ",$803 
Knee Procedures W Pdx Of Infection W Mcc,"$110,192 ",$188 
Knee Procedures W Pdx Of Infection W/O Cc/Mcc,"$74,197 ",
Knee Procedures W/O Pdx Of Infection W Cc/Mcc,"$111,026 ",$466 
Knee Procedures W/O Pdx Of Infection W/O Cc/Mcc,"$102,999 ",$389 
Laparoscopic Cholecystectomy W/O C.D.E. W Cc,"$100,091 ",$679 
Laparoscopic Cholecystectomy W/O C.D.E. W Mcc,"$124,153 ",$919 
Laparoscopic Cholecystectomy W/O C.D.E. W/O Cc/Mcc,"$74,240 ",$473 
"Limb Reattachment, Hip  Femur Proc For Multiple Significant Trauma","$337,560 ",$354 
Liver Transplant W Mcc Or Intestinal Transplant,"$647,493 ",$264 
Liver Transplant W/O Mcc,"$370,741 ",$0 
Local Excision  Removal Int Fix Devices Exc Hip  Femur W Cc,"$94,609 ",$542 
Local Excision  Removal Int Fix Devices Exc Hip  Femur W Mcc,"$141,527 ",$0 
Local Excision  Removal Int Fix Devices Exc Hip  Femur W/O Cc/Mcc,"$75,362 ",$419 
Local Excision  Removal Int Fix Devices Of Hip  Femur W Cc/Mcc,"$124,815 ",$430 
Local Excision  Removal Int Fix Devices Of Hip  Femur W/O Cc/Mcc,"$88,563 ",$0 
"Lower Extrem  Humer Proc Except Hip,Foot,Femur W Cc","$122,018 ",$795 
"Lower Extrem  Humer Proc Except Hip,Foot,Femur W Mcc","$168,136 ",$516 
"Lower Extrem  Humer Proc Except Hip,Foot,Femur W/O Cc/Mcc","$85,736 ",$855 
Lung Transplant,"$695,566 ","$1,641 "
Lymphoma  Leukemia W Major O.R. Procedure W Cc,"$142,128 ",$0 
Lymphoma  Leukemia W Major O.R. Procedure W Mcc,"$343,483 ",$130 
Lymphoma  Leukemia W Major O.R. Procedure W/O Cc/Mcc,"$72,586 ",$207 
Lymphoma  Non-Acute Leukemia W Cc,"$85,934 ",$560 
Lymphoma  Non-Acute Leukemia W Mcc,"$182,706 ",$776 
Lymphoma  Non-Acute Leukemia W Other Proc W Cc,"$149,849 ","$2,169 "
Lymphoma  Non-Acute Leukemia W Other Proc W Mcc,"$115,653 ",$0 
Lymphoma  Non-Acute Leukemia W Other Proc W/O Cc/Mcc,"$110,491 ",$0 
Lymphoma  Non-Acute Leukemia W/O Cc/Mcc,"$49,063 ",$615 
Major Bladder Procedures W Cc,"$157,362 ",$171 
Major Bladder Procedures W Mcc,"$330,952 ",$0 
Major Bladder Procedures W/O Cc/Mcc,"$146,238 ",$435 
Major Chest Procedures W Cc,"$138,406 ",$447 
Major Chest Procedures W Mcc,"$201,663 ",$532 
Major Chest Procedures W/O Cc/Mcc,"$103,704 ",$896 
Major Chest Trauma W Cc,"$44,353 ",$670 
Major Chest Trauma W Mcc,"$58,437 ",$299 
Major Chest Trauma W/O Cc/Mcc,"$24,936 ",$707 
Major Esophageal Disorders W Cc,"$34,326 ",$191 
Major Esophageal Disorders W Mcc,"$77,362 ",$908 
Major Esophageal Disorders W/O Cc/Mcc,"$41,594 ",$0 
Major Gastrointestinal Disorders  Peritoneal Infections W Cc,"$40,542 ",$115 
Major Gastrointestinal Disorders  Peritoneal Infections W Mcc,"$55,825 ",$133 
Major Gastrointestinal Disorders  Peritoneal Infections W/O Cc/Mcc,"$26,672 ",$696 
Major Head  Neck Procedures W Cc/Mcc Or Major Device,"$212,016 ",$474 
Major Head  Neck Procedures W/O Cc/Mcc,"$131,764 ",$880 
Major Hematol/Immun Diag Exc Sickle Cell Crisis  Coagul W Cc,"$41,899 ",$306 
Major Hematol/Immun Diag Exc Sickle Cell Crisis  Coagul W Mcc,"$93,602 ",$318 
Major Hematol/Immun Diag Exc Sickle Cell Crisis  Coagul W/O Cc/Mcc,"$13,681 ",$644 
Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity W Mcc Or Total Ankle Replacement,"$127,850 ",$771 
Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity W/O Mcc,"$77,851 ",$813 
Major Joint/Limb Reattachment Procedure Of Upper Extremities,"$98,564 ",$568 
Major Male Pelvic Procedures W Cc/Mcc,"$187,920 ",$821 
Major Male Pelvic Procedures W/O Cc/Mcc,"$137,054 ","$1,029 "
Major Shoulder Or Elbow Joint Procedures W Cc/Mcc,"$122,639 ",$0 
Major Shoulder Or Elbow Joint Procedures W/O Cc/Mcc,"$72,652 ",$0 
Major Skin Disorders W Mcc,"$50,925 ",$125 
Major Skin Disorders W/O Mcc,"$31,176 ",$708 
Major Small  Large Bowel Procedures W Cc,"$147,990 ",$673 
Major Small  Large Bowel Procedures W Mcc,"$262,411 ",$556 
Major Small  Large Bowel Procedures W/O Cc/Mcc,"$110,493 ",$624 
Major Thumb Or Joint Procedures,"$97,264 ","$1,862 "
Malignancy Of Hepatobiliary System Or Pancreas W Cc,"$43,310 ",$405 
Malignancy Of Hepatobiliary System Or Pancreas W Mcc,"$72,662 ",$153 
Malignancy Of Hepatobiliary System Or Pancreas W/O Cc/Mcc,"$28,545 ",$0 
"Malignancy, Female Reproductive System W Cc","$29,154 ",$44 
"Malignancy, Female Reproductive System W Mcc","$38,840 ",$217 
"Malignancy, Male Reproductive System W Cc","$14,127 ",$488 
Malignant Breast Disorders W Cc,"$60,094 ",
Malignant Breast Disorders W Mcc,"$9,043 ",
Malignant Breast Disorders W/O Cc/Mcc,"$34,362 ",$876 
Mastectomy For Malignancy W Cc/Mcc,"$89,551 ",$0 
Medical Back Problems W Mcc,"$58,666 ",$434 
Medical Back Problems W/O Mcc,"$42,755 ",$388 
Menstrual  Other Female Reproductive System Disorders W Cc/Mcc,"$17,802 ",$733 
Menstrual  Other Female Reproductive System Disorders W/O Cc/Mcc,"$23,135 ","$1,490 "
