"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
18,11008,PR REMOVE MESH FROM ABD WALL FOR INFECTION,"$1,996.00",
19,11010,PR DEBRIDE ASSOC OPEN FX/DISLOC SKIN/SUBQ,"$1,851.00",
20,11011,PR DEBRIDE ASSOC OPEN FX/DISLOC SKIN/MUSCLE,"$1,898.00",
21,11042,"PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,=<20 SQ CM",$705.00,
22,11043,"PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,=<20 SQ CM","$1,266.00",
23,11044,"PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE,=<20 SQ CM","$1,553.00",
24,11045,"PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,EACH ADD 20 SQ CM",$153.00,
25,11046,"PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,EACH ADD 20 SQ CM",$285.00,
26,11047,"PR DEBRIDEMENT, SKIN, SUB-Q TISSUE,MUSCLE,BONE,EACH ADD 20 SQ CM",$489.00,
27,11055,"PR TRIM HYPERKERATOTIC SKIN LESION, ONE",$144.00,
28,11056,"PR TRIM BENIGN HYPERKERATOTIC SKIN LESION,2-4",$154.00,
29,11057,"PR TRIM BENIGN HYPERKERATOTIC SKIN LESION,>4",$218.00,
30,11100,PR BIOPSY OF SKIN LESION,$263.00,
31,11101,"PR BIOPSY, EACH ADDED LESION",$154.00,
32,11200,"PR REMOVAL OF SKIN TAGS, UP TO 15",$274.00,
33,11201,"PR REMOVAL OF SKIN TAGS, EACH ADD 10",$141.00,
34,11300,"PR SHAV SKIN LES < 0.5 CM TRUNK,ARM,LEG",$187.00,
35,11301,"PR SHAV SKIN LES 0.6-1.0 CM TRUNK,ARM,LEG",$563.00,
36,11302,"PR SHAV SKIN LES 1.1-2.0 CM TRUNK,ARM,LEG",$544.00,
37,11303,"PR SHAV SKIN LES >2.1 CM TRUNK,ARM,LEG",$308.00,
38,11305,PR SHAV SKIN LES <0.5 CM REMAINDER BODY,$202.00,
39,11306,PR SHAV SKIN LES 0.6-1.0 CM REMAINDER BODY,$246.00,
40,11307,PR SHAV SKIN LES 1.1-2.0 CM REMAINDER BODY,$335.00,
41,11310,"PR SHAV SKIN LES <0.5 CM FACE,FACIAL",$249.00,
42,11311,"PR SHAV SKIN LES 0.6-1.0 CM FACE,FACIAL",$269.00,
43,11312,"PR SHAV SKIN LES 1.1-2.0 CM FACE,FACIAL",$283.00,
44,11400,"PR EXC SKIN BENIG <0.5 CM TRUNK,ARM,LEG",$361.00,
45,11401,"PR EXC SKIN BENIG 0.6-1 CM TRUNK,ARM,LEG",$395.00,
46,11402,"PR EXC SKIN BENIG 1.1-2 CM TRUNK,ARM,LEG",$468.00,
47,11403,"PR EXC SKIN BENIG 2.1-3 CM TRUNK,ARM,LEG",$600.00,
48,11404,"PR EXC SKIN BENIG 3.1-4 CM TRUNK,ARM,LEG",$891.00,
49,11406,"PR EXC SKIN BENIG >4 CM TRUNK,ARM,LEG","$1,199.00",
50,11420,PR EXC SKIN BENIG <0.5 CM REMAINDER BODY,$423.00,
51,11421,PR EXC SKIN BENIG 0.6-1 CM REMAINDR BODY,$645.00,
52,11422,PR EXC SKIN BENIG 1.1-2 CM REMAINDR BODY,$512.00,
53,11423,PR EXC SKIN BENIG 2.1-3 CM REMAINDR BODY,$732.00,
54,11424,PR EXC SKIN BENIG 3.1-4 CM REMAINDR BODY,"$1,237.00",
55,11426,PR EXC SKIN BENIG >4 CM REMAINDR BODY,"$1,287.00",
56,11440,"PR EXC SKIN BENIG <0.5 CM FACE,FACIAL",$719.00,
57,11441,"PR EXC SKIN BENIG 0.6-1 CM FACE,FACIAL",$595.00,
58,11442,"PR EXC SKIN BENIG 1.1-2 CM FACE,FACIAL",$677.00,
59,11443,"PR EXC SKIN BENIG 2.1-3 CM FACE,FACIAL",$819.00,
60,11444,"PR EXC SKIN BENIG 3.1- 4 CM FACE,FACIAL","$1,164.10",
61,11446,"PR EXC SKIN BENIG >4 CM FACE,FACIAL","$1,506.00",
62,11600,"PR EXC SKIN MALIG <0.5 CM TRUNK,ARM,LEG",$443.00,
63,11601,"PR EXC SKIN MALIG 0.6-1 CM TRUNK,ARM,LEG",$566.00,
64,11602,"PR EXC SKIN MALIG 1.1-2 CM TRUNK,ARM,LEG",$733.00,
65,11603,"PR EXC SKIN MALIG 2.1-3 CM TRUNK,ARM,LEG",$901.00,
66,11604,"PR EXC SKIN MALIG 3.1-4 CM TRUNK,ARM,LEG","$1,111.00",
67,11606,"PR EXC SKIN MALIG >4 CM TRUNK,ARM,LEG","$1,620.00",
68,11620,PR EXC SKIN MALIG <0.5 CM REMAINDER BODY,$674.00,
69,11621,PR EXC SKIN MALIG 0.6-1 CM REMAINDR BODY,$836.00,
70,11622,PR EXC SKIN MALIG 1.1-2 CM REMAINDR BODY,$989.00,
71,11623,PR EXC SKIN MALIG 2.1-3 CM REMAINDR BODY,"$1,141.00",
72,11624,PR EXC SKIN MALIG 3.1-4 CM REMAINDR BODY,"$1,440.00",
73,11626,PR EXC SKIN MALIG >4 CM REMAINDR BODY,"$1,800.00",
74,11640,"PR EXC SKIN MALIG <0.5 CM FACE,FACIAL",$769.00,
75,11641,"PR EXC SKIN MALIG 0.6-1CM FACE,FACIAL",$977.00,
76,11642,"PR EXC SKIN MALIG 1.1-2 CM FACE,FACIAL","$1,252.00",
77,11643,"PR EXC SKIN MALIG 2.1-3 CM FACE,FACIAL","$1,501.00",
78,11644,"PR EXC SKIN MALIG 3.1-4 CM FACE,FACIAL","$1,740.00",
79,11646,"PR EXC SKIN MALIG >4 CM FACE,FACIAL","$2,113.00",
80,11719,PR TRIM NAIL(S),$111.00,
81,11720,"PR DEBRIDEMENT OF NAIL(S), 1-5",$112.00,
82,11721,"PR DEBRIDEMENT OF NAILS, 6 OR MORE",$143.00,
83,11730,PR REMOVAL OF NAIL PLATE,$232.00,
84,11732,PR REMOVE ADDITIONAL NAIL PLATE,$146.00,
85,11740,PR DRAIN BLOOD FROM UNDER NAIL,$159.00,
86,11750,PR REMOVAL OF NAIL BED,$716.00,
87,11755,"PR BIOPSY, NAIL UNIT (SEP PROC)",$334.00,
88,11760,PR RECONSTRUC OF NAIL BED,$875.00,
89,11765,"PR EXCISION OF NAIL FOLD, TOE",$477.00,
90,11771,PR REMV PILONIDAL LESION EXTENS,"$2,013.00",
91,11900,"PR INJECTION INTO SKIN LESIONS, UP TO 7",$126.00,
92,11901,"PR INJECTION INTO SKIN LESIONS, 8 OR MORE",$185.00,
93,11950,PR FILL CONTOUR DEFCT <1CC,$528.00,
94,11951,PR FILL CONTOUR DEFCT 1.1-5CC,$592.00,
95,11952,PR FILL CONTOUR DEFCT 5.1-10CC,$582.00,
96,11960,PR INSERT TISSUE EXPANDER(S),"$7,074.36",
97,11970,PR REPLACE TISSUE EXPANDER,"$4,342.00",
98,11971,PR REMOVE TISSUE EXPANDER(S),"$1,110.00",
99,11976,PR REMOVAL OF CONTRACEPTIVE CAPSUL,$370.00,
100,11981,PR INSERTION DRUG IMPLANT DEVICE,"$2,312.29",
101,11982,PR REMOVAL DRUG IMPLANT DEVICE,"$2,284.00",
102,11983,PR REMOVAL W/ REINSERT DRUG IMPLANT DEVICE,"$1,957.00",
103,12001,PR RESUPERF WND BODY <2.5CM,$421.00,
104,12002,PR RESUP NPTERF WND BODY 2.6-7.5 CM,$497.00,
105,12004,PR RESUPERF WND BODY 7.6-12.5 CM,$593.00,
106,12006,PR RESUPERF WND BODY 20.1-30 CM,$892.00,
107,12011,PR RESUPERF WND FACE <2.5 CM,$462.00,
108,12013,PR RESUPERF WND FACE 2.6-5 CM,$566.00,
109,12014,PR RESUPERF WND FACE 5.1-7.5 CM,$615.00,
110,12020,PR CLOSURE SUPERF WND DEHIS SIMPLE,$801.00,
111,12021,PR CLOSURE SUPERF WND DEHIS W PACKING,$606.00,
112,12031,"PR LAYR CLOS WND TRUNK,ARM,LEG <2.5 CM",$616.00,
113,12032,"PR LAYR CLOS WND TRUNK,ARM,LEG 2.6-7.5 CM",$660.00,
114,12034,"PR LAYR CLOS WND TRUNK,ARM,LEG 7.6-12.5 CM",$952.00,
115,12035,"PR LAYR CLOS WND TRUNK,ARM,LEG 12.6-20 CM","$1,145.00",
116,12036,"PR LAYR CLOS WND TRUNK,ARM,LEG 20.1-30 CM","$1,284.00",
117,12037,"PR LAYR CLOS WND TRUNK,ARM,LEG >30 CM","$1,930.00",
118,12041,PR LAYR CLOS WND REST BODY <2.5 CM,$644.00,
119,12042,PR LAYR CLOS WND REST BODY 2.6-7.5 CM,$689.00,
120,12044,PR LAYR CLOS WND REST BODY 7.6-12.5 CM,$871.00,
121,12045,PR LAYR CLOS WND REST BODY 12.6-20 CM,$906.00,
122,12046,PR LAYR CLOS WND REST BODY 20.1-30 CM,"$1,173.00",
123,12047,PR LAYR CLOS WND REST BODY >30 CM,"$1,764.00",
124,12051,"PR LAYR CLOS WND FACE,FACIAL <2.5 CM",$899.00,
125,12052,"PR LAYR CLOS WND FACE,FACIAL 2.5-5 CM",$769.00,
126,12053,"PR LAYR CLOS WND FACE,FACIAL 5.1-7.5 CM",$956.00,
127,12054,"PR LAYR CLOS WND FACE,FACIAL 7.6-12.5 CM","$1,213.00",
128,12055,"PR LAYR CLOS WND FACE,FACIAL 12.6-20 CM","$1,516.00",
129,12056,"PR LAYR CLOS WND FACE,FACIAL 20.1-30 CM","$1,867.00",
130,13100,PR RECMPL WND TRUNK 1.1-2.5 CM,$813.00,
131,13101,PR RECMPL WND TRUNK 2.6-7.5 CM,$977.00,
132,13102,"PR REP,SKIN,TRUNK,CMPLX,+5 CM/<",$540.00,
133,13120,"PR RECMPL WND SCALP,EXTR 1.1-2.5 CM",$962.00,
134,13121,"PR RECMPL WND SCALP,EXTR 2.6-7.5 CM","$1,296.00",
135,13122,"PR REP,SKIN,SCALP/EXTREM+5 CM/<",$491.00,
136,13131,"PR RECMPL WND HEAD,FAC,HAND 1.1-2.5 CM","$1,088.76",
137,13132,"PR RECMPL WND HEAD,FAC,HAND 2.6-7.5 CM","$1,725.00",
138,13133,"PR REPR,FACE,GENITAL,HAND,FT+5 CMCM/<","$1,078.00",
139,13151,"PR RECMPL WND LID,NOS,EAR 1.1-2.5 CM","$1,242.00",
140,13152,"PR RECMPL WND LID,NOS,EAR 2.5-7.5 CM","$2,272.00",
141,13153,"PR REPR,EYELID,NOSE,EAR,LIP+5 CM","$1,854.00",
142,13160,PR SECD CLOS SURG WND EXTEN/COMPLIC,"$3,373.00",
143,14000,PR ADJ TISS XFER TRUNK <10 SQCM,"$1,914.02",
144,14001,PR ADJ TISS XFER TRUNK 10.1-30 SQCM,"$2,885.00",
145,14020,"PR ADJ TISS XFER SCALP,EXTREM <10 SQCM","$2,252.00",
146,14021,"PR ADJ TISS XFER SCALP,EXTREM 10.1-30 SQCM","$3,749.00",
147,14040,"PR ADJ TISS XFER HEAD,FAC,HAND <10 SQCM","$2,835.00",
148,14041,"PR ADJ TISS XFER HEAD,FAC,HAND 10.1-30 SQCM","$3,352.00",
149,14060,"PR ADJ TISS XFER LID,NOS,EAR <10 SQCM","$3,352.00",
150,14061,"PR ADJ TISS XFER LID,NOS,EAR 10.1-30 SQCM","$4,530.00",
151,14301,"PR ADJ TISS XFER ANY AREA,30.1-60 SQCM","$5,421.00",
152,14302,"PR ADJ TISS XFER ANY AREA,EA ADD 30.0 SQCM","$1,598.00",
153,15002,"PR WOUND PREP, PED, TRK/ARM/LG 1ST 100 CM","$1,566.00",
154,15003,"PR WOUND PREP, PED, TRK/ARM/LG ADDL 100 CM",$344.00,
155,15040,"PR SKIN GRAFT, HARVEST CULTURED TISSUE",$938.00,
156,15100,"PR SPLIT GRFT TRUNK,ARM,LEG <100 SQCM","$3,067.00",
157,15101,"PR SPLIT GRFT,TRUNK,ARM,LEG EA 100 SQCM","$1,281.00",
158,15120,"PR SPLIT GRFT,HEAD,FAC,HAND,FEET <100 SQCM","$3,848.00",
159,15121,"PR SPLIT GRFT,HEAD,FAC,HAND,FEET EA 100 SQCM","$1,889.00",
160,15130,"PR DERM AUTOGRFT, TRNK/ARM/LEG <100 SQCM","$3,000.00",
161,15200,PR FULL THICK GRFT TRUNK <20 SQCM,"$2,938.25",
162,15201,PR FULL THICK GRFT TRUNK ADD 20 SQCM,$998.00,
163,15220,"PR FULL THICK GRFT SCALP,ARM,LEG <20SQC","$2,741.00",
164,15221,"PR FULL THICK GRFT SCALP,ARM ADD 20 SQCM","$1,284.00",
165,15240,"PR FULL THICK GRFT HEAD,FAC,HAND <20SQC","$3,778.00",
166,15241,"PR FULL THICK GRFT HEAD,FAC,HA ADD 20SQ","$1,748.00",
167,15260,"PR FULL THICK GRFT NOS,EAR,LID <20 SQCM","$3,723.00",
168,15261,"PR FULL THICK GRFT NOS,EAR,LID ADD 20SQ","$1,830.00",
169,15271,PR APP SKN SUB GRFT T/A/L AREA/<100SCM /<1ST 25 SCM,$606.00,
170,15272,PR APP SKN SUB GRFT T/A/L AREA/<100SCM EA ADL 25SCM,$133.00,
171,15273,PR APP SKN SUB GRFT T/A/L AREA/>100SCM 1ST 100SCM,"$1,414.00",
172,15274,PR APP SKN SUB GRFT T/A/L AREA/>100SCM ADL 100SCM,$323.00,
173,15275,PR SUB GRFT F/S/N/H/F/G/M/D /<100SCM /<1ST 25 SCM,$740.00,
174,15276,PR SUB GRFT F/S/N/H/F/G/M/D /<100SCM EA ADL 25SCM,$202.00,
175,15277,PR SUB GRFT F/S/N/H/F/G/M/D />100SCM 1ST 100SCM,"$1,617.00",
176,15278,PR SUB GRFT F/S/N/H/F/G/M/D />100SCM ADL 100SCM,$404.00,
177,15576,"PR FORM SKIN PEDICLE FLAP LID,EAR,NOSE","$4,226.00",
178,15630,"PR DELAY/SECTN FLAP LID,NOS,EAR,LIP","$2,638.00",
179,15730,PR MIDFACE FLAP W/PRESERVATION OF VASCULAR PEDICLES,"$6,074.00",
180,15731,PR FOREHEAD FLAP W/VASC PEDICLE,"$7,536.00",
181,15733,PR MUSC MYOQ/FSCQ FLAP HEAD&NECK W/NAMED VASC PEDCL,"$7,055.00",
182,15734,"PR MUSCLE-SKIN FLAP,TRUNK","$8,839.00",
183,15736,"PR MUSCLE-SKIN FLAP,ARM","$7,063.00",
184,15738,"PR MUSCLE-SKIN FLAP,LEG","$7,411.00",
185,15740,PR FLAP ISLAND PEDICLE ANATOMIC NAMED AXIAL ARTERY,"$5,479.00",
186,15750,PR NEUROVASCULAR PEDICLE GRAFT,"$5,609.00",
187,15756,PR FREE MUSC-SKIN FLAP W/MICROVASC ANAST,"$15,608.00",
188,15757,PR FREE SKIN FLAP W MICROVASC ANAST,"$17,925.00",
189,15758,PR FREE FASCIAL FLAP W MICROVASC ANAST,"$17,601.00",
190,15760,PR COMPOSITE SKIN GRAFT,"$3,968.00",
191,15777,PR IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,"$4,615.00",
192,15788,"PR CHEM PEEL, FACE, EPIDERM","$3,408.00",
193,15792,"PR CHEM PEEL, NONFACIAL EPIDERM",$947.00,
194,15793,"PR CHEM PEEL, NONFACIAL DERMAL","$1,199.00",
195,15822,PR REVISION OF UPPER EYELID,"$2,848.00",
196,15823,PR REV UPPER EYELID W EXCESS SKIN,"$3,281.00",
197,15830,"PR EXCISE EXCESS SKIN TISSUE,ABDOMEN","$7,251.00",
198,15832,"PR EXCISE EXCESS SKIN TISSUE,THIGH","$4,514.00",
199,15833,"PR EXCISE EXCESS SKIN TISSUE,LEG","$4,417.00",
200,15836,"PR EXCISE EXCESS SKIN TISSUE,ARM","$4,859.00",
201,15839,"PR EXCISE EXCESS SKIN TISSUE,OTHER","$4,087.00",
202,15840,"PR GRAFT FACE N PALSY,FREE FASCIA","$8,120.00",
203,15852,"PR DRESSING CHANGE,NOT FOR BURN",$549.00,
204,15860,PR IV INJ TO TEST BLOOD FLOW IN FLAP/GRAFT,$663.00,
205,15876,"PR SUCT ASSIS LIPECTOMY,HEAD/NECK","$1,468.00",
206,15877,"PR SUCT ASSIS LIPECTOMY,TRUNK","$10,022.65",
207,15878,"PR SUCT ASSIS LIPECTOMY,UP EXTREM","$2,623.00",
208,15879,"PR SUCT ASSIS LIPECTOMY,LOW EXTREM","$2,623.00",
209,15936,PR EXC SACR PRESS ULC W MUSC FLAP CLO,"$3,150.00",
210,16020,PR DRESS/DEBRID SMALL BURN NO ANES,$323.00,
211,17000,"PR DESTRUC BENIGN/PREMAL,FIRST LESION",$190.00,
212,17003,"PR DESTRUC BENIGN/PREMAL,2-14 LESIONS",$59.00,
213,17004,"PR DESTRUC BENIGN/PREMAL,15+ LESIONS",$639.00,
214,17110,PR DESTRUCTION BENIGN LESIONS UP TO 14,$264.00,
215,17111,PR DESTRUCTION BENIGN LESIONS 15 OR MORE,$243.00,
216,17250,PR CHEMICAL CAUTERIZATION OF GRANULATION TISSUE,$163.00,
217,17260,"PR DESTR MALIG TRUNK,EXTREM <0.6 CM",$263.00,
218,17261,"PR DESTR MALIG TRUNK,EXTREM 0.6-1 CM",$362.00,
219,17262,"PR DESTR MALIG TRUNK,EXTREM 1.1-2 CM",$441.00,
220,17263,"PR DESTR MALIG TRUNK,EXTREM 2.1-3 CM",$512.00,
221,17264,"PR DESTR MALIG TRUNK,EXTREM 3.1-4 CM",$488.00,
222,17266,"PR DESTR MALIG TRUNK,EXTREM >4.0 CM",$608.00,
223,17270,"PR DESTR MALIG SCAL,NCK,HAND <0.6 CM",$317.00,
224,17271,"PR DESTR MALIG SCAL,NCK,HAND 0.6-1 CM",$404.00,
225,17272,"PR DESTR MALIG SCAL,NCK,HAND 1.1-2 CM",$483.00,
226,17273,"PR DESTR MALIG SCAL,NCK,HAND 2.1-3 CM",$512.00,
227,17274,"PR DESTR MALIG SCAL,NCK,HAND 3.1-4 CM",$560.00,
228,17276,"PR DESTR MALIG SCAL,NCK,HAND >4 CM",$632.00,
229,17280,"PR DESTR MALIG FACE,NOSE,LIP <0.6 CM",$389.00,
230,17281,"PR DESTR MALIG FACE,NOSE,LIP 0.6-1 CM",$469.00,
231,17282,"PR DESTR MALIG FACE,NOSE,LIP 1.1-2 CM",$538.00,
232,17283,"PR DESTR MALIG FACE,NOSE,LIP 2.1-3 CM",$560.00,
233,17284,"PR DESTR MALIG FACE,NOSE,LIP 3.1-4 CM",$933.33,
234,17286,"PR DESTR MALIG FACE,NOSE,LIP >4 CM",$845.00,
235,17311,"PR MOHS, 1 STAGE, HEAD/NECK/HAND/FEET/GENTIAL","$1,455.00",
236,17312,"PR MOHS,  ADDL STAGE, HEAD/NECK/HAND/FEET/GENTIAL",$852.00,
237,17313,"PR MOHS, 1 STAGE, TRUNK/ARM/LEG","$1,387.00",
238,17314,"PR MOHS, ADDL STAGE, TRUNK/ARM/LEG",$837.00,
239,17315,"PR MOHS SURG, ADDL BLOCK",$149.00,
240,17380,PR HAIR REMOV ELECTROLYSIS EA 1/2 HR,$176.00,
241,17999,PB UNLISTED PX SKIN MUC MEMBRANE & SUBQ TISSUE ,$240-$4615,
242,19000,PR PUNC/ASPIR BREAST CYST,$318.00,
243,19001,"PR PUCT/ASPIR BREAST CYST,EACH ADDN",$179.00,
244,19020,PR EXPLO/DRAIN BREAST ABSCESS,"$1,304.00",
245,19030,PR INJECT DUCTOGRAM/GALACTOGRAM,$993.00,
246,19081,PR BX BREAST W DEVICE 1ST LESION STEREOTACTIC GUIDE,"$1,391.00",
247,19082,PR BX BREAST W DEVICE ADDL LESION STEREOTACT GUIDE,"$1,100.00",
248,19083,PR BX BREAST W DEVICE 1ST LESION ULTRASOUND GUIDE,"$1,362.00",
249,19084,PR BX BREAST W DEVICE ADDL LESION ULTRASOUND GUIDE,"$1,084.00",
250,19085,PR BX BREAST W DEVICE 1ST LESION MAGNETIC RES GUIDE,"$2,055.00",
251,19086,PR BX BREAST W DEVICE ADDL LESION MAGNET RES GUIDE,"$1,509.00",
252,19100,"PR BIOPSY OF BREAST, NEEDLE CORE",$641.03,
253,19101,"PR BIOPSY OF BREAST, INCISIONAL","$1,381.00",
254,19110,PR NIPPLE EXPLORATION,"$1,526.00",
255,19120,PR EXCISE BREAST CYST,"$1,750.00",
256,19125,PR EXCISE BREAST LES W XRAY MARKER,"$1,606.00",
257,19126,PR EXCISE BREAST LES XRAY MARK ADDNL,"$1,166.00",
258,19260,PR EXCIS CHEST WALL TUMOR/RIBS,"$5,704.00",
259,19271,PR EXCIS CHEST WALL TUM W RECON,"$10,505.00",
260,19272,PR EXTENSIVE CHEST WALL SURGERY,"$9,412.00",
261,19281,PR PERQ DEVICE PLACEMT BREAST LOC 1ST LES W GUIDNCE,$846.00,
262,19282,PR PERQ DEVICE PLACEMT BREAST LOC EA LES W GUIDNCE,$423.00,
263,19283,PR PERQ BREAST LOC DEVICE PLACEMT 1ST STRTCTC GUID,$846.00,
264,19284,PR PERQ BREAST LOC DEVICE PLACEMT EA LESION STRTCTC,$423.00,
265,19285,PR PERQ BREAST LOC DEVICE PLACEMT 1ST LESIO US IMAG,$942.00,
266,19286,PR PERQ BREAST LOC DEVICE PLACEMT EACH LES US IMAGE,$705.00,
267,19287,PR PERQ BREAST LOC DEVICE PLACEMT 1ST LESIO MR GUID,"$1,750.00",
268,19288,PR PERQ BREAST LOC DEVICE PLACEMT ADD LESIO MR GUID,"$1,062.00",
269,19300,PR MASTECTOMY FOR GYNECOMASTIA,"$3,565.00",
270,19301,"PR MASTECTOMY, PARTIAL","$2,989.00",
271,19302,"PR MASTECTOMY,PARTIAL,  WITH AXILLARY LYMPHADENECTOMY","$5,847.00",
272,19303,"PR MASTECTOMY, SIMPLE, COMPLETE","$4,304.00",
273,19305,"PR MASTECTOMY, RADICAL","$5,419.00",
274,19307,"PR MASTECTOMY, MODIFIED RADICAL","$5,990.00",
275,19316,PR SUSPENSION OF BREAST,"$6,551.00",
276,19318,PR REDUCTION OF LARGE BREAST,"$8,314.00",
277,19325,PR ENLARGE BREAST WITH IMPLANT,"$5,261.00",
278,19328,PR REMOVAL OF BREAST IMPLANT,"$3,686.00",
279,19330,PR REMOVAL OF IMPLANT MATERIAL,"$3,893.00",
280,19340,PR INSERT BREAST PROS IMMED AFTER EXCIS,"$4,497.44",
281,19342,PR DELAY BREAST PROS AFTER BREAST SURG,"$7,548.00",
282,19350,PR NIPPLE/AREOLA RECONSTRUCTION,"$5,888.00",
283,19355,PR CORRECT INVERTED NIPPLE(S),"$1,915.00",
284,19357,PR BREAST RECONSTRUC W TISS EXPANDR,"$9,907.00",
285,19361,PR BREAST RECONSTRUC W LAT DORSI FLAP,"$16,503.00",
286,19364,PR BREAST RECONSTRUC W FREE FLAP,"$42,307.69",
287,19366,PR BREAST RECONSTRUC W OTHR TECHNIQ,"$10,935.00",
288,19367,PR BREAST RECONSTRUCT W TRAM 1 PEDICL,"$18,957.00",
289,19370,PR SURGERY OF BREAST CAPSULE,"$5,347.00",
290,19371,PR REMOVAL OF BREAST CAPSULE,"$6,844.00",
291,19380,PR REVISE BREAST RECONSTRUCTION,"$4,965.00",
292,20005,PR I&D SOFT TISSUE ABSCESS SUBFASCIAL,"$1,180.00",
293,20200,PR MUSCLE BIOPSY,$606.00,
294,20205,PR DEEP MUSCLE BIOPSY,"$1,002.00",
