Entity,Service Description,Price
BHM,Abdomen 3 or more view XR,$826.00 
BHM,Abdomen 3 or more view XR UC,$826.00 
BHM,Abdomen retrop biopsy surg,"$1,424.00 "
BHM,Abdominal complete US,"$1,648.00 "
BHM,Abdominal complete US UC,"$1,648.00 "
BHM,Abdominal pelv duplex US ltd,$575.00 
BHM,Abdominal pelv duplx US ltd UC,$575.00 
BHM,Abdominal pelvic duplex US,"$1,428.00 "
BHM,Abdominal pelvic duplex US UC,"$1,428.00 "
BHM,Abdominal US limited,"$1,300.00 "
BHM,Abdominal US limited UC,"$1,300.00 "
BHM,Abdominal US limited w con,"$1,300.00 "
BHM,Ablat perc cryo renal tum,"$17,332.00 "
BHM,Ablation adrenal tumor cryo,"$9,212.00 "
BHM,Ablation ire abd perit omentum,"$17,442.00 "
BHM,Ablation ire liver,"$17,442.00 "
BHM,Ablation IRE lymph node,"$17,442.00 "
BHM,Ablation ire pancreas,"$17,442.00 "
BHM,Ablation of lr atria -af addl,"$14,919.00 "
BHM,Ablation study AV node,"$19,393.00 "
BHM,Ablatn diff arrhyth mech addl,"$16,393.00 "
BHM,Abraxane 1 mg Inj,$72.00 
BHM,Absc fistulat sinus tract xr,"$1,581.00 "
BHM,Ac jnts bil w or wo weights UC,$628.00 
BHM,AC joints bil w or wo weights,$628.00 
BHM,Acarbose 50mg tab,$1.00 
BHM,Accuneb 1.25mg/3ml inh,$1.00 
BHM,Acetabular liner 52 71335 2,"$11,615.00 "
BHM,Acetabular shell 3 hl 71335 2,"$14,697.00 "
BHM,Acetabular shell 50 54211 e,"$8,827.00 "
BHM,Acetabular shell 52 54211 e,"$8,827.00 "
BHM,Acetabulr cup 48mm 121732 8,"$10,812.00 "
BHM,Acetabulr cup 50mm 121732 0,"$10,812.00 "
BHM,Acetabulr cup 56mm 121730 6,"$14,932.00 "
BHM,Acetabulr cup cocr 42 62600 e,"$8,846.00 "
BHM,Acetabulr depuy 122136 6,"$6,900.00 "
BHM,Acetabulr hip insrt36 62310 e,"$8,649.00 "
BHM,Acetabulr insrt rest 12362 8,"$6,969.00 "
BHM,Acetabulr ti shell 54 50902 e,"$14,460.00 "
BHM,Acetaminophen 10mg/ml 100ml vl,$442.00 
BHM,Acetaminophen 10mg/ml 1ml ped,$4.00 
BHM,Acetaminophen 120mg supp,$0.00 
BHM,Acetaminophen 120mg supp UC,$0.00 
BHM,Acetaminophen 160mg susp,$0.00 
BHM,Acetaminophen 160mg/5ml 20.3ml,$0.00 
BHM,Acetaminophen 325mg supp,$0.00 
BHM,Acetaminophen 325mg tab,$0.00 
BHM,Acetaminophen 325mg tab UC,$0.00 
BHM,Acetaminophen 32mg/ml susp UC,$0.00 
BHM,Acetaminophen 500mg tab,$0.00 
BHM,Acetaminophen 500mg tab UC,$0.00 
BHM,Acetaminophen 650mg supp,$0.00 
BHM,Acetaminophen 80mg supp UC,$2.00 
BHM,Acetaminophen Drug Level,$269.00 
BHM,Acetaminophen susp 80mg/2.5ml,$0.00 
BHM,Acetaminophen/caff/butal tab,$1.00 
BHM,Acetazolamide 125mg tab,$3.00 
BHM,Acetazolamide 25 mg/1 ml susp,$1.00 
BHM,Acetazolamide 250mg tab,$8.00 
BHM,Acetazolamide 500mg sr cap,$17.00 
BHM,Acetazolamide sodium 500mg vl,$229.00 
BHM,Acetazolamide/water 100mg/ml,$85.00 
BHM,Acetylchol receptor block Ab,$40.00 
BHM,Acetylchol receptor modul Abs,$170.00 
BHM,Acetylcholine receptor assay,$50.00 
BHM,Acetylcystein 10% 400mg/4mlinh,$9.00 
BHM,Acetylcystein 20% 800mg/4mlinh,$16.00 
BHM,Acetylcystein D5W 10mg/mlPEDIV,$6.00 
BHM,Acetylcystein D5W 40mg/mlPEDIV,$24.00 
BHM,Acetylcysteine 100 mg inj,$45.00 
BHM,Acetylcysteine 20% 6g/30ml inh,$57.00 
BHM,ACH-bone mar cytogenetics cult,$452.00 
BHM,ACH-fish cyto interp-99 1,$460.00 
BHM,ACH-fish cyto interp-99 4,$736.00 
BHM,ACH-mol path proc level 7,"$2,672.00 "
BHM,Acid fast smear,$219.00 
BHM,Acid fast smear(c),$212.00 
BHM,Act on bld-or,$110.00 
BHM,ACTH - Corticotropin,$48.00 
BHM,Actidose 25gm / 120ml liq,$0.00 
BHM,Activase recombinant 1mg inj,$440.00 
BHM,Activated charcoal 25g/120ml,$0.00 
BHM,Activated protein C resistance,$160.00 
BHM,Acyclovir 200mg cap,$1.00 
BHM,Acyclovir 200mg susp 5ml,$1.00 
BHM,Acyclovir 5mg/1ml ped/neo,$2.00 
BHM,Acyclovir 800mg tab,$1.00 
BHM,Acyclovir oral susp 400mg/10ml,$1.00 
BHM,Acyclovir sodium 50mg/ml 10ml,$165.00 
BHM,Acylcarnitines,$30.00 
BHM,A-D foil pk oint 5gm,$0.00 
BHM,Adalimumab 20mg inj,"$9,176.00 "
BHM,Adamts13 activity,$346.00 
BHM,Addl vessel angio rad,"$1,003.00 "
BHM,Adenosine 300mcg/ml 1ml ped IV,$20.00 
BHM,Adenosine 3mg/ml 2ml,$70.00 
BHM,Adenosine 3mg/ml 30ml,"$1,595.00 "
BHM,Adenosine deaminase on CSF,$240.00 
BHM,Adenovirus 40-41 antigen-stool,$38.00 
BHM,Adenovirus by PCR,$166.00 
BHM,Adenovirus isolation,$36.00 
BHM,Adenovirus titer-blood,$36.00 
BHM,Adenovirus titer-resp pnl(c),$148.00 
BHM,Adhesive Bioglue 2ml bg351 s,"$5,645.00 "
BHM,Adhesive bioglue 5ml bg3510 s,"$24,038.00 "
BHM,Adhesive Dermabnd zip 8 ps1 0,$690.00 
BHM,Adhesive Dermabnd zip16 ps1 0,$863.00 
BHM,Adhesive Dermabond 22 clr22 s,$758.00 
BHM,Adhesive Dermbnd adv0.7mldn 2,$173.00 
BHM,Adhesive lq Mastisol vial l,$17.00 
BHM,Adhesive skin Prineo clr60 s,"$1,227.00 "
BHM,Admin 1st vacc toxoid injection,$143.00 
BHM,Admin each additional vacc tox inj,$143.00 
BHM,Admin vacc flu injection,$143.00 
BHM,Admin vacc pneumonia injection,$143.00 
BHM,Ado-tratuzumab emtansine 1mg,$168.00 
BHM,Adrenal angio unilat rad,"$4,666.00 "
BHM,Adsorption- onebld,$310.00 
BHM,Aerobic bacteria id-each (c),$169.00 
BHM,Aerochamber dev/ m t,$194.00 
BHM,Aerochamber mask med m t,$261.00 
BHM,Aerochamber mask small mist,$99.00 
BHM,Aerosol pentamidine treatment,$626.00 
BHM,Aerosol qd sub UC,$189.00 
BHM,Aerosol tx init UC,$189.00 
BHM,Aerosol Tx initial,$189.00 
BHM,Aerosol Tx qd sub,$189.00 
BHM,Agar dilution mic - per drug,$182.00 
BHM,Agglutination grouping,$59.00 
BHM,Albendazole 200mg tab,$345.00 
BHM,Albumin (blood) UC,$66.00 
BHM,Albumin 25% 20ml,$396.00 
BHM,Albumin human 25% 50ml IV,$809.00 
BHM,Albumin human 5% 250ml IV,$722.00 
BHM,Albumin human 5% 50ml ped,$475.00 
BHM,Albumin-blood,$66.00 
BHM,Albumin-body fluid,$159.00 
BHM,Albumin-CSF,$159.00 
BHM,Albumin-urine,$137.00 
BHM,Albuter/ipratrop 2.5-0.5mg/3ml,$1.00 
BHM,Albuterol 2.5mg/0.5ml inh sol,$1.00 
BHM,Albuterol 2mg tab,$9.00 
BHM,Albuterol HFA 90 mcg/inh 8.5gm,$112.00 
BHM,Albuterol HFA 90mcg/inh 8gm,$40.00 
BHM,Albuterol sulf 0.83%3ml inh,$1.00 
BHM,Albuterol sulf 0.83%3ml inh UC,$0.30 
BHM,Alcohol Blood Level,$418.00 
BHM,Alcohol isopropyl 999 16oz,$0.00 
BHM,Alcohol rubbing mds098003z,$0.00 
BHM,Aldesleukin 22mmu vial IV,"$23,168.00 "
BHM,Aldolase,$14.00 
BHM,Aldosterone 24 hour urine,$55.00 
BHM,Aldosterone-blood,$55.00 
BHM,Alfuzosin ER 10mg tab,$1.00 
BHM,Alk phosphase electrophoresis,$20.00 
BHM,Alk phosphatase-heat fraction,$370.00 
BHM,Alkaline phosphatase,$61.00 
BHM,Alkaline phosphatase UC,$61.00 
BHM,Allergen almond,$18.00 
BHM,Allergen apple (c),$18.00 
BHM,Allergen banana (c),$18.00 
BHM,Allergen bananas,$18.00 
BHM,Allergen beef,$18.00 
BHM,Allergen cashew nut,$18.00 
BHM,Allergen cat,$18.00 
BHM,Allergen cheese ( c ),$18.00 
BHM,Allergen chicken,$18.00 
BHM,Allergen chocolate-cocoa,$18.00 
BHM,Allergen clam,$18.00 
BHM,Allergen codfish,$18.00 
BHM,Allergen corn,$18.00 
BHM,Allergen crab,$18.00 
BHM,Allergen D. farinae,$18.00 
BHM,Allergen dog,$18.00 
BHM,Allergen egg white,$18.00 
BHM,Allergen latex specific ige,$18.00 
BHM,Allergen lobster,$18.00 
BHM,Allergen milk (cow),$18.00 
BHM,Allergen oats,$18.00 
BHM,Allergen orange ( c ),$18.00 
BHM,Allergen peanut,$18.00 
BHM,Allergen pork,$18.00 
BHM,Allergen rice,$18.00 
BHM,Allergen salmon,$18.00 
BHM,Allergen scallop,$18.00 
BHM,Allergen shrimp,$18.00 
BHM,Allergen soybean,$18.00 
BHM,Allergen tomato,$18.00 
BHM,Allergen tuna,$18.00 
BHM,Allergen walnut food,$18.00 
BHM,Allergen wheat,$18.00 
BHM,Allergen whole egg,$18.00 
BHM,Allergen zone 5-86003-each(c),$14.00 
BHM,Allograft ant tibal10x240 0 2,"$10,782.00 "
BHM,Allograft dmx putty 5cc 380 m,"$8,678.00 "
BHM,Allograft dura 7.5 x 7.5 62 5,"$7,121.00 "
BHM,Allograft dura durepair 4x n,"$13,800.00 "
BHM,Allograft Duragen 2x2 dp1 2,"$4,865.00 "
BHM,Allograft Duragen pls3x3dp1 3,"$8,529.00 "
BHM,Allograft GRAFTON strp2.5x2 m,"$12,642.00 "
BHM,Allograft Infus lrg 7510800 d,"$20,550.00 "
BHM,Allograft Infuse med7510 0,"$29,738.00 "
BHM,Allograft Infuse sm7510200 d,"$21,355.00 "
BHM,Allograft Prime Grafix 5x5cm,"$18,135.00 "
BHM,Allograft Repliform 5 0,"$9,613.00 "
BHM,Allogrt aflex human2.5aflex 1,"$21,983.00 "
BHM,Allogrt bn mtrix 2x2in bmw2021,"$19,667.00 "
BHM,Allogrt bn trinity 1cc 410 1,"$5,685.00 "
BHM,Allogrt bn vivign 1 bl1500 1,"$4,583.00 "
BHM,Allogrt bn vivign 5 bl1500 2,"$11,305.00 "
BHM,Allogrt can 11x14 Cornst245 1,"$10,810.00 "
BHM,Allogrt can 30ml asep451 8,"$3,223.00 "
BHM,Allogrt can 5x14 cornst245 1,"$8,925.00 "
BHM,Allogrt can 6x14 Cornst245 1,"$8,925.00 "
BHM,Allogrt can 7x14 Cornst245 1,"$8,925.00 "
BHM,Allogrt can 8x14 Cornst245 1,"$8,925.00 "
BHM,Allogrt can 9x14 Cornst845 1,"$8,925.00 "
BHM,Allogrt cancel cube 15 asp0 0,"$1,825.00 "
BHM,Allogrt cancel cube 15 rad1 5,"$1,769.00 "
BHM,Allogrt cancel cube 30 asp0 9,"$3,223.00 "
BHM,Allogrt cancel cube 30 rad1 9,"$3,223.00 "
BHM,Allogrt cell vivign1 bl1600 1,"$6,277.00 "
BHM,Allogrt cell vivign10bl1600 3,"$28,828.00 "
BHM,Allogrt cell vivign5 bl1600 2,"$15,959.00 "
BHM,Allogrt contour132sqcm cm1516p,"$25,922.00 "
BHM,Allogrt contour132sqcm cm1518p,"$25,922.00 "
BHM,Allogrt contour164sqcm cl1518p,"$32,208.00 "
BHM,Allogrt contourbil cl1516 p,"$38,787.00 "
BHM,Allogrt cort asr5x14x11 245 1,"$8,925.00 "
BHM,Allogrt dura onlay 2x2 dmo 2,"$4,803.00 "
BHM,Allogrt dura onlay 3x3 dmo 3,"$7,230.00 "
BHM,Allogrt dura onlay 4x5 dmo 5,"$10,221.00 "
BHM,Allogrt fibu seg 15fd asp0 7,"$4,316.00 "
BHM,Allogrt flexhd 11x20cm sf2000,"$24,575.00 "
BHM,Allogrt flexhd 11x20cm sf2200,"$44,974.00 "
BHM,Allogrt flexhd 12x20cm hp1220,"$39,678.00 "
BHM,Allogrt flexhd 9x15cm sf1000,"$15,735.00 "
BHM,Allogrt Graftn dbm8x10 t42 5,"$10,359.00 "
BHM,Allogrt Grafton dbm 5 t45 5,"$5,887.00 "
BHM,Allogrt Grafton dbm10 t45 0,"$8,798.00 "
BHM,Allogrt iliac crest wdg 770 4,"$4,233.00 "
BHM,Allogrt matracel 5x9 aflex 3,"$20,367.00 "
BHM,Allogrt nerve 1-2x70 111 0,"$19,570.00 "
BHM,Allogrt nerve 2-3x30 211 0,"$13,834.00 "
BHM,Allogrt nerve 3-4x70 311 0,"$24,395.00 "
BHM,Allogrt nerve 4-5x70 411 0,"$26,775.00 "
BHM,Allogrt nerve cnct 2x15 agx 5,"$12,220.00 "
BHM,Allogrt nerve cnct 3x15 agx 5,"$12,220.00 "
BHM,Allogrt nerve cnct 4x15 agx 5,"$12,220.00 "
BHM,Allogrt nerve cnct 5x15 agx 5,"$10,716.00 "
BHM,Allogrt nerve prtc 7x40 ag0 0,"$11,022.00 "
BHM,Allogrt nerve prtc3.5x40 ag 4,"$12,941.00 "
BHM,Allogrt tendon 60x80mm l,"$13,317.00 "
BHM,Allogrt tib plate 15fd asp0 9,"$6,289.00 "
BHM,Allogrt trinity s 1.2cc 410 1,"$5,685.00 "
BHM,Allogrt vasc acel HD flex12x20,"$40,857.00 "
BHM,Allogrt vasc acel HD flex16x20,"$53,061.00 "
BHM,Allogrt vasc acel hd flx8x16cm,"$22,392.00 "
BHM,Allogrt vasc acel hdrt 8x20cm,"$25,490.00 "
BHM,Allopurinol 100mg tab,$1.00 
BHM,Allopurinol 150mg tab,$1.00 
BHM,Allopurinol 20 mg/ml ped susp,$1.00 
BHM,Allopurinol 300mg tab,$1.00 
BHM,Allopurinol 500mg/25ml vial,"$25,194.00 "
BHM,Alpha 1 antitrypsin (A1AT),$103.00 
BHM,Alpha 1 antitrypsin stool,$154.00 
BHM,Alpha 2 macroglobulin quant(c),$192.00 
BHM,Alpha Fetoprotein on Blood,$401.00 
BHM,Alpha-1 antitrypsin phenotypin,$46.00 
BHM,Alprazolam 0.125 mg tab,$1.00 
BHM,Alprazolam 0.25mg tab,$1.00 
BHM,Alprazolam 0.5mg tab,$1.00 
BHM,Alprazolam 0.5mg tab UC,$0.30 
BHM,Alprazolam 1mg tab,$1.00 
BHM,Alprostadil 10mcg/ml 25ml pedi,$782.00 
BHM,Alprostadil 500mcg/ml inj,"$1,194.00 "
BHM,ALT (SGPT),$61.00 
BHM,ALT (SGPT) UC,$61.00 
BHM,Aluminum,$36.00 
BHM,Alvimopan 12mg cap,$315.00 
BHM,Amantadine 100mg cap,$5.00 
BHM,Amantadine HCL 50mg 5ml syrup,$1.00 
BHM,Ambulatory BP analysis 24 hr,$374.00 
BHM,Ambulatory BP recording 24 hr,$374.00 
BHM,Amebiasis Abs,$24.00 
BHM,Amikacin 250mg/ml 2ml vial IV,$158.00 
BHM,Amikacin peak (post-dose),$218.00 
BHM,Amikacin trough (pre-dose),$218.00 
BHM,Amikacin-random,$218.00 
BHM,"Amino acid, urine",$204.00 
BHM,Amino acid-quantitation-blood,$280.00 
BHM,Aminocaproic 250mg/1ml 20ml vl,$28.00 
BHM,Aminocaproic 500mg tab,$101.00 
BHM,Aminolevulinic acid,$62.00 
BHM,Aminolevulinic acid 24hr ur,$62.00 
BHM,Aminophylline 25mg/ml 10 ml vl,$122.00 
BHM,Aminophylline 25mg/ml 20ml vl,$70.00 
BHM,Aminophylline/NS 5mg/ml 1ml IV,$1.00 
BHM,Amiodarone,$20.00 
BHM,Amiodarone 1.8mg/1ml ped/neo,$20.00 
BHM,Amiodarone 100mg tab,$8.00 
BHM,Amiodarone 150mg/100ml ivpb,$431.00 
BHM,Amiodarone 150mg/3ml inj,$30.00 
BHM,Amiodarone 200mg tab,$3.00 
BHM,Amiodarone 360 mg/200 ml,$646.00 
BHM,Amiodarone 450mg/9ml inj,$48.00 
BHM,Amiodarone 900 mg/18 ml,$148.00 
BHM,Amiodarone dilute 25mg/5ml sol,$1.00 
BHM,Amiodarone/D5W 900mg/500ml IV,$100.00 
BHM,Amitiza 24 mcg cap,$12.00 
BHM,Amitriptyline 100mg tab,$1.00 
BHM,Amitriptyline 10mg tab,$1.00 
BHM,Amitriptyline 25mg tab,$1.00 
BHM,Amitriptyline 75mg tab,$1.00 
BHM,Amlodipine 1 mg/ml ped susp,$1.00 
BHM,Amlodipine 10mg tab,$16.00 
BHM,Amlodipine 2.5mg tab,$12.00 
BHM,Amlodipine 5mg tab,$12.00 
BHM,Ammonia,$363.00 
BHM,Ammonia aromatic 0.33ml inh,$0.00 
BHM,Ammonia aromatic 0.33ml inh UC,$0.00 
BHM,Ammonium lactate 12% crm 140g,$0.00 
BHM,Ammonium lactate 12% lotion,$0.00 
BHM,Amniograft 1.25ml bf010 5,"$23,770.00 "
BHM,Amoeba antigen on stool,$84.00 
BHM,Amoxicillin 250mg cap,$1.00 
BHM,Amoxicillin 250mg/5ml PO susp,$1.00 
BHM,Amoxicillin 500mg cap,$1.00 
BHM,Amp probe 12-25 virus targets,$755.00 
BHM,Amphotericin B 50mg vl,$407.00 
BHM,Amphotericin B lipos 2mg/mlD5W,$109.00 
BHM,Amphotericin b liposome 10mg,$495.00 
BHM,Ampicillin 100mg/1ml neo,$20.00 
BHM,Ampicillin 1g/NACL 0.9% 50ml,$25.00 
BHM,Ampicillin 1gm vial,$155.00 
BHM,Ampicillin 2g/NACL 0.9% 100ml,$157.00 
BHM,Ampicillin 2gm vial,$83.00 
BHM,Ampicillin 30mg/1ml IV pedi,$2.00 
BHM,Ampicillin 500mg vl,$52.00 
BHM,Ampicillin/sulba 1.5g/NS 100ml,$66.00 
BHM,Ampicillin/sulbac 3g/NS 100ml,$133.00 
BHM,Ampicillin/sulbactm 30mg/ml IV,$2.00 
BHM,Amylase (blood) UC,$66.00 
BHM,Amylase electrophoresis (c),$67.00 
BHM,Amylase for isoenzymes (c),$34.00 
BHM,Amylase-blood,$66.00 
BHM,Amylase-body fluid,$369.00 
BHM,Amylase-urine (random),$369.00 
BHM,ANA (antinuclear antibody),$513.00 
BHM,ANA titer,$353.00 
BHM,Anaerobic bacteria id-each (c),$173.00 
BHM,Anagrelide HCL 0.5mg cap,$16.00 
BHM,Analgesic balm 30gm oint,$0.00 
BHM,Analpram HC 2.5% 4g cream,$24.00 
BHM,Analys spine inf pump w reprog,$793.00 
BHM,Anastrozole 1mg tab,$2.00 
BHM,Anchor bcmps 19.1 ar2324bc t,"$2,162.00 "
BHM,Anchor bio comp 5.5 ar1927b t,"$1,587.00 "
BHM,Anchor bio Pushlck 3.5x1 m,"$1,656.00 "
BHM,Anchor bio swivl 4.75ar2324 c,"$1,840.00 "
BHM,Anchor bio swivl5.5x19 2323 c,"$1,840.00 "
BHM,Anchor bioPushlck kit ar192 bs,$345.00 
BHM,Anchor bioPushlck kit ar192 ds,$161.00 
BHM,Anchor Bioraptr 2.9mm 72202 3,"$1,937.00 "
BHM,Anchor biosuturtak 3 ar1934 f,"$1,348.00 "
BHM,Anchor corkscw 6.5mm ar192 f,$897.00 
BHM,Anchor corkscw micr2.2ar131 t,"$1,311.00 "
BHM,Anchor corkscw w/ndl3.5 ar1 5,$966.00 
BHM,Anchor FastakII spear 1949s R,$368.00 
BHM,Anchor Footprint 4.5 72202 1,"$1,932.00 "
BHM,Anchor mini 2.4mm ar1322b f,"$1,495.00 "
BHM,Anchor Mini Quik plus2-0 mi k,"$1,909.00 "
BHM,Anchor p lck 3.5x19.5 ar192 c,"$1,840.00 "
BHM,Anchor peek Pushlck 3.5x1 m,"$1,656.00 "
BHM,Anchor pushlck instr ar1922 s,"$1,724.00 "
BHM,Anchor pushloc insrt ar192 k,"$1,012.00 "
BHM,Anchor Quick Plus 2/0 212 5,"$1,909.00 "
BHM,Anchor sholdr Gryp push 210 4,"$1,628.00 "
BHM,Anchor sut bio 15.5 ar1923 h,"$1,840.00 "
BHM,Anchor sut Biocomp ar193 c,"$1,955.00 "
BHM,Anchor sut fibertak 1 ar8 0,"$1,955.00 "
BHM,Anchor sut nano 1.4 00cat01 8,"$2,096.00 "
BHM,Anchor sut tak 2 ar1934bc 2,"$1,564.00 "
BHM,Anchor sut tak ar1934b t,"$1,495.00 "
BHM,Anchor tightr acl ar1360cs p,"$7,760.00 "
BHM,Anchor tightrop endo ar1588 b,"$1,955.00 "
BHM,Androstenedione,$41.00 
BHM,Anesthesia Documentation,$0.00 
BHM,Ang brn ICAVA bi sel ad on,"$2,505.00 "
BHM,Ang brn ICAVA un sel ad on,"$1,253.00 "
BHM,Ang caro ext bi-sel CCA in,"$14,191.00 "
BHM,Ang caro ext in VA unbi n,"$7,095.00 "
BHM,Ang caro ext un-sel CCA in,"$7,095.00 "
BHM,Ang caro intr bi sel CCA i,"$14,191.00 "
BHM,Ang caro intr un sel CCA n,"$7,095.00 "
BHM,Angio abdominal aorta rad,"$3,537.00 "
BHM,Angio caro intr bi-sel ICA,"$14,191.00 "
BHM,Angio caro intr un-sel ICA,"$7,095.00 "
BHM,Angio ECA bil sel ECA adon,"$14,191.00 "
BHM,Angio ECA uni-sel ECA adon,"$7,095.00 "
BHM,Angio exis cath emb/inf,"$2,460.00 "
BHM,Angio extremity bilat rad,"$5,700.00 "
BHM,Angio extremity unilat rad,"$3,423.00 "
BHM,Angio vert bi-sel subc inn,"$14,191.00 "
BHM,Angio vert un-sel subc inn,"$7,095.00 "
BHM,Angio verte unila sel vert,"$7,095.00 "
BHM,Angio vertebr bil sel vert,"$14,191.00 "
BHM,Angiotensin convert enzyme,$23.00 
BHM,Angiotensin converting enz-CSF,$78.00 
BHM,Angiovac drain sys h965251 0,"$49,400.00 "
BHM,Ank comlt min 3 views lt XR UC,$678.00 
BHM,Ank comlt min 3 views rt XR UC,$678.00 
BHM,Ank comlt mini 3 views lt xr,$678.00 
BHM,Ank comlt mini 3 views lt xr,$735.00 
BHM,Ank comlt mini 3 views rt xr,$678.00 
BHM,Ank comlt mini 3 views rt xr,$735.00 
BHM,Ankle 2 views lt xr,$507.00 
BHM,Ankle 2 views lt XR UC,$507.00 
BHM,Ankle 2 views rt xr,$507.00 
BHM,Ankle 2 views rt XR UC,$507.00 
BHM,Ankle lig Deltoid sys ar891 p,"$8,993.00 "
BHM,Anoscopy dx wash-brush spec,$972.00 
BHM,Ans lead 3mm octrode 60cm 3 6,"$13,090.00 "
BHM,Ans pulse gener progrmr 3 7,"$11,186.00 "
BHM,Antepartum evaluation,$765.00 
BHM,Anti -a4-fia2,$44.00 
BHM,Anti centromere,$27.00 
BHM,Anti diurectic hormone (ADH),$47.00 
BHM,Anti MPO(c),$22.00 
BHM,Anti mullerian hormone-AMH,$208.00 
BHM,Anti PR3 (c),$22.00 
BHM,Anti thrombin-iii function,$572.00 
BHM,Antibody elution,$250.00 
BHM,Antibody identification-37C,$109.00 
BHM,Antibody identification-coombs,$109.00 
BHM,Antibody identification-onebld,$279.00 
BHM,Antibody id-immediate spin,$109.00 
BHM,Antibody screen,$149.00 
BHM,Antibody titer- onebld,$270.00 
BHM,Anti-DNase antibody,$22.00 
BHM,Anti-fia-x,$44.00 
BHM,Antigen type patient,$110.00 
BHM,Antigen type unit- onebld,$112.00 
BHM,Antigen type unit-reag serum,$131.00 
BHM,Antihemophil fact hum rec 1 un viii,$5.00 
BHM,Antimony-quantitative,$304.00 
BHM,Anti-neutrophil antibody,$160.00 
BHM,Anti-thyroglobulin,$123.00 
BHM,Anti-Xa LMW heparin,$461.00 
BHM,Anusol HC 2.5% 30gm cream,$259.00 
BHM,Aortc stent anchr appl16f s 5,"$28,263.00 "
BHM,Aorto peripheral angio rad,"$6,465.00 "
BHM,Apap/codeine elix 120-12mg/5ml,$1.00 
BHM,Apixaban 2.5 mg tab,$13.00 
BHM,Apixaban 5 mg tab,$13.00 
BHM,Applica tip Progel pgen00 1,$789.00 
BHM,Application on-body inj SubQ,$148.00 
BHM,Applicator endo cannula JJ1 5,$458.00 
BHM,Applicator Evicel 35cm jj3 8,$353.00 
BHM,Apply cast arm long,$767.00 
BHM,Apply cast cylinder thi-ankle,$767.00 
BHM,Apply cast f-arm shrt & hand,$365.00 
BHM,Apply cast lng leg nwb thi-toe,$767.00 
BHM,Apply cast shrt leg nwb uni,$767.00 
BHM,Apply cast shrt leg wb uni,$767.00 
