"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
SOUTH SHORE,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","55,942"
SOUTH SHORE,291,HEART FAILURE & SHOCK W MCC,"31,958"
SOUTH SHORE,292,HEART FAILURE & SHOCK W CC,"26,959"
SOUTH SHORE,300,PERIPHERAL VASCULAR DISORDERS W CC,"22,427"
SOUTH SHORE,305,HYPERTENSION W/O MCC,"29,929"
SOUTH SHORE,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"29,842"
SOUTH SHORE,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"27,575"
SOUTH SHORE,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"18,616"
SOUTH SHORE,312,SYNCOPE & COLLAPSE,"25,832"
SOUTH SHORE,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"45,941"
SOUTH SHORE,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"126,031"
SOUTH SHORE,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"82,961"
SOUTH SHORE,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"29,000"
SOUTH SHORE,377,G.I. HEMORRHAGE W MCC,"47,211"
SOUTH SHORE,378,G.I. HEMORRHAGE W CC,"36,803"
SOUTH SHORE,379,G.I. HEMORRHAGE W/O CC/MCC,"22,772"
SOUTH SHORE,389,G.I. OBSTRUCTION W CC,"24,414"
SOUTH SHORE,390,G.I. OBSTRUCTION W/O CC/MCC,"20,671"
SOUTH SHORE,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","50,011"
SOUTH SHORE,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","22,370"
SOUTH SHORE,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"26,219"
SOUTH SHORE,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"59,529"
SOUTH SHORE,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"44,286"
SOUTH SHORE,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"38,136"
SOUTH SHORE,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"24,668"
SOUTH SHORE,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"18,478"
SOUTH SHORE,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"59,063"
SOUTH SHORE,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"68,979"
SOUTH SHORE,482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"51,261"
SOUTH SHORE,552,MEDICAL BACK PROBLEMS W/O MCC,"38,581"
SOUTH SHORE,563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","28,931"
SOUTH SHORE,602,CELLULITIS W MCC,"41,602"
SOUTH SHORE,603,CELLULITIS W/O MCC,"22,511"
SOUTH SHORE,617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","70,824"
SOUTH SHORE,638,DIABETES W CC,"22,939"
SOUTH SHORE,639,DIABETES W/O CC/MCC,"15,395"
SOUTH SHORE,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","34,678"
SOUTH SHORE,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","21,130"
SOUTH SHORE,682,RENAL FAILURE W MCC,"58,283"
SOUTH SHORE,683,RENAL FAILURE W CC,"29,518"
SOUTH SHORE,689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"35,436"
SOUTH SHORE,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"23,920"
SOUTH SHORE,694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"21,128"
SOUTH SHORE,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"36,691"
SOUTH SHORE,699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"31,367"
SOUTH SHORE,812,RED BLOOD CELL DISORDERS W/O MCC,"33,377"
SOUTH SHORE,853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"177,212"
SOUTH SHORE,863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"29,914"
SOUTH SHORE,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"49,037"
SOUTH SHORE,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"32,958"
SOUTH SHORE,880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"26,006"
SOUTH SHORE,881,DEPRESSIVE NEUROSES,"15,506"
SOUTH SHORE,885,PSYCHOSES,"19,979"
SOUTH SHORE,894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","15,200"
SOUTH SHORE,896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"29,019"
SOUTH SHORE,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"18,074"
SOUTH SHORE,917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"39,571"
SOUTH SHORE,918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"18,561"
SOUTH SHORE,948,SIGNS & SYMPTOMS W/O MCC,"24,795"
