Facility,CC,CC Description,1/1/19 Fee
AURORA BAYCARE,10000159,BILIARY ENDOSCOPY W STENT,"3,990.00"
AURORA BAYCARE,10000165,IMPLANT TISSUE MARKER PANCREAS,"5,140.00"
AURORA BAYCARE,10000172,INSERT INTRAPERITONEAL CATH TUNNEL,"5,180.00"
AURORA BAYCARE,10000173,INSERT DIALYSIS CATH PERMANENT,"4,750.00"
AURORA BAYCARE,10000174,REMOVE PERITONEAL CATH W PORT,"3,610.00"
AURORA BAYCARE,10000175,INJECT PERITONEAL/VENOUS SHUNT,707.00
AURORA BAYCARE,10000177,INSERT GASTROSTOMY TUBE W S&I,"1,500.00"
AURORA BAYCARE,10000178,INSERT DUODENUM/J-TUBE W/S&I,"1,700.00"
AURORA BAYCARE,10000180,CONVERT TO G-J TUBE W/S&I,"1,310.00"
AURORA BAYCARE,10000181,CHANGE TUBE GASTRO/CECUM W/S&I,974.00
AURORA BAYCARE,10000182,CHANGE TUBE SM BOWEL W/S&I,944.00
AURORA BAYCARE,10000183,CHANGE G-J TUBE W/S&I,675.00
AURORA BAYCARE,10000184,CLEAR OBSTRUCTED GI TUBE W/S&I,953.00
AURORA BAYCARE,10000185,INJECTIONS GI TUBE EVAL W/S&I,935.00
AURORA BAYCARE,10000186,ABLATION ABDOMEN/PERITONEUM,"13,650.00"
AURORA BAYCARE,10000189,CHANGE URETERAL STENT-PERC S&I,"3,440.00"
AURORA BAYCARE,10000190,REMOVE URETERAL STENT-PERC S&I,"3,440.00"
AURORA BAYCARE,10000191,CHANGE URETERAL STENT S&I,"3,380.00"
AURORA BAYCARE,10000192,REMOVE URETERAL STENT S&I,990.00
AURORA BAYCARE,10000193,CHANGE TRANSNEPHRIC STENT S&I,"2,400.00"
AURORA BAYCARE,10000194,REMOVE NEPHROSTOMY TUBE/FLUORO,887.00
AURORA BAYCARE,10000195,ASPIRATE RENAL CYST/PELVIS,"1,610.00"
AURORA BAYCARE,10000197,ABLATION RENAL LESION(S),"5,430.00"
AURORA BAYCARE,10000199,CHANGE URETEROSTOMY TUBE,"1,400.00"
AURORA BAYCARE,10000201,BLADDER ASPIRATION,206.00
AURORA BAYCARE,10000202,INSERT SUPRAPUBIC CATH,"2,860.00"
AURORA BAYCARE,10000203,INJECT CYSTOGRAM,575.00
AURORA BAYCARE,10000204,INJECT URETHROGRAM RETROGRADE,643.00
AURORA BAYCARE,10000205,BLADDER IRRIGATE OR INSTALLATION,376.00
AURORA BAYCARE,10000206,STRAIGHT CATH,178.00
AURORA BAYCARE,10000207,FOLEY CATH INSERTION,308.00
AURORA BAYCARE,10000208,BLADDER CATH COMPLEX,470.00
AURORA BAYCARE,10000209,CYSTOSTOMY TUBE CHANGE,305.00
AURORA BAYCARE,10000210,BLADDER SCAN-RESIDUAL URINE,176.00
AURORA BAYCARE,10000211,URINARY PROCEDURE MISC,236.00
AURORA BAYCARE,10000212,CIRCUMCISION,200.00
AURORA BAYCARE,10000213,I&D SCROTAL SPACE,"3,080.00"
AURORA BAYCARE,10000214,"PROSTATE, NEEDLE BIOPSIES","1,770.00"
AURORA BAYCARE,10000216,HYSTEROSALPINGOGRAM INJECT,967.00
AURORA BAYCARE,10000220,TUBAL LIGATION POST PARTUM,"1,390.00"
AURORA BAYCARE,10000221,TUBAL LIGATION WITH C-SECTION,515.00
AURORA BAYCARE,10000223,"AMNIOCENTESIS, DIAGNOSTIC",391.00
AURORA BAYCARE,10000224,"AMNIOCENTESIS, FLUID REDUCTION",517.00
AURORA BAYCARE,10000226,FETAL CONTRACTION STRESS TEST,722.00
AURORA BAYCARE,10000227,FETAL NON STRESS TEST,410.00
AURORA BAYCARE,10000230,D&C,"2,080.00"
AURORA BAYCARE,10000231,CERVICAL DILATOR INSERTION,570.00
AURORA BAYCARE,10000232,CERCLAGE OF CERVIX,"3,270.00"
AURORA BAYCARE,10000234,"VERSION, W/WO TOCOLYSIS","1,170.00"
AURORA BAYCARE,10000235,DELIVERY PLACENTA,950.00
AURORA BAYCARE,10000236,AMNIOINFUSION,375.00
AURORA BAYCARE,10000237,INTRAUTERINE PRESSURE MONITORING,345.00
AURORA BAYCARE,10000238,BX THYROID NEEDLE,"1,170.00"
AURORA BAYCARE,10000239,BX ADRENAL GLAND NEEDLE,"5,580.00"
AURORA BAYCARE,10000243,ENDOVASC OCCLUSION HEAD/NECK W/S&I,"2,860.00"
AURORA BAYCARE,10000244,PTA INTRACRANIAL,"4,140.00"
AURORA BAYCARE,10000245,PTA INTRACRANIAL W STENT,"3,670.00"
AURORA BAYCARE,10000246,DILATE INTRACRANIAL VASOSPASM 1ST,"2,870.00"
AURORA BAYCARE,10000250,ASSISTED NAVIGATION EXTRADURAL,"1,580.00"
AURORA BAYCARE,10000251,LUMBAR PUNCTURE DIAGNOSTIC,589.00
AURORA BAYCARE,10000252,EPIDURAL BLOOD OR CLOT PATCH,"1,450.00"
AURORA BAYCARE,10000253,INJECT FOR MYELOGRAM or CT LUMBAR,614.00
AURORA BAYCARE,10000254,DISKECTOMY/PERCUTANEOUS LUMBAR,"5,300.00"
AURORA BAYCARE,10000258,EPIDURAL INJ 1ST LEVEL W/ IMAGING,"1,940.00"
AURORA BAYCARE,10000259,INJECT NERVE OCCIPITAL,718.00
AURORA BAYCARE,10000261,NERVE BLOCK CELIAC PLEXUS,"1,950.00"
AURORA BAYCARE,10000266,FB CORNEA NO SLIT,330.00
AURORA BAYCARE,10000267,FB CORNEA W/SLIT,330.00
AURORA BAYCARE,10000268,INJECT DACROCYSTOGRAM,285.00
AURORA BAYCARE,10000269,FB REMOVAL EAR,130.00
AURORA BAYCARE,10000270,REMOVE EAR WAX W/INSTRUMENT UNILAT,100.00
AURORA BAYCARE,10000272,CISTERNOGRAM S&I,"1,390.00"
AURORA BAYCARE,10000273,XR EYE FOREIGN BODY,202.00
AURORA BAYCARE,10000274,XR MANDIBLE PARTIAL,454.00
AURORA BAYCARE,10000275,XR MANDIBLE COMPLETE,678.00
AURORA BAYCARE,10000276,XR FACIAL BONES < 3 VIEW,410.00
AURORA BAYCARE,10000277,XR FACIAL BONES COMPLETE,612.00
AURORA BAYCARE,10000278,XR NASAL BONES,575.00
AURORA BAYCARE,10000279,XR EYE DACROCYSTOGRAM S&I,673.00
AURORA BAYCARE,10000280,XR ORBITS MINIMUM 4 VIEWS,494.00
AURORA BAYCARE,10000281,XR SINUSES < 3 VIEW,440.00
AURORA BAYCARE,10000282,XR SINUSES COMPLETE,657.00
AURORA BAYCARE,10000283,XR SKULL < 4 VIEW,425.00
AURORA BAYCARE,10000284,XR SKULL COMPLETE,635.00
AURORA BAYCARE,10000286,XR DENTAL COMPLETE,340.00
AURORA BAYCARE,10000289,XR ORTHOPANTOGRAM,486.00
AURORA BAYCARE,10000290,XR NECK SOFT TISSUES,409.00
AURORA BAYCARE,10000293,CT HEAD W/O DYE,"2,320.00"
AURORA BAYCARE,10000294,CT HEAD W/DYE,"2,520.00"
AURORA BAYCARE,10000295,CT HEAD W/WO DYE,"3,680.00"
AURORA BAYCARE,10000296,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/O DYE,"2,320.00"
AURORA BAYCARE,10000297,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/DYE,"2,520.00"
AURORA BAYCARE,10000298,CT ORBIT/SELLA/FOSSA/MASTOID/EAR W/WO  DYE,"3,680.00"
AURORA BAYCARE,10000299,CT MAXILLIOFACIAL W/O DYE,"2,320.00"
AURORA BAYCARE,10000303,CT MAXILLIOFACIAL W/DYE,"2,520.00"
AURORA BAYCARE,10000304,CT MAXILLIOFACL W/WO DYE,"3,680.00"
AURORA BAYCARE,10000305,CT NECK W/O DYE,"2,320.00"
AURORA BAYCARE,10000306,CT NECK W/DYE,"2,520.00"
AURORA BAYCARE,10000307,CT NECK W/WO DYE,"3,680.00"
AURORA BAYCARE,10000308,CT ANGIO HEAD,"2,480.00"
AURORA BAYCARE,10000309,CT ANGIO NECK,"2,480.00"
AURORA BAYCARE,10000310,MR ORBIT/FACE/NECK W/O DYE,"3,400.00"
AURORA BAYCARE,10000311,MR ORBIT/FACE/NECK W/DYE,"3,600.00"
AURORA BAYCARE,10000312,MR ORBIT/FACE/NECK W/WO DYE,"5,300.00"
AURORA BAYCARE,10000313,MRA HEAD W/O DYE,"3,400.00"
AURORA BAYCARE,10000314,MRA HEAD W/DYE,"3,600.00"
AURORA BAYCARE,10000315,MRA HEAD W/WO DYE,"5,300.00"
AURORA BAYCARE,10000316,MRA NECK W/O DYE,"3,400.00"
AURORA BAYCARE,10000317,MRA NECK W/DYE,"3,600.00"
AURORA BAYCARE,10000318,MRA NECK W/WO DYE,"5,300.00"
AURORA BAYCARE,10000319,MR BRAIN W/O DYE,"3,400.00"
AURORA BAYCARE,10000320,MR BRAIN W/DYE,"3,600.00"
AURORA BAYCARE,10000321,MR BRAIN W/WO DYE,"5,300.00"
AURORA BAYCARE,10000324,XR CHEST 1 VIEW,373.00
AURORA BAYCARE,10000325,XR CHEST 2 VIEWS,448.00
AURORA BAYCARE,10000326,XR CHEST 3 VIEWS,560.00
AURORA BAYCARE,10000328,XR CHEST 4 + VIEWS,634.00
AURORA BAYCARE,10000331,XR RIBS BILATERAL 3 VIEW,483.00
AURORA BAYCARE,10000332,XR RIBS W/CHEST BILATERAL 4 VIEW,564.00
AURORA BAYCARE,10000333,XR STERNUM 2 VIEW,447.00
AURORA BAYCARE,10000334,XR STERNOCLAVICULAR JOINT 3 VIEW,402.00
AURORA BAYCARE,10000335,CT CHEST W/O DYE,"2,320.00"
AURORA BAYCARE,10000336,CT CHEST W/DYE,"2,520.00"
AURORA BAYCARE,10000337,CT CHEST W/WO DYE,"3,680.00"
AURORA BAYCARE,10000338,CT ANGIO CHEST,"2,480.00"
AURORA BAYCARE,10000339,MR CHEST W/O DYE,"3,400.00"
AURORA BAYCARE,10000341,MR CHEST W/WO DYE,"5,300.00"
AURORA BAYCARE,10000343,XR SPINE ANY LEVEL 1 VIEW,398.00
AURORA BAYCARE,10000344,XR CERVICAL SPINE 2-3 VIEWS,478.00
AURORA BAYCARE,10000345,XR CERVICAL SPINE 4-5 VIEWS,697.00
AURORA BAYCARE,10000346,XR CERVICAL SPINE 6 VIEWS >,796.00
AURORA BAYCARE,10000348,XR THORACIC SPINE 2 VIEW,478.00
AURORA BAYCARE,10000349,XR THORACIC SPINE 3 VIEW,550.00
AURORA BAYCARE,10000350,XR THORACIC SPINE 4 VIEW,621.00
AURORA BAYCARE,10000351,XR THORACOLUMBAR SPINE 2 VIEW,518.00
AURORA BAYCARE,10000353,XR LUMBAR SPINE 2 OR 3 VIEW,515.00
AURORA BAYCARE,10000354,XR LUMBAR SPINE 4 VIEW MIN,721.00
AURORA BAYCARE,10000355,XR L SPINE BENDING 6 VIEW OR >,840.00
AURORA BAYCARE,10000356,XR L SPINE BENDING VIEW 2 TO 3,600.00
AURORA BAYCARE,10000357,CT C SPINE W/O DYE,"2,320.00"
AURORA BAYCARE,10000358,CT C SPINE W/DYE,"2,520.00"
AURORA BAYCARE,10000359,CT C SPINE W/WO DYE,"3,680.00"
AURORA BAYCARE,10000360,CT T SPINE W/O DYE,"2,320.00"
AURORA BAYCARE,10000361,CT T SPINE W/DYE,"2,520.00"
AURORA BAYCARE,10000363,CT L SPINE W/O DYE,"2,320.00"
AURORA BAYCARE,10000364,CT L SPINE W/DYE,"2,520.00"
AURORA BAYCARE,10000365,CT L SPINE W/WO DYE,"3,680.00"
AURORA BAYCARE,10000366,MR C SPINE W/O DYE,"3,400.00"
AURORA BAYCARE,10000367,MR C SPINE W/DYE,"3,600.00"
AURORA BAYCARE,10000368,MR T SPINE WO DYE,"3,400.00"
AURORA BAYCARE,10000369,MR T SPINE W/DYE,"3,600.00"
AURORA BAYCARE,10000370,MR L SPINE WO DYE,"3,400.00"
AURORA BAYCARE,10000371,MR L SPINE W DYE,"3,600.00"
AURORA BAYCARE,10000372,MR C SPINE W/WO DYE,"5,300.00"
AURORA BAYCARE,10000373,MR T SPINE W/WO DYE,"5,300.00"
AURORA BAYCARE,10000374,MR L SPINE W/WO DYE,"5,300.00"
AURORA BAYCARE,10000376,XR PELVIS 1 OR 2 VIEW,452.00
AURORA BAYCARE,10000377,XR PELVIS COMPLETE 3 VIEW MIN,610.00
AURORA BAYCARE,10000378,CT ANGIO PELVIS,"2,480.00"
AURORA BAYCARE,10000379,CT PELVIS W/O DYE,"2,320.00"
AURORA BAYCARE,10000380,CT PELVIS W/DYE,"2,520.00"
AURORA BAYCARE,10000381,CT PELVIS W/WO DYE,"3,680.00"
AURORA BAYCARE,10000382,MR PELVIS W/O DYE,"3,400.00"
AURORA BAYCARE,10000383,MR PELVIS W/DYE,"3,600.00"
AURORA BAYCARE,10000384,MR PELVIS W/WO DYE,"5,300.00"
AURORA BAYCARE,10000385,XR SACROILIAC JOINTS < 3 VIEWS,388.00
AURORA BAYCARE,10000386,XR SACROILIAC JOINTS 3 VIEW MIN,485.00
AURORA BAYCARE,10000387,XR SACRUM & COCCYX 2 VIEW MIN,316.00
AURORA BAYCARE,10000388,MYELOGRAM CERVICAL S&I,"1,910.00"
AURORA BAYCARE,10000389,MYELOGRAM THORACIC S&I,"1,910.00"
AURORA BAYCARE,10000390,MYELOGRAM LUMBAR S&I,"1,910.00"
AURORA BAYCARE,10000392,EPIDUROGRAPHY S&I,861.00
AURORA BAYCARE,10000393,DISKOGRAM C/T EACH LEVEL S&I,"2,950.00"
AURORA BAYCARE,10000395,DISKOGRAM L/S EA LEVEL S&I,"2,950.00"
AURORA BAYCARE,10000397,XR SCAPULA COMPLETE,439.00
AURORA BAYCARE,10000400,XR SHOULDER ARTHROGRAM S&I,"1,470.00"
AURORA BAYCARE,10000401,XR AC JOINTS BILATERAL,450.00
AURORA BAYCARE,10000410,XR WRIST ARTHROGRAM S&I,982.00
AURORA BAYCARE,10000413,XR FINGER(S) 2 VIEW MINIMUM,462.00
AURORA BAYCARE,10000425,XR HIP ARTHROGRAM S&I,"1,470.00"
AURORA BAYCARE,10000432,XR KNEES STANDING AP BILATERAL,384.00
AURORA BAYCARE,10000433,XR KNEE ARTHROGRAM S&I,"1,470.00"
AURORA BAYCARE,10000436,XR ANKLE 2 VIEW,389.00
AURORA BAYCARE,10000437,XR ANKLE COMPLETE,467.00
AURORA BAYCARE,10000442,XR TOE(S) 2 VIEW MIN,389.00
AURORA BAYCARE,10000453,XR ABDOMEN 1 VIEW,426.00
AURORA BAYCARE,10000454,XR ABDOMEN 2 VIEWS,533.00
AURORA BAYCARE,10000455,XR ABDOMEN 3 OR MORE VIEWS,639.00
AURORA BAYCARE,10000456,"XR ABDOMEN, ACUTE SERIES",746.00
AURORA BAYCARE,10000457,CT ABDOMEN W/O DYE,"2,320.00"
AURORA BAYCARE,10000458,CT ABDOMEN W/DYE,"2,520.00"
AURORA BAYCARE,10000459,CT ABDOMEN W/WO DYE,"3,680.00"
AURORA BAYCARE,10000460,CT ANGIO ABDOMEN,"2,480.00"
AURORA BAYCARE,10000461,MR ABDOMEN W/O DYE,"3,400.00"
AURORA BAYCARE,10000462,MR ABDOMEN W/DYE,"3,600.00"
AURORA BAYCARE,10000463,MR ABDOMEN W/WO DYE,"5,300.00"
AURORA BAYCARE,10000464,XR ESOPHAGRAM,736.00
AURORA BAYCARE,10000465,XR SWALLOWING FUNCTION W/VIDEO,534.00
AURORA BAYCARE,10000466,XR UPPER GI W/O KUB,852.00
AURORA BAYCARE,10000467,XR UPPER GI W/KUB,"1,070.00"
AURORA BAYCARE,10000468,XR UPPER GI W SMALL BOWEL,"1,290.00"
AURORA BAYCARE,10000469,XR UPPER GI W/CONTRAST W/O KUB,940.00
AURORA BAYCARE,10000470,XR UPPER GI W/CONTRAST W/KUB,"1,170.00"
AURORA BAYCARE,10000471,XR UPPER GI W/CONTRAST & SM BOWEL,"1,410.00"
AURORA BAYCARE,10000472,XR SMALL BOWEL SERIES,800.00
AURORA BAYCARE,10000473,CT COLON DX W/O DYE,"2,320.00"
AURORA BAYCARE,10000474,CT COLON DX W/DYE,"2,520.00"
AURORA BAYCARE,10000475,CT COLON SCREENING,890.00
AURORA BAYCARE,10000476,XR COLON BARIUM ENEMA,716.00
AURORA BAYCARE,10000477,XR COLON DOUBLE CONTRAST,930.00
AURORA BAYCARE,10000478,ENEMA THERAPEUTIC AIR/CONTRAST,486.00
AURORA BAYCARE,10000479,XR CHOLANGIOGRAM INTRAOP S&I,983.00
AURORA BAYCARE,10000484,ERCP BILE DUCT S&I,742.00
AURORA BAYCARE,10000485,ERCP PANCREATIC DUCT S&I,742.00
AURORA BAYCARE,10000486,ERCP BILE & PANCREAS DUCT S&I,925.00
AURORA BAYCARE,10000487,INSERT LONG FEEDING TUBE S&I,481.00
AURORA BAYCARE,10000488,DILATION BILIARY DUCT W/WO STENT S&I,"1,690.00"
AURORA BAYCARE,10000489,XR IVP WITH OR W/O TOMOGRAM,"1,010.00"
AURORA BAYCARE,10000492,XR UROGRAPHY RETROGRADE,"1,010.00"
AURORA BAYCARE,10000493,XR UROGRAPHY ANTEGRADE S&I,857.00
AURORA BAYCARE,10000494,XR CYSTOGRAM 3 VIEW MIN S&I,775.00
AURORA BAYCARE,10000495,XR URETHROGRAM RETROGRADE S&I,785.00
AURORA BAYCARE,10000496,XR CYSTOGRAM VOIDING S&I,"1,050.00"
AURORA BAYCARE,10000498,DILATION NEPHROSTOMY/URETERS S&I,"2,100.00"
AURORA BAYCARE,10000500,XR HYSTEROSALPINGOGRAM S&I,900.00
AURORA BAYCARE,10000502,MR CARDIAC W/O DYE,"3,260.00"
AURORA BAYCARE,10000503,MR CARDIAC W/WO DYE,"5,090.00"
AURORA BAYCARE,10000505,CT HEART W/O DYE CA+EVAL,49.00
AURORA BAYCARE,10000506,CT HEART W/DYE STRUCTURE,"2,600.00"
AURORA BAYCARE,10000508,CT HEART VESSEL W/CONTRAST,"2,600.00"
AURORA BAYCARE,10000509,ANGIO THORACIC S&I,"2,890.00"
AURORA BAYCARE,10000510,ANGIO ABDOMEN S&I,"3,320.00"
AURORA BAYCARE,10000511,ANGIO ABD/BILAT ILIOFEM S&I,"3,470.00"
AURORA BAYCARE,10000512,HB CHB TA ABD AORTA/ILIOFEMORAL,"2,480.00"
AURORA BAYCARE,10000522,ANGIO SPINAL SELECTIVE S&I,"3,190.00"
AURORA BAYCARE,10000523,ANGIO EXTREMITY UNILATERAL S&I,"2,910.00"
AURORA BAYCARE,10000524,ANGIO EXTREMITY BILATERAL S&I,"3,640.00"
AURORA BAYCARE,10000527,ANGIO VISCERAL SELECTIVE S&I,"2,910.00"
AURORA BAYCARE,10000528,ANGIO ADRENAL SELECTIVE S&I,"2,750.00"
AURORA BAYCARE,10000529,ANGIO PELVIC SELECTIVE S&I,"2,650.00"
AURORA BAYCARE,10000530,ANGIO PULMONARY SELECTIVE UNILAT S&I,"2,490.00"
AURORA BAYCARE,10000531,ANGIO PULMONARY SELECTIVE BILAT S&I,"3,740.00"
AURORA BAYCARE,10000532,ANGIO PULMONARY NON-SELECT S&I,"1,860.00"
AURORA BAYCARE,10000533,ANGIO SELECT EA ADD VESSEL S&I,"1,600.00"
AURORA BAYCARE,10000535,SHUNTOGRAM NONVASCULAR S&I,457.00
AURORA BAYCARE,10000536,VENOGRAM EXTREMITY UNILAT S&I,"1,590.00"
AURORA BAYCARE,10000537,VENOGRAM EXTREMITY BILAT S&I,"2,380.00"
AURORA BAYCARE,10000538,VENOGRAM IVC S&I,"3,180.00"
AURORA BAYCARE,10000539,VENOGRAM SVC S&I,"3,180.00"
AURORA BAYCARE,10000540,VENOGRAM RENAL SELECTIVE BILAT S&I,"4,770.00"
AURORA BAYCARE,10000542,VENOGRAM SINUS/JUGULAR S&I,"2,010.00"
AURORA BAYCARE,10000543,VENOGRAM LIVER W/EVAL S&I,"3,590.00"
AURORA BAYCARE,10000544,VENOGRAM LIVER W/O EVAL S&I,"2,390.00"
AURORA BAYCARE,10000545,VENOGRAM HEPATIC W HEMO S&I,"3,820.00"
AURORA BAYCARE,10000546,VENOGRAM HEPATIC WO HEMO S&I,"3,190.00"
AURORA BAYCARE,10000547,VENOUS BLOOD SAMPLING S&I,"4,690.00"
AURORA BAYCARE,10000548,TRANSCATHETER EMBOLIZATION S&I,"4,750.00"
AURORA BAYCARE,10000550,TRANSCATHETER ANGIOGRAPHY F/U,610.00
AURORA BAYCARE,10000552,REMOVE CVL DEVICE OBSTRUCTION S&I,915.00
AURORA BAYCARE,10000570,TRANSCATHETER BIOPSY S&I,"2,720.00"
AURORA BAYCARE,10000574,DRAIN CATH CHANGE W/CONTRAST S&I,"1,100.00"
AURORA BAYCARE,10000575,GUIDED DRAINAGE S&I,"1,900.00"
AURORA BAYCARE,10000581,FLUOROSCOPY UP TO 1 HR,435.00
AURORA BAYCARE,10000582,FLUOROSCOPY OVER 1 HOUR,697.00
AURORA BAYCARE,10000583,XR FOREIGN BODY CHILD SINGLE VIEW,185.00
AURORA BAYCARE,10000584,SINOGRAM S&I,638.00
AURORA BAYCARE,10000585,RAD EXAM SURGICAL SPEC,212.00
AURORA BAYCARE,10000589,3D RENDERING WO POSTPROCESSING,414.00
AURORA BAYCARE,10000590,3D RENDERING W/ POSTPROCESSING,497.00
AURORA BAYCARE,10000591,CT LIMITED OR LOCALIZED EXAM,"1,460.00"
AURORA BAYCARE,10000592,MR SPECTROSCOPY,"2,090.00"
AURORA BAYCARE,10000593,CT PROCEDURE MISCELLANEOUS,"2,440.00"
AURORA BAYCARE,10000594,MR PROCEDURE MISCELLANEOUS,"2,170.00"
AURORA BAYCARE,10000595,XR PROCEDURE MISCELLANEOUS,906.00
AURORA BAYCARE,10000602,"US, SOFT TISSUE HEAD/NECK",640.00
AURORA BAYCARE,10000603,US CHEST,383.00
AURORA BAYCARE,10000605,US ABDOMEN COMPLETE,"1,060.00"
AURORA BAYCARE,10000606,US ABDOMEN LTD,794.00
AURORA BAYCARE,10000607,US RETROPERITONEUM COMPLETE,711.00
AURORA BAYCARE,10000608,US RETROPERITONEUM LTD,533.00
AURORA BAYCARE,10000609,US RENAL TRANSPLANT,"1,010.00"
AURORA BAYCARE,10000610,US SPINAL CORD,618.00
AURORA BAYCARE,10000611,US OB < 14 WK SINGLE FETUS,674.00
AURORA BAYCARE,10000612,US OB <14 WK ADDL FETUS,337.00
AURORA BAYCARE,10000613,US OB >/=14 WK SINGLE FETUS,776.00
