"Data:  10/17-9/18, excludes Rehab, excludes claims having LOS 3X CMS ALOS, excludes DRG's with less than 11 admissions",,,
Facility,DRG,DRG Description,Average Covered Charges
ST LUKES,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","75,820"
ST LUKES,149,DYSEQUILIBRIUM,"28,875"
ST LUKES,152,OTITIS MEDIA & URI W MCC,"29,640"
ST LUKES,153,OTITIS MEDIA & URI W/O MCC,"23,380"
ST LUKES,156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","20,226"
ST LUKES,158,DENTAL & ORAL DISEASES W CC,"32,689"
ST LUKES,159,DENTAL & ORAL DISEASES W/O CC/MCC,"23,925"
ST LUKES,163,MAJOR CHEST PROCEDURES W MCC,"133,206"
ST LUKES,164,MAJOR CHEST PROCEDURES W CC,"79,014"
ST LUKES,165,MAJOR CHEST PROCEDURES W/O CC/MCC,"65,438"
ST LUKES,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"135,849"
ST LUKES,167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"58,067"
ST LUKES,168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"50,926"
ST LUKES,175,PULMONARY EMBOLISM W MCC,"64,863"
ST LUKES,176,PULMONARY EMBOLISM W/O MCC,"34,270"
ST LUKES,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"62,818"
ST LUKES,178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"42,615"
ST LUKES,180,RESPIRATORY NEOPLASMS W MCC,"57,141"
ST LUKES,181,RESPIRATORY NEOPLASMS W CC,"42,583"
ST LUKES,184,MAJOR CHEST TRAUMA W CC,"26,426"
ST LUKES,186,PLEURAL EFFUSION W MCC,"49,821"
ST LUKES,187,PLEURAL EFFUSION W CC,"44,546"
ST LUKES,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"40,294"
ST LUKES,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"34,682"
ST LUKES,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"24,871"
ST LUKES,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"20,494"
ST LUKES,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"42,431"
ST LUKES,194,SIMPLE PNEUMONIA & PLEURISY W CC,"28,123"
ST LUKES,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"20,434"
ST LUKES,196,INTERSTITIAL LUNG DISEASE W MCC,"55,122"
ST LUKES,200,PNEUMOTHORAX W CC,"26,320"
ST LUKES,201,PNEUMOTHORAX W/O CC/MCC,"23,380"
ST LUKES,202,BRONCHITIS & ASTHMA W CC/MCC,"27,984"
ST LUKES,203,BRONCHITIS & ASTHMA W/O CC/MCC,"21,312"
ST LUKES,204,RESPIRATORY SIGNS & SYMPTOMS,"23,551"
ST LUKES,205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"36,370"
ST LUKES,206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"29,250"
ST LUKES,207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"169,986"
ST LUKES,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"81,703"
ST LUKES,216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,"316,601"
ST LUKES,217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,"244,057"
ST LUKES,219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"238,207"
ST LUKES,220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"170,577"
ST LUKES,221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,"143,278"
ST LUKES,226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"213,066"
ST LUKES,227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"206,689"
ST LUKES,228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"225,294"
ST LUKES,229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"167,898"
ST LUKES,233,CORONARY BYPASS W CARDIAC CATH W MCC,"207,860"
ST LUKES,234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"158,512"
ST LUKES,235,CORONARY BYPASS W/O CARDIAC CATH W MCC,"157,957"
ST LUKES,236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"112,184"
ST LUKES,239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"217,683"
ST LUKES,240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"98,313"
ST LUKES,242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"129,199"
ST LUKES,243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"96,295"
ST LUKES,244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"76,728"
ST LUKES,245,AICD GENERATOR PROCEDURES,"210,379"
ST LUKES,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"113,650"
ST LUKES,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"80,923"
ST LUKES,250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,"91,253"
ST LUKES,251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"78,006"
ST LUKES,252,OTHER VASCULAR PROCEDURES W MCC,"111,700"
ST LUKES,253,OTHER VASCULAR PROCEDURES W CC,"87,897"
ST LUKES,254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"56,482"
ST LUKES,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,"190,279"
ST LUKES,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,"96,839"
ST LUKES,264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"147,539"
ST LUKES,266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,"277,732"
ST LUKES,267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,"212,853"
ST LUKES,268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"226,931"
ST LUKES,269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"162,071"
ST LUKES,270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"172,528"
ST LUKES,271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"106,345"
ST LUKES,272,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"87,429"
ST LUKES,273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,"139,146"
ST LUKES,274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"152,246"
ST LUKES,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","57,020"
ST LUKES,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","45,148"
ST LUKES,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","39,788"
ST LUKES,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","59,027"
ST LUKES,286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","88,526"
ST LUKES,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","51,491"
ST LUKES,291,HEART FAILURE & SHOCK W MCC,"41,599"
ST LUKES,292,HEART FAILURE & SHOCK W CC,"33,473"
ST LUKES,293,HEART FAILURE & SHOCK W/O CC/MCC,"24,646"
ST LUKES,296,"CARDIAC ARREST, UNEXPLAINED W MCC","67,675"
ST LUKES,299,PERIPHERAL VASCULAR DISORDERS W MCC,"52,362"
ST LUKES,300,PERIPHERAL VASCULAR DISORDERS W CC,"35,637"
ST LUKES,301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"25,183"
ST LUKES,304,HYPERTENSION W MCC,"33,090"
ST LUKES,305,HYPERTENSION W/O MCC,"27,325"
ST LUKES,307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,"23,512"
ST LUKES,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"37,801"
ST LUKES,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"25,635"
ST LUKES,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"17,369"
ST LUKES,312,SYNCOPE & COLLAPSE,"31,853"
ST LUKES,313,CHEST PAIN,"23,422"
ST LUKES,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"60,406"
ST LUKES,315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"34,408"
ST LUKES,316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"22,593"
ST LUKES,326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","197,299"
ST LUKES,327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","107,439"
ST LUKES,328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","67,667"
ST LUKES,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"186,561"
ST LUKES,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"94,283"
ST LUKES,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"63,817"
ST LUKES,335,PERITONEAL ADHESIOLYSIS W MCC,"175,791"
ST LUKES,336,PERITONEAL ADHESIOLYSIS W CC,"124,264"
ST LUKES,337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"82,713"
ST LUKES,339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"67,119"
ST LUKES,340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"53,098"
ST LUKES,343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"44,014"
ST LUKES,351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"63,795"
ST LUKES,354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"90,503"
ST LUKES,355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"74,028"
ST LUKES,356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"156,950"
ST LUKES,357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"101,286"
ST LUKES,371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"55,343"
ST LUKES,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"36,533"
ST LUKES,373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"23,554"
ST LUKES,374,DIGESTIVE MALIGNANCY W MCC,"55,182"
ST LUKES,375,DIGESTIVE MALIGNANCY W CC,"42,181"
ST LUKES,377,G.I. HEMORRHAGE W MCC,"65,222"
ST LUKES,378,G.I. HEMORRHAGE W CC,"38,607"
ST LUKES,379,G.I. HEMORRHAGE W/O CC/MCC,"26,816"
ST LUKES,381,COMPLICATED PEPTIC ULCER W CC,"37,542"
ST LUKES,384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"39,770"
ST LUKES,386,INFLAMMATORY BOWEL DISEASE W CC,"34,232"
ST LUKES,388,G.I. OBSTRUCTION W MCC,"47,683"
ST LUKES,389,G.I. OBSTRUCTION W CC,"33,596"
ST LUKES,390,G.I. OBSTRUCTION W/O CC/MCC,"25,206"
ST LUKES,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","43,481"
ST LUKES,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","29,237"
ST LUKES,393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"53,556"
ST LUKES,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"35,130"
ST LUKES,395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"25,391"
ST LUKES,405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC","175,038"
ST LUKES,406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC","125,909"
ST LUKES,417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"104,352"
ST LUKES,418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"65,718"
ST LUKES,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"50,306"
ST LUKES,432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"78,471"
ST LUKES,433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"34,634"
ST LUKES,435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"71,696"
ST LUKES,436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"56,962"
ST LUKES,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"55,194"
ST LUKES,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"34,799"
ST LUKES,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"23,692"
ST LUKES,441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","72,988"
ST LUKES,442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","34,293"
ST LUKES,443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","26,608"
ST LUKES,444,DISORDERS OF THE BILIARY TRACT W MCC,"69,878"
ST LUKES,445,DISORDERS OF THE BILIARY TRACT W CC,"44,451"
ST LUKES,446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"29,122"
ST LUKES,453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,"411,914"
ST LUKES,454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"227,274"
ST LUKES,455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"160,155"
ST LUKES,459,SPINAL FUSION EXCEPT CERVICAL W MCC,"212,747"
ST LUKES,460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"148,705"
ST LUKES,462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"122,491"
ST LUKES,463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","173,188"
ST LUKES,464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","94,699"
ST LUKES,467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"95,313"
ST LUKES,468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"84,627"
ST LUKES,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"102,950"
ST LUKES,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"76,601"
ST LUKES,472,CERVICAL SPINAL FUSION W CC,"105,792"
ST LUKES,473,CERVICAL SPINAL FUSION W/O CC/MCC,"87,057"
ST LUKES,474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,"99,970"
ST LUKES,475,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,"84,243"
ST LUKES,478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,"66,212"
ST LUKES,480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"107,843"
ST LUKES,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"74,968"
ST LUKES,482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"59,158"
ST LUKES,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"86,915"
ST LUKES,489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"53,969"
ST LUKES,493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","74,613"
ST LUKES,494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","58,427"
ST LUKES,501,SOFT TISSUE PROCEDURES W CC,"69,947"
ST LUKES,502,SOFT TISSUE PROCEDURES W/O CC/MCC,"40,732"
ST LUKES,512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","46,964"
ST LUKES,515,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,"135,036"
ST LUKES,516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,"75,729"
ST LUKES,517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"54,463"
ST LUKES,519,BACK & NECK PROC EXC SPINAL FUSION W CC,"84,081"
ST LUKES,520,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,"50,520"
ST LUKES,536,FRACTURES OF HIP & PELVIS W/O MCC,"28,624"
ST LUKES,540,OSTEOMYELITIS W CC,"30,251"
ST LUKES,543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"55,450"
ST LUKES,546,CONNECTIVE TISSUE DISORDERS W CC,"52,012"
ST LUKES,551,MEDICAL BACK PROBLEMS W MCC,"43,595"
ST LUKES,552,MEDICAL BACK PROBLEMS W/O MCC,"32,562"
ST LUKES,554,BONE DISEASES & ARTHROPATHIES W/O MCC,"29,196"
ST LUKES,556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"32,692"
ST LUKES,558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","30,385"
ST LUKES,563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","26,820"
ST LUKES,564,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,"59,214"
ST LUKES,565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,"37,727"
ST LUKES,570,SKIN DEBRIDEMENT W MCC,"117,408"
ST LUKES,571,SKIN DEBRIDEMENT W CC,"54,276"
ST LUKES,580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","51,495"
ST LUKES,581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","51,856"
ST LUKES,602,CELLULITIS W MCC,"39,094"
ST LUKES,603,CELLULITIS W/O MCC,"26,848"
ST LUKES,605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","29,387"
ST LUKES,607,MINOR SKIN DISORDERS W/O MCC,"22,784"
ST LUKES,614,ADRENAL & PITUITARY PROCEDURES W CC/MCC,"109,997"
ST LUKES,615,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,"89,940"
ST LUKES,617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","81,954"
ST LUKES,626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC","65,591"
ST LUKES,629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","88,036"
ST LUKES,637,DIABETES W MCC,"54,273"
ST LUKES,638,DIABETES W CC,"27,346"
ST LUKES,639,DIABETES W/O CC/MCC,"18,263"
ST LUKES,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","38,348"
ST LUKES,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","27,705"
ST LUKES,644,ENDOCRINE DISORDERS W CC,"30,543"
ST LUKES,652,KIDNEY TRANSPLANT,"303,805"
ST LUKES,654,MAJOR BLADDER PROCEDURES W CC,"112,677"
ST LUKES,657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,"81,927"
ST LUKES,658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"58,477"
ST LUKES,660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,"77,274"
ST LUKES,661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,"59,008"
ST LUKES,663,MINOR BLADDER PROCEDURES W CC,"58,002"
ST LUKES,668,TRANSURETHRAL PROCEDURES W MCC,"98,869"
ST LUKES,669,TRANSURETHRAL PROCEDURES W CC,"46,776"
ST LUKES,673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"130,674"
ST LUKES,674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,"78,746"
ST LUKES,682,RENAL FAILURE W MCC,"50,091"
ST LUKES,683,RENAL FAILURE W CC,"29,894"
ST LUKES,684,RENAL FAILURE W/O CC/MCC,"20,118"
ST LUKES,689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"45,221"
ST LUKES,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"27,857"
ST LUKES,694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"28,809"
ST LUKES,696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"24,524"
ST LUKES,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"50,526"
ST LUKES,699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"34,617"
ST LUKES,700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"23,722"
ST LUKES,707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,"65,182"
ST LUKES,708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"56,863"
ST LUKES,728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"31,004"
ST LUKES,737,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC,"83,718"
ST LUKES,739,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC","175,678"
