DESCRIPTION,,PRICE
ASSAY OF MANGANESE,,$69.00
ASSAY OF CADMIUM,,$67.00
ASSAY OF URINE CREATININE,,$77.00
ASSAY OF NICKEL,,$69.00
QUANTITATIVE SCREEN METALS,,$114.00
ASSAY OF MANGANESE,,$79.00
ASSAY OF COPPER,,$62.00
IMMUNOASSAY QUANT NOS NONAB,,$839.00
ASSAY OF DIHYDROCODEINONE,,$257.00
LAB-81479A- SNP ID BY RFLP (ARC),,$545.00
LAB-81479B- MULTIPLEX BY PCR (ARC),,$677.00
LAB-81479C RBC or Platelet SNP array (ARC),,$805.00
LAB-81479D - RFLP  and multiplex (ARC),,$936.00
LAB-81479E -SNP ID by RFLP  and 1 exon seq (ARC),,"$1,067.00"
RHD Variant by SNP,,$859.00
LAB-81479G- SNP ID by RFLP and 2-5 exon seq (ARC),,"$1,327.00"
LAB-81479H- SNP ID by RFLP and 6-10 exon seq (ARC),,"$1,458.00"
LAB-81479I- SNP ID by 11-25 exon seq (ARC),,"$1,586.00"
RHCE VARIANT BY SNP,,$859.00
LAB-81479K- SNP ID by RFLP and exon seq (ARC),,"$1,846.00"
LAB-81479L- cDNA analysis variants (ARC),,"$1,977.00"
NARCOLEPSY (HLA-DQB1 06:02) GENOTYPING (SO)ARUP,,$622.00
CONNEXIN RELATED DEAFNESS EVALUATION (SO),,"$2,997.00"
CD19 B-CELLS (FLOW CYTOMETRY) SO,,$81.00
HEA -RBC-  GENOTYPING PANEL SREF-HEA-1(ARC),,$667.00
HPA-RBC- PLATELET GENOTYPING PANEL SREF-HPA (ARC),,$849.00
RHZ- ZYGOSITY OR COMMON ALLELES SREF-RHZ (ARC),,$667.00
RHI - MULTIPLE SNP ID BY RFLP SREF-RHI (ARC),,$910.00
HPA- 1A/1B SR81400A (ARC),,$485.00
ADAMTS 13 INHIBITOR (SO),,$379.00
HIV GENOTYPING,,"$1,201.00"
HLA I TYPING PLT TRANS (SO),,"$1,375.00"
HLA AB ID (SO),,$565.00
"NPM (EXON 12) MUTATION,GENE ANALY(SO)",,$612.00
"JAK2 Mutation (V617F), Leumeta(SO)",,$880.00
"MPL W515 and MPL S505, QL(SO)",,$909.00
"JAK2 V617F, QL w/ Reflex(SO)",,$885.00
"JAK2 V617F Mutation, Quant(SO)",,$689.00
"FLT3 ITD and TKD Mut,Gene Analy(SO)",,$322.00
"FLT3 ITD and TKD Mutation,Variants(SO)",,$445.00
CEBPA Mutation(SO),,$576.00
Myelodysplastic Syndrome(SO),,"$2,285.00"
Myeloproliferative Neoplasm Mut(SO),,"$1,655.00"
"Lympho Clonal Panel,IGH PCR(SO)",,$760.00
"Lympho Clonal Panel, IGK,PCR(SO)",,$878.00
"Lympho Clonal Panel,TRB PCR(SO)",,$913.00
"Lympho Clonal Panel,TRG PCR(SO)",,$526.00
"Lympho Clonal Panel, PCR,Unlisted Proc(SO)",,$624.00
B-Cell Clonality Panel (IGH)(SO),,$517.00
B-Cell Clonality Panel (IGK)(SO),,$653.00
"B-Cell Clonality Panel,Unlisted Proc(SO)",,$550.00
"MYD88, Mutation Analysis(SO)",,$900.00
"KIT D816, Mutation Analysis(SO)",,"$1,243.00"
AML1/ ETO t(8;21) Quant.(SO),,$925.00
"Fish, ALL, TEL/ AML1 Translocation(SO)",,$593.00
"Fish, ALL, TEL/ AML1 Transl,100-300 Cells(SO)",,$357.00
"Chromosome Analysis, Lymph Node,BM(SO)",,"$1,347.00"
"ChromAnaly, Lymph Node,20-25 Cells(SO)",,"$1,567.00"
"Fish, B-Cell Malignancy, IGH, 14q32(SO)",,$460.00
"Fish, B-Cell Malig, IGH, 14q32,100-300 Cells(SO)",,$395.00
ZAP -70(SO),,$231.00
"ZAP -70,Add Marker(SO)",,$231.00
"CLL Prognostic Panel,First Marker(SO)",,$130.00
"CLL Prognostic Panel,Add Marker(SO)-1",,$218.00
"CLL Prognostic Panel,Add Marker(SO)-2",,$130.00
"CLL Prognostic Panel,IGH(SO)",,$463.00
"CLL Prognostic Panel,Beta-2(SO)",,$559.00
"CLL Prognostic Panel,DNA Probe(SO)-1",,$327.00
"CLL Prognostic Panel,DNA Probe(SO)-2",,$218.00
"CLL Prognostic Panel,DNA Probe(SO)-3",,$218.00
"CLL Prognostic Panel,DNA Probe(SO)-4",,$218.00
"CLL Prognostic Panel,DNA Probe(SO)-5",,$218.00
"CLL Prognostic Panel,100-300 Cells(SO)-1",,$218.00
"CLL Prognostic Panel,100-300 Cells(SO)-2",,$218.00
"CLL Prognostic Panel,100-300 Cells(SO)-3",,$218.00
"CLL Prognostic Panel,100-300 Cells(SO)-4",,$218.00
"CLL Prognostic Panel,100-300 Cells(SO)-5",,$218.00
"CLL Prognostic Panel,BM(SO)",,$233.00
"CLL Prognostic Panel,20-25 Cells(SO)",,$382.00
"CHROM, CLL/LPD,BM(SO)",,$592.00
"CHROM, CLL/LPD, 20-25 Cells(SO)",,$592.00
"CHROM, CLL/LPD,Interp(SO)",,$592.00
"Fish, ALL, Pre-B,100-300 Cells(SO)",,"$1,002.00"
"Fish, MALT Lymph, rea18q21,DNA Probe(SO)-1",,$303.00
"Fish, MALT Lymph, rea18q21,DNA Probe(SO)-2",,$303.00
"Fish, MALT Lymph, rea18q21100-300 Cells(SO)",,$303.00
"Fish, TCL1, 14q32.1,DNA Probe(SO)-1",,$231.00
"Fish, TCL1, 14q32.1,DNA Probe(SO)-2",,$231.00
"Fish, TCL1, 14q32.1,100-300 Cells(SO)",,$231.00
"Fish, T-Cell Receptor Alpha/ Delta,DNA Probe(SO)-1",,$231.00
"Fish, T-Cell Receptor Alpha/ Delta,DNA Probe(SO)-2",,$231.00
"Fish, T-Cell Receptor Alpha/ Delta,100-300 Cells(S",,$231.00
"Chrom. Microarray, Hematologic Malig.(SO)",,"$2,718.00"
"Fish, Mult Myel, IGH/ MAFB,DNA Probe(SO)-1",,$283.00
"Fish, Mult Myel, IGH/ MAFB,DNA Probe(SO)-2",,$231.00
"Fish, Mult Myel, IGH/ MAFB,100-300 Cells(SO)",,$231.00
"Fish, Mult Myel, 1q21,DNA Probe(SO)-1",,$231.00
"Fish, Mult Myel, 1q21,DNA Probe(SO)-2",,$231.00
"Fish, Mult Myel, 1q21,100-300 Cells(SO)",,$231.00
"Fish, Myeloid Neopl, MECOM,DNA Probe(SO)-1",,$251.00
"Fish, Myeloid Neopl, MECOM,DNA Probe(SO)-2",,$251.00
"Fish, Myeloid Neopl, MECOM,DNA Probe(SO)-3",,$251.00
"Fish, Myeloid Neoplasms, MECOM,100-300 Cells(SO)",,$251.00
"Fish, High-Grade LymphPanel,DNA Probe(SO)-1",,$312.00
"Fish, High-Grade LymphPanel,DNA Probe(SO)-2",,$312.00
"Fish, High-Grade LymphPanel,DNA Probe(SO)-3",,$312.00
"Fish, High-Grade LymphPanel,DNA Probe(SO)-4",,$312.00
"Fish, High-Grade LymphPanel,DNA Probe(SO)-5",,$312.00
"Fish, High-Grade LymphPanel,DNA Probe(SO)-6",,$312.00
"Fish, High-Grade LymphPanel,100-300 Cells(SO)-1",,$312.00
"Fish, High-Grade LymphPanel,100-300 Cells(SO)-2",,$312.00
"Fish, High-Grade LymphPanel,100-300 Cells(SO)-3",,$312.00
"CLL Prognostic Panel, Comp,First Marker(SO)",,$129.00
"CLL Prognostic Panel, Comp,Add  Marker(SO)-1",,$500.00
"CLL Prognostic Panel, Comp,Add  Marker(SO)-2",,$77.00
"CLL Prognostic Panel,Comp,Beta-2(SO)",,$77.00
"CLL Prognostic Panel, Comp,DNA Probe(SO)-1",,$194.00
"CLL Prognostic Panel, Comp,DNA Probe(SO)-2",,$129.00
"CLL Prognostic Panel, Comp,DNA Probe(SO)-3",,$129.00
"CLL Prognostic Panel, Comp,DNA Probe(SO)-4",,$129.00
"CLL Prognostic Panel, Comp,DNA Probe(SO)-5",,$129.00
"CLL Prognostic Panel, Comp,100-300 Cells(SO)-1",,$129.00
"CLL Prognostic Panel, Comp,100-300 Cells(SO)-2",,$129.00
"CLL Prognostic Panel, Comp,100-300 Cells(SO)-3",,$129.00
"CLL Prognostic Panel, Comp,100-300 Cells(SO)-4",,$129.00
"CLL Prognostic Panel, Comp,100-300 Cells(SO)-5",,$129.00
"CLL Lymphoma Follow-up Panel,First Marker(SO)",,$119.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-1",,$500.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-2",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-3",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-4",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-5",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-6",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-7",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-8",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-9",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-10",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-11",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-12",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-13",,$71.00
"CLL Lymphoma Follow-up Panel,Add Marker(SO)-14",,$71.00
"CLL Lymphoma Follow-up Panel,9-15 Markers(SO)",,$71.00
"CLL LYMPHOMA FOLLOW-UP PANEL,9-15 MARKERS(SO)",,$71.00
"GLU-RANDOM,WB MICRO",,$251.00
ABID EACH SELECTED CELL,,$150.00
DCT CLOT - ARC,,$141.00
"DIRECT COOMBS, C3D - ARC",,$141.00
DIRECT COOMBS TEST (DAT)**,,$141.00
"DCT,ANTI-IGG",,$141.00
"DCT,ANTI-C3D",,$141.00
ANTIBODY TITER,,$147.00
"BLOOD TYPING, SEROLOGIC, ABO",,$143.00
"BLOOD TYPING, SEROLOGIC, ABO",,$143.00
"BLOOD TYPING, SEROLOGIC, ABO",,$143.00
"BLOOD TYPING, SEROLOGIC, RH (D)",,$143.00
"BLOOD TYPING, SEROLOGIC, RH (D)",,$143.00
BLOOD TYPE ANTIGEN DONOR EA,,"$2,572.00"
BLOOD TYPE ANTIGEN DONOR EA,,"$2,572.00"
FENTANYL - URINE,,$223.00
AMPHETAMINE - URINE,,$223.00
METHAQUALONE - URINE,,$207.00
PROPOXYPHENE - URINE,,$223.00
ACT,,$87.00
QUANTITATIVE SCREEN METALS,,$210.00
SPECTROPHOTOMETRY,,$210.00
RIA NONANTIBODY,,"$1,284.00"
RUBEOLA ANTIBODY,,$100.00
PLATELET ANTIBODIES,,$112.00
ASSAY SERUM CHOLINESTERASE,,$43.00
ASSAY OF DIBUCAINE NUMBER,,$49.00
TUMOR IMMUNOHISTOCHEM/MANUAL,,$911.00
VIRUS ANTIBODY NOS,,$336.00
HEPATITIS DELTA AG EIA,,$202.00
