Service Area,Description,Revenue Code, Charge Patient Pay 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018  200CM FLEX-T GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 198 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 145 FLEX T WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 155 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 180CM STRAIGHT GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 89 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 80CM GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 123 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 GLIDEWIRE GOLD,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 237 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 GLIDEWIRE GT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278], 352 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 INTERMEDIATE GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 139 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 STANDARD GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 139 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 X 180 90/60DEG ANGLE GLID,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 383 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 X 180 90DEG ANGLE GLIDEWI,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 383 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018 X 300 STEELCORE WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 161 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018/180CM HI WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 68 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.018/180CM STRAIGHT GLIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 106 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.025 ARGON WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 14 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.025 TIP DEFLECTORS,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 123 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 145 WHOLEY FLOPPY WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 135 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 145 WHOLEY MOD J WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 31 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 180 ANGLED GLIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 364 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 180 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 54 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 58 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 98 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 TIP DEFLECTOR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 123 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 X 260 GLIDEWIRE ADVANTAGE ANGLE TIP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 420 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035 X 260 MAJIC WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 117 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.035X150CM FC STRAIGHT GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 13 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.038 180 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 351 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.038 GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 13 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,.078 RIGHT SH GUIDE CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 104 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,>48HR PATCH HOOKUP,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731], 159 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,>48HR ZIO PATCH SCANNING,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731], 261 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,0 .035 x 180cm Roadrunner UniGlide Hydrophilic Wire Guide,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 63 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.009 - .018"" TORQUE DEVICE (PK/10)",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 9 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.014"" X 180 CM ASAHI FIELDER PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 161 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.014"" X 300 CM ASAHI MIRACLEBROS 4.5 PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 237 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.014"" X 300CM ASAHI CONFIANZA PRO 12 PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 200 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.014"" X 300CM ASAHI MIRACLEBROS 12 PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 237 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,0.014in x 180cm Charter Guidewire w/ Shapeable Tip,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 1,459 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.014IN X 190 CM ASAHI FIELDER XT PTCA GUIDEWIRE, STRAIGHT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 237 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.014in x 190cm Cougar XT Steerable Guidewire, Hydrophilic, J-tip",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 153 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.016"" x 180cm, 25cm tip, Fathom Steerable Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 445 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,0.018in x 180cm Charter Guidewire w/ Shapeable Tip,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 1,459 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,0.018IN X 70CM NAVILYST HYDROPHILIC-COATED GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 39 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.018IN X 80CM, MAK NITINOL GUIDEWIRE WITH PLATINUM TIP",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 62 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,0.025IN X 230CM PROTRACK PIGTAIL GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 284 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035 x 180cm, BEN/STR/PTFE/15 Starter Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 133 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035 x 180cm, ROS/1.5J/PTFE/3 Starter Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 109 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035""X300CM EXTR STIFF DBLE CRVD GWIRE 15MM TIP CRVE 75MM WIRE CRVE",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 205 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035IN X 150CM INQWIRE DIAG GWIRE, FIXED-CORE HEPARIN COATED, 3MM",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 16 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035IN X 260CM HI-TORQUE VERSACORE GUIDE WIRE, MODIFIED J",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 176 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035IN X150CM INQWIRE DIAG GWIRE, FIXED-CORE HEPARIN COAT, 23CM",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 18 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035IN X180CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COAT, 1.5MM",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 18 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035IN X180CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COAT, SUPER",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 39 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035IN X260CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COAT",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 29 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035IN X80CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COAT, 1.5MM J",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 18 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.035INX260CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COATED, SPR STIFF",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 63 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.038 x 150cm, JFC/15J/PTFE/3 Starter Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 86 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.038 x 150cm, JFC/3J/PTFE/3 Starter Guidewire",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 86 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.038"" x 260cm Bentson Straight Cerebral Fixed Core Guidewire, TFE Coa",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 118 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.038IN X 150CM INQWIRE DIAG GWIRE, FIXED-CORE HEPARIN COATED, 23CM",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 18 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.038IN X 150CM INQWIRE DIAG GWIRE, FIXED-CORE HEPARIN COATED, 3MM",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 17 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.038IN X150CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COAT, 15MM J-TIP",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 14 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0.038IN X150CM INQWIRE DIAG GWIRE, FIXED-CORE PTFE COAT, 3MM J-TIP",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 14 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 300-3 SW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 153 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 300-30SW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 139 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 300CM EX S'PORT SW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 161 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 FATHOM PRE SHAPED GUIDEWIR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 423 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 STANDARD GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 153 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 X 174 VISION STR WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278], 144 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 X 182 SCEPTOR FLOPPY SW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 263 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014 X 300 BALANCE MIDDLEWEIGHT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 136 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/180 XS STABILIZER GUIDEWIR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 705 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/190 TRANSEND WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 340 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/190 TRAVERSE GWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 165 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/200 FATHOM GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 423 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/200 SYNCHRO GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 1,007 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/200CM SILVERSPEED GWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 439 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/200CM XPEDION GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 400 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/300 TRANSEND GW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 984 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/300CM SYNCHRO GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 1,240 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014/300CM X-CELERATOR GUIDEWIR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 646 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014X115CM TRAXCESS DOCKING GUI,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 292 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014X200CM TRAXCESS 14 EX GUIDE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 605 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014X200CM TRAXCESS 14 GUIDEWIR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 574 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,014X300 BALANCE MIDDLE WEIGHT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 136 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,"0-15 WATER BLOOD FLOW, BRAIN",OTHER IMAGING SERVICES - POSITRON EMISSION TOMOGRAPHY [0404], 868 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,017MM/195CM COIL PUSHER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 890 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018 300CM WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 139 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018 300CM WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 139 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018 AGILITY GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 787 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018 ANGLE GLIDEWIRE TEURMO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 530 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018 X 80 GALT GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 200 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018/180 PLATINUM PLUS GW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 148 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018/260 PLATINUM PLUS GW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 148 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018/60CM NITINOL GUIDEWIRE GAU,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 29 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018/80 NIT-VU GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 399 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,018X150 TERUMO GLIDEWIRE ANGLE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270], 106 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,02 SATURATION -- DIRECT,LABORATORY - GENERAL CLASSIFICATION [0300], 6 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,02 SATURATION -- DIRECT,LABORATORY - GENERAL CLASSIFICATION [0300], 6 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,025 X 150 CM ST,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 81 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035 145 WHOLEY GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 588 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035 150 B.S. BENTSON WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 50 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035 GW LOC EXT SYSTEM,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270], 372 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035 X 145 AMPLATZ SUPER STIFF,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 49 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035 X 150 5CM FLEX TIP STIFF S,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 331 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035 X 260 AMPLATZ SUPER STIFF,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 80 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035 X 260 GLIDEWIRE ANGLE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 76 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035/150 ANGLE GLIDEWIRE TEURMO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 65 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035/150 STIFF ANGLE GLIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 99 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035/150CM 3J STARTER WIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 106 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035/180 GLIDEWIRE ADVANTAGE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 377 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,035-260 MAGIC TORQUE GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 243 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,038 150 LT ANGL GW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 72 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,038/150 ANGLE GLIDEWIRE TEURMO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 65 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,038/150 STIFF ANG GLIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 99 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,038/150 STIFF ANG GLIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 99 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,038/260 GLIDEWIRE TERUMO,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 98 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,043925 ROSEN GW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 21 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,044 X 115CM DISTAL ACCESS CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 4,929 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,044 X 130CM DISTAL ACCESS CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 4,929 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,044 X 136 DISTAL ACCESS CATHET,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 4,929 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,054 PENUMBRA REPERFUSION CATHE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 2,029 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,057 X 115CM DISTAL ACCESS CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 4,929 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,057 X 125CM DISTAL ACCESS CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272]," 4,929 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,08/2.25 Xience Xpedition OTW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]," 2,003 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,08/2.5 RESOLUTE INTEGRITY STEN,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]," 1,777 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,08/2.50 Xience Xpedition OTW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]," 2,003 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,08/2.75 Xience Xpedition OTW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]," 2,003 "
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,08/200CM MIRAGE GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272], 681 
WAKE FOREST BAPTIST MEDICAL CENTER Baptist,08/3.0 Xience Xpedition OTW,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278]," 2,003 "
