Service Area,Description,Revenue Code,Charge Patient Pay
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,17-HYDROXYPROGESTERONE,LABORATORY - GENERAL CLASSIFICATION [0300],123
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,17-OH PROGESTERONE,LABORATORY - GENERAL CLASSIFICATION [0300],123
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,18-19-20 BALLOON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],450
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,1HR,LABORATORY - UROLOGY [0307],15
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,20/22 IV CATHLON,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],8
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"21-HYDROXYLASE ANTIBODIES, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],58
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,22G SPINAL CHIBA NEEDLE DISP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],36
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,24 HR AMB BP MONITORING: SCAN PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],52
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,24 HR. AMB BP MONITOR RECORDIN PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],52
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,24-48 HR HOLTER HOOK-UP,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731],169
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,24-48 HR HOLTER SCANNING,EKG/ECG (ELECTROCARDIOGRAM) - HOLTER MONITOR [0731],254
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,2D ECHOCARD LIMITED ADULT,CARDIOLOGY - ECHOCARDIOLOGY [0483],178
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3.0 ETHILON SUTURE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],6
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3.0 VICRYL SUTURE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],13
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3D POSITIONAL TRACKING,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY [0333],97
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3D POST PROCESSING IND STATION IN SUITE,OTHER IMAGING SERVICES - ULTRASOUND [0402],445
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3-D RADIATION TREATMENT PLNG,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY [0333],6902
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3-D RECONSTRUCTION,OTHER IMAGING SERVICES - ULTRASOUND [0402],295
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3MM DISPOSAL DERMAL CURETTS,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],6
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3-WAY STOPCOCK,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],13
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,3X8 EMOLSION STRIP,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,4.0 VICRYL SUTURE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],13
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,4FR SINGLE LUMEN XPP PICC TRAY,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],374
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,4MM DISPOSAL DERMAL CURETTS,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],6
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,5 HIAA (SENDOUT) (BEAKER),LABORATORY - CHEMISTRY [0301],40
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,5FR DUAL LUMEN XPP PICC TRAY,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],374
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"5-HIAA, RANDOM",LABORATORY - CHEMISTRY [0301],49
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,5-HYDROXYTRYPTAMINE,LABORATORY - GENERAL CLASSIFICATION [0300],117
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"60""MIROBORE TUBING",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,62323  NJX INTERLAMINAR LMBR/SAC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],241
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,763824 12+OXYCODONE+CRT-UNBUND (SENDOUT) - PAIN MGMT PANEL 13 - LC,LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,99281 EMERGENCY ROOM MINIMAL-1,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],81
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,99282 EMERGENCY ROOM BRIEF-2,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],134
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,99283 EMERGENCY ROOM LIMITED-3,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],255
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,99284 EMERGENCY INTERMEDIATE-4,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],405
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,99285 EMERGENCY ROOM EXTENDED-5,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],576
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,99291 CRITICAL CARE-ED,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],511
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABD PARACENTESIS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],304
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABD PARACENTESIS W/IMAGING PBC,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],447
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABDOMEN 1 VIEW (KUB),RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],109
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABDOMEN COMPLETE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],192
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABDOMINAL BINDER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],38
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABDOMINAL PARACENTESIS NO GUID,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],304
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABLATE INF TURBINATE SUPERF PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],228
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABLATION OF THYROID GLAND,NUCLEAR MEDICINE - GENERAL CLASSIFICATION [0340],203
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ABLATION, SOFT TISSUE INFERIOR TURB/INTRAMURAL",SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],417
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABO GROUP,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION [0390]",16
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ABRASION, <= 4 LESIONS, ADD-ON",SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],38
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABRASION; SGL LESION LERS,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],38
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ABSCESS LOCALIZATION LIMITED-IMG,NUCLEAR MEDICINE - GENERAL CLASSIFICATION [0340],397
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,Acapella Supply Device,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],64
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACCESSORY KIT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],404
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACCESSORY KIT WITH TOUHY NEEDLE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],182
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACCUSTICK (20-602),MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],209
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACE BANDAGE 2""",MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACE BANDAGE 3""",MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACE BANDAGE 4""",MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACE BANDAGE 6""",MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACETAMINOPHEN ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],45
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACETOACETATE, SERUM OR PLASMA (SENDOUT)",LABORATORY - CHEMISTRY [0301],138
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACETONE, BLOOD (BEAKER)",LABORATORY - GENERAL CLASSIFICATION [0300],9
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACETYLCHOLINE REC AB BINDING (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],26
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,Acetylcholine Receptor Blocking Antibody (Beaker),LABORATORY - CHEMISTRY [0301],125
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACID FAST CULTURE (Beaker),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACID FAST SMEAR (BEAKER),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],18
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACID PHOSPHATASE, PROSTATIC (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],22
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACNE SURGERY PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],26
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACOUSTIC REFLEX TESTING,AUDIOLOGY - DIAGNOSTIC [0471],21
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACROMICLAVICULAR JOINTS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],61
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACTH (PLASMA) (Beaker),LABORATORY - CHEMISTRY [0301],81
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACTICOAT DRESSING 4 X 5,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],83
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACTICOAT DRESSING 6 X 6,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],140
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ACTIN ANTIBODY, IGG (SENDOUT) (BEAKER)",LABORATORY - CHEMISTRY [0301],43
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACTIVE WOUND CARE/ 20 CM OR < PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],112
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACTIVE WOUND CARE/ 20 CM OR < PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],112
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ACUTE ABDOMEN SERIES,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],164
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADAPTER POSITIVE PRESSURE CLC,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],9
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADDED SKIN LESIONS INJECTION >7C,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],27
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ADENOSINE DEAMINASE, CSF (SENDOUT",LABORATORY - CHEMISTRY [0301],119
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADENOVIRUS AB,LABORATORY - IMMUNOLOGY [0302],21
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMIN HEPATITIS B VACCINE,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],35
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMIN OF CAREGIVER HLTH RISK ASSMT,CLINIC - GENERAL CLASSIFICATION [0510],11
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMIN OF EACH ADD IMMUNIZATION PBC,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],17
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMIN OF IMMUNIZATION INTRANAS PBC,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],12
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMIN OF ONE INTRANASAL VACCINE PBC,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],26
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMIN OF PNEUMOCOCCAL VACCINE,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],35
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMIN OF PT-FOCUSED HLTH RISK ASSMT,CLINIC - GENERAL CLASSIFICATION [0510],11
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMINISTRATION OF VACCINE,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],35
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADMINISTRATION OF VACCINE,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],35
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADULT AEROSOL MASK,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ADULT NASAL HIGH FLOW CANNULA, LARGE",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],6
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ADULT NASAL HIGH FLOW CANNULA, MEDIUM",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],6
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ADULT NASAL HIGH FLOW CANNULA, SMALL",MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],6
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADULT ORAL/NASAL CO2 W/O2 CANNULA,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],52
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ADULT/PED AIRWAY ADAPTOR KIT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],36
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROBIC BACTERIAL ID (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],28
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROBIC SENSITIVITY (BEAKER),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],39
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROBIKA SUPPLY DEVICE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],75
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROCHAMBER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],72
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROCHAMBER PLUS 2 STAT VALVED HOLDING CHAMBER W/MASK,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],4
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROSOL NEBULIZER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],12
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROSOL NEBULIZER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AEROSOL PENTAMIDEN FOR P. CARINII,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],45
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AGENT NOS ASSAY W/OPTIC,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AGENT NOS ASSAY W/OPTIC,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AIR OVERLAY,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],86
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AIRVO2 TUBE AND CHAMBER KIT (JUNIOR),MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],20
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AIRWAY INHALATION TREATMENT PBC,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],44
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AIRWAY NASOPHARYNGEAL 6MM,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AIRWAY NASOPHARYNGEAL 7MM,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AIRWAY NASOPHARYNGEAL 8MM,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALARYNGEAL SPEECH EVALUATION,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],240
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALARYNGEAL SPEECH EVALUATION,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],17
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALBUMIN - SFTB,LABORATORY - CHEMISTRY [0301],19
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"Albumin, CSF-MS Profile (Beaker)",LABORATORY - CHEMISTRY [0301],4
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"Albumin, Serum-MS Profile (Beaker)",LABORATORY - CHEMISTRY [0301],4
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ALBUMIN, URINE",LABORATORY - CHEMISTRY [0301],46
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALCOHOL ASSAY (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],51
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALDOLASE,LABORATORY - CHEMISTRY [0301],34
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALDOSTERONE (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],54
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ALDOSTERONE, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALKALINE PHOSPHOTASE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],11
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALLERGEN SPECIFIC IGE PBC,LABORATORY - IMMUNOLOGY [0302],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALLERGEN SPECIFIC IGE PBC,LABORATORY - IMMUNOLOGY [0302],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ALLERGENS, FOOD PANEL",LABORATORY - IMMUNOLOGY [0302],11
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALLEVYN GENTLE BORDER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],13
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALLEVYN GENTLE DRESSING 4X4,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALLEVYN GENTLE DRESSING 4X4,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],14
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALLOGENIC TRANSPLANT PBC,OPERATING ROOM SERVICES - ORGAN TRANSPLANT - OTHER THAN KIDNEY [0362],995
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALOE VESTA CLEANING FOAM,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],15
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALPHA 1 GLOBULIN,LABORATORY - CHEMISTRY [0301],19
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALPHA LACTOALBUMIN IGE (SENDOUT),LABORATORY - IMMUNOLOGY [0302],63
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALPHA-1 -ANTITRYPSIN PHENOTYPE (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],11
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALPHA-2-ANTIPLASMIN,LABORATORY - GENERAL CLASSIFICATION [0300],53
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALPHA-FETOPROTEIN MARKER (SENDOUT) (BEAKER),LABORATORY - CHEMISTRY [0301],31
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,"ALPHA-GALACTOSIDASE, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],225
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,ALT/SGPT ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],20
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMBU BAG,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],32
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMBULATORY RETRAINING,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],40
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMIKACIN (Beaker),LABORATORY - CHEMISTRY [0301],9
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMIODARONE (Beaker),LABORATORY - CHEMISTRY [0301],19
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMITRIPTYLINE (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],41
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMMONIA ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],20
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMNIHOOKS,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],7
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMNIOCENTESIS TRAY-PROCEDURE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],28
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMNIOTIC FLUID/FERN TEST,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],19
WAKE FOREST BAPTIST MEDICAL CENTER Lexington,AMNISURE,LABORATORY - CHEMISTRY [0301],91
