Service Area,Description,Revenue Code,Patient Pay Charge
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,5-HYDROXYTRYPTAMINE,LABORATORY - GENERAL CLASSIFICATION [0300],23
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,763824 12+OXYCODONE+CRT-UNBUND (SENDOUT) - PAIN MGMT PANEL 13 - LC,LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,99281 EMERGENCY ROOM MINIMAL-1,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],64
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,99282 EMERGENCY ROOM BRIEF-2,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],116
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,99283 EMERGENCY ROOM LIMITED-3,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],191
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,99284 EMERGENCY INTERMEDIATE-4,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],289
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,99285 EMERGENCY ROOM EXTENDED-5,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],375
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,99291 CRITICAL CARE-ED,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],499
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ABD PARACENTESIS,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],390
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ABD PARACENTESIS W/IMAGING PBC,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],339
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ABDOMEN 1 VIEW (KUB),RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],86
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ABDOMEN 3 OR MORE VIEWS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],140
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ABDOMEN COMPLETE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],121
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ABDOMINAL PARACENTESIS & GUIDE - IMG,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],197
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ABRASION, <= 4 LESIONS, ADD-ON",SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],38
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ABRASION; SGL LESION LERS,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],62
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ACE, CSF (BEAKER)",LABORATORY - CHEMISTRY [0301],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACETAMINOPHEN ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],33
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ACETOACETATE, SERUM OR PLASMA (SENDOUT)",LABORATORY - CHEMISTRY [0301],138
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACETYLCHOLINE REC AB BINDING (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Acetylcholine Receptor Blocking Antibody (Beaker),LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Acetylcholine Receptor Modulating AB (Beaker),LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACID FAST CULTURE (Beaker),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],47
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACID FAST SMEAR (BEAKER),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],13
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACROMICLAVICULAR JOINTS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],46
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACTH (PLASMA) (Beaker),LABORATORY - CHEMISTRY [0301],106
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ACTIN ANTIBODY, IGG (SENDOUT) (BEAKER)",LABORATORY - CHEMISTRY [0301],21
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACTION HEART FAILURE REHAB,OTHER THERAPEUTIC SERVICES - CARDIAC REHABILITATION [0943],5
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACTIVE WOUND CARE/ 20 CM OR < PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],98
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACUTE ABDOMEN SERIES,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],165
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ACYLCARNITINE,LABORATORY - GENERAL CLASSIFICATION [0300],114
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ADENOSINE DEAMINASE, CSF (SENDOUT",LABORATORY - CHEMISTRY [0301],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ADMIN HEPATITIS B VACCINE,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],13
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ADMIN OF PNEUMOCOCCAL VACCINE,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ADMINISTRATION OF VACCINE,PREVENTIVE CARE SERVICES - VACCINE ADMINISTRATION [0771],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AEROBIC BACTERIAL ID (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AEROBIC SENSITIVITY (BEAKER),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],15
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AEROCHAMBER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],21
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AGENT NOS ASSAY W/OPTIC,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AIR SPLINT,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALBUMIN - SFTB,LABORATORY - CHEMISTRY [0301],12
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Albumin, CSF-MS Profile (Beaker)",LABORATORY - CHEMISTRY [0301],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ALBUMIN, URINE",LABORATORY - CHEMISTRY [0301],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALCOHOL ASSAY (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALDOLASE,LABORATORY - CHEMISTRY [0301],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALDOLASE (Beaker),LABORATORY - CHEMISTRY [0301],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALDOSTERONE,LABORATORY - GENERAL CLASSIFICATION [0300],75
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALDOSTERONE (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],75
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ALDOSTERONE, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALKALINE PHOSPHATASE ISOENZYM,LABORATORY - GENERAL CLASSIFICATION [0300],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Alkaline Phosphatase, Bone Specific (Beaker)",LABORATORY - CHEMISTRY [0301],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALKALINE PHOSPHOTASE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALKALINE PHOSPHOTASE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ALLERGENS, FOOD PANEL",LABORATORY - IMMUNOLOGY [0302],13
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALLEVYN GENTLE BORDER,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],13
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALLEVYN GENTLE DRESSING 4X4,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALPHA 1 ANTITRYPSIN,LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALPHA LACTOALBUMIN IGE (SENDOUT),LABORATORY - IMMUNOLOGY [0302],63
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALPHA-1 -ANTITRYPSIN PHENOTYPE (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Alpha-1-Antitrypsin, Feces, Random (Beaker)",LABORATORY - CHEMISTRY [0301],70
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Alpha-1-Antitryspin, Feces, 24 Hr.",LABORATORY - CHEMISTRY [0301],70
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALPHA-FETOPROTEIN MARKER (SENDOUT) (BEAKER),LABORATORY - CHEMISTRY [0301],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ALPHA-GALACTOSIDASE, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],225
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALT/SGPT ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],13
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALUMINUM,LABORATORY - GENERAL CLASSIFICATION [0300],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ALUMINUM (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AMBULATORY RETRAINING,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],29
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AMIKACIN (Beaker),LABORATORY - CHEMISTRY [0301],28
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"AMINO ACIDS, CSF (SENDOUT) - (Beaker)",LABORATORY - CHEMISTRY [0301],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"AMINO ACIDS, URINE (BEAKER)",LABORATORY - CHEMISTRY [0301],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AMIODARONE (Beaker),LABORATORY - CHEMISTRY [0301],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AMMONIA ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],28
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AMNISURE,LABORATORY - CHEMISTRY [0301],126
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"AMPHETAMINE (GC/MS), URINE (SENDOUT-REFLEX) - LC",LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"AMPHETAMINES/MDMA,MS,WB/SP RFX-MDMA - SERUM",LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AMPHETAMINES;1 OR 2,LABORATORY - CHEMISTRY [0301],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AMTIMITOCHONDRIA LAB (SENDOUT) (BEAKER),LABORATORY - IMMUNOLOGY [0302],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"AMYLASE, ASSAY (Beaker)",LABORATORY - CHEMISTRY [0301],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANA TITER (Beaker),LABORATORY - IMMUNOLOGY [0302],48
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANCA TITER,LABORATORY - GENERAL CLASSIFICATION [0300],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANDROSTENEDIONE,LABORATORY - GENERAL CLASSIFICATION [0300],41
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANE TIME UNITS - CRNA,ANESTHESIA - GENERAL CLASSIFICATION [0370],2
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANKLE COMPL MIN 3 VIEWS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],138
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANKLES AP & LAT,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],124
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTI DNASE B (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],26
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTIBIOTIC TUBE DILUTI,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],15
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTIBODY CYTOMEGALOVIRUS (Beaker),LABORATORY - IMMUNOLOGY [0302],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTIBODY IDENTIFICATION,LABORATORY - GENERAL CLASSIFICATION [0300],117
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTIDIEUETIC HORMONE,LABORATORY - GENERAL CLASSIFICATION [0300],66
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTIDNA DOUBLE STRANDED (SENDOUT) (BEAKER),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Anti-Endomysial AB-Celiac Plus(Beaker),LABORATORY - CHEMISTRY [0301],110
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Anti-Endomysial AB-Celiac Serology(Beaker),LABORATORY PATHOLOGICAL - GENERAL CLASSIFICATION [0310],100
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTIFUNGAL SUSCEPTIBILITY,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],62
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTI-GBM,LABORATORY - GENERAL CLASSIFICATION [0300],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTIGEN TYPE,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION [0390]",58
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTI-MULLERIAN HORMONE,LABORATORY - CHEMISTRY [0301],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ANTINUCLEAR ANTIBODIES, HEP-2 SUBSTRATE IGG (SENDOUT)",LABORATORY - IMMUNOLOGY [0302],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTINUCLEAR ANTIBODY (Beaker),LABORATORY - IMMUNOLOGY [0302],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTI-STREPTOLYSIN O (SENDOUT) (BEAKER),LABORATORY - IMMUNOLOGY [0302],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ANTI-THYROGLOBULIN ANTIBODY AS,LABORATORY - GENERAL CLASSIFICATION [0300],39
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APLIGRAF SKIN SUB PER 1 SQ CM,PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING (A) [0636],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"APP LOW COST SKIN SUB GRAFT, TOTAL WND SURF AREA UP TO 100 SQ CM <=25 SQ CM/LESS WND SURF AREA",OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],158
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APP LOW COST SKIN SUB GRFT EA ADD <= 100SQCM WND SURF AREA/EA ADD 1% BODY AREA INFNTS/CHILD-PART,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],527
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APP LOW COST SKIN SUB GRFT TOT WND SURF AREA UP TO 100 SQCM EA ADD <=25 SQCM WND SURF AREA OR PART,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],158
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLICATION LONG LEG SPLINT,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLICATION LOWER LEG SPLINT,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLICATION OF FINGER SPLINT,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLICATION OF MULTI-LAYER VEN PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],74
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLICATION UNNA BOOT PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],69
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLY FOREARM SPLINT,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLY LONG ARM SPLINT PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],89
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Apply Multilay Comprs Lwr Leg,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],114
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLY MULTLAY COMPRS LWR LEG,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],74
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLY RIGID LEG CAST PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],180
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLY RIGID TOTAL CONTACT LEG,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],129
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,APPLY SHORT LEG CAST,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],157
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AQUATHERAPY POOL EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],45
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARM SLING CHILD,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARM SLING LGE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],8
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARM SLING MEDIUM,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],8
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARM SLING PADDED MED,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARRHY W/CONT MEMORY HOOK-UP,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION [0730],120
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARSENIC - BEAKER,LABORATORY - CHEMISTRY [0301],35
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ARSENIC, NAILS (SENDOUT)",LABORATORY - CHEMISTRY [0301],82
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ART EXERCISE EVALUATION,OTHER DIAGNOSTIC SERVICES - PERIPHERAL VASCULAR LAB [0921],116
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARTERIAL LINE PLACEMENT,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],43
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ARTERIAL PUNCTURE WITHDRAWL OF,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ARTHROCENTESIS/INJ, INTERMED J",OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],124
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ARTHROCENTESIS/INJ, INTERMED J PBC",SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],119
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ARTHROCENTESIS/INJ, MAJOR JOIN - IMG",OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],147
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ARTHROCENTESIS/INJ, SM JOINT PBC",SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],99
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ASO (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ASP BLDR W/SUPRPUBIC CATH AST,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],431
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ASSAY BLOOD CHLORIDES (Beaker),LABORATORY - CHEMISTRY [0301],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ASSAY OF SERUM ALBUMIN (Beaker),LABORATORY - CHEMISTRY [0301],12
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AST/SGOT ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],10
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,AUDIOMETRY SCREEN PBC,AUDIOLOGY - DIAGNOSTIC [0471],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BALLOON DIL DURING COLONOSCOPY,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],787
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BALLOON DIL DURING ERCP,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],2123
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BAR ENEMA AIR CONTRAST,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],339
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"BARBITURATES,MS,WB/SP RFX -RFLX - SERUM",LABORATORY - CHEMISTRY [0301],50
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BARTONELLA HENSELAE ABS(G&M),LABORATORY - IMMUNOLOGY [0302],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BASIC METABOLIC PANEL (Beaker),LABORATORY - CHEMISTRY [0301],18
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BCR/ABL1 GENE MAJOR BP,LABORATORY - CHEMISTRY [0301],139
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BEAN LIMA (PHASEOLUS LIMENSIS) IGE (SENDOUT),LABORATORY - IMMUNOLOGY [0302],63
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BEHAV CHNG SMOKING 3-10 MIN,OTHER THERAPEUTIC SERVICES - EDUCATION/TRAINING [0942],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BEHAVRAL QUALIT ANALYS VOICE,SPEECH THERAPY - LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION [0440],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BEHAVRAL QUALIT ANALYS VOICE,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,BENTSON GUIDEWIRE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"BENZODIAZEPINES CONFIRM, URINE (SENDOUT-REFLEX)",LABORATORY - CHEMISTRY [0301],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"BENZODIAZEPINES,MS,WB/SP RFX -RFLX - SERUM",LABORATORY - CHEMISTRY [0301],50
