Description,Typical Charges,Average Insured Patient Responsibility
"Esophagogastroduodenoscopy, flexible, transoral; with band ligation of esophageal/gastric varices","$11,441 ",$137 
"Esophagogastroduodenoscopy, flexible, transoral; with biopsy, single or multiple","$12,511 ",$235 
"Esophagogastroduodenoscopy, flexible, transoral; with endoscopic ultrasound examination, including the esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined distal to the anastomosis","$11,977 ",$125 
"Esophagogastroduodenoscopy, flexible, transoral; with insertion of guide wire followed by passage of dilator(s) through esophagus over guide wire","$13,253 ",$124 
"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic balloon dilation of esophagus (less than 30 mm diameter)","$12,433 ",$42 
"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic ultrasound-guided intramural or transmural fine needle aspiration/biopsy(s) (includes esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined)","$15,011 ",$287 
"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion, open, male or female, 1 or more lesions","$19,972 ",$301 
Excision of hydrocele; unilateral,"$21,737 ",$759 
"Excision of lesion of tendon sheath or joint capsule, hand or finger","$13,965 ",$321 
"Hysteroscopy, surgical; with endometrial ablation","$21,954 ",$744 
"Hysteroscopy, surgical; with removal of leiomyomata","$27,891 ",$437 
"Hysteroscopy, surgical; with sampling of endometrium and/or polypectomy, with or without D & C","$20,514 ",$482 
Implantation of patient-activated cardiac event recorder,"$18,549 ",$244 
"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance including arthrography when performed","$8,095 ",$78 
"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance; lumbar or sacral, single level","$7,419 ",$232 
"Injection(s), of diagnostic or therapeutic substance(s), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance","$7,168 ",$215 
"Injection(s), of diagnostic or therapeutic substance(s), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, lumbar or sacral; with imaging guidance","$7,512 ",$279 
Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial and ventricular,"$21,952 ",$287 
"Insertion of tunneled centrally inserted central venous access device, with subcutaneous port; age 5 years or older","$19,185 ",$80 
"Insertion or replacement of permanent implantable defibrillator system, with transvenous lead(s), single or dual chamber","$48,428 ",$382 
"Introduction of catheter, aorta","$22,336 ",$33 
"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, radiological supervision and interpretation and image documentation and report;","$16,597 ",$31 
"Laminectomy, facetectomy and foraminotomy, single vertebral segment; lumbar","$29,289 ",$404 
"Laminotomy, with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar","$34,388 ",$769 
"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components","$28,586 ",$160 
"Laparoscopy, surgical, repair, incisional hernia; incarcerated or strangulated","$40,417 ",$635 
"Laparoscopy, surgical, repair, recurrent incisional hernia; incarcerated or strangulated","$38,100 ",$266 
"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia; incarcerated or strangulated","$30,539 ",$993 
"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia; reducible","$20,825 ",$865 
"Laparoscopy, surgical; cholecystectomy","$22,955 ",$876 
"Laparoscopy, surgical; repair initial inguinal hernia","$33,819 ","$1,100 "
"Laparoscopy, surgical; with fulguration of oviducts","$20,299 ",$0 
"Laparoscopy, surgical; with insertion of tunneled intraperitoneal catheter","$21,179 ",$973 
"Laparoscopy, surgical; with occlusion of oviducts by device","$17,954 ","$1,047 "
"Laparoscopy, surgical; with removal of adnexal structures (partial or total oophorectomy and/or salpingectomy)","$27,169 ",$371 
"Laryngoscopy, direct, operative, with excision of tumor and/or stripping of vocal cords or epiglottis; with operating microscope or telescope","$21,487 ",$149 
"Laser vaporization of prostate, including control of postoperative bleeding, complete","$26,493 ",$620 
Ligation or banding of angioaccess arteriovenous fistula,"$22,258 ",$47 
"Ligation or biopsy, temporal artery","$18,321 ",$4 
"Lithotripsy, extracorporeal shock wave","$17,338 ",$819 
Manipulation of knee joint under general anesthesia,"$10,049 ",$186 
"Mastectomy, partial;","$23,031 ",$324 
Neuroplasty and/or transposition; median nerve at carpal tunnel,"$13,986 ",$384 
"Percutaneous implantation of neurostimulator electrode array; sacral nerve including image guidance, if performed","$18,009 ",$0 
Removal of implant; deep,"$20,793 ",$253 
Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; dual lead system,"$44,854 ",$356 
Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; multiple lead system,"$57,580 ",$651 
Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system,"$18,019 ",$193 
"Removal of tunneled central venous access device, with subcutaneous port or pump, central or peripheral insertion","$9,172 ",$204 
"Removal of tunneled central venous catheter, without subcutaneous port or pump","$1,255 ",$5 
"Repair initial inguinal hernia, age 5 years or older; reducible","$20,753 ",$332 
"Repair umbilical hernia, age 5 years or older; incarcerated or strangulated","$20,312 ","$1,049 "
"Repair umbilical hernia, age 5 years or older; reducible","$20,898 ",$642 
"Retrieval of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance, when performed","$17,744 ",$40 
"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with atherectomy, includes angioplasty within the same vessel, when performed","$47,969 ",$92 
"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty","$30,022 ",$746 
"Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed","$33,129 ",$475 
"Revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)","$33,577 ",$3 
"Selective catheter placement, arterial system; initial second order abdominal, pelvic, or lower extremity artery branch, within a vascular family","$22,442 ",$0 
"Selective catheter placement, arterial system; initial third order or more selective abdominal, pelvic, or lower extremity artery branch, within a vascular family","$21,303 ",$120 
"Sigmoidoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$6,736 ",$118 
"Sigmoidoscopy, flexible; with biopsy, single or multiple","$12,173 ",$230 
"Thoracentesis, needle or catheter, aspiration of the pleural space; with imaging guidance","$4,317 ",$11 
"Tonsillectomy, primary or secondary; age 12 or over","$18,107 ",$171 
"Transurethral electrosurgical resection of prostate, including control of postoperative bleeding, complete","$24,669 ",$222 
"Treatment of missed abortion, completed surgically; first trimester","$16,525 ",$560 
"Tympanic membrane repair, with or without site preparation of perforation for closure, with or without patch","$9,490 ",$558 
"Tympanostomy, general anesthesia","$8,848 ",$30 
