Description,Average Self Pay Patient Responsibility
Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); nonautogenous graft,"$20,833 "
"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent","$18,988 "
"Cystourethroscopy; with removal of foreign body, calculus, or ureteral stent from urethra or bladder (separate procedure); simple","$11,623 "
"Destruction by neurolytic agent, paravertebral facet joint nerve(s), with imaging guidance; lumbar or sacral, single facet joint","$4,536 "
Destruction by neurolytic agent; other peripheral nerve or branch,"$3,716 "
"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.","$8,367 "
Endomyocardial biopsy,"$6,190 "
Endoscopic retrograde cholangiopancreatography; with removal of foreign body(s) or stent(s) from biliary/pancreatic duct(s),"$11,732 "
"Endoscopy, wrist, surgical, with release of transverse carpal ligament","$9,909 "
"Endovascular intracranial prolonged administration of pharmacologic agent(s) other than for thrombolysis, arterial, including catheter placement, diagnostic angiography, and imaging guidance; initial vascular territory","$13,057 "
"Esophageal function test, gastroesophageal reflux test with nasal catheter intraluminal impedance electrode(s) placement, recording, analysis and interpretation;","$1,243 "
"Esophageal function test, gastroesophageal reflux test with nasal catheter intraluminal impedance electrode(s) placement, recording, analysis and interpretation; prolonged","$1,773 "
Esophageal motility study with interpretation and report,"$1,025 "
Esophageal recording of atrial electrogram with or without ventricular electrogram(s); with pacing,"$16,703 "
"Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$4,170 "
"Esophagogastroduodenoscopy, flexible, transoral; with ablation of tumor(s), polyp(s), or other lesion(s)","$8,697 "
"Esophagogastroduodenoscopy, flexible, transoral; with band ligation of esophageal/gastric varices","$6,701 "
"Esophagogastroduodenoscopy, flexible, transoral; with biopsy, single or multiple","$5,919 "
"Esophagogastroduodenoscopy, flexible, transoral; with delivery of thermal energy to the muscle of lower esophageal sphincter and/or gastric cardia, for treatment of gastroesophageal reflux disease","$5,445 "
"Esophagogastroduodenoscopy, flexible, transoral; with directed placement of percutaneous gastrostomy tube","$7,237 "
"Esophagogastroduodenoscopy, flexible, transoral; with endoscopic ultrasound examination, including the esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined distal to the anastomosis","$5,885 "
"Esophagogastroduodenoscopy, flexible, transoral; with insertion of guide wire followed by passage of dilator(s) through esophagus over guide wire","$6,807 "
"Esophagogastroduodenoscopy, flexible, transoral; with insertion of intraluminal tube or catheter","$5,367 "
"Esophagogastroduodenoscopy, flexible, transoral; with removal of foreign body(s)","$6,903 "
"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic balloon dilation of esophagus (less than 30 mm diameter)","$7,175 "
"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic ultrasound-guided intramural or transmural fine needle aspiration/biopsy(s) (includes esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined)","$7,265 "
"Exchange nephrostomy catheter, percutaneous, including diagnostic nephrostogram and/or ureterogram when performed, imaging guidance and all associated radiological supervision and interpretation","$4,756 "
"Exchange of biliary drainage catheter, percutaneous, including diagnostic cholangiography when performed, imaging guidance, and all associated radiological supervision and interpretation","$5,216 "
"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion, open, male or female, 1 or more lesions","$9,210 "
"Excision of parotid tumor or parotid gland; lateral lobe, without nerve dissection","$16,392 "
"Extracapsular cataract extraction, insertion of intraocular lens prosthesis (one stage procedure), manual or mechanical technique","$11,795 "
"Gastrointestinal tract imaging, intraluminal, esophagus through ileum, with interpretation and report","$2,407 "
"Gastrointestinal transit and pressure measurement, stomach through colon, wireless capsule, with interpretation and report","$1,349 "
"Hysteroscopy, surgical; with sampling of endometrium and/or polypectomy, with or without D & C","$12,577 "
Implantation of patient-activated cardiac event recorder,"$7,595 "
"Implantation or replacement of device for intrathecal or epidural drug infusion; programmable pump, including preparation of pump, with or without programming","$25,783 "
Incision for implantation of cranial nerve neurostimulator electrode array and pulse generator,"$52,264 "
"Injection procedure for cholangiography, percutaneous, complete diagnostic procedure including imaging guidance and all associated radiological supervision and interpretation; existing access","$2,569 "
"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance including arthrography when performed","$2,359 "
Injection procedure; radioactive tracer for identification of sentinel node,"$1,653 "
"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance; cervical or thoracic, single level","$2,039 "
"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance; lumbar or sacral, single level","$1,836 "
"Injection(s), diagnostic or therapeutic agent, paravertebral facet joint with image guidance, lumbar or sacral; single level","$3,027 "
"Injection(s), of diagnostic or therapeutic substance(s), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance","$2,570 "
"Injection(s), of diagnostic or therapeutic substance(s), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, lumbar or sacral; with imaging guidance","$4,551 "
"Injection, anesthetic agent; other peripheral nerve or branch","$2,693 "
Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial and ventricular,"$10,401 "
"Insertion of tunneled centrally inserted central venous access device, with subcutaneous port; age 5 years or older","$11,466 "
"Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling; with connection to 2 or more electrode arrays","$40,947 "
"Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling; with connection to a single electrode array","$40,593 "
"Insertion or replacement of permanent implantable defibrillator system, with transvenous lead(s), single or dual chamber","$21,196 "
"Insertion or replacement of permanent subcutaneous implantable defibrillator system, with subcutaneous electrode, including defibrillation threshold evaluation, induction of arrhythmia, evaluation of sensing for arrhythmia termination, and programming or reprogramming of sensing or therapeutic parameters, when performed","$33,894 "
"Laminectomy, facetectomy and foraminotomy, single vertebral segment; lumbar","$16,471 "
"Laminotomy, with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar","$16,100 "
"Laminotomy, with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar","$16,513 "
"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia; reducible","$22,714 "
"Laparoscopy, surgical, with total hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)","$31,009 "
"Laparoscopy, surgical; cholecystectomy","$16,962 "
"Laparoscopy, surgical; repair initial inguinal hernia","$16,555 "
"Laparoscopy, surgical; with fulguration or excision  of lesions of the ovary, pelvic viscera, or peritoneal surface by any method","$17,868 "
"Laparoscopy, surgical; with removal of adnexal structures (partial or total oophorectomy and/or salpingectomy)","$17,035 "
"Laryngoscopy direct, with or without tracheoscopy; diagnostic, with operating microscope or telescope","$11,026 "
"Laryngoscopy, direct, with injection into vocal cord(s), therapeutic; with operating microscope or telescope","$10,105 "
"Lengthening/shortening tendon, lower leg/ankle joint; single tendon (separate procedure)","$11,154 "
"Ligation or biopsy, temporal artery","$7,423 "
Manipulation of knee joint under general anesthesia,"$6,401 "
"Myelography via lumbar injection, including radiological supervision and interpretation; 2 or more regions","$8,255 "
"Myelography via lumbar injection, including radiological supervision and interpretation; lumbosacral","$4,533 "
Neuroplasty and/or transposition; median nerve at carpal tunnel,"$8,360 "
"Open treatment of clavicular fracture, includes internal fixation, when performed","$23,182 "
"Open treatment of orbital floor blowout fracture; periorbital approach, with alloplastic or other implant","$18,685 "
"Orchiopexy, inguinal approach, with or without hernia repair","$12,208 "
Parathyroidectomy or exploration of parathyroid(s);,"$16,151 "
Percutaneous transcatheter closure of patent ductus arteriosus,"$15,994 "
"Percutaneous vertebral augmentation, including cavity creation using mechanical device, 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; lumbar","$14,198 "
"Percutaneous vertebral augmentation, including cavity creation using mechanical device, 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; thoracic","$16,425 "
Reduction mammaplasty,"$33,242 "
Removal of implant; deep,"$11,293 "
"Removal of implant; superficial (separate procedure) (eg, wire, pin or rod)","$7,162 "
Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; dual lead system,"$18,110 "
"Removal of tunneled central venous access device, with subcutaneous port or pump, central or peripheral insertion","$4,967 "
"Removal of tunneled central venous catheter, without subcutaneous port or pump","$4,067 "
"Renal biopsy; percutaneous, by trocar or needle","$11,905 "
"Repair initial inguinal hernia, age 5 years or older; reducible","$13,577 "
"Repair of complex retinal detachment, with vitrectomy and membrane peeling, including, when performed, air, gas, or silicone oil tamponade, cryotherapy, endolaser photocoagulation, drainage of subretinal fluid, scleral buckling, and/or removal of lens","$21,366 "
"Repair umbilical hernia, age 5 years or older; reducible","$11,698 "
"Repair, primary, open or percutaneous, ruptured Achilles tendon;","$15,000 "
"Retrieval of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance, when performed","$8,974 "
"Revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)","$20,463 "
"Right heart catheterization including measurement(s) of oxygen saturation and cardiac output, when performed","$6,424 "
"Selective catheter placement, internal carotid artery, unilateral, with angiography of the ipsilateral intracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the extracranial carotid and cervicocerebral arch, when performed","$5,568 "
"Sigmoidoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$3,690 "
"Sigmoidoscopy, flexible; with biopsy, single or multiple","$4,873 "
"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$4,586 "
"Small intestinal endoscopy, enteroscopy beyond second portion of duodenum, not including ileum; with ablation of tumor(s), polyp(s), or other lesion(s) not amenable to removal by hot biopsy forceps, bipolar cautery or snare technique","$4,552 "
Tendon sheath incision,"$7,764 "
"Tenotomy, percutaneous, Achilles tendon; general anesthesia (separate procedure)","$9,802 "
"Thoracentesis, needle or catheter, aspiration of the pleural space; with imaging guidance","$2,265 "
"Thyroidectomy, total or complete","$21,469 "
Tonsillectomy and adenoidectomy; age 12 or over,"$9,323 "
Tonsillectomy and adenoidectomy; younger than age 12,"$8,671 "
"Tonsillectomy, primary or secondary; age 12 or over","$10,244 "
"Total thyroid lobectomy, unilateral; with or without isthmusectomy","$17,314 "
"Transfusion, intrauterine, fetal","$10,703 "
"Transurethral electrosurgical resection of prostate, including control of postoperative bleeding, complete","$17,638 "
"Treatment of missed abortion, completed surgically; first trimester","$9,993 "
"Tympanoplasty without mastoidectomy, initial or revision; without ossicular chain reconstruction","$19,460 "
"Tympanostomy, general anesthesia","$5,261 "
Unlisted cardiovascular service or procedure,"$5,463 "
"Unlisted procedure, dentoalveolar structures","$15,867 "
"Unlisted procedure, maternity care and delivery","$10,312 "
"Unlisted procedure, nervous system","$6,631 "
"Unlisted procedure, skin, mucous membrane and subcutaneous tissue","$8,879 "
"Unlisted procedure, stomach (requires additional report/information to be submitted)","$13,146 "
"Vascular embolization or occlusion, inclusive of all radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance necessary to complete the intervention; venous, other than hemorrhage","$12,375 "
