Description,Average Self Pay Patient Responsibility
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) with bypass graft angiography","$7,414 "
"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation; with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed","$8,363 "
"Circumcision, using clamp or other device with regional dorsal penile or ring block","$6,225 "
"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by hot biopsy forceps","$4,845 "
"Colonoscopy, flexible; with removal of tumor(s), polyp(s), or other lesion(s) by snare technique","$4,835 "
Creation of arteriovenous fistula by other than direct arteriovenous anastomosis (separate procedure); nonautogenous graft,"$11,785 "
Cystourethroscopy (separate procedure),"$5,214 "
"Cystourethroscopy, with biopsy(s)","$6,676 "
"Cystourethroscopy, with calibration and/or dilation of urethral stricture or stenosis, with or without meatotomy, with or without injection procedure for cystography, male or female","$5,803 "
"Cystourethroscopy, with fulguration and/or resection of; SMALL bladder tumor(s)","$7,547 "
"Cystourethroscopy, with fulguration or treatment of MINOR lesion(s) with or without biopsy","$7,155 "
"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent","$9,685 "
"Endovenous ablation therapy of incompetent vein, extremity, inclusive of all imaging guidance and monitoring, percutaneous, radiofrequency; first vein treated","$8,192 "
Esophageal motility study with interpretation and report,$944 
"Esophagogastroduodenoscopy, flexible, transoral; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$3,627 "
"Esophagogastroduodenoscopy, flexible, transoral; with ablation of tumor(s), polyp(s), or other lesion(s)","$6,834 "
"Esophagogastroduodenoscopy, flexible, transoral; with band ligation of esophageal/gastric varices","$4,119 "
"Esophagogastroduodenoscopy, flexible, transoral; with biopsy, single or multiple","$4,504 "
"Esophagogastroduodenoscopy, flexible, transoral; with endoscopic ultrasound examination, including the esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined distal to the anastomosis","$4,312 "
"Esophagogastroduodenoscopy, flexible, transoral; with insertion of guide wire followed by passage of dilator(s) through esophagus over guide wire","$4,771 "
"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic balloon dilation of esophagus (less than 30 mm diameter)","$4,476 "
"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic ultrasound-guided intramural or transmural fine needle aspiration/biopsy(s) (includes esophagus, stomach, and either the duodenum or a surgically altered stomach where the jejunum is examined)","$5,404 "
"Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion, open, male or female, 1 or more lesions","$7,190 "
Excision of hydrocele; unilateral,"$7,825 "
"Excision of lesion of tendon sheath or joint capsule, hand or finger","$5,027 "
"Hysteroscopy, surgical; with endometrial ablation","$7,904 "
"Hysteroscopy, surgical; with removal of leiomyomata","$10,041 "
"Hysteroscopy, surgical; with sampling of endometrium and/or polypectomy, with or without D & C","$7,385 "
Implantation of patient-activated cardiac event recorder,"$6,678 "
"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance including arthrography when performed","$2,914 "
"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with imaging guidance; lumbar or sacral, single level","$2,671 "
"Injection(s), of diagnostic or therapeutic substance(s), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance","$2,580 "
"Injection(s), of diagnostic or therapeutic substance(s), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, lumbar or sacral; with imaging guidance","$2,704 "
Insertion of new or replacement of permanent pacemaker with transvenous electrode(s); atrial and ventricular,"$7,903 "
"Insertion of tunneled centrally inserted central venous access device, with subcutaneous port; age 5 years or older","$6,907 "
"Insertion or replacement of permanent implantable defibrillator system, with transvenous lead(s), single or dual chamber","$17,434 "
"Introduction of catheter, aorta","$8,041 "
"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, radiological supervision and interpretation and image documentation and report;","$5,975 "
"Laminectomy, facetectomy and foraminotomy, single vertebral segment; lumbar","$10,544 "
"Laminotomy, with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar","$12,380 "
"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port components","$10,291 "
"Laparoscopy, surgical, repair, incisional hernia; incarcerated or strangulated","$14,550 "
"Laparoscopy, surgical, repair, recurrent incisional hernia; incarcerated or strangulated","$13,716 "
"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia; incarcerated or strangulated","$10,994 "
"Laparoscopy, surgical, repair, ventral, umbilical, spigelian or epigastric hernia; reducible","$7,497 "
"Laparoscopy, surgical; cholecystectomy","$8,264 "
"Laparoscopy, surgical; repair initial inguinal hernia","$12,175 "
"Laparoscopy, surgical; with fulguration of oviducts","$7,308 "
"Laparoscopy, surgical; with insertion of tunneled intraperitoneal catheter","$7,625 "
"Laparoscopy, surgical; with occlusion of oviducts by device","$6,464 "
"Laparoscopy, surgical; with removal of adnexal structures (partial or total oophorectomy and/or salpingectomy)","$9,781 "
"Laryngoscopy, direct, operative, with excision of tumor and/or stripping of vocal cords or epiglottis; with operating microscope or telescope","$7,735 "
"Laser vaporization of prostate, including control of postoperative bleeding, complete","$9,537 "
Ligation or banding of angioaccess arteriovenous fistula,"$8,013 "
"Ligation or biopsy, temporal artery","$6,595 "
"Lithotripsy, extracorporeal shock wave","$6,242 "
Manipulation of knee joint under general anesthesia,"$3,618 "
"Mastectomy, partial;","$8,291 "
Neuroplasty and/or transposition; median nerve at carpal tunnel,"$5,035 "
"Percutaneous implantation of neurostimulator electrode array; sacral nerve including image guidance, if performed","$6,483 "
Removal of implant; deep,"$7,485 "
Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; dual lead system,"$16,147 "
Removal of implantable defibrillator pulse generator with replacement of implantable defibrillator pulse generator; multiple lead system,"$20,729 "
Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator; dual lead system,"$6,487 "
"Removal of tunneled central venous access device, with subcutaneous port or pump, central or peripheral insertion","$3,302 "
"Removal of tunneled central venous catheter, without subcutaneous port or pump",$452 
"Repair initial inguinal hernia, age 5 years or older; reducible","$7,471 "
"Repair umbilical hernia, age 5 years or older; incarcerated or strangulated","$7,312 "
"Repair umbilical hernia, age 5 years or older; reducible","$7,523 "
"Retrieval of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance, when performed","$6,388 "
"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with atherectomy, includes angioplasty within the same vessel, when performed","$17,269 "
"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty","$10,808 "
"Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed","$11,926 "
"Revision, open, arteriovenous fistula; without thrombectomy, autogenous or nonautogenous dialysis graft (separate procedure)","$12,088 "
"Selective catheter placement, arterial system; initial second order abdominal, pelvic, or lower extremity artery branch, within a vascular family","$8,079 "
"Selective catheter placement, arterial system; initial third order or more selective abdominal, pelvic, or lower extremity artery branch, within a vascular family","$7,669 "
"Sigmoidoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)","$2,425 "
"Sigmoidoscopy, flexible; with biopsy, single or multiple","$4,382 "
"Thoracentesis, needle or catheter, aspiration of the pleural space; with imaging guidance","$1,554 "
"Tonsillectomy, primary or secondary; age 12 or over","$6,518 "
"Transurethral electrosurgical resection of prostate, including control of postoperative bleeding, complete","$8,881 "
"Treatment of missed abortion, completed surgically; first trimester","$5,949 "
"Tympanic membrane repair, with or without site preparation of perforation for closure, with or without patch","$3,416 "
"Tympanostomy, general anesthesia","$3,185 "
