Description,Typical Charges,Average Insured Patient Responsibility
Cholecystectomy W C.D.E. W Mcc,"$242,943 ",$0 
Cholecystectomy W C.D.E. W/O Cc/Mcc,"$48,285 ",$644 
Chronic Obstructive Pulmonary Disease W Cc,"$22,427 ",$397 
Chronic Obstructive Pulmonary Disease W Mcc,"$26,443 ",$331 
Chronic Obstructive Pulmonary Disease W/O Cc/Mcc,"$19,126 ",$430 
"Circulatory Disorders Except Ami, W Card Cath W Mcc","$54,236 ",$517 
"Circulatory Disorders Except Ami, W Card Cath W/O Mcc","$40,219 ",$755 
Cirrhosis  Alcoholic Hepatitis W Cc,"$28,598 ",$492 
Cirrhosis  Alcoholic Hepatitis W Mcc,"$49,384 ",$630 
Cirrhosis  Alcoholic Hepatitis W/O Cc/Mcc,"$18,198 ",$526 
Coagulation Disorders,"$37,589 ",$588 
Combined Anterior/Posterior Spinal Fusion W Cc,"$142,856 ",$389 
Combined Anterior/Posterior Spinal Fusion W Mcc,"$182,270 ",$174 
Combined Anterior/Posterior Spinal Fusion W/O Cc/Mcc,"$103,762 ",$522 
Complicated Peptic Ulcer W Cc,"$38,624 ",$504 
Complicated Peptic Ulcer W Mcc,"$63,194 ",$209 
Complicated Peptic Ulcer W/O Cc/Mcc,"$33,435 ",$960 
Complications Of Treatment W Cc,"$30,900 ",$361 
Complications Of Treatment W Mcc,"$47,321 ",$353 
Complications Of Treatment W/O Cc/Mcc,"$24,033 ",$354 
Concussion W Cc,"$31,990 ",$576 
Concussion W Mcc,"$36,596 ",$122 
Concussion W/O Cc/Mcc,"$28,301 ",$40 
Connective Tissue Disorders W Cc,"$50,679 ",$682 
Connective Tissue Disorders W Mcc,"$63,400 ",$753 
Connective Tissue Disorders W/O Cc/Mcc,"$22,362 ","$1,595 "
Coronary Bypass W Cardiac Cath W Mcc,"$198,485 ",$643 
Coronary Bypass W Cardiac Cath W/O Mcc,"$160,243 ",$793 
Coronary Bypass W Ptca W Mcc,"$198,659 ",$570 
Coronary Bypass W Ptca W/O Mcc,"$191,134 ","$1,315 "
Coronary Bypass W/O Cardiac Cath W Mcc,"$152,096 ",$322 
Coronary Bypass W/O Cardiac Cath W/O Mcc,"$122,842 ",$241 
Cranial  Peripheral Nerve Disorders W Mcc,"$33,204 ",$225 
Cranial  Peripheral Nerve Disorders W/O Mcc,"$29,114 ",$622 
Cranial/Facial Procedures W Cc/Mcc,"$82,536 ","$1,370 "
Cranial/Facial Procedures W/O Cc/Mcc,"$81,975 ",$970 
Cranio W Major Dev Impl/Acute Complex Cns Pdx W/O Mcc,"$112,019 ",$381 
Craniotomy  Endovascular Intracranial Procedures W Cc,"$91,432 ",$417 
Craniotomy  Endovascular Intracranial Procedures W Mcc,"$131,491 ",$474 
Craniotomy  Endovascular Intracranial Procedures W/O Cc/Mcc,"$81,134 ",$693 
Craniotomy For Multiple Significant Trauma,"$241,709 ","$1,385 "
Craniotomy W Major Device Implant Or Acute Cns Pdx W Mcc Or Chemotherapy Implant Or Epilepsy W Neurostimulator,"$165,085 ",$535 
"Dc, Conization, Laparoscopy  Tubal Interruption W Cc/Mcc","$52,435 ",$676 
"Dc, Conization, Laparoscopy  Tubal Interruption W/O Cc/Mcc","$39,438 ","$2,012 "
Deep Vein Thrombophlebitis W Cc/Mcc,"$23,524 ",$409 
Deep Vein Thrombophlebitis W/O Cc/Mcc,"$23,908 ",$782 
Degenerative Nervous System Disorders W Mcc,"$51,398 ",$249 
Degenerative Nervous System Disorders W/O Mcc,"$35,361 ",$374 
Dental  Oral Diseases W Cc,"$25,478 ",$494 
Dental  Oral Diseases W Mcc,"$50,910 ",$63 
Dental  Oral Diseases W/O Cc/Mcc,"$17,232 ","$1,557 "
Depressive Neuroses,"$24,313 ",$206 
Diabetes W Cc,"$24,103 ",$665 
Diabetes W Mcc,"$34,520 ",$524 
Diabetes W/O Cc/Mcc,"$17,198 ",$881 
Digestive Malignancy W Cc,"$41,220 ",$390 
Digestive Malignancy W Mcc,"$54,287 ",$350 
Digestive Malignancy W/O Cc/Mcc,"$37,992 ",$434 
"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Cc","$28,758 ",$435 
"Disorders Of Liver Except Malig,Cirr,Alc Hepa W Mcc","$42,785 ",$391 
"Disorders Of Liver Except Malig,Cirr,Alc Hepa W/O Cc/Mcc","$28,854 ",$513 
Disorders Of Pancreas Except Malignancy W Cc,"$28,771 ",$739 
Disorders Of Pancreas Except Malignancy W Mcc,"$47,506 ",$832 
Disorders Of Pancreas Except Malignancy W/O Cc/Mcc,"$22,935 ",$954 
Disorders Of Personality  Impulse Control,"$65,195 ",$125 
Disorders Of The Biliary Tract W Cc,"$52,598 ",$654 
Disorders Of The Biliary Tract W Mcc,"$62,485 ",$516 
Disorders Of The Biliary Tract W/O Cc/Mcc,"$41,251 ",$631 
Dysequilibrium,"$31,784 ",$477 
"Ear, Nose, Mouth  Throat Malignancy W Cc","$23,421 ",$0 
"Ear, Nose, Mouth  Throat Malignancy W Mcc","$44,124 ",$0 
"Ecmo Or Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth  Neck W Maj O.R.","$382,465 ",$305 
Ectopic Pregnancy,"$39,649 ","$1,724 "
Endocrine Disorders W Cc,"$28,504 ",$422 
Endocrine Disorders W Mcc,"$40,120 ",$232 
Endocrine Disorders W/O Cc/Mcc,"$20,717 ",$660 
Endovascular Cardiac Valve Replacement W Mcc,"$246,572 ",$149 
Endovascular Cardiac Valve Replacement W/O Mcc,"$162,439 ",$214 
Epistaxis W Mcc,"$57,597 ",$0 
Epistaxis W/O Mcc,"$18,480 ",$188 
"Esophagitis, Gastroent  Misc Digest Disorders W Mcc","$38,010 ",$270 
"Esophagitis, Gastroent  Misc Digest Disorders W/O Mcc","$24,859 ",$729 
Extensive O.R. Procedure Unrelated To Principal Diagnosis W Cc,"$67,772 ",$469 
Extensive O.R. Procedure Unrelated To Principal Diagnosis W Mcc,"$105,195 ",$454 
Extensive O.R. Procedure Unrelated To Principal Diagnosis W/O Cc/Mcc,"$44,562 ",$781 
Extracranial Procedures W Cc,"$64,064 ",$384 
Extracranial Procedures W Mcc,"$102,755 ",$201 
Extracranial Procedures W/O Cc/Mcc,"$47,326 ",$424 
Extraocular Procedures Except Orbit,"$43,970 ",$367 
"Extreme Immaturity Or Respiratory Distress Syndrome, Neonate","$149,047 ","$1,451 "
False Labor,"$9,967 ",$772 
Female Reproductive System Reconstructive Procedures,"$60,906 ",($30)
Fever,"$26,380 ",$403 
Foot Procedures W Cc,"$64,462 ",$678 
Foot Procedures W Mcc,"$62,026 ",$199 
Foot Procedures W/O Cc/Mcc,"$55,447 ",$544 
Fractures Of Femur W Mcc,"$43,584 ",$325 
Fractures Of Femur W/O Mcc,"$26,001 ",$289 
Fractures Of Hip  Pelvis W Mcc,"$30,196 ",$275 
Fractures Of Hip  Pelvis W/O Mcc,"$23,916 ",$369 
Full Term Neonate W Major Problems,"$13,222 ","$1,103 "
Full Thickness Burn W Skin Graft Or Inhal Inj W Cc/Mcc,"$62,578 ",$0 
Full Thickness Burn W/O Skin Grft Or Inhal Inj,"$20,239 ","$1,103 "
"Fx, Sprn, Strn  Disl Except Femur, Hip, Pelvis  Thigh W Mcc","$36,853 ",$279 
"Fx, Sprn, Strn  Disl Except Femur, Hip, Pelvis  Thigh W/O Mcc","$28,846 ",$377 
G.I. Hemorrhage W Cc,"$36,112 ",$487 
G.I. Hemorrhage W Mcc,"$53,830 ",$292 
G.I. Hemorrhage W/O Cc/Mcc,"$27,079 ",$495 
G.I. Obstruction W Cc,"$25,127 ",$498 
G.I. Obstruction W Mcc,"$40,945 ",$194 
G.I. Obstruction W/O Cc/Mcc,"$19,021 ",$730 
"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W Cc/Mcc","$47,704 ","$1,107 "
"Hand Or Wrist Proc, Except Major Thumb Or Joint Proc W/O Cc/Mcc","$33,714 ",$958 
Hand Procedures For Injuries,"$65,245 ",$306 
Headaches W Mcc,"$39,410 ",$834 
Headaches W/O Mcc,"$29,747 ",$761 
Heart Failure  Shock W Cc,"$23,657 ",$408 
Heart Failure  Shock W Mcc,"$32,734 ",$263 
Heart Failure  Shock W/O Cc/Mcc,"$18,096 ",$384 
Heart Transplant Or Implant Of Heart Assist System W Mcc,"$336,500 ",$0 
Hepatobiliary Diagnostic Procedures W Cc,"$110,952 ",$0 
Hepatobiliary Diagnostic Procedures W Mcc,"$112,999 ",$0 
Hepatobiliary Diagnostic Procedures W/O Cc/Mcc,"$66,369 ",$0 
Hernia Procedures Except Inguinal  Femoral W Cc,"$57,358 ","$1,250 "
Hernia Procedures Except Inguinal  Femoral W Mcc,"$86,226 ",$802 
Hernia Procedures Except Inguinal  Femoral W/O Cc/Mcc,"$43,276 ","$1,095 "
Hip  Femur Procedures Except Major Joint W Cc,"$65,966 ",$386 
Hip  Femur Procedures Except Major Joint W Mcc,"$81,998 ",$206 
Hip  Femur Procedures Except Major Joint W/O Cc/Mcc,"$49,912 ",$452 
Hiv W Extensive O.R. Procedure W Mcc,"$139,570 ",$727 
Hiv W Major Related Condition W Cc,"$43,064 ",$930 
Hiv W Major Related Condition W Mcc,"$70,251 ",$469 
Hiv W Major Related Condition W/O Cc/Mcc,"$27,640 ",$861 
Hiv W Or W/O Other Related Condition,"$41,714 ",$505 
Hypertension W Mcc,"$29,546 ",$294 
Hypertension W/O Mcc,"$27,152 ",$899 
Hypertensive Encephalopathy W Cc,"$27,939 ",$887 
Hypertensive Encephalopathy W Mcc,"$37,702 ",$135 
Hypertensive Encephalopathy W/O Cc/Mcc,"$31,989 ","$1,982 "
Inborn And Other Disorders Of Metabolism,"$32,925 ",$737 
"Infections, Female Reproductive System W Cc","$24,457 ",$863 
"Infections, Female Reproductive System W Mcc","$33,010 ",$129 
"Infections, Female Reproductive System W/O Cc/Mcc","$23,133 ","$1,313 "
Infectious  Parasitic Diseases W O.R. Procedure W Cc,"$66,457 ",$934 
Infectious  Parasitic Diseases W O.R. Procedure W Mcc,"$117,185 ",$493 
Infectious  Parasitic Diseases W O.R. Procedure W/O Cc/Mcc,"$42,233 ","$1,360 "
Inflammation Of The Male Reproductive System W Mcc,"$33,426 ",$142 
Inflammation Of The Male Reproductive System W/O Mcc,"$22,281 ",$954 
Inflammatory Bowel Disease W Cc,"$29,193 ",$976 
Inflammatory Bowel Disease W Mcc,"$32,107 ",$691 
Inflammatory Bowel Disease W/O Cc/Mcc,"$23,426 ",$647 
Inguinal  Femoral Hernia Procedures W Cc,"$51,940 ",$596 
Inguinal  Femoral Hernia Procedures W Mcc,"$70,915 ",$280 
Inguinal  Femoral Hernia Procedures W/O Cc/Mcc,"$42,228 ",$642 
Interstitial Lung Disease W Cc,"$35,467 ",$466 
Interstitial Lung Disease W Mcc,"$31,955 ",$522 
Interstitial Lung Disease W/O Cc/Mcc,"$26,100 ","$1,091 "
Intracranial Hemorrhage Or Cerebral Infarction W Cc Or Tpa In 24 Hrs,"$36,232 ",$527 
Intracranial Hemorrhage Or Cerebral Infarction W Mcc,"$51,013 ",$392 
Intracranial Hemorrhage Or Cerebral Infarction W/O Cc/Mcc,"$31,086 ",$632 
Intracranial Vascular Procedures W Pdx Hemorrhage W Mcc,"$306,016 ",$706 
Intracranial Vascular Procedures W Pdx Hemorrhage W/O Cc/Mcc,"$179,740 ",$0 
"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Cc","$72,089 ",$758 
"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Mcc","$84,692 ",$261 
"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W/O Cc/Mcc","$64,911 ",$890 
Kidney  Ureter Procedures For Neoplasm W Cc,"$63,399 ",$406 
Kidney  Ureter Procedures For Neoplasm W Mcc,"$110,437 ",$498 
Kidney  Ureter Procedures For Neoplasm W/O Cc/Mcc,"$55,673 ",$817 
Kidney  Ureter Procedures For Non-Neoplasm W Cc,"$60,843 ",$225 
Kidney  Ureter Procedures For Non-Neoplasm W Mcc,"$90,236 ",$0 
Kidney  Ureter Procedures For Non-Neoplasm W/O Cc/Mcc,"$59,609 ",$701 
Kidney  Urinary Tract Infections W Mcc,"$28,576 ",$187 
Kidney  Urinary Tract Infections W/O Mcc,"$22,773 ",$446 
Kidney  Urinary Tract Neoplasms W Cc,"$34,147 ",$363 
Kidney  Urinary Tract Neoplasms W Mcc,"$36,565 ",$127 
Kidney  Urinary Tract Neoplasms W/O Cc/Mcc,"$42,191 ",$0 
Kidney  Urinary Tract Signs  Symptoms W Mcc,"$23,833 ",$167 
Kidney  Urinary Tract Signs  Symptoms W/O Mcc,"$22,273 ",$211 
Knee Procedures W Pdx Of Infection W Cc,"$72,793 ",$0 
Knee Procedures W Pdx Of Infection W Mcc,"$102,143 ",$872 
Knee Procedures W Pdx Of Infection W/O Cc/Mcc,"$70,996 ",$0 
Knee Procedures W/O Pdx Of Infection W Cc/Mcc,"$82,961 ",$613 
Knee Procedures W/O Pdx Of Infection W/O Cc/Mcc,"$53,750 ",$636 
Laparoscopic Cholecystectomy W/O C.D.E. W Cc,"$64,293 ","$1,009 "
Laparoscopic Cholecystectomy W/O C.D.E. W Mcc,"$86,975 ","$1,019 "
Laparoscopic Cholecystectomy W/O C.D.E. W/O Cc/Mcc,"$54,643 ","$1,310 "
"Limb Reattachment, Hip  Femur Proc For Multiple Significant Trauma","$135,712 ",$430 
Local Excision  Removal Int Fix Devices Exc Hip  Femur W Cc,"$68,139 ",$209 
Local Excision  Removal Int Fix Devices Exc Hip  Femur W Mcc,"$77,634 ",$0 
Local Excision  Removal Int Fix Devices Exc Hip  Femur W/O Cc/Mcc,"$62,561 ",$82 
Local Excision  Removal Int Fix Devices Of Hip  Femur W Cc/Mcc,"$114,668 ",$0 
Local Excision  Removal Int Fix Devices Of Hip  Femur W/O Cc/Mcc,"$45,572 ",$185 
"Lower Extrem  Humer Proc Except Hip,Foot,Femur W Cc","$76,895 ",$525 
"Lower Extrem  Humer Proc Except Hip,Foot,Femur W Mcc","$91,538 ",$478 
"Lower Extrem  Humer Proc Except Hip,Foot,Femur W/O Cc/Mcc","$58,890 ","$1,124 "
Lymphoma  Leukemia W Major O.R. Procedure W Cc,"$89,838 ",$0 
Lymphoma  Leukemia W Major O.R. Procedure W Mcc,"$111,865 ",$0 
Lymphoma  Leukemia W Major O.R. Procedure W/O Cc/Mcc,"$63,698 ",$0 
Lymphoma  Non-Acute Leukemia W Cc,"$45,986 ",$189 
Lymphoma  Non-Acute Leukemia W Mcc,"$65,069 ",$297 
Lymphoma  Non-Acute Leukemia W Other Proc W Cc,"$68,582 ",$490 
Lymphoma  Non-Acute Leukemia W Other Proc W Mcc,"$132,711 ",$208 
Lymphoma  Non-Acute Leukemia W Other Proc W/O Cc/Mcc,"$51,273 ",$117 
Lymphoma  Non-Acute Leukemia W/O Cc/Mcc,"$29,564 ",$768 
Major Bladder Procedures W Cc,"$112,444 ",$167 
Major Bladder Procedures W Mcc,"$140,422 ",$0 
Major Bladder Procedures W/O Cc/Mcc,"$70,150 ","$1,207 "
Major Chest Procedures W Cc,"$92,965 ",$748 
Major Chest Procedures W Mcc,"$124,922 ",$473 
Major Chest Procedures W/O Cc/Mcc,"$73,639 ",$657 
Major Chest Trauma W Cc,"$39,102 ",$486 
Major Chest Trauma W Mcc,"$45,177 ",$381 
Major Chest Trauma W/O Cc/Mcc,"$27,375 ",$501 
Major Esophageal Disorders W Cc,"$37,480 ",$796 
Major Esophageal Disorders W Mcc,"$59,596 ",$289 
Major Esophageal Disorders W/O Cc/Mcc,"$32,517 ","$1,668 "
Major Gastrointestinal Disorders  Peritoneal Infections W Cc,"$29,204 ",$480 
Major Gastrointestinal Disorders  Peritoneal Infections W Mcc,"$43,303 ",$464 
Major Gastrointestinal Disorders  Peritoneal Infections W/O Cc/Mcc,"$25,220 ",$851 
Major Head  Neck Procedures W Cc/Mcc Or Major Device,"$72,156 ",$472 
Major Head  Neck Procedures W/O Cc/Mcc,"$119,775 ",$0 
Major Hematol/Immun Diag Exc Sickle Cell Crisis  Coagul W Cc,"$30,204 ",$277 
Major Hematol/Immun Diag Exc Sickle Cell Crisis  Coagul W Mcc,"$56,524 ",$355 
Major Hematol/Immun Diag Exc Sickle Cell Crisis  Coagul W/O Cc/Mcc,"$28,279 ",$810 
Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity W Mcc Or Total Ankle Replacement,"$91,502 ",$365 
Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity W/O Mcc,"$59,262 ",$713 
Major Joint/Limb Reattachment Procedure Of Upper Extremities,"$68,905 ",$344 
Major Male Pelvic Procedures W Cc/Mcc,"$81,702 ",$566 
Major Male Pelvic Procedures W/O Cc/Mcc,"$65,275 ","$1,017 "
Major Shoulder Or Elbow Joint Procedures W Cc/Mcc,"$34,182 ","$2,071 "
Major Shoulder Or Elbow Joint Procedures W/O Cc/Mcc,"$40,964 ",$0 
Major Skin Disorders W Mcc,"$30,916 ","$1,021 "
Major Skin Disorders W/O Mcc,"$19,160 ",$352 
Major Small  Large Bowel Procedures W Cc,"$85,129 ",$686 
Major Small  Large Bowel Procedures W Mcc,"$138,840 ",$439 
Major Small  Large Bowel Procedures W/O Cc/Mcc,"$70,430 ",$683 
Major Thumb Or Joint Procedures,"$32,389 ","$1,314 "
Malignancy Of Hepatobiliary System Or Pancreas W Cc,"$33,396 ",$359 
Malignancy Of Hepatobiliary System Or Pancreas W Mcc,"$66,186 ",$325 
Malignancy Of Hepatobiliary System Or Pancreas W/O Cc/Mcc,"$33,327 ",$70 
"Malignancy, Female Reproductive System W Cc","$32,294 ",$441 
"Malignancy, Female Reproductive System W Mcc","$39,789 ",$348 
"Malignancy, Female Reproductive System W/O Cc/Mcc","$15,586 ",$300 
"Malignancy, Male Reproductive System W Cc","$66,061 ",$0 
"Malignancy, Male Reproductive System W Mcc","$46,744 ",$239 
"Malignancy, Male Reproductive System W/O Cc/Mcc","$16,337 ",$0 
Malignant Breast Disorders W Cc,"$27,453 ",$118 
Malignant Breast Disorders W Mcc,"$39,975 ",$229 
Malignant Breast Disorders W/O Cc/Mcc,"$22,997 ","$1,714 "
