DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
224 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,345435.95,44442.41
225 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,175808.24,32648.21
226 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,248562.92,41940.31
227 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,184951.84,29184.83
228 - OTHER CARDIOTHORACIC PROCEDURES W MCC,396408.48,37972.17
229 - OTHER CARDIOTHORACIC PROCEDURES W/O MCC,236594.26,26477.32
232 - CORONARY BYPASS W PTCA W/O MCC,366314.87,33665.95
233 - CORONARY BYPASS W CARDIAC CATH W MCC,319460.37,38340.48
234 - CORONARY BYPASS W CARDIAC CATH W/O MCC,274831.28,30953.04
235 - CORONARY BYPASS W/O CARDIAC CATH W MCC,246953.55,32502.25
236 - CORONARY BYPASS W/O CARDIAC CATH W/O MCC,208259.77,22408.22
239 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,42624.38,No Medicare Payment Available
242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,176716.32,23063.24
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,117121.15,14937.14
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,93276.73,13283.97
245 - AICD GENERATOR PROCEDURES,124935.22,26190.31
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,196357.31,18930.77
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,125358.7,12570.61
248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ ART/STENTS,142882.24,18001.22
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,119512.09,11883.53
250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,112981.13,14966.72
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,79843.43,10271.3
252 - OTHER VASCULAR PROCEDURES W MCC,142279.43,No Medicare Payment Available
253 - OTHER VASCULAR PROCEDURES W CC,103041.58,11349.06
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,138611.68,11098.12
258 - CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC,67230.12,18189.39
259 - CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,74986.1,11717.81
260 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,118122.83,21049.76
261 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,114005.82,11787.17
262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,54429.38,8125.17
264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,170734.95,18938.74
265 - AICD LEAD PROCEDURES,46795.27,19443.17
268 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,294209.43,No Medicare Payment Available
269 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,184251.06,24201.71
270 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,232695.93,23508.69
271 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,142867.18,19883
272 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,100513,No Medicare Payment Available
273 - PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,225221.34,17208.96
274 - PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,149397.59,15699.88
280 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W MCC,75679.98,10105.88
281 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W CC,58385.14,6227.11
282 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W/O CC/MCC,59499.1,5199.27
283 - ACUTE MYOCARDIAL INFARCTION; EXPIRED W MCC,47804.57,10559.3
286 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W MCC,98756.47,11877.68
287 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W/O MCC,64921.7,7101.71
291 - HEART FAILURE & SHOCK W MCC,77745.3,9566.53
292 - HEART FAILURE & SHOCK W CC,55777.91,7927.07
293 - HEART FAILURE & SHOCK W/O CC/MCC,45814.34,4340.18
297 - CARDIAC ARREST; UNEXPLAINED W CC,26762.28,No Medicare Payment Available
299 - PERIPHERAL VASCULAR DISORDERS W MCC,57024.35,7931.63
300 - PERIPHERAL VASCULAR DISORDERS W CC,42716.59,9976.33
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,33170.7,2570.63
302 - ATHEROSCLEROSIS W MCC,41411.6,9103.09
303 - ATHEROSCLEROSIS W/O MCC,35992.77,5465.64
304 - HYPERTENSION W MCC,48582.75,6107.24
305 - HYPERTENSION W/O MCC,32073.53,4725.51
306 - CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,27722.56,8587.99
307 - CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,42863.39,3741.3
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,49841.91,6876.89
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,29588.43,4776.98
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,25015.47,3892.86
311 - ANGINA PECTORIS,30784.67,4328.26
312 - SYNCOPE & COLLAPSE,37026.57,4727.76
313 - CHEST PAIN,31474.2,4393.33
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,63736.77,12904.24
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,60117.09,7247.23
316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,17231.2,No Medicare Payment Available
327 - STOMACH; ESOPHAGEAL & DUODENAL PROC W CC,117688.4,No Medicare Payment Available
328 - STOMACH; ESOPHAGEAL & DUODENAL PROC W/O CC/MCC,79980.53,9384.87
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,269615.12,No Medicare Payment Available
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,86736.73,No Medicare Payment Available
335 - PERITONEAL ADHESIOLYSIS W MCC,285510.55,22514.61
337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,86595.74,9980.76
339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,76934.05,No Medicare Payment Available
340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,47200.35,No Medicare Payment Available
341 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,59517.05,14847.77
342 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,47086.63,9280.8
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,45623.86,6739.36
351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC,31314.13,No Medicare Payment Available
352 - INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,28856.32,No Medicare Payment Available
353 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,216735.4,17815.31
354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,31819.47,10600.98
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,87636.15,11364.78
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,52010.23,No Medicare Payment Available
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,45840.49,9712.74
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,40035.36,6879.63
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,35896.13,No Medicare Payment Available
378 - G.I. HEMORRHAGE W CC,52846.46,No Medicare Payment Available
384 - UNCOMPLICATED PEPTIC ULCER W/O MCC,39204.31,5925.87
385 - INFLAMMATORY BOWEL DISEASE W MCC,42322.23,No Medicare Payment Available
388 - G.I. OBSTRUCTION W MCC,35915.58,8957.59
389 - G.I. OBSTRUCTION W CC,37399.44,5723.13
390 - G.I. OBSTRUCTION W/O CC/MCC,28561.98,3789.48
391 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W MCC,46236.19,7858.73
392 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W/O MCC,33442.11,4553.76
393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,27523.99,10122.36
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,18138.78,No Medicare Payment Available
395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,23664.29,No Medicare Payment Available
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,65070.29,8813.14
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,53787.11,14328.99
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,56599.87,9836.36
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,51313.93,No Medicare Payment Available
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,46946.31,No Medicare Payment Available
433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,27630.23,5332.96
438 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,64743.64,9556.86
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,32505.44,No Medicare Payment Available
440 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,38899.01,4529.45
441 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W MCC,116332.88,11116.02
442 - DISORDERS OF LIVER EXCEPT MALIG;CIRR;ALC HEPA W CC,64325.02,14136.42
444 - DISORDERS OF THE BILIARY TRACT W MCC,60838.23,8573
445 - DISORDERS OF THE BILIARY TRACT W CC,33283.83,6886.17
446 - DISORDERS OF THE BILIARY TRACT W/O CC/MCC,20135.04,No Medicare Payment Available
453 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,233463.51,55172.63
454 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,121791.41,37292.81
455 - COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,110662.75,28685.12
456 - SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,51903.09,No Medicare Payment Available
457 - SPINAL FUS EXC CERV W SPINAL CURV MALIG/ INFEC OR EXT FUS W CC,89235.77,No Medicare Payment Available
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,95384.05,23217.12
462 - BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,119048.89,19214.16
463 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W MCC,185938.91,29742.11
464 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W CC,88347.72,13203.09
465 - WND DEBRID & SKN GRFT EXC HAND; FOR MUSCULO-CONN TISS DIS W/O CC/MCC,73193.28,10352.78
466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,101317.11,29127.02
467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,125969.44,18403.07
468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,102886.26,16279.14
469 - MAJ HIP AND KNEE JNT REPL OR REATTACH OF LW EXTREM W MCC OR TOT ANKLE REPL,139151.14,15478.13
470 - MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,86555.46,12332.53
472 - CERVICAL SPINAL FUSION W CC,96604.42,16080.61
473 - CERVICAL SPINAL FUSION W/O CC/MCC,53909.74,13793.49
474 - AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,27957.3,No Medicare Payment Available
477 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,200567.98,35887.6
478 - BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,66224.26,No Medicare Payment Available
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,113519.69,16442.27
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,71421.75,10944.38
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,61169.01,8483.88
483 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W CC/MCC,104128.39,14421.87
486 - KNEE PROCEDURES W PDX OF INFECTION W CC,64020.01,13397.39
487 - KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,83393.98,10253.38
488 - KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,45730.7,12114.18
489 - KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,36212.58,6064.54
492 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W MCC,176070.81,No Medicare Payment Available
493 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W CC,80853.43,13290.21
494 - LOWER EXTREM & HUMER PROC EXCEPT HIP;FOOT;FEMUR W/O CC/MCC,51078.86,10157.86
496 - LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,117784.96,No Medicare Payment Available
499 - LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC,33878.82,7878.71
500 - SOFT TISSUE PROCEDURES W MCC,76718.79,15922.43
501 - SOFT TISSUE PROCEDURES W CC,55639.59,9753.39
502 - SOFT TISSUE PROCEDURES W/O CC/MCC,39660.7,8037.24
504 - FOOT PROCEDURES W CC,75118.4,No Medicare Payment Available
511 - SHOULDER;ELBOW OR FOREARM PROC;EXC MAJOR JOINT PROC W CC,53601.88,10942.13
513 - HAND OR WRIST PROC; EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC,84162.74,9848.44
515 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,84537.04,17309.58
516 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,90384.31,No Medicare Payment Available
517 - OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,37955.18,4186.34
518 - BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,117806.5,No Medicare Payment Available
519 - BACK & NECK PROC EXC SPINAL FUSION W CC,40063.54,No Medicare Payment Available
520 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,34856.23,No Medicare Payment Available
534 - FRACTURES OF FEMUR W/O MCC,9433.26,No Medicare Payment Available
535 - FRACTURES OF HIP & PELVIS W MCC,43567.08,7640.13
536 - FRACTURES OF HIP & PELVIS W/O MCC,25304.08,4470.54
537 - SPRAINS; STRAINS; & DISLOCATIONS OF HIP; PELVIS & THIGH W CC/MCC,16728.23,5718.89
540 - OSTEOMYELITIS W CC,65563.07,8192.58
541 - OSTEOMYELITIS W/O CC/MCC,27160.33,6246.29
542 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,8075,No Medicare Payment Available
544 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,44009.48,5298.14
546 - CONNECTIVE TISSUE DISORDERS W CC,46155.94,7175.79
547 - CONNECTIVE TISSUE DISORDERS W/O CC/MCC,5667.78,No Medicare Payment Available
551 - MEDICAL BACK PROBLEMS W MCC,38553.47,No Medicare Payment Available
552 - MEDICAL BACK PROBLEMS W/O MCC,41782.69,12585.57
553 - BONE DISEASES & ARTHROPATHIES W MCC,108506.05,8170.01
554 - BONE DISEASES & ARTHROPATHIES W/O MCC,32919.69,5301.02
556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,25953.94,5309.87
557 - TENDONITIS; MYOSITIS & BURSITIS W MCC,61093.09,12044.7
558 - TENDONITIS; MYOSITIS & BURSITIS W/O MCC,34392.27,5305.76
559 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,88860.31,20529.55
560 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,73186.6,18833.87
561 - AFTERCARE; MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,49731.86,15876.63
563 - FX; SPRN; STRN & DISL EXCEPT FEMUR; HIP; PELVIS & THIGH W/O MCC,26655.75,5145.75
564 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,59301.52,9153.03
565 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,76016.19,No Medicare Payment Available
566 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,52102.61,No Medicare Payment Available
571 - SKIN DEBRIDEMENT W CC,41809.9,No Medicare Payment Available
572 - SKIN DEBRIDEMENT W/O CC/MCC,41823.29,No Medicare Payment Available
580 - OTHER SKIN; SUBCUT TISS & BREAST PROC W CC,44207.37,9672.68
581 - OTHER SKIN; SUBCUT TISS & BREAST PROC W/O CC/MCC,41516.76,No Medicare Payment Available
584 - BREAST BIOPSY; LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC,19499.54,No Medicare Payment Available
593 - SKIN ULCERS W CC,32999.41,No Medicare Payment Available
595 - MAJOR SKIN DISORDERS W MCC,57334.46,No Medicare Payment Available
602 - CELLULITIS W MCC,42118.59,6027.82
603 - CELLULITIS W/O MCC,28855.25,4558.22
607 - MINOR SKIN DISORDERS W/O MCC,20966.65,No Medicare Payment Available
616 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W MCC,112074.24,No Medicare Payment Available
617 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE;NUTRIT;& METABOL DIS W CC,111731.01,12452.31
623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC; NUTRIT & METAB DIS W CC,81444.27,No Medicare Payment Available
637 - DIABETES W MCC,50085.69,7862.81
638 - DIABETES W CC,39313.74,5192.11
639 - DIABETES W/O CC/MCC,24068.43,No Medicare Payment Available
640 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W MCC,45942.92,6842.42
641 - MISC DISORDERS OF NUTRITION;METABOLISM;FLUIDS/ELECTROLYTES W/O MCC,42050.6,5955.7
643 - ENDOCRINE DISORDERS W MCC,73304.93,9854.76
644 - ENDOCRINE DISORDERS W CC,59881.29,5898.81
645 - ENDOCRINE DISORDERS W/O CC/MCC,35405.93,5071.36
673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,160200.62,No Medicare Payment Available
674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,95307.94,No Medicare Payment Available
682 - RENAL FAILURE W MCC,64588.26,7365.41
683 - RENAL FAILURE W CC,35173.1,5158.05
684 - RENAL FAILURE W/O CC/MCC,29252.35,4385.16
686 - KIDNEY & URINARY TRACT NEOPLASMS W MCC,75086.36,10594.87
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,41932.79,6493.26
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,33053.44,5226.25
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,72252.36,9528.06
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,26793.54,6765.29
700 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,38514.57,No Medicare Payment Available
726 - BENIGN PROSTATIC HYPERTROPHY W/O MCC,30813.66,No Medicare Payment Available
728 - INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,36782.06,No Medicare Payment Available
