DRG_Definition,Average Charges
098-NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,"$67,201.02 "
099-NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,"$92,679.13 "
100-SEIZURES W MCC,"$75,282.83 "
101-SEIZURES W/O MCC,"$36,255.77 "
102-HEADACHES W MCC,"$36,003.71 "
103-HEADACHES W/O MCC,"$28,153.87 "
113-ORBITAL PROCEDURES W CC/MCC,"$109,889.57 "
114-ORBITAL PROCEDURES W/O CC/MCC,"$69,187.68 "
115-EXTRAOCULAR PROCEDURES EXCEPT ORBIT,"$81,267.88 "
116-INTRAOCULAR PROCEDURES W CC/MCC,"$129,584.24 "
117-INTRAOCULAR PROCEDURES W/O CC/MCC,"$46,103.35 "
121-ACUTE MAJOR EYE INFECTIONS W CC/MCC,"$59,547.16 "
122-ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,"$9,841.34 "
123-NEUROLOGICAL EYE DISORDERS,"$35,892.62 "
124-OTHER DISORDERS OF THE EYE W MCC,"$61,005.74 "
125-OTHER DISORDERS OF THE EYE W/O MCC,"$36,552.07 "
129-MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,"$92,613.78 "
130-MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,"$74,275.24 "
131-CRANIAL/FACIAL PROCEDURES W CC/MCC,"$166,151.45 "
132-CRANIAL/FACIAL PROCEDURES W/O CC/MCC,"$104,984.70 "
"133-OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","$122,264.99 "
"134-OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC","$67,171.19 "
135-SINUS & MASTOID PROCEDURES W CC/MCC,"$137,805.75 "
137-MOUTH PROCEDURES W CC/MCC,"$65,674.11 "
138-MOUTH PROCEDURES W/O CC/MCC,"$37,196.64 "
139-SALIVARY GLAND PROCEDURES,"$36,651.73 "
"146-EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC","$104,210.34 "
"147-EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC","$53,038.15 "
149-DYSEQUILIBRIUM,"$29,752.15 "
151-EPISTAXIS W/O MCC,"$24,572.54 "
152-OTITIS MEDIA & URI W MCC,"$66,535.80 "
153-OTITIS MEDIA & URI W/O MCC,"$24,476.72 "
"154-OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","$54,033.67 "
"155-OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","$53,802.96 "
"156-OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","$31,134.71 "
157-DENTAL & ORAL DISEASES W MCC,"$85,306.12 "
158-DENTAL & ORAL DISEASES W CC,"$53,091.29 "
159-DENTAL & ORAL DISEASES W/O CC/MCC,"$42,238.75 "
163-MAJOR CHEST PROCEDURES W MCC,"$176,870.43 "
164-MAJOR CHEST PROCEDURES W CC,"$85,316.39 "
165-MAJOR CHEST PROCEDURES W/O CC/MCC,"$70,790.59 "
166-OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$225,695.86 "
167-OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$63,140.09 "
168-OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"$56,405.69 "
175-PULMONARY EMBOLISM W MCC,"$60,308.71 "
176-PULMONARY EMBOLISM W/O MCC,"$40,482.76 "
177-RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$88,624.23 "
178-RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$87,300.38 "
179-RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$48,482.94 "
180-RESPIRATORY NEOPLASMS W MCC,"$102,548.13 "
181-RESPIRATORY NEOPLASMS W CC,"$43,080.11 "
182-RESPIRATORY NEOPLASMS W/O CC/MCC,"$32,538.65 "
183-MAJOR CHEST TRAUMA W MCC,"$89,459.17 "
184-MAJOR CHEST TRAUMA W CC,"$69,576.83 "
185-MAJOR CHEST TRAUMA W/O CC/MCC,"$38,291.29 "
186-PLEURAL EFFUSION W MCC,"$77,894.48 "
187-PLEURAL EFFUSION W CC,"$38,903.49 "
188-PLEURAL EFFUSION W/O CC/MCC,"$43,345.77 "
189-PULMONARY EDEMA & RESPIRATORY FAILURE,"$62,402.63 "
190-CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$57,834.56 "
191-CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$33,949.88 "
192-CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$20,898.39 "
193-SIMPLE PNEUMONIA & PLEURISY W MCC,"$54,285.84 "
194-SIMPLE PNEUMONIA & PLEURISY W CC,"$33,356.73 "
195-SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$24,191.17 "
196-INTERSTITIAL LUNG DISEASE W MCC,"$110,225.75 "
197-INTERSTITIAL LUNG DISEASE W CC,"$10,412.85 "
198-INTERSTITIAL LUNG DISEASE W/O CC/MCC,"$22,325.74 "
199-PNEUMOTHORAX W MCC,"$147,553.74 "
200-PNEUMOTHORAX W CC,"$67,987.40 "
201-PNEUMOTHORAX W/O CC/MCC,"$23,543.28 "
202-BRONCHITIS & ASTHMA W CC/MCC,"$33,094.84 "
203-BRONCHITIS & ASTHMA W/O CC/MCC,"$22,238.48 "
204-RESPIRATORY SIGNS & SYMPTOMS,"$27,954.09 "
205-OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$107,183.87 "
206-OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$40,404.82 "
207-RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$378,121.64 "
208-RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$135,079.22 "
215-OTHER HEART ASSIST SYSTEM IMPLANT,"$237,955.13 "
216-CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,"$540,574.26 "
217-CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,"$332,459.94 "
219-CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"$320,867.88 "
220-CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"$219,702.54 "
221-CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,"$188,837.26 "
222-CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,"$361,083.17 "
223-CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,"$131,261.81 "
224-CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,"$313,263.14 "
225-CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,"$146,006.56 "
226-CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"$183,741.39 "
227-CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"$140,048.59 "
228-OTHER CARDIOTHORACIC PROCEDURES W MCC,"$286,138.40 "
229-OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"$136,718.40 "
231-CORONARY BYPASS W PTCA W MCC,"$315,552.97 "
233-CORONARY BYPASS W CARDIAC CATH W MCC,"$298,455.10 "
234-CORONARY BYPASS W CARDIAC CATH W/O MCC,"$223,641.47 "
235-CORONARY BYPASS W/O CARDIAC CATH W MCC,"$253,713.64 "
236-CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"$177,411.97 "
239-AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"$200,121.92 "
240-AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"$144,264.20 "
242-PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"$157,824.97 "
243-PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$80,539.32 "
244-PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$60,464.86 "
245-AICD GENERATOR PROCEDURES,"$174,138.55 "
246-PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$122,834.60 "
247-PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$63,788.67 "
248-PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$124,210.39 "
249-PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,"$52,925.48 "
250-PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,"$88,095.52 "
251-PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,"$68,487.15 "
252-OTHER VASCULAR PROCEDURES W MCC,"$177,847.11 "
253-OTHER VASCULAR PROCEDURES W CC,"$105,868.80 "
254-OTHER VASCULAR PROCEDURES W/O CC/MCC,"$75,038.92 "
255-UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,"$70,618.73 "
256-UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,"$47,117.08 "
259-CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,"$74,761.73 "
260-CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,"$177,693.14 "
261-CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,"$107,199.70 "
262-CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,"$48,449.20 "
263-VEIN LIGATION & STRIPPING,"$70,761.89 "
264-OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$171,149.66 "
265-AICD LEAD PROCEDURES,"$68,166.18 "
266-ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,"$272,626.81 "
267-ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,"$149,255.05 "
268-AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"$352,580.18 "
269-AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"$160,321.95 "
270-OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"$257,770.97 "
271-OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"$154,086.01 "
272-OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC,"$81,856.59 "
273-PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,"$173,575.66 "
274-PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"$87,316.50 "
"280-ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$80,935.55 "
"281-ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$37,060.68 "
"282-ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$33,246.52 "
"283-ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","$97,273.96 "
"286-CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$110,118.86 "
"287-CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$53,201.12 "
288-ACUTE & SUBACUTE ENDOCARDITIS W MCC,"$163,403.81 "
291-HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$67,791.02 "
292-HEART FAILURE & SHOCK W CC,"$45,071.64 "
293-HEART FAILURE & SHOCK W/O CC/MCC,"$31,771.10 "
294-DEEP VEIN THROMBOPHLEBITIS W CC/MCC,"$130,501.53 "
"296-CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)","$80,980.91 "
299-PERIPHERAL VASCULAR DISORDERS W MCC,"$70,359.97 "
300-PERIPHERAL VASCULAR DISORDERS W CC,"$43,709.11 "
301-PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$47,711.73 "
302-ATHEROSCLEROSIS W MCC,"$40,933.98 "
303-ATHEROSCLEROSIS W/O MCC,"$25,564.65 "
304-HYPERTENSION W MCC,"$45,437.04 "
305-HYPERTENSION W/O MCC,"$27,905.93 "
306-CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,"$36,942.96 "
307-CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,"$27,843.88 "
308-CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$54,332.63 "
309-CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$32,668.22 "
310-CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$22,599.13 "
311-ANGINA PECTORIS,"$38,885.69 "
312-SYNCOPE & COLLAPSE,"$35,805.65 "
313-CHEST PAIN,"$23,235.11 "
314-OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$96,902.56 "
315-OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$45,478.67 "
316-OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$37,211.11 "
"326-STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","$273,643.13 "
"327-STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","$165,147.16 "
"328-STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","$59,506.52 "
329-MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$198,626.17 "
330-MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$112,539.62 "
331-MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$85,098.23 "
332-RECTAL RESECTION W MCC,"$464,480.46 "
333-RECTAL RESECTION W CC,"$123,543.19 "
334-RECTAL RESECTION W/O CC/MCC,"$104,197.64 "
335-PERITONEAL ADHESIOLYSIS W MCC,"$161,765.47 "
336-PERITONEAL ADHESIOLYSIS W CC,"$90,381.45 "
337-PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$65,954.51 "
338-APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"$115,124.22 "
339-APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$76,980.31 "
340-APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$44,452.78 "
341-APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,"$178,240.87 "
342-APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$51,215.00 "
343-APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$47,925.13 "
344-MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$62,271.57 "
345-MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$62,053.89 "
346-MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$17,527.46 "
347-ANAL & STOMAL PROCEDURES W MCC,"$291,230.73 "
348-ANAL & STOMAL PROCEDURES W CC,"$69,439.13 "
349-ANAL & STOMAL PROCEDURES W/O CC/MCC,"$39,626.31 "
350-INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,"$108,648.34 "
351-INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"$46,146.11 "
352-INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$73,214.33 "
353-HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$306,988.56 "
354-HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"$80,794.13 "
355-HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"$59,871.14 "
356-OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$190,144.99 "
357-OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$83,488.55 "
358-OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$65,670.28 "
368-MAJOR ESOPHAGEAL DISORDERS W MCC,"$77,563.05 "
369-MAJOR ESOPHAGEAL DISORDERS W CC,"$54,680.88 "
370-MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,"$45,204.89 "
371-MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$53,205.04 "
372-MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$34,159.42 "
373-MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"$35,804.38 "
374-DIGESTIVE MALIGNANCY W MCC,"$89,578.43 "
375-DIGESTIVE MALIGNANCY W CC,"$48,628.04 "
376-DIGESTIVE MALIGNANCY W/O CC/MCC,"$26,466.18 "
377-G.I. HEMORRHAGE W MCC,"$77,935.74 "
378-G.I. HEMORRHAGE W CC,"$43,507.33 "
379-G.I. HEMORRHAGE W/O CC/MCC,"$25,547.56 "
380-COMPLICATED PEPTIC ULCER W MCC,"$76,848.12 "
381-COMPLICATED PEPTIC ULCER W CC,"$47,554.08 "
382-COMPLICATED PEPTIC ULCER W/O CC/MCC,"$38,438.91 "
383-UNCOMPLICATED PEPTIC ULCER W MCC,"$31,431.22 "
384-UNCOMPLICATED PEPTIC ULCER W/O MCC,"$33,858.34 "
385-INFLAMMATORY BOWEL DISEASE W MCC,"$81,140.03 "
386-INFLAMMATORY BOWEL DISEASE W CC,"$55,838.32 "
387-INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$36,424.71 "
388-G.I. OBSTRUCTION W MCC,"$55,987.22 "
389-G.I. OBSTRUCTION W CC,"$34,326.09 "
390-G.I. OBSTRUCTION W/O CC/MCC,"$22,907.33 "
"391-ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$50,322.05 "
"392-ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$29,832.88 "
393-OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$54,796.63 "
394-OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$38,384.42 "
395-OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$34,217.00 "
"405-PANCREAS, LIVER & SHUNT PROCEDURES W MCC","$235,226.76 "
"406-PANCREAS, LIVER & SHUNT PROCEDURES W CC","$129,734.05 "
"407-PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC","$114,555.75 "
408-BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,"$203,610.34 "
409-BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,"$122,659.76 "
410-BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,"$113,198.27 "
414-CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,"$126,537.19 "
415-CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,"$100,364.96 "
416-CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,"$91,273.21 "
417-LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"$96,479.98 "
418-LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"$74,463.76 "
419-LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$59,564.83 "
420-HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,"$174,566.57 "
421-HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,"$62,575.60 "
422-HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC,"$55,812.43 "
423-OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,"$158,858.49 "
432-CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$80,991.08 "
