Description, CurrPrice 
"INJ, SGL/MULT TRIG PTS>2 MUSC","$1,319.00 "
"ARTHROCENTESIS, INTERMED JOINT",$419.00 
"ARTHROCENTESIS, INTERMED JOINT",$419.00 
ARTHROCENT ASP/INJ; MAJOR JT,$419.00 
"ARTHROCENTESIS, MAJ JT/ BURSA",$419.00 
"ARTHROCENTESIS, MAJ JT/ BURSA",$419.00 
ARTHROCEN MAJ JT (HIP) W/US,"$4,205.00 "
BX SFT TISS NK OR THOR,$994.00 
VERTEBL BD UNI/BI W/I CERV/THO,"$13,213.00 "
VERTEBL BD UNI/BI W/I LUMBOSA,"$13,213.00 "
EACH ADD'L VERT BD W/IMAGING,"$4,805.00 "
XR INJ SHOULDER ARTHRO,$659.00 
XR INJ SHOULDER ARTHROGR,$659.00 
CLOSED TX SHLDR DISLOC W/O ANE,$373.00 
XR INJ ELBOW ARTHROGRAM,$777.00 
XR INJ WRIST ARTHROGRAM,$824.00 
CLOSED TX DIST RAD FX W/MANIP,$373.00 
XR INJ HIP ARTHROGRAM,"$1,145.00 "
XR INJ KNEE ARTHROGRAM,$681.00 
XR INJ KNEE ARTHROGRAM,$681.00 
APPLY LONG ARM SPLINT,$236.00 
ARM/WRIST SPLINT,$97.00 
APPLICATION OF FINGER SPLINT,$236.00 
FINGER SPLINT,$37.00 
TOTAL CONTACT LEG CAST,"$1,346.00 "
"APPLICATION, LONG LEG SPLINT",$236.00 
APPLICATION LOWER LEG SPLINT,$236.00 
STRAPPING OF KNEE,"$1,156.00 "
STRAPPING OF ANKLE AND/OR FOOT,"$1,156.00 "
UNNA BOOT,"$1,418.00 "
MULTI-LAYER COMPRESS.,"$1,075.00 "
"CONTRL NASAL HEMORR, ANT SIMPL",$456.00 
INTUBATE-ENDOTRACH-EMERG,"$2,545.00 "
TRACHEOTOMY TUBE CHG,"$3,485.00 "
T-TUBE NEW SET-UP,"$3,485.00 "
LARYNGOSCOPY,"$5,532.00 "
LARYNGOSCOPY DIR,"$5,532.00 "
BRONCHOSCOPY VIA TRACH,"$3,051.00 "
DIAGNOSTIC BRONCH,"$4,012.00 "
BRONCH DIAGNOSTIC W/BRUSHINGS,"$6,459.00 "
BRONCH W/ALVEOLAR LAVAGE,"$6,459.00 "
BRONCH W ENDOBRONCHIAL BIOPSY,"$9,869.00 "
W/ ASSIST OF NAVIGATNL BRONCH,"$10,469.00 "
BRONCH W TRANSBRONCHIAL BIOPSY,"$9,869.00 "
BRONCHOSCOPY W/NDLE BIOP,"$6,535.00 "
BRONCH W/TRACH/BRONC DILAT BLT,"$3,167.00 "
BRONCH W TRACH/BRONCH DILATION,"$3,167.00 "
BRONCH W REMOVED FOREIGN BODY,"$10,390.00 "
THERAPEUTIC BRONCHOSCOPY,"$10,390.00 "
PLACEMENT OF BRONCHIAL STENTS,"$3,167.00 "
EACH ADD MAJOR BRONCH STENTED,"$2,138.00 "
BRONCH WITH EXCISION OF TUMOR,"$2,879.00 "
BRONCH-DESTRUCT TUMOR,"$20,869.00 "
BRONCHOSCOPY W ASPIRATION,"$3,386.00 "
BRONCHOSCOPY W ASPIRATION SUBS,"$3,386.00 "
BRONCH ASP.,"$3,386.00 "
BRONCHIAL VALVE INSERT,"$3,923.00 "
BRONCHIAL VALVE ADDIT. INSERT,"$3,923.00 "
"BRONCHIAL VALVE REMOVAL, INITL","$1,922.00 "
BX/ASP 1-2 LESIONS W/EBUS,"$7,644.00 "
BX/ASP 3+ LESIONS W/EBUS,"$7,644.00 "
THERAPEUTIC INTERVNTION W/EBUS,"$2,184.00 "
BRONCH THERMOPLASTY 1 LOBE,"$3,923.00 "
BRONCH.THERM. 2/> LOBES,"$7,207.00 "
PLEURA PERC BIOPSY,"$1,596.00 "
LUNG BIOPSY,"$5,532.00 "
INSERT INDW TUN PLEUR CATH,"$3,758.00 "
TUBE THORACOSTOMY,"$6,568.00 "
INSERTION OF CHEST TUBE,"$6,568.00 "
THORACENTESIS W / IMAGING,"$8,649.00 "
THORACEN NEED/CATH WITH IMAGE,"$8,649.00 "
PLEURAL DRAIN W/CATH W/O IMAGE,"$8,649.00 "
INSERT CATH PLEURA W IMAGING,"$14,174.00 "
PLEURAL DRAIN W/CATH W/IMAGE,"$14,174.00 "
"PERICARDIOCENTESIS, INT","$6,602.00 "
INS/RPL P/MKR W/ TR ELT ATRIAL,"$25,136.00 "
INS/RPL P/MKR W/ TR ELT VENTR,"$25,136.00 "
INS/RPL P/MKR W/TR ELT AT & VT,"$25,136.00 "
INS/REP TEMP TRNS SING CH ELEC,"$20,017.00 "
INS/RPL P/MKR P/GEN DLA OR V,"$25,136.00 "
REPOS IMPLANTED PACER OR DEFIB,"$2,114.00 "
INS/PACER DEFIB ELECT,"$25,136.00 "
INS/2 PACER/DEFIB ELECT,"$25,136.00 "
"REV/RELOC SKIN POCKET, PM","$6,017.00 "
"REV/RELOC SKIN POCKET, ICD","$5,532.00 "
INSRT ELECT LV PAC W DEFIB INS,"$18,018.00 "
REPOS PREV IMPLNT CARD VEN SYS,"$2,114.00 "
REMOVE/REPLACE SGL GEN,"$9,880.00 "
REMOVE/REPLACE DUAL GEN,"$21,033.00 "
REM/REPLACE MULTI LEAD GEN,"$4,114.00 "
REMOVAL PM GENERATOR,"$5,532.00 "
REMOVAL TRNS PM ELEC SING LEAD,"$6,535.00 "
REMOVAL TRNS PM ELEC DUAL LEAD,"$6,535.00 "
REMOVAL ICD GENERATOR,"$2,419.00 "
REMOVAL ICD GEN AND/OR LEADS,"$6,649.00 "
INS/RPL/IMP CRD-DF LDS/THR/ICD,"$52,490.00 "
REP. 1 LEAD ICD (INC REM.),"$26,846.00 "
REP. DUAL LEADS ICD (INC REM.),"$27,447.00 "
REP. MULTI LEAD ICD (INC REM.),"$28,047.00 "
INS/REPLACE SUBQ DEFIBRILLATOR,"$21,622.00 "
INSRT SUBQ DEFIB IMPLNT ELCTRD,"$25,136.00 "
IMPLANT CARDIAC EVENT RECORDER,"$45,455.00 "
REMOVE CARDIAC EVENT RECORDER,"$1,355.00 "
LAA CLOSURE W/IMPLANT,"$15,856.00 "
TAVR/TAVI PERC FEMORAL ARTERY,"$21,622.00 "
TAVR/TAVI TRANSAPICAL EXPOSURE,"$30,030.00 "
TMVR PERCUTANEOUS - INITIAL,"$54,054.00 "
TMVR PERCUTANEOUS - ADD'L,"$12,012.00 "
ECMO/ECLS DAILY MGMT VENOUS,"$8,935.00 "
INS IA BALLOON ASSIST DEV PERC,"$11,284.00 "
PERC VAD INSERTION,"$10,811.00 "
INSERT VAD ART&VEIN ACCESS,"$27,028.00 "
PERC VAD REMOVAL,"$10,811.00 "
PERC VAD REPOSITIONING,"$10,811.00 "
INTRO NEEDLE/CATH VEIN,$105.00 
IV START,$105.00 
INJ (THROMBIN) PERCU TREATMENT,$528.00 
INJ PERC TX EXTREM PSEUDOANEU,$528.00 
INJ VENOGRAPHY,$610.00 
INJ PROCEDURE EXTREM VENOGRAM,$610.00 
INTRO CATH S OR IVC,"$2,095.00 "
INTRO CATH S OR IVC,"$2,095.00 "
SEL CATH PLCMT VEIN,"$2,229.00 "
SEL CATH PLCMT 2 ORD,"$2,785.00 "
SEL CATH PLCMT VEN 2ND ORD,"$2,785.00 "
SEL CA PLCMT SEG/SSEG,"$2,785.00 "
INT NDL/CATH EXTRM ART,"$8,408.00 "
INT NDL/CATH RETR EXTRM ART,"$8,408.00 "
INTRO CATH AORTA,"$2,593.00 "
INTROCATH AORTA,"$2,593.00 "
SL CT PL/ART TH/BR 1ST,"$3,238.00 "
"SL CT PL/ART TH/BR,1ST","$3,238.00 "
"SL CT PL/ART TH/BR,2ND","$3,728.00 "
SL CT PL/ART TH/BR 2ND,"$3,728.00 "
SL CT PL/ART TH/BR INI 3,"$4,445.00 "
SL CT PL/ART TH/BR+2ND 3,$708.00 
THOR. NON SEL AO & CAROTIDS,"$17,057.00 "
SEL EXT. CRAN COM CAROT BILAT,"$42,042.00 "
SE CAT PL COM CAR UNI INTRA IN,"$23,063.00 "
SE CAT PL INT CAR UNI INTRA IN,"$25,225.00 "
SE CAT PL SUBCL UNI INCLUSIVE,"$22,823.00 "
SE CAT PL VERT UNI INCLUSIVE,"$9,057.00 "
SE CAT PL EXT CAR UNI (ADD ON),"$18,018.00 "
SEL PLACE EXT CAROTD/UNI/ADD'L,"$18,018.00 "
SE CAT PL INT CAR UNI (ADD ON),"$18,018.00 "
SL CT PL/ART ABD/PV/EX 1,"$3,425.00 "
SL CT PL/ART AB/PV/EX I2,"$3,728.00 "
SL CT PL/ART AB/PV/EX I3,"$4,445.00 "
SL CT PL/ART ABD/PV EX 3RD ORD,"$4,445.00 "
SL CT PL/ART AB/PV/EX A2,$708.00 
"UNI REN AORTO INC CATH S&I,1ST","$9,803.00 "
"UNI REN AORTO IN CATH S&I, 2ND","$10,107.00 "
RENAL 2ND ORDER UNILAT,"$10,107.00 "
RENAL 2ND ORDER BILAT,"$7,447.00 "
"VENI,>3 YRS/ADULT;PHY SK",$202.00 
VENIPUNCTURE,$73.00 
VENIPUNCTURE,$73.00 
CAPILLARY BLOOD DRAW,$459.00 
TRANSFUSION SVC PER DAY,"$1,386.00 "
PERC PORTAL VEIN CATH,"$11,690.00 "
VEN CATH SEL ORG BLD SAM,"$1,426.00 "
RED CELL EXCHANGE,"$9,874.00 "
PLASMAPHERESIS,"$4,363.00 "
PHOTOPHERESIS,"$30,030.00 "
INS NONTUN CENT VEN CTH 5 YR +,"$1,657.00 "
INS N/TUN CICVC > 5 YRS,"$1,657.00 "
INS N/TUN CICVC > 5 YRS,"$1,657.00 "
INS TUN CICVC NO P/P > 5 YRS,"$1,657.00 "
PORT PLACEMENT,"$16,336.00 "
INS TUN CICVAD W/PORT > 5 YRS,"$16,336.00 "
INS PICVC NO P/P > 5 YRS,"$1,657.00 "
INS PICVAD W/PORT > 5 YRS,"$3,301.00 "
REPL COMP N/T CICVC W/O P/P,"$1,657.00 "
REPL COMP TUN CICVC W/O P/P,"$10,811.00 "
REPL COMP PICVC W/O P/P,"$1,657.00 "
REPL COMP PICVAD W/PORT,"$1,657.00 "
REM TUN CVC W/O P/P,"$4,685.00 "
REM TUN CVAD W/ P/P CI/PI,"$4,805.00 "
COLL BLD SPEC IMPL VAD,$988.00 
COLLECT BLOOD FROM CATH/PORT,$988.00 
BLOOD COLLECTION FROM PICC,$991.00 
DECLOT IMPL VASC ACC DEV/CATH,$235.00 
REPO PR PLC CVC W/ FL GD,$798.00 
Contrast inj-eval-cva/fluoro,"$1,349.00 "
ARTERIAL PUNCTURE,$459.00 
ARTERIAL PUNCTURE,$459.00 
ARTERIAL BLOOD DRAW,$459.00 
INTRO CATH DIALYSIS CIRCUIT,"$5,861.00 "
INTRO CATH DLYS CIRCUIT + PTA,"$12,791.00 "
THRMBC/NFS DIALYSIS CIRCUIT,"$8,527.00 "
THRMBC/NFS DLYS CIRCUIT+ PTA,"$12,791.00 "
THRMBC/NFS DLYS CIRCUIT+ STENT,"$8,527.00 "
STENT PLMT CTR DIALYSIS SEG,$249.00 
INS TIPS INC VA PVC PHE ST/IG,"$2,479.00 "
REV TIPS INC VA PVC PHE ST/IG,"$1,424.00 "
"THROMBECTOMY,ARTERIAL,PRIMARY","$4,369.00 "
"THROMBECTOMY, VENOUS","$4,369.00 "
"INSER VC FLTER INCL S&I, GUIDE","$25,034.00 "
INS ENDOVASC VENA CAVA FILTER,"$25,034.00 "
"REM IVC FLTER INC S&I, GUIDE","$21,303.00 "
REMOVE VENA CAVA FILTER,"$21,303.00 "
TRANSCATHETER BIOPSY,"$2,597.00 "
TRANSCATH ART INF THROM NO COR,"$1,961.00 "
TRANCATH VEN INF FOR THROM INC,"$6,006.00 "
THROMBOLYTIC VENOUS THERAPY,"$6,006.00 "
TRANSCATH STNT W/DIS EMBOL PRO,"$7,017.00 "
"CMN ILIAC REVASC PTA, STNT","$10,404.00 "
"CMN ILIAC REVASC PTA, STNT","$10,404.00 "
LT ILIAC REVASC  W PTA,"$10,404.00 "
"RT ILIAC REVASC  W PTA, STNT","$10,404.00 "
"LT ILIAC REVASC  W PTA, STNT","$10,404.00 "
RT FEM-POP REVASC W PTA,"$10,404.00 "
LT FEM-POP REVASC W PTA,"$10,404.00 "
"RT FEM-POP REVASC W PTA, STNT","$16,256.00 "
"LT FEM-POP REVASC W PTA, STNT","$16,256.00 "
"LT FEM-POP ATHERECT, PTA, STNT","$16,256.00 "
RT TIB-PER REVASC W PTA,"$10,404.00 "
LT TIB-PER REVASC W PTA,"$10,404.00 "
TRANS STENT INITIAL ARTERY,"$13,213.00 "
TRANS STENT ADDITIONAL ARTERY,"$7,808.00 "
TRANS STENT INCL 1ST VEIN,"$13,213.00 "
VAS EMB INCL IMAG VENOUS,"$67,748.00 "
VAS EMB INCL IMAG ARTERY,"$12,012.00 "
"VAS EMB TUMOR, ORG ISCH, INFAR","$33,260.00 "
VAS EMB ART/VEN HEMOR/LYMPH EX,"$33,260.00 "
TRLUML BALO ANGIOP 1ST ART,"$5,117.00 "
TRLUML BALO ANGIOP ADDL ART,"$5,117.00 "
TRLUML BALO ANGIOP 1ST VEIN,"$10,126.00 "
BAL ANG(EXC DIALY)INITAL VEIN,"$10,126.00 "
INTRAVAS NON-COR US INIT W/S&I,"$4,205.00 "
INTRAVAS NON-COR US EA ADD'L,"$4,205.00 "
HARVEST ALLOGENIC STEM CELLS,"$4,747.00 "
HARVEST AUTO STEM CELLS,"$4,747.00 "
CRYOPRESERVE STEM CELLS -ALLO,$553.00 
THAW STEM CELLS W/O WASH -AUTO,$553.00 
THAW STEM CELLS W/O WASH -ALLO,$553.00 
THAW STEM CELLS W/ WASH -ALLO,$553.00 
BONE MARROW ASPIRATION ONLY,"$1,396.00 "
DIAGNOSTIC BONE MARROW ASPIRAT,"$1,396.00 "
DIAGNOSTIC BONE MARROW BIOPSY,"$1,674.00 "
"BONE MARROW BX, UNI","$1,674.00 "
DX BONE MARROW BX UNILAT -GI,"$1,674.00 "
DX BONE MARROW BX & ASPIRATION,"$1,674.00 "
DX BONE MARROW BX & ASPIRATION,"$1,674.00 "
"HPC ALLO TRANSPLANT, PER DONOR","$43,313.00 "
PBSC TRANSPLANT - AUTOLOGOUS,"$9,010.00 "
TRANSPLANT ALLO LYMPHOCYTES,"$4,747.00 "
LYMPHOCYTE INF / TRANSFUS,"$4,747.00 "
DRN LYM NODE ABSC; SIMP,"$1,138.00 "
DRN LYM NODE ABSC; EXTENS,"$1,178.00 "
"BX LYMPH NODE, NEEDLE","$1,178.00 "
INJ LYMPH XRAY,"$1,366.00 "
"DRN ABSC,CYST,HEMAT-DENTOALVE",$320.00 
"ESOPHAGOSCOPY, FLEX-TRANSNASAL","$2,763.00 "
ESOPHAGOSCOPY,"$2,380.00 "
ESOPHAGOS BIOP/SPC B/W,"$3,780.00 "
"ESOPH, BAND LIGATION","$3,638.00 "
ESOPHAGO W/ENDO MUCOSAL RESECT,$631.00 
ESOPHAGOS REM FOREIGN BD,"$3,638.00 "
ESO GUIDE INSERT/DILATE,"$3,780.00 "
ERCP W/SPHINCTEROTOMY/DESTRUCT,"$16,817.00 "
ESOPHAGOGASTRODUODEN,"$2,803.00 "
UGI-ENDO W/SUB-MUC INJ ANY SUB,"$1,278.00 "
EGD W/US EXAM,"$4,205.00 "
EGD W/TRANSENDO US OR FNA/BX,"$3,547.00 "
EGD BIOP/SPEC CYTOLOGY,"$4,506.00 "
EGD W/DRAINAGE OF PSEUDOCYST,"$3,654.00 "
EGD W/TUBE PLACEMENT,"$6,555.00 "
EGD WITH EUS/FNA,"$4,229.00 "
INJ/SCLEROSE OF VARICES,"$1,482.00 "
"EGD, BAND LIGATION","$4,937.00 "
DILATION-G.I.,"$3,960.00 "
PERC PLCMT GASTRIC TUBE,"$3,978.00 "
EGD REM FOREIGN BDY,"$3,923.00 "
"EGD, GUIDE INSERT","$2,651.00 "
"EGD, GUIDE INSERT","$4,203.00 "
BALLOON DILATE ESO <30,"$4,480.00 "
"EGD, REMOVE POLYP HOT BX","$7,492.00 "
EGD REM POLYP SNARE,"$5,210.00 "
UPPER GI W/ENDOMICROSCOPY,"$4,205.00 "
EGD W/ENDO MUCOSAL RESECTION,"$4,324.00 "
EGD CONTROL HEMORR,"$5,322.00 "
ENDOSCOPIC ULTRASOUND,"$5,717.00 "
ERCP W/OR W/O CYT,"$3,563.00 "
"ERCP, BIOPSY","$5,808.00 "
ERCP+SPHINCTEROTOMY,"$7,266.00 "
ERCP REM STONE BIL/PANC,"$7,266.00 "
ERCP DESTR LITHOTR STONE,"$7,266.00 "
FLEX EDG W/GUIDE WIRE/DILATION,"$11,412.00 "
ENDO CANNULATION OF PAPILLA,"$3,654.00 "
FLEX EDG W/DILATION & IMAGING,"$11,412.00 "
ERCP W/FOR BODY/STENT REMOVAL,"$16,817.00 "
ERCP W/STENT & SPHINCTEROTOMY,"$16,817.00 "
"ERCP W / DILATION, EACH DUCT","$9,886.00 "
UNLISTED PROCEDURE ESOPHAGUS,"$16,817.00 "
CHANGE GASTRO TUBE,"$2,469.00 "
REPOS NASO GASTRI FEED TUBE,"$1,904.00 "
"UNLISTED PROCEDURE, STOMACH","$1,322.00 "
ENTEROSCOPY NO ILEUM,"$3,359.00 "
SIEE W/BIOPSY/CYTOLOGY,"$4,720.00 "
SIEE REM POLYP SNARE,"$4,720.00 "
SIEE CONTROL HEMORR,"$5,043.00 "
SIEE ABLATION TUM/LES,"$3,754.00 "
ENTEROSCOPY W/ILEUM,"$4,480.00 "
ENTEROSCOPY W/ILEUM/BX,"$6,402.00 "
ENTEROS W/ILEUM CTL BLD,"$6,719.00 "
FIB ILEO W/BX OR SPEC,"$3,778.00 "
FIBEROPT EVAL SM INT,"$2,469.00 "
FIBOPT EVAL W/BIOP COL,"$2,469.00 "
FIBER COLONOS W/BX COL,"$3,867.00 "
GARREN BUBBLE INSERTION,"$3,148.00 "
"FLEX SIG,DIAG,W/WO SPEC COLL","$2,469.00 "
SIGMOIDOS BIOP/SPEC B/WL,"$2,469.00 "
SIGMOIDOS CONTR HEMORR,"$2,469.00 "
FLEX SIG W/SUB-MUC INJ,"$1,210.00 "
SIGMOIDOS DECOMPRESS VOL,"$2,027.00 "
"SIGMOID, REM POLYP","$1,884.00 "
SIGMOID W/ENDOSCOPIC US EXAM,"$2,374.00 "
SIGMOID W/TRANSENDO US GUID,"$2,374.00 "
SIGMOIDOSCOPY W/ABLATION,"$1,802.00 "
SIGMOIDOSCOPY W/STNT PLACEMENT,"$1,802.00 "
COLONOSCOPY RT ASCEND,"$2,803.00 "
COLONOS REM FOREIGN BODY,"$4,981.00 "
COLONOS BIOP/SPEC B/W,"$4,981.00 "
COLONOS W/SUB-MIC INJ ANY SUBS,"$1,366.00 "
COLONOS CONTROL HEMORR,"$4,981.00 "
"COLONOSCOPY, POLYP REM","$6,577.00 "
COLONOS REM POLY LES,"$4,765.00 "
COLONOS W/DIL BALLOON W/STRICT,"$1,366.00 "
COLONOSCOPY W/ABLATION,"$2,763.00 "
COLONOSCOPY W/SUBMUC RESECTION,"$3,004.00 "
ENDO/ANOSCOPY DIAG,"$2,469.00 "
DSTRCTN INT HMRRHD; THRML NRGY,"$4,555.00 "
PERC LIVER BIOPSY,"$1,722.00 "
LAPRO ABLAT LIVER TUM RADIOFRE,"$15,062.00 "
RFA - OPEN 1/+ LIVER TUMOR(S),"$21,022.00 "
"ABL 1 OR MORE TUM, PERC, RFA","$3,716.00 "
PERC CHOLECYSTOSTOMY,"$5,474.00 "
INJ CHOLANG INC IMAGE/S&I EXIS,"$1,802.00 "
PLMT BILI DRN CATH INT-EXT,"$10,211.00 "
EXCH BILI DRN CATH INC IMAG SI,"$10,211.00 "
REM BILI DRN IN BILE DUCT EXIS,"$10,211.00 "
DILATE BILIARY DUCT/AMPULLA,"$4,914.00 "
ABD PARACENTESIS W/O IMAGING,"$1,224.00 "
PARACENTESIS WITH IMAGING,"$8,408.00 "
ABD PARACENTESIS WITH IMAGING,"$3,015.00 "
BX ABD/RETROPER MASS,"$4,060.00 "
SCLEROTX FLUID COLLECTION,"$4,914.00 "
IMAG GUID CATH DRAN VISCERAL,"$12,012.00 "
IMAG GUID CATH DRAN PERI/RETRO,"$1,201.00 "
INSER TUN INTRAPERIT CATH INCL,"$1,950.00 "
REM PERM INTRAPERITONEAL CATH,"$2,081.00 "
EXCHANGE OF DRAIN CATH,"$3,015.00 "
ABSCESS CONTRAST INJECT,"$1,263.00 "
INSERT GAST TUBE W/IMAGE,"$7,027.00 "
INS GAST TB PERC W/FL GD & INJ,"$7,027.00 "
CON GT TB TO G-J PERC W/FL GD,"$1,301.00 "
REPL GAST/CEC TB PERC W/FL GD,$744.00 
REPL DUOD/JEJ TB PERC W/FL GD,"$5,694.00 "
REPL GAST-JEJ TB PERC W/FL GD,"$8,408.00 "
MEC RM OB MT G/D/J/G-J W/FL GD,$744.00 
INJECT CONTRAST IN GI TUBES,$319.00 
CNT INJ XR EVAL D/J/G-J TB PER,$319.00 
"RENAL BX, PERC","$1,596.00 "
RENAL BX PERC (TECH ONLY),"$1,596.00 "
Rem (snare/cap)int uret stent,"$2,192.00 "
RM S/C RP ID UR STN TU W/O CYS,"$2,058.00 "
Rem/rep ext acc uret stnt flu,"$1,360.00 "
Rem nephro tube-fluoro guid,"$5,045.00 "
INJ ANTE NEPH W/IMAGE EXISTING,"$2,102.00 "
PLMT NEPH CATH W/IMAGE NEPH SI,"$2,703.00 "
PLMT NEPHRURET CATH W/IMAG NEW,"$2,703.00 "
CONV NEPHRO CATH W/IMAGE EXIST,"$2,102.00 "
ECX NEPHR CATH W/IMAGE S&I,"$1,082.00 "
ABL REN TUMOR CRYOTHER,"$5,850.00 "
ENDOLUMINAL BX URETER PELVIS,"$4,914.00 "
ASP BLADDER W/INS SUPRAPUB CAT,"$1,812.00 "
INJ BLADDER X-RAY,$332.00 
INJECT FOR RETRO URETHROCYST,$901.00 
INSERT TEMP INDWELL BLAD CATH,$305.00 
CHANGE CYSTOSTOMY TUBE,$523.00 
BLAD INSTILL ANTICARCINO AGENT,"$6,502.00 "
CIRCUMCISION NEONATE,"$1,200.00 "
PUNCT/ASP HYDROCELE TUNICA VAG,"$1,268.00 "
INSERTION TANDEM AND/OR OVOIDS,"$1,286.00 "
INSERT VAG IRRADIATION APPAR,"$3,577.00 "
INSERTION INTRAUTERINE DEVICE,$518.00 
INJ HYSTEROSALPINGOGRAM (TC),$790.00 
INJ HYSTEROSALPINGOGRAM,$790.00 
INJ HYSTEROSALPINGOGRAM,$790.00 
AMNIOCENTESIS,"$4,805.00 "
CHORIONIC VILLUS SAMPLING,"$4,805.00 "
FETAL CONTRACTION STRESS TEST,$697.00 
NON STRESS TEST,$697.00 
NON STRESS TEST,"$2,283.00 "
FETAL MONITOR (PER HOUR),"$1,080.00 "
TRANSABDOMINAL AMNIOINFUS W US,"$3,103.00 "
THYROID PERC BIOPSY,$883.00 
ASP/INJ THYROID CYST,$605.00 
"UNLISTED PROC, ENDOCRINE SYS","$4,480.00 "
OCCLU/EMBOL CATH CNS,"$10,367.00 "
OCCLU/EMBOL CATH N/CNS,"$8,556.00 "
Bal dil intrcran vaso int ves,"$2,582.00 "
Bal dil intracran vaso add ves,"$2,277.00 "
BALL DILAT INTERCRAN EA ADD VE,"$2,277.00 "
PERC ART THROM &/OR INF W/CATH,"$10,811.00 "
ENDO INTRAC ADM PHAR AGNTW/CAT,"$10,510.00 "
ENDO INTRAC W/PHAR AGNT NO THR,"$10,510.00 "
PER ASP INTERVET DISC,$938.00 
SPINAL PUNCT LUMBAR,"$2,095.00 "
LUMBAR PUNCTURE,"$2,095.00 "
LUMB PUNCT THERA DRAIN,"$1,066.00 "
EPIDURAL INJECTION,"$1,085.00 "
INJ FOR MYELOGRAM,"$1,145.00 "
ASPIRATION INTERVERTEBRAL DISK,"$2,181.00 "
INJ PROC DISCOGR LUMBAR,"$1,581.00 "
"MYELOGRAM, CERVICAL INCL S & I","$5,646.00 "
"MYELOGRAPHY, LUM-SAC INCL S&I","$5,646.00 "
MYELOGRAPHY 1 OR MORE INCL S&I,"$9,610.00 "
INJ DIA/THE SUB C/T W/IMAGING,"$3,197.00 "
INJ DIA/THE SUB C/T W/IMAGING,"$3,197.00 "
INJ DIA//THE SUB L/S W/IMAGING,"$3,197.00 "
INJ DIA//THE SUB L/S W/IMAGING,"$3,197.00 "
INJ ANES AGENT TRIGEMINAL NERV,$419.00 
INJ ANES AGNT GREATR OCCIPITAL,"$3,111.00 "
INJ ANES AGENT BRACHIAL PLEXUS,"$2,495.00 "
INJ ANES AGENT INTERCOST MULTI,$994.00 
