Temple University Health System,,,,
Episcopal Hospital,,,,
FY18 Charges by DRG,,,,
,,,,
MS DRG,Description,Cases,Total Charges,Avg Charge
637,DIABETES W MCC MS,3,"385,938","128,646"
638,DIABETES W CC MS,6,"208,339","34,723"
639,DIABETES W/O CC/MCC MS,3,"94,546","31,515"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC MS",1,"46,845","46,845"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC MS",8,"507,068","63,384"
683,RENAL FAILURE W CC MS,5,"486,775","97,355"
684,RENAL FAILURE W/O CC/MCC MS,1,"70,182","70,182"
689,KIDNEY & URINARY TRACT INFECTIONS W MCC MS,2,"72,022","36,011"
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC MS,28,"1,915,861","68,424"
696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC MS,1,"19,490","19,490"
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC MS,1,"49,142","49,142"
759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC MS",1,"128,931","128,931"
781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS MS,1,"27,234","27,234"
811,RED BLOOD CELL DISORDERS W MCC MS,1,"32,492","32,492"
812,RED BLOOD CELL DISORDERS W/O MCC MS,1,"33,387","33,387"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC MS,2,"1,443,265","721,633"
863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC MS,2,"195,907","97,954"
868,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC MS,1,"55,962","55,962"
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS MS,1,"559,847","559,847"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC MS,18,"3,889,229","216,068"
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC MS,18,"1,376,363","76,465"
876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS MS,5,"3,863,325","772,665"
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION MS,13,"494,911","38,070"
881,DEPRESSIVE NEUROSES MS,273,"11,877,911","43,509"
882,NEUROSES EXCEPT DEPRESSIVE MS,110,"5,129,866","46,635"
883,DISORDERS OF PERSONALITY & IMPULSE CONTROL MS,11,"2,168,848","197,168"
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY MS,14,"1,463,991","104,571"
885,PSYCHOSES MS,1579,"250,154,739","158,426"
886,BEHAVIORAL & DEVELOPMENTAL DISORDERS MS,11,"7,423,756","674,887"
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA MS",8,"342,271","42,784"
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC MS,6,"381,313","63,552"
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC MS,127,"5,056,826","39,818"
917,POISONING & TOXIC EFFECTS OF DRUGS W MCC MS,15,"810,027","54,002"
918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC MS,22,"822,754","37,398"
947,SIGNS & SYMPTOMS W MCC MS,1,"55,099","55,099"
948,SIGNS & SYMPTOMS W/O MCC MS,2,"118,684","59,342"
951,OTHER FACTORS INFLUENCING HEALTH STATUS MS,9,"372,942","41,438"
969,HIV W EXTENSIVE O.R. PROCEDURE W MCC MS,1,"790,557","790,557"
974,HIV W MAJOR RELATED CONDITION W MCC MS,1,"66,727","66,727"
975,HIV W MAJOR RELATED CONDITION W CC MS,1,"58,911","58,911"
976,HIV W MAJOR RELATED CONDITION W/O CC/MCC MS,1,"89,557","89,557"
977,HIV W OR W/O OTHER RELATED CONDITION MS,2,"829,717","414,859"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC MS,1,"620,805","620,805"
999,UNGROUPABLE MS,13,"224,261","17,251"
