Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","36,111 "
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,"169,096 "
312,SYNCOPE  COLLAPSE,"28,155 "
884,ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY,"34,110 "
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"93,791 "
637,DIABETES W MCC,"43,674 "
163,MAJOR CHEST PROCEDURES W MCC,"177,467 "
482,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"65,842 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"150,005 "
377,G.I. HEMORRHAGE W MCC,"64,185 "
493,"LOWER EXTREM  HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","80,091 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"34,174 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"25,763 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","71,700 "
253,OTHER VASCULAR PROCEDURES W CC,"96,283 "
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"33,405 "
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,"194,133 "
689,KIDNEY  URINARY TRACT INFECTIONS W MCC,"39,243 "
472,CERVICAL SPINAL FUSION W CC,"89,451 "
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"31,555 "
882,NEUROSES EXCEPT DEPRESSIVE,"16,147 "
327,"STOMACH, ESOPHAGEAL  DUODENAL PROC W CC","84,284 "
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","84,439 "
176,PULMONARY EMBOLISM W/O MCC,"33,326 "
949,AFTERCARE W CC/MCC,"46,046 "
813,COAGULATION DISORDERS,"195,147 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"27,567 "
920,COMPLICATIONS OF TREATMENT W CC,"32,251 "
103,HEADACHES W/O MCC,"21,556 "
919,COMPLICATIONS OF TREATMENT W MCC,"66,931 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"60,006 "
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"153,501 "
652,KIDNEY TRANSPLANT,"303,721 "
856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,"123,909 "
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"82,008 "
165,MAJOR CHEST PROCEDURES W/O CC/MCC,"66,040 "
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"46,063 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","33,673 "
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"91,984 "
386,INFLAMMATORY BOWEL DISEASE W CC,"50,824 "
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"126,496 "
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"65,214 "
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,"29,994 "
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"118,327 "
012,"TRACHEOSTOMY FOR FACE, MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W CC","158,371 "
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC,"17,842 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"35,219 "
742,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"63,918 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"18,823 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,"58,115 "
074,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,"40,917 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"59,733 "
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"190,680 "
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,"38,623 "
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC,"88,559 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"17,746 "
846,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,"90,208 "
862,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W MCC,"57,130 "
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC","59,789 "
708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"71,786 "
743,UTERINE  ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"51,529 "
326,"STOMACH, ESOPHAGEAL  DUODENAL PROC W MCC","188,908 "
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"60,844 "
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"48,689 "
834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,"358,822 "
016,AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY,"267,410 "
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"189,704 "
838,CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,"87,778 "
841,LYMPHOMA  NON-ACUTE LEUKEMIA W CC,"83,366 "
886,BEHAVIORAL  DEVELOPMENTAL DISORDERS,"20,085 "
029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"132,047 "
091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"67,132 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"196,632 "
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC,"30,360 "
516,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W CC,"86,691 "
517,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O CC/MCC,"56,767 "
134,"OTHER EAR, NOSE, MOUTH  THROAT O.R. PROCEDURES W/O CC/MCC","41,672 "
837,CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,"194,072 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"65,931 "
445,DISORDERS OF THE BILIARY TRACT W CC,"35,030 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"215,510 "
175,PULMONARY EMBOLISM W MCC,"58,913 "
375,DIGESTIVE MALIGNANCY W CC,"45,204 "
180,RESPIRATORY NEOPLASMS W MCC,"59,959 "
607,MINOR SKIN DISORDERS W/O MCC,"25,326 "
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,"33,097 "
011,"TRACHEOSTOMY FOR FACE, MOUTH  NECK DIAGNOSES OR LARYNGECTOMY W MCC","197,606 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"26,982 "
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"73,619 "
864,FEVER AND INFLAMMATORY CONDITIONS,"25,646 "
313,CHEST PAIN,"19,970 "
032,VENTRICULAR SHUNT PROCEDURES W CC,"69,675 "
473,CERVICAL SPINAL FUSION W/O CC/MCC,"74,678 "
305,HYPERTENSION W/O MCC,"24,148 "
543,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W CC,"56,545 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"46,310 "
644,ENDOCRINE DISORDERS W CC,"30,969 "
464,"WND DEBRID  SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","109,016 "
661,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,"61,651 "
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC,"64,079 "
580,"OTHER SKIN, SUBCUT TISS  BREAST PROC W CC","56,196 "
840,LYMPHOMA  NON-ACUTE LEUKEMIA W MCC,"169,316 "
480,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"115,504 "
328,"STOMACH, ESOPHAGEAL  DUODENAL PROC W/O CC/MCC","41,259 "
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"110,910 "
004,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH  NECK W/O MAJ O.R.","443,921 "
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"161,476 "
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"115,416 "
737,UTERINE  ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC,"89,082 "
907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"148,929 "
444,DISORDERS OF THE BILIARY TRACT W MCC,"51,332 "
558,"TENDONITIS, MYOSITIS  BURSITIS W/O MCC","22,109 "
654,MAJOR BLADDER PROCEDURES W CC,"126,295 "
660,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W CC,"79,514 "
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS  COAGUL W MCC,"80,569 "
087,"TRAUMATIC STUPOR  COMA, COMA <1 HR W/O CC/MCC","21,739 "
958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,"122,610 "
014,ALLOGENEIC BONE MARROW TRANSPLANT,"605,997 "
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"47,346 "
956,"LIMB REATTACHMENT, HIP  FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA","179,343 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"21,402 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"67,917 "
406,"PANCREAS, LIVER  SHUNT PROCEDURES W CC","106,377 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS  BREAST W/O MCC","25,932 "
020,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,"454,644 "
581,"OTHER SKIN, SUBCUT TISS  BREAST PROC W/O CC/MCC","36,322 "
082,"TRAUMATIC STUPOR  COMA, COMA >1 HR W MCC","85,438 "
055,NERVOUS SYSTEM NEOPLASMS W/O MCC,"44,054 "
129,MAJOR HEAD  NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,"122,491 "
374,DIGESTIVE MALIGNANCY W MCC,"68,423 "
086,"TRAUMATIC STUPOR  COMA, COMA <1 HR W CC","34,004 "
658,KIDNEY  URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"69,551 "
957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,"199,722 "
457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,"191,948 "
405,"PANCREAS, LIVER  SHUNT PROCEDURES W MCC","208,897 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","32,701 "
388,G.I. OBSTRUCTION W MCC,"62,094 "
602,CELLULITIS W MCC,"50,353 "
657,KIDNEY  URETER PROCEDURES FOR NEOPLASM W CC,"90,708 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"40,389 "
133,"OTHER EAR, NOSE, MOUTH  THROAT O.R. PROCEDURES W CC/MCC","58,590 "
551,MEDICAL BACK PROBLEMS W MCC,"38,066 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"87,069 "
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"71,109 "
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"111,241 "
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"132,853 "
158,DENTAL  ORAL DISEASES W CC,"23,970 "
200,PNEUMOTHORAX W CC,"30,003 "
778,THREATENED ABORTION,"10,845 "
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,"1,028,384 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"41,279 "
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC,"42,798 "
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"144,732 "
152,OTITIS MEDIA  URI W MCC,"37,168 "
916,ALLERGIC REACTIONS W/O MCC,"20,697 "
556,SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN TISSUE W/O MCC,"24,354 "
988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"68,575 "
083,"TRAUMATIC STUPOR  COMA, COMA >1 HR W CC","41,797 "
554,BONE DISEASES  ARTHROPATHIES W/O MCC,"29,098 "
039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"57,130 "
215,OTHER HEART ASSIST SYSTEM IMPLANT,"370,522 "
181,RESPIRATORY NEOPLASMS W CC,"50,460 "
084,"TRAUMATIC STUPOR  COMA, COMA >1 HR W/O CC/MCC","31,153 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"20,664 "
293,HEART FAILURE  SHOCK W/O CC/MCC,"27,439 "
024,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,"133,986 "
546,CONNECTIVE TISSUE DISORDERS W CC,"50,423 "
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"79,700 "
273,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,"165,816 "
204,RESPIRATORY SIGNS  SYMPTOMS,"25,908 "
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"328,494 "
839,CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,"54,202 "
614,ADRENAL  PITUITARY PROCEDURES W CC/MCC,"121,888 "
463,"WND DEBRID  SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","245,961 "
520,BACK  NECK PROC EXC SPINAL FUSION W/O CC/MCC,"49,584 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"37,659 "
923,"OTHER INJURY, POISONING  TOXIC EFFECT DIAG W/O MCC","25,671 "
909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,"46,404 "
336,PERITONEAL ADHESIOLYSIS W CC,"80,795 "
033,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"60,437 "
983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"55,596 "
947,SIGNS  SYMPTOMS W MCC,"50,154 "
132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,"79,485 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"36,845 "
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"145,201 "
156,"OTHER EAR, NOSE, MOUTH  THROAT DIAGNOSES W/O CC/MCC","19,637 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"34,104 "
964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,"46,787 "
883,DISORDERS OF PERSONALITY  IMPULSE CONTROL,"16,198 "
040,PERIPH/CRANIAL NERVE  OTHER NERV SYST PROC W MCC,"145,273 "
159,DENTAL  ORAL DISEASES W/O CC/MCC,"17,083 "
684,RENAL FAILURE W/O CC/MCC,"18,370 "
030,SPINAL PROCEDURES W/O CC/MCC,"86,061 "
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W/O CC/MCC","30,864 "
306,CARDIAC CONGENITAL  VALVULAR DISORDERS W MCC,"57,294 "
519,BACK  NECK PROC EXC SPINAL FUSION W CC,"73,284 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"23,457 "
268,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,"187,934 "
501,SOFT TISSUE PROCEDURES W CC,"92,375 "
768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL /OR DC,"32,376 "
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"131,940 "
816,RETICULOENDOTHELIAL  IMMUNITY DISORDERS W/O CC/MCC,"14,706 "
304,HYPERTENSION W MCC,"36,516 "
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"47,544 "
385,INFLAMMATORY BOWEL DISEASE W MCC,"57,224 "
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC,"70,871 "
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,"95,567 "
458,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,"152,900 "
187,PLEURAL EFFUSION W CC,"32,774 "
740,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC","83,768 "
456,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,"243,078 "
184,MAJOR CHEST TRAUMA W CC,"27,600 "
669,TRANSURETHRAL PROCEDURES W CC,"50,604 "
921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"22,486 "
674,OTHER KIDNEY  URINARY TRACT PROCEDURES W CC,"80,774 "
615,ADRENAL  PITUITARY PROCEDURES W/O CC/MCC,"83,527 "
216,CARDIAC VALVE  OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,"346,385 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"122,268 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"122,108 "
355,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W/O CC/MCC,"53,896 "
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC","126,562 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"42,689 "
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","105,444 "
060,MULTIPLE SCLEROSIS  CEREBELLAR ATAXIA W/O CC/MCC,"26,485 "
459,SPINAL FUSION EXCEPT CERVICAL W MCC,"199,450 "
545,CONNECTIVE TISSUE DISORDERS W MCC,"113,475 "
563,"FX, SPRN, STRN  DISL EXCEPT FEMUR, HIP, PELVIS  THIGH W/O MCC","29,045 "
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"58,403 "
373,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W/O CC/MCC,"23,221 "
296,"CARDIAC ARREST, UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)","69,372 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"59,808 "
186,PLEURAL EFFUSION W MCC,"67,067 "
354,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC,"70,822 "
131,CRANIAL/FACIAL PROCEDURES W CC/MCC,"109,293 "
755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC","48,157 "
626,"THYROID, PARATHYROID  THYROGLOSSAL PROCEDURES W CC","84,714 "
642,INBORN AND OTHER DISORDERS OF METABOLISM,"58,224 "
028,SPINAL PROCEDURES W MCC,"127,461 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"20,609 "
155,"OTHER EAR, NOSE, MOUTH  THROAT DIAGNOSES W CC","27,730 "
031,VENTRICULAR SHUNT PROCEDURES W MCC,"108,592 "
125,OTHER DISORDERS OF THE EYE W/O MCC,"26,809 "
769,POSTPARTUM  POST ABORTION DIAGNOSES W O.R. PROCEDURE,"64,117 "
827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC,"111,519 "
700,OTHER KIDNEY  URINARY TRACT DIAGNOSES W/O CC/MCC,"29,444 "
922,"OTHER INJURY, POISONING  TOXIC EFFECT DIAG W MCC","70,587 "
069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"25,002 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"30,074 "
