Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"2,633"
558,"TENDONITIS, MYOSITIS  BURSITIS W/O MCC","14,593"
571,SKIN DEBRIDEMENT W CC,"21,330"
74,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,"20,655"
623,"SKIN GRAFTS  WOUND DEBRID FOR ENDOC, NUTRIT  METAB DIS W CC","51,258"
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"85,398"
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"157,032"
565,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W CC,"18,063"
951,OTHER FACTORS INFLUENCING HEALTH STATUS,"3,358"
789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","2,003"
669,TRANSURETHRAL PROCEDURES W CC,"23,375"
644,ENDOCRINE DISORDERS W CC,"18,828"
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","23,689"
536,FRACTURES OF HIP  PELVIS W/O MCC,"11,796"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"51,101"
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"23,532"
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,"17,664"
444,DISORDERS OF THE BILIARY TRACT W MCC,"33,205"
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"105,625"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"19,760"
493,"LOWER EXTREM  HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","46,151"
304,HYPERTENSION W MCC,"17,396"
543,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W CC,"29,034"
494,"LOWER EXTREM  HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","26,162"
948,SIGNS  SYMPTOMS W/O MCC,"12,927"
181,RESPIRATORY NEOPLASMS W CC,"25,103"
813,COAGULATION DISORDERS,"24,172"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","47,697"
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"31,874"
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"23,601"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"12,177"
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"72,008"
580,"OTHER SKIN, SUBCUT TISS  BREAST PROC W CC","20,449"
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"48,035"
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC","31,878"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"97,230"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"13,875"
203,BRONCHITIS  ASTHMA W/O CC/MCC,"12,368"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","21,981"
564,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W MCC,"22,245"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"30,709"
354,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC,"30,378"
303,ATHEROSCLEROSIS W/O MCC,"12,554"
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"25,814"
327,"STOMACH, ESOPHAGEAL  DUODENAL PROC W CC","39,135"
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"88,152"
375,DIGESTIVE MALIGNANCY W CC,"20,094"
380,COMPLICATED PEPTIC ULCER W MCC,"29,215"
464,"WND DEBRID  SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","35,690"
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC,"21,587"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"38,590"
864,FEVER AND INFLAMMATORY CONDITIONS,"14,981"
620,O.R. PROCEDURES FOR OBESITY W CC,"40,519"
535,FRACTURES OF HIP  PELVIS W MCC,"18,321"
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W CC","38,635"
103,HEADACHES W/O MCC,"17,106"
38,EXTRACRANIAL PROCEDURES W CC,"27,959"
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB  TOE W MCC,"54,733"
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","27,030"
149,DYSEQUILIBRIUM,"13,713"
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"33,553"
554,BONE DISEASES  ARTHROPATHIES W/O MCC,"14,996"
328,"STOMACH, ESOPHAGEAL  DUODENAL PROC W/O CC/MCC","30,393"
551,MEDICAL BACK PROBLEMS W MCC,"29,532"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"63,244"
482,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"25,731"
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","44,932"
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"90,036"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"16,705"
326,"STOMACH, ESOPHAGEAL  DUODENAL PROC W MCC","59,265"
