H,ID,Facility                        ,Procedure ,Description                   ,Department     ,Chg Cat ,CPT-4 Eff Date,CPT-4 ,HCPC Eff Date,HCPC   ,Std Chg Eff Date,Std Chg,
D,IX,BEACHWOOD,33124028,"NEEDLE, 20GX1,90 DEG, HUBER,  ",86144071331,270,              ,      ,             ,       ,2/1/2017,22.02,
D,IX,BEACHWOOD,33124029,"NEEDLE, 22GX1,90 DEGREE, HUBE ",86144071331,270,              ,      ,             ,       ,2/1/2017,22.02,
D,IX,BEACHWOOD,33124030,"SET, IV EXTENSION, ULTRASITE, ",86144071331,270,              ,      ,             ,       ,2/1/2017,13.6,
D,IX,BEACHWOOD,33124031,"SET, ADULT SECONDARY, ULTRASIT",86144071331,270,              ,      ,             ,       ,2/1/2017,7.81,
D,IX,BEACHWOOD,33124032,"IV ADMIN SET, VISTA BLOOD SET,",86144071331,270,              ,      ,             ,       ,2/1/2017,48.48,
D,IX,BEACHWOOD,33124033,"CONNECTOR, MICRO, CLAVE, CLEAR",86144071331,270,              ,      ,             ,       ,2/1/2017,8.82,
D,IX,BEACHWOOD,33124034,"TRAY, PROCEDURE, CATHETER, URE",86144071331,270,              ,      ,             ,       ,2/1/2017,20.75,
D,IX,BEACHWOOD,33124035,"TRAY, FOLEY CATH, 16FR, HYDROP",86144071331,270,              ,      ,             ,       ,2/1/2017,59.55,
D,IX,BEACHWOOD,33124036,"TRAY, FOLEY CATH, 18FR, HYDROP",86144071331,270,              ,      ,             ,       ,2/1/2017,59.55,
D,IX,BEACHWOOD,33124038,"TUBE, UNIVERSAL VACUUM CONNECT",86144071331,270,              ,      ,             ,       ,2/1/2017,140.12,
D,IX,BEACHWOOD,33124039,"LINER, SUCTION, LID, 1000 CC  ",86144071331,270,              ,      ,             ,       ,2/1/2017,11.01,
D,IX,BEACHWOOD,33124040,"CANNULA, SOFT, ADULT, W/7FT TU",86144071331,270,              ,      ,             ,       ,2/1/2017,4.92,
D,IX,BEACHWOOD,33124041,"6/CS DISINFECTANT, BLEACH, SPR",86144071331,270,              ,      ,             ,       ,2/1/2017,62.79,
D,IX,BEACHWOOD,33124042,"THERMOMETER,DUAL SCALE DIGITAL",86144071331,270,              ,      ,             ,       ,2/1/2017,15.41,
D,IX,BEACHWOOD,33124043,"WIPE, BLEACH, CLOROX, 6.75X9  ",86144071331,270,              ,      ,             ,       ,2/1/2017,74.75,
D,IX,BEACHWOOD,33124044,"ELECTRODE, PAD, ADULT, RADIOTR",86144071331,270,              ,      ,             ,       ,2/1/2017,182.43,
D,IX,BEACHWOOD,33124045,"BARRIER, OSTOMY, STD, CTF, 10-",86144071331,270,              ,      ,             ,       ,2/1/2017,19.38,
D,IX,BEACHWOOD,33124046,SENSURA FLEX 3IN BARRIER      ,86144071331,270,              ,      ,             ,       ,2/1/2017,23.47,
D,IX,BEACHWOOD,33124047,"TUBE, ENTERAL FEEDING 12FR    ",86144071331,270,              ,      ,             ,       ,2/1/2017,111.16,
D,IX,BEACHWOOD,33124053,"10/CS PRESS, ALT LEG, CALF, SU",86144071331,270,              ,      ,             ,       ,2/1/2017,143.28,
D,IX,BEACHWOOD,33124058,"BAG, DRAINAGE, UROLOGY, 2000ML",86144071331,270,              ,      ,             ,       ,2/1/2017,4.77,
D,IX,BEACHWOOD,33124060,"CATHETER, URETHRAL, VINYL, FEM",86144071331,270,              ,      ,             ,       ,2/1/2017,2.55,
D,IX,BEACHWOOD,33124061,"CATHETER, URETH, VINYL, UNIVER",86144071331,270,              ,      ,             ,       ,2/1/2017,2.55,
D,IX,BEACHWOOD,33124063,"BAG, LEG, COMFORT-STRAPS, LARG",86144071331,270,              ,      ,             ,       ,2/1/2017,7.64,
D,IX,BEACHWOOD,33124064,"CATHETER, URETHRAL, REDRUBBER,",86144071331,270,              ,      ,             ,       ,2/1/2017,2.74,
D,IX,BEACHWOOD,33124065,"TUBE, ENDOTRACH, HVLP CUFF, MU",86144071331,270,              ,      ,             ,       ,2/1/2017,3.46,
D,IX,BEACHWOOD,33124066,"TUBE, ENDOTRACH, HVLP CUFF, MU",86144071331,270,              ,      ,             ,       ,2/1/2017,3.46,
D,IX,BEACHWOOD,33124067,"TUBE, ENDOTRACH, HVLP CUFF, MU",86144071331,270,              ,      ,             ,       ,2/1/2017,3.46,
D,IX,BEACHWOOD,33124069,"TUBE, GASTRIC SUMP, 16FR, 48, ",86144071331,270,              ,      ,             ,       ,2/1/2017,6.84,
D,IX,BEACHWOOD,33124071,"TRAY, DRESSING, CENT LN, CHG, ",86144071331,270,              ,      ,             ,       ,2/1/2017,9.68,
D,IX,BEACHWOOD,33124072,"CONTAINER, SPECIMEN, URINE, 24",86144071331,270,              ,      ,             ,       ,2/1/2017,3.03,
D,IX,BEACHWOOD,33124078,"PACK, HEAVY DRAINAGE, STERILE ",86144071331,270,              ,      ,             ,       ,2/1/2017,3.24,
D,IX,BEACHWOOD,33124080,STOPCOCK 3-WAY MED OFF        ,86144071331,270,              ,      ,             ,       ,2/1/2017,4.73,
D,IX,BEACHWOOD,33124081,"UNDERPAD, DRYPAD, EXTRASORBS, ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.19,
D,IX,BEACHWOOD,33124086,PAPER CHRT DEFIB ZLL 8000-0300,86144071331,270,              ,      ,             ,       ,2/1/2017,6.67,
D,IX,BEACHWOOD,33124090,"BARRIER, NI CVX FT, 2.25FL, 2 ",86144071331,270,              ,      ,             ,       ,2/1/2017,41.27,
D,IX,BEACHWOOD,33124091,"POUCH, NI CLOSED 2 1/4FLANGE  ",86144071331,270,              ,      ,             ,       ,2/1/2017,7.45,
D,IX,BEACHWOOD,33124092,"POUCH, NI CLOSED 2 3/4FLANGE  ",86144071331,270,              ,      ,             ,       ,2/1/2017,7.45,
D,IX,BEACHWOOD,33124093,POUCH NI UROSTOMY 2PC 2.25    ,86144071331,270,              ,      ,             ,       ,2/1/2017,15.3,
D,IX,BEACHWOOD,33124094,"BELT, OSTOMY, MEDIUM, 23-43   ",86144071331,270,              ,      ,             ,       ,2/1/2017,35.28,
D,IX,BEACHWOOD,33124095,"CATHETER, VAPRO PLUS, HYDR INT",86144071331,270,              ,      ,             ,       ,2/1/2017,24.51,
D,IX,BEACHWOOD,33124096,CONE / TUBE IRRIG KIT         ,86144071331,270,              ,      ,             ,       ,2/1/2017,149.04,
D,IX,BEACHWOOD,33124097,"BARRIER, FLAT, PRESIZED, 2(48 ",86144071331,270,              ,      ,             ,       ,2/1/2017,21.7,
D,IX,BEACHWOOD,33124099,"POWDER, ADAPT STOMA 1 OZ BOTTL",86144071331,270,              ,      ,             ,       ,2/1/2017,33.03,
D,IX,BEACHWOOD,33124101,"WIPE, SKIN, GEL, PROTECTIVE DR",86144071331,270,              ,      ,             ,       ,2/1/2017,50.19,
D,IX,BEACHWOOD,33124102,ADAPT CONVEX BARRIER RINGS 1 3,86144071331,270,              ,      ,             ,       ,2/1/2017,21.77,
D,IX,BEACHWOOD,33124103,"POUCH, 9,1PC, CTF 2-.5(64MM)  ",86144071331,270,              ,      ,             ,       ,2/1/2017,30.51,
D,IX,BEACHWOOD,33124104,"POUCH, DRNBL, FT BARRIER CTF 2",86144071331,270,              ,      ,             ,       ,2/1/2017,20.83,
D,IX,BEACHWOOD,33124105,"CATHETER, ADV PLUS POCKT, INTE",86144071331,270,              ,      ,             ,       ,2/1/2017,20.13,
D,IX,BEACHWOOD,33124106,"VALVE, LOPEZ, FOR NG, GASTRO A",86144071331,270,              ,      ,             ,       ,2/1/2017,17.28,
D,IX,BEACHWOOD,33124108,"DRESSING, NON-ADHERANT, 3X 3  ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.68,
D,IX,BEACHWOOD,33124109,"DRESSING, NON-ADHERANT, 3X8,  ",86144071331,270,              ,      ,             ,       ,2/1/2017,6.42,
D,IX,BEACHWOOD,33124111,"EA SHIELD, FACE, VISOR ONLY, F",86144071331,270,              ,      ,             ,       ,2/1/2017,11.34,
D,IX,BEACHWOOD,33124114,"KIT, ORAL CARE, SWAB PACK, SUC",86144071331,270,              ,      ,             ,       ,2/1/2017,12.39,
D,IX,BEACHWOOD,33124116,"BUCKET, ENEMA                 ",86144071331,270,              ,      ,             ,       ,2/1/2017,9.2,
D,IX,BEACHWOOD,33124117,"CONTAINER, SPECIMEN, STERILE 5",86144071331,270,              ,      ,             ,       ,2/1/2017,2.31,
D,IX,BEACHWOOD,33124120,"KIT, SUTURE REMOVAL, LIT SCISS",86144071331,270,              ,      ,             ,       ,2/1/2017,3.77,
D,IX,BEACHWOOD,33124121,"STOCKING, ANTI-EMB, TED MED RE",86144071331,270,              ,      ,             ,       ,2/1/2017,30.23,
D,IX,BEACHWOOD,33124122,"STOCKING, ANTI-EMB, TED LG REG",86144071331,270,              ,      ,             ,       ,2/1/2017,30.23,
D,IX,BEACHWOOD,33124123,"STOCKING, ANTI-EMBOLISM, TED, ",86144071331,270,              ,      ,             ,       ,2/1/2017,30.23,
D,IX,BEACHWOOD,33124124,"CONTAINER, SHARPS, 5 QT, IN RO",86144071331,270,              ,      ,             ,       ,2/1/2017,25.78,
D,IX,BEACHWOOD,33124126,"NET, RETAINER, LF, TUBULAR, EL",86144071331,270,              ,      ,             ,       ,2/1/2017,30.27,
D,IX,BEACHWOOD,33124127,"NET, RETAINER, LF, TUBULAR, EL",86144071331,270,              ,      ,             ,       ,2/1/2017,32.58,
D,IX,BEACHWOOD,33124128,RETAINER NET LF TUBULAR ELASTI,86144071331,270,              ,      ,             ,       ,2/1/2017,40.59,
D,IX,BEACHWOOD,33124129,RETAINER NET LF TUBULAR ELASTI,86144071331,270,              ,      ,             ,       ,2/1/2017,50.76,
D,IX,BEACHWOOD,33124130,RETAINER NET LF TUBULAR ELASTI,86144071331,270,              ,      ,             ,       ,2/1/2017,68.19,
D,IX,BEACHWOOD,33124131,"TUBE HOLDER, CATHETER-SECURE S",86144071331,270,              ,      ,             ,       ,2/1/2017,8.47,
D,IX,BEACHWOOD,33124132,"PADDING, UNDERCAST, WYTEX, 2X ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.1,
D,IX,BEACHWOOD,33124133,"PADDING, UNDERCAST, WYTEX, 2X ",86144071331,270,              ,      ,             ,       ,2/1/2017,3.32,
D,IX,BEACHWOOD,33124136,"BANDAGE, ELASTIC, MATRIX, 6X5 ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.27,
D,IX,BEACHWOOD,33124139,"GEL, ULTRASOUND, 8.5 OZ, SQUEE",86144071331,270,              ,      ,             ,       ,2/1/2017,4.02,
D,IX,BEACHWOOD,33124143,"STOCKING, ANTI-EMBOLISM, T-L, ",86144071331,270,              ,      ,             ,       ,2/1/2017,24.43,
D,IX,BEACHWOOD,33124144,"STOCKING, ANTI-EMBOLISM, T-L, ",86144071331,270,              ,      ,             ,       ,2/1/2017,24.43,
D,IX,BEACHWOOD,33124145,"STOCKING, ANTI-EMBOLISM, T-L, ",86144071331,270,              ,      ,             ,       ,2/1/2017,24.43,
D,IX,BEACHWOOD,33124146,"STOCKING, ANTI-EMBOLISM, T-L, ",86144071331,270,              ,      ,             ,       ,2/1/2017,24.43,
D,IX,BEACHWOOD,33124147,"STOCKING, ANTI-EMBOLISM, T-L, ",86144071331,270,              ,      ,             ,       ,2/1/2017,24.43,
D,IX,BEACHWOOD,33124155,"CUFF, BP, VINYL, DISP, 2 TB, S",86144071331,270,              ,      ,             ,       ,2/1/2017,13.66,
D,IX,BEACHWOOD,33124156,"CUFF, BP, DISP, 2 TUBE, LG ADL",86144071331,270,              ,      ,             ,       ,2/1/2017,13.01,
D,IX,BEACHWOOD,33124157,"SLIPPER, BARIATRIC, DOUBLE TRE",86144071331,270,              ,      ,             ,       ,2/1/2017,8.91,
D,IX,BEACHWOOD,33124159,"PROTECTOR, MITT, FINGER, CLOSE",86144071331,270,              ,      ,             ,       ,2/1/2017,81.15,
D,IX,BEACHWOOD,33124160,"PROTECTOR, HEEL, ELBOW, OSFM  ",86144071331,270,              ,      ,             ,       ,2/1/2017,24.53,
D,IX,BEACHWOOD,33124163,"BELT, TRANSFER, COTTON, W/BUCK",86144071331,270,              ,      ,             ,       ,2/1/2017,17.45,
D,IX,BEACHWOOD,33124165,"CANNULA, INNER, SIZE 6, FEN, D",86144071331,270,              ,      ,             ,       ,2/1/2017,28.46,
D,IX,BEACHWOOD,33124166,"TAPE, SURGICAL, TRANSPORE, 1X ",86144071331,270,              ,      ,             ,       ,2/1/2017,6.43,
D,IX,BEACHWOOD,33124167,"TAPE, PAPER, SURGICAL, MICROPO",86144071331,270,              ,      ,             ,       ,2/1/2017,3.4,
D,IX,BEACHWOOD,33124168,"TAPE, PAPER, SURGICAL, MICROPO",86144071331,270,              ,      ,             ,       ,2/1/2017,6.8,
D,IX,BEACHWOOD,33124169,"DRESSING, TEGADERM, TRNS, FILM",86144071331,270,              ,      ,             ,       ,2/1/2017,2.24,
D,IX,BEACHWOOD,33124170,"DRESSING, TEGADERM, TRNS, FILM",86144071331,270,              ,      ,             ,       ,2/1/2017,7.08,
D,IX,BEACHWOOD,33124171,"MASK, RESPIRATOR, N95, NIOSH A",86144071331,270,              ,      ,             ,       ,2/1/2017,4.8,
D,IX,BEACHWOOD,33124172,"MASK, RESPIRATOR, N95, NIOSH A",86144071331,270,              ,      ,             ,       ,2/1/2017,4.8,
D,IX,BEACHWOOD,33124173,"MASK, AURA, SURGICAL, PARTICUL",86144071331,270,              ,      ,             ,       ,2/1/2017,6.12,
D,IX,BEACHWOOD,33124174,"DEVICE, PICC / CVC, TEGADERM, ",86144071331,270,              ,      ,             ,       ,2/1/2017,71.22,
D,IX,BEACHWOOD,33124175,"TAPE, CLOTH, SURGICAL, MEDIPOR",86144071331,270,              ,      ,             ,       ,2/1/2017,84.36,
D,IX,BEACHWOOD,33124177,"FIT TEST, QUALITATIVE, APPARAT",86144071331,270,              ,      ,             ,       ,2/1/2017,1126.29,
D,IX,BEACHWOOD,33124178,"STAPLER, SKIN, PRECISE PGX, DI",86144071331,270,              ,      ,             ,       ,2/1/2017,84.47,
D,IX,BEACHWOOD,33124179,"CLEANSER, BODY, FOAM, REMEDY O",86144071331,270,              ,      ,             ,       ,2/1/2017,12.32,
D,IX,BEACHWOOD,33124184,"READYBATH, SHAMPOO, CAP, FRAG ",86144071331,270,              ,      ,             ,       ,2/1/2017,7.38,
D,IX,BEACHWOOD,33124185,"LOTION, SOOTHE & COOL, GALLON ",86144071331,270,              ,      ,             ,       ,2/1/2017,34.38,
D,IX,BEACHWOOD,33124188,"WIPE, READYFLUSH, SCENTED, 24/",86144071331,270,              ,      ,             ,       ,2/1/2017,4.76,
D,IX,BEACHWOOD,33124189,"UNDERWEAR, PROTECTIVE, SUPER, ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.55,
D,IX,BEACHWOOD,33124190,"GLOVE, SURG, SIGNATURE GLIDE, ",86144071331,270,              ,      ,             ,       ,2/1/2017,2.64,
D,IX,BEACHWOOD,33124192,"OVERLAY, CONVOLUTE, STDFOAM, 2",86144071331,270,              ,      ,             ,       ,2/1/2017,27.83,
D,IX,BEACHWOOD,33124193,"OVERLAY, CONVOLUTE, STDFOAM, 3",86144071331,270,              ,      ,             ,       ,2/1/2017,39.43,
D,IX,BEACHWOOD,33124197,"PAPER, TISSUE, FACIAL PREM 100",86144071331,270,              ,      ,             ,       ,2/1/2017,2.24,
D,IX,BEACHWOOD,33124198,"POUCH, TELEMETRY, MULTI-LAYER,",86144071331,270,              ,      ,             ,       ,2/1/2017,2.54,
D,IX,BEACHWOOD,33124201,"GAUZE, PACKING STRIP, PLAIN, 1",86144071331,270,              ,      ,             ,       ,2/1/2017,4.6,
D,IX,BEACHWOOD,33124203,"GAUZE, PACKING STRIP, IODOFORM",86144071331,270,              ,      ,             ,       ,2/1/2017,4.88,
D,IX,BEACHWOOD,33124205,"TAPE, ELASTIC, FOAM, CURAD, 3 ",86144071331,270,              ,      ,             ,       ,2/1/2017,16.19,
D,IX,BEACHWOOD,33124208,"BAG, ICE, CLAMP-CLOSE, 4TIES, ",86144071331,270,              ,      ,             ,       ,2/1/2017,4.6,
D,IX,BEACHWOOD,33124210,"ELASTIC NET, SZ 10, STRETCH, 4",86144071331,270,              ,      ,             ,       ,2/1/2017,76.62,
D,IX,BEACHWOOD,33124211,NDL SFTY NOVOFINE AUTOCOVER 30,86144071331,270,              ,      ,             ,       ,2/1/2017,4.06,
D,IX,BEACHWOOD,33124215,"ADAPTER, MEDIMOP, VIAL, MALE, ",86144071331,270,              ,      ,             ,       ,2/1/2017,4.06,
D,IX,BEACHWOOD,33124216,"SET, SPIKE, MEDIMOP VIAL 2 BAG",86144071331,270,              ,      ,             ,       ,2/1/2017,16.64,
D,IX,BEACHWOOD,33124217,"PAN, SPECIMEN, DELUXE         ",86144071331,270,              ,      ,             ,       ,10/1/2017,0.15,
D,IX,BEACHWOOD,33124218,"BEDPAN COMMODE STACK, ROSE 300",86144071331,270,              ,      ,             ,       ,2/1/2017,5.76,
D,IX,BEACHWOOD,33124219,"URINAL, FEMALE, COMBO         ",86144071331,270,              ,      ,             ,       ,2/1/2017,13.8,
D,IX,BEACHWOOD,33124228,"SOLUTION, FIT TEST            ",86144071331,270,              ,      ,             ,       ,2/1/2017,83.79,
D,IX,BEACHWOOD,33124229,"CATHETER, EXTERNAL, MALE, WIDE",86144071331,270,              ,      ,             ,       ,2/1/2017,10.95,
D,IX,BEACHWOOD,33124230,"DRESSING, ISLAND SILVERLON 4X ",86144071331,270,              ,      ,             ,       ,2/1/2017,225.82,
D,IX,BEACHWOOD,33124231,"TUBE, ENDOTRACH, CUFFED, 7.0MM",86144071331,270,              ,      ,             ,       ,2/1/2017,19.52,
D,IX,BEACHWOOD,33124232,"WATER, DISTILLED, GLACIER, 128",86144071331,270,              ,      ,             ,       ,2/1/2017,8.49,
D,IX,BEACHWOOD,33124233,"DRESSING, MEPILEX, BORDER, SAC",86144071331,270,              ,      ,             ,       ,2/1/2017,53.41,
D,IX,BEACHWOOD,33124234,"DRESSING, MEPILEX, BORDER, SAC",86144071331,270,              ,      ,             ,       ,2/1/2017,83.81,
D,IX,BEACHWOOD,33124235,"DRESSING, FOAM, SOFT, BORDER, ",86144071331,270,              ,      ,             ,       ,2/1/2017,18.11,
D,IX,BEACHWOOD,33124236,"PAD, COLD, THERAPY, XL, EH, 9.",86144071331,270,              ,      ,             ,       ,2/1/2017,227.16,
D,IX,BEACHWOOD,33124237,"PASTE, STOMAHESIVE, SKIN BARRI",86144071331,270,              ,      ,             ,       ,2/1/2017,45.81,
D,IX,BEACHWOOD,33124238,"POUCH, OSTOMY, DRNBL, 12 PANE ",86144071331,270,              ,      ,             ,       ,2/1/2017,13.03,
D,IX,BEACHWOOD,33124239,"POUCH, UROSTOMY, W/ACCUSEAL, 2",86144071331,270,              ,      ,             ,       ,2/1/2017,18.87,
D,IX,BEACHWOOD,33124240,"BAG, COLLECTION, FLEXI-SEAL, F",86144071331,270,              ,      ,             ,       ,2/1/2017,39.48,
D,IX,BEACHWOOD,33124241,FLNG 5X5 23/4 DURAHESIVE      ,86144071331,270,              ,      ,             ,       ,2/1/2017,39.94,
D,IX,BEACHWOOD,33124242,"10/BX WAFER, 4X4 TAN NATURA   ",86144071331,270,              ,      ,             ,       ,2/1/2017,32.29,
D,IX,BEACHWOOD,33124243,"DRESSING, AQUACEL, XTRA HYDROF",86144071331,270,              ,      ,             ,       ,2/1/2017,24.87,
D,IX,BEACHWOOD,33124244,"SEAL, COHESIVE, EAKIN, BARRIER",86144071331,270,              ,      ,             ,       ,2/1/2017,23.53,
D,IX,BEACHWOOD,33124245,"PAD, THERAPY, MUL-T-PAD, 15X22",86144071331,270,              ,      ,             ,       ,2/1/2017,64.53,
D,IX,BEACHWOOD,33124248,"VALVE, ANTI-REFLUX, SUMP, SALE",86144071331,270,              ,      ,             ,       ,2/1/2017,37.72,
D,IX,BEACHWOOD,33124249,"TUBING, SUCTION, 5MMX1.8M     ",86144071331,270,              ,      ,             ,       ,2/1/2017,3.75,
D,IX,BEACHWOOD,33124251,"YANKAUER, ARGYLE, NO VENT, BUL",86144071331,270,              ,      ,             ,       ,2/1/2017,4.29,
D,IX,BEACHWOOD,33124252,"STOCKING, TED, KNEE LNGTH, XXL",86144071331,270,              ,      ,             ,       ,2/1/2017,62.38,
D,IX,BEACHWOOD,33124258,"WIPE, PROTECTANT, SKIN, NO-STI",86144071331,270,              ,      ,             ,       ,2/1/2017,2.5,
D,IX,BEACHWOOD,33124260,"STETHOSCOPE, UNISCOPE, YELLOW,",86144071331,270,              ,      ,             ,       ,2/1/2017,26.34,
D,IX,BEACHWOOD,33124261,"NG TUBE, FEED, KANGAROO, POL, ",86144071331,270,              ,      ,             ,       ,2/1/2017,79.33,
D,IX,BEACHWOOD,33124262,"ELECTRODE, CPR-D PADZ, ADULT  ",86144071331,270,              ,      ,             ,       ,2/1/2017,841.2,
D,IX,BEACHWOOD,33124263,"ELECTRODE, ONESTEP, COMPLETE, ",86144071331,270,              ,      ,             ,       ,2/1/2017,507.03,
D,IX,BEACHWOOD,33124354,"BANDS, CAN-DO, 50YDS YELLOW, L",86144071331,270,              ,      ,             ,       ,2/1/2017,442.29,
D,IX,BEACHWOOD,33124355,"BAND, CAN DO II, 50YDS, GREEN ",86144071331,270,              ,      ,             ,       ,2/1/2017,505.53,
D,IX,BEACHWOOD,33124356,"DRESSING, HONEY, THERAHONEY, 1",86144071331,270,              ,      ,             ,       ,2/1/2017,48.99,
D,IX,BEACHWOOD,33124357,"GEL, HYPERGEL, WOUND DRESSING,",86144071331,270,              ,      ,             ,       ,2/1/2017,26.16,
D,IX,BEACHWOOD,33124358,"HYDROGEL, SKINTEGRITY, 1 OZ, B",86144071331,270,              ,      ,             ,       ,2/1/2017,3.57,
D,IX,BEACHWOOD,33124359,"GEL, SILVER, ANTIMICROB, SILVA",86144071331,270,              ,      ,             ,       ,2/1/2017,60.06,
D,IX,BEACHWOOD,33124360,"TEXTILE, INTERDRY AG, SLVR, 10",86144071331,270,              ,      ,             ,       ,2/1/2017,396.9,
D,IX,BEACHWOOD,33124361,"OINTMENT, PROTECTANT, DERMAGRA",86144071331,270,              ,      ,             ,       ,2/1/2017,105.91,
D,IX,BEACHWOOD,33124362,"STOCKINETTE, UNBLEACHED, 2X 25",86144071331,270,              ,      ,             ,       ,2/1/2017,17.91,
D,IX,BEACHWOOD,33124363,"TAPE, DRESSING, MEPITAC, 3/4X1",86144071331,270,              ,      ,             ,       ,2/1/2017,74.34,
D,IX,BEACHWOOD,33124364,"CATHETER, FOLEY, COUDE, LATEX,",86144071331,270,              ,      ,             ,       ,2/1/2017,14.8,
D,IX,BEACHWOOD,33124365,"HOSE, BP, 5FT, F / LXI MONITOR",86144071331,270,              ,      ,             ,       ,2/1/2017,183.72,
D,IX,BEACHWOOD,33124366,"NG TUBE, FEED, DOBBHOFF, POL, ",86144071331,270,              ,      ,             ,       ,2/1/2017,64.81,
D,IX,BEACHWOOD,33124367,"BUFFING PAD, RED, LOW SPEED, 1",86144071331,270,              ,      ,             ,       ,2/1/2017,11.24,
D,IX,BEACHWOOD,33124369,"CLEANER, PLEDGE, MULTI-SURFACE",86144071331,270,              ,      ,             ,       ,2/1/2017,20.74,
D,IX,BEACHWOOD,33124370,"DUSTER, HIGH, MICROFIBER, WITH",86144071331,270,              ,      ,             ,       ,2/1/2017,48.72,
D,IX,BEACHWOOD,33124379,"TAPE, PAPER, MICROPORE, 1X10YD",86144071331,270,              ,      ,             ,       ,2/1/2017,4.17,
D,IX,BEACHWOOD,33124383,"PROTECTOR, HEEL, CONV FOAM, 12",86144071331,270,              ,      ,             ,       ,2/1/2017,10.65,
D,IX,BEACHWOOD,33124388,"TRAY, FOLEY, CATH, SIL-ELAST  ",86144071331,270,              ,      ,             ,       ,2/1/2017,21.87,
