H,ID,Facility                        ,Procedure ,Description                   ,Department     ,Chg Cat ,CPT-4 Eff Date,CPT-4 ,HCPC Eff Date,HCPC   ,Std Chg Eff Date,Std Chg
D,IU,AVON,33125020,SPONGE GAUZE STERILE 4X4 8PLY ,86424088331,270,              ,      ,             ,       ,1/1/2018,0.15
D,IU,AVON,33125021,XEROFORM OCC PETRO GAUZE PATCH,86424088331,270,              ,      ,             ,       ,2/1/2017,3.2
D,IU,AVON,33125022,"MEDC BANDAGE ELASTIC 6""       ",86424088331,270,              ,      ,             ,       ,3/1/2017,3.85
D,IU,AVON,33125023,TEST STRIP SURE STEP PRO      ,86424088331,270,              ,      ,             ,       ,2/1/2017,88.6
D,IU,AVON,33125024,CALMOSEPTINE OINTMENT 4OZ TUBE,86424088331,270,              ,      ,             ,       ,1/1/2018,11.13
D,IU,AVON,33125025,STETHOSCOPE NURSE BLUE        ,86424088331,270,              ,      ,             ,       ,2/1/2017,14.65
D,IU,AVON,33125026,MEASURING GRADUATE            ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.75
D,IU,AVON,33125027,ENTERAL BAG TWIST CAP VNYL 100,86424088331,270,              ,      ,             ,       ,1/1/2018,10.08
D,IU,AVON,33125028,STOCKING TED KNEE XL REG      ,86424088331,270,              ,      ,             ,       ,2/1/2017,17.85
D,IU,AVON,33125029,STOCKING TED KNEE LG REG      ,86424088331,270,              ,      ,             ,       ,1/1/2018,31.68
D,IU,AVON,33125030,STOCKING TED KNEE MEDIUM      ,86424088331,270,              ,      ,             ,       ,1/1/2018,31.68
D,IU,AVON,33125031,BED SENSOR PAD                ,86424088331,270,              ,      ,             ,       ,1/1/2018,443.7
D,IU,AVON,33125032,SYRINGE LUER LOCK TIP 60ML    ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.5
D,IU,AVON,33125033,LANCET SURGICAL LANCE SFTY GRA,86424088331,270,              ,      ,             ,       ,2/1/2017,0.35
D,IU,AVON,33125034,TRAY IRRIGATION PISTON SYRINGE,86424088331,270,              ,      ,             ,       ,2/1/2017,3.55
D,IU,AVON,33125035,KIT STAPLE REMOVAL            ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.95
D,IU,AVON,33125036,KIT SUTURE REMOVAL            ,86424088331,270,              ,      ,             ,       ,2/1/2017,3.35
D,IU,AVON,33125037,KIT IV START STANDARD W/CHLORA,86424088331,270,              ,      ,             ,       ,2/1/2017,3.1
D,IU,AVON,33125038,TRACH TRAY COVIDIEN           ,86424088331,270,              ,      ,             ,       ,2/1/2017,8.95
D,IU,AVON,33125039,GOWN ISOLATION YELLOW PACK    ,86424088331,270,              ,      ,             ,       ,2/1/2017,19.8
D,IU,AVON,33125040,BEDPAN FRACTURE FML URN ROSE  ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.95
D,IU,AVON,33125041,PITCHER WITH FLAP 28OZ        ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.9
D,IU,AVON,33125042,BASIN EMESIS 9 INCH DUSTY ROSE,86424088331,270,              ,      ,             ,       ,2/1/2017,0.2
D,IU,AVON,33125043,STERILE SUBGILUBE 5GR         ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.55
D,IU,AVON,33125044,BETADINE SWABSTICK 200/BX     ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.55
D,IU,AVON,33125045,CLEANSING ENEMA BAG           ,86424088331,270,              ,      ,             ,       ,2/1/2017,3
D,IU,AVON,33125046,PROTECTIVE UNDERWEAR SM/MED PA,86424088331,270,              ,      ,             ,       ,1/1/2018,15.3
D,IU,AVON,33125047,PROTECTIVE UNDERWEAR LG PACK  ,86424088331,270,              ,      ,             ,       ,1/1/2018,15.3
D,IU,AVON,33125048,PROTECTIVE UNDERWEAR XL PACK  ,86424088331,270,              ,      ,             ,       ,1/1/2018,16.98
D,IU,AVON,33125049,PACK HOT INSTANT 7X9          ,86424088331,270,              ,      ,             ,       ,1/1/2018,4.2
D,IU,AVON,33125050,BAG ICE SMALL                 ,86424088331,270,              ,      ,             ,       ,1/1/2018,3.06
D,IU,AVON,33125051,BATH IN A BAG                 ,86424088331,270,              ,      ,             ,       ,1/1/2018,3
D,IU,AVON,33125052,BEDPAN CONVENTIONAL MEDIGEN   ,86424088331,270,              ,      ,             ,       ,2/1/2017,7.8
D,IU,AVON,33125053,GLOVE ESTEEM STRETCHY SYNTHTIC,86424088331,270,              ,      ,             ,       ,2/1/2017,0.1
D,IU,AVON,33125054,GLOVE ESTEEM STRETCH STNTHTIC ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.1
D,IU,AVON,33125055,CHLORAPREP 1-STEP 1.5 ML APPLI,86424088331,270,              ,      ,             ,       ,2/1/2017,2.3
D,IU,AVON,33125056,PERI CARE WIPES               ,86424088331,270,              ,      ,             ,       ,1/1/2018,2.4
D,IU,AVON,33125057,SODIUM CHLORIDE 0.9% 1000ML BA,86424088331,270,              ,      ,             ,       ,2/1/2017,5.95
D,IU,AVON,33125058,CANNULA NASAL CVD FLARED ADLT ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.2
D,IU,AVON,33125059,YANKAUER BULB TIP W/O VENT    ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.35
D,IU,AVON,33125060,NEBULIZER MISTY MAX 10 DISP 7F,86424088331,270,              ,      ,             ,       ,1/1/2018,2.07
D,IU,AVON,33125061,KIT SUCTION CATHETER 14FR     ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.2
D,IU,AVON,33125062,KIT SUCTION CATHETER 12FR     ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.2
D,IU,AVON,33125063,SOLUTION IHALATION SOD CHLR 45,86424088331,270,              ,      ,             ,       ,2/1/2017,5.2
D,IU,AVON,33125064,SPIROMETER INCENTIV 4000ML W/1,86424088331,270,              ,      ,             ,       ,2/1/2017,8.3
D,IU,AVON,33125065,BAG LEG 19OZ W/FLIP ELASTIC BO,86424088331,270,              ,      ,             ,       ,2/1/2017,2.55
D,IU,AVON,33125066,FOLEY 2WAY CATH STABILIZATION ,86424088331,270,              ,      ,             ,       ,1/1/2018,11.25
D,IU,AVON,33125067,DRAIN BAG URINARY COVER       ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.2
D,IU,AVON,33125068,URINARY DRAINAGE BAG BARD     ,86424088331,270,              ,      ,             ,       ,2/1/2017,22.23
D,IU,AVON,33125069,DRESSING DUODERM HYDRO 4X4 SQ ,86424088331,270,              ,      ,             ,       ,2/1/2017,13.25
D,IU,AVON,33125070,DUODERM HYDROACTIVE GEL 30GM  ,86424088331,270,              ,      ,             ,       ,2/1/2017,1929.2
D,IU,AVON,33125071,DRESSING TEGADERM 6X8         ,86424088331,270,              ,      ,             ,       ,1/1/2018,3.84
D,IU,AVON,33125072,DRESSING MEDIPLEX WOUND FOAM 3,86424088331,270,              ,      ,             ,       ,1/1/2018,10.38
D,IU,AVON,33125073,DRESSING TEGADREM TRANSPARENT ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.45
D,IU,AVON,33125074,AQUACEL AG EXTRA HYDROFIBER DR,86424088331,270,              ,      ,             ,       ,1/1/2018,54.57
D,IU,AVON,33125075,DRESSING MEDIPLEX BORDER 6X6  ,86424088331,270,              ,      ,             ,       ,1/1/2018,22.53
D,IU,AVON,33125076,ISLAND DRESSING 5X9 COVIDIEN  ,86424088331,270,              ,      ,             ,       ,1/1/2018,2.22
D,IU,AVON,33125077,WIPE SANI-CLOTH XL 8X14 DISPOS,86424088331,270,              ,      ,             ,       ,2/1/2017,17.6
D,IU,AVON,33125078,BRIEFS WINGS CH PLUS QUILT MED,86424088331,270,              ,      ,             ,       ,1/1/2018,17.79
D,IU,AVON,33125079,BRIEFS WINGS CH PLUS QUILT LG ,86424088331,270,              ,      ,             ,       ,1/1/2018,8.88
D,IU,AVON,33125080,BRIEFS WINGS CH PLUS QUILT XL ,86424088331,270,              ,      ,             ,       ,1/1/2018,15.3
D,IU,AVON,33125081,ABD PAD 5X9 COVIDIEN          ,86424088331,270,              ,      ,             ,       ,1/1/2018,0.36
D,IU,AVON,33125082,WASH BASIN                    ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.25
D,IU,AVON,33125083,MOUTH RINSE                   ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.95
D,IU,AVON,33125084,TOOTHBRUSH                    ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.15
D,IU,AVON,33125085,CREST TOOTHPASTE              ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.1
D,IU,AVON,33125086,SHAMPOO/CONDITIONER PACKET    ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.3
D,IU,AVON,33125087,COMB                          ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.3
D,IU,AVON,33125088,HAND & BODY LOTION            ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.85
D,IU,AVON,33125089,WATER PITCHER W/ LID          ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.9
D,IU,AVON,33125090,DEODORANT ROLL-ON             ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.95
D,IU,AVON,33125091,SLIPPERS                      ,86424088331,270,              ,      ,             ,       ,1/1/2018,2.1
D,IU,AVON,33125092,SHAMPOO CAP                   ,86424088331,270,              ,      ,             ,       ,1/1/2018,6.57
D,IU,AVON,33125104,TENDERSORB ABD PAD 8X10 STERIL,86424088331,270,              ,      ,             ,       ,1/1/2017,1.05
D,IU,AVON,33125105,"ELASTIC BANDAGE 4""            ",86424088331,270,              ,      ,             ,       ,3/1/2017,2.9
D,IU,AVON,33125109,SPECULA OTOSCOPE DISP 4.25MM  ,86424088331,270,              ,      ,             ,       ,2/1/2017,0.1
D,IU,AVON,33125141,IRRIGATION TRAY COVIDIEN      ,86424088331,270,              ,      ,             ,       ,3/1/2017,3.4
D,IU,AVON,33125150,FLEET ENEMA ADULT 4.5OZ       ,86424088331,270,              ,      ,             ,       ,5/1/2017,3.5
D,IU,AVON,33125177,TUBING VINYL OXYGEN 25FT      ,86424088331,270,              ,      ,             ,       ,4/1/2017,3.5
D,IU,AVON,33125181,MASK ADULT 2% W/7FT TUBING    ,86424088331,270,              ,      ,             ,       ,2/1/2017,3.65
D,IU,AVON,33125217,DRESSING ADAPTIC NON ADHERING ,86424088331,270,              ,      ,             ,       ,6/1/2017,2.04
D,IU,AVON,33125233,VISION BIPAP MACHINE DAILY REN,86424088331,270,              ,      ,             ,       ,2/1/2017,449.4
D,IU,AVON,33125236,RENASYS WOUND VAC GO PUMP DAIL,86424088331,270,              ,      ,             ,       ,2/1/2017,936
D,IU,AVON,33125238,BARIATRIC BED (1000LBS) DAILY ,86424088331,270,              ,      ,             ,       ,2/1/2017,1965.6
D,IU,AVON,33125239,STAGE IV 3000 LAL MATTRESS    ,86424088331,270,              ,      ,             ,       ,2/1/2017,1950
D,IU,AVON,33125241,DOLPHIN MATTRESS FOAM (500LB L,86424088331,270,              ,      ,             ,       ,2/1/2017,1098.35
D,IU,AVON,33125242,AIR 2 LAL PULSATE MATTRESS    ,86424088331,270,              ,      ,             ,       ,2/1/2017,374.4
D,IU,AVON,33125243,BLOOD ADMINISTRATION SET      ,86424088331,270,              ,      ,             ,       ,2/1/2017,8
D,IU,AVON,33125244,SET EXTENSION/HEPLOCK         ,86424088331,270,              ,      ,             ,       ,2/1/2017,2
D,IU,AVON,33125245,SYRINGE KIT STELLANT INJ      ,86424088331,270,              ,      ,             ,       ,2/1/2017,42
D,IU,AVON,33125246,TRANSFER SET FOR DUAL INJ     ,86424088331,270,              ,      ,             ,       ,2/1/2017,16
D,IU,AVON,33125247,ADAPTER CUFF 22MM             ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.6
D,IU,AVON,33125248,BACTERIAL/VIRAL FILTER        ,86424088331,270,              ,      ,             ,       ,2/1/2017,6
D,IU,AVON,33125249,FULL FACE CPAP MASK LRG       ,86424088331,270,              ,      ,             ,       ,2/1/2017,168.8
D,IU,AVON,33125250,TUBING 6'6' FOR CPAP          ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.1
D,IU,AVON,33125251,DIS/EQ REG BLOOD GAS KIT      ,86424088331,270,              ,      ,             ,       ,2/1/2017,24
D,IU,AVON,33125288,WOUND VAC CANNISTERS - FREEDOM,86424088331,270,              ,      ,             ,       ,1/1/2018,90.69
D,IU,AVON,33125289,WOUND VAC CANNISTERS - ULTA   ,86424088331,270,              ,      ,             ,       ,2/1/2017,33.1
D,IU,AVON,33125290,WOUND VAC DRESSINGS           ,86424088331,270,              ,      ,             ,       ,1/1/2018,117.42
D,IU,AVON,33125291,BARIATRIC BEDPAN              ,86424088331,270,              ,      ,             ,       ,1/1/2018,91.5
D,IU,AVON,33125292,SLEEP MASK EAR BUD KIT        ,86424088331,270,              ,      ,             ,       ,2/1/2017,1.25
D,IU,AVON,33125293,FLUTTER VALVES - RESPIRATORY  ,86424088331,270,              ,      ,             ,       ,2/1/2017,49.28
D,IU,AVON,33125294,ORAL SUCTION TOOTHBRUSH       ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.25
D,IU,AVON,33125295,T-PAD FOR K-PUMP              ,86424088331,270,              ,      ,             ,       ,1/1/2018,32.4
D,IU,AVON,33125296,ABDOMINAL BINDER              ,86424088331,270,              ,      ,             ,       ,2/1/2017,8.07
D,IU,AVON,33125297,PICC DRESSING CHANGE KIT      ,86424088331,270,              ,      ,             ,       ,2/1/2017,17.31
D,IU,AVON,33125298,HEEL PRESSURE RELIEVING BOOT  ,86424088331,270,              ,      ,             ,       ,6/1/2017,167.7
D,IU,AVON,33125322,PICC INSERTION - NON-POWER    ,86424088331,270,              ,      ,             ,       ,6/1/2017,525
D,IU,AVON,33125323,PICC INSERTION - POWER        ,86424088331,270,              ,      ,             ,       ,6/1/2017,575
D,IU,AVON,33125325,ACCU CHECK TEST STRIPS        ,86424088331,270,              ,      ,             ,       ,10/1/2017,1.95
D,IU,AVON,33125326,HOYER LIFT SLING - MEDIUM     ,86424088331,270,              ,      ,             ,       ,7/1/2017,78.39
D,IU,AVON,33125327,HOYER LIFT SLING - LARGE      ,86424088331,270,              ,      ,             ,       ,1/1/2018,88.5
D,IU,AVON,33125328,HOYER LIFT SLING - X-LARGE    ,86424088331,270,              ,      ,             ,       ,7/1/2017,97.5
D,IU,AVON,33125329,HOYER LIFT SLING - XX-LARGE   ,86424088331,270,              ,      ,             ,       ,7/1/2017,124.5
D,IU,AVON,33125363,BARI MATTRESS                 ,86424088331,278,              ,      ,             ,       ,9/1/2018,35
D,IU,AVON,33129578,ZAPPER CLOG UM # 1685200002   ,86424088331,270,              ,      ,             ,       ,3/1/2017,0.01
D,IU,AVON,33129579,COLLAR TRACH LARGE 3 1/4 # 525,86424088331,270,              ,      ,             ,       ,3/1/2017,0.02
D,IU,AVON,33129580,AIRWAY ORAL 12/BX 80MM        ,86424088331,270,              ,      ,             ,       ,3/1/2017,0.03
D,IU,AVON,33129581,AIRWAY ORAL 12/BX 90MM        ,86424088331,270,              ,      ,             ,       ,3/1/2017,0.04
D,IU,AVON,33129582,"PANEL BINDER 9"" 3 45-62"" #79-8",86424088331,270,              ,      ,             ,       ,3/1/2017,0.05
D,IU,AVON,33129583,"PANEL BINDER 12"" 4 45-62"" #79-",86424088331,270,              ,      ,             ,       ,3/1/2017,0.06
D,IU,AVON,33129584,CATH tRAY FOLEY 5CC 14FR # 898,86424088331,270,              ,      ,             ,       ,3/1/2017,0.07
D,IU,AVON,33129585,"PANEL BINDER 12"" 4 30-45 # 79-",86424088331,270,              ,      ,             ,       ,3/1/2017,0.08
D,IU,AVON,33129586,M-CARE METAL CLEANING CLOTH # ,86424088331,270,              ,      ,             ,       ,3/1/2017,0.09
D,IU,AVON,33129784,WHFO DYN BAND/SPRING CUSTOM   ,86424088331,274,              ,      ,4/1/2018,L3806  ,4/1/2018,243.6
D,IU,AVON,33130001,LOW AIR LOSS MATT 36IN WIDE   ,86424088331,270,              ,      ,             ,       ,1/1/2018,27
D,IU,AVON,33130002,LOW AIR LOSS MATT 42IN WIDE   ,86424088331,270,              ,      ,             ,       ,2/1/2017,14
D,IU,AVON,33130003,BARIATRIC BED WITH SCALE      ,86424088331,270,              ,      ,             ,       ,2/1/2017,23
D,IU,AVON,33130004,BARIATRIC LOW BED             ,86424088331,270,              ,      ,             ,       ,1/1/2018,84
D,IU,AVON,33130005,BARIATRIC WALKER 500-750 LBS  ,86424088331,270,              ,      ,             ,       ,2/1/2017,7.5
D,IU,AVON,33130006,FOAM MATTRESS                 ,86424088331,270,              ,      ,             ,       ,2/1/2017,10
D,IU,AVON,33130007,T-PUMP/K-PAD                  ,86424088331,270,              ,      ,             ,       ,1/1/2018,3.42
D,IU,AVON,33130008,C-PAP MACHINE - AUTO SET SPIRI,86424088331,270,              ,      ,             ,       ,1/1/2018,17.85
D,IU,AVON,33130009,BI PAP MACHINE - FOCUS        ,86424088331,270,              ,      ,             ,       ,1/1/2018,36.9
D,IU,AVON,33130010,BI PAT MACHINE - VISION       ,86424088331,270,              ,      ,             ,       ,2/1/2017,22.5
D,IU,AVON,33130011,ACC PKG FOR C-PAP OR BI-PAP   ,86424088331,270,              ,      ,             ,       ,1/1/2018,374.85
D,IU,AVON,33130012,CONTINUOUS PULSE OX MACHINE   ,86424088331,270,              ,      ,             ,       ,1/1/2018,40.5
D,IU,AVON,33130013,REUSEABLE PULSE OX PROBE      ,86424088331,270,              ,      ,             ,       ,2/1/2017,2.5
D,IU,AVON,33130014,WOUND VAC - FREEDOM RENTAL    ,86424088331,270,              ,      ,             ,       ,1/1/2018,158.64
D,IU,AVON,33130015,WOUND VAC - ULTA RENTAL       ,86424088331,270,              ,      ,             ,       ,2/1/2017,64
D,IU,AVON,33132506,SCD- SEQUENTIAL COMPRESSION   ,86424088331,270,              ,      ,             ,       ,1/1/2018,42.75
D,IU,AVON,33140001,PILL SPLITTER/CRUSHER 67750   ,86424088331,270,              ,      ,             ,       ,7/1/2017,9
D,IU,AVON,33140002,PADDED EYE PATCH              ,86424088320,270,              ,      ,             ,       ,7/1/2017,17
D,IU,AVON,33140003,CREAM SKIN REMEDY REPAIR 4 OZ ,86424088331,270,              ,      ,             ,       ,7/1/2017,10.25
D,IU,AVON,33140004,CREAM SHAVING 1.5 OZ AEROSOL C,86424088331,270,              ,      ,             ,       ,7/1/2017,2
D,IU,AVON,33140005,CUP DENTURE CLEAR 25/PKG      ,86424088331,270,              ,      ,             ,       ,7/1/2017,0.5
D,IU,AVON,33140006,CUP MEDICINE 1OZ 1000/CASE    ,86424088331,270,              ,      ,             ,       ,7/1/2017,1
D,IU,AVON,33140007,ACAPELLA DM W/MOUTH BLUE 1/EA ,86424088331,270,              ,      ,             ,       ,7/1/2017,108.5
D,IU,AVON,33140008,ACAPELLA W/MOUTH GREEN 10/CS  ,86424088331,270,              ,      ,             ,       ,7/1/2017,108.5
D,IU,AVON,33140009,ACETONE CP LIQ HUMC 4 OZ EA   ,86424088331,270,              ,      ,             ,       ,7/1/2017,21
D,IU,AVON,33140010,AEROCHAMBER PLUS VHC 10/CA    ,86424088331,270,              ,      ,             ,       ,7/1/2017,32.5
D,IU,AVON,33140011,ALARM UNIT W/ACCESSORY EA     ,86424088331,270,              ,      ,             ,       ,7/1/2017,152.25
D,IU,AVON,33140012,ALCOHOL ISO 70% 16 OZ 12/CA   ,86424088331,270,              ,      ,             ,       ,7/1/2017,3.75
D,IU,AVON,33140013,ANEROID WALL UNT ADULT CUFF EA,86424088331,270,              ,      ,             ,       ,7/1/2017,462.5
D,IU,AVON,33140014,ANTI TIP LONG STFH WHEELCHAIR ,86424088331,270,              ,      ,             ,       ,7/1/2017,112.25
D,IU,AVON,33140015,APP COTTON TIP 6 STR 200/BOX  ,86424088331,270,              ,      ,             ,       ,7/1/2017,0.25
D,IU,AVON,33140016,ARMBOARD ADULT 18 DISP 100/CS ,86424088331,270,              ,      ,             ,       ,7/1/2017,1.5
D,IU,AVON,33140017,ARMBOARD WRIST 3X9 DISP 100/CS,86424088331,270,              ,      ,             ,       ,7/1/2017,1.25
D,IU,AVON,33140018,BAND NARROW DNR PURPLE 500/BX ,86424088331,270,              ,      ,             ,       ,7/1/2017,0.5
D,IU,AVON,33140019,BAND BLOOD SECURELINE PLUS BLU,86424088331,270,              ,      ,             ,       ,7/1/2017,4.25
D,IU,AVON,33140020,BAND ID ADULT ALERGY ALERT RD ,86424088331,270,              ,      ,             ,       ,7/1/2017,0.5
D,IU,AVON,33140021,BAND ID PINK ADULT 500/BX     ,86424088331,270,              ,      ,             ,       ,7/1/2017,0.5
D,IU,AVON,33140022,BARRIER SKIN CUT TO FIT 2 1/4 ,86424088331,270,              ,      ,             ,       ,7/1/2017,6
D,IU,AVON,33140023,BARRIER SKIN CUT TO FIT 2 3/4 ,86424088331,270,              ,      ,             ,       ,7/1/2017,6
D,IU,AVON,33140024,BASIN EMESIS 10 DUSTY ROSE 250,86424088331,270,              ,      ,             ,       ,7/1/2017,0.25
D,IU,AVON,33140025,BASIN WASH 7.5QT RECT GREY 50/,86424088331,270,              ,      ,             ,       ,7/1/2017,1.25
D,IU,AVON,33140026,BAG COLLECTION FLEXISEAL W/FLT,86424088331,270,              ,      ,             ,       ,7/1/2017,20.75
D,IU,AVON,33140027,BASKET LG WHITE WA767007      ,86424088331,270,              ,      ,             ,       ,7/1/2017,73.5
D,IU,AVON,33140028,BAG DRAIN URINE METER 2500ML 2,86424088331,270,              ,      ,             ,       ,7/1/2017,8.25
D,IU,AVON,33140029,BATH BABY HEAD TO TOE 1 OZ 144,86424088331,270,              ,      ,             ,       ,7/1/2017,0.75
D,IU,AVON,33140030,BAG FEEDING W/PUMP SET PATROL ,86424088331,270,              ,      ,             ,       ,7/1/2017,6
D,IU,AVON,33140031,BATH READY SCENTED 24/PK MEDMS,86424088331,270,              ,      ,             ,       ,7/1/2017,0.25
D,IU,AVON,33140032,BAG LEG URINARY 32 OZ LG 10/BX,86424088331,270,              ,      ,             ,       ,7/1/2017,9.75
D,IU,AVON,33140033,BEDPAN COMMODE STACKABLE 50/CA,86424088331,270,              ,      ,             ,       ,7/1/2017,2
D,IU,AVON,33140034,BAG LEG URINARY 32 OZ LF LG 12,86424088331,270,              ,      ,             ,       ,7/1/2017,21
D,IU,AVON,33140035,BEDPAN FRACTURE GREY 50/CS    ,86424088331,270,              ,      ,             ,       ,7/1/2017,2
D,IU,AVON,33140036,BAG PATIENT 1.25ML 20X20X4 WHT,86424088331,270,              ,      ,             ,       ,7/1/2017,0.25
D,IU,AVON,33140037,BINDER ABDOMINAL 3 PANEL      ,86424088331,270,              ,      ,             ,       ,7/1/2017,18.75
D,IU,AVON,33140038,SPECIMEN 6X9 ZIP LOCK 1000/CS ,86424088331,270,              ,      ,             ,       ,7/1/2017,0.1
D,IU,AVON,33140039,BOTTLE PERI IRRIGATION 8 OZ 50,86424088331,270,              ,      ,             ,       ,7/1/2017,1.25
D,IU,AVON,33140040,BAG TRASH .8ML 38X55 BROWN 200,86424088331,270,              ,      ,             ,       ,7/1/2017,0.5
D,IU,AVON,33140041,BRIEF MESH PURPLE STRIPE XLG 2,86424088331,270,              ,      ,             ,       ,7/1/2017,1.25
D,IU,AVON,33140042,BAG ZIPLOCK 2.0ML 5X8 CLEAR 10,86424088331,270,              ,      ,             ,       ,7/1/2017,0.05
D,IU,AVON,33140043,BUCKET COMMODE LID HANDLE 9X11,86424088331,270,              ,      ,             ,       ,7/1/2017,15.75
D,IU,AVON,33140044,BUCKET ENEMA DISPOSABLE 50/CS ,86424088331,270,              ,      ,             ,       ,7/1/2017,5
D,IU,AVON,33140045,BULB AND VALVE GRAY TRM1631   ,86424088331,270,              ,      ,             ,       ,7/1/2017,21.75
D,IU,AVON,33140046,CAN SUCTION LINER 1000CC W/ON ,86424088331,270,              ,      ,             ,       ,7/1/2017,31.75
D,IU,AVON,33140047,CANISTER WALL THIN DISP 1500CC,86424088331,270,              ,      ,             ,       ,7/1/2017,3.75
