PROCEDURE,DESCRIPTION,DEPARTMENT,CHG CAT,STD AMOUNT,CPT,HCPC,A
11600434,"TRAY, MAJOR",37174895116,272,120,,,Y
11600436,"TRAY, MINI",37174895116,272,65,,,Y
11600444,"TRAY, ORTHO AMPUTATION",37174895116,272,75,,,Y
11600446,"TRAY, ORTHO FOOT",37174895116,272,75,,,Y
11600501,"TRAY, UNIT TRACHEOTOMY",37174895116,272,8,,,Y
11600510,PIC LINE INSERTION,37174895116,761,1346,36569,,Y
11600512,EGD W/ PEG TUBE INSERTION,37174895116,360,2910,,,Y
11600520,BIOPSY-SOFT TISSUE,37174895116,360,1815,,,Y
11600525,BIOPSY-BONE,37174895116,360,1265,,,Y
11600526,SUPRAPUBIC CATH PLACEMENT,37174895116,360,1516,,,Y
11604976,INSERTION OF HICKMAN,37174895116,360,572,,,Y
11604981,AMPUTATION (BKA),37174895116,360,6458,,,Y
11604984,DERIDEMENT SNGL DECUBITUS ULCE,37174895116,360,688,,,Y
11604990,AMPUTATION (AKA),37174895116,360,6402,,,Y
11605001,CATHETER INSERTION (VENOUS),37174895116,761,1078,36569,,Y
11607025,VENOUS CATH - RENAL DIALYSIS,37174895116,360,1205,,,Y
11607029,TRANSESOPHAGEAL ECHO,37174895116,360,743,,,Y
11607045,IVC FILTER PLACEMENT,37174895116,360,3300,,,Y
11690018,COLOSTOMY,37174895116,360,7710,,,Y
11698360,3.2MM PEDIGUARD REF# P1-AU412,37174895116,278,0,,,Y
92203001,ORALS 01,37174895320,250,40,,,Y
92203002,ORALS 02,37174895320,250,8,,,Y
92203003,ORALS 03,37174895320,250,21,,,Y
92203006,ORALS 06,37174895320,250,8.5,,,Y
92203007,ORALS 07,37174895320,250,8,,,Y
92205001,TPN/TNA 1,37174895320,250,300,,,Y
92205002,TPN/TNA 2,37174895320,250,600,,,Y
92205003,TPN/TNA 3,37174895320,250,900,,,Y
92210001,BISACODYL 10MG SUP,37174895320,250,8,,,Y
92210002,DIPHENHYDRAMINE HCL 50MG/ML IN,37174895320,250,25,,,Y
92210003,THIORIDAZINE HCL 25MG TAB,37174895320,250,8,,,Y
92210004,CYANOCABALAMIN 100MCG TAB,37174895320,250,8,,,Y
92210005,MULTIVITAMIN MULTIMINERAL TAB,37174895320,250,8,,,Y
92210006,PROVIDONE IODINE 10% SOL,37174895320,250,44,,,Y
92210007,FERROUS SULF 325MG TAB,37174895320,250,8,,,Y
92210008,NAPROXEN 500MG TAB,37174895320,250,8,,,Y
92210009,SELEGILINE HCL 5MG TAB,37174895320,250,8,,,Y
92210010,SILVER SULFADIAZINE 1% CRE,37174895320,250,194.5,,,Y
92210011,BUTORPHANOL 2MG/ML INJ,37174895320,250,180,,,Y
92210012,BISACODYL 5MG ECT,37174895320,250,8,,,Y
92210013,CIMETIDINE HCL 300MG/5ML SOL,37174895320,250,8,,,Y
92210014,TRIMETHOPRIM 100MG TAB,37174895320,250,8,,,Y
92210015,DIPHENHYDRAMINE HCL 12.5MG/5 E,37174895320,250,8,,,Y
92210016,THEOPHYLLINE 300MG T12,37174895320,250,8,,,Y
92210017,BETAMETHASONE VA 0.1% OIN,37174895320,250,75.5,,,Y
92210018,PEPPERMINT OIL,37174895320,250,91,,,Y
92210019,SUCRALFATE 1GM/10ML SUS,37174895320,250,18.5,,,Y
92210020,DICLOFENAC NA 75MG ECT,37174895320,250,8,,,Y
92210021,THYROID 60MG TAB,37174895320,250,8,,,Y
92210022,MORPHINE  20MG/ML SOL,37174895320,250,8,,,Y
92210023,SULFADIAZINE 500MG TAB,37174895320,250,17,,,Y
92210024,PREDNISONE 5MG TAB,37174895320,250,46.8,,,Y
92210025,VITAMIN E 100U SGL,37174895320,250,8,,,Y
92210026,TETRACYCLINE HCL 250MG CAP,37174895320,250,8,,,Y
92210027,NITROGLYCERIN 0.3MG TAB,37174895320,250,8,,,Y
92210028,TRIAMCINOLONE 0.5% CRE,37174895320,250,40,,,Y
92210029,SULFAMETHOXAZOLE/TMP INJ,37174895320,250,55.5,,,Y
92210030,TESTOSTERONE CYPI 100MG/ML OIL,37174895320,250,32,,,Y
92210031,GUANFACINE HCL 1MG TAB,37174895320,250,8,,,Y
92210032,LEVOBUNOLOL 0.25% SOL,37174895320,250,108.7,,,Y
92210033,THIORIDAZINE HCL 50MG TAB,37174895320,250,8,,,Y
92210034,ACETAMINOPHEN COD  120-12/5 SO,37174895320,250,8,,,Y
92210035,THIOTHIXENE 1MG CAP,37174895320,250,8,,,Y
92210036,TRAZODONE HCL 50MG TAB,37174895320,250,8,,,Y
92210037,SODIUM CL 0.65% NASAL SPR,37174895320,250,8,,,Y
92210038,ATENOLOL 100MG TAB,37174895320,250,8,,,Y
92210039,SODIUM CL 3% INH SOL,37174895320,250,8,,,Y
92210040,TRAZODONE HCL 150MG TAB,37174895320,250,8,,,Y
92210041,ENALAPRIL MALEATE 5MG TAB,37174895320,250,8,,,Y
92210042,SPIRONOLACTONE 25MG TAB,37174895320,250,8,,,Y
92210043,AMYLASE/LIPASE/PROTEASE ECC,37174895320,250,8,,,Y
92210044,ROPINIROLE HCL 0.W5MG TAB,37174895320,250,15.5,,,Y
92210045,TRIHEXYPHENIDYL HCL 2MG TAB,37174895320,250,8,,,Y
92210046,DOCUSATE CAL 240MG SGL,37174895320,250,8,,,Y
92210047,VANCOMYCIN HCL 500MG INJ,37174895320,250,36,,,Y
92210048,TRIMETHOBENZAMIDE HCL 100MG IN,37174895320,250,60.5,,,Y
92210049,BACLOFEN 20MG TAB,37174895320,250,8,,,Y
92210050,ACETAMINOPHEN 500MG TAB,37174895320,250,8,,,Y
92210051,DOCUSATE NA 100MG SGL,37174895320,250,8,,,Y
92210052,BACITRACIN 500U/GM OIN,37174895320,250,13,,,Y
92210053,POTASSIUM CL 20MEQ/15ML SOL,37174895320,250,35.5,,,Y
92210054,SODIUM CL 0.9% INJ,37174895320,250,25,,,Y
92210055,CITRIC ACID NA CITRATE SOL,37174895320,250,8,,,Y
92210056,NAPROXEN NA 220MG TAB,37174895320,250,8,,,Y
92210057,NA PHOS DIBASIC/MONOBASIC NMA,37174895320,250,8,,,Y
92210058,HYDROCORTISONE 2.5% CRE,37174895320,250,27,,,Y
92210059,ASPIRIN 81MG CTB,37174895320,250,8,,,Y
92210060,CALCIUM CARB 500MG TAB,37174895320,250,8,,,Y
92210061,BETAMETHASONE DP 0.05% OIN,37174895320,250,455,,,Y
92210062,ACETIC ACID 2% SOL,37174895320,250,148,,,Y
92210063,TOLMETIN NA 400MG CAP,37174895320,250,8,,,Y
92210064,VITAMIN B COMPLEX TAB,37174895320,250,8,,,Y
92210065,ASPIRIN 325MG TAB,37174895320,250,8,,,Y
92210066,PROPOXYPHEN APAP 100-650MG TAB,37174895320,250,8,,,Y
92210067,"BETA CAROTENE 10,000U SGL",37174895320,250,8,,,Y
92210068,INDAPAMIDE 2.5MG TAB,37174895320,250,8,,,Y
92210069,BETAXOLOL HCL 0.5% EYE SOL,37174895320,250,245,,,Y
92210070,VERAPAMIL HCL 240MG CER,37174895320,250,8.5,,,Y
92210071,MENTHOL METHYL SALICYL 10-15 C,37174895320,250,17,,,Y
92210072,DIMENHYDRINATE 50MG TAB,37174895320,250,8,,,Y
92210073,FLUOROMETHOLONE 0.1% SUS,37174895320,250,851,,,Y
92210074,BETAMETHASONE VA 0.1% OIN,37174895320,250,153.5,,,Y
92210075,SULFASALAZINE 500MG TAB,37174895320,250,8,,,Y
92210076,GLIPIZIDE 5MG TAB,37174895320,250,8,,,Y
92210077,SERTRALINE HCL 50MG TAB,37174895320,250,20.5,,,Y
92210078,TIMOLOL MALEATE 0.5% SOL,37174895320,250,75.5,,,Y
92210079,TETRACYCLINE HCL 250MG CAP,37174895320,250,27,,,Y
92210080,THIORIDAZINE HCL 100MG TAB,37174895320,250,8,,,Y
92210081,ASPIRIN 325MG ECT,37174895320,250,8,,,Y
92210082,METHYLPREDNISOLONE ACET 80MG I,37174895320,250,233.4,,,Y
92210083,ACETAMINOPHEN 80MG CTB,37174895320,250,8,,,Y
92210084,KETOCONAZOLE 200MG TAB,37174895320,250,17.5,,,Y
92210085,PRAZOSIN HCL 5MG CAP,37174895320,250,8,,,Y
92210086,TICLOPIDINE HCL 250MG TAB,37174895320,250,8,,,Y
92210087,THEOPHYLLINE 80MG/15ML LIQ,37174895320,250,36,,,Y
92210088,WARFARIN NA 2MG TAB,37174895320,250,8,,,Y
92210089,CHROMIUM PICO 200MCG TAB,37174895320,250,8,,,Y
92210090,CAPTOPRIL 12.5MG TAB,37174895320,250,8,,,Y
92210091,SORBITOL 70% SOL,37174895320,250,8,,,Y
92210092,DIPHENHYDRAMINE HCL 25MG TAB,37174895320,250,8,,,Y
92210093,ERYTHROMYCIN 2% GEL,37174895320,250,111.8,,,Y
92210094,AMPICILLIN NA 250MG/5ML SUS,37174895320,250,104,,,Y
92210095,IMMUNE GLOBULIN 10GM INJ,37174895320,250,5025.5,,,Y
92210096,HYDROXYZINE HCL 10MG TAB,37174895320,250,8,,,Y
92210097,ESTRADIOL 1MG TAB,37174895320,250,8,,,Y
92210098,BENZTROPINE MESYLATE 0.5MG TAB,37174895320,250,8,,,Y
92210099,THIORIDAZINE HCL 50MG TAB,37174895320,250,8,,,Y
92210100,PHENDIMETRAZINE 35MG TAB,37174895320,250,8,,,Y
92210101,ACETAMINOPHEN 160MG/5ML SUS,37174895320,250,8,,,Y
92210102,SODIUM BICARB 7.5% INJ,37174895320,250,25,,,Y
92210103,ASCORBIC ACID 500MG TAB,37174895320,250,8,,,Y
92210104,PHENAZOPYRIDINE 95MG TAB,37174895320,250,8,,,Y
92210105,ALBUTEROL SULF 5MG/ML SOL,37174895320,250,77,,,Y
92210106,GLIPIZIDE 10MG TAB,37174895320,250,10.5,,,Y
92210107,ALBUTEROL SULF 4MG TAB,37174895320,250,21.5,,,Y
92210108,SALSALATE 750MG TAB,37174895320,250,8,,,Y
92210109,GLYCERIN SUP,37174895320,250,8,,,Y
92210110,NYSTATIN/TRIAMCINOLONE OIN,37174895320,250,590,,,Y
92210111,ACETAMINOPHEN 100MG/ML SOL,37174895320,250,8,,,Y
92210112,ATROPINE SULF 1% EYE SOL,37174895320,250,22,,,Y
92210113,CLONAZEPAM 0.5MG TAB,37174895320,250,8,,,Y
92210114,CEFACLOR 250MG CAP,37174895320,250,8,,,Y
92210115,ACETAMINOPHEN 500MG TAB,37174895320,250,8,,,Y
92210116,DIPYRIDAMOLE 25MG TAB,37174895320,250,8,,,Y
92210117,BUTALB CAFF APAP 50-40-325 TAB,37174895320,250,8,,,Y
92210118,DESIPRAMINE HCL 25MG TAB,37174895320,250,8,,,Y
92210119,ACETAMINOPHEN ASPIRIN CAFF TAB,37174895320,250,8,,,Y
92210120,OXYMETAZOLINE HCL 0.05% SPR,37174895320,250,19.5,,,Y
92210121,TEMAZEPAM 30MG CAP,37174895320,250,8,,,Y
92210122,DESOXIMETASONE 0.25% CRE,37174895320,250,374.5,,,Y
92210123,MIDAZOLAM HCL 1MG/ML INJ,37174895320,250,25,,,Y
92210124,DICYCLOMINE HCL 20MG TAB,37174895320,250,8,,,Y
92210125,MULTIVITAMIN MULTIMINERAL TAB,37174895320,250,8,,,Y
92210126,VERAPAMIL HCL 120MG TAB,37174895320,250,8,,,Y
92210127,ACETAMINOPHEN 325MG TAB,37174895320,250,8,,,Y
92210128,AMLODIPINE BESYLATE 5MG TAB,37174895320,250,8,,,Y
92210129,RANITIDINE HCL 150MG TAB,37174895320,250,17,,,Y
92210130,CALCIUM CARB 500MG CTB,37174895320,250,8,,,Y
92210131,ALPRAZOLAM 0.25MG TAB,37174895320,250,8,,,Y
92210132,ATROPINE SULF 1% EYE OIN,37174895320,250,9.5,,,Y
92210133,BELLADONNA/PHENOBARB TAB,37174895320,250,42,,,Y
92210134,DOXYCYCLINE HYCLATE 100MG CAP,37174895320,250,8,,,Y
92210135,GUAIFENESIN DM 100-10MG/5ML SY,37174895320,250,8,,,Y
92210136,CAPTOPRIL 25MG TAB,37174895320,250,8,,,Y
92210137,MORPHINE  50MG/ML INJ,37174895320,250,25,,,Y
92210138,BUTALB CAFF APAP 50-40-325 TAB,37174895320,250,8,,,Y
92210139,CLOTRIMAZOLE 1% CRE,37174895320,250,37,,,Y
92210140,HYDROCORTISONE ACET 25MG SUP,37174895320,250,83,,,Y
92210141,SULFAMETHOXAZOLE/TMP 400/80 TA,37174895320,250,8,,,Y
92210142,GUAIFENESIN 600MG TER,37174895320,250,8,,,Y
92210143,HYPROMELLOSE 0.5% SOL,37174895320,250,115,,,Y
92210144,AMOXICILLIN 250MG/5ML LIQ,37174895320,250,23.5,,,Y
92210145,TEMAZEPAM 30MG CAP,37174895320,250,8,,,Y
92210146,AMANTADINE HCL 100MG SGL,37174895320,250,9.5,,,Y
92210147,NITROGLYCERIN 0.2MG/HR TDM,37174895320,250,8,,,Y
92210148,CAPTOPRIL 12.5MG TAB,37174895320,250,8,,,Y
92210149,BETHANECHOL CL 50MG TAB,37174895320,250,12.5,,,Y
92210150,PREDNISONE 10MG TAB,37174895320,250,8,,,Y
92210151,ALAMAG SUS,37174895320,250,8,,,Y
92210152,LACTULOSE 10GM/15ML SOL,37174895320,250,8,,,Y
92210153,BUMETANIDE 1MG TAB,37174895320,250,8,,,Y
92210154,PHENYLEPHRINE HCL 0.5% SPR,37174895320,250,24,,,Y
92210155,HCTZ TRIAMTERENE 25-50MG CAP,37174895320,250,8,,,Y
92210156,PSEUDOEPHEDRINE HCL 30MG TAB,37174895320,250,8,,,Y
92210157,WARFARIN NA 5MG TAB,37174895320,250,8,,,Y
92210158,SIMETHICONE 20MG/0.3ML SUS,37174895320,250,8,,,Y
92210159,DICLOFENAC NA 50MG ECT,37174895320,250,8,,,Y
92210160,ATENOLOL 100MG TAB,37174895320,250,8,,,Y
92210161,SULFAMETHOXAZOLE/TMP INJ,37174895320,250,167,,,Y
92210162,BUPIVACAINE/EPI 0.25%/0.0005 I,37174895320,250,25,,,Y
92210163,AMILORIDE HCL HCTZ 5-50 TAB,37174895320,250,8,,,Y
92210164,ALBUTEROL SULF 5MG/ML SOL,37174895320,250,148,,,Y
92210165,ACETAMINOPHEN 500MG TAB,37174895320,250,8,,,Y
92210166,MULTIVITAMIN SOL,37174895320,250,8,,,Y
92210167,ACETAMINOPHEN 325MG TAB,37174895320,250,8,,,Y
92210168,CLINDAMYCIN PHOS 1% SOL,37174895320,250,404.5,,,Y
92210169,MEXILETINE HCL 250MG CAP,37174895320,250,13,,,Y
92210170,VITAMIN E OIL,37174895320,250,25,,,Y
92210171,LEVOTHYROXINE NA 200MCG TAB,37174895320,250,8,,,Y
92210172,SULFAMETHOXAZOLE/TMP SUS,37174895320,250,30,,,Y
92210173,SUMATRIPTAN SUCC 6MG/0.5ML KIT,37174895320,250,916.1,,,Y
92210174,CALAMINE PRZMOXINE HCL 8%-1% L,37174895320,250,16,,,Y
92210175,GLIPIZIDE 5MG TAB,37174895320,250,8,,,Y
92210176,MINOCYCLINE HCL 50MG CAP,37174895320,250,8,,,Y
92210177,CLOBETASOL PROP 0.05% EMO,37174895320,250,1008.5,,,Y
92210178,TRAZODONE HCL 100MG TAB,37174895320,250,8,,,Y
92210179,SODIUM CL 0.9% SOL,37174895320,250,59,,,Y
92210180,BACLOFEN 20MG TAB,37174895320,250,17.5,,,Y
92210181,LEVOTHYROXINE NA 75MCG TAB,37174895320,250,8,,,Y
92210182,TEMAZEPAM 30MG CAP,37174895320,250,8,,,Y
92210183,MULTIVITAMIN ZINC SULF TAB,37174895320,250,8,,,Y
92210184,ENALAPRIL MALEATE 10MG TAB,37174895320,250,8,,,Y
92210185,LEVOTHYROXINE NA 200MCG TAB,37174895320,250,8,,,Y
92210186,LABETALOL HCL 200MG TAB,37174895320,250,8,,,Y
92210187,CLOZAPINE 25MG TAB,37174895320,250,23,,,Y
92210188,ATENOLOL CHLORTHAL 50-25 TAB,37174895320,250,8,,,Y
92210189,TOLNAFTATE 1% POW,37174895320,250,12.5,,,Y
92210190,IBUPROFEN 200MG TAB,37174895320,250,8,,,Y
92210191,THIORIDAZINE HCL 100MG TAB,37174895320,250,8,,,Y
92210192,GLYBURIDE 5MG TAB,37174895320,250,8,,,Y
92210193,GLIPIZIDE 5MG TER,37174895320,250,8,,,Y
92210194,CHOLESTYRAMINE 4GM/9GM PDR,37174895320,250,223,,,Y
92210195,NITROFURANTOIN MCR 100MG CAP,37174895320,250,12.5,,,Y
92210196,METOCLOPRAMIDE 5MG TAB,37174895320,250,8,,,Y
92210197,VITAMIN E 400U SGL,37174895320,250,8,,,Y
92210198,ASPIRIN 325MG TAB,37174895320,250,8,,,Y
92210199,TETRACYCLINE HCL 500MG CAP,37174895320,250,8,,,Y
92210200,TRIAMCINOLONE 0.025% OIN,37174895320,250,22.5,,,Y
92210201,ACETAMINOPHEN 500MG TAB,37174895320,250,8,,,Y
92210202,HYDROXYZINE HCL 10MG TAB,37174895320,250,8,,,Y
92210203,DICLOFENAC NA MISOPRO 50-0.2 E,37174895320,250,25.5,,,Y
92210204,TRAZODONE HCL 150MG TAB,37174895320,250,9,,,Y
92210205,TRAZODONE HCL 50MG TAB,37174895320,250,8,,,Y
92210206,DIGOXIN 125MCG TAB,37174895320,250,8,,,Y
92210207,BUTALB CAFF APAP 50-40-325 TAB,37174895320,250,8,,,Y
92210208,DISOPYRAMIDE PHOS 150MG CER,37174895320,250,8,,,Y
92210209,ARTIFICIAL TEARS 1.4% SOL,37174895320,250,16.5,,,Y
92210210,IBUPROFEN 200MG TAB,37174895320,250,8,,,Y
92210211,IBUPROFEN 800MG TAB,37174895320,250,8,,,Y
92210212,PIROXICAM 20MG CAP,37174895320,250,10.4,,,Y
92210213,LEVOTHYROXINE NA 500MCG INJ,37174895320,250,205,,,Y
92210214,VITAMIN E 200U SGL,37174895320,250,8,,,Y
92210215,LORAZEPAM 1MG TAB,37174895320,250,8,,,Y
92210216,AMIKACIN SULF 250MG/ML INJ,37174895320,250,108.5,,,Y
92210217,THEOPHYLLINE 200MG T12,37174895320,250,8,,,Y
92210218,LIDOCAINE HCL 2% INJ,37174895320,250,25,,,Y
92210219,OINTMENT BASE OIN,37174895320,250,68.9,,,Y
92210220,VANCOMYCIN HCL 1GM INJ,37174895320,250,71,,,Y
92210221,BACITRACIN 500U/GM OIN,37174895320,250,40.3,,,Y
92210222,LEVOBUNOLOL 0.5% SOL,37174895320,250,174,,,Y
92210223,TRIAMCINOLONE 0.1% CRE,37174895320,250,17.5,,,Y
92210224,CIMETIDINE 300MG TAB,37174895320,250,8,,,Y
92210225,ESTRADIOL 0.0375MG/DAY TDM,37174895320,250,202,,,Y
92210226,CEPHALEXIN 500MG CAP,37174895320,250,8,,,Y
92210227,ACETAMINOPHEN 325MG TAB,37174895320,250,8,,,Y
92210228,THIORIDAZINE HCL 100MG TAB,37174895320,250,8,,,Y
92210229,TOBRAMYCIN 40MG/ML INJ,37174895320,250,25,,,Y
92210230,BETAMETHASONE VA 0.1% CRE,37174895320,250,211.5,,,Y
92210231,TETRACYCLINE HCL 500MG CAP,37174895320,250,8,,,Y
92210232,"CYANOCABALAMIN 1,000MCG TER",37174895320,250,8,,,Y
92210233,ISOSORBIDE DN 40MG TER,37174895320,250,9,,,Y
92210234,LEVOTHYROXINE NA 150MCG TAB,37174895320,250,8,,,Y
92210235,BUTALB CAFF APAP 50-40-325 TAB,37174895320,250,8,,,Y
92210236,TRIAZOLAM 0.125MG TAB,37174895320,250,10,,,Y
92210237,THIORIDAZINE HCL 25MG TAB,37174895320,250,8,,,Y
92210238,THIOTHIXENE 10MG CAP,37174895320,250,12.5,,,Y
92210239,HALOPERIDOL 0.5MG TAB,37174895320,250,8,,,Y
92210240,QUINIDINE GLUC 324MG TER,37174895320,250,8,,,Y
92210241,WARFARIN NA 7.5MG TAB,37174895320,250,8,,,Y
92210242,NIFEDIPINE 10MG CAP,37174895320,250,8,,,Y
92210243,BACLOFEN 10MG TAB,37174895320,250,8,,,Y
92210244,LORAZEPAM 2MG TAB,37174895320,250,8,,,Y
92210245,RANITIDINE HCL 150MG TAB,37174895320,250,8,,,Y
92210246,VANCOMYCIN HCL 5GM INJ,37174895320,250,79,,,Y
92210247,BISACODYL 10MG SUP,37174895320,250,8,,,Y
92210248,CONJUCATED ESTROGENS 1.25MG TA,37174895320,250,23,,,Y
92210249,ACETAMINOPHEN COD 300MG-60MG T,37174895320,250,8,,,Y
92210250,ERYTHROMYCIN 2% SOL,37174895320,250,61.6,,,Y
92210251,CHLORHEXIDINE GLUC 4% LIQ,37174895320,250,14,,,Y
92210252,ACETAMINOPHEN COD 300MG-30MG T,37174895320,250,8,,,Y
92210253,CEFADROXIL 250MG/5ML PDR,37174895320,250,24.3,,,Y
92210254,CARBAMAZEPINE 100MG CTB,37174895320,250,8,,,Y
92210255,CHLORPHENIRAMINE PSE 8-120MG C,37174895320,250,8,,,Y
92210256,TRAZODONE HCL 50MG TAB,37174895320,250,8,,,Y
92210257,AMYLASE/LIPASE/PROTEASE ECC,37174895320,250,9.2,,,Y
92210258,PYRIDOXINE 50MG TAB,37174895320,250,8,,,Y
92210259,ALMACONE-2 SUS,37174895320,250,8,,,Y
92210260,TRIFLUOPERAZINE HCL 2MG TAB,37174895320,250,8,,,Y
92210261,PROPOXYPHEN APAP 100-650MG TAB,37174895320,250,8,,,Y
92210262,ACETAMINOPHEN 500MG TAB,37174895320,250,8,,,Y
92210263,WATER STERILE SOL,37174895320,250,46.9,,,Y
92210264,VITAMIN E 400U SGL,37174895320,250,8,,,Y
92210265,CEFOTAXIME NA 1GM INJ,37174895320,250,25,,,Y
92210266,BACLOFEN 10MG TAB,37174895320,250,8.5,,,Y
92210267,TRIAMCINOLONE 0.1% OIN,37174895320,250,113.5,,,Y
92210268,PHENYLEPHRINE HCL 10% SOL,37174895320,250,66,,,Y
92210269,ASCORBIC ACID 500MG TAB,37174895320,250,8,,,Y
92210270,CHOLESTYRAMINE 4GM/5.5GM PDR,37174895320,250,291.6,,,Y
92210271,CLINDAMYCIN HCL 150MG CAP,37174895320,250,8,,,Y
92210272,SODIUM CL 1GM TAB,37174895320,250,8,,,Y
92210273,RIFAMPIN 300MG CAP,37174895320,250,15,,,Y
92210274,DIPHENHYDRAMINE HCL 12.5MG/5 E,37174895320,250,8,,,Y
92210275,LABETALOL HCL 100MG TAB,37174895320,250,8,,,Y
92210276,LITHIUM CARBONATE 300MG CAP,37174895320,250,8,,,Y
92210277,CEPHALEXIN 250MG/5ML SUS,37174895320,250,106.5,,,Y
92210278,GLIPIZIDE 10MG TER,37174895320,250,8,,,Y
92210279,FAMOTIDINE 10MG TAB,37174895320,250,8,,,Y
92210280,GLIPIZIDE 5MG TAB,37174895320,250,8,,,Y
92210281,NEOMYIN SULF/POLYMYX B/BAC Z O,37174895320,250,17.5,,,Y
92210282,ASPIRIN 325MG TAB,37174895320,250,8,,,Y
92210283,BISACODYL 5MG ECT,37174895320,250,8,,,Y
92210284,TETRAHYDROZOLINE HCL 0.05% SOL,37174895320,250,8,,,Y
92210285,CREAM MULTI INGREDIENT CRE,37174895320,250,35.5,,,Y
92210286,LOVASTATIN 20MG TAB,37174895320,250,9,,,Y
92210287,VITAMIN E 400U SGL,37174895320,250,8,,,Y
92210288,SULFAMETHOXAZOLE/TMP 400/80 TA,37174895320,250,8,,,Y
92210289,ACETAMINOPHEN 500MG TAB,37174895320,250,8,,,Y
92210290,SODIUM CL 0.9% IVS,37174895320,258,25,,,Y
92210291,CEFUROXIME AXETIL 125MG/5ML SU,37174895320,250,591.5,,,Y
92210292,ANTIPYRINE/BENZOCAINE EAR SOL,37174895320,250,44,,,Y
92210293,OXYMETAZOLINE HCL 0.05% SPR,37174895320,250,13,,,Y
92210294,THIOTHIXENE 10MG CAP,37174895320,250,19,,,Y
92210295,CLOTRIMAZOLE 1% CRE,37174895320,250,43,,,Y
92210296,PROMETHAZINE HCL 25MG SUP,37174895320,250,65.5,,,Y
92210297,LEVOTHYROXINE NA 100MCG TAB,37174895320,250,8,,,Y
