Service Area|Px Code|Procedure Description|Supply #|Unit Price
WS SERVICE AREA|27802993|HC STENT SYS 2.5X15MM|21418|18,802.00
WS SERVICE AREA|27802996|HC STENT SYS 3X15MM|21421|18,802.00
WS SERVICE AREA|27803002|HC STENT SYS 4X15MM|21427|18,802.00
WS SERVICE AREA|27298581|HC GUIDEWIRE SNCHR2 200CM STD|21434|2,120.16
WS SERVICE AREA|27205060|HC CATHETER DSC 6F X 105CM US|22766|3,890.75
WS SERVICE AREA|27204887|HC KIT CATH CVC 16CM 4 LUM CNTRL VP|22621|589.80
WS SERVICE AREA|272110694|HC CATH PICC SGL LUM 4.5FRX55CM CG VPS|59625|759.69
WS SERVICE AREA|272110695|HC CATH PICC SGL LUM 4.5FRX50CM CG VPS|60385|1,420.91
WS SERVICE AREA|272110696|HC CATH PICC DBL LUM 5.5FRX55CM CG|59626|859.04
WS SERVICE AREA|272110809|HC TRAY LBRCTH FOLEY 18FR|60046|51.19
WS SERVICE AREA|272110810|HC TRAY CATH SIL FOLEY 18FR|59808|47.06
WS SERVICE AREA|272110811|HC TRAY LBRCTH FOLEY 16FR W MTR|60047|74.32
WS SERVICE AREA|272110812|HC TRAY CATH ADAFL W MTR|60596|53.91
WS SERVICE AREA|272110813|HC TRAY CATH IC TEMP SNS 16FR|59809|128.01
WS SERVICE AREA|272110814|HC TRAY CATH ADAFL W DRAIN BAG|60962|43.68
WS SERVICE AREA|272110815|HC TRAY CATH 16FR FOLEY SIL|59841|47.06
WS SERVICE AREA|272110816|HC TRAY CATH 16FR LBRCATH|60627|51.19
WS SERVICE AREA|272110817|HC TRAY CATH LBRSIL 16FR FOLEY|59810|50.57
WS SERVICE AREA|272110818|HC TRAY CATH LBRCTH 16FR W MTR|59811|51.14
WS SERVICE AREA|272111579|HC TUBE GASTRO FEED BALLOON RETENTION 18F 10CM|61699|263.40
WS SERVICE AREA|272111580|HC TUBE GASTRO FEED BALLOON RETENTION 20F 10CM |61700|263.40
WS SERVICE AREA|272001885|HC CATHETER TRANSLUMINAL ANGIOPLASTY LASER|80769|13,825.00
WS SERVICE AREA|272122391|HC TUBE TRACH ORAL MURPHY EYE CUFF 6.0MM|96037|29.94
WS SERVICE AREA|278112603|HC DRESSING PURAPLY AM WOUND MTRX 5X5 (25 SQ CM)|65584|12,640.00
WS SERVICE AREA|278112604|HC DRESSING PURAPLY AM WOUND MTRX  2X2 (4 SQ CM)|65585|2,962.50
WS SERVICE AREA|278112605|HC DRESSING WOUND MTRX PURAPLY AM 2X4 (8 SQ CM)|65586|3,752.50
WS SERVICE AREA|278112606|HC DRESSING PURAPLY AM WOUND MTRX  6X9 (54 SQ CM)|65587|26,465.00
WS SERVICE AREA|272112551|HC DRESSING CUTIMED SORBACT RIBBON .8X19.7IN|65101|32.00
WS SERVICE AREA|272112552|HC DRESSING CUTIMED SILTEC 3X3IN|65102|24.50
WS SERVICE AREA|272112553|HC DRESSING CUTIMED SILTEC 5X5IN|65103|43.90
WS SERVICE AREA|272112554|HC DRESSING CUTIMED SORBACT HYDRO B 2 3/4X 2 3/8|65104|30.16
WS SERVICE AREA|272112555|HC DRESSING CUTIMED SORBACT HYDRO B 5 1/2X 5 1/2|65105|54.88
WS SERVICE AREA|272112556|HC DRESSING CUTIMED SORBACT HYDRO B 7 1/2X 7 1/2|65106|110.72
WS SERVICE AREA|272112598|HC BANDAGE COMPRIFORE 4 LYR|65550|44.12
WS SERVICE AREA|272112428|HC TRACH 7.5MM SHILEY FLEX CUFFED|84849|184.03
WS SERVICE AREA|272112433|HC TRACH 8.5MM SHILEY FLEX CUFFLESS|81107|176.35
WS SERVICE AREA|272112434|HC TRACH 8.5MM SHILEY FLEX CUFFED|72393|184.03
WS SERVICE AREA|272124392|HC KIT TRACH PERC G2 CIAGLIA BLUE|93100|1,712.36
WS SERVICE AREA|27100177|NONSTERILE SUPPLY GENERAL|2673|25.46
WS SERVICE AREA|27200026|STERILE SUPPLIES-TRANSFER RULE|17398|173.36
WS SERVICE AREA|27200028|HC ADAPTOR Y BRAT LF|15476|94.03
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19786|1,097.50
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19787|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19788|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19789|1,638.70
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19790|1,712.10
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19791|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19792|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19793|1,262.13
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19794|1,712.10
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19795|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19796|1,097.50
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19797|1,685.76
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19798|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19799|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19800|1,685.76
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19801|1,712.10
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19802|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19803|1,369.68
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19804|1,685.76
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19805|1,712.10
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19806|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19807|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19811|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19812|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19813|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19814|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19815|526.80
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19816|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19817|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19818|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19819|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19820|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19821|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19822|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19823|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19824|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19825|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19826|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19827|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19828|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19829|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19830|526.80
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19831|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19832|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19833|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19834|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19835|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19836|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19837|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19838|689.23
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19839|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19840|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19841|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19842|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19843|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19844|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|19845|539.97
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|20582|728.74
WS SERVICE AREA|27200038|CATHETER, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL|20589|728.74
WS SERVICE AREA|27200039|HC BRACHYTHERAPY NEEDLE|8631|17.34
WS SERVICE AREA|27200042|CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL|12363|13,410.25
WS SERVICE AREA|27200042|CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL|16892|11,830.25
WS SERVICE AREA|27200042|CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL|17347|12,640.00
WS SERVICE AREA|27200042|CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL|17522|11,830.25
WS SERVICE AREA|27200042|CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL|50266|11,830.25
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|11267|1,097.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13207|1,909.65
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13208|1,909.65
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13402|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13403|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13404|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13405|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13406|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13407|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13408|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13409|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13410|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13411|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13412|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13413|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13414|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13415|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13416|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13417|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13418|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13419|3,752.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|13696|430.22
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15074|636.55
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15075|636.55
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15076|636.55
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15077|636.55
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15079|636.55
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15080|636.55
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15081|636.55
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15121|1,207.25
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15123|1,207.25
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15124|1,207.25
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15130|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15159|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15218|987.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15222|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15224|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15251|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15252|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15253|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15255|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15258|987.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15267|1,097.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15286|987.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15287|987.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15292|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15314|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15317|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15318|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15574|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15575|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15577|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15580|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15581|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15582|987.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15677|482.90
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15679|592.65
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15681|482.90
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15682|592.65
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15683|482.90
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15685|526.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15838|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15864|2,152.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15950|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|15992|2,850.32
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16052|482.90
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16169|2,850.32
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16170|2,850.32
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16171|2,850.32
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16331|1,097.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16333|1,097.50
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16357|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16432|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16448|965.80
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16471|548.75
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16485|3,160.00
WS SERVICE AREA|27200043|CATH, TRANSLUM ANGIOPLASTY, NONLASER (MAY INCLUDE GUIDE INFUSE PERFUSE|16486|3,160.00
