Service Area|Px Code|Generic Name|CPT(R)/HCPCS Code|NDC|Unit Price|Override Bill Code|Override Price
WS SERVICE AREA|25010065|acetylcysteine 200 mg/mL (20 %) solution|J7608|63323069030|14.68||
WS SERVICE AREA|25010065|fentaNYL-bupivacaine-NaCl (PF) 3 mcg/mL-0.125 % epidural solution||61553023748|141.37||
WS SERVICE AREA|25010065|poractant alfa 240 mg/3 mL intratracheal suspension||10122051003|6,780.51||
WS SERVICE AREA|25010065|bupivacaine 0.5 %-epinephrine bitartrate 1:200,000 injection,cartridge||31382055705|15.75||
WS SERVICE AREA|25010065|lidocaine (PF) 20 mg/mL (2 %) intravenous solution||63323020805|19.49||
WS SERVICE AREA|25010065|niCARdipine 25 mg/10 mL intravenous solution||00143968910|158.08||
WS SERVICE AREA|25010065|niCARdipine 25 mg/10 mL intravenous solution||67457022410|391.56||
WS SERVICE AREA|25010065|niCARdipine 25 mg/10 mL intravenous solution||00143959310|143.80||
WS SERVICE AREA|25010065|HYDROmorphone 3 mg/30 mL in 0.9 % sodium chloride PCA intravenous soln||61553067944|312.30||
WS SERVICE AREA|25010065|HYDROmorphone 30 mg/30 mL (1 mg/mL) in 0.9 % NaCl IV PCA syringe||61553016644|99.60||
WS SERVICE AREA|25010065|thrombin (bovine) 5,000 unit topical solution||60793021505|505.26||
WS SERVICE AREA|25010065|famotidine (PF) 20 mg/2 mL intravenous solution||00641602225|15.75||
WS SERVICE AREA|25010065|famotidine (PF) 20 mg/2 mL intravenous solution||63323073912|15.75||
WS SERVICE AREA|25010065|ePHEDrine (PF) 50 mg/10 mL (5 mg/mL) in 0.9 % sod.chloride IV syringe||61553030472|344.93||
WS SERVICE AREA|25010065|ePHEDrine (PF) 50 mg/10 mL (5 mg/mL) in 0.9 % sod.chloride IV syringe||71030000310|457.46||
WS SERVICE AREA|25010065|lidocaine 2 %-epinephrine bitartrate 1:100,000 injection cartridge||31382089805|15.75||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal jelly in applicator||76329301305|45.13||
WS SERVICE AREA|25010065|lidocaine 2 % mucosal jelly in applicator||25021067376|34.92||
WS SERVICE AREA|25010065|lidocaine HCl (bulk) 100 % powder||15455950101|3,132.80||
WS SERVICE AREA|25010065|ePHEDrine (PF) 25 mg/5 mL (5 mg/mL) in 0.9% sodium chloride IV syringe||61553030133|33.92||
WS SERVICE AREA|25010065|ePHEDrine (PF) 25 mg/5 mL (5 mg/mL) in 0.9% sodium chloride IV syringe||71030000302|130.70||
WS SERVICE AREA|25010065|norepinephrine bitartrate 4 mg/250 mL (16 mcg/mL) in dextrose 5 % IV||61553011561|151.73||
WS SERVICE AREA|25010065|ipratropium bromide 0.02 % solution for inhalation||00487980101|9.29||
WS SERVICE AREA|25010065|ipratropium bromide 0.02 % solution for inhalation|J7644|00487980130|9.29||
WS SERVICE AREA|25010065|ipratropium bromide 0.02 % solution for inhalation||76204010001|13.01||
WS SERVICE AREA|25010065|treprostinil 1.74 mg/2.9 mL (0.6 mg/mL) solution for nebulization|J7686|66302020603|3,960.01||
WS SERVICE AREA|25010065|caffeine-sodium benzoate 250 mg/mL(125 mg/mL caffeine) injection soln||00517250210|124.95||
WS SERVICE AREA|25010065|morphine 30 mg/30 mL (1 mg/mL) in 0.9 % sodium chloride IV PCA syringe||61553017944|151.65||
WS SERVICE AREA|25010065|succinylcholine chloride 200 mg/10 mL (20 mg/mL) intravenous syringe||61553036465|272.25||
WS SERVICE AREA|25010065|succinylcholine chloride 200 mg/10 mL (20 mg/mL) intravenous syringe||69374091910|169.22||
WS SERVICE AREA|25010065|succinylcholine chloride 200 mg/10 mL (20 mg/mL) intravenous syringe||71019034117|268.04||
WS SERVICE AREA|25010065|tetracaine HCl (PF) 0.5 % eye drops||00065074114|72.01||
WS SERVICE AREA|25010065|tetracaine HCl (PF) 0.5 % eye drops||00065074112|64.70||
WS SERVICE AREA|25010065|sodium bicarbonate 150 mEq/1,000 mL in dextrose 5 % intravenous||70324032601|180.04||
WS SERVICE AREA|25010065|EPINEPHrine 1 mg/mL (1 mL) injection solution||00409724101|15.75||
WS SERVICE AREA|25010065|EPINEPHrine 1 mg/mL (1 mL) injection solution||00409724161|15.75||
WS SERVICE AREA|25010065|EPINEPHrine 1 mg/mL (1 mL) injection solution||00409724120|15.75||
WS SERVICE AREA|25010065|lidocaine (PF) 200 mg/10 mL (2 %) injection syringe||61553032765|20.55||
WS SERVICE AREA|25010065|lidocaine (PF) 200 mg/10 mL (2 %) injection syringe||71019017323|15.75||
WS SERVICE AREA|25010065|ketamine 50 mg/mL (1 mL) intravenous syringe||00000005217|15.75||
WS SERVICE AREA|25010065|lidocaine 30 mg/3 mL (1%) injection syringe||61553034334|68.12||
WS SERVICE AREA|25010065|lidocaine 30 mg/3 mL (1%) injection syringe||71019016705|68.12||
WS SERVICE AREA|25010065|labetalol 20 mg/4 mL (5 mg/mL) intravenous syringe||00409233934|24.13||
WS SERVICE AREA|25010065|labetalol 20 mg/4 mL (5 mg/mL) intravenous syringe||69374094604|31.70||
WS SERVICE AREA|25010065|isoflurane 99.9 % inhalation liquid||66794001910|132.35||
WS SERVICE AREA|25010065|povidone-iodine 0.3 % vaginal solution||00132874302|17.36||
WS SERVICE AREA|25010065|povidone-iodine 0.3 % vaginal solution||41608008743|17.36||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous syringe||00409163110|48.48||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous syringe||00409492834|60.90||
WS SERVICE AREA|25010065|calcium chloride 100 mg/mL (10 %) intravenous syringe||76329330401|64.26||
WS SERVICE AREA|25010065|tetracaine HCl (bulk) powder||51552026902|379.53||
WS SERVICE AREA|25010065|balanced salt solution combination no.1 intraocular irrigation||00065080050|621.56||
WS SERVICE AREA|25010065|lidocaine-epinephrine 0.5 %-1:200,000 injection solution||00409317701|24.63||
WS SERVICE AREA|25010065|lidocaine-epinephrine 0.5 %-1:200,000 injection solution||63323048157|15.75||
WS SERVICE AREA|25010065|water for injection, bacteriostatic injection solution||00409397703|15.75||
WS SERVICE AREA|25010065|water for injection, bacteriostatic injection solution||00409397701|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine 0.25 %-1:200,000 injection solution||00409175250|15.75||
WS SERVICE AREA|25010065|bupivacaine-epinephrine 0.5 %-1:200,000 injection solution||00000005458|15.75||
WS SERVICE AREA|25010065|acetic acid (bulk) 3 % liquid||51552005106|471.68||
WS SERVICE AREA|25010065|nitroglycerin 50 mg/250 mL (200 mcg/mL) in 5 % dextrose intravenous||00409148202|44.63||
WS SERVICE AREA|25010065|nitroglycerin 50 mg/250 mL (200 mcg/mL) in 5 % dextrose intravenous||00338104902|137.45||
WS SERVICE AREA|25010065|thrombin (bovine) 5,000 unit topical spray syringe||60793070505|515.40||
WS SERVICE AREA|25010065|thrombin (bovine) 20,000 unit topical spray syringe||60793021722|2,092.29||
WS SERVICE AREA|25010065|sodium hypochlorite 0.25 % solution||00436093616|76.59||
WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 1.5 %-1:200,000 injection solution||00409120901|15.75||
WS SERVICE AREA|25010065|lidocaine-epinephrine (PF) 1 %-1:200,000 injection solution||63323048717|15.75||
WS SERVICE AREA|25010065|tretinoin (chemotherapy) 10 mg capsule||68084007521|194.96||
WS SERVICE AREA|25010065|EPINEPHrine 0.15 mg/0.3 mL injection,auto-injector||49502050102|1,774.10||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||00781315295|225.84||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||00781903895|225.84||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||63323041605|99.96||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||63323041710|164.22||
WS SERVICE AREA|25010065|cisatracurium 2 mg/mL intravenous solution||00074438010|196.35||
WS SERVICE AREA|25010065|cisatracurium concentrate 10 mg/mL (ICU USE ONLY) intravenous solution||00781315395|1,991.29||
WS SERVICE AREA|25010065|cisatracurium concentrate 10 mg/mL (ICU USE ONLY) intravenous solution||00781903995|1,991.29||
WS SERVICE AREA|25010065|cisatracurium concentrate 10 mg/mL (ICU USE ONLY) intravenous solution||63323041820|1,577.02||
WS SERVICE AREA|25010065|acetic acid (bulk) 100 % liquid||38779058201|5,526.40||
WS SERVICE AREA|25010065|sodium borate-boric acid-sodium chloride-water eye wash soln||00904537720|24.09||
WS SERVICE AREA|25010065|sodium glycerophosphate 1 mmol/mL intravenous solution||63323024120|92.82||
WS SERVICE AREA|25010065|dexmedetomidine 400 mcg/100 mL (4 mcg/mL) in 0.9 % sodium chloride IV||00409166010|656.17||
WS SERVICE AREA|25010065|ferric subsulfate 0.2 gram to 0.22 gram/mL topical soln and applicator||10481011208|101.94||
WS SERVICE AREA|25010065|mupirocin 2 % nasal ointment||00029152603|120.19||
WS SERVICE AREA|25010065|mupirocin 2 % nasal ointment||00000005376|4.25||
WS SERVICE AREA|25010065|mupirocin 2 % nasal ointment||50268057211|36.09||
WS SERVICE AREA|25010065|mupirocin 2 % nasal ointment||17856011201|98.98||
WS SERVICE AREA|25010065|dantrolene 250 mg intravenous suspension||42367054032|14,615.81||
WS SERVICE AREA|25010065|vasopressin 20 unit/mL intravenous solution||42023016425|298.53||
WS SERVICE AREA|25010065|glycopyrrolate 0.4 mg/2 mL (0.2 mg/mL) intravenous syringe||61553032928|47.49||
WS SERVICE AREA|25010065|idaruCIZUmab 2.5 gram/50 mL intravenous solution||00597019705|20,405.00||
WS SERVICE AREA|25010065|compounding vehicle suspension sugar-free no.20 oral||00574030316|143.19||
