The information provided below is a comprehensive list of charges for each inpatient and outpatient service or item provided by Northside, also known as a chargemaster. 
It is not a helpful tool for patients seeking to comparison shop between hospitals or to estimate what health care services are going to cost them out of their own pocket. 
Northside reserves the right to change, delete, or otherwise modify its standard charges without any prior notice. 
For more information about the cost of your care, please contact one of Northside’s Financial Counselors at (404) 851-8694 or you may email to request a price estimate 
at Price.Estimate@Northside.com.



Northside Hospital System		
		
Charge Code	Charge Description	Charge
7022839	AUTOMATED RPR TITER	$306
10720135	AXUMIN F-18 FLUCICLOVINE 1MCI	"$13,530"
7025949	B TYPE NATRIURETIC PEPTIDE	$437
6580214	"B/D 25 G 3 1/2"""	$26
6757202	BAG DRAINAGE BILE	$135
6759163	BALL ELECTRODE	$96
10729183	BALLOON DILATE URTRL STRI	"$2,500"
6751273	BALLOON EUS ENDOSCOPIC	$69
7110556	BALO ANGIOP CTR DIALYSIS SEG	$567
6751209	BANDAGE COMRESSION 4 LAYER	$46
7021950	BARTONELLA HENSELAE IGG	$99
7021951	BARTONELLA HENSELAE IGM	$99
7021952	BARTONELLA QUINTANA IGG	$99
7021953	BARTONELLA QUINTANA IGM	$99
7256036	BASIC DOSIMETRY	"$1,189"
7029516	BASIC METABOLIC TOTAL PANEL	$316
7284650	BASIC VESTIBULAR EVALUATION W/REC	$561
6750052	BASKET/NET FOREIGN BODY RETREIVAL	$444
7021786	BETA 2 GPI AB IGG	$191
7021787	BETA 2 GPI AB IGM	$191
7025741	BETA 2 MICROGLOBULIN	$528
7021510	BETA LACTAMASE ENZYME DETECTION	$42
7130001	BI VENTRICULAR ICD	"$104,937"
7025522	BILE ACIDS TOTAL & FRACTIONATED	$521
6750886	BILI LENSETTE (NSY)	$50
6022501	BILICHECK TRANSCUTANEOUS	$63
7021700	BILIRUBIN DIRECT	$130
7029527	BILIRUBIN TOTAL	$125
7028611	BILIRUBIN TOTAL & FRACTIONATED	$125
7029399	BILIRUBIN TOTAL CORD BLOOD	$173
7162611	BIOFEEDBACK FOLLOWUP	$296
6750761	BIOPATCH	$36
10725552	BIOPSY BONE MARROW	"$3,224"
10725106	BIOPSY FINE NEEDLE ASP W/IMG	$936
10725221	BIOPSY LIVER	"$1,936"
10725220	BIOPSY LUNG/MEDIASTINUM PERC	"$2,327"
10725551	BIOPSY LYMPH NODE	"$1,398"
6751656	BIOPSY NEEDLE	$480
10725224	BIOPSY PANCREAS	"$2,371"
10725227	BIOPSY PLEURA PERC NEEDLE	"$2,263"
10726119	BIOPSY PROSTATE	"$3,734"
10725225	BIOPSY RENAL	"$1,936"
10726142	BIOPSY SALIVARY GLAND	$988
10726117	BIOPSY THYROID	"$1,704"
10721069	BIOPSY TRANSCATHETER	"$8,949"
6758851	BIO-TENODESIS KIT	$711
6751658	BIOVANCE PER SQ CM	$453
7362063	BIPAP INITIATION & MANAGEMENT	$976
7865002	BI-PAP PURCHASE	"$5,885"
7865004	BI-PAP RENTAL	$743
6750961	BIRTHING BALL	$123
7130010	BI-VENTRICULAR PACEMAKER	"$47,521"
7026077	BK VIRUS PCR QUANT	"$1,118"
10726352	BLADDER P/V RESIDUAL STUDY	$673
6751661	BLADE DERMATOME	$226
6751662	BLADE DIEGO	$469
6750907	BLADE DYONICS FULL RADIUS	"$1,582"
6751853	BLADE NON ROTATABLE TUR MEDTRONIC	$609
6751663	BLADE RAD ADENOID	$709
6751849	BLADE ROTATABLE TUR METRONIC	"$3,283"
6751858	BLADE SAW OCSILLATING	$909
6753257	BLADE STRYKER TPS RECIPRICATING	$823
6751665	BLADE TRICUT XOMED	$602
6751666	BLADE V-LANCE	$167
6752937	BLAKE DRAIN	$264
7026556	BLASTOMYCES ANTIBODY	$147
3655229	BLOOD COUNT RBC AUTOMATED	$35
7021856	BLOOD CULTURE MULTIPLEX ID PCR	$100
7950650	BLOOD DRAW CENTRAL/PICC LINE	$30
6781260	BLOOD DRAW FROM IMPLANTED VAD	$236
6781615	BLOOD TRANSFUSION	"$2,010"
7080748	BM/PBSC THAW ALLOGENEIC	"$2,455"
7080747	BM/PBSC THAW AUTOLOGOUS	"$2,455"
7186721	BM/SC TP ALLO	"$4,392"
7186722	BM/SC TP AUTO	"$4,117"
7110691	BMS-PLC BMS 1ST ART LD	"$22,688"
10729098	BONE CEMENT	"$1,008"
6751672	BONE CEMENT LEVEL I	$480
6751673	BONE CEMENT LEVEL II	$960
6751674	BONE CEMENT LEVEL III	"$1,954"
6757097	BONE HARVESTER	"$1,946"
6022300	BONE MARROW BIOPSY	"$3,224"
6751677	BONE MARROW BX KIT	$259
7022001	BONE MARROW DIFF	$496
7054388	BONE MARROW PATH TECHNICAL	$228
6751681	BONE MATRIX DBX PUTTY 5CC	"$3,525"
6751682	BONE MATRIX LEVEL I	"$2,778"
6751683	BONE MATRIX LEVEL II	"$5,499"
6751684	BONE MATRIX LEVEL III	"$10,419"
6751685	BONE MATRIX LEVEL IV	"$19,101"
6607565	BONE MORPHAGENIC PROTEIN LARGE	"$25,922"
6607561	BONE MORPHAGENIC PROTEIN MEDIUM	"$23,457"
6607560	BONE MORPHAGENIC PROTEIN SMALL	"$16,061"
6607559	BONE MORPHAGENIC PROTEIN XSMALL	"$8,027"
6751202	BOOT ROOKE	$592
6751382	BRACE-ASPEN COLLAR	"$1,072"
7250500	BRACHYTHERAPY NEEDLE HDR (EACH)	$128
7258909	BRACHYTX ISODOSE COMPLEX	"$2,679"
7258908	BRACHYTX ISODOSE INTERMED	"$1,955"
7258907	BRACHYTX ISODOSE PLAN SIMPLE	"$1,846"
6750838	BRAVO CAPSULE	"$1,272"
10726551	BREAST BX 1ST LESION MR	"$4,681"
10724200	BREAST BX 1ST LESION SG	"$4,681"
10726158	BREAST BX 1ST LESION US	"$4,681"
10726553	BREAST BX ADD LESION MR	"$2,006"
10724203	BREAST BX ADD LESION SG	"$2,006"
10726160	BREAST BX ADD LESION US	"$2,006"
7025858	BREAST CA 2729 AG	$105
6751688	BREAST IMPLANT 2	"$5,100"
6754981	BREAST IMPLANT SILICONE	"$2,520"
6431000	BREAST PROSTH BASIC LT	$450
6431021	BREAST PROSTH BASIC RT	$450
6500003	BREAST PUMP 24 HOURS IP	$45
7361726	BRONCH DIAGNOSTIC - ICU	"$1,982"
7361725	BRONCH PROVOCATION	$888
7361002	BRONCHW/PROC - ICU	"$2,994"
6788168	BUN I-STAT	$57
7028168	BUN SERUM	$61
7021677	BUSULFAN ORAL EACH SPEC	$158
10725226	BX ABD/RETROPERITONEAL	"$2,263"
10727774	BX BILIARY BRUSHING VIA TUBE	"$3,544"
10725222	BX BONE DEEP TROCAR/NEEDLE	"$2,327"
10725188	BX BONE SUPERFICIAL TRO/NEEDLE	"$2,327"
7026568	C DIFFICILE ANTIGEN	$230
7026506	C DIFFICILE TOXIN	$244
7026621	C DIFFICILE TOXIN BY RAPID PCR	$375
7025309	C PEPTIDE	$580
7022082	C PNEUMONIAE AMP PROBE PCR	"$1,104"
7026328	CA 125	$374
7026329	CA 19-9 PAN HEP	$312
6750441	CABLE EP CATH EXTENSION LVL I	$465
6750448	CABLE EP CATH EXTENSION LVL II	"$1,241"
6750451	CABLE EP MAPPING	"$1,020"
6751694	CABLE VITALLIUM DALL MILES	"$1,978"
7025699	CADMIUM	$580
7028229	CAFFEINE(CAFFEINE) LEVEL	$319
7028933	"CALCIUM, SERUM"	$61
7564658	CALORIC VESTIB TEST BIL BITHERMAL	$765
7028048	CALPROTECTIN	$814
6962145	"CALR GENE ANALY, COM VAR EXON 9"	"$1,236"
7026628	CAMPYLOBACTER EIA	$59
6751697	CANNULA SELF RETAINING	$118
6751699	CANNULA STIMULATING	$68
6522599	CAPILLARY STICK	$29
6751704	CAPIO BRAIDED POLYDEK SUTURE	$124
7026202	CARBAMAZEPINE(TEGRETOL) LEVEL	$357
7021862	CARBAPENEM RESISTANCE PCR	$100
7361401	"CARBOXYHEMOGLOBIN, QUANTITATIVE"	$156
7131608	CARDIAC EVENT RECORDER (LOOP)	"$20,247"
7331001	CARDIAC REHAB II INITIAL	$366
7331002	CARDIAC REHAB PHASE II	$299
7331003	CARDIAC REHAB PHASE III (PER MTH)	$240
7021025	CARDIOLIPIN IGG	$257
7021026	CARDIOLIPIN IGM	$257
10722992	CARDIOLITE PER STUDY DOSE	$846
7130268	CARDIOVERT-DEFIB DUAL CHAMBER	"$106,917"
7130261	"CARDIOVERT-DEFIB, SINGLE CHAMBER"	"$79,198"
7026693	CARNITINE	$374
10720607	CAROTID DOPPLER BIL	"$1,370"
10720608	CAROTID DUPLEX UNI	"$1,128"
6752103	CARTRIDGE BLOOD FILTER DIALYSIS	$771
6751706	CASPAR DISTRACTION PIN	"$1,436"
7025706	"CATECHOLAMINES FRACTIONATED, UR"	$107
7025175	CATECHOLAMINES TOTAL PLASMA	$889
6757045	CATH 3 WAY 16FR 5CC SC	$76
6750641	CATH ANGIO GUIDING	$258
6754372	CATH ANGIOGRAPHIC LVL I	$393
6751155	CATH ANORECTAL 4 CHANNEL	$394
6754664	CATH ATHERECTOMY ROTATIONAL	"$18,570"
6751474	CATH BALLOON ENDOSCOPIC RFA	"$7,987"
6750454	CATH EP 3D OR MAPPING	"$15,979"
6750397	CATH EP NO MAP <OR=19 ELECTRODE	$608
6750453	CATH EP NO MAP >OR=20 ELECTRODE	"$5,478"
6750455	CATH EP NO MAP/TEMP LVL I	"$3,182"
6750457	CATH EP NO MAP/TEMP LVL II	"$5,930"
6750216	CATH FOLEY 30CC FR 20	$181
6757324	CATH FOLEY 30CC IRR 18 FR	$259
6750222	CATH FOLEY 30CC IRR 24 FR	$259
6750285	CATH FOLEY 3CC PED 8 FR	$107
6750201	CATH FOLEY 5CC 12 FR	$76
6750202	CATH FOLEY 5CC 14 FR	$76
6750203	CATH FOLEY 5CC 16 FR	$107
6757329	CATH FOLEY 5CC 16 FR COUDE	$168
6750204	CATH FOLEY 5CC 18 FR	$76
6750224	CATH FOLEY 5CC 18 FR COUDE	$259
6750205	CATH FOLEY 5CC 20 FR	$76
6750206	CATH FOLEY 5CC 22 FR	$76
6750207	CATH FOLEY 5CC 24 FR	$76
6750848	CATH GLIDECATH	$373
6751465	CATH INFUSION LVL I	$799
6751394	CATH INTRACARDIAC ECHO	"$8,023"
6750540	CATH INTRAUTERINE TAMPONADE	$511
6751092	CATH KIT TRIPLE POWER 7 16	$422
6751093	CATH KIT TRIPLE POWER 7 20	$422
6757360	"CATH KIT, QUAD LUMEN 7 16"	$512
6757358	"CATH KIT, QUAD LUMEN 7 20"	$512
6756746	CATH MIDLINE PICC	$291
10720490	CATH NON-SELECT ARCH AORTA	"$4,915"
6754356	CATH PACING BIPOLAR	$480
6756745	CATH PICC SINGLE(SCN)	$264
6750608	CATH SCORING BALLOON	"$4,723"
6750199	CATH SHORT TERM DIALYSIS	$755
6751076	CATH SWAN GANZ 5 FR	$986
6757214	CATH THORACIC 36 FR	$189
6750382	CATH THROM/EMBOLECTOMY LVL I	"$3,994"
6750383	CATH THROM/EMBOLECTOMY LVL II	"$6,804"
6750384	CATH THROM/EMBOLECTOMY LVL III	"$9,611"
6750250	CATH TROCAR 20 FR	$180
6751848	CATH URINARY RELIAFIT	$68
10728498	CATH VEIN PORTAL PERC ANY METHOD	"$5,129"
10727844	CATH VENOUS SEL ORGAN BLOOD SMPL	"$1,642"
6756030	CATH VESSEL 20G (FEMORAL)	$107
6757403	"CATH, 2-WAY 30CC"	$26
6755054	"CATH, SET FEMALE"	$72
6751187	"CATH, WORD"	$190
6750831	"CATH,SWAN GANZ 7 FR 110 CM"	$261
6756744	"CATHER, DUAL LUMEN 4.0 (INFANT)"	$80
6750223	CATHETER ABLATION HALO 90	"$3,959"
6751246	CATHETER ANGIOPLASTY ARMADA	$802
6750773	CATHETER BALLOON DILATOR BILIARY	"$1,478"
6750418	CATHETER BALLOON DILATOR CERVIX	$186
6750774	CATHETER BALLOON DILATOR ESOPH	"$1,346"
6751460	CATHETER BALLOON DRUG COATED	"$5,652"
6750775	CATHETER BALLOON STONE REMOVAL	$894
6751716	CATHETER CHLOLANGIO EDWARDS	$149
6750627	CATHETER CORDIS	$291
6750687	CATHETER DIAGNOSTIC	$144
6750643	CATHETER DIALYSIS LONG TERM	$784
6751137	CATHETER DRAINAGE	$296
6751137	CATHETER DRAINAGE	$490
6750735	CATHETER DUAL LUMEN PTA 6FR	$693
6753554	CATHETER DUCTO/SIALOGRAM	$116
6751232	CATHETER EP QUAD DYNAMIC XT 6FR	"$2,128"
10728514	CATHETER FOLEY	$144
6607048	CATHETER FOLEY 30 CC	$117
6753998	CATHETER GUIDING LEVEL III	"$3,155"
6753996	CATHETER GUIDING LVL I	$799
6753997	CATHETER GUIDING LVL II	"$2,424"
6757053	CATHETER HEMTURIA COUVELAIRE	$140
6750674	CATHETER IAB 40CC	"$5,983"
6750378	CATHETER IVUS	"$3,997"
6750690	CATHETER LAUNCHER GUIDE 6FR	$776
6759257	CATHETER MALECOT	$129
6751721	CATHETER NERVE BLOCK LVL 2	"$4,853"
6750141	CATHETER PICC LINE DUAL LUMEN	$884
6750084	CATHETER PICC LINE SINGLE LUMEN	$685
6750082	CATHETER PICC LINE TRIPLE LUMEN	$942
6751067	CATHETER PLEURX PLEURAL	"$2,439"
6750092	CATHETER PRECEPT CENTRAL VENOUS	$996
6750724	CATHETER PTCA	"$1,650"
6751190	CATHETER SUPRAPUBIC	$228
6750387	CATHETER SWAN GANZ	$624
6751139	CATHETER URETERAL	$368
7022819	CBC	$146
7023598	CBC ONCOLOGY	$146
7022873	CBC W/DIFFERENTIAL	$218
7025089	CCP ANTIBODIES	$103
6951169	CD34 QUANTITATIVE MARKER 1	$306
7025098	CEA	$363
7054004	CEA FLUID	$363
7021863	CEBPA GENE ANALYSIS AND SEQUENCE	$517
7022807	CELL COUNT BODY FLD	$180
7023034	CELL COUNT CSF	$180
7022883	CELL COUNT SYNOVIAL	$180
7022800	CELL COUNT/DIFF BRONCH WASH	$180
6962078	CELL ENUMER IMMUN SELECTION ID	$588
6706002	CEPHALIC VERSION EXTERNAL	"$1,416"
7025316	CERULOPLASMIN	$286
6751729	CERVICAL FOAM COLLAR	$26
7026210	CH50 TOTAL COMPLEMENT	$501
10728530	CHANGE EXT URETER STENT	"$4,793"
10728531	CHANGE EXT URETER STNT BIL	"$7,190"
10728526	CHANGE URETER STENT PERC	"$6,419"
7951152	CHEM NON-HORMON ANTINEOP SQ/ IM	$395
7022063	CHEMILLUMINESCENT ASSAY	$119
4031146	CHEMO INFU >8 HRS PUMP	$840
7951159	CHEMO INFUSE ADTL DRUG UP TO 1HR	$267
7951158	CHEMO INFUSION >8 HRS PUMP	$840
6024203	CHEMO INFUSION EA ADTL HR	$267
6024202	CHEMO INFUSION SNGL/INIT 1 HR	$906
10727063	CHEMO INTO CNS SPINAL PUNC	$906
7951155	"CHEMO IV PUSH,EA ADTL DRUG"	$534
7951154	"CHEMO IV PUSH,SNGL OR INITIAL"	$539
7113763	CHEST TUBE INSERT PERC W/O GUIDE	"$3,170"
7865023	CHINSTRAP DELUXE	$65
7028499	CHLAMYDIA DNA BY AMPLIFICATION	$286
7021948	CHLAMYDIA PNEUMON AB IGM	$130
7021947	CHLAMYDIA PNEUNOM AB IGG	$130
7028173	CHLORIDE URINE	$180
10728527	CHNG URETER STENT PERC BIL	"$9,629"
10729121	CHOLECYSTOSTOMY PERC	"$4,352"
7028652	CHOLESTEROL	$57
7026024	CHOLESTEROL FLUID	$59
6523003	CHORIONIC VILLUS SAMP U/S GUID	$666
6523002	"CHORIONIC VILLUS SAMPLING,"	"$1,699"
6587509	CHRNC MIGRAINE BLK (NEUROLYTIC)+	$749
7021570	CHROM ANALYSIS ADD KARYOTYPE	$303
7025695	CHROMIUM	$515
10720197	CHROMIUM DX UP TO 250 UCI	"$3,115"
7054413	CHROMOSOME 2 KARYOTYPE W/B	"$1,744"
7021702	CHROMOSOME ANALYSIS 15-20 CELL	"$1,699"
7054412	CHROMOSOME POC/TISSUE/SKIN SETUP	"$1,379"
6020737	CIRCUMCISION	"$1,049"
7029458	CKMB	$274
7022043	CKMB CATH ONLY	$274
7112142	CL-AORTOGRAM INJECTION/SI	$438
6751732	CLARIX FLO PER MG	$105
7112019	CL-CARDIOVERSION ELECTIVE	"$1,784"
7112130	CL-IP CATH CORO W/CATH LT*/SI	"$16,120"
7112134	CL-IP CATH CORO W/CATH RT/LT*/SI	"$17,897"
7112124	CL-IP CATH CORO W/GRAFT*/SI	"$13,077"
7112132	CL-IP CATH CORO W/LT&GRAFT*/SI	"$17,425"
7112121	CL-IP CATH CORONARY*/SI	"$11,774"
7112115	CL-IP CATH RT HEART SATS/OUT*/SI	"$11,401"
6757077	CLIP RANEY	$53
7112131	CL-OP CATH CORO W/CATH LT*/SI	"$16,120"
7112135	CL-OP CATH CORO W/CATH RT/LT*/SI	"$17,897"
7112133	CL-OP CATH CORO W/LT&GRAFT*/SI	"$17,425"
7112123	CL-OP CATH CORONARY*/SI	"$11,774"
7112116	CL-OP CATH RT HEART SATS/OUT*/SI	"$11,401"
10727899	CLOSURE DEVICE PLACEMENT VEIN/ART	$759
7113975	CL-PERC INSERT INTRA-AORTIC CATH	"$5,594"
7020668	CMV ANTIBODY TESTING	$209
6968503	CMV DNA PCR QUANT BRONCHIAL	$723
7026507	CMV IGG AB	$580
7026774	CMV IGG DONOR BMR	$164
7026500	CMV IGM AB	$90
6968477	CMV PCR BLOOD/URINE	$723
7028484	CMV PCR OTHER THAN BLOOD QN	$723
7025321	CMV PCR QUAL	$866
7022812	COAG FACTOR IX ACTIVITY	$977
