Item, Amount 
aliskiren 150 mg tablet, 20.70 
ALK PHOS ISOENZYMES, 75.00 
"ALK PHOS, TOTAL", 34.00 
ALKALINE PHOSPHATASE, 42.00 
"ALKALINE PHOSPHATASE, BONE SPE-RL", 34.00 
ALLODERM PERF MED 16CMX20CM," 27,159.00 "
ALLODERM REGEN 200X160MM," 55,948.75 "
ALLODRAFT CERVICAL 6MM," 4,470.00 "
ALLOGRAFT AMNIOFILL 1000MG," 6,187.50 "
ALLOGRAFT AMNIOFILL 500MG," 3,162.50 "
ALLOGRAFT CARTILAGE MATRIX 1CC," 1,925.00 "
ALLOGRAFT CARTIMAX VIABLE CART," 13,612.50 "
ALLOGRAFT CERV SPCR 6X14X12MM," 2,200.00 "
ALLOGRAFT CERV SPCR 7X14X12MM," 2,200.00 "
ALLOGRAFT CERV SPCR 8X14X12MM," 2,200.00 "
ALLOGRAFT CERVICAL 5MM," 4,470.00 "
ALLOGRAFT CERVICAL 9X14X12MM," 2,200.00 "
ALLOGRAFT EVANS WEDGE 10MM," 3,162.50 "
ALLOGRAFT EVANS WEDGE 12MM," 3,162.50 "
ALLOGRAFT EVANS WEDGE 16MM," 4,537.50 "
ALLOGRAFT EVANS WEDGE 6MM," 3,162.50 "
ALLOGRAFT EVANS WEDGE 8MM," 3,162.50 "
ALLOGRAFT FLEXHD 13X22CM," 13,387.91 "
ALLOGRAFT FLEXHD 9X15CM," 6,897.77 "
ALLOGRAFT HD THIN HYDRATED 4X8," 4,431.02 "
ALLOGRAFT NEOX CORD RT 2X1CM," 1,086.25 "
ALLOGRAFT NEOX CORD RT 2X2CM," 2,186.25 "
ALLOGRAFT NEOX CORD RT 3X2CM," 3,286.25 "
ALLOGRAFT NEOX CORD RT 3X3CM," 3,836.25 "
ALLOGRAFT NEOX CORD RT 4X3CM," 4,111.25 "
ALLOGRAFT NEOX CORD RT 6X3CM," 5,486.25 "
ALLOGRAFT NEOX CORD RT 8X3CM," 8,511.25 "
ALLOGRAFT OPTECURE 10 ML, 206.00 
ALLOGRAFT OPTECURE 1CC RT, 377.44 
ALLOGRAFT OPTECURE 5 CC," 1,986.19 "
ALLOGRAFT PASTE ROOM TEMP 10CC," 3,260.81 "
ALLOGRAFT PASTE ROOM TEMP 5CC," 1,949.06 "
ALLOGRAFT PIP 2.0X15MM," 4,470.00 "
ALLOGRAFT PIP 2.7X18MM," 4,470.00 "
ALLOGRAFT REGEN 200X160MM SNG," 27,159.00 "
ALLOGRAFT REVITA 2X12CM," 2,722.50 "
ALLOGRAFT REVITA 4X6CM," 5,885.00 "
ALLOGRAFT SEMITENDINOSUS 20CM," 3,388.00 "
ALLOGRAFT THERASKIN LARGE," 3,346.75 "
ALLOGRAFT THERASKIN LG 3X6," 8,516.75 "
ALLOGRAFT THERASKIN SM 6 SQ CM," 2,392.50 "
ALLOGRAFT THERASKIN SMALL," 2,714.25 "
ALLOGRAFT VIACELL 10CC," 10,450.00 "
ALLOGRAFT VIACELL 1CC," 1,278.75 "
ALLOGRAFT VIACELL 5CC," 5,362.50 "
ALLOPATCH HD THCK 1.8-4X5X5CM," 4,431.02 "
ALLOPATCH HD THCK 4 X 8," 4,687.54 "
ALLOPATCH HD THCK 5X5X.08-1.7," 4,019.62 "
ALLOPATCH HD ULTRA 4CMX8CM," 5,638.60 "
allopurinol 100 mg Tab, 2.77 
allopurinol 100 mg tablet, 2.00 
allopurinol 300 mg Tab, 2.77 
ALPHA FETOPROTEIN (TUMOR MARK), 111.00 
ALPHA-1-ANTITRYPSIN, 50.00 
ALPHA1-ANTITRYPSIN PHENOTYPE, 58.83 
ALPHA1-ANTITRYPSIN-RL, 50.00 
alprazolam 0.25 mg, 2.00 
ALPRAZolam 0.25 mg tablet, 2.02 
ALPRAZolam 0.5 mg disintegrating tablet, 4.08 
ALPRAZolam 0.5 mg tablet, 2.00 
ALPRAZolam 1 mg tablet, 2.52 
alprostadil 500 mcg/mL injection solution, 426.87 
ALT SGPT, 42.00 
alteplase," 2,851.32 "
alteplase 100 mg intravenous solution," 25,661.85 "
alteplase 2 mg intra-catheter solution, 551.02 
ALTRUA 20 DR EL," 9,770.75 "
ALTRUA 40 DR EL," 10,425.25 "
aluminum-mag hydroxide-simethicone 200 mg-200 mg-20 mg/5 mL oral susp, 3.10 
aluminum-mag hydroxide-simethicone 400 mg-400 mg-40 mg/5 mL oral susp, 5.41 
alvimopan 12 mg capsule, 566.53 
amantadine HCl 100 mg capsule, 6.14 
AMIKACIN, 38.00 
"amikacin 1,000 mg/4 mL injection solution", 10.00 
amikacin 500 mg/2 mL injection solution, 22.06 
aMILoride 5 mg tablet, 2.94 
amino acid 4.25 % in 10 % dextrose intravenous solution, 120.00 
amino acid 4.25 % in dextrose 5 % intravenous solution, 120.00 
amino acid 5 % in 20 % dextrose intravenous solution, 258.00 
AMINO ACID PLASMA - RL, 207.00 
amino acids 4.25 % with lytes and calcium in D10W intravenous solution, 150.00 
amino acids 4.25 % with lytes and calcium in D5W intravenous solution, 174.00 
aminocaproic acid 500 mg tablet, 46.91 
aminophylline 250 mg/10 mL intravenous solution, 40.92 
aminophylline 500 mg/20 mL intravenous solution, 25.20 
amiodarone 100 mg tablet, 48.91 
"amiodarone 150 mg/100 mL (1.5 mg/mL) in dextrose, iso-osmotic IV", 124.80 
amiodarone 200 mg tablet, 12.91 
"amiodarone 360 mg/200 mL (1.8 mg/mL) in dextrose, iso-osmotic IV", 166.20 
amiodarone 50 mg/mL intravenous solution, 11.02 
AMIOGRAFT 3.5 X 3.5," 2,406.25 "
amitriptyline 10 mg tablet, 2.00 
amitriptyline 25 mg tablet, 2.00 
amitriptyline 50 mg tablet, 2.59 
amLODIPine 10 mg tablet, 2.46 
amLODIPine 2.5 mg tablet, 3.60 
amLODIPine 5 mg tablet, 3.26 
amLODIPine 5 mg-benazepril 10 mg capsule, 8.12 
amLODIPine 5 mg-benazepril 20 mg capsule, 8.58 
ammonia aromatic 15 % (w/v) solution for inhalation, 2.00 
"AMMONIA, BLOOD", 89.00 
ammonium lactate 12 % lotion, 14.18 
amoxicillin 200 mg-potassium clavulanate 28.5 mg/5 mL oral suspension, 47.25 
amoxicillin 250 mg/5 mL oral suspension, 11.57 
amoxicillin 500 mg capsule, 2.00 
amoxicillin 500 mg-potassium clavulanate 125 mg tablet, 11.36 
amoxicillin 600 mg-potassium clavulanate 42.9 mg/5 mL oral suspension, 155.48 
amoxicillin 875 mg tablet, 2.38 
amoxicillin 875 mg-potassium clavulanate 125 mg tablet, 15.16 
"AMPHETAMINES CONFIRM, UR", 61.00 
"AMPHETAMINES CONFIRMATION, MECONIUM", 153.00 
AMPHIPHYSIN AB, 46.00 
amphotericin B 50 mg solution for injection, 136.80 
ampicillin 1 gram solution for injection, 43.92 
"ampicillin 1 gram Solution for Injection,ampicillin 1 gram intravenous solution", 40.72 
ampicillin 2 gram solution for injection, 45.28 
"ampicillin 2 gram Solution for Injection,ampicillin 2 gram intravenous solution", 95.96 
ampicillin 250 mg solution for injection, 11.77 
ampicillin 500 mg capsule, 2.00 
ampicillin 500 mg solution for injection, 12.13 
ampicillin-sulbactam 1.5 gram solution for injection, 33.00 
ampicillin-sulbactam 3 gram solution for injection, 37.54 
ampiicillin-sulbactam 3 gram Solution for Injection, 97.36 
AMPLATZER.035 SUPER STIFF INT, 206.00 
amyl nitrite 0.3 mL solution for inhalation, 2.00 
AMYLASE, 53.00 
ANA TITER, 43.79 
ANAEROBIC ORG ID DEFIN. EACH, 101.00 
anastrozole 1 mg tablet, 19.96 
ANCHOR 4.5 BIO COM TT," 1,010.00 "
ANCHOR 4.5 HELIX ADV BR 3 SUT," 1,010.00 "
ANCHOR 4.5 HELIX ADV ORTHOCORD," 1,010.00 "
ANCHOR 4.75MM HEALIX KNOTLESS, 206.00 
ANCHOR 5.5MM CROSSFIT-BC," 1,010.00 "
ANCHOR 5.5MM GENESYS #2," 1,010.00 "
ANCHOR 6.5MM CROSSFT-BC," 1,010.00 "
ANCHOR ARTHREX 3.5MM, 620.00 
ANCHOR BIOCOMP SWVLLOK," 1,010.00 "
ANCHOR BIOCOMP W/3 SUTURES," 1,010.00 "
ANCHOR BIOCOMPOSITE 2.9X15.5MM," 1,010.00 "
ANCHOR BIO-CORKSCREW SUTURE, 620.00 
ANCHOR BIOPEEK PUSH-LCK 3.5X14," 1,010.00 "
ANCHOR BIOSTEON INTRALINE 5.5M, 206.00 
ANCHOR BONE ARTHSCP DEL SYS," 1,720.00 "
ANCHOR CINCHLOCK SS KNOTLESS," 1,010.00 "
ANCHOR DBL LOAD 4.75MM SWVLK," 1,010.00 "
ANCHOR DX SWIVELOCK SL 3.5X8," 1,010.00 "
ANCHOR FIXATION FEMORAL/TIBIAL, 620.00 
ANCHOR FOOTPRINT 5.5, 620.00 
ANCHOR FOREHEAD ENDOTINE 3.5, 620.00 
ANCHOR FOREHEAD ULTRATINE 3.0, 620.00 
ANCHOR FORKED TIP 7MM PEEI," 1,010.00 "
ANCHOR GRYPHON W/ORTHOCORD," 1,010.00 "
ANCHOR HEALICOIL 5.5MM," 1,010.00 "
ANCHOR HEALIX 5.5 ADV BR3," 1,010.00 "
ANCHOR HEALIX 5.5 W/NEEDLE," 1,010.00 "
ANCHOR HEALIX 5.5 W/ORTHOCORD," 1,010.00 "
ANCHOR HEALIX BR 6.5," 1,010.00 "
ANCHOR HTO IBALANCE 28MM CANC, 620.00 
ANCHOR HTO IBALANCE 36MM CORT, 620.00 
ANCHOR HTO IBALANCE 40MM CORT, 620.00 
ANCHOR HTO IBALANCE 44MM CORT, 620.00 
ANCHOR HTO IBALANCE CANC 32MM, 620.00 
ANCHOR HTO IBALANCE CORT 46MM, 620.00 
ANCHOR ICONIX ALL-SUTURE 1.4MM," 1,010.00 "
ANCHOR ICONIX ALL-SUTURE 2.3MM, 206.00 
ANCHOR JUGGERKNOT RIG SH SZ1," 1,010.00 "
ANCHOR KIT 50-ZINC SCREW, 206.00 
ANCHOR KNOTILUS 3.5MM," 1,010.00 "
ANCHOR LEAD CINCH, 44.00 
ANCHOR LEAD NEROSTIMLTR CLIK X," 1,010.00 "
ANCHOR LEAD NEUROSTIMULATION, 206.00 
ANCHOR MICRO QA 4/0 ETH P3 BIT," 1,010.00 "
ANCHOR OTSC TT 165CM," 1,010.00 "
ANCHOR OTSC TT 220CM," 1,010.00 "
ANCHOR PANALOCK W#2PANCRYL," 1,010.00 "
ANCHOR PANALOCK W/ETHIBOND 0," 1,010.00 "
ANCHOR PEEK ZIP 5.5MM, 620.00 
ANCHOR PLUS SUPER QUICK DS," 1,010.00 "
ANCHOR POPLOK 3.5 W/2 HIFI SUT, 620.00 
ANCHOR QK 1.6MMX2.7MM 4/0," 1,010.00 "
ANCHOR QUATTRO LINK 2.9MM," 1,010.00 "
ANCHOR QUICJ GII," 1,010.00 "
ANCHOR QUICK MICROFIX PLUS," 1,010.00 "
ANCHOR QUICKANCHOR MICRO SUTUR," 1,010.00 "
ANCHOR REELX, 206.00 
ANCHOR REELX STT 4.5MM KNOTLES," 1,010.00 "
ANCHOR SU BC CORKSCREW 5.5MM," 1,010.00 "
ANCHOR SUT 2S YKNOT RC HIFI," 1,010.00 "
ANCHOR SUT 3S YKNOT RC HIFI," 1,010.00 "
ANCHOR SUT BC CRKSCR 4.5X14MM," 1,010.00 "
ANCHOR SUT FIBERTAK 1.8 KNTLS," 1,010.00 "
ANCHOR SUT FT BIOCRKSCR 5.5MM," 1,010.00 "
ANCHOR SUT FT BIOCRKSCR 6.5MM," 1,010.00 "
ANCHOR SUT PEEK PUSHLOCK 2.9MM, 206.00 
ANCHOR SUT PUSHLOCK 2.9X15.5MM, 206.00 
ANCHOR SUT QUATTRO KNTLS 4.5MM," 1,010.00 "
ANCHOR SUTR S-TAK PEEK 3X12.7M," 1,010.00 "
ANCHOR SUTU SFT TISS SZ2 3.5MM, 620.00 
ANCHOR SUTURE 4.5 X 18.5MM," 1,720.00 "
ANCHOR SUTURE 4.75 X 24.5MM," 1,010.00 "
ANCHOR SUTURE 45MM BIOCOMP," 1,010.00 "
ANCHOR SUTURE ACHILLES," 3,610.50 "
ANCHOR SUTURE BIO 2MM," 1,010.00 "
ANCHOR SUTURE BIOCOMPOSITE," 1,010.00 "
ANCHOR SUTURE BIO-CORK 5.5MM," 1,010.00 "
ANCHOR SUTURE BIO-CORKSCREW, 620.00 
ANCHOR SUTURE BIORAPTOR 2.3MM, 620.00 
ANCHOR SUTURE FASTAK 2.4X7.5MM, 620.00 
ANCHOR SUTURE FIBERTAK 1.5MM," 1,010.00 "
ANCHOR SUTURE FT 6.5 X 15MM, 620.00 
ANCHOR SUTURE FULL 5.5 MM," 1,010.00 "
ANCHOR SUTURE FULL SZ 2, 620.00 
ANCHOR SUTURE GENESYS 4.5MM," 1,010.00 "
ANCHOR SUTURE GRYPHON BR," 1,010.00 "
ANCHOR SUTURE HEALICOIL 4.5MM," 1,010.00 "
ANCHOR SUTURE HEALIX 4.75MM," 1,010.00 "
ANCHOR SUTURE HEALIX BR 5.5 MM, 608.00 
ANCHOR SUTURE HEALIX BR 5.5MM," 1,010.00 "
ANCHOR SUTURE HEALIX BR 6.5MM," 1,010.00 "
ANCHOR SUTURE KNOTLESS," 1,010.00 "
ANCHOR SUTURE LUPINE BR 2-0 VI," 1,010.00 "
ANCHOR SUTURE MICRO 3-0 1.3MM," 1,010.00 "
ANCHOR SUTURE MULTIFIX 5.5MM," 1,010.00 "
ANCHOR SUTURE OSTEORAPTOR 2.3," 1,010.00 "
ANCHOR SUTURE OSTEORAPTOR 2.9," 1,010.00 "
ANCHOR SUTURE PEEK MINI LOCK," 1,010.00 "
ANCHOR SUTURE POPLOK 4.5MM, 620.00 
ANCHOR SUTURE PUSHLOK 2.9X12.5," 1,010.00 "
ANCHOR SUTURE Q FIX 1.8MM," 1,010.00 "
ANCHOR SUTURE QUICK MINI #2, 206.00 
ANCHOR SUTURE RAPTOR 2.3MM, 620.00 
ANCHOR SUTURE SOFT TISSUE, 620.00 
ANCHOR SUTURE SWIVILOK 8MM," 1,010.00 "
ANCHOR SUTURE SZ 0 OS2," 1,010.00 "
ANCHOR SUTURE TENDSIS SWL 9MM," 1,010.00 "
ANCHOR SUTURE V4 3-0 1.3MM," 1,010.00 "
ANCHOR SUTURE Y KNOT 1.3MM, 620.00 
ANCHOR SUTURE Y KNOT 2MM," 1,010.00 "
ANCHOR SUTURE YKNOT FLX 1.3MM," 1,010.00 "
ANCHOR SUTURETAK 3MM BC, 206.00 
ANCHOR SUTURETAK BIOCOMP SMALL," 1,010.00 "
ANCHOR TENDON 8," 1,010.00 "
ANCHOR TENOLOK TENODESIS 5.0MM," 1,010.00 "
ANCHOR TOGGLE BOLT .25 20, 206.00 
ANCHOR TUBING ADHESIVE, 206.00 
ANCHOR VERSALOK W/ORTHOCORD," 1,010.00 "
ANCHR BIOCOMPOSITE TIGERTL 4.5," 1,010.00 "
ANCHR SUTURE 4.5MM CROSSFT," 1,010.00 "
ANDROSTENEDIONE, 110.00 
ANESTHESIA 1ST 15 MINUTES, 212.00 
ANGIOCATH 5.0FR C2 SLIPCATH, 87.31 
ANGIOSCULPT 2.5 X 20," 2,751.00 "
ANGIOSCULPT OTW PTA 4X100X137," 2,751.00 "
ANGIOSCULPT OTW PTA 5X100X137," 2,751.00 "
ANGIOSCULPT OTW PTA 6X100X137," 2,751.00 "
ANGIOSCULPT OTW PTA 6X200X137," 2,751.00 "
ANGIOTESIN CONV ENZ, 75.00 
ANKLE 3 VIEWS, 200.00 
ANKLE BRACHIAL INDEX W/EXERCIS, 272.00 
ANKLE BRANCHIAL INDEX, 275.00 
"ANSER ADA ANALYSIS, SUBSEQUENT", 400.00 
ANTENNA EX NRV STIM, 220.00 
ANTI MITOCHONDRIAL AB TITER, 44.00 
ANTI MULLERIAN HORMONE, 115.00 
ANTI PARIETAL CELLAB, 46.00 
ANTI THYROGLOBULIN AB, 60.00 
ANTI-ADALIMUMAB ANTIBODY, 242.00 
ANTIBIOTIC GRADIENT-EACH AGENT, 18.63 
ANTIBODY TITER, 89.00 
ANTICARDIOLIPIN AB IGA, 44.00 
ANTICARDIOLIPIN AB IGG, 44.00 
ANTICARDIOLIPIN AB IGM, 44.00 
ANTIGEN SCREEN, 25.17 
"ANTI-GLIAL NUCLEAR AB, TYPE 1", 46.00 
antihemophilic factor 401 unit-800 unit intravenous powdr for solution," 3,830.40 "
"antihemophilic factor 801 unit-1,500 unit intravenous powder for soln"," 7,182.00 "
"antihemophilic factor-vWF 1,000 unit-2,400 unit intravenous solution"," 11,318.40 "
antihemophilic factor-vWF 250 unit-600 unit intravenous solution," 2,829.60 "
"antihemophilic factor-vWF 500 unit-1,200 unit intravenous solution"," 5,659.20 "
ANTI-INFLIXIMAB ANTIBODY, 202.00 
ANTIJO1 ANTIBODY, 44.00 
ANTI-LIVER-KIDNEY MICROSOME AB, 67.00 
"ANTI-NEURONAL NUC AB, TYPE 1", 46.00 
"ANTI-NEURONAL NUC AB, TYPE 2", 46.00 
"ANTI-NEURONAL NUC AB, TYPE 3", 46.00 
ANTI-NEUTROPHIL CYTOPLASMIC AB, 43.00 
ANTI-NUCLEAR AB(ANA), 46.00 
ANTI-NUCLEAR DNA AB, 65.00 
ANTI-SMOOTH MUSC AB, 46.00 
ANTI-STREPTOLYSIN O TITER, 50.00 
ANTITHROMBIN III, 119.00 
antithrombin III (human) 500 (+/-) unit intravenous solution," 6,984.00 "
ANTI-USTEKINUMAB AB, 148.00 
ANVIL ACCESSORY 21MM DST, 594.83 
ANVIL ACCESSORY 25MM DST, 594.83 
apixaban 2.5 mg tablet, 25.14 
apixaban 5 mg tablet, 12.57 
"APOLIPOPROTEIN, EACH", 53.00 
APPL DEPUY MITEK MENISCAL, 533.50 
APPLICATION OF UNNA BOOT, 486.00 
"APPLICATION, CAST, SHORT LEG", 260.00 
"APPLICATION, SPLINT, LOWER LEG", 160.00 
"APPLICATION, SPLINT, SHORT ARM, STATIC", 260.00 
APPLICATOR ACCU2I 14CM," 10,161.25 "
APPLICATOR ACCU2I 29CM," 10,161.25 "
APPLICATOR ENDOSCOPIC, 122.98 
APPLICATOR ERBE JET 65MM," 1,086.25 "
APPLICATOR LAPAROSCOPIC EXTEND, 201.30 
APPLICATOR MEDICAL 18G CP., 13.75 
APPLICATOR TIP FLOSEAL MATRIX, 565.21 
APPLIER CLIP 8IN," 4,096.40 "
APPLIER CLIP ENDO LIGAMAX 5MM, 408.65 
APPLIER CLIP ENDO MED/LG 10MM, 233.34 
APPLIER CLIP EPIX UNIV 5X34, 233.75 
APPLIER CLIP HEM O LOK," 3,850.00 "
APPLIER CLIP LIAGCLIP 9.375IN, 137.69 
APPLIER CLIP RAINEY," 1,061.45 "
APPLIER ENDOSCOP HEMO-LOK MLX," 2,799.72 "
APPLIER HEMOCLIP CRVD Y SLOT 8, 272.25 
APPLIER HEMOCLIP MEDIUM 8 INCH, 272.25 
APPLIER L W/LG CLIP, 257.76 
APPLIER LIGACLIP LG 13IN, 139.23 
APPLIER LIGACLIP MED 11IN, 137.69 
APPLIER LIGACLIP SM 9.38IN, 137.09 
APPLIER LIGACLIP W/MECH STOP, 219.09 
APPLIER LIGATION CLIP GREEN, 687.50 
APPLIER M W/MED CLIP, 257.76 
APPLIER ML W/MED-LG TI CLIPS, 257.76 
APPLY FINGER SPLINT, 260.00 
APPLY LONG ARM SPLINT, 260.00 
APPLY LONG LEG SPLINT, 160.00 
APPLY MULTILAY COMPRS LWR LEG, 450.00 
arformoterol 15 mcg/2 mL solution for nebulization, 58.25 
argatroban 1 mg/mL in 0.9 % sodium chloride intravenous solution," 2,137.25 "
argatroban 100 mg/mL intravenous solution," 3,341.07 "
ARIPiprazole 10 mg tablet, 48.52 
ARIPiprazole 2 mg tablet, 99.87 
ARIPiprazole 5 mg tablet, 40.65 
"ARIPiprazole ER 400 mg intramuscular suspension,extended release"," 7,448.98 "
