SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Cardiology,ICD EVAL CRT TV W/PROG IN PERSON,$783.25 
Cardiology,ICD EVAL DC TV W/PROG IN PERSON,$783.25 
Cardiology,ICD EVAL PERI-PROCEDURAL,$641.25 
Cardiology,ICD EVAL SC TV W/PROG IN PERSON,$712.00 
Cardiology,ICD TRNVEN INTERROG W/O PROG IN-PERSON,$481.00 
Cardiology,ILR INTERROG W/ PROG IN-PERSON,$420.75 
Cardiology,ILR/ICM INTERROG REMOTE,$420.75 
Cardiology,IMPLANT LOOP REC INTERROG IN-PERSON,$420.75 
Cardiology,INDUCE ARRHYTHMIA VIA ELECTRICAL PACING,$894.00 
Cardiology,INJ CONDUIT/GRAFT 1+ CORN ART CNG W/S&I,"$3,305.50 "
Cardiology,INJ LT VENTRICULAR/ATRIAL ANGIO W/ S&I,"$2,137.25 "
Cardiology,INJ PULMONARY ANGIO W/ S&I,"$1,640.00 "
Cardiology,INJ RT VENTRICULAR/ATRIAL ANGIO W/ S&I,"$2,137.25 "
Cardiology,INJ SELECT CORONARY ANGIO CONGEN W/ S&I,"$4,486.00 "
Cardiology,INJ SUPRAVALVULAR AORTOGRAPHY W/ S&I,"$1,524.75 "
Cardiology,INSERT IABP,"$6,278.25 "
Cardiology,INSERT IABP,"$6,278.25 "
Cardiology,INSERTION OF IMPELLA DEVICE,"$19,385.25 "
Cardiology,INSRT VENTR ASST DVC ART ACCESS W/ S&I,"$7,534.00 "
Cardiology,INSRT VENTR ASST DVC ART/VEN ACES W/S&I,"$8,161.75 "
Cardiology,IVUS DOPPLER FLOW W/ MEASURE INIT VESSL,"$3,387.50 "
Cardiology,IVUS DOPPLER FLOW W/MEASUR EA ADD VESSL,"$2,206.00 "
Cardiology,IVUS HEART W/ DX/TX  EA ADL VESSL,"$3,695.50 "
Cardiology,IVUS/OCT HEART W/ DX/TX INIT VESSEL,"$7,501.25 "
Cardiology,LEFT ATRIAL APPENDAGE OCCLUSION,"$7,618.75 "
Cardiology,LHC CORN ANGIO LT VENTRIC GRAFT W/ S&I,"$15,773.00 "
Cardiology,LHC CORN ANGIO LT VENTRICULGRPHY W/ S&I,"$16,559.00 "
Cardiology,LHC TRANSSEPTAL/TRANSAPICAL PUNCTURE,"$8,855.25 "
Cardiology,LHC W/ LT VENTRICULOGRAPHY INJ W/ S&I,"$12,325.00 "
Cardiology,MAPPING 3-D INTRACARDIAC EP,"$8,989.25 "
Cardiology,MAPPING INTRAVENTRICULAR/ATRIAL,"$5,000.00 "
Cardiology,MCT W/ EKG RECORD 30 DAY EVENT,"$2,420.25 "
Cardiology,MYOCARDIAL STRAIN IMAGING,$754.50 
Cardiology,MYOCRD CONTRAST PRFUJ ECHO,$50.00 
Cardiology,PACER EVAL DC W/ PROG IN-PERSON,$632.25 
Cardiology,PACER EVAL PERI-PROCEDURAL,$489.50 
Cardiology,PACER EVAL SC W/ PROG IN-PERSON,$393.00 
Cardiology,PACER EVAL TRANSTELEPHONIC,$360.00 
Cardiology,PACER INTERROG W/O PROG IN-PERSON,$491.00 
Cardiology,PACER MULTI-LEAD W/PROG IN-PERSON,$632.25 
Cardiology,PACING INTRA-ATRIAL,"$4,800.00 "
Cardiology,PACING INTRAVENTRICULAR,"$4,800.00 "
Cardiology,PHYSIOLOGIC EXER STUDY W/HEMODYN ASSESS,"$8,639.25 "
Cardiology,PLACE DES EA ADL BRANCH CORONARY ARTERY,"$23,871.00 "
Cardiology,PLACE DES SINGLE CORONARY ARTERY/BRANCH,"$23,013.00 "
Cardiology,PLACE STENT HEART EA ADL BRANCH COR ART,"$18,789.00 "
Cardiology,PLACE STENT HEART SGL COR ARTERY/BRANCH,"$18,789.00 "
Cardiology,PLACEMENT OF VASCULAR CLOSURE DEVICE,"$1,143.00 "
Cardiology,PTA PULMONARY ART BALLOON EA ADD VESSEL,"$6,906.75 "
Cardiology,PTA PULMONARY ART BALLOON SINGLE VESSEL,"$9,821.00 "
Cardiology,PTCA EA ADL BRANCH CORONARY ARTERY,"$9,334.00 "
Cardiology,PTCA SINGLE CORONARY ARTERY/BRANCH,"$14,747.50 "
Cardiology,RECORDING BUNDLE OF HIS,"$4,800.00 "
Cardiology,RECORDING INTRA ATRIAL,"$4,800.00 "
Cardiology,RECORDING RIGHT VENTRICULAR,"$2,222.75 "
Cardiology,REMOVAL VENTRICULAR ASSIST DEVICE,"$6,278.25 "
Cardiology,REVAS ACUTE  OCCL SNT/ATHR/PTCA SGL VSL,"$18,789.00 "
Cardiology,REVASC ACUTE OCCL DES/ATHR/PTCA SGL VSL,"$23,871.00 "
Cardiology,REVASC CHRON OCCL DES/ATHR/PTCA EA AD,"$23,871.00 "
Cardiology,REVASC CHRON OCCL DES/ATHR/PTCA SGL VSL,"$23,871.00 "
Cardiology,REVASC CHRON OCCL SNT/ATHR/PTCA SGL VSL,"$18,789.00 "
Cardiology,REVASC CHRON OCCL STNT/ATHR/PTCA EA AD,"$18,789.00 "
Cardiology,REVASC GRAFT DES/ATHER/PTCA EA AD BRNCH,"$23,871.00 "
Cardiology,REVASC GRAFT DES/ATHER/PTCA SGL VESSL,"$23,871.00 "
Cardiology,REVASC GRAFT STENT/ATHER/PTCA SGL VESSL,"$18,789.00 "
Cardiology,REVASC GRAFT STNT/ATHR/PTCA EA AD BRNCH,"$18,789.00 "
Cardiology,RHC & LHC EXIST SEPTL OPN CONG ANOMLY,"$7,510.25 "
Cardiology,RHC & LHC FOR CONGENITAL ANOMALIES,"$7,688.75 "
Cardiology,RHC & LHC INTACT SEPTUM CONG ANOMLY,"$9,279.25 "
Cardiology,RHC CORONARY ANGIO GRAFT W/ S&I,"$17,500.00 "
Cardiology,RHC CORONARY ANGIO S&I W/ S&I,"$16,330.45 "
Cardiology,RHC FOR CONGENITAL ANOMALIES,"$6,000.00 "
Cardiology,RHC W/O2 SAT MEASURE & CARDIAC OUTPUT,"$8,279.50 "
Cardiology,RHYTHM ECG 1-3 LEADS TRACING ONLY,$198.00 
Cardiology,RT HT CATH W IMPLNT WIRELESS PA SENSOR,"$3,940.50 "
Cardiology,RT&LHC CORN ANGIO LT VENT W/ S&I,"$18,689.75 "
Cardiology,RT&LHC CORN ANGIO LV GRAFT W/ S&I,"$18,142.00 "
Cardiology,RT&LHC W/ LT VENTRICULOGRAPHY INJ W/S&I,"$13,067.25 "
Cardiology,SCREENING EKG MEDICARE INITIAL,$367.25 
Cardiology,SEPTECTOMY/SEPTOSTOMY BALLOON,"$6,088.25 "
Cardiology,SEPTECTOMY/SEPTOSTOMY BLADE,"$7,137.50 "
Cardiology,STIMULATION PROGRAMMED & PACING W/ DRUG,"$8,852.00 "
Cardiology,STRESS TEST TRACING ONLY,"$1,200.00 "
Cardiology,SWAN INSERT AND PLACEMENT,"$2,231.25 "
Cardiology,T-WAVE ALTERNANS FOR VENT ARRHYTHMIAS,$987.25 
Cardiology,TEE CONGENITAL CARD ANOMALY IMAGE,"$2,287.50 "
Cardiology,TEE CONGENITAL CARD ANOMALY PROBE/IMAGE,"$2,169.50 "
Cardiology,TEE IMAGE ACQUISITION,"$1,623.25 "
Cardiology,TEE MONITORING,"$2,248.50 "
Cardiology,TEE RT INTRACARD TRANSCATH/GRT VESS,"$12,900.00 "
Cardiology,THROMBECTOMY HEART PERCUT MECHNICAL,"$3,178.00 "
Cardiology,TILT TABLE EVALUATION,"$2,464.50 "
Cardiology,TRANSCATH CLOSURE LEAK INITIAL,"$45,252.00 "
Cardiology,TRANSCATHETER AORTIC VALVE REPLACEMENT,"$10,250.00 "
Cardiology,TRANSCATHETER VALVE REPAIR,"$7,618.75 "
Cardiology,TRANSESOPHAGEAL ECHO,"$3,418.25 "
Cardiology,TRANSESOPHAGEAL ECHO W/W/O CONTRAST,"$4,515.75 "
Cardiology,TRANSTHORACIC ECHO COMPLETE,"$1,821.75 "
Cardiology,TRANSTHORACIC ECHO FOLLOW UP/LIMITED,"$1,319.50 "
Cardiology,TRANSTHORACIC ECHO STRESS TEST ONLY,"$2,807.00 "
Cardiology,TRANSTHORACIC ECHO W/ DOPPLER COMPLETE,"$2,679.00 "
Cardiology,TRANSTHORACIC ECHO W/O DOPPLER COMPLETE,"$1,483.50 "
Cardiology,TRANSTHORACIC ECHO W/W/O CONTRAST LIMIT,"$2,761.75 "
Cardiology,TTE FOLLOW-UP/LIMITED W/M-MODE RECORD,$754.50 
Cardiology,TTE STRESS W/W/O CONTRAST,"$1,983.50 "
Cardiology,TTE W/W/O CONTRAST DOPPLER COMPLETE,"$2,860.75 "
Cardiology,TTE W/W/O CONTRAST W/O DOPPLR COMPLETE,"$4,100.75 "
Cardiology,VALVULOPLASTY AORTIC VALVE,"$7,227.50 "
Cardiology,VALVULOPLASTY MITRAL VALVE,"$16,970.00 "
Cardiology,VALVULOPLASTY PULMONARY VALVE,"$9,821.00 "
Clinic Services,ACUPUNCTURE EA ADDL 15 MIN,$16.00 
Clinic Services,ACUPUNCTURE EA ADDL15 MIN W/ ELECT STIM,$35.00 
Clinic Services,ACUPUNCTURE INIT 15 MIN W/ ELECT STIM,$85.00 
Clinic Services,ACUPUNCTURE INITIAL 15 MIN,$71.25 
Clinic Services,ADMIN VACCINE EA ADL VACCINE,$56.25 
Clinic Services,ADMIN VACCINE ONE VACCINE,$56.25 
Clinic Services,ADMINISTRATION HEPATITIS B VACCINE,$56.25 
Clinic Services,ADMINISTRATION INFLUENZA VACCINE,$56.25 
Clinic Services,ADMINISTRATION PNEUMOCOCCAL VACCINE,$56.25 
Clinic Services,ALCOHOL/ SUBSTANCE ASSESS >30 MIN,$130.50 
Clinic Services,ALCOHOL/ SUBSTANCE ASSESS 15-30 MIN,$72.50 
Clinic Services,ALLERGEN IMMUNOTHERAPY 1 INSECT VENOM,$88.00 
Clinic Services,ALLERGEN IMMUNOTHERAPY 2 INSECT VENOM,$114.00 
Clinic Services,ALLERGEN IMMUNOTHERAPY 2+ INJ,$65.00 
Clinic Services,ALLERGEN IMMUNOTHERAPY 3 INSECT VENOM,$137.75 
Clinic Services,ALLERGEN IMMUNOTHERAPY 4 INSECT VENOM,$166.75 
Clinic Services,ALLERGEN IMMUNOTHERAPY SING/MULT,$66.00 
Clinic Services,ALLERGEN IMMUNOTHERAPY SINGLE INJ,$54.00 
Clinic Services,ALLERGEN IMMUNOTHERAPY W/EXTRACT 2+ INJ,$70.00 
Clinic Services,ALLERGY TEST W/VENOM IMMED TYPE RXN I&R,$76.50 
Clinic Services,ALLRGY TST W/DRUG/BIO IMMED TYP RXN I&R,$76.50 
Clinic Services,APPLY CAST LONG LEG,$437.00 
Clinic Services,CONTACT LENS FITTING TX OCULAR DISEASE,$190.00 
Clinic Services,CONTACT LENS INIT FIT MGNT KERATOCONUS,$190.00 
Clinic Services,DEBRIDE OPEN WOUND <= 20 SQ CM,235
Clinic Services,DEBRIDE OPEN WOUND EA ADDL 20 SQ CM,275.75
Clinic Services,DEBRIDEMENT NON SELECTIVE EA SESSION,$199.75 
Clinic Services,DIABETES MGMNT TRAIN GRP SESSION 30 MIN,$77.25 
Clinic Services,DIABETES MGMNT TRAIN INDIVIDUAL 30 MIN,$126.00 
Clinic Services,ED ADMIN VACCINE ONE VACCINE,$56.25 
Clinic Services,GENETIC COUNSELING 30 MIN,$152.00 
Clinic Services,INGESTION CHALLENGE TEST EA ADDL 60 MIN,$422.25 
Clinic Services,INGESTION CHALLENGE TEST INIT 120 MIN,$930.50 
Clinic Services,INTRANASAL IMMUNIZATION ADMINISTRATION,$55.00 
Clinic Services,INTRAQ W/ ALLERENIC EXTR IMMED TYPE RXN,$76.75 
Clinic Services,MED NUTRITION THER INITIAL EA 15 MIN,$57.50 
Clinic Services,MED NUTRITION THER RE-ASSESS EA 15 MIN,$50.00 
Clinic Services,MED NUTRITION THERAPY GROUP EA 30 MIN,$63.25 
Clinic Services,NEG PRESSURE WND TX W/ DME <= 50 SQ CM,$177.50 
Clinic Services,NEG PRESSURE WND TX W/ DME > 50 SQ CM,$220.50 
Clinic Services,OP PROLONGED CARE OFFICE 1ST HOUR,$105.00 
Clinic Services,OP PROLONGED CARE OFFICE EA ADD 30 MIN,$50.50 
Clinic Services,OP VISIT LEVEL 1 ESTABLISHED PATIENT,$108.00 
Clinic Services,OP VISIT LEVEL 1 ESTABLISHED PATIENT,$108.00 
Clinic Services,OP VISIT LEVEL 1 NEW PATIENT,$106.00 
Clinic Services,OP VISIT LEVEL 1 NEW PATIENT,$106.00 
Clinic Services,OP VISIT LEVEL 2 ESTABLISHED PATIENT,$111.00 
Clinic Services,OP VISIT LEVEL 2 ESTABLISHED PATIENT,$111.00 
Clinic Services,OP VISIT LEVEL 2 NEW PATIENT,$110.50 
Clinic Services,OP VISIT LEVEL 2 NEW PATIENT,$110.50 
Clinic Services,OP VISIT LEVEL 3 ESTABLISHED PATIENT,$117.50 
Clinic Services,OP VISIT LEVEL 3 ESTABLISHED PATIENT,$117.50 
Clinic Services,OP VISIT LEVEL 3 NEW PATIENT,$124.50 
Clinic Services,OP VISIT LEVEL 3 NEW PATIENT,$124.50 
Clinic Services,OP VISIT LEVEL 4 ESTABLISHED PATIENT,$143.25 
Clinic Services,OP VISIT LEVEL 4 ESTABLISHED PATIENT,$143.25 
Clinic Services,OP VISIT LEVEL 4 NEW PATIENT,$158.25 
Clinic Services,OP VISIT LEVEL 4 NEW PATIENT,$158.25 
Clinic Services,OP VISIT LEVEL 5 ESTABLISHED PATIENT,$187.00 
Clinic Services,OP VISIT LEVEL 5 ESTABLISHED PATIENT,$187.00 
Clinic Services,OP VISIT LEVEL 5 NEW PATIENT,$212.50 
Clinic Services,OP VISIT LEVEL 5 NEW PATIENT,$212.50 
Clinic Services,PELVIC/BREAST EXAM SCREEN CANCER,$120.00 
Clinic Services,PERQ W/ALLERGENIC EXTR IMMED TYPE RXN,$94.25 
Clinic Services,PREVENTIVE MED EST PAT AGE 18-39,$170.00 
Clinic Services,PREVENTIVE MED EST PATIENT AGE 40-64,$170.00 
Clinic Services,PREVENTIVE MED EST PATIENT AGE 65+,$170.00 
Clinic Services,PREVENTIVE MED NEW PAT AGE 18-39,$188.00 
Clinic Services,PREVENTIVE MED NEW PATIENT AGE 40-64,$188.00 
Clinic Services,PREVENTIVE MED NEW PATIENT AGE 65+,$188.00 
Clinic Services,PREVENTIVE MEDICINE COUNSEL IND 45 MINS,$252.00 
Clinic Services,PROLONG CLINCL STAFF SVC 1ST HOUR,$94.50 
Clinic Services,PROLONG CLINCL STAFF SVC EA ADD 30 MIN,$45.50 
Clinic Services,RAPID DESENSITIZATION PROC EACH HR,$202.25 
Clinic Services,SCREENING PROSTATE CANCER,$29.00 
Clinic Services,SMOKE/TOBACCO COUNSELING >10MIN,$79.00 
Clinic Services,SMOKE/TOBACCO COUNSELING 3-10 MINS,$59.50 
Clinic Services,STRAPPING UNNA BOOT,$222.75 
Clinic Services,TEST PATCH OR APPLICATION,$100.25 
Clinic Services,TRANSITIONAL CARE MANAGEMENT HIGH,$210.50 
Clinic Services,TRANSITIONAL CARE MANAGEMENT MOD,$210.50 
Dialysis,CAPD COMPOSITE,$751.75 
Dialysis,CCPD COMPOSITE,$751.75 
Dialysis,EXTENDED IP DIALYS OTHR THAN HEMODIALS,"$3,132.00 "
Dialysis,HEMODIALYSIS COMPOSITE,"$1,009.75 "
Dialysis,IP DIALYSIS OTHER THAN HEMODIALYSIS,"$1,566.25 "
Dialysis,IP HEMODIALYSIS,"$1,772.00 "
Dialysis,IP HEMODIALYSIS,"$1,892.25 "
Dialysis,IP PERITONEAL DIALYSIS,"$1,428.50 "
Dialysis,OP HEMODIALYSIS,"$1,892.25 "
Dialysis,PERITONEAL DIALYSIS TRAINING COMPLETED,$300.00 
Dialysis,PERITONEAL DIALYSIS TRAINING INCOMPLETE,$75.00 
Dialysis,ULTRAFILTRATION,"$3,174.00 "
Emergency Room Services,ED ABDOMINAL PARACENTESIS W/O IMG GUIDE,"$1,888.00 "
Emergency Room Services,ED APPLY CAST LONG ARM,$437.00 
Emergency Room Services,ED APPLY CAST LONG LEG,$437.00 
Emergency Room Services,ED APPLY CAST SHORT ARM,$400.00 
Emergency Room Services,ED APPLY CAST SHORT LEG,$435.75 
Emergency Room Services,ED APPLY SPLINT FINGER DYNAMIC,$230.00 
Emergency Room Services,ED APPLY SPLINT FINGER STATIC,$230.00 
Emergency Room Services,ED APPLY SPLINT LONG ARM,$375.00 
Emergency Room Services,ED APPLY SPLINT LONG LEG,$375.00 
Emergency Room Services,ED APPLY SPLINT SHORT ARM,$343.75 
Emergency Room Services,ED APPLY SPLINT SHORT LEG,$343.75 
Emergency Room Services,ED ARTHROCENT INTMED JOINT/BURSA W/O US,$466.25 
Emergency Room Services,ED ARTHROCENT LARGE JOINT/BURSA W/O US,$470.31 
Emergency Room Services,ED ARTHROCENT SMALL JOINT/BURSA W/O US,$330.25 
Emergency Room Services,ED ASPIRATE BLADDER BY NEEDLE,$545.00 
Emergency Room Services,ED AVULSION NAIL PLATE EA ADDL NAIL,$99.25 
Emergency Room Services,ED AVULSION NAIL PLATE SIMPLE/COMPLEX,$301.00 
Emergency Room Services,ED BLADDER IRRIGATION SIMPLE,$530.00 
Emergency Room Services,ED CARDIOPULMONARY RESUSCITATION (CPR),"$1,203.50 "
Emergency Room Services,ED CARDIOVERSION ELECTIVE EXTERNAL,"$2,001.00 "
Emergency Room Services,ED CHANGE GASTROSTOMY TUBE W/O GUIDANCE,$894.25 
Emergency Room Services,ED CLOSE LAC VESTIBULE MOUTH <=2.5CM,$372.00 
Emergency Room Services,ED CLOSE LAC VESTIBULE MOUTH > 2.5CM,"$1,000.50 "
Emergency Room Services,ED CNTRL NASAL HEMORRHAGE ANTRIOR CMPLX,$753.25 
Emergency Room Services,ED CNTRL NASAL HEMORRHAGE ANTRIOR SMPL,$566.50 
Emergency Room Services,ED CNTRL NASAL HEMORRHAGE POST INIT,$768.25 
Emergency Room Services,ED COLLECT BLOOD CENTRAL/CATH/VENOUS,$182.25 
Emergency Room Services,ED COLLECT BLOOD IMPLANTED VAD,$229.00 
Emergency Room Services,ED DEBRIDE SUBQ TISSUE <= 20 SQ CM,$724.25 
Emergency Room Services,ED DELIVERY NEWBORN RESUSCITATION,$925.00 
Emergency Room Services,ED DESTRUCT BENIGN LESIONS <= 14,$137.00 
Emergency Room Services,ED DRAIN ABSCESS VESTIBULE MOUTH SIMPLE,$399.50 
Emergency Room Services,ED DRAIN EXTERNAL AUDITORY CANAL ABSC,$434.25 
