Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
CCL/ARTHERECTOMY W DES AD,UHHS POR,5536,Cardiac Cath,Tech,"35,204.00"
CCL/ARTHERECTOMY W STENT,UHHS POR,5555,Cardiac Cath,Tech,"39,285.00"
CCL/ASPIRATION CYST ABSC,UHHS POR,7006,Cardiac Cath,Tech,"1,176.00"
CCL/BALLOON ANGIO ADDL,UHHS POR,5576,Cardiac Cath,Tech,"7,183.00"
CCL/BALLOON ANGIOPLASTY,UHHS POR,5575,Cardiac Cath,Tech,"14,081.00"
CCL/BARE METAL STENT ADDL,UHHS POR,5558,Cardiac Cath,Tech,"7,183.00"
CCL/BARE METAL STENT(BMS),UHHS POR,5557,Cardiac Cath,Tech,"18,002.00"
CCL/BUNDLE OF HIS RECORD,UHHS POR,7530,Cardiac Cath,Tech,"1,637.00"
CCL/CARDIO PULM RESC,UHHS POR,5579,Cardiac Cath,Tech,"8,563.00"
CCL/CARDIOVERSN INTERNAL,UHHS POR,7391,Cardiac Cath,Tech,"1,303.00"
CCL/CATHETER ANGIOPLASTY,UHHS POR,202,Cardiac Cath,Tech,909
CCL/CATHETER AORTA,UHHS POR,7185,Cardiac Cath,Tech,"3,007.00"
CCL/CATHETER THROMBECTOMY,UHHS POR,207,Cardiac Cath,Tech,"11,193.00"
CCL/COMP EPS FOR CORONARY,UHHS POR,7580,Cardiac Cath,Tech,"6,711.00"
CCL/COMP EPS W/INDUCT,UHHS POR,7575,Cardiac Cath,Tech,"8,395.00"
CCL/COMP EPS W/O INDUCT,UHHS POR,7570,Cardiac Cath,Tech,"5,895.00"
CCL/CONG INJECTION,UHHS POR,7800,Cardiac Cath,Tech,"5,572.00"
CCL/CONG OPAC AORTA,UHHS POR,7810,Cardiac Cath,Tech,"5,572.00"
CCL/CONG/LV ANGIO,UHHS POR,7820,Cardiac Cath,Tech,"5,572.00"
CCL/COR ONLY W/GRFT/NOLVG,UHHS POR,1401,Cardiac Cath,Tech,"8,468.00"
CCL/CORON ANG/W GRAFT/LV,UHHS POR,1101,Cardiac Cath,Tech,"18,828.00"
CCL/CORON ONLY/NO LVG,UHHS POR,1301,Cardiac Cath,Tech,"10,658.00"
CCL/CORONARY ANGIO/LV,UHHS POR,1201,Cardiac Cath,Tech,"19,059.00"
CCL/CTO W DE STENT,UHHS POR,5531,Cardiac Cath,Tech,"49,333.00"
CCL/CTO W DE STENT ADD,UHHS POR,5532,Cardiac Cath,Tech,"24,133.00"
CCL/CTO W STENT,UHHS POR,5551,Cardiac Cath,Tech,"39,285.00"
CCL/CTO W STENT ADDL,UHHS POR,5552,Cardiac Cath,Tech,"26,106.00"
CCL/DRUG ELUTING STENT,UHHS POR,5537,Cardiac Cath,Tech,"24,319.00"
CCL/DRUG ELUTING STENT AD,UHHS POR,5538,Cardiac Cath,Tech,"24,319.00"
CCL/EPS DRUG THERAPY,UHHS POR,7590,Cardiac Cath,Tech,"5,849.00"
CCL/EVACUATION HEMATOMA,UHHS POR,7005,Cardiac Cath,Tech,"3,207.00"
CCL/FFR IFR ADDL VESSEL,UHHS POR,5591,Cardiac Cath,Tech,"6,188.00"
CCL/FFR INITIAL VESSEL,UHHS POR,5590,Cardiac Cath,Tech,"4,959.00"
CCL/FLUORO ONLY (LEADS),UHHS POR,7355,Cardiac Cath,Tech,743
CCL/GRAFT W DE STENT,UHHS POR,5533,Cardiac Cath,Tech,"49,333.00"
CCL/GRAFT W DE STENT ADD,UHHS POR,5534,Cardiac Cath,Tech,"41,756.00"
CCL/GRAFT W STENT,UHHS POR,5553,Cardiac Cath,Tech,"39,285.00"
CCL/GRAFT W STENT ADDL,UHHS POR,5554,Cardiac Cath,Tech,"26,106.00"
CCL/GUIDING CATHETER,UHHS POR,400,Cardiac Cath,Tech,"1,809.00"
CCL/IABP INSERTION,UHHS POR,5578,Cardiac Cath,Tech,"5,096.00"
CCL/ICD CHECK,UHHS POR,7605,Cardiac Cath,Tech,"3,279.00"
CCL/ICD CHECK AT INSERT,UHHS POR,7600,Cardiac Cath,Tech,"4,813.00"
CCL/ICD GEN ONLY 3+,UHHS POR,7093,Cardiac Cath,Tech,"34,087.00"
CCL/ICD GEN ONLY DUAL,UHHS POR,7092,Cardiac Cath,Tech,"26,056.00"
CCL/ICD GEN ONLY SINGLE,UHHS POR,7091,Cardiac Cath,Tech,"34,087.00"
CCL/ILIAC ANGIOGRAPHY,UHHS POR,7474,Cardiac Cath,Tech,591
CCL/IMPELLA A&V ACCESS,UHHS POR,5583,Cardiac Cath,Tech,"22,016.00"
CCL/IMPELLA CATHETER,UHHS POR,5582,Cardiac Cath,Tech,"75,000.00"
CCL/IMPELLA INSERT,UHHS POR,5580,Cardiac Cath,Tech,"7,466.00"
CCL/IMPELLA REPOSITION,UHHS POR,5581,Cardiac Cath,Tech,"7,466.00"
CCL/INITIAL ICD 1-2 LEAD,UHHS POR,7094,Cardiac Cath,Tech,"33,670.00"
CCL/INJ CORON AORTOGRAM,UHHS POR,7505,Cardiac Cath,Tech,248
CCL/INJ PROC VENOGRAM,UHHS POR,7150,Cardiac Cath,Tech,"1,716.00"
CCL/INS 1 TV ELECTRODE,UHHS POR,7060,Cardiac Cath,Tech,"9,386.00"
CCL/INS 2 TV ELECTRODES,UHHS POR,7065,Cardiac Cath,Tech,"9,802.00"
CCL/INS IAPB PERC,UHHS POR,7475,Cardiac Cath,Tech,"5,096.00"
CCL/INSERT LOOP RECORDER,UHHS POR,6000,Cardiac Cath,Tech,"10,426.00"
CCL/INSERT LV PACE ELECTR,UHHS POR,5510,Cardiac Cath,Tech,"14,040.00"
CCL/INSERT/PLAC SWAN-GANZ,UHHS POR,7445,Cardiac Cath,Tech,"1,515.00"
CCL/INTRA-ATRIAL PACING,UHHS POR,7550,Cardiac Cath,Tech,"1,774.00"
CCL/INTRA-ATRIAL RECORD,UHHS POR,7535,Cardiac Cath,Tech,"1,314.00"
CCL/INTRAVENTRIC PACING,UHHS POR,7555,Cardiac Cath,Tech,"1,862.00"
CCL/INTRODUCER SHEATH,UHHS POR,401,Cardiac Cath,Tech,687
CCL/IVUS/OCT ADDL VESSEL,UHHS POR,5593,Cardiac Cath,Tech,"6,049.00"
CCL/IVUS/OCT INITIAL VESS,UHHS POR,5592,Cardiac Cath,Tech,"5,873.00"
CCL/LEAD L-VENT BI-V,UHHS POR,4016,Cardiac Cath,Tech,"1,481.00"
CCL/LV LEAD ONLY PREV DEV,UHHS POR,5512,Cardiac Cath,Tech,"13,598.00"
CCL/MECHANICAL THROMBECTO,UHHS POR,5594,Cardiac Cath,Tech,"6,396.00"
CCL/MOD SED ADD 15 MIN,UHHS POR,5516,Cardiac Cath,Tech,72
CCL/MOD SED INTIAL 15 MIN,UHHS POR,5515,Cardiac Cath,Tech,135
CCL/PACE REM/REP 1 LEAD,UHHS POR,7042,Cardiac Cath,Tech,"12,532.00"
CCL/PACE REM/REP 2 LEAD,UHHS POR,7043,Cardiac Cath,Tech,"13,572.00"
CCL/PACE REM/REP 3+LEAD,UHHS POR,7044,Cardiac Cath,Tech,"17,934.00"
CCL/PACEMAKER GEN 3+,UHHS POR,7051,Cardiac Cath,Tech,"10,988.00"
CCL/PACEMAKER GEN DUAL,UHHS POR,7050,Cardiac Cath,Tech,"15,678.00"
CCL/PACEMAKER GEN SINGLE,UHHS POR,7045,Cardiac Cath,Tech,"10,426.00"
CCL/PERCLOSE,UHHS POR,201,Cardiac Cath,Tech,803
CCL/PERICARDIOCENT INIT,UHHS POR,7010,Cardiac Cath,Tech,758
CCL/PERICARDIOCENT SUBSEQ,UHHS POR,7015,Cardiac Cath,Tech,983
CCL/PERM PACER ATRIAL,UHHS POR,7020,Cardiac Cath,Tech,"12,428.00"
CCL/PERM PACER VENT,UHHS POR,7025,Cardiac Cath,Tech,"12,584.00"
CCL/PERM PACER VNT/ATR,UHHS POR,7030,Cardiac Cath,Tech,"15,704.00"
CCL/PHARM W/MONITOR,UHHS POR,2201,Cardiac Cath,Tech,130
CCL/PRG STIM PACE-POST IV,UHHS POR,7585,Cardiac Cath,Tech,"1,462.00"
CCL/PTA ADDL S&I,UHHS POR,7337,Cardiac Cath,Tech,"2,534.00"
CCL/PTCA GUIDEWIRE,UHHS POR,259,Cardiac Cath,Tech,616
CCL/R&LHC W/GRAFT LV,UHHS POR,1701,Cardiac Cath,Tech,"22,950.00"
CCL/R&LHC W/GRAFT NO LV,UHHS POR,1799,Cardiac Cath,Tech,"11,519.00"
CCL/RA/RV INJECT,UHHS POR,2999,Cardiac Cath,Tech,"5,572.00"
CCL/REM PACER GENERATOR,UHHS POR,7080,Cardiac Cath,Tech,"7,098.00"
CCL/REM/REP ICD 3+,UHHS POR,7103,Cardiac Cath,Tech,"32,878.00"
CCL/REM/REP ICD DUAL,UHHS POR,7102,Cardiac Cath,Tech,"31,625.00"
CCL/REM/REP ICD SINGLE,UHHS POR,7101,Cardiac Cath,Tech,"30,373.00"
CCL/REMOVAL ICD GEN ONLY,UHHS POR,7090,Cardiac Cath,Tech,"6,136.00"
CCL/REMOVE LOOP RECORDER,UHHS POR,6002,Cardiac Cath,Tech,"4,004.00"
CCL/RENAL ANGIOGRAPH,UHHS POR,7473,Cardiac Cath,Tech,591
CCL/REPOS LV LEAD PREV DE,UHHS POR,5513,Cardiac Cath,Tech,"2,429.00"
CCL/REPOS PREV RA/RV LEAD,UHHS POR,7066,Cardiac Cath,Tech,"5,824.00"
CCL/REV/REL SKIN PCKT ICD,UHHS POR,7075,Cardiac Cath,Tech,"5,512.00"
CCL/REV/REL SKIN PCKT PMK,UHHS POR,7070,Cardiac Cath,Tech,"4,186.00"
CCL/RHC,UHHS POR,1900,Cardiac Cath,Tech,"8,990.00"
CCL/RHC WITH SENSOR,UHHS POR,5610,Cardiac Cath,Tech,"13,409.00"
CCL/RT CATH/COR ANG/LV,UHHS POR,1501,Cardiac Cath,Tech,"21,559.00"
CCL/RT CATH/COR ANG/NO LV,UHHS POR,1601,Cardiac Cath,Tech,"16,422.00"
CCL/RT HT CATH CONG ANOML,UHHS POR,7471,Cardiac Cath,Tech,"6,909.00"
CCL/RT VENT RECORDING,UHHS POR,7540,Cardiac Cath,Tech,"1,542.00"
CCL/RT&LT HT CATH CONG AN,UHHS POR,7472,Cardiac Cath,Tech,"17,674.00"
CCL/STEMI W DE STENT,UHHS POR,5530,Cardiac Cath,Tech,"52,669.00"
CCL/STEMI W STENT,UHHS POR,5550,Cardiac Cath,Tech,"46,351.00"
CCL/STENT DRUG ELUTING,UHHS POR,410,Cardiac Cath,Tech,"1,119.00"
CCL/TEMP PACER DUAL,UHHS POR,7040,Cardiac Cath,Tech,"5,693.00"
CCL/TEMP PACER SINGLE,UHHS POR,7035,Cardiac Cath,Tech,"8,840.00"
CCL/TEMP TRANSCUT PACING,UHHS POR,7385,Cardiac Cath,Tech,188
CCL/UPGRD PMKR SNG 2 DUAL,UHHS POR,7055,Cardiac Cath,Tech,"18,720.00"
CCL/VENOGRAM S&I SINUS/JU,UHHS POR,5517,Cardiac Cath,Tech,"1,659.00"
CCL/VIATRAC BLN,UHHS POR,204,Cardiac Cath,Tech,"1,603.00"
CCL/WALLSTENT,UHHS POR,203,Cardiac Cath,Tech,"4,369.00"
48 HR HOLTER MONITOR,UHHS POR,6056,Cardiology,Tech,494
48 HR-21 DAY HOLT MONITOR,UHHS POR,6057,Cardiology,Tech,272
ECHO 2D WITH STRAIN,UHHS POR,6093,Cardiology,Tech,"2,860.00"
EKG/3D DYSSYNCHRONY ECHO,UHHS POR,6089,Cardiology,Tech,597
EKG/3D ECHO COMPLETE PRE,UHHS POR,6088,Cardiology,Tech,896
EKG/ABLATION CATHETER,UHHS POR,6295,Cardiology,Tech,761
EKG/CARDIOVERSION,UHHS POR,6015,Cardiology,Tech,"2,519.00"
EKG/DUAL PM ANALYS W/RPG,UHHS POR,6310,Cardiology,Tech,348
EKG/DUP LE ART DUP BIL,UHHS POR,6200,Cardiology,Tech,"1,338.00"
EKG/DUP LE ART DUP UNI,UHHS POR,6205,Cardiology,Tech,878
EKG/DUP REFLUX,UHHS POR,6221,Cardiology,Tech,503
EKG/DUP RENAL,UHHS POR,6233,Cardiology,Tech,"2,019.00"
EKG/DUP SCAN VENA CAVA,UHHS POR,6240,Cardiology,Tech,944
EKG/DUP UE ART DUP BIL,UHHS POR,6210,Cardiology,Tech,"1,442.00"
EKG/DUP UE ART DUP UNI,UHHS POR,6215,Cardiology,Tech,886
EKG/DUPLEX AORTA IVC CMPL,UHHS POR,6235,Cardiology,Tech,"1,398.00"
EKG/DUPLX CAROTID BILAT,UHHS POR,6175,Cardiology,Tech,"1,302.00"
EKG/DUPLX CAROTID UNI/LIM,UHHS POR,6180,Cardiology,Tech,659
EKG/ECG 12 LEAD,UHHS POR,6025,Cardiology,Tech,271
EKG/ECHO 2D F/U OR LIMIT,UHHS POR,6095,Cardiology,Tech,891
EKG/ECHO 2D SET,UHHS POR,6091,Cardiology,Tech,"2,704.00"
EKG/ECHO COLOR FLOW MAP,UHHS POR,6120,Cardiology,Tech,579
EKG/ECHO CONGENITAL,UHHS POR,6092,Cardiology,Tech,"1,825.00"
EKG/ECHO DOP FOLLOW UP,UHHS POR,6096,Cardiology,Tech,468
EKG/ECHO DOPPLER COMPLETE,UHHS POR,6115,Cardiology,Tech,707
EKG/ECHO OPTIMIZATION,UHHS POR,6085,Cardiology,Tech,"2,704.00"
EKG/EVENT REC HOOKUP,UHHS POR,6385,Cardiology,Tech,331
EKG/HOLTER MONITOR ANALYS,UHHS POR,6065,Cardiology,Tech,806
EKG/HOLTER MONITOR-24 HRS,UHHS POR,6055,Cardiology,Tech,494
EKG/ICD ANALYS DUAL W/RPG,UHHS POR,6335,Cardiology,Tech,388
EKG/ICD ANALYS MULT W/RPG,UHHS POR,6340,Cardiology,Tech,415
EKG/ICD ANALYS SNGL W/RPG,UHHS POR,6330,Cardiology,Tech,461
EKG/ICD ANALYSIS NO RPG,UHHS POR,6325,Cardiology,Tech,347
EKG/ICD PERI PROC W/RPG,UHHS POR,6345,Cardiology,Tech,415
EKG/ICM ANALYSIS,UHHS POR,6380,Cardiology,Tech,486
EKG/ICM REMOTE,UHHS POR,6365,Cardiology,Tech,341
EKG/INJECT SCLER SOL MULT,UHHS POR,6286,Cardiology,Tech,697
EKG/INJECT SCLER SOL SING,UHHS POR,6285,Cardiology,Tech,697
EKG/LE ART SGL IMMERSIONS,UHHS POR,6185,Cardiology,Tech,348
EKG/LE ARTERIAL EXAM,UHHS POR,6190,Cardiology,Tech,842
EKG/LE GRAFT AVF UNI,UHHS POR,6245,Cardiology,Tech,621
EKG/LE GRFT BYP BIL,UHHS POR,6275,Cardiology,Tech,"1,549.00"
EKG/LE GRFT BYP UNI,UHHS POR,6270,Cardiology,Tech,878
EKG/LE VEN BIL DVT,UHHS POR,6225,Cardiology,Tech,"1,448.00"
EKG/LE VEN UNI DVT,UHHS POR,6230,Cardiology,Tech,"1,044.00"
EKG/LE VM AVF UNI,UHHS POR,6260,Cardiology,Tech,919
EKG/LE VM BYP BIL,UHHS POR,6250,Cardiology,Tech,"1,448.00"
EKG/LE VM BYP UNI,UHHS POR,6255,Cardiology,Tech,"1,044.00"
EKG/LOOP REC ANALYSIS,UHHS POR,6375,Cardiology,Tech,352
EKG/LOOP REC PROGRAM,UHHS POR,6370,Cardiology,Tech,262
EKG/LOOP REC REMOTE,UHHS POR,6360,Cardiology,Tech,341
EKG/LOW ART W/EX,UHHS POR,6195,Cardiology,Tech,956
EKG/MESENTERIC,UHHS POR,6241,Cardiology,Tech,"1,398.00"
EKG/MULTI PM ANALYS W/RPG,UHHS POR,6315,Cardiology,Tech,392
EKG/PM ANALYSIS W/O RPG,UHHS POR,6300,Cardiology,Tech,230
EKG/PM ICD REMOTE,UHHS POR,6350,Cardiology,Tech,415
EKG/PM PERI PROC W/RPG,UHHS POR,6320,Cardiology,Tech,392
EKG/PM PHONE,UHHS POR,6355,Cardiology,Tech,415
EKG/REFLUX UNILATERAL,UHHS POR,6222,Cardiology,Tech,"1,044.00"
EKG/RFA VENOUS 1ST VEIN,UHHS POR,6280,Cardiology,Tech,"6,945.00"
EKG/RFA VENOUS ADD ON,UHHS POR,6281,Cardiology,Tech,"1,158.00"
EKG/RPC UE GRFT AVF UNI,UHHS POR,6546,Cardiology,Tech,855
EKG/RPC/3D DYSSCHRONY ECH,UHHS POR,6489,Cardiology,Tech,597
EKG/RPC/3D ECHO CMPLT PRE,UHHS POR,6488,Cardiology,Tech,896
EKG/RPC/CAROTID UNI,UHHS POR,6480,Cardiology,Tech,659
EKG/RPC/DUP AORTA IVC CMP,UHHS POR,6535,Cardiology,Tech,"1,398.00"
EKG/RPC/DUP CAROTID BIL,UHHS POR,6475,Cardiology,Tech,"1,302.00"
EKG/RPC/DUP REFLUX,UHHS POR,6521,Cardiology,Tech,503
EKG/RPC/DUP RENAL,UHHS POR,6533,Cardiology,Tech,"2,019.00"
EKG/RPC/ECHO 2D FU LIMITD,UHHS POR,6495,Cardiology,Tech,891
EKG/RPC/ECHO 2D SET,UHHS POR,6491,Cardiology,Tech,"2,704.00"
EKG/RPC/ECHO CONGENITAL,UHHS POR,6492,Cardiology,Tech,"1,825.00"
EKG/RPC/ECHO OPTIMIZATION,UHHS POR,6485,Cardiology,Tech,"2,704.00"
