,CODE,NAME,LAKELAND,LAKELAND INPATIENT LABS,LAKELAND OUTPATIENT LABS,LAKELAND BLOOD BANK,LAKELAND REFERENCE LAB,LAKELAND RESPIRATORY THERAPY LAB,WATERVLIET,WATERVLIET INPATIENT LABS,WATERVLIET OUTPATIENT LABS,WATERVLIET BLOOD BANK
,HC2600013,HC APPLICATION ON-BODY INJECTION,$75.00 ,,,,,,$75.00 ,,,
*,HC2700001,HC SUPPLY, $-   ,,,,,, $-   ,,,
*,HC2701000,HC RX 270, $-   ,,,,,, $-   ,,,
*,HC2709999,HC SPEC PURCH MED SUR, $-   ,,,,,, $-   ,,,
*,HC2720001,HC STERILE SUPPLY, $-   ,,,,,, $-   ,,,
*,HC2720005,HC CATH TRANSL ATHERECT ROTATION C1724, $-   ,,,,,, $-   ,,,
*,HC2720006,HC BALLOON/CATHETER C1725, $-   ,,,,,, $-   ,,,
*,HC2720007,HC CATH/BALLOON DILAT NON-VAS C1726 , $-   ,,,,,, $-   ,,,
*,HC2720008,HC BALLOON DISSECTOR C1727, $-   ,,,,,, $-   ,,,
*,HC2720009,HC BRACHYTH SEED ADMIN CATH C1728, $-   ,,,,,, $-   ,,,
*,HC2720010,HC CATHETER DRAINAGE C1729 , $-   ,,,,,, $-   ,,,
*,HC2720012,HC CATH INTRAVAS US C1753, $-   ,,,,,, $-   ,,,
*,HC2720013,HC CATH THROMBECT/EMBOLECTOMY C1757, $-   ,,,,,, $-   ,,,
*,HC2720014,HC CATHETER URETERAL C1758 , $-   ,,,,,, $-   ,,,
*,HC2720016,HC GUIDE WIRE C1769, $-   ,,,,,, $-   ,,,
*,HC2720017,HC RETRIEVAL DEVICE INSERT C1773, $-   ,,,,,, $-   ,,,
*,HC2720018,HC PATIENT PROGR NEUROSTIM, $-   ,,,,,, $-   ,,,
*,HC2720018,HC PATIENT PROGR NEUROSTIM, $-   ,,,,,, $-   ,,,
*,HC2720019,HC EMBOLIZ PROTECT SYS C1884, $-   ,,,,,, $-   ,,,
*,HC2720020,HC CATHETER GUIDING C1887, $-   ,,,,,, $-   ,,,
*,HC2720021,HC INTROD/SHEATH PEEL AWAY C1892 , $-   ,,,,,, $-   ,,,
*,HC2720022,HC INTRODUCER/SHEATH C1893, $-   ,,,,,, $-   ,,,
*,HC2720023,HC INTROD/SHEATH NON-LASER C1894 , $-   ,,,,,, $-   ,,,
*,HC2720024,HC CRYOBLATION PROBE C2618, $-   ,,,,,, $-   ,,,
*,HC2720061,HC NASAL ENDO EUSTACHIAN TUBE, $-   ,,,,,, $-   ,,,
*,HC2729999,HC SPEC PURCHASE W/HCPCS, $-   ,,,,,, $-   ,,,
,HC2740001,HC COLLAR CERVICAL L0172,$104.76 ,,,,,,$104.76 ,,,
,HC2740003,HC IMMOBILIZER KNEE L1830,$201.10 ,,,,,,$201.10 ,,,
,HC2740004,HC KNEE ORTHOSIS BRACE L1832,$454.08 ,,,,,,$454.08 ,,,
,HC2740005,HC IMMOBILIZER SHOULDER L3660,$205.67 ,,,,,,$205.67 ,,,
,HC2740006,HC WALKER FOAM PNEUMATIC L4360,$219.51 ,,,,,,$219.51 ,,,
,HC2740007,HC IMMOBILIZER SHOULDER MED-XLG L3670,$106.33 ,,,,,,$106.33 ,,,
,HC2740016,HC BINDER ABDOMINAL 12,$100.14 ,,,,,,$100.14 ,,,
,HC2740019,HC BINDER ABDOMINAL 12 63-74,$94.26 ,,,,,,$94.26 ,,,
,HC2740022,HC BINDER ABDOMINAL 9,$87.78 ,,,,,,$87.78 ,,,
,HC2740024,HC BINDER ABDOMINAL 9 42-62L,$75.84 ,,,,,,$75.84 ,,,
,HC2740032,HC IMMOBIL SHOULDER 24-30 SM,$67.98 ,,,,,,$67.98 ,,,
,HC2740033,HC IMMOBIL SHOULDER MD-XLG,$67.98 ,,,,,,$67.98 ,,,
,HC2740034,HC ELB ORTH STATIC CUSTM FAB,$451.00 ,,,,,,$451.00 ,,,
,HC2740035,HC EO ADJ POSITION CUSTM FAB,"$1,356.00 ",,,,,,"$1,356.00 ",,,
,HC2740036,HC WHFO STATIC PRE-FAB,$360.00 ,,,,,,$360.00 ,,,
,HC2740037,HC CUSTOM WHFO SHORT OPPONEN,$277.20 ,,,,,,$277.20 ,,,
,HC2740038,HC WHFO STATIC CUSTOM,$779.00 ,,,,,,$779.00 ,,,
,HC2740039,HC WHFO THUMB SPICA CUSTOM,$651.00 ,,,,,,$651.00 ,,,
,HC2740040,HC WHFO DYNAMIC CUSTOM,"$1,384.00 ",,,,,,"$1,384.00 ",,,
,HC2740041,HC WHO STATIC CUSTOM,$718.00 ,,,,,,$718.00 ,,,
,HC2740042,HC PRO FLEX WRIST SPLINT,$159.00 ,,,,,,$159.00 ,,,
,HC2740043,HC ROYLAN INLINE SPLINT,$159.00 ,,,,,,$159.00 ,,,
,HC2740044,HC SPLINT WRIST CUTAWY UN RT,$75.00 ,,,,,,$75.00 ,,,
,HC2740045,HC SPLINT WRIST FOREARM CUTL,$75.00 ,,,,,,$75.00 ,,,
,HC2740046,HC SPLINT WRIST FOREARM SM,$75.00 ,,,,,,$75.00 ,,,
,HC2740048,HC THUMB SPICA PRE-FAB,$159.00 ,,,,,,$159.00 ,,,
,HC2740049,HC WHFO W/O JOINTS PRE-FAB,$159.00 ,,,,,,$159.00 ,,,
,HC2740050,HC WHO EXTEN COCK-UP PRE-FAB,$159.00 ,,,,,,$159.00 ,,,
,HC2740051,HC WHO STATIC PRE-FAB,$159.00 ,,,,,,$159.00 ,,,
,HC2740052,HC HFO FLEX GLOVE ELAST FING,$151.00 ,,,,,,$151.00 ,,,
,HC2740053,HC HFO STATIC CUSTOM,$377.00 ,,,,,,$377.00 ,,,
,HC2740054,HC HFO DYNAMIC CUSTOM,$491.00 ,,,,,,$491.00 ,,,
,HC2740055,HC COMFORT COOL THUMB CMC,$159.00 ,,,,,,$159.00 ,,,
,HC2740056,HC ROYLAN HAND BASED INLINE,$144.00 ,,,,,,$144.00 ,,,
,HC2740057,HC FO DYNAMIC EXTEN PRE-FAB,$114.00 ,,,,,,$114.00 ,,,
,HC2740058,HC FO SAFETY PIN SPRING WIRE,$77.39 ,,,,,,$77.39 ,,,
,HC2740059,HC FO MURPHY RING PRE-FAB,$56.00 ,,,,,,$56.00 ,,,
,HC2740060,HC 4 FINGER MP DYNAMIC FLEX,$159.00 ,,,,,,$159.00 ,,,
,HC2740061,HC KNUCKLE BENDER SPLINT,$159.00 ,,,,,,$159.00 ,,,
,HC2740062,HC FINGER ORTH STATIC CUSTOM,$300.00 ,,,,,,$300.00 ,,,
,HC2740067,HC PASSY-MUIR VALVE,$199.00 ,,,,,,$199.00 ,,,
,HC2740076,HC BOOT HEEL ORTHOTIC,$409.59 ,,,,,,$409.59 ,,,
,HC2740082,HC FOOT INSERT REMOVEABLE EA WTVL,$133.00 ,,,,,,$133.00 ,,,
,HC2740086,HC FOOT CUSTOM LONGITUDINAL ARCH SUPPORT,$177.00 ,,,,,,$177.00 ,,,
,HC2740087,HC ASPEN COLLAR L0172,$407.34 ,,,,,,$407.34 ,,,
*,HC2750001,HC AICD DUAL CHAMBER C1721, $-   ,,,,,, $-   ,,,
*,HC2750002,HC AICD SINGLE CHAMBER C1722, $-   ,,,,,, $-   ,,,
*,HC2750003,HC PACEMAKER DUAL CHAMBER C1785, $-   ,,,,,, $-   ,,,
*,HC2750004,HC PACEMAKER SINGEL CHAMBER C1786, $-   ,,,,,, $-   ,,,
*,HC2750005,HC AICD OTHER CHAMBER C1882, $-   ,,,,,, $-   ,,,
*,HC2750006,HC PACEMAKER OTHER CHAMBER C2621, $-   ,,,,,, $-   ,,,
*,HC2760001,HC INTRAOCULAR LENS, $-   ,,,,,, $-   ,,,
*,HC2780001,HC IMPLANT SUPPLY, $-   ,,,,,, $-   ,,,
*,HC2780002,HC ANCHOR/SCREW C1713, $-   ,,,,,, $-   ,,,
*,HC2780003,HC CATH HEMOD/PERITONEAL C1750, $-   ,,,,,, $-   ,,,
*,HC2780004,HC CATH MIDLINE INFUSION C1751, $-   ,,,,,, $-   ,,,
*,HC2780006,HC VASCULAR CLOSURE DEVICE C1760, $-   ,,,,,, $-   ,,,
*,HC2780008,HC CONNECTIVE TISSUE NON-HUMAN C1763, $-   ,,,,,, $-   ,,,
*,HC2780009,HC REVEAL RECORDER CARDIAC C1764, $-   ,,,,,, $-   ,,,
*,HC2780010,HC GRAFT VASCULAR C1768, $-   ,,,,,, $-   ,,,
*,HC2780011,HC URINARY INCONT REPAIR DEVICE C1771, $-   ,,,,,, $-   ,,,
*,HC2780012,HC MESH IMPLANTABLE C1781, $-   ,,,,,, $-   ,,,
*,HC2780013,HC PORT IMPLANTABLE C1788, $-   ,,,,,, $-   ,,,
*,HC2780014,HC SEPTAL IMPL SYSTEM C1817, $-   ,,,,,, $-   ,,,
*,HC2780015,HC STENT COATED W/DEL SYS C1874, $-   ,,,,,, $-   ,,,
*,HC2780016,HC STENT NONCOATED W/DEL SYS C1876, $-   ,,,,,, $-   ,,,
*,HC2780017,HC STENT NONCOATED W/O DEL C1877, $-   ,,,,,, $-   ,,,
*,HC2780018,HC VENA CAVA FILTER C1880, $-   ,,,,,, $-   ,,,
*,HC2780019,HC AICD OTHER CHAMBER C1882, $-   ,,,,,, $-   ,,,
*,HC2780020,HC LEADS PACING/NEUROSTIM C1883, $-   ,,,,,, $-   ,,,
*,HC2780021,HC EMBOLIZ PROTECT SYS C1884, $-   ,,,,,, $-   ,,,
*,HC2780022,HC LEAD AICD C1895, $-   ,,,,,, $-   ,,,
*,HC2780023,HC LEAD OTHER PACEMAKER C1898, $-   ,,,,,, $-   ,,,
*,HC2780024,HC LEAD PMKR/AICD COMB C1899, $-   ,,,,,, $-   ,,,
*,HC2780025,HC LEAD CORONARY VENOUS C1900, $-   ,,,,,, $-   ,,,
*,HC2780026,HC STENT NONCOR TEM W/O DEL C2617, $-   ,,,,,, $-   ,,,
*,HC2780029,HC DEVICE URINARY REPAIR C2631, $-   ,,,,,, $-   ,,,
*,HC2780033,HC IMPLANT PROSTHETIC NOS L8699, $-   ,,,,,, $-   ,,,
*,HC2780034,HC LEAD AICD NON SING/DUAL C1896, $-   ,,,,,, $-   ,,,
*,HC2780058,HC LEAD CORONARY VEN C1900, $-   ,,,,,, $-   ,,,
*,HC2780063,"HC OCULAR IMP, AQUEOUS DRAIN DEV ", $-   ,,,,,, $-   ,,,
*,HC2780067,HC GENERATOR NEUROSTIM NON-RECHARGING, $-   ,,,,,, $-   ,,,
*,HC2780068,HC LEAD NEUROSTIMULATOR IMPLANTABLE, $-   ,,,,,, $-   ,,,
*,HC2780300,HC CORNEAL TISSUE, $-   ,,,,,, $-   ,,,
*,HC2780335,HC AMNIOGRAFT V2790, $-   ,,,,,, $-   ,,,
*,HC2780336,HC LEAD ACC RELIANCE EZ AICD BS, $-   ,,,,,, $-   ,,,
*,HC2780337,HC AQUEOUS SHUNT IMPLANT, $-   ,,,,,, $-   ,,,
*,HC2780339,"HC JOINT DEVICE, IMPLANT C1776", $-   ,,,,,, $-   ,,,
*,HC2780340,HC NEURGAGEN NERVE GUIDE PER CM C9352, $-   ,,,,,, $-   ,,,
*,HC2780343,HC VERITAS COLLAGEN TISSUE MATRIX PER SQ CM, $-   ,,,,,, $-   ,,,
*,HC2780344,HC MATERIAL FOR VOCAL CORD C1878, $-   ,,,,,, $-   ,,,
*,HC2780345,HC FLEXHD/ALLOPATCHHD/MATRIXHD PER SQ CM, $-   ,,,,,, $-   ,,,
*,HC2789999,HC SPEC PURCHASE IMPLANT , $-   ,,,,,, $-   ,,,
,HC3000001,HC SPECIMEN COLLECTION,,$23.56 ,$16.00 ,,,,,$23.56 ,$16.00 ,
,HC3000002,HC ANTIBODY SCREEN EA,,,,$35.52 ,,,,,,$120.00 
,HC3000003,HC ANTIBODY IDENTIFICATION,,,,$161.61 ,,,,,,$161.61 
,HC3000004,HC ANTIGLOBULIN DIR COOMBS,,,,$37.61 ,,,,,,$37.61 
,HC3000005,HC DAT-TRANSRXN WORKUP,,,,$37.61 ,,,,,,$37.61 
,HC3000006,HC DIRECT COOMBS BROAD SPEC,,,,$37.61 ,,,,,,$37.61 
,HC3000007,HC DIRECT COOMBS COMPLEMENT,,,,$37.61 ,,,,,,$37.61 
,HC3000008,HC DIRECT COOMBS IGG,,,,$37.61 ,,,,,,$37.61 
,HC3000009,HC ANTIBODY TITER,,,,$36.25 ,,,,,,$36.25 
,HC3000010,HC ANTIBODY TITER OTHER,,,,$36.25 ,,,,,,$36.25 
,HC3000011,HC AUTO PROCESSING FEE ARC,,,,$110.76 ,,,,,,$110.76 
,HC3000012,HC AUTO PROCESSING FEE MCBC,,,,$50.00 ,,,,,,$50.00 
,HC3000013,HC BLOOD UNIT TYPE RECHECK,,,,$20.86 ,,,,,,$20.86 
,HC3000014,HC TYPE ABO,,,,$20.86 ,,,,,,$40.59 
,HC3000015,HC TYPE RH,,,,$36.12 ,,,,,,$36.12 
,HC3000016,HC ANTIGEN TYPE UNIT,,,,$33.44 ,,,,,,$33.44 
,HC3000017,HC ANTIGEN TYPE LEVEL 1 UNIT,,,,$60.00 ,,,,,,$60.00 
,HC3000018,HC ANTIGEN TYPE LEVEL 2 UNIT,,,,$115.00 ,,,,,,$115.00 
,HC3000019,HC ANTIGEN TYPE LEVEL 3 UNIT,,,,$79.00 ,,,,,,$79.00 
,HC3000020,HC ANTIGEN TYPE PATIENT,,,,$26.79 ,,,,,,$26.79 
,HC3000021,HC CROSSMATCH,,,,$41.83 ,,,,,,$41.83 
,HC3000022,HC THAW FFP,,,,$21.55 ,,,,,,$21.55 
,HC3000023,HC CRYO THAW & POOL,,,,$49.17 ,,,,,,$49.17 
,HC3000024,HC PLATELETS MIX AND POOL,,,,$45.48 ,,,,,,$45.48 
,HC3000025,HC SPLITTING OF BLOOD EA,,,,$23.33 ,,,,,,$23.33 
,HC3000026,HC RBC COUNT CSF,,$40.11 ,$25.33 ,,,,,$40.11 ,$25.33 ,
,HC3000027,HC BRONCH LAVAGE CELL COUNT,,$59.82 ,$40.49 ,,,,,$59.82 ,$40.49 ,
,HC3000028,HC CELL COUNT DIFF FLUIDS,,$59.82 ,$40.49 ,,,,,$110.81 ,$110.81 ,
,HC3000029,HC CSF CELL COUNT AND DIFF,,$59.82 ,$40.49 ,,,,,$72.44 ,$72.44 ,
,HC3000030,HC CRYSTALS-POLARIZATION,,$59.82 ,$27.62 ,,,,,$31.25 ,$31.25 ,
,HC3000031,HC EOSINOPHILS SMEAR,,$51.56 ,$34.95 ,,,,,$66.77 ,$66.77 ,
,HC3000032,HC SWEAT CHLORIDE,,$132.04 ,$89.44 ,,,,,$132.04 ,$89.44 ,
,HC3000033,HC SEMEN ANALYSIS POST VAS,,$68.65 ,$46.48 ,,,,,$68.65 ,$46.48 ,
,HC3000034,HC SEMEN ANALYSIS COMPLETE,,$130.93 ,$88.68 ,,,,,$130.93 ,$88.68 ,
,HC3000035,HC RECUT FOR SEND OUT,,$31.56 ,,,,,,$31.56 ,,
,HC3000036,HC PSA PROSTATE CANCER SCRN,,$199.79 ,$135.32 ,,,,,$125.01 ,$125.01 ,
,HC3000037,HC ABODY ID ARC EA PANEL,,,,,$325.00 ,,,,,
,HC3000038,HC IRRADIATE BLD PROD EA,,,,,$37.00 ,,,,,
,HC3000039,HC ARC ANTIGEN TYPE UNIT,,,,,$33.58 ,,,,,
,HC3000040,HC ANTIBODY SCREEN EA,,,,$86.34 ,,,,,,
,HC3000041,HC FTL CGEN ABNOR FOUR ANAL,,,,,$87.99 ,,,,,
,HC3000042,HC FTL CGEN ABNOR THREE ANAL,,,,,$65.92 ,,,,,
,HC3000043,HC OVA1,,,,,$682.50 ,,,,,
,HC3000100,HC SPUTUM INDUCTION,,,,,,$171.00 ,,,,
,HC3008592,HC SPEC COL TRAVEL ALLOW,,,$10.00 ,,,,,,,
,HC3010001,HC BASIC METABOLIC PANEL BMP,,$49.80 ,$31.41 ,,,,,$105.12 ,$105.12 ,
,HC3010002,HC ELECTROLYTE PANEL,,$49.80 ,$31.17 ,,,,,$76.72 ,$76.72 ,
,HC3010003,HC COMPREHEN METABOLIC PANEL,,$98.10 ,$61.51 ,,,,,$142.34 ,$142.34 ,
,HC3010004,HC LIPID PANEL,,$138.73 ,$86.84 ,,,,,$144.03 ,$144.03 ,
,HC3010005,HC LIPID PANEL WITH REFLEX,,$138.73 ,$86.84 ,,,,,$131.19 ,$131.19 ,
,HC3010006,HC RENAL FUNCTION PANEL,,$101.38 ,$56.84 ,,,,,$132.10 ,$132.10 ,
,HC3010007,HC ACUTE HEPATITIS PANEL,,$453.63 ,$281.19 ,,,,,$484.39 ,$484.39 ,
,HC3010008,HC HEPATIC FUNCTION PANEL,,$49.80 ,$32.55 ,,,,,$125.01 ,$125.01 ,
,HC3010009,HC DRUG SCREEN MED TOX,,$26.57 ,$26.57 ,,,,,$22.58 ,$22.58 ,
,HC3010010,HC DRUGS OF ABUSE RAPID SCRE,,$96.20 ,$65.17 ,,,,,$137.79 ,$137.79 ,
,HC3010018,HC RAPID DRUG SCREEN PANEL 5,,,$20.83 ,,,,,,,
,HC3010020,HC CARBAMAZEPINE-TEGRETOL,,$158.10 ,$107.12 ,,,,,$106.54 ,$106.54 ,
,HC3010021,HC DIGOXIN,,$144.24 ,$97.70 ,,,,,$106.54 ,$106.54 ,
,HC3010022,HC VALPROIC ACID,,$147.09 ,$99.67 ,,,,,$93.76 ,$93.76 ,
,HC3010023,HC GENTAMICIN RANDOM LEVEL,,$103.06 ,$69.81 ,,,,,$105.12 ,$105.12 ,
,HC3010024,HC GENTAMICIN TROUGH,,$103.06 ,$69.81 ,,,,,$115.06 ,$115.06 ,
,HC3010025,HC GENTAMYCIN PEAK,,$103.06 ,$69.81 ,,,,,$115.06 ,$115.06 ,
,HC3010026,HC LITHIUM SERUM,,$71.73 ,$48.60 ,,,,,$66.77 ,$66.77 ,
,HC3010027,HC PHENOBARBITAL,,$124.41 ,$84.28 ,,,,,$119.32 ,$119.32 ,
,HC3010028,HC PHENYTOIN-DILANTIN,,$143.98 ,$97.49 ,,,,,$136.13 ,$136.13 ,
,HC3010029,HC SALICYLATE QUANT,,$77.14 ,$52.27 ,,,,,$137.79 ,$137.79 ,
,HC3010030,HC THEOPHYLLINE,,$103.06 ,$69.81 ,,,,,$102.29 ,$102.29 ,
,HC3010031,HC TOBRAMYCIN PEAK,,$103.06 ,$69.81 ,,,,,$103.06 ,$69.81 ,
,HC3010032,HC TOBRAMYCIN RANDOM LEVEL,,$103.06 ,$69.81 ,,,,,$103.06 ,$69.81 ,
,HC3010033,HC TOBRAMYCIN TROUGH,,$103.06 ,$69.81 ,,,,,$110.81 ,$110.81 ,
,HC3010034,HC VANCOMYCIN PEAK,,$147.09 ,$99.67 ,,,,,$147.09 ,$99.67 ,
,HC3010035,HC VANCOMYCIN RANDOM LEVEL,,$147.09 ,$99.67 ,,,,,$147.09 ,$99.67 ,
,HC3010036,HC VANCOMYCIN TROUGH,,$147.09 ,$99.67 ,,,,,$80.96 ,$80.96 ,
,HC3010037,HC ALBUMIN SERUM,,$36.51 ,$36.51 ,,,,,$75.28 ,$75.28 ,
,HC3010038,HC BILIRUBIN NEONATAL,,$57.64 ,$39.02 ,,,,,$54.48 ,$54.48 ,
,HC3010039,HC BILIRUBIN TOTAL,,$54.53 ,$36.95 ,,,,,$61.08 ,$61.08 ,
,HC3010040,HC BILIRUBIN TOTAL FLUID,,$37.84 ,$25.62 ,,,,,$37.84 ,$25.62 ,
,HC3010041,HC BILIRUBIN DIRECT,,$54.53 ,$36.95 ,,,,,$72.44 ,$72.44 ,
,HC3010042,HC CALCIUM TOTAL,,$51.03 ,$34.57 ,,,,,$55.41 ,$55.41 ,
,HC3010043,HC CARBON DIOXIDE-CO2,,$53.18 ,$36.02 ,,,,,$53.18 ,$36.02 ,
,HC3010044,HC CHLORIDE BLOOD,,$44.56 ,$30.23 ,,,,,$44.56 ,$30.23 ,
,HC3010045,HC CREATININE SERUM,,$52.16 ,$35.36 ,,,,,$61.08 ,$61.08 ,
,HC3010046,HC DHEAS,,$241.42 ,$163.52 ,,,,,$241.42 ,$163.52 ,
,HC3010047,HC FETAL FIBRONECTIN,,$534.92 ,$362.36 ,,,,,$534.92 ,$362.36 ,
,HC3010048,HC GLUCOSE CSF,,$40.70 ,$27.58 ,,,,,$38.48 ,$38.48 ,
,HC3010049,HC GLUCOSE FLUID,,$40.70 ,$27.58 ,,,,,$63.91 ,$63.91 ,
,HC3010050,HC GLUCOSE URINE 24 HR,,$40.70 ,$27.58 ,,,,,$40.70 ,$27.58 ,
,HC3010051,HC GLUCOSE,,$40.70 ,$27.58 ,,,,,$40.70 ,$27.58 ,
,HC3010052,HC GLUCOSE 2H PP,,$40.70 ,$27.58 ,,,,,$63.91 ,$63.91 ,
,HC3010053,HC GLUCOSE FASTING,,$40.70 ,$27.58 ,,,,,$38.48 ,$38.48 ,
,HC3010054,HC GLUCOSE RANDOM ER,,$40.70 ,$27.58 ,,,,,$40.70 ,$27.58 ,
,HC3010055,HC GLUCOSE RANDOM,,$40.70 ,$27.58 ,,,,,$52.55 ,$52.55 ,
,HC3010056,HC PH FLUID SEMI-QUANT,,$25.24 ,$17.03 ,,,,,$25.24 ,$17.03 ,
,HC3010057,HC PHOSPHATASE ALK SERUM,,$56.24 ,$38.08 ,,,,,$59.67 ,$59.67 ,
,HC3010058,HC POTASSIUM BLOOD,,$49.93 ,$33.81 ,,,$33.81 ,,$32.26 ,$32.26 ,
,HC3010059,HC PROTEIN TOTAL,,$39.78 ,$26.96 ,,,,,$48.30 ,$48.30 ,
,HC3010061,HC SODIUM BLOOD,,$50.54 ,$34.21 ,,,$34.21 ,,$42.61 ,$42.61 ,
,HC3010062,HC SODIUM FLUID,,$50.54 ,$34.21 ,,,,,$50.54 ,$34.21 ,
,HC3010063,HC TRANSAMINASE SGOT-AST,,$56.13 ,$52.99 ,,,,,$62.51 ,$62.51 ,
,HC3010064,HC TRANSAMINASE SGPT-ALT,,$56.60 ,$38.31 ,,,,,$62.51 ,$62.51 ,
,HC3010065,HC TRIGLYCERIDE,,$62.53 ,$42.34 ,,,,,$56.83 ,$56.83 ,
,HC3010066,HC TRIGLYCERIDE FLUID,,$43.34 ,$29.36 ,,,,,$43.34 ,$29.36 ,
,HC3010067,HC T3% UPTAKE,,$70.33 ,$47.66 ,,,,,$70.33 ,$47.66 ,
,HC3010068,HC T3 TOTAL,,$142.44 ,$96.48 ,,,,,$146.31 ,$146.31 ,
,HC3010069,HC T3 FREE,,$170.08 ,$115.24 ,,,,,$107.96 ,$107.96 ,
,HC3010070,HC UREA NITROGEN,,$40.77 ,$27.62 ,,,,,$54.00 ,$54.00 ,
,HC3010072,HC UREA NITROGEN: FLUID,,$40.77 ,$27.62 ,,,,,$40.77 ,$27.62 ,
,HC3010073,HC UREA NITROGEN-ART DIAL,,$40.77 ,$27.62 ,,,,,$40.77 ,$27.62 ,
,HC3010074,HC UREA NITROGEN-PERIF DIAL,,$40.77 ,$27.62 ,,,,,$40.77 ,$27.62 ,
,HC3010075,HC UREA NITROGEN-POST DIAL,,$40.77 ,$27.62 ,,,,,$40.77 ,$27.62 ,
,HC3010076,HC UREA NITROGEN-PRE DIAL,,$40.77 ,$27.62 ,,,,,$40.77 ,$27.62 ,
,HC3010077,HC UREA NITROGEN-VEN DIAL,,$40.77 ,$27.62 ,,,,,$40.77 ,$27.62 ,
,HC3010079,HC URIC ACID BLOOD,,$49.14 ,$33.33 ,,,,,$82.40 ,$82.40 ,
,HC3010080,HC ACETAMINOPHEN,,$75.94 ,$51.43 ,,,,,$137.79 ,$137.79 ,
,HC3010081,HC ACETONE QUAL,,$34.28 ,$23.27 ,,,,,$34.28 ,$23.27 ,
