,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PROCEDURE CODE,PROCEDURE DESCRIPTION, CHILDREN'S HOSPITAL , BUTTERWORTH , BLODGETT , GRAND RAPIDS OFF-CAMPUS , REGIONAL ** , REFERENCE LABS ,,
,20105598,HC LTC SKILLED SEMI-PRIVATE BED HOLD,,,,, $464.00 ,,,
,20105599,HC LTC BASIC PRIVATE BED HOLD,,,,, $378.00 ,,,
,20105600,HC LTC SKILLED PRIVATE BED HOLD,,,,, $510.00 ,,,
,20105602,HC INTERMEDIATE ROOM,,,,," $1,821.00 ",,,
,20105604,HC TRAUMA ICU ROOM,," $6,983.00 ",,,,,,
,20105605,HC PEDS TRAUMA ICU ROOM," $12,746.00 ",,,,,,,
,20105613,HC LTC BASIC SEMI-PRIVATE BED HOLD THERAPEUTIC,,,,, $321.00 ,,,
,20105614,HC LTC BASIC PRIVATE BED HOLD THERAPEUTIC,,,,, $378.00 ,,,
,20105615,HC LTC SKILLED SEMI-PRIVATE BED HOLD THERAPEUTIC,,,,, $464.00 ,,,
,20105616,HC LTC SKILLED PRIVATE BED HOLD THERAPEUTIC,,,,, $520.00 ,,,
,20105620,HC TELEHEALTH FACILITY FEE,,,,, $76.03 ,,,
,20105621,HC TELEHEALTH FACILITY FEE,,,,, $76.03 ,,,
,20155023,HC AMNIOCENTESIS,, $678.03 ,,," $1,040.72 ",,,
,20155024,HC AMNIOTIC FLUID REDUCTION,, $308.76 ,,,,,,
,20155025,HC OCT FETAL CONTRACTION STRESS T,, $315.33 ,,, $279.77 ,,,
,20155027,HC OB INSERTION CERVICAL DILATOR,, $242.46 ,,, $483.06 ,,,
,20155030,HC OB BREACH VERSION (ECV),," $4,735.37 ",,," $4,735.37 ",,,
,20155031,HC DELIVERY OF PLACENTA,," $3,122.52 ",,," $3,890.60 ",,,
,20155490,HC DELIVERY CHARGE,," $3,592.70 ",,," $2,092.48 ",,,
,20155524,HC LABOR INDUCTION,, $790.09 ,,, $269.29 ,,,
,20155525,HC LABOR ROOM FEE EACH HOUR,, $139.93 ,,, $87.20 ,,,
,20155539,HC MONITOR FETAL INTERNAL,, $442.34 ,,, $811.62 ,,,
,20165267,HC HOSPITAL OBSERVATION PER HOUR, $95.00 , $95.00 , $83.00 ,, $55.00 ,,,
,20165268,HC OBSTETRIC OBSERVATION PER HOUR,, $77.76 ,,, $47.00 ,,,
,20165269,HC BURN OBSERVATION PER HOUR,, $313.42 ,,,,,,
,20165270,HC PEDS OBSERVATION PER HOUR, $178.00 , $178.00 ,,, $38.00 ,,,
,20165271,HC HOSPITAL OBSERVATION PER HOUR CARVE OUT, $95.00 , $95.00 , $83.00 ,, $55.00 ,,,
,20165273,HC INTERMEDIATE OBSERVATION PER HR, $95.00 , $95.00 , $83.00 ,, $76.00 ,,,
,20165274,HC PEDS INTERMEDIATE OBSERVATION PER HR, $178.00 , $178.00 ,,,,,,
,20165275,HC PEDS INTERMEDIATE OBSERVATION PER HR CARVE OUT, $178.00 , $178.00 ,,,,,,
,20165276,HC PEDS OBSERVATION PER HOUR CARVE OUT, $178.00 , $178.00 ,,, $38.00 ,,,
,20165277,HC OBSTETRIC OBSERVATION PER HOUR CARVE OUT,, $77.76 ,,, $47.00 ,,,
,20165278,HC INTERMEDIATE OBSERVATION PER HR CARVE OUT, $95.00 , $95.00 , $83.00 ,, $76.00 ,,,
,20165279,HC BURN OBSERVATION PER HOUR CARVE OUT,, $313.42 ,,,,,,
,20173948,HC IV HYDRATION INFUSION INITIAL HOUR, $224.85 , $224.85 , $224.85 ,, $290.17 ,,,
,20173949,HC IV HYDRATE ADDTL HOURS, $145.18 , $145.18 , $145.18 ,, $145.48 ,,,
,20173950,HC IV INFUSION THERAPY UP TO 1 HR, $224.85 , $224.85 , $224.85 ,, $374.37 ,,,
,20173951,HC IV INFUSION THERAPY EACH ADDTL HR, $145.18 , $145.18 , $145.18 ,, $145.48 ,,,
,20173952,HC IV INFUSION ADDTL SEQUENTUAL UP TO 1 HR, $224.85 , $224.85 , $224.85 ,, $145.48 ,,,
,20173953,HC IV CONCURRENT INFUSION, $224.81 , $224.81 ,,, $145.48 ,,,
,20173954,HC ADMIN OF INJECTION SUBQ OR IM, $182.40 , $157.16 , $141.44 ,, $115.47 ,,,
,20173955,HC IV PUSH SINGLE OR INITIAL SUBSTANCE, $205.85 , $205.85 , $205.85 ,, $233.43 ,,,
,20173956,HC IV PUSH EACH ADDTL NEW SUBSTANCE, $240.00 , $206.76 , $186.08 ,, $115.01 ,,,
,20173957,HC IV PUSH SAME DRUG 30 MIN AFTER, $240.00 , $206.76 , $186.08 ,, $132.52 ,,,
,20173959,HC SUBCUTANEOUS INFUSION INITIAL 1 HR W/ PUMP SET-UP,,,,, $449.98 ,,,
,20173960,HC SUBCUTANEOUS INFUSION EACH ADDITIONAL HOUR,,,,, $138.73 ,,,
,20173961,HC SUBQ INFUSIO ADDITIONAL PUMP INFUSION SITE,,,,, $138.73 ,,,
,20183408,HC CT RAD ONC LOCALIZATION,, $799.06 ,,, $799.06 ,,,
,20183435,HC RAD THERAPY SIMULATION SIMPLE,, $472.97 ,,, $472.97 ,,,
,20183437,HC RAD THERAPY SIMULATION COMPLEX,," $1,253.20 ",,," $1,253.20 ",,,
,20183438,HC RAD THERAPY RESP MOTION MGMT SIM,, $602.52 ,,, $602.52 ,,,
,20183439,HC RAD THERAPY 3D TREATMENT PLAN,," $6,159.91 ",,," $6,159.91 ",,,
,20183440,HC RAD THERAPY BASIC DOSIMETRY,, $472.97 ,,, $472.97 ,,,
,20183441,HC IMRT PLAN WITH HISTOGRAMS,," $5,935.19 ",,," $5,935.19 ",,,
,20183443,HC RAD THERAPY ISODOSE TELETHPY COMPLEX,," $1,253.20 ",,," $1,253.20 ",,,
,20183444,HC RAD THERAPY BRACHY ISODOSE SIMPLE,, $472.97 ,,,,,,
,20183445,HC RAD THERAPY BRACHY ISODOSE INTERMED,," $1,253.20 ",,,,,,
,20183446,HC RAD THERAPY BRACHY ISODOSE COMPLEX,," $1,253.20 ",,,,,,
,20183447,HC RAD THERAPY TELETHERAPY PORT PLAN,," $1,253.20 ",,," $1,253.20 ",,,
,20183448,HC RAD THERAPY SPECIAL DOSIMETRY,, $472.97 ,,, $472.97 ,,,
,20183449,HC RAD THERAPY TREATMENT DEVICES SIMPLE,, $472.97 ,,, $472.97 ,,,
,20183450,HC RAD THERAPY TREATMENT DEVICE INTERM,, $472.97 ,,, $472.97 ,,,
,20183451,HC RAD THERAPY TREATMENT DEVICES COMPLEX,," $1,253.20 ",,," $1,253.20 ",,,
,20183452,HC RAD THERAPY WEEKLY PHYSICS CONSULT,, $472.97 ,,, $472.97 ,,,
,20183453,HC RAD THERAPY DESIGN MLC DEVICE IMRT,," $1,253.20 ",,," $1,253.20 ",,,
,20183454,HC RAD THERAPY MED PHYSICS SPECIAL CON,, $472.97 ,,, $472.97 ,,,
,20183455,HC RAD THERAPY STER SRS CRANIAL 1 FRAC,," $22,492.23 ",,,,,,
,20183456,HC RAD THERAPY STEREO BODY,," $6,641.86 ",,," $6,641.86 ",,,
,20183457,HC IMRT DELIVERY SIMPLE,," $1,989.51 ",,," $1,989.51 ",,,
,20183458,HC IMRT DELIVERY COMPLEX,," $1,989.51 ",,," $1,989.51 ",,,
,20183459,HC RAD THERAPY IMAGE GUIDANCE,, $620.00 ,,, $620.00 ,,,
,20183460,HC IMAGE FUSION,, $472.97 ,,, $472.97 ,,,
,20183461,HC RAD THERAPY SUPERFICIAL TREATMENT,, $459.94 ,,, $459.94 ,,,
,20183462,HC RAD THERAPY SIMPLE,, $459.94 ,,,,,,
,20183463,HC RAD THERAPY INTERMEDIATE,, $459.94 ,,, $459.94 ,,,
,20183464,HC RAD THERAPY COMPLEX,, $822.59 ,,, $822.59 ,,,
,20183465,HC RAD THERAPY PORT FILMS,, $271.60 ,,, $271.60 ,,,
,20183466,HC RAD THERAPY SPECIAL TX PROCEDURE,," $2,238.20 ",,," $2,238.20 ",,,
,20183473,HC RAD THERAPY BRACHY INTRACAVI SIMPLE,," $1,989.51 ",,,,,,
,20183474,HC RAD THERAPY BRACHY INTRACAV INTERME,," $1,989.51 ",,,,,,
,20183476,HC RAD THERAPY HDR BRACH INTER 1 CH,," $4,331.25 ",,,,,,
,20183477,HC RAD THERAPY HDR BRACH INTER 2-12 CH,," $7,266.23 ",,,,,,
,20183479,HC RAD THERAPY LDR BRACH INTER OVER 9,," $6,721.45 ",,,,,,
,20183481,HC RAD THERAPY HANDLING & LOADING,," $1,307.58 ",,,,,,
,20183483,HC RAD TH-HDR ELEC BRACHY INTRACAVITARY,,,,," $2,970.94 ",,,
,20193563,HC NM RADIOPAHARM THEARPY INTRA-ARTERIAL,, $554.84 ,,,,,,
,20193959,HC CHEMO SUBQ/IM NONHORMONE ANTINEOP, $287.02 , $287.02 ,,, $205.44 ,,,
,20193960,HC CHEMO SUBQ/IM HORMONAL ANTINEO, $346.21 , $276.97 ,,, $205.44 ,,,
,20193961,HC CHEMO IV PUSH SINGLE / INITIAL, $317.50 , $317.50 ,,, $317.50 ,,,
,20193962,HC CHEMO IV PUSH EA ADDTL DRUG, $253.16 , $253.16 ,,, $190.06 ,,,
,20193963,HC CHEMO IV INFUSION INITIAL DRUG 1 HOUR, $336.80 , $336.80 ,,, $241.07 ,,,
,20193964,HC CHEMO IV INFUSION INITIAL DRUG ADDTL HOUR, $157.14 , $157.14 ,,, $112.44 ,,,
,20193965,HC CHEMO IV INFUSION OVER 8 HR WITH PUMP, $894.75 , $894.75 ,,, $886.64 ,,,
,20193966,HC CHEMO IV INFUSION EACH SEQUENTUAL DRUG, $352.08 , $352.08 ,,, $252.01 ,,,
,20193968,HC PERITONEAL CHEMOTHERAPY,, $570.81 ,,, $428.86 ,,,
,20193969,HC INTRATHECAL ADMIN CHEMOTHER," $1,065.15 ", $852.12 ,,, $852.12 ,,,
,20193970,HC CHEMO ARTERIAL INFSN 8HR W/PUM,,,,, $713.70 ,,,
,20193971,HC CHEMO INJ SUBQ IV RESV, $379.30 ,,,, $303.44 ,,,
,20193974,HC RAD TH-LDR BRACHY INTERSTITIAL 1-9 CH,," $4,593.34 ",,,,,,
,20193975,HC RAD TH-SIMULATION INTERMEDIATE,," $1,253.20 ",,," $1,253.20 ",,,
,20193977,HC CHEMO ADMIN HOME INFUSION,, $894.75 ,,, $886.64 ,,,
,20193978,HC CHEMOTHERAPY UNSPECIFIED,,,,, $252.01 ,,,
,20201000,HC PT ADL/SELFCARE/HMETRN PER UNIT, $164.24 , $136.11 , $127.37 , $86.85 , $100.47 ,,,
,20201001,HC PT DEBRIDEMENT 20 SQ CM OR LESS, $225.82 , $194.57 , $175.10 , $194.57 , $322.33 ,,,
,20201002,HC PT DEBRIDEMENT ADDTL 20 SQ CM, $270.88 , $233.38 , $210.05 , $233.38 , $244.00 ,,,
,20201003,HC PT NON-SELECTIVE DEBRIDEMENT, $117.62 , $101.33 , $91.20 , $101.33 , $312.62 ,,,
,20201004,HC PT NEG PRESS WOUND TX LESS THAN OR EQUAL TO 50 SQ CM WITH DME,, $305.98 ,,,,,,
,20201005,HC PT NEG PRESS WOUND TX GREATER THAN 50 SQ CM WITH DME, $532.70 , $458.97 , $413.08 , $458.97 , $458.97 ,,,
,20201006,HC PT PHYS PERFORM/FCE PER UNIT,, $114.66 , $114.66 , $114.66 , $107.27 ,,,
,20201007,HC PT ORTHOTICS MGMT & TRAINJ INITIAL ENCTR EA 15 MINS, $146.11 , $120.78 , $113.29 , $95.93 , $120.78 ,,,
,20201008,HC PT ORTHOTICS CHECKOUT EA 15 MIN,, $103.03 , $96.75 , $66.00 ,,,,
,20203649,HC PT ANORECTAL BIOFEEDBACK, $664.00 , $572.11 , $514.88 , $572.11 , $572.11 ,,,
,20203941,HC PT CANALITH REPOSITIONING PROC,, $125.76 , $120.03 , $77.44 , $190.15 ,,,
,20203981,HC PT TRACTION MECHANICAL,,,, $99.31 , $107.27 ,,,
,20203982,HC PT ELECTRIC STIM UNATTENDED,,, $55.80 , $38.04 , $100.47 ,,,
,20203983,HC PT VASOPNEUMATIC,, $57.42 ,, $57.42 , $86.90 ,,,
,20203984,HC PT PARAFFIN BATH THERAPY,,,, $85.31 , $111.73 ,,,
,20203985,HC PT WHIRLPOOL,,, $68.58 , $43.42 , $91.83 ,,,
,20203988,HC PT ELECTRICAL STIM MANUAL PER 15 MIN,, $84.77 , $84.77 , $76.29 , $84.77 ,,,
,20203989,HC PT IONTOPHORESIS PER 15 MIN,,,, $60.74 , $114.08 ,,,
,20203990,HC PT CONTRAST BATH PER 15 MIN, $32.51 , $32.51 , $32.51 , $32.51 , $32.51 ,,,
,20203991,HC PT ULTRASOUND PER 15 MIN,,, $50.68 , $30.62 , $91.34 ,,,
,20203992,HC HUBBARD TANK PER UNIT,, $130.81 ,,,,,,
,20203994,HC PT THERAPEUTIC PROC PER 15 MIN, $130.78 , $105.19 , $97.57 , $65.10 , $118.62 ,,,
,20203995,HC PT NEUROMUSCULAR RE-EDUCATION PER 15 MIN, $133.57 , $115.08 , $103.56 , $70.09 , $113.32 ,,,
,20203996,HC PT AQUATIC THERAPY (PER UNIT),,, $132.78 , $84.85 , $86.90 ,,,
,20203997,HC PT GAIT TRAINING PER 15 MIN, $114.45 , $98.59 , $96.61 , $64.47 , $75.53 ,,,
,20203998,HC PT MASSAGE PER 15 MIN, $49.57 , $42.73 , $38.45 , $42.73 , $141.67 ,,,
,20203999,HC PT MANUAL THERAPY PER 15 MIN, $118.43 , $99.68 , $95.35 , $68.59 , $118.62 ,,,
,20204000,HC PT THERAPEUTIC PROCEDURE GROUP,,, $88.48 , $79.99 ,,,,
,20204001,HC PT THERAPEUTIC FUNCTIONAL ACTIVITY, $117.40 , $98.59 , $91.04 , $77.08 , $75.53 ,,,
,20204006,HC PT WHEELCHAIR MGT EA 15 MINUTES, $94.85 , $94.85 , $85.37 , $76.41 , $86.90 ,,,
,20204007,HC PT WORK HARD/COND INITIAL 2 HRS,,,, $638.66 , $594.01 ,,,
,20204008,HC PT WORK HARD/COND EACH ADDTL HOUR, $385.77 , $332.36 , $299.15 , $332.36 , $282.28 ,,,
,20204020,HC PT PROSTHETICS TRAINING INITIAL ENCTR EA 15 MINS,,, $147.18 ,,,,,
,20204559,HC STRAPPING KNEE, $234.31 , $193.47 , $193.47 ,, $192.52 ,,,
,20204560,HC STRAPPING ANKLE FOOT, $242.60 , $200.32 , $200.32 ,, $192.52 ,,,
,20205260,HC PT ELEC STIM (UNATT) CHRN ULCER, $123.88 , $106.75 , $96.07 , $106.75 , $98.48 ,,,
,20205261,HC PT ELEC STIM (UNATT) WOUND CARE, $120.96 , $104.22 , $93.78 , $104.22 , $101.59 ,,,
,20205292,HC PT-OCC MED WORK SCREEN,,,,, $281.00 ,,,
,20205576,HC PT CPM SET UP, $270.58 , $270.58 , $270.58 , $270.58 , $247.84 ,,,
,20205577,HC PT CPM-DAILY, $149.18 , $149.18 , $149.18 , $149.18 , $136.64 ,,,
,20205580,HC PT LOW COMPLEX EVALUATION, $299.47 , $248.06 , $232.21 , $196.61 , $264.39 ,,,
,20205581,HC PT MOD COMPLEX EVALUATION, $299.47 , $248.06 , $232.21 , $196.61 , $264.39 ,,,
,20205582,HC PT HIGH COMPLEX EVALUATION, $299.47 , $248.06 , $232.21 , $196.61 , $264.39 ,,,
,20205583,HC PT RE EVALUATION, $170.06 , $146.53 , $131.88 , $146.53 , $174.53 ,,,
,20205584,HC PT ORTHOTICS/PROSTH MGMT &/TRAINJ SBSQ ENCTR 15 MIN, $106.28 , $106.28 , $106.28 , $68.08 ,,,,
,20301000,HC OT FEEDING/SWALLOWING TREATMENT, $308.02 , $246.42 , $246.42 , $221.78 , $246.42 ,,,
,20301001,HC OT APPLICATION OF HOT/COLD PACKS,,,,, $33.87 ,,,
,20301002,HC OT ELECTRIC STIM UNATTENDED,,, $56.12 , $56.12 , $86.90 ,,,
,20301003,HC OT VASOPNEUMATIC,, $99.04 ,, $99.04 , $86.90 ,,,
,20301004,HC OT PARAFFIN BATH,,,, $92.77 , $98.98 ,,,
,20301005,HC OT WHIRLPOOL,,,, $32.15 , $100.47 ,,,
,20301006,HC OT IONTOPHORESIS PER 15 MIN,,,, $153.45 , $114.08 ,,,
,20301007,HC OT CONTRAST BATH PER 15 MIN, $32.51 , $32.51 , $32.51 , $32.51 , $32.51 ,,,
,20301008,HC OT ULTRASOUND PER 15 MIN,,, $124.90 , $105.76 , $114.08 ,,,
,20301009,HC OT THERAPEUTIC PROC PER 15 MIN, $130.78 , $106.48 , $97.57 , $83.22 , $118.62 ,,,
,20301010,HC OT NEUROMUSCULAR RE-EDUCATION PER 15 MIN, $133.57 , $115.08 , $103.56 , $73.99 , $100.47 ,,,
,20301011,HC OT MANUAL THERAPY PER 15 MIN, $118.43 , $100.42 , $95.35 , $78.97 , $98.98 ,,,
,20301012,HC OT THERAPEUTIC FUNCTIONAL ACTIVITY, $117.40 , $98.46 , $91.04 , $77.08 , $86.90 ,,,
,20301013,HC OT COGNITIVE SKILLS DEVELOPMENT PER UNIT, $108.62 , $86.90 , $86.90 , $86.90 , $86.90 ,,,
,20301014,HC OT COMMUN/WORK REINTEGR / UNIT, $120.06 , $103.44 , $93.09 , $103.44 , $75.53 ,,,
,20301015,HC OT WHEELCHAIR MGT EA 15 MINUTES, $85.37 , $85.37 , $85.37 , $76.41 , $93.14 ,,,
,20301016,HC OT WHIRLPOOL,,,, $619.13 ,,,,
,20301017,HC OT WORK HARD/COND EACH ADDTL HOUR, $400.33 , $344.92 , $310.45 , $344.92 , $322.80 ,,,
,20301018,HC OT DEBRIDEMENT 20 SQ CM OR LESS,,,, $202.42 , $244.00 ,,,
,20301019,HC OT DEBRIDEMENT ADDTL 20 SQ CM,,,, $285.32 , $241.56 ,,,
,20301020,HC OT NON-SELECTIVE DEBRIDEMENT, $91.20 , $91.20 , $91.20 , $91.20 , $91.20 ,,,
,20301021,HC OT NEG PRESS WOUND TX LESS THAN OR EQUAL TO 50 SQ CM WITH DME, $434.23 , $374.11 , $336.72 , $374.11 , $374.11 ,,,
,20301022,HC OT NEG PRESS WOUND TX GREATER THAN 50 SQ CM WITH DME, $651.36 , $561.20 , $505.07 , $561.20 , $561.20 ,,,
,20301023,HC OT PROSTHETICS TRAINING INITIAL ENCTR EA 15 MINS, $104.45 , $89.99 , $81.00 , $89.99 , $89.99 ,,,
,20301048,HC OT CANALITH REPOSITIONING PROC,,,, $77.95 , $77.95 ,,,
,20301049,HC OT ELECTRICAL STIM MANUAL PER 15 MIN, $105.95 ,, $84.77 , $76.29 , $84.77 ,,,
,20301050,HC OT THERAPEUTIC PROCEDURE GROUP,,, $100.55 ,,,,,
,20301051,HC OT ORAL/PHARY SWALLOWING EVALU, $480.51 , $384.41 , $384.41 , $345.96 , $384.41 ,,,
,20304003,HC OT SENSORY INTEGRAT PER UNIT, $230.15 , $178.44 , $178.44 , $146.74 , $92.16 ,,,
,20304004,HC OT ADL/SELFCARE/HMETRN PER UNIT, $164.24 , $138.99 , $127.37 , $77.20 , $75.53 ,,,
,20304017,HC OT PHYS PERFORM/FCE PER UNIT,,, $115.32 , $90.66 , $107.27 ,,,
,20304018,HC OT ASSIST TECH ASSMNT EA 15 MIN, $205.72 , $177.26 , $159.55 , $144.22 , $144.22 ,,,
,20304019,HC OT ORTHOTICS MGMT & TRAINJ INITIAL ENCTR EA 15 MINS, $146.11 , $125.89 , $113.29 , $95.93 , $95.20 ,,,
,20304021,HC ORTHOTICS CHECKOUT EA 15 MIN, $135.41 , $116.66 ,, $62.91 , $95.66 ,,,
,20305244,HC COMM/WORK REINTEGRATION,,,,, $75.53 ,,,
,20305245,HC OT HIGH COMPLEX EVALUATION, $377.75 , $316.14 , $292.93 , $248.01 , $264.39 ,,,
,20305246,HC OT LOW COMPLEX EVALUATION, $377.75 , $316.14 , $292.93 , $248.01 , $264.39 ,,,
,20305247,HC OT MOD COMPLEX EVALUATION, $377.75 , $316.14 , $292.93 , $248.01 , $264.39 ,,,
,20305248,HC OT RE EVALUATION, $238.08 , $197.94 , $184.63 , $197.94 , $264.39 ,,,
,20305249,HC OT THER IVNTJ W/FOCUS COG FUNCJ, $161.81 , $161.81 , $161.81 , $62.22 , $166.45 ,,,
,20305250,HC OT ORTHOTICS/PROSTH MGMT &/TRAINJ SBSQ ENCTR 15 MIN, $139.68 , $120.34 ,, $64.89 , $98.68 ,,,
,20305251,HC OT WORK HARD/COND INITIAL 2 HRS,,,,, $364.87 ,,,
,20403659,HC ST SPEECH/LANGUAGE/VOICE THERAPY, $315.09 , $262.59 , $236.33 , $266.41 , $245.53 ,,,
,20403662,HC ST NASAL FUNCTION STUDIES, $278.12 , $239.64 ,,,,,,
,20403664,HC ST SPEECH FLUENCY EVALUATION, $221.31 , $181.06 ,, $181.06 , $259.86 ,,,
,20403665,HC ST SPEECH SOUND PROD EVALUATION, $180.11 , $163.74 , $147.36 , $163.74 , $259.86 ,,,
,20403666,HC ST SPEECH COMP/EXPRESS EVAL, $373.50 , $361.42 , $305.59 , $275.43 , $259.86 ,,,
,20403667,HC ST BEHAVORIAL QUALITATIVE EVAL, $187.72 ,, $153.59 , $170.66 , $259.86 ,,,
,20403668,HC ST FEEDING/SWALLOWING TREATMENT, $308.02 , $246.42 , $246.42 , $221.78 , $246.42 ,,,
,20403704,HC ST VOICE PROSTHETIC EVALUATION, $338.77 , $338.77 , $304.87 , $275.61 , $208.71 ,,,
,20403709,HC ST EVAL RX N-SP-GEN AUGMT ALT COMMUN DEV F2F 1ST HR, $861.77 , $689.41 , $689.41 , $601.50 , $689.41 ,,,
,20403711,HC ST EVAL SPCH GEN DEVICE 1ST HR,,, $713.58 ,,,,,
,20403712,HC ST EVAL SPCH GEN DEVICE ADDTL 30 MIN, $398.05 , $342.96 , $308.67 ,, $342.96 ,,,
,20403713,HC ST THERAP SVCS SPCH GEN DEVICE, $313.84 , $270.40 , $243.36 , $270.40 , $278.03 ,,,
,20403714,HC ST ORAL/PHARY SWALLOWING EVALU, $480.51 , $384.41 , $384.41 , $345.96 , $384.41 ,,,
,20403715,HC ST MOTION FLUOR EVAL SWLNG FUNCJ C/V REC, $588.43 , $534.93 , $481.45 ,, $593.02 ,,,
,20403716,HC ST FIBEROPT ENDO EVAL OF SWALLOW, $627.07 , $627.07 , $627.07 , $510.18 ,,,,
,20403717,HC ST EVAL NONSPEECH GEN ADDTL 30 MIN, $195.71 , $195.71 , $195.71 ,, $195.71 ,,,
,20403943,HC ST ASSESSMENT OF APHASIA,,, $350.28 , $350.28 , $364.25 ,,,
,20403947,HC ST COGNITIVE PERFORM PER HOUR, $313.83 , $270.40 ,, $270.40 , $496.94 ,,,
,20404002,HC ST COGNITIVE SKILLS DEVELOPMENT PER UNIT, $108.62 , $86.90 , $86.90 , $86.90 , $86.90 ,,,
,20405320,HC ST THER IVNTJ W/FOCUS COG FUNCJ, $184.85 , $184.85 , $184.85 , $184.85 , $146.07 ,,,
,20503827,HC CARDIAC REHAB II WO EKG,,,, $221.09 , $206.91 ,,,
,20503828,HC CARDIAC REHAB II WITH EKG,,,, $221.09 , $206.91 ,,,
,20505273,HC PULMONARY REHAB WITH EXERCISE,,,, $202.81 , $189.80 ,,,
,25003564,HC VACCINE HBIG IMMUNE GLOBULIN, $438.04 , $438.04 ,,,,,,
*,25003565,HC VFC VACCINE HBIG IMMUNE GLOBULIN, $-   , $-   , $-   , $-   , $-   , $-   ,,
,25003579,HC VACCINE HEP A ADULT IM, $120.13 , $120.13 ,,,,,,
,25003580,HC VACCINE HEP A PEDS IM, $71.26 , $71.26 ,,,,,,
*,25003581,HC VFC VACCINE HEP A PEDS IM, $-   , $-   , $-   , $-   , $-   , $-   ,,
,25003582,HC VACCINE HIB PRP OMP, $86.43 , $86.43 ,,,,,,
*,25003583,HC VFC VACCINE HIB PRP OMP, $-   , $-   , $-   , $-   , $-   , $-   ,,
,25003584,HC VACCINE HIB PRP-T IM, $17.39 , $17.39 ,,,,,,
*,25003585,HC VFC VACCINE HIB PRP-T IM, $-   , $-   , $-   , $-   , $-   , $-   ,,
,25003586,HC VACCINE HPV, $335.73 , $335.73 ,,,,,,
*,25003587,HC VFC VACCINE HPV, $-   , $-   , $-   , $-   , $-   , $-   ,,
,25003588,HC VACCINE HPV VIRUS 9 VAL IM, $296.90 , $296.90 ,,,,,,
