DRG_Long_Desc,Average_Charge_Per_Case,Average_Medicare_Payment_Per_Case
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,92021.68,8819.45
040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,291302.7,31877.23
041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,141763.62,20700.14
042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,123868.04,16447.54
052 - SPINAL DISORDERS & INJURIES W CC/MCC,179922.8,26178.41
053 - SPINAL DISORDERS & INJURIES W/O CC/MCC,155157.01,33651.38
054 - NERVOUS SYSTEM NEOPLASMS W MCC,80430.42,10760.98
055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,73519.8,12640
056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,178794.01,23702.78
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,112710.9,19751.86
058 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,85126.07,17119.2
059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,78682.64,16504.84
060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,58873.46,12113.69
061 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANS ISCHEMIA W THROMBOLYTIC AGENT W MCC,201079.49,21190.8
062 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W C,118640.29,13289.67
063 - ISCHEMIC STROKE; PRECEREBRAL OCCL OR TRANSIENT ISCHEMIA W THROMB AGENT W/O CC/MC,64951,6257.99
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,169503.15,13708.42
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,92529.64,8627.62
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,72471.82,6283.04
068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,40769.91,5359.38
069 - TRANSIENT ISCHEMIA W/O THROMBOLYTIC,65945.11,6246.94
070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,153162.92,20977.54
071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,109036.47,11609.93
072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,61845.83,6330.27
073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,124669.68,13742.58
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,77056.89,8470.94
075 - VIRAL MENINGITIS W CC/MCC,267671.71,No Medicare Payment Available
076 - VIRAL MENINGITIS W/O CC/MCC,39646.8,No Medicare Payment Available
077 - HYPERTENSIVE ENCEPHALOPATHY W MCC,171546.91,15383.87
078 - HYPERTENSIVE ENCEPHALOPATHY W CC,67668.25,9212.61
079 - HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,42897,No Medicare Payment Available
081 - NONTRAUMATIC STUPOR & COMA W/O MCC,43137,No Medicare Payment Available
082 - TRAUMATIC STUPOR & COMA; COMA >1 HR W MCC,171495.88,16857.02
083 - TRAUMATIC STUPOR & COMA; COMA >1 HR W CC,103055.2,10148.2
084 - TRAUMATIC STUPOR & COMA; COMA >1 HR W/O CC/MCC,79990.44,7354.93
085 - TRAUMATIC STUPOR & COMA; COMA <1 HR W MCC,169518.62,15601.02
086 - TRAUMATIC STUPOR & COMA; COMA <1 HR W CC,96866.82,9224.38
087 - TRAUMATIC STUPOR & COMA; COMA <1 HR W/O CC/MCC,65319.17,5702.85
088 - CONCUSSION W MCC,288443.07,No Medicare Payment Available
089 - CONCUSSION W CC,90356.62,No Medicare Payment Available
090 - CONCUSSION W/O CC/MCC,116867.4,No Medicare Payment Available
091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,185360.2,24695.23
092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,88477.84,12268.1
093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,62556.85,7998.59
094 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,167838.2,37500.53
095 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC,195587.67,30515.05
096 - BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,122751.4,No Medicare Payment Available
097 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,184105.4,No Medicare Payment Available
098 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,111355.5,No Medicare Payment Available
099 - NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,51284.5,No Medicare Payment Available
100 - SEIZURES W MCC,108695.72,13031.22
101 - SEIZURES W/O MCC,45007.8,6320.43
102 - HEADACHES W MCC,69612.71,8801.09
103 - HEADACHES W/O MCC,58527.27,6264.6
114 - ORBITAL PROCEDURES W/O CC/MCC,103762,No Medicare Payment Available
115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,89551,11988.36
116 - INTRAOCULAR PROCEDURES W CC/MCC,56549.5,No Medicare Payment Available
117 - INTRAOCULAR PROCEDURES W/O CC/MCC,34393,No Medicare Payment Available
121 - ACUTE MAJOR EYE INFECTIONS W CC/MCC,47077.33,8283.93
122 - ACUTE MAJOR EYE INFECTIONS W/O CC/MCC,35530.25,No Medicare Payment Available
123 - NEUROLOGICAL EYE DISORDERS,47209.35,6116.45
124 - OTHER DISORDERS OF THE EYE W MCC,89983.79,10235.48
125 - OTHER DISORDERS OF THE EYE W/O MCC,57350.56,5322.93
129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,221248.27,17851.8
130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,81176.75,No Medicare Payment Available
131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,224549.3,20022.4
132 - CRANIAL/FACIAL PROCEDURES W/O CC/MCC,103796.68,No Medicare Payment Available
133 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W CC/MCC,151774.08,15089.13
134 - OTHER EAR; NOSE; MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC,78880.7,No Medicare Payment Available
135 - SINUS & MASTOID PROCEDURES W CC/MCC,117931.5,No Medicare Payment Available
136 - SINUS & MASTOID PROCEDURES W/O CC/MCC,72357,No Medicare Payment Available
137 - MOUTH PROCEDURES W CC/MCC,92378.82,No Medicare Payment Available
138 - MOUTH PROCEDURES W/O CC/MCC,47964.2,7413.66
146 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W MCC,95109.5,No Medicare Payment Available
147 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W CC,87944.52,10213.04
148 - EAR; NOSE; MOUTH & THROAT MALIGNANCY W/O CC/MCC,14689,No Medicare Payment Available
149 - DYSEQUILIBRIUM,60166.38,6113.25
150 - EPISTAXIS W MCC,76155.48,10726.6
151 - EPISTAXIS W/O MCC,44720.05,6549.19
152 - OTITIS MEDIA & URI W MCC,48794.28,8424.01
153 - OTITIS MEDIA & URI W/O MCC,28701.58,5423.74
154 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W MCC,117357.36,11702.91
155 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W CC,42363.32,6697.78
156 - OTHER EAR; NOSE; MOUTH & THROAT DIAGNOSES W/O CC/MCC,28644.35,5660.57
157 - DENTAL & ORAL DISEASES W MCC,116688.73,12060.93
158 - DENTAL & ORAL DISEASES W CC,61539.27,7390.77
159 - DENTAL & ORAL DISEASES W/O CC/MCC,33911.79,5736.92
163 - MAJOR CHEST PROCEDURES W MCC,490591.64,25371.4
164 - MAJOR CHEST PROCEDURES W CC,248364.45,19194.98
165 - MAJOR CHEST PROCEDURES W/O CC/MCC,135684,No Medicare Payment Available
166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,530187.47,65400.5
167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,214574.53,13818.45
168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,146432.33,4947.15
175 - PULMONARY EMBOLISM W MCC,133497.16,12504.81
176 - PULMONARY EMBOLISM W/O MCC,68518.86,8181.05
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,165797.53,14003
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,136827.65,14387.89
179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,63517.15,7875.35
180 - RESPIRATORY NEOPLASMS W MCC,130340.2,13859.8
181 - RESPIRATORY NEOPLASMS W CC,108971.49,9054.12
182 - RESPIRATORY NEOPLASMS W/O CC/MCC,51865.67,7229.5
183 - MAJOR CHEST TRAUMA W MCC,169748.53,11874.18
184 - MAJOR CHEST TRAUMA W CC,84646.55,8434.62
185 - MAJOR CHEST TRAUMA W/O CC/MCC,52408.23,6471.47
186 - PLEURAL EFFUSION W MCC,88879.63,19614.98
187 - PLEURAL EFFUSION W CC,141658.33,7480.16
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,90465.59,9265.11
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,104581.52,12445.25
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,66151.11,7245.69
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,51744.46,5851.3
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,108682.32,12813.45
194 - SIMPLE PNEUMONIA & PLEURISY W CC,62470.69,7922.92
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,43380.1,5390.89
196 - INTERSTITIAL LUNG DISEASE W MCC,127986.29,11549.7
197 - INTERSTITIAL LUNG DISEASE W CC,33156,No Medicare Payment Available
198 - INTERSTITIAL LUNG DISEASE W/O CC/MCC,27491.5,No Medicare Payment Available
199 - PNEUMOTHORAX W MCC,197151.48,14250.18
200 - PNEUMOTHORAX W CC,95397.8,8814.77
201 - PNEUMOTHORAX W/O CC/MCC,42723.08,No Medicare Payment Available
202 - BRONCHITIS & ASTHMA W CC/MCC,59614.98,8956.19
203 - BRONCHITIS & ASTHMA W/O CC/MCC,28173.71,5661.4
204 - RESPIRATORY SIGNS & SYMPTOMS,64325.95,6554.13
205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,86025.75,11055.74
206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,65534.72,6676.14
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,459336.25,42151.03
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,184614.48,18876.06
215 - OTHER HEART ASSIST SYSTEM IMPLANT,605620.81,94824.03
216 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,1069470.71,68884.79
217 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,746896.82,62850.51
219 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,776177.79,61294.74
220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,557561.44,38484.67
221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,531511.76,33752.75
222 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC,714340.83,63367.7
223 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC,354801.5,48393.73
224 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,583437.83,53813.07
225 - CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC,348019.51,No Medicare Payment Available
226 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,406350.57,50304.81
227 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,329885.92,40403.95
228 - OTHER CARDIOTHORACIC PROCEDURES W MCC,950591.54,50323.78
229 - OTHER CARDIOTHORACIC PROCEDURES W/O MCC,425476.72,31734.4
231 - CORONARY BYPASS W PTCA W MCC,608984.86,60091.87
232 - CORONARY BYPASS W PTCA W/O MCC,633684,No Medicare Payment Available
233 - CORONARY BYPASS W CARDIAC CATH W MCC,792739.88,55022.68
234 - CORONARY BYPASS W CARDIAC CATH W/O MCC,590665.15,36550.12
235 - CORONARY BYPASS W/O CARDIAC CATH W MCC,566334.18,41161.02
236 - CORONARY BYPASS W/O CARDIAC CATH W/O MCC,475180.37,28403.82
239 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,385401.67,34570.88
240 - AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,231641.69,19934.46
242 - PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,268814.1,28041.47
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,199279.76,18447.82
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,153878.56,16218.57
245 - AICD GENERATOR PROCEDURES,390001.72,40949.16
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,267909.91,23785.33
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,187939.07,15506.13
248 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ ART/STENTS,217965.01,No Medicare Payment Available
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,134830.01,12585.17
250 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,279988.43,19537.28
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,138791.03,No Medicare Payment Available
252 - OTHER VASCULAR PROCEDURES W MCC,364685.47,25390.01
253 - OTHER VASCULAR PROCEDURES W CC,258524.42,19290.55
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,170552.14,14284.1
255 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,234006.02,22754.57
256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,120146.03,13066.31
259 - CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC,85354,16281.11
260 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC,280903.82,28063.6
261 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,134430.26,14388.03
262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,177653.78,12094.96
264 - OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,357059.3,51828.04
265 - AICD LEAD PROCEDURES,221973,No Medicare Payment Available
266 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,537884.28,63214.97
267 - ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,323094.74,43281.99
268 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC,539673.64,48736.36
269 - AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,348494.23,31316.52
270 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,597871.61,40499.15
271 - OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,347802.19,25732.28
272 - OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,227083.63,18971.71
273 - PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC,305192.87,27026.39
274 - PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,199690.7,21253.95
280 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W MCC,162339.19,13315.03
281 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W CC,116643.69,7808.64
282 - ACUTE MYOCARDIAL INFARCTION; DISCHARGED ALIVE W/O CC/MCC,83649.57,6461.14
283 - ACUTE MYOCARDIAL INFARCTION; EXPIRED W MCC,192174.01,16375.24
286 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W MCC,233279.5,17244.11
287 - CIRCULATORY DISORDERS EXCEPT AMI; W CARD CATH W/O MCC,120853.15,8936.1
288 - ACUTE & SUBACUTE ENDOCARDITIS W MCC,245069.29,20767.81
289 - ACUTE & SUBACUTE ENDOCARDITIS W CC,147167,No Medicare Payment Available
291 - HEART FAILURE & SHOCK W MCC,113726.71,12077.77
292 - HEART FAILURE & SHOCK W CC,61773.91,6998.34
293 - HEART FAILURE & SHOCK W/O CC/MCC,46815.39,4658.86
294 - DEEP VEIN THROMBOPHLEBITIS W CC/MCC,242838.5,No Medicare Payment Available
296 - CARDIAC ARREST; UNEXPLAINED W MCC,180236.89,11677.19
297 - CARDIAC ARREST; UNEXPLAINED W CC,86604,No Medicare Payment Available
299 - PERIPHERAL VASCULAR DISORDERS W MCC,142381.45,12739.78
300 - PERIPHERAL VASCULAR DISORDERS W CC,70863.34,8490.48
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,46911.45,5471.43
302 - ATHEROSCLEROSIS W MCC,77606.39,8809.94
303 - ATHEROSCLEROSIS W/O MCC,63385.44,5008.27
304 - HYPERTENSION W MCC,98009.34,8489.45
305 - HYPERTENSION W/O MCC,72331.77,5962.66
306 - CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,171606.78,9858.19
307 - CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,45978.67,6011.3
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,113239.82,9020.9
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,66973.82,6282.55
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,43925.79,4169.64
311 - ANGINA PECTORIS,53214.22,4275.71
312 - SYNCOPE & COLLAPSE,66238.05,6915.66
313 - CHEST PAIN,64836.82,6190.53
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,148071.47,14825.58
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,73895.07,6927.89
316 - OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,60728.03,6526.6
326 - STOMACH; ESOPHAGEAL & DUODENAL PROC W MCC,483470.81,36832.39
327 - STOMACH; ESOPHAGEAL & DUODENAL PROC W CC,154024.37,17194.69
328 - STOMACH; ESOPHAGEAL & DUODENAL PROC W/O CC/MCC,73320.23,No Medicare Payment Available
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,416800.62,34581.41
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,204951.68,18673.64
331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,137280.5,12968.37
333 - RECTAL RESECTION W CC,226845.02,15755.18
334 - RECTAL RESECTION W/O CC/MCC,56510.67,9224.68
335 - PERITONEAL ADHESIOLYSIS W MCC,273561.91,29341.02
336 - PERITONEAL ADHESIOLYSIS W CC,175189.93,17434.48
337 - PERITONEAL ADHESIOLYSIS W/O CC/MCC,86274,No Medicare Payment Available
338 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,139294.76,21193.15
339 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,111010.1,No Medicare Payment Available
340 - APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,84165.39,3941.63
341 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,200824.67,17855.4
342 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,67330.6,No Medicare Payment Available
343 - APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,54261.2,5736.02
344 - MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,98282,No Medicare Payment Available
345 - MINOR SMALL & LARGE BOWEL PROCEDURES W CC,143842.89,14730.94
346 - MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,70049.78,No Medicare Payment Available
348 - ANAL & STOMAL PROCEDURES W CC,175683.02,11496.14
349 - ANAL & STOMAL PROCEDURES W/O CC/MCC,74614,No Medicare Payment Available
351 - INGUINAL & FEMORAL HERNIA PROCEDURES W CC,101156.39,No Medicare Payment Available
352 - INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,70246.78,8655.2
353 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,231026.56,23092.08
354 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,145055.32,13648.86
355 - HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,90299.26,10648.73
356 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,288340.62,28529.84
357 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,168640.34,16359.57
358 - OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,65590.33,No Medicare Payment Available
368 - MAJOR ESOPHAGEAL DISORDERS W MCC,250939.86,No Medicare Payment Available
369 - MAJOR ESOPHAGEAL DISORDERS W CC,72939.74,8450.3
370 - MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,38347,No Medicare Payment Available
371 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,140179.21,13446.56
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,87367.92,9740.11
373 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,56809.5,No Medicare Payment Available
374 - DIGESTIVE MALIGNANCY W MCC,164083.63,15745.2
375 - DIGESTIVE MALIGNANCY W CC,101930.32,10106.22
376 - DIGESTIVE MALIGNANCY W/O CC/MCC,103237.83,No Medicare Payment Available
377 - G.I. HEMORRHAGE W MCC,170976.14,13927.36
378 - G.I. HEMORRHAGE W CC,78307.97,7824.49
379 - G.I. HEMORRHAGE W/O CC/MCC,48809.41,5515.05
380 - COMPLICATED PEPTIC ULCER W MCC,266242.59,14462.04
381 - COMPLICATED PEPTIC ULCER W CC,79989.84,8950.91
382 - COMPLICATED PEPTIC ULCER W/O CC/MCC,62877.09,6940.63
383 - UNCOMPLICATED PEPTIC ULCER W MCC,88831.33,14415.07
384 - UNCOMPLICATED PEPTIC ULCER W/O MCC,76164.39,7462.98
385 - INFLAMMATORY BOWEL DISEASE W MCC,94567.84,11157.6
386 - INFLAMMATORY BOWEL DISEASE W CC,103398.11,8095.95
387 - INFLAMMATORY BOWEL DISEASE W/O CC/MCC,66596.16,6037.47
388 - G.I. OBSTRUCTION W MCC,125776.63,13083.43
389 - G.I. OBSTRUCTION W CC,65640.3,6915.56
390 - G.I. OBSTRUCTION W/O CC/MCC,43696.28,5218.81
391 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W MCC,78807.17,9762.23
392 - ESOPHAGITIS; GASTROENT & MISC DIGEST DISORDERS W/O MCC,53074.79,6570.02
393 - OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,154313.33,13365
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,74665.05,7589.85
395 - OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,33754.9,4599.98
405 - PANCREAS; LIVER & SHUNT PROCEDURES W MCC,489486.02,39240.53
406 - PANCREAS; LIVER & SHUNT PROCEDURES W CC,199167.33,No Medicare Payment Available
407 - PANCREAS; LIVER & SHUNT PROCEDURES W/O CC/MCC,188448.26,No Medicare Payment Available
408 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,193138.53,29768.62
409 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,328491.5,No Medicare Payment Available
410 - BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,27533,No Medicare Payment Available
413 - CHOLECYSTECTOMY W C.D.E. W/O CC/MCC,125098,No Medicare Payment Available
414 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,184882.21,26997.22
415 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,185952.01,15807.14
416 - CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,123966.33,No Medicare Payment Available
417 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,153021,18603.83
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,124520.33,12902.47
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,93478.22,10343.6
420 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,493269.61,30634.08
421 - HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,76217,No Medicare Payment Available
423 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,257854.54,28634.12
424 - OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,211433.25,17349.37
432 - CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,152489.5,14144.14
433 - CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,79383.71,8183.08
434 - CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,56538.33,No Medicare Payment Available
