Category,MSDRG,MSDRG Description,Average Case
Neurosciences,69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$14,610.06 "
Neurosciences,70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$36,760.01 "
Neurosciences,71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$13,642.01 "
Neurosciences,72,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$7,725.95 "
Neurosciences,73,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$20,517.27 "
Neurosciences,74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$18,489.66 "
Neurosciences,75,VIRAL MENINGITIS W CC/MCC,"$31,462.49 "
Neurosciences,76,VIRAL MENINGITIS W/O CC/MCC, 
Neurosciences,77,HYPERTENSIVE ENCEPHALOPATHY W MCC,"$12,618.57 "
Neurosciences,78,HYPERTENSIVE ENCEPHALOPATHY W CC,"$9,146.94 "
Neurosciences,79,HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,"$5,849.51 "
Neurosciences,80,NONTRAUMATIC STUPOR & COMA W MCC, 
Neurosciences,81,NONTRAUMATIC STUPOR & COMA W/O MCC, 
Neurosciences,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC", 
Neurosciences,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","$10,700.30 "
Neurosciences,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR W/O CC/MCC","$9,878.90 "
Neurosciences,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC","$53,875.35 "
Neurosciences,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC", 
Neurosciences,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC", 
Neurosciences,88,CONCUSSION W MCC,"$15,795.26 "
Neurosciences,89,CONCUSSION W CC,"$10,356.09 "
Neurosciences,90,CONCUSSION W/O CC/MCC,"$13,110.75 "
Neurosciences,91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$33,598.65 "
Neurosciences,92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$11,037.70 "
Neurosciences,93,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$11,394.91 "
Neurosciences,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC, 
Neurosciences,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W CC, 
Neurosciences,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W/O CC/MCC,"$75,501.00 "
Neurosciences,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC, 
Neurosciences,98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC, 
Neurosciences,99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC, 
Neurosciences,100,SEIZURES W MCC,"$24,038.50 "
Neurosciences,101,SEIZURES W/O MCC,"$12,980.87 "
Neurosciences,102,HEADACHES W MCC,"$15,398.48 "
Neurosciences,103,HEADACHES W/O MCC,"$13,922.62 "
Surgical,113,ORBITAL PROCEDURES W CC/MCC, 
Surgical,114,ORBITAL PROCEDURES W/O CC/MCC, 
Surgical,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT, 
Surgical,116,INTRAOCULAR PROCEDURES W CC/MCC, 
Surgical,117,INTRAOCULAR PROCEDURES W/O CC/MCC, 
Surgical,121,ACUTE MAJOR EYE INFECTIONS W CC/MCC, 
Surgical,122,ACUTE MAJOR EYE INFECTIONS W/O CC/MCC, 
Surgical,123,NEUROLOGICAL EYE DISORDERS,"$29,953.81 "
Surgical,124,OTHER DISORDERS OF THE EYE W MCC,"$12,723.91 "
Surgical,125,OTHER DISORDERS OF THE EYE W/O MCC,"$7,793.37 "
Surgical,129,MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,"$33,797.99 "
Surgical,130,MAJOR HEAD & NECK PROCEDURES W/O CC/MCC, 
Surgical,131,CRANIAL/FACIAL PROCEDURES W CC/MCC, 
Surgical,132,CRANIAL/FACIAL PROCEDURES W/O CC/MCC,"$88,022.93 "
Surgical,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC","$14,538.74 "
Surgical,134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC", 
Surgical,135,SINUS & MASTOID PROCEDURES W CC/MCC,"$38,771.49 "
Surgical,137,MOUTH PROCEDURES W CC/MCC,"$165,023.69 "
Surgical,138,MOUTH PROCEDURES W/O CC/MCC, 
Surgical,139,SALIVARY GLAND PROCEDURES, 
Oncology,146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC","$21,567.87 "
Oncology,147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W CC","$20,005.46 "
Oncology,148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W/O CC/MCC", 
Surgical,149,DYSEQUILIBRIUM,"$11,761.08 "
Surgical,151,EPISTAXIS W/O MCC,"$9,930.57 "
Surgical,152,OTITIS MEDIA & URI W MCC,"$10,908.72 "
Surgical,153,OTITIS MEDIA & URI W/O MCC,"$9,899.06 "
Surgical,154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC","$13,278.83 "
Surgical,155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC","$8,897.84 "
Surgical,156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC","$7,269.82 "
Medical,157,DENTAL & ORAL DISEASES W MCC,"$14,163.60 "
Medical,158,DENTAL & ORAL DISEASES W CC,"$28,550.58 "
Medical,159,DENTAL & ORAL DISEASES W/O CC/MCC,"$11,562.56 "
Cardiovascular Services,163,MAJOR CHEST PROCEDURES W MCC,"$75,971.65 "
Cardiovascular Services,164,MAJOR CHEST PROCEDURES W CC,"$59,506.80 "
Cardiovascular Services,165,MAJOR CHEST PROCEDURES W/O CC/MCC,"$43,569.14 "
Cardiovascular Services,166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$66,933.41 "
Cardiovascular Services,167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$31,445.17 "
Cardiovascular Services,168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC, 
Medical,175,PULMONARY EMBOLISM W MCC,"$20,545.89 "
Medical,176,PULMONARY EMBOLISM W/O MCC,"$12,196.68 "
Medical,177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$34,144.28 "
Medical,178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$18,621.38 "
Medical,179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$13,204.16 "
Oncology,180,RESPIRATORY NEOPLASMS W MCC,"$32,148.14 "
Oncology,181,RESPIRATORY NEOPLASMS W CC,"$18,959.10 "
Oncology,182,RESPIRATORY NEOPLASMS W/O CC/MCC,"$10,963.27 "
Cardiovascular Services,183,MAJOR CHEST TRAUMA W MCC,"$30,616.36 "
Cardiovascular Services,184,MAJOR CHEST TRAUMA W CC,"$9,912.46 "
Cardiovascular Services,185,MAJOR CHEST TRAUMA W/O CC/MCC, 
Medical,186,PLEURAL EFFUSION W MCC,"$26,738.70 "
Medical,187,PLEURAL EFFUSION W CC,"$13,606.33 "
Medical,188,PLEURAL EFFUSION W/O CC/MCC,"$10,432.05 "
Medical,189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$18,739.01 "
Medical,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$15,902.36 "
Medical,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$14,438.99 "
Medical,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$9,982.63 "
Medical,193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$22,557.86 "
Medical,194,SIMPLE PNEUMONIA & PLEURISY W CC,"$12,678.21 "
Medical,195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$10,131.44 "
Medical,196,INTERSTITIAL LUNG DISEASE W MCC,"$18,223.18 "
Medical,197,INTERSTITIAL LUNG DISEASE W CC,"$15,068.88 "
Medical,198,INTERSTITIAL LUNG DISEASE W/O CC/MCC,"$8,799.86 "
Medical,199,PNEUMOTHORAX W MCC,"$56,857.20 "
Medical,200,PNEUMOTHORAX W CC,"$12,369.13 "
Medical,201,PNEUMOTHORAX W/O CC/MCC,"$4,713.43 "
Medical,202,BRONCHITIS & ASTHMA W CC/MCC,"$13,185.24 "
Medical,203,BRONCHITIS & ASTHMA W/O CC/MCC,"$7,446.68 "
Medical,204,RESPIRATORY SIGNS & SYMPTOMS,"$8,798.73 "
Medical,205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"$18,230.85 "
Medical,206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$13,040.47 "
Medical,207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"$95,862.88 "
Medical,208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$43,207.38 "
Cardiovascular Services,215,OTHER HEART ASSIST SYSTEM IMPLANT, 
Cardiovascular Services,216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC, 
Cardiovascular Services,217,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC, 
Cardiovascular Services,218,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W/O CC/MCC, 
Cardiovascular Services,219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC, 
Cardiovascular Services,220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC, 
Cardiovascular Services,221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC, 
Cardiovascular Services,222,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W MCC, 
Cardiovascular Services,223,CARDIAC DEFIB IMPLANT W CARDIAC CATH W AMI/HF/SHOCK W/O MCC, 
Cardiovascular Services,224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC, 
Cardiovascular Services,225,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W/O MCC, 
Cardiovascular Services,226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC, 
Cardiovascular Services,227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC, 
Cardiovascular Services,228,OTHER CARDIOTHORACIC PROCEDURES W MCC, 
Cardiovascular Services,229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC, 
Cardiovascular Services,231,CORONARY BYPASS W PTCA W MCC, 
Cardiovascular Services,232,CORONARY BYPASS W PTCA W/O MCC, 
Cardiovascular Services,233,CORONARY BYPASS W CARDIAC CATH W MCC, 
Cardiovascular Services,234,CORONARY BYPASS W CARDIAC CATH W/O MCC, 
Cardiovascular Services,235,CORONARY BYPASS W/O CARDIAC CATH W MCC, 
Cardiovascular Services,236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC, 
Cardiovascular Services,239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"$48,949.08 "
Cardiovascular Services,240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"$38,404.19 "
Cardiovascular Services,241,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W/O CC/MCC, 
Cardiovascular Services,242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC, 
Cardiovascular Services,243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC, 
Cardiovascular Services,244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC, 
Cardiovascular Services,245,AICD GENERATOR PROCEDURES, 
Cardiovascular Services,246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS, 
Cardiovascular Services,247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC, 
Cardiovascular Services,248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS, 
Cardiovascular Services,249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC, 
Cardiovascular Services,250,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC, 
Cardiovascular Services,251,PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC, 
Cardiovascular Services,252,OTHER VASCULAR PROCEDURES W MCC,"$73,171.75 "
Cardiovascular Services,253,OTHER VASCULAR PROCEDURES W CC,"$51,809.59 "
Cardiovascular Services,254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"$35,151.38 "
Cardiovascular Services,255,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W MCC,"$39,226.42 "
Cardiovascular Services,256,UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,"$42,645.51 "
Cardiovascular Services,258,CARDIAC PACEMAKER DEVICE REPLACEMENT W MCC, 
Cardiovascular Services,259,CARDIAC PACEMAKER DEVICE REPLACEMENT W/O MCC, 
Cardiovascular Services,260,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W MCC, 
Cardiovascular Services,261,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W CC,"$32,536.43 "
Cardiovascular Services,262,CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC, 
Cardiovascular Services,263,VEIN LIGATION & STRIPPING, 
Cardiovascular Services,264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"$52,829.98 "
Cardiovascular Services,265,AICD LEAD PROCEDURES, 
Cardiovascular Services,280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$25,237.30 "
Cardiovascular Services,281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","$15,462.74 "
Cardiovascular Services,282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","$13,135.00 "
Cardiovascular Services,283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W MCC","$25,172.22 "
Cardiovascular Services,284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC", 
Cardiovascular Services,285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W/O CC/MCC","$8,269.23 "
Cardiovascular Services,286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","$33,784.06 "
Cardiovascular Services,287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","$22,919.90 "
Cardiovascular Services,288,ACUTE & SUBACUTE ENDOCARDITIS W MCC,"$7,457.04 "
Cardiovascular Services,289,ACUTE & SUBACUTE ENDOCARDITIS W CC, 
Cardiovascular Services,290,ACUTE & SUBACUTE ENDOCARDITIS W/O CC/MCC, 
Cardiovascular Services,291,HEART FAILURE & SHOCK W MCC,"$21,345.98 "
Cardiovascular Services,292,HEART FAILURE & SHOCK W CC,"$13,068.52 "
Cardiovascular Services,293,HEART FAILURE & SHOCK W/O CC/MCC,"$9,954.76 "
Cardiovascular Services,294,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,"$10,867.94 "
Cardiovascular Services,296,"CARDIAC ARREST, UNEXPLAINED W MCC","$16,655.61 "
Cardiovascular Services,297,"CARDIAC ARREST, UNEXPLAINED W CC", 
Cardiovascular Services,299,PERIPHERAL VASCULAR DISORDERS W MCC,"$16,440.32 "
Cardiovascular Services,300,PERIPHERAL VASCULAR DISORDERS W CC,"$12,299.86 "
Cardiovascular Services,301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"$6,861.73 "
Cardiovascular Services,302,ATHEROSCLEROSIS W MCC,"$10,295.83 "
Cardiovascular Services,303,ATHEROSCLEROSIS W/O MCC,"$9,153.08 "
Cardiovascular Services,304,HYPERTENSION W MCC,"$21,012.68 "
Cardiovascular Services,305,HYPERTENSION W/O MCC,"$10,377.86 "
Cardiovascular Services,306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,"$14,516.63 "
Cardiovascular Services,307,CARDIAC CONGENITAL & VALVULAR DISORDERS W/O MCC,"$5,643.71 "
Cardiovascular Services,308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"$17,814.33 "
Cardiovascular Services,309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"$12,335.47 "
Cardiovascular Services,310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"$9,458.89 "
Cardiovascular Services,311,ANGINA PECTORIS,"$6,327.72 "
Cardiovascular Services,312,SYNCOPE & COLLAPSE,"$12,641.17 "
Cardiovascular Services,313,CHEST PAIN,"$10,985.10 "
Cardiovascular Services,314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$25,027.17 "
Cardiovascular Services,315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$16,404.34 "
Cardiovascular Services,316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,"$6,905.58 "
Surgical,326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC","$113,074.06 "
Surgical,327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","$61,583.13 "
Surgical,328,"STOMACH, ESOPHAGEAL & DUODENAL PROC W/O CC/MCC","$30,743.13 "
Surgical,329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$98,428.99 "
Surgical,330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"$45,278.78 "
Surgical,331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$47,126.32 "
Surgical,333,RECTAL RESECTION W CC,"$41,277.98 "
Surgical,334,RECTAL RESECTION W/O CC/MCC, 
Surgical,335,PERITONEAL ADHESIOLYSIS W MCC,"$82,022.78 "
Surgical,336,PERITONEAL ADHESIOLYSIS W CC,"$33,678.97 "
Surgical,337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$28,837.32 "
Surgical,338,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W MCC,"$37,780.30 "
Surgical,339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"$33,337.88 "
Surgical,340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$28,628.12 "
Surgical,341,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,"$32,245.90 "
Surgical,342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"$25,997.90 "
Surgical,343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"$22,347.75 "
Surgical,344,MINOR SMALL & LARGE BOWEL PROCEDURES W MCC, 
Surgical,345,MINOR SMALL & LARGE BOWEL PROCEDURES W CC,"$35,366.58 "
Surgical,346,MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"$21,245.47 "
Surgical,347,ANAL & STOMAL PROCEDURES W MCC, 
Surgical,348,ANAL & STOMAL PROCEDURES W CC,"$23,630.20 "
Surgical,349,ANAL & STOMAL PROCEDURES W/O CC/MCC, 
Surgical,350,INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,"$117,456.79 "
Surgical,351,INGUINAL & FEMORAL HERNIA PROCEDURES W CC,"$42,203.23 "
Surgical,352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"$20,093.07 "
Surgical,353,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,"$71,052.20 "
Surgical,354,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,"$21,324.89 "
Surgical,355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"$21,324.42 "
Surgical,356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,"$61,692.07 "
Surgical,357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,"$35,863.03 "
Surgical,358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC, 
Medical,368,MAJOR ESOPHAGEAL DISORDERS W MCC,"$24,694.29 "
Medical,369,MAJOR ESOPHAGEAL DISORDERS W CC,"$14,728.70 "
Medical,370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,"$12,615.48 "
Medical,371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,"$21,641.03 "
Medical,372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,"$19,478.81 "
Medical,373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,"$11,553.97 "
Oncology,374,DIGESTIVE MALIGNANCY W MCC,"$27,703.24 "
Oncology,375,DIGESTIVE MALIGNANCY W CC,"$14,059.43 "
Oncology,376,DIGESTIVE MALIGNANCY W/O CC/MCC,"$17,365.95 "
Medical,377,G.I. HEMORRHAGE W MCC,"$26,168.84 "
Medical,378,G.I. HEMORRHAGE W CC,"$16,017.58 "
Medical,379,G.I. HEMORRHAGE W/O CC/MCC,"$11,377.40 "
Medical,380,COMPLICATED PEPTIC ULCER W MCC,"$17,488.22 "
Medical,381,COMPLICATED PEPTIC ULCER W CC,"$16,789.60 "
Medical,382,COMPLICATED PEPTIC ULCER W/O CC/MCC,"$14,346.73 "
Medical,383,UNCOMPLICATED PEPTIC ULCER W MCC, 
Medical,384,UNCOMPLICATED PEPTIC ULCER W/O MCC,"$11,835.95 "
Medical,385,INFLAMMATORY BOWEL DISEASE W MCC,"$23,541.89 "
Medical,386,INFLAMMATORY BOWEL DISEASE W CC,"$13,683.81 "
Medical,387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"$10,143.13 "
Medical,388,G.I. OBSTRUCTION W MCC,"$28,111.33 "
Medical,389,G.I. OBSTRUCTION W CC,"$12,614.29 "
Medical,390,G.I. OBSTRUCTION W/O CC/MCC,"$10,659.66 "
Medical,391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","$26,597.69 "
Medical,392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","$11,668.67 "
Medical,393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"$31,771.89 "
Medical,394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"$15,228.55 "
Medical,395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$11,947.64 "
Surgical,405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC","$103,205.69 "
Surgical,406,"PANCREAS, LIVER & SHUNT PROCEDURES W CC","$82,351.85 "
Surgical,408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,"$127,582.83 "
