SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT
Breast Procedures,HC BX BREAST W DEVICE STEREOTACTIC ADDL LES,$574.00 ,,
Breast Procedures,HC BX BREAST W DEVICE US GUIDANCE 1ST LES,"$2,529.00 ",,
Breast Procedures,HC BX BREAST W DEVICE US GUIDANCE ADDL LES,$574.00 ,,
Breast Procedures,HC EXCISION CHEST WALL LESION,"$2,128.00 ",,
Breast Procedures,HC INJ DUCTOGRAM OR GALACTOGRAM,"$1,058.00 ",,
Breast Procedures,HC PLC BREAST LCL DEVICE STEREOTACTIC ADDL LES,$269.00 ,,
Breast Procedures,HC PLC BREAST LCL DEVICE US GUIDANCE 1ST LES,$274.00 ,,
Breast Procedures,HC PLC BREAST LCL DEVICE US GUIDANCE ADDL LES,$269.00 ,,
Breast Procedures,HC PLC BREAST LCL DEVICE W MAMMO GUID 1ST LES,$274.00 ,,
Breast Procedures,HC PLC BREAST LCL DEVICE W MAMMO GUID ADDL LES,$274.00 ,,
Cardiac Procedures and Services,HC ABLATION ADDL A FIB,"$4,570.00 ",,
Cardiac Procedures and Services,HC ABLATION AV,"$18,598.00 ",,
Cardiac Procedures and Services,HC ABLATION DISTINCT FROM PRIMARY,"$4,570.00 ",,
Cardiac Procedures and Services,HC ANALYSIS ICD LEAD GENERATOR AT IMPLANT,"$3,403.00 ",,
Cardiac Procedures and Services,HC ANALYSIS ICD LEADS AT IMPLANT,"$4,420.00 ",,
Cardiac Procedures and Services,HC ARRHYTHMIA INDUCTION ELECTRICAL,"$4,436.00 ",,
Cardiac Procedures and Services,HC ATHERECTOMY EA ADD BRANCH MAJ COR ART,"$10,953.00 ",,
Cardiac Procedures and Services,HC ATHERECTOMY SGL MAJ COR ART OR BRANCH,"$12,542.00 ",,
Cardiac Procedures and Services,HC ATHERECTOMY W STENT ADDL BRANCH,"$9,800.00 ",,
Cardiac Procedures and Services,HC ATHERECTOMY W STENT MAJ COR ART OR BRANCH,"$12,542.00 ",,
Cardiac Procedures and Services,HC ATHLETIC SCREENING ECHO,$73.00 ,,
Cardiac Procedures and Services,HC BIOPSY ENDOMYOCARDIAL,"$8,514.00 ",,
Cardiac Procedures and Services,HC BUNDLE OF HIS RECORDING,"$4,893.00 ",,
Cardiac Procedures and Services,HC CARD REHAB W MON,$341.00 ,,
Cardiac Procedures and Services,HC CARD REHAB WO MON,$240.00 ,,
Cardiac Procedures and Services,HC CARDIOVERSION ELECTIVE EXTERNAL,"$5,172.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIO W BYPASS GRAFTS,"$10,037.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY,"$8,250.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY W LHC,"$10,171.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY W LHC AND RHC,"$11,197.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIOGRAPHY W RHC,"$11,096.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIOGRPHY W BYP GRFTS AND LHC,"$10,762.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIOGRPHY W BYP GRFTS AND RHC,"$11,300.00 ",,
Cardiac Procedures and Services,HC CORONARY ANGIOGRPHY W BYP GRFTS LHC AND RHC,"$12,570.00 ",,
Cardiac Procedures and Services,HC CPR,"$1,738.00 ",,
Cardiac Procedures and Services,HC DE STENT EA ADDL MAJ COR ARTERY OR BRANCH,"$5,112.00 ",,
Cardiac Procedures and Services,HC DE STENT SGL MAJ COR ARTERY OR BRANCH,"$11,483.00 ",,
Cardiac Procedures and Services,HC DE STENT W ATHER MAJ COR ARTERY OR BRANCH,"$14,119.00 ",,
Cardiac Procedures and Services,HC DE STENT W ATHERECTOMYADDL BRANCH,"$10,953.00 ",,
Cardiac Procedures and Services,HC ECHO 2D W WO M MODE W CONT COMP,"$1,926.00 ",,
Cardiac Procedures and Services,HC ECHO 2D W WO M MODE W CONT LTD,"$1,926.00 ",,
Cardiac Procedures and Services,HC ECHO 2D W WO M-MODE LIMITED,"$1,205.00 ",,
Cardiac Procedures and Services,HC ECHO COLOR FLOW VELOCITY MAPPING,$157.00 ,,
Cardiac Procedures and Services,HC ECHO COMPLETE W DOPPLER,"$1,646.00 ",,
Cardiac Procedures and Services,HC ECHO COMPLETE W DOPPLER W  CONTRAST,"$2,518.00 ",,
Cardiac Procedures and Services,HC ECHO CONGEN CARDIAC ANOMALY COMP,"$2,246.00 ",,
Cardiac Procedures and Services,HC ECHO CONGEN CARDIAC ANOMALY COMP W CONT,"$2,340.00 ",,
Cardiac Procedures and Services,HC ECHO CONGEN CARDIAC ANOMALY LTD,"$1,646.00 ",,
Cardiac Procedures and Services,HC ECHO DOPPLER,$226.00 ,,
Cardiac Procedures and Services,HC ECHO DOPPLER LIMITED,$211.00 ,,
Cardiac Procedures and Services,HC ECHO REST AND STRESS W CONTRAST,"$2,518.00 ",,
Cardiac Procedures and Services,HC ECHO STRESS AND REST WO CONT EKG MONITOR,"$1,646.00 ",,
Cardiac Procedures and Services,HC ECHO TEE COMPLETE,"$2,368.00 ",,
Cardiac Procedures and Services,HC ECHO TEE CONGEN CARD ANOMALY COMPLETE,"$1,879.00 ",,
Cardiac Procedures and Services,HC ECHO TEE PROBE PLCMT ONLY,"$1,671.00 ",,
Cardiac Procedures and Services,HC ECHO TEE W CONTRAST COMPLETE,"$2,604.00 ",,
Cardiac Procedures and Services,HC EKG,$109.00 ,,
Cardiac Procedures and Services,HC EKG RHYTHM TRACING ONLY,$320.00 ,,
Cardiac Procedures and Services,HC EKG SIGNAL AVERAGED,$651.00 ,,
Cardiac Procedures and Services,HC EP COMPREHENSIVE LEFT ATRIUM,"$10,590.00 ",,
Cardiac Procedures and Services,HC EP COMPREHENSIVE LEFT VENTRICLE,"$10,663.00 ",,
Cardiac Procedures and Services,HC EP COMPREHENSIVE W INDUCTION ARRHYTHMIA,"$24,977.00 ",,
Cardiac Procedures and Services,HC EP COMPREHENSIVE WO INDUCTION ARRHYTHMIA,"$12,619.00 ",,
Cardiac Procedures and Services,HC EP EVAL ICD IMPLANT,"$8,988.00 ",,
Cardiac Procedures and Services,HC EP EVAL SUBQ IMPLANTABLE DEFIB,$170.00 ,,
Cardiac Procedures and Services,HC EP EVAL W ABLATION A FIB,"$67,957.00 ",,
Cardiac Procedures and Services,HC EP EVAL W ABLATION SVT,"$29,148.00 ",,
Cardiac Procedures and Services,HC EP EVAL W ABLATION VT,"$35,330.00 ",,
Cardiac Procedures and Services,HC EP FOLLOWUP STUDY,"$15,472.00 ",,
Cardiac Procedures and Services,HC EP STUDY WITH RX,"$5,986.00 ",,
Cardiac Procedures and Services,HC EVENT RECORDING,$453.00 ,,
Cardiac Procedures and Services,HC HEART FLOW RESERVE MEASURE ADDL,"$3,031.00 ",,
Cardiac Procedures and Services,HC HEART FLOW RESERVE MEASURE INIT,"$4,901.00 ",,
Cardiac Procedures and Services,HC HOLTER SCAN RECORDING UP TO 48 HR,$453.00 ,,
Cardiac Procedures and Services,HC IMPLANT SUBQ DEFIB DEVICE SYS EVAL,$170.00 ,,
Cardiac Procedures and Services,HC INJ AORTOGRAPHY SUPRAVALVULAR,"$2,303.00 ",,
Cardiac Procedures and Services,HC INJ PULMONARY ANGIOGRAPHY,"$2,473.00 ",,
Cardiac Procedures and Services,HC INJ RIGHT ATRIAL VENTRICULAR ANGIO,$841.00 ,,
Cardiac Procedures and Services,HC INSERT SWAN GANZ CATHETER,"$5,114.00 ",,
Cardiac Procedures and Services,HC INTERROGATION DEFIB WO REPROGRAM,$175.00 ,,
Cardiac Procedures and Services,HC INTERROGATION IMPLANT MONITOR SYSTEM,$79.00 ,,
Cardiac Procedures and Services,HC INTERROGATION PACER DEFIB REMOTE,$82.00 ,,
Cardiac Procedures and Services,HC INTERROGATION PACER WO REPROGRAM,$103.00 ,,
Cardiac Procedures and Services,HC INTERROGATION SQ CRM,$97.00 ,,
Cardiac Procedures and Services,HC INTERROGATION VAD,$303.00 ,,
Cardiac Procedures and Services,HC INTRA ATRIAL PACING,"$4,367.00 ",,
Cardiac Procedures and Services,HC INTRA ATRIAL RECORDING,"$4,400.00 ",,
Cardiac Procedures and Services,HC INTRACARD ELECTROPHYS 3D MAPPING,"$10,819.00 ",,
Cardiac Procedures and Services,HC INTRACARDIAC ECHO,"$3,730.00 ",,
Cardiac Procedures and Services,HC INTRAVASC OCT ADDL VESSEL,"$4,082.00 ",,
Cardiac Procedures and Services,HC INTRAVASC OCT INITIAL VESSEL,"$5,157.00 ",,
Cardiac Procedures and Services,HC INTRAVENT INTRA ATRIAL MAPPING,"$9,402.00 ",,
Cardiac Procedures and Services,HC INTRAVENTRICULAR PACING,"$5,036.00 ",,
Cardiac Procedures and Services,HC IVUS CORONARY EACH ADDL VESSEL,"$2,995.00 ",,
Cardiac Procedures and Services,HC IVUS CORONARY INITIAL VESSEL,"$5,120.00 ",,
Cardiac Procedures and Services,HC LEFT HEART CATH,"$6,430.00 ",,
Cardiac Procedures and Services,HC LHC VIA TRANSEPTAL PUNCTURE,"$7,524.00 ",,
Cardiac Procedures and Services,HC MYOCARDIAL STRAIN IMAGING,$211.00 ,,
Cardiac Procedures and Services,HC PERC TRANSLUMIN COR THROMBECTOMY,"$2,846.00 ",,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON ANGIOPLASTY PULMNARY,"$11,069.00 ",,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON VALVOPLASTY AORTIC,"$22,073.00 ",,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON VALVOPLASTY MITRAL,"$11,069.00 ",,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON VALVOPLASTY PULM,"$11,069.00 ",,
Cardiac Procedures and Services,HC PERI-PROC DEVICE EVAL AND PROGRAM IMPLANTABLE DEFIBRILLATOR,$237.00 ,,
Cardiac Procedures and Services,HC PERI-PROC DEVICE EVAL AND PROGRAM PACEMAKER,$179.00 ,,
Cardiac Procedures and Services,HC PERQ TRANSCATH SEPTAL REDUCTION,"$11,473.00 ",,
Cardiac Procedures and Services,HC PHARM AGENT ADMIN NITRIC OXIDE,$841.00 ,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL DUAL DEFIB,$221.00 ,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL DUAL PACER,$160.00 ,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL MULTI DEFIB,$244.00 ,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL MULTI PACER,$188.00 ,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL SINGLE DEFIB,$170.00 ,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL SINGLE PACER,$160.00 ,,
Cardiac Procedures and Services,HC PROGRAM SQ CRM INCL RETREIVAL REPORT,$112.00 ,,
Cardiac Procedures and Services,HC PTCA ADDL BRANCH MAJ COR ART,"$4,896.00 ",,
Cardiac Procedures and Services,HC PTCA SGL MAJ COR ART OR BRANCH,"$5,115.00 ",,
Cardiac Procedures and Services,HC REMOTE INTERROGATION SQ CRM,$117.00 ,,
Cardiac Procedures and Services,HC REVASC ACUTE OCCLUSION DURING MI SGL VES,"$13,638.00 ",,
Cardiac Procedures and Services,HC REVASC CABG DE STENT,"$12,165.00 ",,
Cardiac Procedures and Services,HC REVASC CHRONIC OCC DE STENT ADDL VESSEL,"$7,814.00 ",,
Cardiac Procedures and Services,HC REVASC CHRONIC OCC DE STENT SGL VESSEL,"$18,728.00 ",,
Cardiac Procedures and Services,HC REVASC CHRONIC OCCLUSION EA ADDL VESSEL,"$9,800.00 ",,
Cardiac Procedures and Services,HC REVASC CHRONIC OCCLUSION SGL VESSEL,"$18,931.00 ",,
Cardiac Procedures and Services,HC REVASC DE STENT ADD BRNCH CABG,"$5,130.00 ",,
Cardiac Procedures and Services,HC REVASC OCC DURING MI DE STENT SGL,"$14,633.00 ",,
Cardiac Procedures and Services,HC REVASCULARIZATION CABG 1 VESSEL,"$11,386.00 ",,
Cardiac Procedures and Services,HC REVASCULARIZATION CABG EA ADDL VESSEL,"$9,983.00 ",,
Cardiac Procedures and Services,HC RIGHT AND LEFT HEART CATH,"$15,121.00 ",,
Cardiac Procedures and Services,HC RIGHT HEART CATH,"$8,972.00 ",,
Cardiac Procedures and Services,HC RIGHT VENTRICULAR RECORDING,"$5,036.00 ",,
Cardiac Procedures and Services,HC STENT EA ADDL MAJ COR ART OR BRANCH,"$9,983.00 ",,
Cardiac Procedures and Services,HC STENT SGL MAJ COR ART OR BRANCH,"$11,483.00 ",,
Cardiac Procedures and Services,HC STRESS TEST TRACING ONLY,$877.00 ,,
Cardiac Procedures and Services,HC SUBQ DEFIB INTERROGATION DEVICE EVAL,$172.00 ,,
Cardiac Procedures and Services,HC SUBQ DEFIB PROGRAMMING DEVICE EVAL,$170.00 ,,
Cardiac Procedures and Services,HC TEMPORARY EXTERNAL PACING,$478.00 ,,
Cardiac Procedures and Services,HC TILT TABLE EVAL,"$2,128.00 ",,
Cardiac Procedures and Services,HC TISSUE DOPPLER IMAGING,"$3,498.00 ",,
Cardiac Procedures and Services,HC TRANSCATH CLOSURE ASD W/IMPLANT,"$11,473.00 ",,
Cardiac Procedures and Services,HC TRANSCATH CLOSURE VSD W/IMPLANT,"$12,380.00 ",,
Cardiac Procedures and Services,HC TRANSTELEPHONIC PACER EVAL,$135.00 ,,
Cardiac Procedures and Services,HC UNLISTED CARDIOVASCULAR PROCEDURE,"$3,498.00 ",,
Cardiovascular Procedures,HC ABG PUNCTURE,$114.00 ,,
Cardiovascular Procedures,HC ART MECH THROM (NON COR) 1ST VES,"$6,594.00 ",,
Cardiovascular Procedures,HC ART MECH THROM (NON COR) SECONDARY,"$7,906.00 ",,
Cardiovascular Procedures,HC ART MECH THROM (NON COR)ADDL VES,"$7,111.00 ",,
Cardiovascular Procedures,HC AV FISTULA REVISION OPEN WO THROMB,"$5,411.00 ",,
Cardiovascular Procedures,HC CATH UMBILICAL VEIN,$176.00 ,,
Cardiovascular Procedures,HC CATH VENOUS SEL ORGAN BLOOD SAMPLE,$173.00 ,,
Cardiovascular Procedures,HC COLLECT BLD SPEC IMPL VAD,$780.00 ,,
Cardiovascular Procedures,HC COLLECT SPEC PICC OR CVC,$56.00 ,,
Cardiovascular Procedures,HC COLLECTION CAPILLARY BLOOD SPECIMEN,$15.00 ,,
Cardiovascular Procedures,HC CONTRAST INJ VAD W FLUORO,"$1,966.00 ",,
Cardiovascular Procedures,HC DECLOT CATH OR VAD BY THROMBOLYTIC,"$1,220.00 ",,
Cardiovascular Procedures,HC DELAYED PLCMNT EXT PROSTHESIS FOR ENDOVASC REP EA ADDL VESSEL W IMG,"$11,224.00 ",,
Cardiovascular Procedures,HC DELAYED PLCMNT EXT PROSTHESIS FOR ENDOVASC REP INIT VESSEL W IMG,"$12,853.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT INTRO NEEDLE/CATH  W PLCMT OF STENT PERIPHERAL W IMG,"$24,827.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT INTRO NEEDLE/CATH W IMG,"$3,398.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT INTRO NEEDLE/CATH W TBA PERIPHERAL W IMG,"$11,555.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT PERC THROMBECTOMY OR THROMBOLYSIS INFU W IMG,"$8,910.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT PERC THROMBECTOMY OR THROMBOLYSIS INFU W PLCMT OF STENT PERIPHERAL W IMG,"$30,339.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT PERC THROMBECTOMY OR THROMBOLYSIS INFU W TBA PERIPHERAL W IMG,"$17,068.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT PLCMT OF STENT CENTRAL INCLD ANGIOPLASTY W IMG ADD ON,"$13,271.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT TBA CENTRAL W IMG ADD ON,"$8,157.00 ",,
Cardiovascular Procedures,HC DIALYSIS CIRCUIT VASC EMBOLIZATION OR OCCLUSION W IMG ADD ON,"$10,444.00 ",,
Cardiovascular Procedures,HC EMBOLECTOMY FEM POP AORTOILIAC ART,"$4,634.00 ",,
Cardiovascular Procedures,HC ENDOVASC REP DESCEND THORAC AORTA NO SUBCL,"$2,473.00 ",,
Cardiovascular Procedures,HC ENDOVASC REP DESCEND THORAC AORTA SUBCLAV,"$2,473.00 ",,
Cardiovascular Procedures,HC ENDOVASC VISC AORTA 2 GRAFT,"$11,921.00 ",,
Cardiovascular Procedures,HC ENDOVEN ABLAT INCOMPETENT EXT VEIN W IMG ADDL VEIN,"$1,255.00 ",,
Cardiovascular Procedures,HC ENDOVEN ABLAT INCOMPETENT EXT VEIN W IMG INITIAL VEIN,"$1,959.00 ",,
Cardiovascular Procedures,HC ENDOVENOUS ABLATION EXT LASER 1ST VEIN,"$5,829.00 ",,
Cardiovascular Procedures,HC ENDOVENOUS ABLATION EXT LASER 2ND+ VEINS,"$1,941.00 ",,
Cardiovascular Procedures,HC ENDOVENOUS ABLATION EXT RF 1ST VEIN,"$3,111.00 ",,
Cardiovascular Procedures,HC ENDOVENOUS ABLATION EXT RF 2ND+ VEINS,"$1,941.00 ",,
Cardiovascular procedures,HC ENDOVENOUS FEMORAL-POPLITEAL ARTERIAL REVASC,"$15,396.32 ",,
Cardiovascular Procedures,HC ENDVSC REP ILIAC ART BY ILIO-ILIAC ENDGRFT UNI NOT RUPT W IMG,"$35,454.00 ",,
Cardiovascular Procedures,HC ENDVSC REP ILIAC ART BY ILIO-ILIAC ENDGRFT UNI RUPT W IMG,"$35,454.00 ",,
Cardiovascular Procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-BI-ILC ENDGRFT NOT RUPT W IMG,"$30,889.00 ",,
Cardiovascular Procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-BI-ILC ENDGRFT RUPT W IMG,"$30,889.00 ",,
Cardiovascular Procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-UNI-ILC ENDGRFT NOT RUPT W IMG,"$30,724.00 ",,
Cardiovascular Procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-UNI-ILC ENDGRFT RUPT W IMG,"$30,724.00 ",,
Cardiovascular Procedures,HC ENDVSC REP INFRNL AORTA BY AORTO-AORTIC ENDGRFT NOT RUPT W IMG,"$30,073.00 ",,
Cardiovascular Procedures,HC ENDVSC REP INFRNL AORTA BY AORTO-AORTIC ENDGRFT RUPT W IMG,"$30,073.00 ",,
Cardiovascular Procedures,HC EXTERNAL COUNTERPULSATION,"$2,774.00 ",,
Cardiovascular Procedures,HC FEM FEM PROSTHETIC GRAFT,"$3,402.00 ",,
Cardiovascular Procedures,HC ICD LEAD EXTRACTION,"$55,746.00 ",,
Cardiovascular Procedures,HC ILIAC EA ADDL IPSILAT VSL W PTA,"$3,854.00 ",,
Cardiovascular Procedures,HC ILIAC EA ADL IPSIL VSL W STENT,"$3,692.00 ",,
Cardiovascular Procedures,HC INJ FOAM SCLEROSANT W ULTRASOUND COMPRESSION EXTREMITY MULTIPLE VEINS,$994.00 ,,
Cardiovascular Procedures,HC INJ FOAM SCLEROSANT W ULTRASOUND COMPRESSION EXTREMITY SINGLE VEIN,$994.00 ,,
Cardiovascular Procedures,HC INJ SCLEROSANT FOR SPIDER VEINS LIMB OR TRUNK,$59.00 ,,
Cardiovascular Procedures,HC INJ SCLEROSING SOLN MULT INCOMPETENT VEINS SAME LEG,$178.00 ,,
Cardiovascular Procedures,HC INJ SCLEROSING SOLN SINGLE INCOMPETENT VEIN,$178.00 ,,
Cardiovascular Procedures,HC INJECTION EXTREMITY VENOGRAM,"$2,068.00 ",,
Cardiovascular Procedures,HC INJECTION THROMBIN PSEUDOANEURYSM,"$3,258.00 ",,
Cardiovascular Procedures,HC INS CATH 2ND+ ORDER REN ART BIL W IMG,"$7,589.00 ",,
Cardiovascular Procedures,HC INS CATH 2ND+ ORDER REN ART UNI W IMG,"$5,487.00 ",,
Cardiovascular Procedures,HC INS ELECTRODE AT INS ICD OR PACER,"$17,164.00 ",,
Cardiovascular Procedures,HC INS ELECTRODE PREV PLACED ICD OR PACER,"$24,509.00 ",,
Cardiovascular Procedures,HC INS OR REPL ICD W PULSE GEN SGL OR DUAL,"$16,980.00 ",,
Cardiovascular Procedures,HC INSERT ARTERIAL CATH PERCUTANEOUS,$707.00 ,,
Cardiovascular Procedures,HC INSERT CVA 2 CATHS W PORT,"$3,819.00 ",,
Cardiovascular Procedures,HC INSERT CVA 2 CATHS WO PORT,"$2,672.00 ",,
Cardiovascular Procedures,HC INSERT CVA DEVICE W PORT,"$4,602.00 ",,
Cardiovascular Procedures,HC INSERT CVC NONTUNNELED AGE 5 OR OLDER,"$1,127.00 ",,
Cardiovascular Procedures,HC INSERT CVC TUNNELED AGE 5 OR OLDER,"$7,673.00 ",,
Cardiovascular Procedures,HC INSERT ICD GENERATOR ONLY DUAL,"$16,527.00 ",,
Cardiovascular Procedures,HC INSERT ICD GENERATOR ONLY MULT,"$12,800.00 ",,
Cardiovascular Procedures,HC INSERT IVC FILTER,"$6,686.00 ",,
Cardiovascular Procedures,HC INSERT PACER ATRIAL AND VENTRICULAR W LEAD,"$15,757.00 ",,
Cardiovascular Procedures,HC INSERT PACER ATRIAL W LEAD,"$22,481.00 ",,
Cardiovascular Procedures,HC INSERT PACER PULSE GENERATOR MULT LEADS,"$9,047.00 ",,
Cardiovascular Procedures,HC INSERT PACER VENTRICULAR W LEAD,"$15,757.00 ",,
Cardiovascular Procedures,HC INSERT PICC WO SQ PORT WO IMAGING GUIDANCE AGE 5 OR OLDER,"$1,176.00 ",,
Cardiovascular procedures,"HC INSERT PICC, WO SQ PORT, WITH IMAGING, > 5 YO","$1,977.00 ",,
Cardiovascular Procedures,HC INSERT PULSE GENERATOR ONLY DUAL,"$25,127.00 ",,
Cardiovascular Procedures,HC INSERT PULSE GENERATOR ONLY SGL,"$12,279.00 ",,
Cardiovascular procedures,HC INSERT SUBQ CARDIAC RHYTHM MONITOR INCL PROGRAMMING,"$13,928.00 ",,
Cardiovascular Procedures,HC INSERT SUBQ DEFIB ELECTRODE,"$15,258.00 ",,
Cardiovascular Procedures,HC INSERT SUBQ DEFIB W ELECTRODE,"$16,669.00 ",,
Cardiovascular Procedures,HC INSERT TEMPORARY PACEMAKER,"$7,665.00 ",,
Cardiovascular Procedures,HC INSERT VAD ARTERIAL & VENOUS ACCESS PERCUTANEOUS W IMG,$978.00 ,,
Cardiovascular Procedures,HC INSERT VAD ARTERIAL ACCESS PERCUTANEOUS W IMG,$978.00 ,,
Cardiovascular Procedures,HC INSERTION IABP PERC,"$2,619.00 ",,
Cardiovascular Procedures,HC INSERTION ICD GENERATOR ONLY SINGLE,"$18,394.00 ",,
Cardiovascular Procedures,HC INSERTION OF TIPS,"$12,889.00 ",,
Cardiovascular Procedures,HC INSERTION TRANSVENOUS ELECTRODE DUAL,"$13,040.00 ",,
Cardiovascular Procedures,HC INSERTION TRANSVENOUS ELECTRODE SINGLE,"$15,543.00 ",,
Cardiovascular procedures,HC INTRAPROCEDURAL CORONARY FFR VALUES FOR STENOSIS INTERVEN ADD ON,$328.00 ,,
Cardiovascular Procedures,HC INTRO CATHETER RT HEART OR MAIN PULM ART,$378.00 ,,
Cardiovascular Procedures,HC INTRO NEEDLE OR CATH AORTA TRANSLUMBAR,"$1,323.00 ",,
Cardiovascular Procedures,HC INTRO NEEDLE OR CATH EXTREMITY ARTERY,"$1,645.00 ",,
Cardiovascular Procedures,HC INTRO NEEDLE OR INTRACATHETER VEIN,$734.00 ,,
Cardiovascular Procedures,HC INTRODUCTION CATHETER AORTA,"$1,645.00 ",,
Cardiovascular Procedures,HC INTRODUCTION CATHETER INF OR SUP VENA CAVA,$985.00 ,,
Cardiovascular Procedures,HC IVUS NON-CORONARY INITIAL VESSEL W IMG EA ADDL VESSEL,"$1,695.00 ",,
Cardiovascular Procedures,HC IVUS NON-CORONARY INITIAL VESSEL W IMG INITIAL VESSEL,"$4,408.00 ",,
Cardiovascular Procedures,HC LIGATION/BIOPSY TEMPORAL ARTERY,"$1,457.00 ",,
Cardiovascular Procedures,HC NEEDLE PLCMT INTRAOSSEOUS INFUSION,$398.00 ,,
Cardiovascular Procedures,HC NONSEL CATH THOR AORTA ANGIO INTR XTRCRANIAL ART,"$2,941.00 ",,
Cardiovascular Procedures,HC OPEN FEM ART FOR AEP BY INCSN UNILAT,"$12,320.00 ",,
Cardiovascular Procedures,HC OPEN OR PERQ PLACE STENT 1ST ARTERY,"$12,370.00 ",,
Cardiovascular Procedures,HC OPEN OR PERQ PLACE STENT 1ST VEIN,"$12,370.00 ",,
Cardiovascular Procedures,HC OPEN OR PERQ PLACE STENT EA ADD ART,"$6,071.00 ",,
Cardiovascular Procedures,HC OPEN OR PERQ PLACE STENT EA ADD VEIN,"$6,071.00 ",,
Cardiovascular Procedures,HC PERC ACCESS & CLOSURE FEM ART FOR ENDGRFT DEL UNI W IMG ADD ON,"$12,320.00 ",,
