DESCRIPTION                     ,CHARGE,CPT CODE
ER DRESS/DEBRIDE SM BURN,430,16020
ER DRESS/DEBRIDE MED BURN,482,16025
ER DRESS/DEBRIDE LG BURN,578,16030
ED DESTRUCT BENIGN LESIONS,191,17110
ER CHEM CAUTER GRAN TISSUE,324,17250
ED SKIN TISSUE PROCEDURE,390,17999
MWHC BREAST BIOPSY,1157,19100
ER PENETRATING WOUND CHEST,3775,20101
ED WOUND EXPLORATION,5108,20102
ER PENETRATING WOUND EXTREMITY,3588,20103
BONE BIOPSY SUPERFICIAL,1830,20220
MWHC BONE BIOPSY SUPERFICIAL,5006,20240
MWHC BONE BIOPSY DEEP,5155,20245
ED TRIGGER PT INJ 1-2 MUSCLES,601,20552
ER ARTHROCENTESIS INTERMED JT,507,20605
ER ARTHROCENTESIS MAJOR JOINT,478,20610
ED ASPIRATION OF GANGLION CYST,541,20612
ED REPLANTATION DIGIT,4969,20822
INTERSTIT FLUID PRESS. MONITOR,322,20950
ED NASAL BONE FRACTURE,590,21315
ED RESET DISLOCATED JAW,276,21480
ED CLOSED TRX CLAVICLE FX,2425,23505
ER SHOULDER REDUCTION,418,23575
ED TX PROXIMAL HUMERAL FX,4646,23605
ER CLOSED REDUCTION SHOULDER,563,23650
ED REDUCT SHOULDER W ANESTH,3455,23655
ED TREAT SHOULDER DISLOCATION,1223,23665
ER FOREIGN BODY REMOVAL DEEP,2063,24201
ED TX HUMERUS FRACTURE,332,24505
ED CLOSED TX ELBOW FRACTURE,1376,24535
ED TREAT HUMERUS FRACTURE,377,24577
ER CLOSED ELBOW REDUCTION,380,24600
ER RADIAL HEAD SUBLUXATION,359,24640
ER TREAT ELBOW FRACTURE,1090,24655
ED TREAT ULNAR FRACTURE,404,24675
ED REDUCE RADIAL SHAFT FRACT,1382,25505
ED CLS FX TX RAD&UL SFT W/MAN,418,25565
ED REDUC FX RADIUS AND ULNA,450,25605
ER WRIST REDUCTION,339,25660
ER DISTAL RADIOULNAR DISLOC,369,25675
ED TREAT LUNATE DISLOCATION,4824,25690
ED I&D FINGER ABSCESS,380,26010
ED DRAIN FINGER ABSCESS,2904,26011
ED REPAIR FLEXOR TENDON,4801,26350
ED RPR HAND TENDON EA,2468,26410
ED TREAT METACARPAL FRACTURE,415,26605
ED TREAT THUMB DISLOCATION,406,26641
ED DISLOCATION OF KNUCKLE,480,26700
ED TREAT FINGER FRACTURE,467,26725
ED TREAT FINGER FRACTURE,415,26742
ED DISTAL PHALANGEAL FRACTURE,354,26755
ED REDUC INTERPHALANGEAL JOINT,476,26770
ED AMPUTATION DIRECT CLOSURE,4030,26951
ED REPAIR HAND UNLISTED PROC,476,26989
ED TX HIP DISLOCATION CLOSED,352,27250
ED POST HIP ARTHRO DISLOCATION,453,27265
ED TREAT FEMORAL FRACTURE,5002,27502
ED CLOSED TX KNEE DISLOCATION,397,27550
ED CLOSED PATELLA DISLOCATION,418,27560
ER TREAT FIBULA FRACTURE,408,27788
ED TREAT ANKLE FRACTURE,1509,27810
ED TREAT ANKLE FRACTURE,1515,27818
ED CL TX FX W MANIP,2573,27825
ER ANKLE DISLOCATION CLOSED,415,27840
ER CLOSED ANKLE REDUCTION,2569,27842
ED LEG/ANKLE PROCEDURE,427,27899
ED FOREIGN BODY REMOVAL FOOT,1122,28190
ED REMOVE FB FOOT DEEP,2800,28192
RELEASE OF TENDON,4837,28220
ED TREAT TALUS FRACTURE,418,28435
ED TREAT METATARSAL FRACTURE,418,28475
ED TOE FRACTURE,393,28495
ED TREAT TOE FRACTURE,393,28515
ED TREAT TARSAL BONE DISLOC,325,28540
ED TOE DISLOCATION WO ANESTH,401,28630
ER REDUCTION OF TOE,322,28660
ER TOE DISLOCATION,2547,28665
APPLY/LONG ARM SPLINT STATIC,457,29105
APPLY/SHORT ARM SPLINT STATIC,391,29125
DYNAMIC ARM SPLINT,502,29126
ED FINGER SPLINT STATIC,281,29130
DYNAMIC FINGER SPLINT,334,29131
STRAPPING ELBOW OR WRIST,150,29260
STRAPPING HAND OR FINGER,150,29280
MWHC APPLY TOTAL CONTACT CAST,542,29445
ED APPLY LONG LEG SPLINT,391,29505
ED APPL SHORT LEG SPLINT,345,29515
UNNA BOOT,305,29580
MWHC APPLY COMPRESS SYST BILAT,432,29581
UNLISTED CASTING OR STRAPPING,325,29799
ER I&D NASAL LESION,521,30000
ER FB REMOVAL INTRANASAL,161,30300
ED CONTROL EPISTAXIS ANT SIMPL,301,30901
ER NASAL HEMORRHAGE COMPLEX,340,30903
ER NASAL HEMORRHAGE POSTERIOR,418,30905
ED CONTROL NASAL HEMORRHAGE,243,30906
ER ENDOTRACHEAL INTUBATION,750,31500
TRACH TUBE CHANGE,293,31502
ER LARYNGOSCOPY DIAGNOSTIC,233,31505
ER DIAG FLEX LARYNGOSCOPY,376,31575
CRICOTHYROTOMY,1543,31605
CATH ASPIRATION NT,125,31720
ED PARACENTESIS PUNCTURE LUNG,1222,32420
ER TUBE THORACOSTOMY,1179,32551
ER THORACENTESIS,1213,32554
ER PERICARDIOCENTESIS,919,33010
ER INSERT TEMP PACEMAKER,8916,33210
ED REPAIR BLOOD VESSEL DIRECT,5075,35206
ER REPAIR BLOOD VESSEL LESION,9774,35207
RPR BLOOD VESSEL LOW EXTREMITY,1981,35226
ER INTRO NEEDLE/CATH VEIN,136,36000
ED PLACE ARTERIAL LINE,180,36140
VENIPUNCTURE,20,36415
ER VENOUS ACCESS CUTDOWN,92,36425
2F BLOOD TRANSFUSION,665,36430
ED INSERT CV CATH,2465,36556
ED INSERT TUNNELED CV CATH,3997,36558
ER PICC LINE INSERTION,2535,36569
4F BLOOD DRAW FM ACCESS DEVICE,139,36591
SP CV CATH INJECTION,577,36598
ARTERIAL PUNCTURE FOR BLOODGAS,78,36600
ED ARTERIAL CATHETERIZATION,130,36620
ED INTRAOSSEOUS NEEDLE PLACE,371,36680
ED REVISION OF FISTULA,6995,36832
MWHC LIGATE LEG VEINS ONE LEG,5173,37761
ED VASCULAR PROCEDURE,3929,37799
NM SENTINEL NODE INJECTION,970,38792
ED I&D FACE AND MOUTH,306,40799
ED DRAIN ABSCESS OF MOUTH,345,40800
ER REMOVE EMBEDDED FB - MOUTH,149,40804
ED LACERATION REPAIR MOUTH,586,40830
ED EXCISE TONGUE LESION,3022,41110
ED REPAIR MOUTH LACERATION,661,41250
ED RPR TONGUE LACERATION,1720,41252
ER I&D DENTOALVEOLAR ABSCESS,481,41800
ED LACERATION REPAIR GUMLINE,656,41899
ED PERITONSILAR DRAINAGE,586,42700
ER FB REMOVAL PHARYNX,171,42809
ED PHARYNX ADENOIDS & TONSILS,286,42999
ED EGD W FOREIGN BODY REMOVAL,2021,43247
ER-GASTRIC LAVAGE,324,43753
MWHC CHG OR REPL GASTRO TUBE,756,43760
SMALL INTESTINE PROCEDURE,4962,44799
ED REDUCE PROLAPSED RECTUM,1125,45900
ED UNLISTED RECTAL PROCEDURE,1720,45999
ED INCISION RECTAL ABSCESS,5213,46040
ER I&D PERIANAL ABSCESS,1077,46050
ER INCISE EXTERNAL HEMORRHOID,876,46083
ED EXCISETHROMBOSED HEMORRHOID,4721,46320
ER DIAGNOSTIC ANOSCOPY,154,46600
ER RECTAL PROCEDURE,1431,46999
ER I&D ABDOMINAL ABSCESS,1526,49021
ER ABD PARACENTESIS - LAVAGE,772,49080
ER ABDOMINAL PARACENTESIS,1382,49082
ED ABDOMINAL PARACENTESIS,1373,49083
ED REPLACE G-J TUBE,1583,49452
MISC PROC ABDOMEN PERITONEUM,5821,49999
CT CYSTROGRAM INJECTION,200,51600
ED INSERT STRAIGHT CATHETER,151,51701
2F INSERT BLADDER CATH,201,51702
ED INSERT SUPRAPUBIC CATHETER,549,51705
ENDO INJ OF IMPLANT MATERIAL,5583,51715
ED SLIT PREPUCE,4837,54001
ED IRRIGATE CORPORA CAVERNOSA,471,54220
ER EXPLORE UNDESCENDED TESTIS,5809,54550
ED I & D SCROTAL SPACE,5133,54700
ED I&D SCROTAL WALL ABSCESS,641,55100
ER I&D VULVA OR PERINEAL ABSC,698,56405
ED I&D BARTHOLIN CYST,366,56420
ER COLPOCENTESIS,1149,57020
ER INS PACK FOR VAG HEMORRHAGE,353,57180
COLPORRHAPHY,3379,57200
ER REMOVE VAG FOREIGN BODY,3379,57415
ER ENDOMETRIAL BIOPSY,550,58100
ER REMOVE IUD,365,58301
OB STRESS TEST,366,59020
OB NONSTRESS TEST,225,59025
ED DELIVERY OF PLACENTA,3997,59414
SURG TX INCOMP ABORTION,4154,59812
OB EVAL OBS-EA ADD'L HR,99,59899
ER SPINAL TAP DIAGNOSTIC,700,62270
ER DRAIN SPINAL FLUID,1026,62272
ER BLOOD PATCH,1655,62273
INJECTION PROC FOR MYELOGRAM,535,62284
MYELOGRAM-LUMBOSACRAL,1525,62304
ED NERVE BLOCK INJ DENTAL,546,64400
ER INJ ANES FACIAL NERVE,624,64402
ED INJECTION ANESTHETIC AGENT,954,64450
ED SPHENO GANGLION NERVE INJ,617,64505
APPLY/SURFACE NEUROSTIMULATOR,201,64550
ER FOREIGN BODY REMOVAL EYE,430,65205
ER FB REMOVAL EYE CORNEA,291,65220
ER FB REMOVAL CORNEA,268,65222
ED I&D OF EYELID,676,67700
ER CANTHOTOMY,2785,67715
ER I&D EXTERNAL EAR LESION,369,69000
ER I&D AUDITORY CANAL ABSCESS,434,69020
ER FOREIGN BODY REMOVAL EAR,164,69200
ER REMOVE FB AUDITORY CANAL,3829,69205
ER REMOVE IMPACTED CERUMEN UNI,149,69209
ER CERUMEN REMOVAL,156,69210
DG ORBITS FOR FOREIGN BODY,158,70030
DG MANDIBLE 1-3V,208,70100
DG MANDIBLE 4+V,319,70110
DG MASTOID 3+V,336,70130
DG FACIAL BONES 1-2V,173,70140
DG FACIAL BONES COMPLETE 3+V,336,70150
DG NASAL BONES 3+V,254,70160
DACROCYSTOGRAM,903,70170
DG ORBITS COMPLETE 4+V,313,70200
DG SINUSES 1-2V,192,70210
DG SINUSES COMPLETE 3+V,339,70220
DG SELLA TURCICA,175,70240
DG SKULL 1-3V,231,70250
DG SKULL COMPLETE 4+V,338,70260
DG TMJ OPEN & CLOSE UNI *L*,312,70328
DG TMJ OPEN & CLOSE BILAT,357,70330
MR TMJ,2576,70336
DG NECK SOFT TISSUE,219,70360
CT HEAD W/O CM,1549,70450
CT HEAD W/ CM,1768,70460
CT HEAD WO/W CM,2071,70470
IAC-INTERN AUD CANAL-1PLANE CT,1566,70480
CT IACS WITH CONTRAST,1800,70481
CT IACS WITH/WITHOUT CONTRAST,1915,70482
CT MAXILLOFACIAL W/O CM,1491,70486
CT MAXILLOFACIAL W/ CM,1818,70487
CT MAXILLOFACIAL WO/W CM,1915,70488
CT NECK W/O CM,1495,70490
CT NECK W/CM,1853,70491
CT NECK WO/W CM,1860,70492
CT ANGIO HEAD,2223,70496
CT ANGIO NECK,2223,70498
MR ORBIT/FACE/NECK W/O CM,2443,70540
MR ORBIT/FACE/NECK W/ CM,2620,70542
MR ORBIT/FACE/NECK WO/W CM,3037,70543
MR MRA HEAD W/O CM,2420,70544
MR MRA HEAD W/ CM,2620,70545
MR MRA HEAD WO/W CM,3066,70546
MR MRA NECK W/O CM,2372,70547
MF MRA NECK W/ CM,2546,70548
MR MRA NECK WO/W CM,2978,70549
MR HEAD W/O CM,2420,70551
MR HEAD W/ CM,2851,70552
MR HEAD WO/W CM,3096,70553
DG CHEST 1V PORT SAME DAY,212,71045
CHEST 2 VIEW W/FLUORO,374,71046
DG CHEST W/LORDOTIC,261,71047
CHEST MIN 4 VIEWS W/FLUORO,417,71048
DG RIBS 2V *L*,235,71100
DG RIBS W/CHEST 3+V*L*,335,71101
DG RIBS BILAT 3V,335,71110
DG RIBS W/CHEST 4+V BILAT,382,71111
DG STERNUM 2+V,240,71120
DG SC JOINTS 3+V,248,71130
CT CHEST W/O CM,1549,71250
CT CHEST W/CM,1818,71260
CT ANGIO CHEST,2163,71275
MR CHEST MEDIASTINUM W/O CM,2522,71550
MR CHEST MEDIASTINUM W/ CM,2596,71551
MR CHEST MEDIASTINUM WO/W CM,3050,71552
MRA-CHEST W/ OR W/O CONTRAST,2064,71555
DG CERVICAL SPINE 1V,184,72020
DG CERVICAL SPINE <=3V,257,72040
DG CERVICAL SPINE 4-5 VIEWS,399,72050
DG CERVICAL SPINE W/FLEX & EXT,485,72052
DG THORLUMB SPINE STANDING,179,72069
DG THORACIC SPINE 2V,219,72070
DG THORA SPINE W/SWIMMERS 3V,314,72072
DG THORACIC SPINE 4+V,426,72074
DG THORACOLUMBAR SPINE 2V,219,72080
SPINE SCOLIOSIS EVAL IV,166,72081
SPINE SCOLIOSIS EVAL 2-3 V,268,72082
SPINE SCOLIOSIS EVAL 4-5 V,502,72083
SPINE SCOLIOSIS EVAL 6 V,592,72084
DG THORACOLUMBAR STAND SCOLIOS,324,72090
DG LUMBER SPINE 2-3V,263,72100
DG LUMBAR SPINE COMPLETE 4+V,481,72110
DG LUMB SPINE COMPLETE W/BEND,528,72114
DG LUMB SPINE FLEX & EXT ONLY,481,72120
CT CERVICAL SPINE W/O CM,1659,72125
CT CERVICAL SPINE W/ CM,1838,72126
CT CERVICAL SPINE WO/W CM,1915,72127
CT T SPINE W/O CM,1659,72128
CT T SPINE W/CM,1787,72129
CT T SPINE WO/W CM,1915,72130
CT L SPINE W/O CM,1659,72131
CT L SPINE W/ CM,1787,72132
CT L SPINE WO/W CM,1915,72133
MR CERVICAL SPINE W/O CM,2596,72141
MR CERVICAL SPINE W/ CM,2726,72142
MR THORACIC SPINE W/O CM,2696,72146
MR THORACIC SPINE W/ CM,2797,72147
MR LUMBAR SPINE W/O CM,2596,72148
MR LUMBAR SPINE W/ CM,3052,72149
MR CERVICAL SPINE WO/W CM,3370,72156
MR THORACIC SPINE WO/W CM,3370,72157
MR LUMBAR SPINE WO/W CM,3370,72158
DG PELVIS 1-2V,261,72170
DG PELVIS 3+V JUDET,298,72190
CT ANGIO PELVIS,2245,72191
CT PELVIS W/O CM,1515,72192
CT PELVIS W/ CM,1740,72193
CT PELVIS WO/W CM,2052,72194
MR PELVIS W/O CM,2372,72195
MR PELVIS W/ CM,2597,72196
MR PELVIS WO/W CM,3037,72197
MR MRA PELVIS W/ OR W/O CM,2725,72198
DG SI JOINTS 1-2V,153,72200
DG SI JOINTS 3+V,219,72202
DG SACRUM/COCCYX 2+V,257,72220
DG CLAVICLE BILAT,390,73000
DG SCAPULA BILAT,495,73010
DG SHOULDER 1V BILAT,396,73020
DG SHOULDER 2+V BILAT,500,73030
DG ARTHROGRAM SHOULDER *L*,518,73040
DG AC JOINTS,260,73050
DG HUMERUS 2V BILAT,465,73060
DG ELBOW 2V BILAT,480,73070
DG ELBOW COMPLETE 3+V BILAT,542,73080
DG ARTHROGRAM ELBOW *L*,579,73085
DG FOREARM 2V BILAT,474,73090
DG EXTREM UP INFANT 2+V*L*,240,73092
DG WRIST 2V BILAT,314,73100
DG WRIST COMPLETE 3+V BILAT,456,73110
DG ARTHROGRAM WRIST *L*,579,73115
DG HAND 2V BILAT,480,73120
DG HAND 3V BILAT,531,73130
DG FINGER THUMB 2+V*L*,255,73140
CT BILATERAL HANDS WO CONTRAST,2364,73200
CT BILATERAL HANDS W CONTRAST,3280,73201
CT BILATERAL HANDS W WO CONTR,3482,73202
CT ANGIO EXTREM UP *L*,2005,73206
MR HAND*L* W/O CM,2577,73218
MR UPPER EXT NON JOINT W CM,2695,73219
MR HAND*L* WO/W CM,3066,73220
MR EXTREM UP BILAT W/O CM,4395,73221
MR UPPER EXT JOINT W CM,2672,73222
MR WRIST*R* WO/W CM,3082,73223
MR MRA EXTREM UP WO/W CM *R*,1909,73225
DG HIP 1V BILAT,472,73500
DG HIP 1V *L*,265,73501
DG HIP 2-3 V *L*,308,73502
HIP COMPLETE 4+V L,467,73503
DG HIP W/PELVIS BILAT 2 V,423,73521
HIP W PELVIS BILAT 3-4 VIEWS,449,73522
HIP W PELVIS BILAT 5+ VIEWS,498,73523
DG ARTHROGRAM HIP *L*,579,73525
DG HIP OPERATIVE*L*,188,73530
DG HIP/PELVIS INFANT 2+V,226,73540
DG FEMUR 2V BILAT,509,73552
DG KNEE 1-2V BILAT,485,73560
DG KNEE 3V BILAT,482,73562
DG KNEE 4+V BILAT,517,73564
DG KNEE STANDING AP BILAT,242,73565
DG ARTHROGRAM KNEEE *L*,467,73580
DG TIBIA/FIBULA 2V BILAT,496,73590
DG LOWER EXT INFANT BILAT 2V,485,73592
DG ANKLE 2V BILAT,383,73600
DG ANKLE 3+V BILAT,483,73610
DG ARTHROGRAM ANKLE *L*,579,73615
DG FOOT 2V BILAT,383,73620
DG FOOT COMPLETE 3+V BILAT,475,73630
DG OS CALCIS 2+V BILAT,395,73650
DG TOES 2+V *L*,255,73660
CT EXTREM LOW BILAT W/O CM,2385,73700
CT EXTREM LOW BILAT W/CM,3307,73701
CT CALF BILAT WO/W CM,3510,73702
CT ANGIO EXTREM LOW BILAT,4038,73706
MR EXTREM LOW BILAT W/O CM,4404,73718
MR CALF BILAT W/CM,4675,73719
MR CALF BILAT WO/W CM,5517,73720
MR HIP BILAT W/O CM,4395,73721
MR HIP BILAT W/CM,5233,73722
MR HIP BILAT WO/W CM,5517,73723
MRA-LOWER EXT. W OR W/O LEFT,1983,73725
DG ABDOMEN 1V,215,74018
DG ABDOMEN 2V,308,74019
DG ABDOMEN ACUTE 2V W/1V CHEST,396,74022
CT ABDOMEN W/O CM,1474,74150
CT ABDOMEN W/ CM,1768,74160
CT ABDOMEN WO/W CM,2071,74170
CTA ABDOMEN PELVIS,3035,74174
CT ANGIO ABDOMEN,2126,74175
CT ABDOMEN & PELVIS WO CONTR,2506,74176
CT ABDOMEN & PELVIS W CONTRAST,2728,74177
CT ABD W/WO-PELVIS W CONTRAST,3606,74178
MR ABDOMEN W/O CM,2420,74181
MR ABDOMEN W/ CM,2597,74182
MR ABDOMEN WO/W CM,3064,74183
DG ESOPHAGUS,362,74220
DG SWALLOWING FUNC-NO REPORT,576,74230
DG UGI W/O KUB INFANT,838,74240
DG UGI W/GASTROGRAFIN,743,74241
DG UGI W/SMALL BOWEL INFANT,792,74245
DG UGI W/ HIGH DENSITY W/O KUB,838,74246
DG UGI W/HIGH DENSITY W/KUB,971,74247
DG UGI W/SM BOWEL HIGH DENSITY,743,74249
DG SMALL BOWEL,502,74250
DG BE W/GASTROGRAFIN,564,74270
DG BE W/ AIR HIGH DENSITY,743,74280
DG CHOLANGIOGRAM OPERATIVE,441,74300
DG CHOLANGIOGRAM VIA EXIST CAT,454,74305
DG ERCP,497,74328
DG ERCP WO/W SPHINCTEROTOMY,552,74330
DG INTRO LONG GI TUBE,392,74340
ESOPHAGEAL DILATATION,518,74360
DG IVP PEDS/INFANT,716,74400
DG RETROGRADE-URETHROGRAM,741,74420
LOOPOGRAM,536,74425
DG CYSTOGRAM 3+V,522,74430
DG VCUG,572,74455
DG HYSTEROGRAM,556,74740
CT HEART WO CM W CALCIUM EVAL,1549,75571
CT ANGIO AOBIFEM WO/W CM,2051,75635
DG ANG/EXT/UNI/OR*L*,424,75710
PULMONARY RIGHT,1707,75741
DG VENOGRAM EXTREM UP*L*,1753,75820
DG VENOGRAM EXTREM LOW BILAT,2280,75822
DG BILIARY CATHETER EXC (RAD),502,75984
CT ABSCESS DRAINAGE,1226,75989
DG CHEST FLUORO,354,76000
FLUOROSCOPY > 1 HOUR,423,76001
DG FB PEDS NOSE TO RECTUM 1V,180,76010
ABSCESS STUDY,698,76080
US BREAST SURGICAL SPECIMEN,357,76098
RECONSTRUCTION OF CT,435,76376
CT ABDOMEN LIMITED,817,76380
MR SPECTROSCOPY,1738,76390
US HEAD (ECHOENCEPHALOGRAPHY),203,76506
OPTHALMIC SCAN,226,76529
US SOFT TISSUE HEAD/NECK,391,76536
HEART-PERICARDIAL EFFUSION,292,76604
US BREAST*L*,276,76641
FOCUSED BREAST ULTRASOUND,267,76642
US BREAST BILAT,267,76645
US ABDOMEN COMPLETE,509,76700
US ABDOMEN LIMITED,398,76705
AAA SCREENING ULTRASOUND,336,76706
US RENAL,439,76770
US SPINE,361,76800
US OB COMP LESS 14 WK,344,76801
US OB COMP EA ADDL GEST <14 WK,221,76802
US OB COMP + 14 WK,362,76805
US OB COMP EA ADD'L GEST+14 WK,308,76810
US OB DETAIL+14 WK,740,76811
US OB DETAIL EA ADD GEST+14 WK,320,76812
US OB NUCHAL TRANSLU 1ST GEST,536,76813
US OB NUCHAL TRANS EACH ADD'L,390,76814
US OB LIMITED,217,76815
US OB FOLLOW-UP,280,76816
US OB TRANSVAGINAL,396,76817
US OB BPP W/O NST,341,76819
US OB UMBILICAL ART DOPPLER,294,76820
US OB MCA DOPPLER,296,76821
US TRANSVAGINAL NON-OB,457,76830
US SONOHYSTEROGRAM,373,76831
URINARY BLADDER,457,76856
US PELVIS LIMITED OR FOLLOW-UP,96,76857
US SCROTUM,401,76870
US TRANSRECTAL,342,76872
US EXTREM LOW NONVASC BILAT,658,76881
US EXTREMITY NON VASC LTD LT,192,76882
US INFANT HIPS,241,76885
US COMPRESS PSEUDOANEURYSM,1168,76936
US GUID CV ACCESS W/IMAG DOCUM,245,76937
US GUIDANCE TISSUE ABLATION,221,76940
US GUIDED NEEDLE PLACEMENT RAD,532,76942
US AMNIOCENTESIS,296,76946
US INTRAOPERATIVE,406,76998
US MISC SOFT TISSUE,205,76999
DG FLUORO GUIDE CV LINE,245,77001
DG FLUORO GUIDE NDL PLC/BX,200,77002
DG FLUORO GUIDED NDL PLCMT LP,564,77003
CT GUIDANCE STEREOTACTIC LOC,393,77011
CT GUIDANCE FOR NEEDLE PLACEME,1359,77012
CT GUIDANCE TISSUE ABLATION,393,77013
CT SIM,1477,77014
MM CORPORATE/MAMMO/SCREEN,136,77057
MM DIGITAL DIAG UNILAT*L*,336,77065
MM DIGITAL DIAGNOSTIC BILAT,367,77066
MM DIGITAL SCREENING,317,77067
DG BONE AGE,240,77072
DG BONE LENGTH,348,77073
DG BONE SURVEY MET,489,77074
DG BONE SURVEY PED/INFANT,525,77076
DG JOINT SURVEY 2+ JTS,522,77077
DG DEXA,378,77080
BONE DENSITOMETRY-PERIPHERAL,197,77081
BI-PLANE DEXA,406,77082
NM THYROID UPDATE MULTI 4&24HR,409,78001
STIMULATION SUPPRESSION OR D/C,399,78003
NM THYROID UPTAKE (24 HR),362,78012
NM THYROID IMAGING ONLY,654,78013
NM THYROID IMAG W/UPTAKE MULTI,774,78014
NM I131 THYRD CA METS LIMITED,943,78015
THYROID CARCINOMA MET W/ADD,1115,78016
NM I-131 THYROID CA METS BODY,1431,78018
NM PARATHYROID,909,78070
NM ADRENAL IMG,3732,78075
NM BONE MARROW LIMITED,987,78102
NM BONE MARROW MULTI AREAS,987,78103
LABELED RED CELL SEQUESTRATION,1018,78140
NM SPLEEN,765,78185
NM LYMPHATICS/LYMPH NODE,1116,78195
