SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT
Cardiac Procedures and Services,SIGNAL AVERAGING-INTERP/REPORT,$44.00,,
Cardiac Procedures and Services,SIGNAL AVERAGING-TRACING ONLY,$564.00,,
Cardiac Procedures and Services,STRESS TEST SUPERVISION,$240.00,,
Cardiac Procedures and Services,THORACIC ELECTRICAL BIOIMPEDANCE FOR CAR,$124.00,,
Cardiac Procedures and Services,"TTE W/ DOPPLER, COMPLETE","$1,588.00",,X
Cardiac Procedures and Services,"TTE W/DOPPLER, COMPLETE W/CONTRAST","$1,588.00",,
Cardiac Procedures and Services,WORK HEALTH CARDIAC ST SUPERVISION ONLY,$22.00,,
Cardiac Procedures and Services,WORKHEALT CARDIAC STRESS TEST TRACE ONLY,$180.00,,
Cardiac Procedures and Services,WORKHEALTH CARDIACSTRESS TEST INTERP/REP,$22.00,,
Cardiovascular procedures,"AORTA, TRANSLUMBAR",$707.00,,
Cardiovascular procedures,ART MECH THROM(NON COR)ADD VES,"$4,645.00",,
Cardiovascular procedures,ART MECH THROMBECTOMY(NON COR),"$11,402.00",,
Cardiovascular procedures,"CATH PLACE, SUBCLAVIAN/INOM ARTERY, UNIL","$7,002.00",,
Cardiovascular procedures,CATHETER PLACE ABD/PEL/LWR 1ST,"$1,300.00",,
Cardiovascular procedures,CATHETER PLACE ABD/PEL/LWR 2ND,"$1,459.00",,
Cardiovascular procedures,CATHETER PLACE ABD/PEL/LWR 3RD,$698.00,,
Cardiovascular procedures,CATHETER PLACE ABD/PEL/LWR ADD,$280.00,,
Cardiovascular procedures,CATHETER PLACE THOR/BRACHI 1ST,"$1,281.00",,
Cardiovascular procedures,CATHETER PLACE THOR/BRACHI 2ND,"$1,270.00",,
Cardiovascular procedures,CATHETER PLACE THOR/BRACHI 3RD,"$1,735.00",,
Cardiovascular procedures,CATHETER PLACE THOR/BRACHI ADD,$280.00,,
Cardiovascular procedures,CATHETER PLACEMENT VENOUS 1ST,$872.00,,
Cardiovascular procedures,CATHETER PLACEMENT VENOUS 2ND,$960.00,,
Cardiovascular procedures,COLLECT BLOOD SPEC IMPL VAD,$237.00,,
Cardiovascular procedures,COLLECT CAP BLOOD SPEC,$15.00,,
Cardiovascular procedures,DECLOT CATH OR VAD BY THROMBOLYTIC,$660.00,,
Cardiovascular procedures,DECLOT VASCULAR DEVICE,$519.00,,
Cardiovascular procedures,FEM/POPL REVAS W/ ATHER,"$27,636.00",,
Cardiovascular procedures,FEM/POPL REVAS W/TLA,"$13,017.00",,
Cardiovascular procedures,FEM/POPL REVASC STNT & ATHER,"$47,857.00",,
Cardiovascular procedures,FEM/POPL REVASC W/ STENT,"$27,636.00",,
Cardiovascular procedures,INJ VENOGRAM,$258.00,,
Cardiovascular procedures,INS CATH RENAL ART 1ST BILATERAL,"$7,002.00",,
Cardiovascular procedures,INS CATH RENAL ART 1ST UNILATERAL,"$7,002.00",,
Cardiovascular procedures,INS CATH RENAL ART 2ND +BILATERAL,"$7,002.00",,
Cardiovascular procedures,INS CATH RENAL ART 2ND UNILATERAL,"$7,002.00",,
Cardiovascular procedures,INS ENDOVAS VENA CAVA FILTR,"$9,537.00",,
Cardiovascular procedures,INSERT  PM PULSE GEN; SINGLE LEAD,"$21,033.00",,
Cardiovascular procedures,INSERT 1 ELECTRODE PM-DEFIB,"$13,163.00",,
Cardiovascular procedures,INSERT HEART PERM PM; ATRIAL,"$25,143.00",,
Cardiovascular procedures,INSERT HEART PM; VENTRICULAR,"$25,143.00",,
Cardiovascular procedures,INSERT NEW  PULSE GEN ONLY;  DUAL LEAD,"$23,989.00",,
Cardiovascular procedures,INSERT PACE-DEFIB WITH LEAD,"$91,937.00",,
Cardiovascular procedures,INSERT PACING LEAD AND CONNECT,"$30,284.00",,
Cardiovascular procedures,INSERT PULSE GEN MULT LEADS,"$23,989.00",,
Cardiovascular procedures,INSERT PULSE GEN WITH SINGLE LEAD,"$71,554.00",,
Cardiovascular procedures,"INSERT SUBCUT CARDIAC RHYTHM, W PROGRAM","$18,714.00",,
Cardiovascular procedures,INSERT TEMP CARDIAC PACEMAKER,"$17,269.00",,
Cardiovascular procedures,INSERTION PULSE GEN WITH MULT LEADS,"$71,554.00",,
Cardiovascular procedures,INSRT HEART PM;  ATRAIL AND VENT,"$30,284.00",,
Cardiovascular procedures,INSRT PULSE GEN WITH DUAL LEADS,"$71,554.00",,
Cardiovascular procedures,INTERRUPTION IVC,"$8,918.00",,
Cardiovascular procedures,INTRA AORTIC BALLON PERC PUMP,"$2,984.00",,
Cardiovascular procedures,INTRO CATH AORTA,$832.00,,
Cardiovascular procedures,INTRO CATH SUP/INF VENA CAVA,$672.00,,
Cardiovascular procedures,IVC,"$8,918.00",,
Cardiovascular procedures,L VENTRIC PACING LEAD ADD-ON,"$30,284.00",,
Cardiovascular procedures,NON-SELECTIVE CATH PLACE THORACIC AORTA,"$7,002.00",,
Cardiovascular procedures,PERICARDIOCENTESIS INTIAL,$991.00,,
Cardiovascular procedures,PERICARDIOCENTESIS SUBSEQUENT 33210T,$991.00,,
Cardiovascular procedures,PICC LINE BLOOD DRAW,$142.00,,
Cardiovascular procedures,PICC LINE BLOOD DRAW,$148.00,,
Cardiovascular procedures,PICC LINE INSERTION,"$2,439.00",,
Cardiovascular procedures,PICC/MIDLINE INSERTION,"$2,561.00",,
Cardiovascular procedures,PLACEMENT CVP > AGE 5,"$2,544.00",,
Cardiovascular procedures,PORT DRAW,$108.00,,
Cardiovascular procedures,PTA ILIAC EACH ADDITIONAL,"$13,017.00",,
Cardiovascular procedures,PTA ILIAC EACH ADDITIONAL WITH STENT PLA,"$13,017.00",,
Cardiovascular procedures,PTA ILIAC UNILATERAL,"$13,017.00",,
Cardiovascular procedures,PTA ILIAC WITH STENT PLACEMENT,"$13,017.00",,
Cardiovascular procedures,PULMONARY TRUNK ONLY OR RT HRT,$678.00,,
Cardiovascular procedures,RELOCATION POCKET PACEMAKER,"$3,924.00",,
Cardiovascular procedures,REMOVAL 2 PACER LEAD ONLY,"$6,628.00",,
Cardiovascular procedures,REMOVAL OF PERMANENT PM GENERATOR,"$6,628.00",,
Cardiovascular procedures,"REMOVAL, SUBCUT CARDIAC RHYTHM MONITOR","$2,364.00",,
Cardiovascular procedures,REMOVE & REPLACE PM GEN DUAL LEAD,"$23,989.00",,
Cardiovascular procedures,REMOVE & REPLACE PM GEN MULT LEADS,"$23,989.00",,
Cardiovascular procedures,REMOVE & REPLACE PM GEN SINGLE,"$21,033.00",,
Cardiovascular procedures,REMOVE 1 - PACER LEAD ONLY,"$6,628.00",,
Cardiovascular procedures,REMOVE INTRAVASCULAR FOREIGN BODY,"$7,027.00",,
Cardiovascular procedures,REMOVE PULSE GENERATOR,"$6,628.00",,
Cardiovascular procedures,REMOVE SC/DC ICD LEAD; TV EXTRACT,"$6,628.00",,
Cardiovascular procedures,REMV AND REPLC CVD GEN DUAL LEAD,"$71,554.00",,
Cardiovascular procedures,REMV AND REPLC CVD GEN MULT LEAD,"$71,554.00",,
Cardiovascular procedures,REMV AND REPLC CVD GEN SINGLE LEAD,"$71,554.00",,
Cardiovascular procedures,REPAIR LEAD PACE-DEFIB 1,"$6,628.00",,
Cardiovascular procedures,REPAIR LEAD PACE-DEFIB DUAL,"$6,628.00",,
Cardiovascular procedures,REPOSITION CVP W/ FLUORO,"$2,544.00",,
Cardiovascular procedures,REPOSITION L VENTRIC LEAD,"$4,359.00",,
Cardiovascular procedures,REPOSITION PACING - DEFIB LEAD,"$4,359.00",,
Cardiovascular procedures,RETRIEVAL INTRAVASCULAR VENA CAVA FILTER,"$5,972.00",,
Cardiovascular procedures,SECONDARY PT THROMBECTOMY,"$4,645.00",,
Cardiovascular procedures,"SEL CATH, LT OR RT PA",$829.00,,
Cardiovascular procedures,"SEL CATHETER, SEG OR SUBSEG PA",$957.00,,
Cardiovascular procedures,SELECTIVE CATH PLACE CAROTID ARTERY UNIL,"$11,450.00",,
Cardiovascular procedures,SELECTIVE CATH PLACE CAROTID INOM ARTERY,"$7,002.00",,
Cardiovascular procedures,SELECTIVE CATH PLACE CAROTID/INOM ARTERY,"$7,002.00",,
Cardiovascular procedures,SPEC COLLECT-ARTERIAL,$81.00,,
Cardiovascular procedures,"TRANSCATH STENT, CCA W/ EPS","$5,611.00",,
Cardiovascular procedures,"TRANSCATH STENT, CCA W/O EPS","$5,402.00",,
Cardiovascular procedures,UNLISTED PROCEDUR VASCULAR SUR,"$4,645.00",,
Cardiovascular procedures,UPGRADE IMPLANTD PACEMKR; SC TO DC,"$30,284.00",,
Cardiovascular procedures,VENIPUNCTURE,$15.00,,
Cardiovascular procedures,Venipuncture,$17.00,,
Cardiovascular procedures,VENIPUNCTURE - CASTROP,$15.00,,
Cardiovascular procedures,VENIPUNCTURE - ONCOLOGY,$15.00,,
Cardiovascular procedures,VENIPUNCTURE - PARKS,$15.00,,
Cardiovascular procedures,VENIPUNCTURE OP,$15.00,,
Cardiovascular procedures,VENIPUNCTURE REQUIR PHYSICIAN OR QHCP,$131.00,,
Cardiovascular procedures,VENIPUNCTURE-HOPEWELL,$15.00,,
Cardiovascular procedures,VENOUS MECH THROMBEC REP TRT,"$11,402.00",,
CT Scan Services,3D RENDER W INTRP POSTPROCES REQUIR IMAG,$867.00,,
CT Scan Services,3D RENDER W/INTRP W/O INDEP WS,$73.00,,
CT Scan Services,3D RENDER W/INTRP WITH INDEP WS,$117.00,,
CT Scan Services,CT ABD & PELVIS W/O CONTRAST,"$2,552.00",,X
CT Scan Services,CT ABDOMEN W/O WITH,"$2,210.00",,
CT Scan Services,CT ABDOMEN WITH,"$2,210.00",,
CT Scan Services,CT ABDOMEN WITHOUT,"$2,210.00",,
CT Scan Services,CT ABDOMEN/PELVIS W/O WITH,"$2,552.00",,
CT Scan Services,CT ABDOMEN/PELVIS WITH,"$2,552.00",,X
CT Scan Services,"CT ANGIOGRAPHY, NECK, WO/W CONTRAST FUR","$2,466.00",,
CT Scan Services,CT CARDIAC SCORE,$127.00,,
CT Scan Services,CT CERVICAL W/O,"$1,557.00",,X
CT Scan Services,CT CERVICAL W/O WITH,"$1,557.00",,
CT Scan Services,CT CERVICAL WITH,"$1,557.00",,
CT Scan Services,CT CHEST W/O,"$1,784.00",,X
CT Scan Services,CT CHEST W/O WITH,"$1,784.00",,
CT Scan Services,CT CHEST WITH,"$1,784.00",,X
CT Scan Services,CT HEAD  W/O WITH CONTRAST,$823.00,,
CT Scan Services,CT HEAD W/O CONTRAST,$823.00,,X
CT Scan Services,CT HEAD WITH CONTRAST,$823.00,,
CT Scan Services,CT LOWER EXTREMITY W/O,"$1,182.00",,
CT Scan Services,CT LOWER EXTREMITY W/O WITH,"$1,182.00",,
CT Scan Services,CT LOWER EXTREMITY WITH,"$1,182.00",,
CT Scan Services,CT LUMBAR W/O,$993.00,,
CT Scan Services,CT LUMBAR W/O WITH,$993.00,,
CT Scan Services,CT LUMBAR WITH,$993.00,,
CT Scan Services,CT MAXILLOFACIAL W/O,"$1,021.00",,
CT Scan Services,CT MAXILLOFACIAL W/O WITH,"$1,021.00",,
CT Scan Services,CT MAXILLOFACIAL WITH,"$1,021.00",,
CT Scan Services,CT ORBIT/IAC/MACTOID/TEMP BONE W/O WITH,"$1,703.00",,
CT Scan Services,CT ORBIT/IAC/MASTOID/TEMP BONE W/O,"$1,703.00",,
CT Scan Services,CT ORBIT/IAC/MASTOID/TEMP BONE WITH,"$1,703.00",,
CT Scan Services,CT PELVIS W/O CONTRAST,"$2,031.00",,
CT Scan Services,CT PELVIS W/O WITH,"$2,031.00",,
CT Scan Services,CT PELVIS WITH,"$2,031.00",,
CT Scan Services,CT SOFT TISSIE NECK WITH,"$1,955.00",,
CT Scan Services,CT SOFT TISSUE NECK W/O,"$1,955.00",,
CT Scan Services,CT SOFT TISSUE NECK W/O WITH,"$1,955.00",,
CT Scan Services,CT THORACIC W/O,$785.00,,
CT Scan Services,CT THORACIC W/O  WITH,$785.00,,
CT Scan Services,CT THORACIC WITH,$785.00,,
CT Scan Services,CT TREATMENT PLANNING,"$3,563.00",,
CT Scan Services,CT UPPER EXTREMITY W/O,"$1,300.00",,
CT Scan Services,CT UPPER EXTREMITY W/O WITH,"$1,300.00",,
CT Scan Services,CT UPPER EXTREMITY WITH,"$1,300.00",,
CT Scan Services,CTA ABD/PELVIS WO/WITH,"$2,460.00",,
CT Scan Services,CTA ABDOMEN W/O WITH,"$2,491.00",,
CT Scan Services,CTA CHEST W/O WITH,"$1,557.00",,X
CT Scan Services,CTA HEAD W/O WITH,"$2,466.00",,
CT Scan Services,CTA LOWER EXTREMITY W/O WITH,"$2,280.00",,
CT Scan Services,CTA PELVIS W/O WITH,"$2,337.00",,
CT Scan Services,CTA RUN-OFF W/O WITH,"$2,462.00",,
CT Scan Services,CTA UPPER EXTREMITY W/O WITH,"$2,361.00",,
CT Scan Services,LDCT LUNG DIAGNOSTIC,"$1,784.00",,
CT Scan Services,LDCT LUNG SCREENING,"$1,784.00",,
CT Scan Services,LDCT LUNG SCREENING,"$1,784.00",,
CT Scan Services,LDCT LUNG SURVEILLANCE,"$1,784.00",,
Digestive System Procedures,ABDOMINAL PARACENTESIS W IMAGE GUIDANCE,"$1,308.00",,
Digestive System Procedures,BASKET EXTRACT COMMON DUCT ST,"$1,204.00",,
Digestive System Procedures,BRAVO pH,$815.00,,
Digestive System Procedures,BRAVO pH-OR,$815.00,,
Digestive System Procedures,CHANGE G TUBE TO GASTRO-JEJ TUBE -FLUORO,"$3,044.00",,
Digestive System Procedures,COLONIC DILITATION,"$1,004.00",,
Digestive System Procedures,COLONIC DILITATION-OR,"$1,004.00",,
Digestive System Procedures,COLONOCSOPY WITH ABLATION-OR,"$1,957.00",,
Digestive System Procedures,COLONOSCOPY,"$1,460.00",,X
Digestive System Procedures,COLONOSCOPY (SPOT TATTOOING),"$1,756.00",,
Digestive System Procedures,COLONOSCOPY (SPOT TATTOOING) OR,"$1,756.00",,
Digestive System Procedures,COLONOSCOPY POLYPECTOMY,"$1,741.00",,
Digestive System Procedures,COLONOSCOPY W BIOPSY,"$1,623.00",,X
Digestive System Procedures,COLONOSCOPY W BIOPSY-OR,"$1,623.00",,
Digestive System Procedures,COLONOSCOPY W POLYPECTOMY-OR,"$1,741.00",,
Digestive System Procedures,COLONOSCOPY W/LESION REMOVAL,"$1,959.00",,
Digestive System Procedures,COLONOSCOPY W/LESION REMOVAL SNARE,"$1,959.00",,
Digestive System Procedures,COLONOSCOPY W/LESION REMOVAL SNARE-OR,"$1,959.00",,
Digestive System Procedures,COLONOSCOPY W/LESION REMOVAL-OR,"$1,959.00",,
Digestive System Procedures,COLONOSCOPY WITH ABLATION,"$1,957.00",,
Digestive System Procedures,COLONOSCOPY-OR,"$1,460.00",,
Digestive System Procedures,CONTRAST INJ;ABCESS OR CYST,$98.00,,
Digestive System Procedures,DILATE ESOPHAGUS,"$1,604.00",,
Digestive System Procedures,DILATE ESOPHAGUS OR,"$1,604.00",,
Digestive System Procedures,EGD CAUTERY TUMOR POLYP,"$2,568.00",,
Digestive System Procedures,EGD CAUTERY TUMOR POLYP-OR,"$2,568.00",,
Digestive System Procedures,EGD CONTROL BLEEDING ANY METHOD,"$2,698.00",,
Digestive System Procedures,EGD DIAGNOSTIC BRUSH WASH,"$1,653.00",,
Digestive System Procedures,EGD DIAGNOSTIC BRUSH WASH-OR,"$1,653.00",,
Digestive System Procedures,"EGD REMOVAL OF TUMOR, PLOYS, OR LESION","$2,855.00",,
Digestive System Procedures,EGD REMOVE LESION-OR,"$2,855.00",,
Digestive System Procedures,EGD WITH REMOVAL OF FOREIGN BODY,"$1,709.00",,
Digestive System Procedures,ESOPH MOTILITY 3D TOPOGRAPHY (MANO)-OR,$815.00,,
Digestive System Procedures,ESOPH MOTILITY 3D TOPOGRAPHY (MANOMETRY),$815.00,,
Digestive System Procedures,ESOPH MOTILITY W STIM/PERF (MANOMET)-OR,$408.00,,
Digestive System Procedures,ESOPH MOTILITY W STIM/PERF (MANOMETRIC),$408.00,,
Digestive System Procedures,ESOPHAGEAL MOTILITY (MANOMETRY),$815.00,,
Digestive System Procedures,ESOPHAGEAL MOTILITY (MANOMETRY)-OR,$815.00,,
Digestive System Procedures,ESOPHAGOGASTDUODENSCOPY W BIOPSY,"$1,168.00",,X
Digestive System Procedures,ESOPHAGOGASTDUODENSCOPY W BIOPSY-OR,"$1,168.00",,
Digestive System Procedures,ESOPHAGOGASTRODUODENOSCOPY,"$1,038.00",,X
Digestive System Procedures,ESOPHAGOGASTRODUODENOSCOPY-OR,"$1,038.00",,
Digestive System Procedures,ESOPHAGOGASTROSCOPY,$957.00,,
Digestive System Procedures,ESOPHAGOGASTROSCOPY W BIOP,"$1,085.00",,
Digestive System Procedures,ESOPHAGOGASTROSCOPY W BIOPSY-OR,"$1,085.00",,
Digestive System Procedures,ESOPHAGOGASTROSCOPY-OR,$957.00,,
Digestive System Procedures,ESOPHAGOSCOPY,$921.00,,
Digestive System Procedures,ESOPHAGOSCOPY-OR,$921.00,,
Digestive System Procedures,FLUORO EXAM OF G/COLON TUBE,$454.00,,
Digestive System Procedures,GASTRIC MOTILITY (MANOMETRY),$815.00,,
Digestive System Procedures,GASTRIC MOTILITY (MANOMETRY)-OR,$815.00,,
Digestive System Procedures,INJ CHOLANGIOGRAPHY COMP DX PROCEDURE,"$5,651.00",,
Digestive System Procedures,"INJ. CHOLANGIOGRAM, PERCUTANEOUS COMPLET",$913.00,,
Digestive System Procedures,INSERT-BILIARY STENT RETRO RA-OR,"$1,688.00",,
Digestive System Procedures,ISERT-BILIARY STINT RETRO RA,"$1,688.00",,
Digestive System Procedures,LIGATION OF HEMORRHOID(S),"$1,576.00",,
Digestive System Procedures,LIGATION OF HEMORRHOID(S)-OR,"$1,576.00",,
Digestive System Procedures,MANOMETRY(ESOPHAGEAL FUNCTION  TEST)-OR,$351.00,,
Digestive System Procedures,MANOMETRY(ESOPHAGEAL FUNCTION TEST),$351.00,,
Digestive System Procedures,PERCUTANEOUS ENDOSCOPIC GASTR,"$2,299.00",,
Digestive System Procedures,PERCUTANEOUS ENDOSCOPIC GASTR-OR,"$2,299.00",,
Digestive System Procedures,PERCUTANEOUS TRANSHEPATIC CHOL,$388.00,,
Digestive System Procedures,PERCUTANEOUS TRANSHEPATIC CHOL-OR,$388.00,,
Digestive System Procedures,PLACE DUOD/JEJ TUBE UNDER FLUORO,"$3,044.00",,
Digestive System Procedures,PLACE GASTROSTOMY TUBE UNDER FLUORO,"$3,044.00",,
Digestive System Procedures,REPLACE DUOD/JEJ TUBE UNDER FLUORO,"$1,398.00",,
Digestive System Procedures,REPLACE GASTRO-JEJ TUBE UNDER FLUORO,"$1,398.00",,
Digestive System Procedures,RETROGRADE(ANNIZATIONPANCREAT)-OR,"$1,845.00",,
Digestive System Procedures,RETROGRADE(ANNLZATIONPANCREAT),"$1,845.00",,
Digestive System Procedures,SIGMOIDOSCOPY FIBEROPT BIOPSY,"$1,410.00",,
Digestive System Procedures,SIGMOIDOSCOPY FIBEROPTIC,"$1,245.00",,
Digestive System Procedures,SIGMOIDOSCOPY FIBEROPTIC BIOPSY-OR,"$1,410.00",,
Digestive System Procedures,SIGMOIDOSCOPY FIBEROPTIC-OR,"$1,245.00",,
Digestive System Procedures,SMALL BOWEL ENTROSCOPY W/BIOPSY,"$1,460.00",,
Digestive System Procedures,SMALL BOWEL ENTROSCOPY W/BIOPSY-OR,"$1,460.00",,
Emergency Evaluation and Management Services,ED SEXUAL ASSAULT ROOM,$652.00,,
Emergency Evaluation and Management Services,ER VISIT BRIEF,$357.00,,X
Emergency Evaluation and Management Services,ER VISIT COMPREHENSIVE,"$2,196.00",,X
Emergency Evaluation and Management Services,ER VISIT CRITICAL 30-74 MINUTES,"$3,091.00",,X
Emergency Evaluation and Management Services,"ER VISIT CRITICAL, ADDL 30 MINUTES",$379.00,,X
Emergency Evaluation and Management Services,ER VISIT INTERMEDIATE,$927.00,,X
Emergency Evaluation and Management Services,ER VISIT MAJOR,"$1,532.00",,X
Emergency Evaluation and Management Services,ER VISIT MINOR,$585.00,,X
Emergency Services,COMPLEX PROCEDURE - ED,"$1,144.00",,
Emergency Services,EXTENSIVE PROCEDURE - ED,$575.00,,
Emergency Services,INTERMEDIATE PROCEDURE - ED,$368.00,,
Emergency Services,LIMITED PROCEDURE - ED,$252.00,,
Emergency Services,SIMPLE PROCEDURE - ED,$139.00,,
Endocrine System Procedures,BIOPSY THYROID PERC CORE NEEDLE,"$1,788.00",,
Evaluation and Management Services,DRESSING CHANGE TO PICC CATH,$166.00,,
Evaluation and Management Services,EST OFFICE OP VISIT LEVEL 2,$135.00,,
Evaluation and Management Services,EST OFFICE OP VISIT LEVEL 4,$270.00,,
Evaluation and Management Services,EST OFFICE OP VISTI LEVEL 3,$210.00,,
Evaluation and Management Services,EST. OFFICE OPT VISIT LEVEL 5,$332.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 1,$131.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 1,$178.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 2,$118.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 2,$128.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 3,$160.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 3,$186.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 4,$205.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 4,$284.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 5,$251.00,,
Evaluation and Management Services,ESTABLISHED PATIENT LEVEL 5,$284.00,,
Evaluation and Management Services,ESTABLISHED PATIENT OFFICE/OTHER LEVEL 1,$178.00,,
Evaluation and Management Services,ESTABLISHED PATIENT OFFICE/OTHER LEVEL 2,$128.00,,
Evaluation and Management Services,"ESTABLISHED PATIENT, OFFICE/OTHER LEVEL3",$160.00,,
Evaluation and Management Services,"ESTABLISHED PATIENT, OFFICE/OTHER LEVEL5",$346.00,,
Evaluation and Management Services,"ESTABLISHED, OFFICE/OTHER OP LEVEL 4",$231.00,,
Evaluation and Management Services,EVAL/MANAGEMENT BRIEF,$265.00,,
