"OHIOHEALTH DOCTORS HOSPITAL, DUBLIN METHODIST HOSPITAL, GRANT MEDICAL CENTER, GROVE CITY METHODIST HOSPITAL, AND RIVERSIDE METHODIST HOSPITAL CHARGE LIST",,,,,,,,,,
SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT,,,,,,
Cardiac Procedures and Services,HC EP COMPREHENSIVE LEFT VENTRICLE,"$12,670.00",,,,,,,,
Cardiac Procedures and Services,HC EP COMPREHENSIVE W INDUCTION ARRHYTHMIA,"$29,677.00",,,,,,,,
Cardiac Procedures and Services,HC EP COMPREHENSIVE WO INDUCTION ARRHYTHMIA,"$14,993.00",,,,,,,,
Cardiac Procedures and Services,HC EP EVAL ICD IMPLANT,"$10,878.00",,,,,,,,
Cardiac Procedures and Services,HC EP EVAL SUBQ IMPLANTABLE DEFIB,$205.00,,,,,,,,
Cardiac Procedures and Services,HC EP EVAL W ABLATION A FIB,"$80,743.00",,,,,,,,
Cardiac Procedures and Services,HC EP EVAL W ABLATION SVT,"$34,631.00",,,,,,,,
Cardiac Procedures and Services,HC EP EVAL W ABLATION VT,"$41,977.00",,,,,,,,
Cardiac Procedures and Services,HC EP FOLLOWUP STUDY,"$18,384.00",,,,,,,,
Cardiac Procedures and Services,HC EP STUDY WITH RX,"$7,113.00",,,,,,,,
Cardiac Procedures and Services,HC EVENT RECORDING,$539.00,,,,,,,,
Cardiac Procedures and Services,HC HEART FLOW RESERVE MEASURE ADDL,"$3,602.00",,,,,,,,
Cardiac Procedures and Services,HC HEART FLOW RESERVE MEASURE INIT,"$5,822.00",,,,,,,,
Cardiac Procedures and Services,HC HOLTER SCAN RECORDING UP TO 48 HR,$539.00,,,,,,,,
Cardiac Procedures and Services,HC IMPLANT SUBQ DEFIB DEVICE SYS EVAL,$205.00,,,,,,,,
Cardiac Procedures and Services,HC INJ AORTOGRAPHY SUPRAVALVULAR,"$2,735.00",,,,,,,,
Cardiac Procedures and Services,HC INJ PULMONARY ANGIOGRAPHY,"$2,992.00",,,,,,,,
Cardiac Procedures and Services,HC INJ RIGHT ATRIAL VENTRICULAR ANGIO,"$1,020.00",,,,,,,,
Cardiac Procedures and Services,HC INSERT SWAN GANZ CATHETER,"$6,190.00",,,,,,,,
Cardiac Procedures and Services,HC INTERROGATION DEFIB WO REPROGRAM,$208.00,,,,,,,,
Cardiac Procedures and Services,HC INTERROGATION IMPLANT MONITOR SYSTEM,$96.00,,,,,,,,
Cardiac Procedures and Services,HC INTERROGATION PACER DEFIB REMOTE,$100.00,,,,,,,,
Cardiac Procedures and Services,HC INTERROGATION PACER WO REPROGRAM,$123.00,,,,,,,,
Cardiac Procedures and Services,HC INTERROGATION SQ CRM,$117.00,,,,,,,,
Cardiac Procedures and Services,HC INTERROGATION VAD,$367.00,,,,,,,,
Cardiac Procedures and Services,HC INTRA ATRIAL PACING,"$5,286.00",,,,,,,,
Cardiac Procedures and Services,HC INTRA ATRIAL RECORDING,"$5,228.00",,,,,,,,
Cardiac Procedures and Services,HC INTRACARD ELECTROPHYS 3D MAPPING,"$12,855.00",,,,,,,,
Cardiac Procedures and Services,HC INTRACARDIAC ECHO,"$4,432.00",,,,,,,,
Cardiac Procedures and Services,HC INTRAVASC OCT ADDL VESSEL,"$4,940.00",,,,,,,,
Cardiac Procedures and Services,HC INTRAVASC OCT INITIAL VESSEL,"$6,243.00",,,,,,,,
Cardiac Procedures and Services,HC INTRAVENT INTRA ATRIAL MAPPING,"$11,170.00",,,,,,,,
Cardiac Procedures and Services,HC INTRAVENTRICULAR PACING,"$6,095.00",,,,,,,,
Cardiac Procedures and Services,HC IVUS CORONARY EACH ADDL VESSEL,"$3,556.00",,,,,,,,
Cardiac Procedures and Services,HC IVUS CORONARY INITIAL VESSEL,"$6,084.00",,,,,,,,
Cardiac Procedures and Services,HC LEFT HEART CATH,"$7,640.00",,,,,,,,
Cardiac Procedures and Services,HC LHC VIA TRANSEPTAL PUNCTURE,"$8,939.00",,,,,,,,
Cardiac Procedures and Services,HC MYOCARDIAL STRAIN IMAGING,$251.00,,,,,,,,
Cardiac Procedures and Services,HC PERC TRANSCATH CLOSURE PARAVALVULAR LEAK AORTIC VALVE,"$13,886.00",,,,,,,,
Cardiac Procedures and Services,HC PERC TRANSLUMIN COR THROMBECTOMY,"$3,381.00",,,,,,,,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON ANGIOPLASTY PULMNARY,"$13,397.00",,,,,,,,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON VALVOPLASTY AORTIC,"$26,716.00",,,,,,,,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON VALVOPLASTY MITRAL,"$13,397.00",,,,,,,,
Cardiac Procedures and Services,HC PERCUTANEOUS BALLOON VALVOPLASTY PULM,"$13,397.00",,,,,,,,
Cardiac Procedures and Services,"HC PERIPHERAL ARTERIAL DISEAS (PAD) REHABILITATION, PER SESSION",$149.00,,,,,,,,
Cardiac Procedures and Services,HC PERI-PROC DEVICE EVAL AND PROGRAM IMPLANTABLE DEFIBRILLATOR,$295.00,,,,,,,,
Cardiac Procedures and Services,HC PERI-PROC DEVICE EVAL AND PROGRAM PACEMAKER,$223.00,,,,,,,,
Cardiac Procedures and Services,HC PERQ TRANSCATH SEPTAL REDUCTION,"$13,886.00",,,,,,,,
Cardiac Procedures and Services,HC PHARM AGENT ADMIN NITRIC OXIDE,"$1,020.00",,,,,,,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL DUAL DEFIB,$261.00,,,,,,,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL DUAL PACER,$191.00,,,,,,,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL MULTI DEFIB,$295.00,,,,,,,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL MULTI PACER,$223.00,,,,,,,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL SINGLE DEFIB,$205.00,,,,,,,,
Cardiac Procedures and Services,HC PROGRAM DEVICE EVAL SINGLE PACER,$191.00,,,,,,,,
Cardiac Procedures and Services,HC PROGRAM SQ CRM INCL RETREIVAL REPORT,$135.00,,,,,,,,
Cardiac Procedures and Services,HC PTCA ADDL BRANCH MAJ COR ART,"$5,816.00",,,,,,,,
Cardiac Procedures and Services,HC PTCA SGL MAJ COR ART OR BRANCH,"$6,078.00",,,,,,,,
Cardiac Procedures and Services,HC REMOTE INTERROGATION SQ CRM,$140.00,,,,,,,,
Cardiac Procedures and Services,HC REVASC ACUTE OCCLUSION DURING MI SGL VES,"$16,204.00",,,,,,,,
Cardiac Procedures and Services,HC REVASC CABG DE STENT,"$14,453.00",,,,,,,,
Cardiac Procedures and Services,HC REVASC CHRONIC OCC DE STENT ADDL VESSEL,"$9,458.00",,,,,,,,
Cardiac Procedures and Services,HC REVASC CHRONIC OCC DE STENT SGL VESSEL,"$22,252.00",,,,,,,,
Cardiac Procedures and Services,HC REVASC CHRONIC OCCLUSION EA ADDL VESSEL,"$11,862.00",,,,,,,,
Cardiac Procedures and Services,HC REVASC CHRONIC OCCLUSION SGL VESSEL,"$22,492.00",,,,,,,,
Cardiac Procedures and Services,HC REVASC DE STENT ADD BRNCH CABG,"$6,209.00",,,,,,,,
Cardiac Procedures and Services,HC REVASC OCC DURING MI DE STENT SGL,"$17,385.00",,,,,,,,
Cardiac Procedures and Services,HC REVASCULARIZATION CABG 1 VESSEL,"$13,528.00",,,,,,,,
Cardiac Procedures and Services,HC REVASCULARIZATION CABG EA ADDL VESSEL,"$11,862.00",,,,,,,,
Cardiac Procedures and Services,HC RIGHT AND LEFT HEART CATH,"$17,966.00",,,,,,,,
Cardiac Procedures and Services,HC RIGHT HEART CATH,"$10,660.00",,,,,,,,
Cardiac Procedures and Services,HC RIGHT VENTRICULAR RECORDING,"$6,095.00",,,,,,,,
Cardiac Procedures and Services,HC STENT EA ADDL MAJ COR ART OR BRANCH,"$11,862.00",,,,,,,,
Cardiac Procedures and Services,HC STENT SGL MAJ COR ART OR BRANCH,"$13,644.00",,,,,,,,
Cardiac Procedures and Services,HC STRESS TEST TRACING ONLY,"$1,090.00",,,,,,,,
Cardiac Procedures and Services,HC SUBQ DEFIB INTERROGATION DEVICE EVAL,$208.00,,,,,,,,
Cardiac Procedures and Services,HC SUBQ DEFIB PROGRAMMING DEVICE EVAL,$205.00,,,,,,,,
Cardiac Procedures and Services,HC TEE DURING TAVR W/ DOPPLER AND COLOR FLOW,"$3,250.00",,,,,,,,
Cardiac Procedures and Services,HC TEMPORARY EXTERNAL PACING,$568.00,,,,,,,,
Cardiac Procedures and Services,HC TILT TABLE EVAL,"$2,527.00",,,,,,,,
Cardiac Procedures and Services,HC TISSUE DOPPLER IMAGING,"$4,233.00",,,,,,,,
Cardiac Procedures and Services,HC TRANSCATH CLOSURE ASD W/IMPLANT,"$13,886.00",,,,,,,,
Cardiac Procedures and Services,HC TRANSCATH CLOSURE VSD W/IMPLANT,"$14,985.00",,,,,,,,
Cardiac Procedures and Services,HC TRANSTELEPHONIC PACER EVAL,$163.00,,,,,,,,
Cardiac Procedures and Services,HC UNLISTED CARDIOVASCULAR PROCEDURE,"$4,233.00",,,,,,,,
Cardiovascular procedures,HC ABG PUNCTURE,$135.00,,,,,,,,
Cardiovascular procedures,HC ART MECH THROM (NON COR) 1ST VES,"$7,833.00",,,,,,,,
Cardiovascular procedures,HC ART MECH THROM (NON COR) SECONDARY,"$9,569.00",,,,,,,,
Cardiovascular procedures,HC ART MECH THROM (NON COR)ADDL VES,"$8,448.00",,,,,,,,
Cardiovascular procedures,HC CATH UMBILICAL VEIN,$209.00,,,,,,,,
Cardiovascular procedures,HC CATH VENOUS SEL ORGAN BLOOD SAMPLE,$209.00,,,,,,,,
Cardiovascular procedures,HC COLLECT BLD SPEC IMPL VAD,$927.00,,,,,,,,
Cardiovascular procedures,HC COLLECT SPEC PICC OR CVC,$72.00,,,,,,,,
Cardiovascular procedures,HC COLLECTION CAPILLARY BLOOD SPECIMEN,$15.00,,,,,,,,
Cardiovascular procedures,HC CONTRAST INJ VAD W FLUORO,"$2,336.00",,,,,,,,
Cardiovascular procedures,HC DECLOT CATH OR VAD BY THROMBOLYTIC,"$1,450.00",,,,,,,,
Cardiovascular procedures,HC DELAYED PLCMNT EXT PROSTHESIS FOR ENDOVASC REP EA ADDL VESSEL W IMG,"$13,761.00",,,,,,,,
Cardiovascular procedures,HC DELAYED PLCMNT EXT PROSTHESIS FOR ENDOVASC REP INIT VESSEL W IMG,"$15,696.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT INTRO NEEDLE/CATH  W PLCMT OF STENT PERIPHERAL W IMG,"$30,049.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT INTRO NEEDLE/CATH W IMG,"$4,113.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT INTRO NEEDLE/CATH W TBA PERIPHERAL W IMG,"$13,986.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT PERC THROMBECTOMY OR THROMBOLYSIS INFU W IMG,"$10,784.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT PERC THROMBECTOMY OR THROMBOLYSIS INFU W PLCMT OF STENT PERIPHERAL W IMG,"$36,721.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT PERC THROMBECTOMY OR THROMBOLYSIS INFU W TBA PERIPHERAL W IMG,"$20,658.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT PLCMT OF STENT CENTRAL INCLD ANGIOPLASTY W IMG ADD ON,"$16,063.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT TBA CENTRAL W IMG ADD ON,"$9,873.00",,,,,,,,
Cardiovascular procedures,HC DIALYSIS CIRCUIT VASC EMBOLIZATION OR OCCLUSION W IMG ADD ON,"$12,641.00",,,,,,,,
Cardiovascular procedures,HC ECMO ADDL DAY VENO-ARTERIAL,"$34,874.00",,,,,,,,
Cardiovascular procedures,HC ECMO ADDL DAY VENO-VENO,"$34,874.00",,,,,,,,
Cardiovascular procedures,HC ECMO INITIAL DAY VENO-ARTERIAL,"$34,874.00",,,,,,,,
Cardiovascular procedures,HC ECMO INITIAL DAY VENO-VENO,"$34,874.00",,,,,,,,
Cardiovascular procedures,HC EMBOLECTOMY FEM POP AORTOILIAC ART,"$5,609.00",,,,,,,,
Cardiovascular procedures,HC ENDOVASC REP DESCEND THORAC AORTA NO SUBCL,"$2,992.00",,,,,,,,
Cardiovascular procedures,HC ENDOVASC REP DESCEND THORAC AORTA SUBCLAV,"$2,992.00",,,,,,,,
Cardiovascular procedures,HC ENDOVASC VISC AORTA 2 GRAFT,"$14,428.00",,,,,,,,
Cardiovascular procedures,HC ENDOVEN ABLAT INCOMPETENT EXT VEIN W IMG ADDL VEIN,"$1,523.00",,,,,,,,
Cardiovascular procedures,HC ENDOVEN ABLAT INCOMPETENT EXT VEIN W IMG INITIAL VEIN,"$2,379.00",,,,,,,,
Cardiovascular procedures,HC ENDOVENOUS ABLATION EXT LASER 1ST VEIN,"$7,054.00",,,,,,,,
Cardiovascular procedures,HC ENDOVENOUS ABLATION EXT LASER 2ND+ VEINS,"$2,350.00",,,,,,,,
Cardiovascular procedures,HC ENDOVENOUS ABLATION EXT RF 1ST VEIN,"$3,764.00",,,,,,,,
Cardiovascular procedures,HC ENDOVENOUS ABLATION EXT RF 2ND+ VEINS,"$2,350.00",,,,,,,,
Cardiovascular procedures,HC ENDOVENOUS FEMORAL-POPLITEAL ARTERIAL REVASC,"$18,776.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP ILIAC ART BY ILIO-ILIAC ENDGRFT UNI NOT RUPT W IMG,"$42,592.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP ILIAC ART BY ILIO-ILIAC ENDGRFT UNI RUPT W IMG,"$42,592.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-BI-ILC ENDGRFT NOT RUPT W IMG,"$38,536.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-BI-ILC ENDGRFT RUPT W IMG,"$38,536.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-UNI-ILC ENDGRFT NOT RUPT W IMG,"$37,209.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP INFRNL AORT/ILC ART BY AORTO-UNI-ILC ENDGRFT RUPT W IMG,"$37,209.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP INFRNL AORTA BY AORTO-AORTIC ENDGRFT NOT RUPT W IMG,"$36,435.00",,,,,,,,
Cardiovascular procedures,HC ENDVSC REP INFRNL AORTA BY AORTO-AORTIC ENDGRFT RUPT W IMG,"$36,435.00",,,,,,,,
Cardiovascular procedures,HC EXTERNAL COUNTERPULSATION,"$3,357.00",,,,,,,,
Cardiovascular procedures,HC ICD LEAD EXTRACTION,"$66,234.00",,,,,,,,
Cardiovascular procedures,HC ILIAC EA ADDL IPSILAT VSL W PTA,"$4,579.00",,,,,,,,
Cardiovascular procedures,HC ILIAC EA ADL IPSIL VSL W STENT,"$4,385.00",,,,,,,,
Cardiovascular procedures,HC INJ FOAM SCLEROSANT W ULTRASOUND COMPRESSION EXTREMITY MULTIPLE VEINS,"$1,231.00",,,,,,,,
Cardiovascular procedures,HC INJ FOAM SCLEROSANT W ULTRASOUND COMPRESSION EXTREMITY SINGLE VEIN,"$1,231.00",,,,,,,,
Cardiovascular procedures,HC INJ SCLEROSANT FOR SPIDER VEINS LIMB OR TRUNK,$72.00,,,,,,,,
Cardiovascular procedures,HC INJ SCLEROSING SOLN MULT INCOMPETENT VEINS SAME LEG,$216.00,,,,,,,,
Cardiovascular procedures,HC INJ SCLEROSING SOLN SINGLE INCOMPETENT VEIN,$216.00,,,,,,,,
Cardiovascular procedures,HC INJECTION EXTREMITY VENOGRAM,"$2,456.00",,,,,,,,
Cardiovascular procedures,HC INJECTION THROMBIN PSEUDOANEURYSM,"$3,871.00",,,,,,,,
Cardiovascular procedures,HC INS CATH 2ND+ ORDER REN ART BIL W IMG,"$9,185.00",,,,,,,,
Cardiovascular procedures,HC INS CATH 2ND+ ORDER REN ART UNI W IMG,"$6,640.00",,,,,,,,
Cardiovascular procedures,HC INS ELECTRODE AT INS ICD OR PACER,"$20,393.00",,,,,,,,
Cardiovascular procedures,HC INS ELECTRODE PREV PLACED ICD OR PACER,"$29,120.00",,,,,,,,
Cardiovascular procedures,HC INS OR REPL ICD W PULSE GEN SGL OR DUAL,"$20,175.00",,,,,,,,
Cardiovascular procedures,HC INSERT ARTERIAL CATH PERCUTANEOUS,$840.00,,,,,,,,
Cardiovascular procedures,HC INSERT CVA 2 CATHS W PORT,"$4,537.00",,,,,,,,
Cardiovascular procedures,HC INSERT CVA 2 CATHS WO PORT,"$3,232.00",,,,,,,,
Cardiovascular procedures,HC INSERT CVA DEVICE W PORT,"$5,468.00",,,,,,,,
Cardiovascular procedures,HC INSERT CVC NONTUNNELED AGE 5 OR OLDER,"$1,340.00",,,,,,,,
Cardiovascular procedures,HC INSERT CVC TUNNELED AGE 5 OR OLDER,"$9,116.00",,,,,,,,
Cardiovascular procedures,HC INSERT ICD GENERATOR ONLY DUAL,"$20,004.00",,,,,,,,
Cardiovascular procedures,HC INSERT ICD GENERATOR ONLY MULT,"$15,492.00",,,,,,,,
Cardiovascular procedures,HC INSERT IVC FILTER,"$7,943.00",,,,,,,,
Cardiovascular procedures,HC INSERT PACER ATRIAL AND VENTRICULAR W LEAD,"$18,719.00",,,,,,,,
Cardiovascular procedures,HC INSERT PACER ATRIAL W LEAD,"$27,209.00",,,,,,,,
Cardiovascular procedures,HC INSERT PACER PULSE GENERATOR MULT LEADS,"$10,950.00",,,,,,,,
Cardiovascular procedures,HC INSERT PACER VENTRICULAR W LEAD,"$18,720.00",,,,,,,,
Cardiovascular procedures,HC INSERT PICC WO SQ PORT WO IMAGING GUIDANCE AGE 5 OR OLDER,"$1,396.00",,,,,,,,
