OHIOHEALTH SHELBY HOSPITAL CHARGE LIST,,,,
SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT
Blood Products,CRYOPRECIPITATE,$303.00,,
Blood Products,DIRECTED UNIT,"$1,080.00",,
Blood Products,FRESH FROZEN PLASMA,$231.00,,
Blood Products,FROZEN DEGLYCED CELLS,$682.00,,
Blood Products,"IRRADIATION OF BLOOD PRODUCT, EACH UNIT",$51.00,,
Blood Products,LEUKODEPLETED RBC,$769.00,,
Blood Products,PACKED RED BLOOD CELLS,$712.00,,
Blood Products,PLATELET CONCENTRATE,$335.00,,
Blood Products,PLATELET HLA MATCHED,"$2,407.00",,
Blood Products,PLATELET PHERESIS,"$1,753.00",,
Blood Products,"PLATELET PHERESIS, LEUKORED, IRRAD","$1,753.00",,
Blood Products,"PLT PHER,LEUKOREDCD,CMV NEG,IR","$2,516.00",,
Blood Products,"PLT,LEUKOREDUCED, IRRADIATED",$346.00,,
Blood Products,WASHED RED BLOOD CELLS - EACH UNIT,$576.00,,
Breast Procedures,BIOPSY BREAST 1ST LESION W/MRI (LOCAL DEVICE/SPECIMEN IMAGE IF DONE),"$3,536.00",,
Breast Procedures,BIOPSY BREAST 1ST LESION W/STEREOTACTIC GUIDANCE (LOCALIZATION DEVICE & SPECIMEN IMAGING IF DONE),"$5,744.00",,
Breast Procedures,BIOPSY BREAST 1ST LESION W/ULTRASOUND GUIDANCE (LOCAL DEVICE/SPECIMEN IMAGE IF DONE),"$3,379.00",,
Breast Procedures,BIOPSY BREAST EACH  ADD'L LESION W/ULTRASOUND (LOCAL DEVICE/SPECIMEN IMAGE IF DONE),$708.00,,
Breast Procedures,BIOPSY BREAST EACH ADD'L LESION W/MRI (LOCAL DEVICE/SPECIMEN IMAGE IF DONE),"$1,078.00",,
Breast Procedures,BIOPSY BREAST EACH ADD'L LESION W/STEROTACTIC GUIDANCE (LOCAL DEVICE/SPECIMEN IMAGE IF DONE),$520.00,,
Breast Procedures,INCISION OF BREAST LESION,"$2,490.00",,
Breast Procedures,PLACEMENT BREAST LOCALIZATION DEVICE 1ST LESION W/MAMMOGRAPHY GUIDANCE,$249.00,,
Breast Procedures,PLACEMENT BREAST LOCALIZATION DEVICE 1ST LESION W/STEREOTACTIC GUIDANCE,$444.00,,
Breast Procedures,PLACEMENT BREAST LOCALIZATION DEVICE 1ST LESION W/ULTRASOUND GUIDANCE,$473.00,,
Breast Procedures,PLACEMENT BREAST LOCALIZATION DEVICE EACH ADD'L LESION W/MAMMOGRAPHY,$249.00,,
Breast Procedures,PLACEMENT BREAST LOCALIZATION DEVICE EACH ADD'L LESION W/STEREOTACTIC,$244.00,,
Breast Procedures,PLACEMENT BREAST LOCALIZATION DEVICE EACH ADD'L LESION W/ULTRASOUND GUIDANCE,$100.00,,
Breast Procedures,PUNCTURE ASPIRATION CYST - BREAST - EACH ADDITIONAL,$185.00,,
Breast Procedures,PUNCTURE ASPIRATION CYST OF BREAST (Mansfield US Explode Set),"$1,237.00",,
Cardiac Procedures and Services,3-D MAPPING,"$16,329.00",,
Cardiac Procedures and Services,ABLATION OF ARRHYTHMIA DISTINCT FROM PRIMARY,"$6,897.00",,
Cardiac Procedures and Services,ANGIOGRAPHY - CORONARY WITHOUT LEFT HEART CATHETERIZATON,"$12,451.00",,
Cardiac Procedures and Services,ANGIOGRAPHY - CORONARY/BYPASS GRAFTS/INTERNAL MAMMARY W/O LEFT HEART CATH,"$15,148.00",,
Cardiac Procedures and Services,ANGIOGRAPHY - PULMONARY DURING CARDIAC CATHETERIZATION,"$2,147.00",,
Cardiac Procedures and Services,ANGIOPLASTY - CORONARY - EACH ADD'L  BRANCH MAJOR ARTERY,"$7,389.00",,
Cardiac Procedures and Services,ANGIOPLASTY - CORONARY - SINGLE MAJOR ARTERY/BRANCH,"$7,720.00",,
Cardiac Procedures and Services,AORTOGRAPHY SUPRAVALVULAR (ROOT) DURING CARDIAC CATHETERIZATION PROCEDURE,"$1,929.00",,
Cardiac Procedures and Services,ATHERECTOMY - CORONARY - EACH ADD'L MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$16,530.00",,
Cardiac Procedures and Services,ATHERECTOMY - CORONARY - SINGLE MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$18,928.00",,
Cardiac Procedures and Services,ATHERECTOMY W/ DRUG-ELUTING STENT PLACEMENT SINGLE MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$21,309.00",,
Cardiac Procedures and Services,ATHERECTOMY W/DRUG-ELUTING STENT PLACEMENT  EACH ADD'L MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$16,530.00",,
Cardiac Procedures and Services,ATHERECTOMY WITH STENT PLACEMENT  EACH ADD'L MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$14,790.00",,
Cardiac Procedures and Services,ATHERECTOMY WITH STENT PLACEMENT SINGLE MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$18,928.00",,
Cardiac Procedures and Services,CARDIAC REHAB PHASE II NON-MONITOR VISIT,$192.00,,
Cardiac Procedures and Services,CARDIAC REHAB VISIT,$225.00,,X
Cardiac Procedures and Services,CARDIAC REHAB-MEDICAID-PER DAY,$189.00,,
Cardiac Procedures and Services,CARDIAC STRESS TEST - TRACING ONLY WITHOUT INTERPRETATION & REPORT,"$1,324.00",,
Cardiac Procedures and Services,CARDIOPULMONARY RESUSCITATION (CPR),"$2,520.00",,
Cardiac Procedures and Services,CARDIOVERSION - ELECTIVE,"$3,550.00",,
Cardiac Procedures and Services,CATHETERIZATION LEFT HEART W/CORNARY ANGIO & LEFT VENTRICULAR ANGIO (IF PERFORMED),"$15,351.00",,
Cardiac Procedures and Services,CATHETERIZATION LEFT HEART W/CORONARY/CB/LIMA ANGIOGRAPHY W/ or W/O LEFT VENTRICULOGRAPHY,"$16,242.00",,
Cardiac Procedures and Services,CATHETERIZATION RIGHT & LEFT HEART W/CORONARY ANGIO W/ or W/O LEFT VENTRICULOGRAPHY,"$16,898.00",,
Cardiac Procedures and Services,CATHETERIZATION RIGHT & LEFT HEART W/CORONARY/CBG/LIMA ANGIOPLASTY W/ or W/O VENTRICULAR ANGIOPLASTY,"$18,970.00",,
Cardiac Procedures and Services,CATHETERIZATION RIGHT HEART W/CORONARY/CBG/LIMA ANGIOPLASTY,"$17,054.00",,
Cardiac Procedures and Services,CATHETERIZATION RIGHT HEART WITH CORNARY ANGIOGRAPHY,"$16,746.00",,
Cardiac Procedures and Services,COLOR FLOW MAPPING,$237.00,,
Cardiac Procedures and Services,CORONARY FLOW RESERVE MEASUREMENT - INITIAL VESSEL - FRACTIONAL FLOW RESERVE (FFR),"$7,397.00",,
Cardiac Procedures and Services,CORONARY FLOW RESERVE MEASUREMENT EACH ADDITIONAL VESSEL,"$3,102.00",,
Cardiac Procedures and Services,DEFIBRILLATION THRESHOLD TESTING ICD SYSTEM AT TIME OF IMPLANT (DFTs),"$5,137.00",,
Cardiac Procedures and Services,DEVICE EVALUATION & PROGRAMMING (CARDIOVERTER-DEFIBRILLATOR) - PERI-PROCEDURE,$175.00,,
Cardiac Procedures and Services,DEVICE INTERROGATION EVAL IN PERSON LEADLESS PM SYSTEM,$137.00,,
Cardiac Procedures and Services,DEVICE PROGRAMMING EVAL IN PERSON LEADLESS PM SYSTEM,$137.00,,
Cardiac Procedures and Services,DFT'S ICD LEADS AT TIME OF IMPLANT OR REPLACEMENT,"$5,054.00",,
Cardiac Procedures and Services,DOPPLER ECHOCARDIOGRAPHY FOLLOW-UP OR LIMITED STUDY,$318.00,,
Cardiac Procedures and Services,DOPPLER ECHOCARDOPGRAPHY - COMPLETE,$341.00,,
Cardiac Procedures and Services,ECHOCARDIOGRAM - TRANSTHORACIC - LIMITED OR FOLLOW-UP,"$1,819.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM TRANSESOPHAGEAL (TEE),"$3,575.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM TRANSESOPHAGEAL FOR CONGENITAL CARDIAC ANOMALIES,"$2,835.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM TRANSTHORACIC 2D (TTE),"$1,665.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM TRANSTHORACIC FOR CONGENITAL CARDIAC ANOMOLIES - COMPLETE,"$2,199.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM TRANSTHORACIC REST & STRESS W/INTERPRETATION & REPORT,"$2,485.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM TRANSTHORACIC WITH DOPPLER & COLOR FLOW MAPPING,"$2,485.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM TRANSTHORACIC WITHOUT DOPPLER OR COLOR FLOW,"$1,951.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM W/CONTRAST - STRESS & REST STUDY W/PHYSICIAN SUPERVISION (EXPLODE SET),"$3,800.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM W/CONTRAST FOR CONGENITAL CARDIAC ANOMOLIES (EXPLODE SET),"$3,800.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM W/CONTRAST OR W/O CONTRAST FOLLOWED BY CONTRAST W/O SPECTRAL OR COLOR FLOW (EXPLODE SET),"$2,907.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM W/CONTRAST WITH SPECTRAL & COLOR FLOW DOPPLER (EXPLODE SET),"$3,800.00",,
Cardiac Procedures and Services,ECHOCARDIOGRAM WITH CONTRAST - LIMITED OR FOLLOW-UP STUDY (EXPLODE SET),"$2,907.00",,
Cardiac Procedures and Services,ECHOGARDIOGRAM TRANSTHORACIC FOR CONGENITAL CARDIAC ANOMALIES - FOLLOW-UP OR LIMITED,"$2,485.00",,
Cardiac Procedures and Services,EKG (ELECTROCARDIOGRAM) - TRACING ONLY W/O INTERPRETATION & REPORT,$188.00,,
Cardiac Procedures and Services,ENDOLUMINAL IMAGING WITH INTRAVASCULAR ULTRASOUND (IVUS)  OR OPTICAL COHERENCE TOMOGRAPHY (OCT) -  EACH ADD'L VESSEL,"$6,161.00",,
Cardiac Procedures and Services,ENDOLUMINAL IMAGING WITH INTRAVASCULAR ULTRASOUND (IVUS)  OR OPTICAL COHERENCE TOMOGRAPHY (OCT) -  INITIAL VESSEL,"$7,727.00",,
Cardiac Procedures and Services,ENDOMYOCARDIAL BIOPSY,"$10,338.00",,
Cardiac Procedures and Services,EP BUNDLE OF HIS RECORDING,"$7,384.00",,
Cardiac Procedures and Services,EP ESOPHAGEAL RECORDING OF ATRIAL ELECTROGRAM,"$8,564.00",,
Cardiac Procedures and Services,E-P EVALUATION SUBCUTANEOUS IMPLANTABLE DEFIBRILLATOR,$257.00,,
Cardiac Procedures and Services,EP FOLLOW UP STUDY,"$7,428.00",,
Cardiac Procedures and Services,EP INDUCTION OF ARRHYTHMIA BY ELECTRICAL PACING,"$6,696.00",,
Cardiac Procedures and Services,EP INTRA-ATRIAL PACING,"$6,592.00",,
Cardiac Procedures and Services,EP INTRA-ATRIAL RECORDING,"$6,641.00",,
Cardiac Procedures and Services,EP INTRAVENTRICULAR PACING,"$7,600.00",,
Cardiac Procedures and Services,EP STUDY & ABLATION FOR SUPRAVENTRICULAR TACHYCARDIA,"$43,990.00",,
Cardiac Procedures and Services,EP STUDY & ABLATION FOR VENTRICULAR TACHYCARDIA,"$53,321.00",,
Cardiac Procedures and Services,EP STUDY COMPREHENSIVE EVALUATION RIGHT W/O ARRYTHMIA INDUCTION,"$17,613.00",,
Cardiac Procedures and Services,EP VENT RECORD,"$7,600.00",,
Cardiac Procedures and Services,EP-ABLATION-AV NODE FUNCTION,"$28,067.00",,
Cardiac Procedures and Services,EP-COMPREHENSIVE LT ATRIAL,"$15,982.00",,
Cardiac Procedures and Services,EP-COMPREHENSIVE LT VENT,"$16,093.00",,
Cardiac Procedures and Services,EP-COMPREHENSIVE RT W/ARRYTH,"$29,630.00",,
Cardiac Procedures and Services,EP-EVALUATION OF AICD (AUTOMATIC IMPLANTABLE CARDIOVERTER DEFIBRILLATOR),"$6,021.00",,
Cardiac Procedures and Services,EVALUATE DEVICE - IMPLANTABLE DEFIBRILLATOR SYSTEM -  SINGLE/DUAL/MULTI LEAD,$265.00,,
Cardiac Procedures and Services,HOLTER MONITOR RECORDING - UP TO 48 HOURS,$527.00,,X
Cardiac Procedures and Services,HOLTER MONITOR SCANNING - UP TO 48 HOURS,$477.00,,X
Cardiac Procedures and Services,INSERTION CATHETER (SWAN GANZ) FOR MONITORING PURPOSES,"$7,719.00",,
Cardiac Procedures and Services,INSERTION SWAN-GANZ CATHETER  -  INPATIENT BEDSIDE PROCEDURE,"$5,623.00",,
Cardiac Procedures and Services,INTERROGATION DEVICE EVALUATION - IMPLANTABLE SUBCUTANEOUS DEFIBRILLATOR,$260.00,,
Cardiac Procedures and Services,INTERROGATION DEVICE EVALUATION - PACEMAKER SYSTEM - SINGLE/DUAL/MULTI LEAD,$156.00,,
Cardiac Procedures and Services,INTERROGATION DEVICE EVALUATION (REMOTE) IMPLANTABLE CV MONITOR OR IMPLANTABLE LOOP RECORDER,$178.00,,
Cardiac Procedures and Services,INTERROGATION DEVICE EVALUATION (REMOTE) PACEMAKER SINGLE-DUAL-MULTI LEAD,$123.00,,
Cardiac Procedures and Services,INTERROGATION DEVICE EVALUATION IMPLANTABLE CARDIOVASCUALR MONITOR SYSTEM,$119.00,,
Cardiac Procedures and Services,INTERROGATION DEVICE EVALUATION IMPLANTABLE LOOP RECORDER,$146.00,,
Cardiac Procedures and Services,INTRACARDIAC ECHOCARDIOGRAPHY,"$5,631.00",,
Cardiac Procedures and Services,LEFT HEART CATH BY TRANSEPTAL PUNCTURE,"$2,433.00",,
Cardiac Procedures and Services,MULTI SITE MAPPING,"$14,190.00",,
Cardiac Procedures and Services,MYOCARDIAL STRAIN IMAGING,$318.00,,
Cardiac Procedures and Services,NIPS PROCEDURE (NON-INVASIVE PACEMAKER STIMULATION),"$1,215.00",,
Cardiac Procedures and Services,NUCLEAR STRESS TEST - TRACING ONLY - NO INTERPRETATION OR REPORT,"$1,324.00",,
Cardiac Procedures and Services,"PERIPHERAL ARTERIAL DISEASE (PAD) REHAB, PER SESSION",$214.00,,
Cardiac Procedures and Services,PLACEMENT CORONARY STENT - EACH ADD'L MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$15,067.00",,
Cardiac Procedures and Services,PLACEMENT CORONARY STENT - SINGLE MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$17,330.00",,
Cardiac Procedures and Services,PLACEMENT DRUG-ELUTING STENT  - EACH ADD'L MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$7,716.00",,
Cardiac Procedures and Services,PLACEMENT DRUG-ELUTING STENT  - SINGLE MAJOR ARTERY/BRANCH (INCLUDES ANGIO IF DONE),"$17,330.00",,
Cardiac Procedures and Services,PRO PRQ CORONARY ANGIOPLASTY ADDL BRANCH,"$1,365.00",,
Cardiac Procedures and Services,PRO R & L HEART CATH W/CORONARY ANGIO & LT VENTRICULAR IMAGING,$966.00,,
Cardiac Procedures and Services,PROGRAMMED STIMULATION AND PACING AFTER IV DRUG INFUSION,"$9,034.00",,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION - DEFIBRILLATOR MULTI LEAD,$369.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION - IMPLANTABLE LOOP RECORDER SYSTEM,$169.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION - IMPLANTED SUBCUTANEOUS DEFIBRILLATOR,$257.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION - PACEMAKER DUAL LEAD SYSTEM,$243.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION - PACEMAKER MULTI LEAD SYSTEM,$285.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION - PACEMAKER SINGLE LEAD SYSTEM,$243.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION (IN PERSON) - DUAL LEAD PACEMAKER SYSTEM,$243.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUATION CARDIOVERTER-DEFIBRILLATOR - DUAL LEAD,$333.00,,
Cardiac Procedures and Services,PROGRAMMING DEVICE EVALUTATION  - DEFIBRILLATOR SINGLE LEAD,$257.00,,
Cardiac Procedures and Services,REVASCULARIZATION BYPASS GRAFT- EACH ADD'L  BRANCH - ANY METHOD,"$15,067.00",,
Cardiac Procedures and Services,REVASCULARIZATION BYPASS GRAFT OF OR THROUGH CABG - EACH ADD'L  BRANCH - ANY METHOD,"$7,743.00",,
Cardiac Procedures and Services,REVASCULARIZATION BYPASS GRAFT- SINGLE VESSEL,"$18,360.00",,
Cardiac Procedures and Services,REVASCULARIZATION BYPASS GRAFT- SINGLE VESSEL - ANY METHOD,"$17,184.00",,
Cardiac Procedures and Services,REVASCULARIZATION CHRONIC TOTAL OCCLUSION - EACH ADD'L VESSEL,"$14,790.00",,
Cardiac Procedures and Services,REVASCULARIZATION DURING ACUTE MI -  SINGLE VESSEL,"$22,084.00",,
Cardiac Procedures and Services,REVASCULARIZATION DURING ACUTE MI - SINGLE VESSEL,"$20,583.00",,
Cardiac Procedures and Services,REVASCULARIZATION OF TOTAL OCCLUSION - EACH ADD'L VESSEL,"$11,793.00",,
Cardiac Procedures and Services,REVASCULARIZATION OF TOTAL OCCLUSION - SINGLE VESSEL,"$28,571.00",,
Cardiac Procedures and Services,REVASCULARIZATION TOTAL OCCLUSION - SINGLE VESSEL,"$28,265.00",,
Cardiac Procedures and Services,RHYTHM EKG,$70.00,,
Cardiac Procedures and Services,RIGHT HEART CATHETERIZATION,"$13,540.00",,
Cardiac Procedures and Services,SIGNAL AVERAGED-EKG,$173.00,,
Cardiac Procedures and Services,TEE WITH CONTRAST (TRANSESOPHAGEAL ECHOCARDIOGRAM) (EXPLODE SET),"$3,930.00",,
Cardiac Procedures and Services,TEMPORARY TRANSCUTANEOUS PACING,"$1,891.00",,
Cardiac Procedures and Services,THROMBECTOMY CORONARY PERCUTANEOUS TRANSLUMINAL,"$4,296.00",,
Cardiac Procedures and Services,THROMBOLYSIS - CORONARY BY INTRACORONARY INFUSION,"$1,139.00",,
Cardiac Procedures and Services,THROMBOLYSIS - CORONARY BY INTRAVENOUS INFUSION,$526.00,,
Cardiac Procedures and Services,TILT TABLE TESTING,"$3,212.00",,
Cardiac Procedures and Services,TRANSCATH INSERT OR REPLACE LEADLESS PM VENTR,"$58,091.00",,
Cardiac Procedures and Services,TRANSCATH REMOVAL LEADLESS PM VENTRICULAR,"$9,277.00",,
Cardiac Procedures and Services,TRANSTELEPHONIC RHYTHM STRIP PACEMAKER EVALUATION - SINGLE/DUAL/MULTI LEAD,$204.00,,
Cardiac Procedures and Services,TREATMENT OF A-FIB ADD'L - AFTER PULMONARY VEIN ISOLATION,"$6,897.00",,
Cardiac Procedures and Services,TREATMENT OF A-FIB BY ABLATION BY PULMONARY VEIN ISOLATION,"$102,561.00",,
Cardiac Procedures and Services,UNLISTED CARDIOVASCULAR PROCEDURE,$857.00,,
Cardiovascular procedures,ANGIOJET VENOUS REPEAT SUBSEQUENT DAY,"$6,575.00",,
Cardiovascular procedures,ANGIOPLASTY CENTRAL DIALYSIS SEGMENT W/IMAGING S&I,"$9,000.00",,
Cardiovascular procedures,ANGIOPLASTY OPEN/PERQ EACH ADD'L ARTERY INCLUDING IMAGES/S&I,"$6,657.00",,
Cardiovascular procedures,ANGIOPLASTY OPEN/PERQ EACH ADD'L VEIN INCLUDING IMAGES/S&,"$4,499.00",,
Cardiovascular procedures,ANGIOPLASTY OPEN/PERQ INITIAL ARTERY INCLUDING IMAGES/S&I - BILATERAL,"$19,972.00",,
Cardiovascular procedures,ANGIOPLASTY OPEN/PERQ INITIAL ARTERY INCLUDING IMAGES/S&I - UNILATERAL,"$13,315.00",,
Cardiovascular procedures,ANGIOPLASTY OPEN/PERQ INITIAL VEIN INCLUDING IMAGES/S&I - BILATERAL (EXCEPT DIALYSIS CIRCUIT),"$13,498.00",,
Cardiovascular procedures,ANGIOPLASTY OPEN/PERQ INITIAL VEIN INCLUDING IMAGES/S&I - UNILATERAL (EXCEPT DIALYSIS CIRCUIT),"$8,999.00",,
Cardiovascular procedures,ARTERIAL CATHETERIZATION/CANNULATION FOR SAMPLING/MONITORING/TRANSFUSION - PERCUTANEOUS,$126.00,,
Cardiovascular procedures,ARTERIAL PUNCTURE,$118.00,,X
Cardiovascular procedures,BIOPSY 37200 TRANSCATHETER,"$3,999.00",,
Cardiovascular procedures,BLOOD DRAW< 3YRS FEM/JUGULAR,$32.00,,
Cardiovascular procedures,CAPILLARY BLOOD DRAW,$17.00,,
Cardiovascular Procedures,CAROTID STENTING,"$11,924.00",,
Cardiovascular procedures,CATH PLACEMENT SELECTIVE 1ST ORDER FOR RENAL ANGIOGRAPHY - BILATERAL,"$10,053.00",,
Cardiovascular procedures,CATH PLACEMENT SELECTIVE 1ST ORDER FOR RENAL ANGIOGRAPHY- UNILATERAL,"$8,508.00",,
Cardiovascular procedures,CATH PLACEMENT SUPERSELECTIVE FOR RENAL ANGIOGRAPHY - BILATERAL,"$6,872.00",,
Cardiovascular procedures,CATH PLACEMENT SUPERSELECTIVE FOR RENAL ANGIOGRAPHY - UNILATERAL,"$4,968.00",,
Cardiovascular procedures,CATHETER PLACEMENT ARTERY 1ST ORDER THORACIC/BRACHIOCEPHALIC BRANCH,"$1,847.00",,
Cardiovascular procedures,CATHETER PLACEMENT ARTERY 2ND ORDER ABDOMEN/PELVIS/LOWER EXTREMITY,"$2,250.00",,
Cardiovascular procedures,CATHETER PLACEMENT ARTERY 2ND ORDER THORACIC/BRACHIOCEPHALIC BRANCH,"$1,124.00",,
Cardiovascular procedures,CATHETER PLACEMENT ARTERY 3RD ORDER ABDOMEN/PELVIS/LOWER EXTREMITY,"$2,133.00",,
Cardiovascular procedures,CATHETER PLACEMENT ARTERY 3RD ORDER THORACIC/BRACHIOCEPHALIC BRANCH,"$2,434.00",,
Cardiovascular procedures,CATHETER PLACEMENT ARTERY ADD'L ABDOMEN/PELVIS/LOWER EXTREMITY,$147.00,,
Cardiovascular procedures,CATHETER PLACEMENT ARTERY ADD'L THORACIC/BRACHIOCEPHALIC BRANCH,$798.00,,
Cardiovascular procedures,CATHETER PLACEMENT NON-SELECTIVE UNILATERAL OR BILATERAL,"$13,149.00",,
Cardiovascular procedures,CATHETER PLACEMENT SELECTIVE  -  UNILATERAL,"$21,507.00",,
Cardiovascular procedures,CATHETER PLACEMENT SELECTIVE - CAROTID OR INNOMINATE ARTERY - UNILATERAL,"$13,149.00",,
