Facility,Description,Unit Price
Cooper University Hospital,ADULT DOPPLER," $2,534.00 "
Cooper University Hospital,AGGLUTINATION PER ANTISERA, $49.00 
Cooper University Hospital,"AHG,INDIRECT, EACH RGT CELL", $138.00 
Cooper University Hospital,AIGIS RX POUCH MED/LRG," $5,019.00 "
Cooper University Hospital,ALBUMIN, $96.00 
Cooper University Hospital,ALBUMIN CS, $16.00 
Cooper University Hospital,ALBUMIN FLUID, $29.00 
Cooper University Hospital,ALCOHOL BIOMARKERS, $231.00 
Cooper University Hospital,ALDOLASE, $156.00 
Cooper University Hospital,ALDOSTERONE, $368.00 
Cooper University Hospital,ALKALINE PHOS, $55.00 
Cooper University Hospital,ALKALINE PHOSPHATASE, $119.00 
Cooper University Hospital,"ALLERGEN, IGG", $97.00 
Cooper University Hospital,ALPHA 1 ANTITRYPSIN, $202.00 
Cooper University Hospital,ALPHA 1 ANTITRYPSIN DEFICIENCY, $329.00 
Cooper University Hospital,ALPHA 1 ANTITRYPSIN PHENOTYPE, $100.00 
Cooper University Hospital,ALPHA FETO PROT PREG, $558.00 
Cooper University Hospital,ALPHA FETO PROTEIN SERUM, $657.00 
Cooper University Hospital,ALPHA FETOPROT TUMOR, $558.00 
Cooper University Hospital,ALPHA GLOBIN 1/2 GENE ANALYSIS," $1,344.00 "
Cooper University Hospital,ALPHA SUBUNIT, $96.00 
Cooper University Hospital,ALPHA-2 ANTIPLASMIN, $261.00 
Cooper University Hospital,ALPHA-2 MACROGLOBULIN, $229.00 
Cooper University Hospital,ALPHA-FETAPROTEIN CSF, $107.00 
Cooper University Hospital,ALPHA-FETOPROTEIN W/AFP-L3, $230.00 
Cooper University Hospital,ALPL GENE ANALYSIS, $840.00 
Cooper University Hospital,ALPRAZOLAM 0.25MG TAB, $6.00 
Cooper University Hospital,"ALPRAZOLAM, QT, URINE", $370.00 
Cooper University Hospital,ALT (SGPT), $38.00 
Cooper University Hospital,ALTEPLASE 1MG INJ, $332.00 
Cooper University Hospital,ALUMINUM, $278.00 
Cooper University Hospital,AMBULATORY EEG MONITORING," $4,217.00 "
Cooper University Hospital,AMIFOSTINE INJ 500MG/10ML VIAL," $1,038.00 "
Cooper University Hospital,AMIKACIN, $172.00 
Cooper University Hospital,AMINO ACID ANALYSIS PLASMA, $626.00 
Cooper University Hospital,AMINO ACID FRAC QUAN," $1,113.00 "
Cooper University Hospital,AMINOPHYLLINE 250MG/10ML INJ, $12.00 
Cooper University Hospital,AMIODARONE, $356.00 
Cooper University Hospital,AMITRIPTYLINE, $84.00 
Cooper University Hospital,AML/ETO T(8;21)QN PCR," $1,000.00 "
Cooper University Hospital,AMMONIA, $345.00 
Cooper University Hospital,AMMONIUM*, $345.00 
Cooper University Hospital,AMNIOCENTESIS, $615.00 
Cooper University Hospital,AMNIOTIC FLUID SCAN OD 450-650, $485.00 
Cooper University Hospital,AMP F/TH 1/2 JT/PHALANX W/NEURECT W/DIR CLSR," $10,463.00 "
Cooper University Hospital,AMPHETAMINE CONFIRMATION, $92.00 
Cooper University Hospital,AMPHIPHYSIN ANTIBODY," $1,247.00 "
Cooper University Hospital,AMPLATZER DELIVERY/EXCHANGE CA," $3,864.00 "
Cooper University Hospital,AMPLATZER OCCLUDER DEVICE," $44,499.00 "
Cooper University Hospital,AMPLATZER SIZING BALLOON," $1,512.00 "
Cooper University Hospital,AMPLIA/MRI QUAD CRTD DEFIB," $87,129.00 "
Cooper University Hospital,AMPUTATION FINGER/THUMB W FLAP," $6,036.00 "
Cooper University Hospital,AMYLASE, $118.00 
Cooper University Hospital,AMYLASE MEDICARE ONLY, $38.00 
Cooper University Hospital,"AMYLASE, FLUID", $118.00 
Cooper University Hospital,ANA SCREEN, $38.00 
Cooper University Hospital,"ANABOLIC STEROIDS,1 OR 2", $698.00 
Cooper University Hospital,ANAPLASMA ANTIBODY, $210.00 
Cooper University Hospital,"ANAPLASMA DNA,QL PCR", $718.00 
Cooper University Hospital,ANDROSTENEDIONE, $481.00 
Cooper University Hospital,ANESTHESIA INJ TRIGEMINAL NERV, $767.00 
Cooper University Hospital,ANGEL CATHETER/419236," $9,450.00 "
Cooper University Hospital,ANGIO ADDL VESSEL AFTER BASIC," $7,334.00 "
Cooper University Hospital,ANGIO EXTREMITY BILAT," $8,786.00 "
Cooper University Hospital,ANGIO INTERNAL MAMMARY," $3,207.00 "
Cooper University Hospital,ANGIO LOWER EXTREM UNILATERAL," $9,655.00 "
Cooper University Hospital,ANGIO LUMBAR/INTERCOSTALS," $9,334.00 "
Cooper University Hospital,ANGIO PELVIC," $9,180.00 "
Cooper University Hospital,ANGIO VISCERAL +/-FLUSH AOGRAM," $9,411.00 "
Cooper University Hospital,"ANGIO, 1ST ORDER BELOW DIAPHRA"," $6,278.00 "
Cooper University Hospital,"ANGIO, 2ND ORDER-BELOW DIAPHRA"," $6,057.00 "
Cooper University Hospital,"ANGIO, 3RD ORDER-BELOW DIAPHRA"," $6,583.00 "
Cooper University Hospital,"ANGIO, EA ADD-BELOW DIAPHRAGM"," $2,631.00 "
Cooper University Hospital,"ANGIO,CARTD CRBL EA ADD"," $1,838.00 "
Cooper University Hospital,ANGIOSEAL- 6F/8F," $1,252.00 "
Cooper University Hospital,ANGIOTEN CONVERT ENZ, $281.00 
Cooper University Hospital,ANGIOTENSIN CONV ENZYME CSF, $281.00 
Cooper University Hospital,ANGRPH PULMONARY NONSLCTV CATH/VEN NJX RS&I," $2,901.00 "
Cooper University Hospital,ANKRD26 CNV DETECTION - PG, $155.00 
Cooper University Hospital,ANKRD26 SEQUENCING - PG, $155.00 
Cooper University Hospital,ANOSCOPY, $397.00 
Cooper University Hospital,ANOSCOPY LESION REMOVAL SNARE," $2,492.00 "
Cooper University Hospital,ANOSCOPY WITH ABLATION," $7,340.00 "
Cooper University Hospital,ANTI CCP, $293.00 
Cooper University Hospital,ANTI GLIADIN AB, $101.00 
Cooper University Hospital,ANTI HISTONE AG, $84.00 
Cooper University Hospital,ANTI INHIB COAG COMPLEX PER IU, $11.00 
Cooper University Hospital,ANTI LIVERKIDNEY MICROSOMAL AB, $248.00 
Cooper University Hospital,ANTI MITOCHONDRIAL AB EA*, $303.00 
Cooper University Hospital,ANTI NEUTRO CYTO ABS, $286.00 
Cooper University Hospital,ANTI NUCLEAR ANTIBODY, $244.00 
Cooper University Hospital,ANTI NUCLEAR ANTIBODY QUANT, $185.00 
Cooper University Hospital,ANTI STREPTOLYSIN O, $169.00 
Cooper University Hospital,ANTI THROMBIN III, $204.00 
Cooper University Hospital,ANTI THYROID PEROXIDASE AB, $110.00 
Cooper University Hospital,ANTIBIOTIC SCREENING AGAR *, $150.00 
Cooper University Hospital,ANTIBODY ELUTED, $260.00 
Cooper University Hospital,ANTIBODY IDENT. - ARC PROC, $593.00 
Cooper University Hospital,ANTIBODY IDENTIFICATION PANEL, $168.00 
Cooper University Hospital,ANTIBODY SCREEN RBC*, $223.00 
Cooper University Hospital,ANTIBODY VIRUS NOT ELSE SPECIF, $342.00 
Cooper University Hospital,ANTIDIURETIC HORMONE, $144.00 
Cooper University Hospital,ANTI-DNA ANTIBODY QUANT, $153.00 
Cooper University Hospital,ANTI-HMGCR AB, $518.00 
Cooper University Hospital,ANTI-MAG, $199.00 
Cooper University Hospital,ANTI-MULLERIAN HORMONE, $113.00 
Cooper University Hospital,ANTI-PLATELET AB, $944.00 
Cooper University Hospital,ANTITHROMBIN 3 AG, $51.00 
Cooper University Hospital,ANTITHYROGLOBIN AB, $186.00 
Cooper University Hospital,ANTI-VGKC ANTIBODY," $1,243.00 "
Cooper University Hospital,AORTIC VALVULOPLASTY," $5,836.00 "
Cooper University Hospital,APHERESIS PLASMA," $4,612.00 "
Cooper University Hospital,APHERESIS PLASMA LA," $4,612.00 "
Cooper University Hospital,APHERESIS WHITE CELLS," $4,010.00 "
Cooper University Hospital,APHERESIS WHITE CELLS LA," $4,612.00 "
Cooper University Hospital,"APHERESIS, RED BLOOD CELLS"," $3,690.00 "
Cooper University Hospital,"APHERESIS, RED BLOOD CELLS LA"," $3,690.00 "
Cooper University Hospital,APOLIPOPROTEIN, $55.00 
Cooper University Hospital,APP HOT/COLD PACKS, $109.00 
Cooper University Hospital,APPL CLUBFOOT CAST MOLDING/MANJ LONG/SHORT LEG, $547.00 
Cooper University Hospital,APPL HIP SPICA CAST ONE&ONE-HALF SPICA/BOTH LEGS," $1,065.00 "
Cooper University Hospital,APPL INTERDENTAL FIXATION DEVICE NON-FX/DISLC," $5,108.00 "
Cooper University Hospital,APPL LONG ARM SPLINT STATIC, $597.00 
Cooper University Hospital,APPL SPLINT SHORT ARM STATIC, $400.00 
Cooper University Hospital,APPLICATION CAST HAND & LOWER FOREARM GAUNTLET, $608.00 
Cooper University Hospital,APPLICATION CAST SHOULDER HAND LONG ARM," $1,065.00 "
Cooper University Hospital,"APPLICATION CAST, FINGER", $285.00 
Cooper University Hospital,APPLICATION FINGER SPLINT STATIC, $266.00 
Cooper University Hospital,APPLICATION HAND/FINGER STRAP, $337.00 
Cooper University Hospital,APPLICATION TOE STRAPPING, $112.00 
Cooper University Hospital,APPLY BONE FIXATION DEVICE," $7,719.00 "
Cooper University Hospital,APT DOWNEY FETAL HGB, $48.00 
Cooper University Hospital,"AQUAPORIN-4 AB,IGG,CBA"," $1,816.00 "
Cooper University Hospital,ARACHADONIC ACID*, $601.00 
Cooper University Hospital,ARG1 GENE ANALYSIS," $4,200.00 "
Cooper University Hospital,"ARSENIC, URINE", $285.00 
Cooper University Hospital,ART UPPER EXT UNILAT LIMIT, $687.00 
Cooper University Hospital,ARTERIAL PUNCTURE BLOOD, $349.00 
Cooper University Hospital,ARTHROCENT INTERMED JNT W/US, $850.00 
Cooper University Hospital,ARTHROCENT MAJOR JOINT W/US GU, $850.00 
Cooper University Hospital,ARTHROCENT SM JNT W/O US GUID, $850.00 
Cooper University Hospital,ARTHROCENT SM JNT W/US GU, $850.00 
Cooper University Hospital,ARTHROCENTESIS INTERMED JOINT, $854.00 
Cooper University Hospital,ARTHROCENTESIS MJR JOINT/BURSA, $854.00 
Cooper University Hospital,ARTHROGRAM ELBOW," $2,488.00 "
Cooper University Hospital,ARTHRT ACROMCLAV/STRNCLAV JT W/BX&/EXC CRTLG," $11,871.00 "
Cooper University Hospital,ARYSM VASC MALFRMJ IA EMBOLIZATION," $9,841.00 "
Cooper University Hospital,ASCENDING AO ANGIOGRAPHY, $328.00 
Cooper University Hospital,ASD CLOSURE PERCUTANEOUS," $47,749.00 "
Cooper University Hospital,ASP FLD PAN CYST MCR ONLY," $13,024.00 "
Cooper University Hospital,ASP/INJ RENAL PELVIS PERC," $4,653.00 "
Cooper University Hospital,ASPA(CANAVAN)GENE ANALYSIS, $840.00 
Cooper University Hospital,ASPERGILLIS ANTIGEN, $349.00 
Cooper University Hospital,ASPERGILLUS ABS, $379.00 
Cooper University Hospital,ASPIRATE PLEURA W/IMAGINIG," $2,045.00 "
Cooper University Hospital,ASPIRATION&/INJECTION GANGLION CYST ANY LOCATJ," $1,098.00 "
Cooper University Hospital,ASPIRIN 325MG TAB, $6.00 
Cooper University Hospital,ASPIRIN 81MG CHEWABLE TABLET, $6.00 
Cooper University Hospital,ASSMT & CARE PLN PT COG IMP, $307.00 
Cooper University Hospital,AST (SGOT), $38.00 
Cooper University Hospital,ATROPINE SUL 1MG/10ML JECT, $20.00 
Cooper University Hospital,ATTAIN SHEATH," $3,452.00 "
Cooper University Hospital,"AUDIOMETRY, AIR AND BONE", $614.00 
Cooper University Hospital,B HENSELAE IGG/IGM TITER, $74.00 
Cooper University Hospital,B12, $106.00 
Cooper University Hospital,BABESIA AB, $84.00 
Cooper University Hospital,BACTERIAL 16S RDNA SEQUENCING," $1,256.00 "
Cooper University Hospital,BACTERIAL DNA DETECTION 16SPCR, $339.00 
Cooper University Hospital,BACTICARD STREP ID, $42.00 
Cooper University Hospital,BAER STUDY COMPREHENSIVE," $1,241.00 "
Cooper University Hospital,BAL BRONCHOSCOPY LAVAGE," $4,350.00 "
Cooper University Hospital,BAL DILA URET STRIC W/IMA, $945.00 
Cooper University Hospital,BALLOON ACH MAPPING CATH 20MM," $3,780.00 "
Cooper University Hospital,BALLOON ANGIOSCULPT VAR SIZES," $3,360.00 "
Cooper University Hospital,BALLOON FOR LARIAT," $2,730.00 "
Cooper University Hospital,BAND TRANSRADIAL, $233.00 
Cooper University Hospital,BARBITURATES CONFIRMATION, $92.00 
Cooper University Hospital,BARD TRANSSEPTAL SHEATH (CHANN," $1,090.00 "
Cooper University Hospital,BARIUM ENEMA W/WO KUB," $2,458.00 "
Cooper University Hospital,BARIUM ENEMA/AIR CONTRAST," $2,742.00 "
Cooper University Hospital,"BARTONELLA DNA, PCR QL", $790.00 
Cooper University Hospital,BASIC DOSIMETRY CALCULATION, $732.00 
Cooper University Hospital,BASIC DOSIMETRY CALCULATION RP, $801.00 
Cooper University Hospital,BASIC METABOLIC CHEM PANEL, $60.00 
Cooper University Hospital,"B-CELLS, TOTAL", $63.00 
Cooper University Hospital,BCG PER INSTALL, $392.00 
Cooper University Hospital,BCKDHB(MAPLE SYRUP)GENE ANALYS, $840.00 
Cooper University Hospital,BCR/ABL1 MAJOR BREAKPNT QL/QT," $3,461.00 "
Cooper University Hospital,BCR/ABL1 MINOR BREAKPNT QL/QT, $744.00 
Cooper University Hospital,BEHAV/QUAL ANALYSIS VOICE/RESO, $495.00 
Cooper University Hospital,BENZOCAINE 20% SPRAY, $18.00 
Cooper University Hospital,BENZODIAZEPINE CONFIRMATION, $92.00 
Cooper University Hospital,BETA 2 GLYCOPROTEIN, $91.00 
Cooper University Hospital,BETA 2 MICROGLOBULIN, $220.00 
Cooper University Hospital,BETA LACTAMASE DISK, $35.00 
Cooper University Hospital,BETA STREP GPB SCREEN, $150.00 
Cooper University Hospital,BETA-2-TRANSFERRIN," $1,145.00 "
Cooper University Hospital,BETA-HYDROXYBUTYRATE QUANTITAT, $184.00 
Cooper University Hospital,BG CHEMSTRIP TEST, $41.00 
Cooper University Hospital,BILAT RIBS W CHEST MIN 4 VIEWS, $777.00 
Cooper University Hospital,BILATERAL RIBS 3 VIEWS, $632.00 
Cooper University Hospital,BILE ACID FRACTION, $131.00 
Cooper University Hospital,"BILE ACIDS, TOTAL", $53.00 
Cooper University Hospital,BILIARY DRAINAGE, $152.00 
Cooper University Hospital,"BILIRUBIN,DIRECT", $54.00 
Cooper University Hospital,"BILIRUBIN,TOTAL", $21.00 
Cooper University Hospital,BIOFEEDBACK PEINEAL MUSCLES, $189.00 
Cooper University Hospital,BIOPSY BREAST INCISIONAL," $9,824.00 "
Cooper University Hospital,BIOPSY BREAST PERC," $2,527.00 "
Cooper University Hospital,"BIOPSY BREAST,NEEDLE CORE"," $2,356.00 "
Cooper University Hospital,BIOPSY LYMPH NODE," $2,624.00 "
Cooper University Hospital,BIOPSY MUSCLE DEEP," $6,661.00 "
Cooper University Hospital,BIOPSY MUSCLE PERC NEEDLE," $4,438.00 "
Cooper University Hospital,BIOPSY NAIL UNIT SEPARATE PROCEDURE," $2,571.00 "
Cooper University Hospital,BIOPSY NEEDLE PLEURA," $3,807.00 "
Cooper University Hospital,"BIOPSY OF BREAST, NEEDLE CORE"," $2,356.00 "
Cooper University Hospital,BIOPSY OF LIP, $801.00 
Cooper University Hospital,BIOPSY OF PENIS," $5,430.00 "
Cooper University Hospital,BIOPSY SALIVARY GLAND NEEDLE," $2,429.00 "
Cooper University Hospital,BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN," $1,395.00 "
Cooper University Hospital,BIOPSY TONGUE ANT TWO THIRDS," $2,604.00 "
Cooper University Hospital,"BIOPSY,VESTIBULE OF MOUTH"," $1,720.00 "
Cooper University Hospital,"BIOTIDINASE, QUANT", $373.00 
Cooper University Hospital,BIOTINIDASE DEFICIENCY," $1,619.00 "
Cooper University Hospital,BIOTRONIK BIV ICD W REMOTE MON," $85,962.00 "
Cooper University Hospital,BIOTRONIK DUAL CHAMBER ICD," $69,278.00 "
Cooper University Hospital,BIOTRONIK DUAL CHAMBER PPG," $20,853.00 "
Cooper University Hospital,BIOTRONIK ICD LEADS," $20,853.00 "
Cooper University Hospital,BIOTRONIK PPM LEAD," $2,549.00 "
Cooper University Hospital,BIOTRONIK SINGLE CHAMBER ICD," $69,278.00 "
Cooper University Hospital,BIOTRONIK SINGLE CHAMBER PPG," $20,853.00 "
Cooper University Hospital,BIVALIRUDIN 1MG INJ*, $12.00 
Cooper University Hospital,BIVALIRUDIN 250MG/50ML IV DRIP," $2,629.00 "
Cooper University Hospital,BK VIRUS QT PCR, $302.00 
Cooper University Hospital,"BLADDER CANCER,FISH"," $1,435.00 "
Cooper University Hospital,BLADDER INST ANTICARCINOGENIC, $861.00 
Cooper University Hospital,BLADDER IRRIGATION, $789.00 
Cooper University Hospital,BLADE PLASMA PEAK," $1,298.00 "
Cooper University Hospital,BLASTOMYCES AB, $91.00 
Cooper University Hospital,"BLD GAS,MIXED VENOUS ARTERIAL", $406.00 
Cooper University Hospital,BLEPHAROTOMY DRAINAGE ABSCESS EYELID," $1,220.00 "
Cooper University Hospital,BLM (BLOOM) GENE ANALYSIS, $840.00 
Cooper University Hospital,BLOOD CRYPTOCCAL AG QUANT, $266.00 
Cooper University Hospital,BLOOD CULTURE, $204.00 
Cooper University Hospital,BLOOD DRAW CAPILLARY, $166.00 
Cooper University Hospital,BLOOD GAS W/DIRECT O2 SAT, $345.00 
Cooper University Hospital,BLOOD OCCULT STOOL, $40.00 
Cooper University Hospital,BLOOD OCCULT STOOL LM, $40.00 
Cooper University Hospital,"BLOOD TYPE AG DONOR,EACH", $230.00 
Cooper University Hospital,BLOOD TYPE-RH PHENOTYPE, $138.00 
Cooper University Hospital,BLOOD TYPING ABO*, $112.00 
Cooper University Hospital,BLOOD TYPING RBC AG AB, $406.00 
Cooper University Hospital,BLOOD TYPING RH*, $44.00 
Cooper University Hospital,BODY POS CURRENT STATUS, $1.00 
Cooper University Hospital,BODY POS D/C STATUS, $1.00 
Cooper University Hospital,BODY POS GOAL STATUS, $1.00 
Cooper University Hospital,BODY/BONE FULL," $2,077.00 "
Cooper University Hospital,BODY/BONE LIMITED," $1,898.00 "
Cooper University Hospital,BONE AGE STUDY, $183.00 
Cooper University Hospital,BONE CYST ASPIRATE/INJECT," $1,748.00 "
Cooper University Hospital,BONE IMAGING THREE PHASE," $1,431.00 "
Cooper University Hospital,BONE LENGTH STUDY, $281.00 
Cooper University Hospital,BONE MARROW ASP AFTER BIOPSY, $276.00 
Cooper University Hospital,BONE MARROW ASPIR BONE GRFG," $4,028.00 "
Cooper University Hospital,BONE MARROW ASPIRATION ON," $4,230.00 "
Cooper University Hospital,BONE MARROW ASPIRATION ONLY," $3,596.00 "
Cooper University Hospital,BONE MARROW BX NEEDLE/TROCAR," $5,398.00 "
Cooper University Hospital,BONE SURVEY LIMITED (METS), $376.00 
Cooper University Hospital,BOOSTRIX (TDAP)0.5ML 7YRS>, $165.00 
Cooper University Hospital,BORDETELLA HOMLESII BY PCR, $125.00 
Cooper University Hospital,BORDETELLA PARAPERTU/BRONCH PC, $125.00 
Cooper University Hospital,BORDETELLA PERTUSSIS, $635.00 
Cooper University Hospital,BORDETELLA PERTUSSIS BY PCR, $125.00 
Cooper University Hospital,BOSTON SCIENTIFIC BIV ICD W/RE," $97,650.00 "
Cooper University Hospital,BOSTON SCIENTIFIC BIV PPG," $36,703.00 "
Cooper University Hospital,BOSTON SCIENTIFIC DC ICD," $80,850.00 "
Cooper University Hospital,BOSTON SCIENTIFIC DC PPG," $21,000.00 "
Cooper University Hospital,BOSTON SCIENTIFIC ICD LEADS," $18,537.00 "
Cooper University Hospital,BOSTON SCIENTIFIC LV (CS) LEAD," $9,269.00 "
Cooper University Hospital,BOSTON SCIENTIFIC SC ICD," $69,510.00 "
Cooper University Hospital,BOSTON SCIENTIFIC SC PPG," $19,904.00 "
Cooper University Hospital,BRACHYTHERAPY ISODOSE 11 >," $1,628.00 "
Cooper University Hospital,BRACHYTHERAPY ISODOSE 1-4, $584.00 
Cooper University Hospital,BRACHYTHERAPY ISODOSE 1-4 VRT, $616.00 
Cooper University Hospital,BRACHYTHERAPY ISODOSE 5-10," $1,712.00 "
Cooper University Hospital,BRAF GENE ANALYSIS," $1,411.00 "
Cooper University Hospital,"BRAF, MELANOMA"," $1,850.00 "
Cooper University Hospital,BRAIN IMAGE 4 VIEWS W VASC FLW," $4,764.00 "
Cooper University Hospital,"BRCA1/BRCA2 GENE ANALYSIS,COMM"," $4,200.00 "
Cooper University Hospital,"BRCA1/BRCA2 GENE ANALYSIS,UNCO"," $4,200.00 "
Cooper University Hospital,BRNCHSC W/THER ASPIR TRACHEOBRNCL TREE 1ST," $5,383.00 "
Cooper University Hospital,BRNCHSC W/TRACHEAL/BRONCHIAL DILAT/CLSD RDCTJ FX," $11,743.00 "
Cooper University Hospital,BRONCH EBUS SAMP 1-2 NODES," $7,602.00 "
Cooper University Hospital,BRONCH EBUS SAMP 3 OR MORE NOD," $8,352.00 "
Cooper University Hospital,BRONCH EBUSW/TRANSENDO, $318.00 
Cooper University Hospital,BRONCHIAL BIOPSY," $3,186.00 "
Cooper University Hospital,BRONCHIAL VALVE ADDL INSERT," $6,513.00 "
