Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
386,INFLAMMATORY BOWEL DISEASE W CC,"14,669"
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"57,446"
948,SIGNS  SYMPTOMS W/O MCC,"19,227"
885,PSYCHOSES,"13,496"
920,COMPLICATIONS OF TREATMENT W CC,"23,065"
86,"TRAUMATIC STUPOR  COMA, COMA <1 HR W CC","22,283"
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,"87,838"
153,OTITIS MEDIA  URI W/O MCC,"16,049"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"42,781"
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"84,737"
74,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,"21,909"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"55,525"
981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"90,732"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"68,883"
445,DISORDERS OF THE BILIARY TRACT W CC,"30,259"
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,"21,471"
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,"30,704"
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","41,068"
293,HEART FAILURE  SHOCK W/O CC/MCC,"16,543"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC","49,142"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"31,528"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"33,837"
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"90,996"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"34,862"
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC,"33,753"
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"115,190"
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"41,293"
480,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"68,690"
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"100,026"
375,DIGESTIVE MALIGNANCY W CC,"21,880"
558,"TENDONITIS, MYOSITIS  BURSITIS W/O MCC","21,841"
253,OTHER VASCULAR PROCEDURES W CC,"65,265"
767,VAGINAL DELIVERY W STERILIZATION /OR DC,"15,646"
669,TRANSURETHRAL PROCEDURES W CC,"28,438"
602,CELLULITIS W MCC,"24,044"
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"104,116"
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC,"96,285"
982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"37,582"
908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"53,130"
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"76,600"
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT, METABOL DIS W CC","49,289"
180,RESPIRATORY NEOPLASMS W MCC,"25,976"
862,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W MCC,"30,178"
947,SIGNS  SYMPTOMS W MCC,"24,904"
813,COAGULATION DISORDERS,"23,666"
444,DISORDERS OF THE BILIARY TRACT W MCC,"44,386"
863,POSTOPERATIVE  POST-TRAUMATIC INFECTIONS W/O MCC,"14,417"
269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC,"102,531"
203,BRONCHITIS  ASTHMA W/O CC/MCC,"15,885"
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"89,948"
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"19,920"
536,FRACTURES OF HIP  PELVIS W/O MCC,"18,548"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"64,818"
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC,"22,290"
181,RESPIRATORY NEOPLASMS W CC,"22,093"
554,BONE DISEASES  ARTHROPATHIES W/O MCC,"17,384"
184,MAJOR CHEST TRAUMA W CC,"22,365"
200,PNEUMOTHORAX W CC,"23,664"
776,POSTPARTUM  POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"10,723"
916,ALLERGIC REACTIONS W/O MCC,"12,861"
580,"OTHER SKIN, SUBCUT TISS  BREAST PROC W CC","21,071"
684,RENAL FAILURE W/O CC/MCC,"11,739"
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"98,068"
987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"79,457"
792,PREMATURITY W/O MAJOR PROBLEMS,"3,853"
379,G.I. HEMORRHAGE W/O CC/MCC,"12,469"
644,ENDOCRINE DISORDERS W CC,"16,669"
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"31,908"
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","18,271"
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"16,100"
204,RESPIRATORY SIGNS  SYMPTOMS,"14,269"
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"24,827"
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"29,218"
551,MEDICAL BACK PROBLEMS W MCC,"36,857"
639,DIABETES W/O CC/MCC,"11,197"
254,OTHER VASCULAR PROCEDURES W/O CC/MCC,"70,121"
517,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O CC/MCC,"31,057"
388,G.I. OBSTRUCTION W MCC,"20,514"
464,"WND DEBRID  SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","53,990"
186,PLEURAL EFFUSION W MCC,"32,962"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"59,407"
83,"TRAUMATIC STUPOR  COMA, COMA >1 HR W CC","26,962"
369,MAJOR ESOPHAGEAL DISORDERS W CC,"24,420"
919,COMPLICATIONS OF TREATMENT W MCC,"23,164"
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"22,985"
605,"TRAUMA TO THE SKIN, SUBCUT TISS  BREAST W/O MCC","9,968"
249,PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,"54,840"
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"34,676"
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"16,309"
84,"TRAUMATIC STUPOR  COMA, COMA >1 HR W/O CC/MCC","15,967"
187,PLEURAL EFFUSION W CC,"22,895"
264,OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,"46,846"
643,ENDOCRINE DISORDERS W MCC,"38,737"
