Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Insert nontunnel/PICC CV Cath 5 & >,UHHS RMC,16355,RBMC Clin Dec Obs,Tech,"2,687.00"
Insert/placemnt flow direct cath monitor,UHHS RMC,9160,RBMC Clin Dec Obs,Tech,"4,349.00"
IV hydration each additional hour,UHHS RMC,17693,RBMC Clin Dec Obs,Tech,218
IV Hydration Initial 31 min to 90 minutes,UHHS RMC,15751,RBMC Clin Dec Obs,Tech,982
IV infusion for therapy prophylaxis or diagnosis (specify su,UHHS RMC,11343,RBMC Clin Dec Obs,Tech,572
IV push ea sequential of new drug,UHHS RMC,17683,RBMC Clin Dec Obs,Tech,263
IV push ea sequential of same drug,UHHS RMC,17685,RBMC Clin Dec Obs,Tech,265
IV push single or initial drug,UHHS RMC,17682,RBMC Clin Dec Obs,Tech,276
IV therapy addl sequential drug up to 1 hr,UHHS RMC,17688,RBMC Clin Dec Obs,Tech,518
IV therapy ea add hr up to 8,UHHS RMC,11345,RBMC Clin Dec Obs,Tech,255
IV tx concurrent infusion,UHHS RMC,17691,RBMC Clin Dec Obs,Tech,647
Med/Surg Observation 1st hour,UHHS RMC,12852,RBMC Clin Dec Obs,Tech,889
Miscellaneous bedside procedure,UHHS RMC,18082,RBMC Clin Dec Obs,Tech,"1,119.00"
Spinal puncture lumbar diag,UHHS RMC,8477,RBMC Clin Dec Obs,Tech,"1,265.00"
Thoracentesis for aspiration,UHHS RMC,7628,RBMC Clin Dec Obs,Tech,"2,075.00"
Thoracentesis with insert tube (pneumothor,UHHS RMC,30360,RBMC Clin Dec Obs,Tech,"1,411.00"
Transfusion bld products on nursing unit,UHHS RMC,8373,RBMC Clin Dec Obs,Tech,884
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS RMC,8317,RBMC Clin Dec Obs,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) w imag,UHHS RMC,33816,RBMC ICU,Tech,"1,451.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS RMC,33815,RBMC ICU,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS RMC,9362,RBMC ICU,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS RMC,9363,RBMC ICU,Tech,45
Administration of Hep B nursing units,UHHS RMC,33570,RBMC ICU,Tech,40
Bladder indwelling catheter insert foley,UHHS RMC,9472,RBMC ICU,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS RMC,22195,RBMC ICU,Tech,409
Bladder straight catheterization for residual urine,UHHS RMC,21233,RBMC ICU,Tech,230
Bone marrow aspiration only,UHHS RMC,8400,RBMC ICU,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS RMC,8401,RBMC ICU,Tech,907
Cardioversion External OR/Nurse Unit,UHHS RMC,15668,RBMC ICU,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS RMC,53667,RBMC ICU,Tech,"3,292.00"
Direct Refer to Observation,UHHS RMC,39794,RBMC ICU,Tech,546
Extend Recovery in ICU 1st hr,UHHS RMC,18076,RBMC ICU,Tech,"1,938.00"
ICU Observation 1st hour,UHHS RMC,12850,RBMC ICU,Tech,"1,875.00"
ICU Room Rate 201 202 208 210,UHHS RMC,12846,RBMC ICU,Tech,"3,749.00"
ICU Stepdown / Tele Room Rate 206,UHHS RMC,12847,RBMC ICU,Tech,"2,662.00"
Inject IM or subcut any drug,UHHS RMC,11346,RBMC ICU,Tech,161
Insert nontunnel/PICC CV Cath 5 & >,UHHS RMC,16355,RBMC ICU,Tech,"2,687.00"
IV hydration each additional hour,UHHS RMC,17693,RBMC ICU,Tech,218
IV Hydration Initial 31 min to 90 minutes,UHHS RMC,15751,RBMC ICU,Tech,982
IV infusion for therapy prophylaxis or diagnosis (specify su,UHHS RMC,11343,RBMC ICU,Tech,572
IV push ea sequential of new drug,UHHS RMC,17683,RBMC ICU,Tech,263
IV push ea sequential of same drug,UHHS RMC,17685,RBMC ICU,Tech,265
IV push single or initial drug,UHHS RMC,17682,RBMC ICU,Tech,276
IV therapy addl sequential drug up to 1 hr,UHHS RMC,17688,RBMC ICU,Tech,518
IV therapy ea add hr up to 8,UHHS RMC,11345,RBMC ICU,Tech,255
IV tx concurrent infusion,UHHS RMC,17691,RBMC ICU,Tech,647
Miscellaneous bedside procedure,UHHS RMC,18082,RBMC ICU,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS RMC,12845,RBMC ICU,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS RMC,8477,RBMC ICU,Tech,"1,265.00"
Thoracentesis for aspiration,UHHS RMC,7628,RBMC ICU,Tech,"2,075.00"
Thoracentesis with insert tube (pneumothor,UHHS RMC,30360,RBMC ICU,Tech,"1,411.00"
Transfusion bld products on nursing unit,UHHS RMC,8373,RBMC ICU,Tech,884
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS RMC,8317,RBMC ICU,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) w imag,UHHS RMC,33816,RBMC Observation,Tech,"1,451.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS RMC,33815,RBMC Observation,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS RMC,9362,RBMC Observation,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS RMC,9363,RBMC Observation,Tech,45
Administration of Hep B nursing units,UHHS RMC,33570,RBMC Observation,Tech,40
Bladder indwelling catheter insert foley,UHHS RMC,9472,RBMC Observation,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS RMC,22195,RBMC Observation,Tech,409
Bladder straight catheterization for residual urine,UHHS RMC,21233,RBMC Observation,Tech,230
Bone marrow aspiration only,UHHS RMC,8400,RBMC Observation,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS RMC,8401,RBMC Observation,Tech,907
Cardioversion External OR/Nurse Unit,UHHS RMC,15668,RBMC Observation,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS RMC,53667,RBMC Observation,Tech,"3,292.00"
Direct Refer to Observation,UHHS RMC,39794,RBMC Observation,Tech,546
Extend Recovery on Nurs Unit 1st hr,UHHS RMC,18074,RBMC Observation,Tech,925
Inject IM or subcut any drug,UHHS RMC,11346,RBMC Observation,Tech,161
Insert nontunnel/PICC CV Cath 5 & >,UHHS RMC,16355,RBMC Observation,Tech,"2,687.00"
IV hydration each additional hour,UHHS RMC,17693,RBMC Observation,Tech,218
IV Hydration Initial 31 min to 90 minutes,UHHS RMC,15751,RBMC Observation,Tech,982
IV infusion for therapy prophylaxis or diagnosis (specify su,UHHS RMC,11343,RBMC Observation,Tech,572
IV push ea sequential of new drug,UHHS RMC,17683,RBMC Observation,Tech,263
IV push ea sequential of same drug,UHHS RMC,17685,RBMC Observation,Tech,265
IV push single or initial drug,UHHS RMC,17682,RBMC Observation,Tech,276
IV therapy addl sequential drug up to 1 hr,UHHS RMC,17688,RBMC Observation,Tech,518
IV therapy ea add hr up to 8,UHHS RMC,11345,RBMC Observation,Tech,255
IV tx concurrent infusion,UHHS RMC,17691,RBMC Observation,Tech,647
Med/Surg Observation 1st hour,UHHS RMC,12852,RBMC Observation,Tech,889
Miscellaneous bedside procedure,UHHS RMC,18082,RBMC Observation,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS RMC,12845,RBMC Observation,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS RMC,8477,RBMC Observation,Tech,"1,265.00"
Thoracentesis for aspiration,UHHS RMC,7628,RBMC Observation,Tech,"2,075.00"
Thoracentesis with insert tube (pneumothor,UHHS RMC,30360,RBMC Observation,Tech,"1,411.00"
Transfusion bld products on nursing unit,UHHS RMC,8373,RBMC Observation,Tech,884
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS RMC,8317,RBMC Observation,Tech,"1,410.00"
Allergy Testing (perq & IC),UHHS RMC,39555,RMC Allergy Immuno,Tech,70
Allergy Testing (perq & IC) venom,UHHS RMC,41453,RMC Allergy Immuno,Tech,87
Ingestion Challenge Test additional 60 minutes,UHHS RMC,40537,RMC Allergy Immuno,Tech,312
Ingestion Challenge Test initial,UHHS RMC,40536,RMC Allergy Immuno,Tech,624
Intradermal testing per allergen,UHHS RMC,41452,RMC Allergy Immuno,Tech,78
Nasal Endo Dx Uni/Bilat,UHHS RMC,22475,RMC Allergy Immuno,Tech,827
Nitric Oxide Expired gas determination,UHHS RMC,36114,RMC Allergy Immuno,Tech,218
OP new patient visit level 1,UHHS RMC,9319,RMC Allergy Immuno,Tech,108
OP new patient visit level 2,UHHS RMC,9320,RMC Allergy Immuno,Tech,112
OP new patient visit level 3,UHHS RMC,9321,RMC Allergy Immuno,Tech,122
OP new patient visit level 4,UHHS RMC,11487,RMC Allergy Immuno,Tech,138
OP new patient visit level 5,UHHS RMC,11491,RMC Allergy Immuno,Tech,154
OP Visit Est Pt Level 1,UHHS RMC,9324,RMC Allergy Immuno,Tech,104
OP Visit Est Pt Level 2,UHHS RMC,9325,RMC Allergy Immuno,Tech,120
OP Visit Est Pt Level 3,UHHS RMC,9326,RMC Allergy Immuno,Tech,122
OP Visit Est Pt Level 4,UHHS RMC,9327,RMC Allergy Immuno,Tech,138
OP Visit Est Pt Level 5,UHHS RMC,9328,RMC Allergy Immuno,Tech,154
Percutaneous tests scratch puncture prick  each test,UHHS RMC,41451,RMC Allergy Immuno,Tech,96
Pre//Post Spirometry,UHHS RMC,9243,RMC Allergy Immuno,Tech,672
Spirometry/vital capacity,UHHS RMC,9242,RMC Allergy Immuno,Tech,362
Anesthesia Cosmetic Tech Per Minute,UHHS RMC,55105,RMC Anesthesia Svcs,Tech,20
Anesthesia Tech Base Rate,UHHS RMC,13218,RMC Anesthesia Svcs,Tech,280
Anesthesia Tech Per Minute,UHHS RMC,13219,RMC Anesthesia Svcs,Tech,20
General anesthesia < 5yrs 1st 15 minutes,UHHS RMC,42542,RMC Anesthesia Svcs,Tech,910
General anesthesia > 5yrs 1st 15 minutes,UHHS RMC,42543,RMC Anesthesia Svcs,Tech,648
General anesthesia each addl 15 minutes,UHHS RMC,42544,RMC Anesthesia Svcs,Tech,69
Mod sedat different prov  from proc init 15 min < 5 yrs old,UHHS RMC,42501,RMC Anesthesia Svcs,Tech,648
Mod sedat different prov  from proc init 15 min >5 yrs old,UHHS RMC,42502,RMC Anesthesia Svcs,Tech,660
Mod sedat same prov  perf proc ea addl 15 min,UHHS RMC,42500,RMC Anesthesia Svcs,Tech,70
Mod sedat same prov perf proc init 15 min < 5 yrs old,UHHS RMC,42498,RMC Anesthesia Svcs,Tech,910
Mod sedat same prov perf proc init 15 min > 5 yrs old,UHHS RMC,42499,RMC Anesthesia Svcs,Tech,660
11g Bevel needle,UHHS RMC,30604,RMC Angiography,Tech,151
11g Diamond point needle,UHHS RMC,30605,RMC Angiography,Tech,151
3D rendering w indi workst,UHHS RMC,13316,RMC Angiography,Tech,884
8 or 11g Cavity spinewald,UHHS RMC,30607,RMC Angiography,Tech,"6,540.00"
Abbbott EXPRO Elite Snare,UHHS RMC,27453,RMC Angiography,Tech,"1,023.00"
Abbott Multi-Link Coronary Stent,UHHS RMC,27251,RMC Angiography,Tech,"4,075.00"
Abbott Perclose 1267303,UHHS RMC,29040,RMC Angiography,Tech,610
Abbott RX Accunet 2 Recovery Cath,UHHS RMC,27248,RMC Angiography,Tech,"4,224.00"
Abbott RX Accunet Embolic Sys,UHHS RMC,27249,RMC Angiography,Tech,"4,224.00"
Abbott RXAcculink Carotid Stent Sys,UHHS RMC,27224,RMC Angiography,Tech,"6,132.00"
Abbott RXAcculink Carotid Stent Sys,UHHS RMC,27211,RMC Angiography,Tech,"7,358.00"
Abbott Vascular Closer System,UHHS RMC,27518,RMC Angiography,Tech,541
Abbott Vascular Viatrac 14 Plus Balloon Catheter 1008193xx,UHHS RMC,27493,RMC Angiography,Tech,555
Abbott Viatrac 14 Plus Balloon Cath,UHHS RMC,27476,RMC Angiography,Tech,750
Abbott Viatrac 14 Plus Balloon Cath,UHHS RMC,27562,RMC Angiography,Tech,327
Abbott Viatrac Balloon Catheter 100819540,UHHS RMC,55368,RMC Angiography,Tech,555
Abdom Paracentesis(diag/ther) w imag,UHHS RMC,33816,RMC Angiography,Tech,"1,451.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS RMC,33815,RMC Angiography,Tech,"1,420.00"
Abscess / drainage tube change,UHHS RMC,21,RMC Angiography,Tech,"3,614.00"
Abscess fistula sinus trct S&I,UHHS RMC,9828,RMC Angiography,Tech,935
Aces Clos (5-6)F Mynx Clos Dev,UHHS RMC,28891,RMC Angiography,Tech,627
Acrylic resin with tracers,UHHS RMC,30606,RMC Angiography,Tech,669
Action Prod Donut Head Pad,UHHS RMC,27289,RMC Angiography,Tech,"3,296.00"
AGA Medical Amplatzer Vascular Plug,UHHS RMC,27381,RMC Angiography,Tech,"2,180.00"
ALN Femoral Vena Cava Fltr/Intro Kit,UHHS RMC,27338,RMC Angiography,Tech,"3,078.00"
Angio brachial retrograde S&I,UHHS RMC,9738,RMC Angiography,Tech,"4,990.00"
Angio extremity bilateral,UHHS RMC,9750,RMC Angiography,Tech,"5,199.00"
Angio extremity unilateral,UHHS RMC,9747,RMC Angiography,Tech,"5,199.00"
Angio pulmonary nonselective,UHHS RMC,9763,RMC Angiography,Tech,"3,376.00"
Angio pulmonary unilateral,UHHS RMC,9761,RMC Angiography,Tech,"6,350.00"
Angio select each addl vessel,UHHS RMC,9765,RMC Angiography,Tech,"3,441.00"
Angio Via Exist Cath Fllwupthx,UHHS RMC,9797,RMC Angiography,Tech,"2,380.00"
Angio visceral selective,UHHS RMC,9756,RMC Angiography,Tech,"5,104.00"
Angiodyn Benephit Inf Cath,UHHS RMC,28935,RMC Angiography,Tech,"4,448.00"
AngioDynamics Abscession Drain Cath,UHHS RMC,27625,RMC Angiography,Tech,181
AngioDynamics Abscession Drain Cath,UHHS RMC,27604,RMC Angiography,Tech,200
AngioDynamics Accu-Vu Catheter,UHHS RMC,27708,RMC Angiography,Tech,22
AngioDynamics AngioFlush III,UHHS RMC,27619,RMC Angiography,Tech,197
AngioDynamics Injector/Infusion Sys,UHHS RMC,27497,RMC Angiography,Tech,663
AngioDynamics Profiler PTA Cath,UHHS RMC,27524,RMC Angiography,Tech,505
AngioDynamics UniFuse Infusion Cath,UHHS RMC,27577,RMC Angiography,Tech,333
AngioDynamics UniFuse Infusion Cath,UHHS RMC,27571,RMC Angiography,Tech,287
AngioDynamics WorkHorseII Cath,UHHS RMC,27551,RMC Angiography,Tech,362
AngioDynamics WorkHrs II PTA,UHHS RMC,27550,RMC Angiography,Tech,369
Angiography Int Mammary  S&I,UHHS RMC,9764,RMC Angiography,Tech,"4,449.00"
Angiography Pelvic S&I,UHHS RMC,9759,RMC Angiography,Tech,"4,755.00"
Angiography pulm bilat select radio S&I,UHHS RMC,9762,RMC Angiography,Tech,"6,784.00"
Angiography Spinal  Selective,UHHS RMC,9746,RMC Angiography,Tech,"4,976.00"
Angiogrphy Adrenl Bilat Slcs&I,UHHS RMC,9758,RMC Angiography,Tech,"4,326.00"
Angiogrphy Adrenl Unilt Slts&I,UHHS RMC,9757,RMC Angiography,Tech,"2,888.00"
Angiotec Option Vena Cava Filt,UHHS RMC,28886,RMC Angiography,Tech,"2,998.00"
Angiotech Co-Axial Skater Introd Sys,UHHS RMC,27603,RMC Angiography,Tech,273
AngioTech Standard EN Snare,UHHS RMC,27479,RMC Angiography,Tech,941
AngioTech Standard EN Snare,UHHS RMC,27452,RMC Angiography,Tech,"1,023.00"
Angiotech V-Stick Access St 5F,UHHS RMC,28885,RMC Angiography,Tech,82
Aortogram abdominal serialogram,UHHS RMC,9732,RMC Angiography,Tech,"3,864.00"
Aortogram throacic serialorgram,UHHS RMC,9731,RMC Angiography,Tech,"5,984.00"
Aortography abdominal bilateral lower extremity,UHHS RMC,9734,RMC Angiography,Tech,"7,625.00"
Applied Med Gastric Tube Peg GJ141545,UHHS RMC,55360,RMC Angiography,Tech,"1,200.00"
Argon Xcleaner Device 700009XT,UHHS RMC,55353,RMC Angiography,Tech,"1,785.00"
Arrow Catheter CDC22123X1A,UHHS RMC,55106,RMC Angiography,Tech,439
Arrow Nextstep Hemo 19-31c,UHHS RMC,28894,RMC Angiography,Tech,"1,088.00"
Arrow Perc Sheath Introducer Set,UHHS RMC,27702,RMC Angiography,Tech,42
Arrow Radiopaque Perc Sheath Introd,UHHS RMC,27701,RMC Angiography,Tech,46
Arrow Sheath Introducer Set,UHHS RMC,27621,RMC Angiography,Tech,211
Arrow Trerotola PTD set PT65509HFC,UHHS RMC,16226,RMC Angiography,Tech,"1,954.00"
ArthroCare 11g needle,UHHS RMC,28468,RMC Angiography,Tech,151
ArthroCare 8g access needle pack,UHHS RMC,28471,RMC Angiography,Tech,469
ArthroCare acrylic resin tracers,UHHS RMC,28467,RMC Angiography,Tech,669
ArthroCare cavity spinewand (11g/8g),UHHS RMC,28470,RMC Angiography,Tech,"6,540.00"
ArthroCare contour kit,UHHS RMC,28469,RMC Angiography,Tech,"2,453.00"
ArthroCare core assure biopsy kit,UHHS RMC,28473,RMC Angiography,Tech,304
ArthroCare EZ Flow cement delivery,UHHS RMC,28466,RMC Angiography,Tech,807
ArthroCare system 2000 with cables,UHHS RMC,28472,RMC Angiography,Tech,"20,438.00"
Asahi Guidewire Chiaki WAIBCKI200BA,UHHS RMC,55369,RMC Angiography,Tech,"1,350.00"
Aspir bladder w/insert suprapubic cath,UHHS RMC,21226,RMC Angiography,Tech,"3,492.00"
Aspir Inj Renal Cyst Pelv Perc,UHHS RMC,608,RMC Angiography,Tech,"2,652.00"
Bacchus Trellis-8 Periph Infus Sys,UHHS RMC,27232,RMC Angiography,Tech,"5,340.00"
Bard Atlas PTA Dilatation Catheter,UHHS RMC,27469,RMC Angiography,Tech,832
Bard Cath Cent Tr Ven Hick 10f,UHHS RMC,28936,RMC Angiography,Tech,673
Bard Cath Hick Sing Lum peds,UHHS RMC,28937,RMC Angiography,Tech,204
Bard Catheter Slimport 8fr 1608062,UHHS RMC,55108,RMC Angiography,Tech,"1,485.00"
Bard Catheter Tunnel DL 700615,UHHS RMC,55107,RMC Angiography,Tech,720
Bard Centurion PTA Dilat Cath,UHHS RMC,27522,RMC Angiography,Tech,511
Bard Conquest Balloon Catheter,UHHS RMC,27508,RMC Angiography,Tech,631
Bard Conquest Balloon Catheter,UHHS RMC,27505,RMC Angiography,Tech,631
Bard Dorado PTA Balln 5-9x4x80,UHHS RMC,28896,RMC Angiography,Tech,555
Bard Endovascular Stent Graft,UHHS RMC,27205,RMC Angiography,Tech,"7,617.00"
Bard Guidewire Input TS Introducer,UHHS RMC,27709,RMC Angiography,Tech,21
Bard Lutonix Catheter LX3575940V,UHHS RMC,55335,RMC Angiography,Tech,"5,100.00"
Bard Opti-Plast XL PTA Dil Cath,UHHS RMC,27501,RMC Angiography,Tech,641
Bard Opti-Plast X-Thin PTA Cath,UHHS RMC,27538,RMC Angiography,Tech,453
Bard Opti-Plast X-Thin PTA Cath,UHHS RMC,27534,RMC Angiography,Tech,478
Bard PTA Balloon Dilatation Cath,UHHS RMC,27511,RMC Angiography,Tech,560
Bard RadPICC-RadSTIC Microintroducer,UHHS RMC,27620,RMC Angiography,Tech,176
Bard RadSTIC Microintroducer,UHHS RMC,27559,RMC Angiography,Tech,327
Bard Rosenblatt Perc Introducer,UHHS RMC,27385,RMC Angiography,Tech,"2,140.00"
Bard Snare Retrival w/Nitinol SRK30,UHHS RMC,55336,RMC Angiography,Tech,840
Bard Tracheobronchial Stent Graft,UHHS RMC,27225,RMC Angiography,Tech,"5,995.00"
Bard Tracheobronchial Stent Graft,UHHS RMC,27219,RMC Angiography,Tech,"6,664.00"
Bard TriFusion Central Venous Cath,UHHS RMC,27420,RMC Angiography,Tech,"1,432.00"
Bard Vena Cava Femoral Deliv Kit,UHHS RMC,27322,RMC Angiography,Tech,"2,998.00"
Bard Vena Cava Filter Delivery Kit,UHHS RMC,27367,RMC Angiography,Tech,"2,522.00"
Bard Vena Cava Filter Delivery Kit,UHHS RMC,27363,RMC Angiography,Tech,"2,562.00"
Bard Vena Cava Filter Delivery Sys,UHHS RMC,27320,RMC Angiography,Tech,"2,998.00"
Bd Cath Kit Hemo Hick Dble Lmn,UHHS RMC,28938,RMC Angiography,Tech,524
Bilry Endoscpy via t tube w dil wo stent,UHHS RMC,9470,RMC Angiography,Tech,"2,782.00"
Bilry Endoscpy Via T-Tube;W/Di,UHHS RMC,9471,RMC Angiography,Tech,"4,993.00"
Biopsy Bone Trocar/Needle Deep,UHHS RMC,878,RMC Angiography,Tech,"2,912.00"
Biopsy Of Liver  Needle Prctn,UHHS RMC,8441,RMC Angiography,Tech,"2,085.00"
Biosphere Medical Embogold Syringe,UHHS RMC,27663,RMC Angiography,Tech,124
Biosphere Medical Embogold Syringe,UHHS RMC,27662,RMC Angiography,Tech,124
Biosphere Pre-Filled Embo Particles,UHHS RMC,27605,RMC Angiography,Tech,218
Bost Sci 3.5x20mm Neuroform3 Microdelivery Stent SNF33520,UHHS RMC,27193,RMC Angiography,Tech,"15,669.00"
Bost Sci Fathom Wire 180cm,UHHS RMC,53423,RMC Angiography,Tech,"1,020.00"
Bost Sci Hydrophil Nitinol Stent,UHHS RMC,27178,RMC Angiography,Tech,"19,062.00"
Bost Sci Hydrophilic Ntinol Stent WS035015-WS040015,UHHS RMC,27185,RMC Angiography,Tech,"16,555.00"
Bost Sci Nephrouretrl Percuflex Stent,UHHS RMC,27558,RMC Angiography,Tech,288
Bost Sci Nephrourtrl Percuflex Stent Intern/Extern NonCoated,UHHS RMC,27564,RMC Angiography,Tech,322
Bost Sci Neuroform2 Microdeliv Stent,UHHS RMC,27190,RMC Angiography,Tech,"16,862.00"
Bost Sci Neuroform2 Microdelivery Stent S235xxx,UHHS RMC,27196,RMC Angiography,Tech,"16,209.00"
Bost Sci Neuroform3 Microdeliv Stent,UHHS RMC,27191,RMC Angiography,Tech,"17,628.00"
Bost Sci Neuroform3 Microdelivery,UHHS RMC,27713,RMC Angiography,Tech,"10,873.00"
Bost Sci Neuroform3 Microdelivery Stent SNF3xxxx,UHHS RMC,27192,RMC Angiography,Tech,"11,445.00"
Bost Sci Neuroform3 Stent System,UHHS RMC,27189,RMC Angiography,Tech,"13,612.00"
Bost Sci NIR ELITE Stent Delivery,UHHS RMC,27260,RMC Angiography,Tech,"3,802.00"
Bost Sci Percuflex Uretrl Stent w/Glidex coat 24-550/24-552,UHHS RMC,27541,RMC Angiography,Tech,435
Bost Sci Percuflx Urtrl Stent w/Glidex coat 24553/24557,UHHS RMC,27542,RMC Angiography,Tech,434
Bost Sci Peripheral Cutting Balloon SM M001PCBO4015140F0,UHHS RMC,55370,RMC Angiography,Tech,"2,598.00"
Bost Sci Ureteral Stent w/Glidex,UHHS RMC,27539,RMC Angiography,Tech,440
Boston Scientific 2.5x15mm Neuroform,UHHS RMC,27195,RMC Angiography,Tech,"10,355.00"
Boston Scientific 2D Detach Coil,UHHS RMC,27416,RMC Angiography,Tech,"1,463.00"
