Enc - MS DRG,Enc - MS DRG Desc,Sum of Average Charge
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"22,082"
293,HEART FAILURE  SHOCK W/O CC/MCC,"11,162"
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,"17,276"
552,MEDICAL BACK PROBLEMS W/O MCC,"18,385"
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"102,020"
304,HYPERTENSION W MCC,"24,789"
445,DISORDERS OF THE BILIARY TRACT W CC,"15,637"
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"24,706"
617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT, METABOL DIS W CC","52,793"
854,INFECTIOUS  PARASITIC DISEASES W O.R. PROCEDURE W CC,"39,728"
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"37,394"
299,PERIPHERAL VASCULAR DISORDERS W MCC,"26,383"
388,G.I. OBSTRUCTION W MCC,"23,665"
558,"TENDONITIS, MYOSITIS  BURSITIS W/O MCC","11,994"
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC,"15,449"
884,ORGANIC DISTURBANCES  INTELLECTUAL DISABILITY,"21,022"
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,"110,689"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"42,426"
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"23,009"
948,SIGNS  SYMPTOMS W/O MCC,"18,672"
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"67,027"
684,RENAL FAILURE W/O CC/MCC,"13,931"
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,"58,198"
4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH  NECK W/O MAJ O.R.","189,870"
813,COAGULATION DISORDERS,"23,732"
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,"24,228"
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","11,409"
