Charge Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 2 Surgical,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 2 Surgical,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 2 Surgical,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 2 Surgical,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 2 Surgical,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 2 Surgical,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 2 Surgical,Tech,289
Extend Recovery on Nurs Unit 1st hr,UHHS PMC,18074,PMC 2 Surgical,Tech,925
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 2 Surgical,Tech,"2,687.00"
Med/Surg Observation 1st hour,UHHS PMC,12852,PMC 2 Surgical,Tech,889
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 2 Surgical,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS PMC,12845,PMC 2 Surgical,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 2 Surgical,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 2 Surgical,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 3 Medical,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 3 Medical,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 3 Medical,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 3 Medical,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 3 Medical,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 3 Medical,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 3 Medical,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 3 Medical,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 3 Medical,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 3 Medical,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 3 Medical,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 3 Medical,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 3 Medical,Tech,289
Extend Recovery on Nurs Unit 1st hr,UHHS PMC,18074,PMC 3 Medical,Tech,925
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 3 Medical,Tech,"2,687.00"
Med/Surg Observation 1st hour,UHHS PMC,12852,PMC 3 Medical,Tech,889
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 3 Medical,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS PMC,12845,PMC 3 Medical,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 3 Medical,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 3 Medical,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 4 Rehab,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 4 Rehab,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 4 Rehab,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 4 Rehab,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 4 Rehab,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 4 Rehab,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 4 Rehab,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 4 Rehab,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 4 Rehab,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 4 Rehab,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 4 Rehab,Tech,"3,292.00"
EKG 12 lead tracing,UHHS PMC,9142,PMC 4 Rehab,Tech,289
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 4 Rehab,Tech,"2,687.00"
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 4 Rehab,Tech,"1,119.00"
Semi Private Room Rate Rehab 128,UHHS PMC,55625,PMC 4 Rehab,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 4 Rehab,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 4 Rehab,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 5 Geri Psych,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 5 Geri Psych,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 5 Geri Psych,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 5 Geri Psych,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 5 Geri Psych,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 5 Geri Psych,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 5 Geri Psych,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 5 Geri Psych,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 5 Geri Psych,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 5 Geri Psych,Tech,"2,413.00"
EKG 12 lead tracing,UHHS PMC,9142,PMC 5 Geri Psych,Tech,289
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 5 Geri Psych,Tech,"2,687.00"
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 5 Geri Psych,Tech,"1,119.00"
Semi Private Room Rate 124,UHHS PMC,17199,PMC 5 Geri Psych,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 5 Geri Psych,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 5 Geri Psych,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 6 Medical,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 6 Medical,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 6 Medical,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 6 Medical,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 6 Medical,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 6 Medical,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 6 Medical,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 6 Medical,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 6 Medical,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 6 Medical,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 6 Medical,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 6 Medical,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 6 Medical,Tech,289
Extend Recovery on Nurs Unit 1st hr,UHHS PMC,18074,PMC 6 Medical,Tech,925
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 6 Medical,Tech,"2,687.00"
Med/Surg Observation 1st hour,UHHS PMC,12852,PMC 6 Medical,Tech,889
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 6 Medical,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS PMC,12845,PMC 6 Medical,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 6 Medical,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 6 Medical,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 7 Surgical,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 7 Surgical,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 7 Surgical,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 7 Surgical,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 7 Surgical,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 7 Surgical,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 7 Surgical,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 7 Surgical,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 7 Surgical,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 7 Surgical,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 7 Surgical,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 7 Surgical,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 7 Surgical,Tech,289
Extend Recovery on Nurs Unit 1st hr,UHHS PMC,18074,PMC 7 Surgical,Tech,925
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 7 Surgical,Tech,"2,687.00"
Med/Surg Observation 1st hour,UHHS PMC,12852,PMC 7 Surgical,Tech,889
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 7 Surgical,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS PMC,12845,PMC 7 Surgical,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 7 Surgical,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 7 Surgical,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 8 ICU Step Down,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 8 ICU Step Down,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 8 ICU Step Down,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 8 ICU Step Down,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 8 ICU Step Down,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 8 ICU Step Down,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 8 ICU Step Down,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 8 ICU Step Down,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 8 ICU Step Down,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 8 ICU Step Down,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 8 ICU Step Down,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 8 ICU Step Down,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 8 ICU Step Down,Tech,289
Extend Recovery on Nurs Unit 1st hr,UHHS PMC,18074,PMC 8 ICU Step Down,Tech,925
ICU Stepdown / Tele Room Rate 206,UHHS PMC,12847,PMC 8 ICU Step Down,Tech,"2,662.00"
ICU Stepdown/Telemetry Observ 1st hr,UHHS PMC,31834,PMC 8 ICU Step Down,Tech,"1,331.00"
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 8 ICU Step Down,Tech,"2,687.00"
Insert/placemnt flow direct cath monitor,UHHS PMC,9160,PMC 8 ICU Step Down,Tech,"4,349.00"
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 8 ICU Step Down,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS PMC,12845,PMC 8 ICU Step Down,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 8 ICU Step Down,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 8 ICU Step Down,Tech,"1,410.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS PMC,33815,PMC 9 Card Step Down,Tech,"1,420.00"
Admin influenza virus vaccine Nurse Unit,UHHS PMC,9362,PMC 9 Card Step Down,Tech,45
Admin pneumococcal vaccine Nurse Unit,UHHS PMC,9363,PMC 9 Card Step Down,Tech,45
Administration of Hep B nursing units,UHHS PMC,33570,PMC 9 Card Step Down,Tech,40
Bladder indwelling catheter insert foley,UHHS PMC,9472,PMC 9 Card Step Down,Tech,306
Bladder irrigation simple/lavage/instillation,UHHS PMC,22195,PMC 9 Card Step Down,Tech,409
Bladder straight catheterization for residual urine,UHHS PMC,21233,PMC 9 Card Step Down,Tech,230
Bone marrow aspiration only,UHHS PMC,8400,PMC 9 Card Step Down,Tech,"1,073.00"
Bone marrow biopsy needle or trocar,UHHS PMC,8401,PMC 9 Card Step Down,Tech,907
Cardioversion External OR/Nurse Unit,UHHS PMC,15668,PMC 9 Card Step Down,Tech,"2,413.00"
Diagnostic bone marrow biopsy(ies) and aspirations,UHHS PMC,53667,PMC 9 Card Step Down,Tech,"3,292.00"
Direct Refer to Observation,UHHS PMC,39794,PMC 9 Card Step Down,Tech,546
EKG 12 lead tracing,UHHS PMC,9142,PMC 9 Card Step Down,Tech,289
Extend Recovery on Nurs Unit 1st hr,UHHS PMC,18074,PMC 9 Card Step Down,Tech,925
ICU Stepdown / Tele Room Rate 206,UHHS PMC,12847,PMC 9 Card Step Down,Tech,"2,662.00"
ICU Stepdown/Telemetry Observ 1st hr,UHHS PMC,31834,PMC 9 Card Step Down,Tech,"1,331.00"
Insert nontunnel/PICC CV Cath 5 & >,UHHS PMC,16355,PMC 9 Card Step Down,Tech,"2,687.00"
Insert/placemnt flow direct cath monitor,UHHS PMC,9160,PMC 9 Card Step Down,Tech,"4,349.00"
Miscellaneous bedside procedure,UHHS PMC,18082,PMC 9 Card Step Down,Tech,"1,119.00"
Semi Private Room Rate 121,UHHS PMC,12845,PMC 9 Card Step Down,Tech,"1,778.00"
Spinal puncture lumbar diag,UHHS PMC,8477,PMC 9 Card Step Down,Tech,"1,265.00"
Tube thoracostomy (eg for abscess  hemothorax  empyema),UHHS PMC,8317,PMC 9 Card Step Down,Tech,"1,410.00"
Anesthesia Cosmetic Tech Per Minute,UHHS PMC,55105,PMC Anesthesia Svcs,Tech,20
Anesthesia Tech Base Rate,UHHS PMC,13218,PMC Anesthesia Svcs,Tech,280
Anesthesia Tech Per Minute,UHHS PMC,13219,PMC Anesthesia Svcs,Tech,20
General anesthesia < 5yrs 1st 15 minutes,UHHS PMC,42542,PMC Anesthesia Svcs,Tech,910
General anesthesia > 5yrs 1st 15 minutes,UHHS PMC,42543,PMC Anesthesia Svcs,Tech,648
General anesthesia each addl 15 minutes,UHHS PMC,42544,PMC Anesthesia Svcs,Tech,69
Mod sedat different prov  from proc ea addl 15 min,UHHS PMC,42503,PMC Anesthesia Svcs,Tech,69
Mod sedat different prov  from proc init 15 min < 5 yrs old,UHHS PMC,42501,PMC Anesthesia Svcs,Tech,648
Mod sedat different prov  from proc init 15 min >5 yrs old,UHHS PMC,42502,PMC Anesthesia Svcs,Tech,660
Mod sedat same prov  perf proc ea addl 15 min,UHHS PMC,42500,PMC Anesthesia Svcs,Tech,70
Mod sedat same prov perf proc init 15 min < 5 yrs old,UHHS PMC,42498,PMC Anesthesia Svcs,Tech,910
Mod sedat same prov perf proc init 15 min > 5 yrs old,UHHS PMC,42499,PMC Anesthesia Svcs,Tech,660
Moderate sedation gastrointestinal endoscopic init 15min,UHHS PMC,42521,PMC Anesthesia Svcs,Tech,660
TAHS Ascope 3 Slim Flexible Bronchoscope 402001000,UHHS PMC,40947,PMC Anesthesia Svcs,Tech,849
Acoustic reflex testing,UHHS PMC,21991,PMC Audiology Svcs,Tech,149
Acoustic reflex testing Pt Liability,UHHS PMC,28835,PMC Audiology Svcs,Tech,186
Auditory evoke potential complete,UHHS PMC,21976,PMC Audiology Svcs,Tech,988
Auditory evoke potential limit,UHHS PMC,21977,PMC Audiology Svcs,Tech,648
Aural rehab limited 30 minutes,UHHS PMC,22050,PMC Audiology Svcs,Tech,361
Battery Hearing Aid each,UHHS PMC,33646,PMC Audiology Svcs,Tech,3
Battery Zinc Air for use w/coch impl ea,UHHS PMC,33647,PMC Audiology Svcs,Tech,3
Caloric vestibular test w recording bilat bithermal,UHHS PMC,40488,PMC Audiology Svcs,Tech,"1,061.00"
Caloric vestibular test w recording bilat monothermal,UHHS PMC,40489,PMC Audiology Svcs,Tech,530
Cochlear implant supplies,UHHS PMC,22109,PMC Audiology Svcs,Tech,51
Complete acoustic immittance testing,UHHS PMC,28782,PMC Audiology Svcs,Tech,149
Complete acoustic immittance testing,UHHS PMC,28783,PMC Audiology Svcs,Tech,149
Complete acoustic immittance testing w/ decay  bill to patie,UHHS PMC,28785,PMC Audiology Svcs,Tech,149
Complete acoustic immittance testing w/decaay,UHHS PMC,28784,PMC Audiology Svcs,Tech,149
Complete audio eval nc,UHHS PMC,21999,PMC Audiology Svcs,Tech,292
Complete audion evaluation,UHHS PMC,21973,PMC Audiology Svcs,Tech,292
Complete vestibular evaluation,UHHS PMC,28781,PMC Audiology Svcs,Tech,"1,422.00"
Comprehensive audio eval Pt Liability,UHHS PMC,22094,PMC Audiology Svcs,Tech,345
Comprehensive audio evaluation,UHHS PMC,21972,PMC Audiology Svcs,Tech,345
Conformity Evaluation each,UHHS PMC,42292,PMC Audiology Svcs,Tech,83
Counseling consultation,UHHS PMC,21975,PMC Audiology Svcs,Tech,159
Counseling consultation Pt Liability,UHHS PMC,22000,PMC Audiology Svcs,Tech,159
CP810 Speech Processor replacemnt,UHHS PMC,33644,PMC Audiology Svcs,Tech,"24,000.00"
Custom ear mold/insert not disposable,UHHS PMC,22045,PMC Audiology Svcs,Tech,90
Custom ear mold/insert not dsps Pt Liability,UHHS PMC,21997,PMC Audiology Svcs,Tech,90
Diag analysis w/program auditory brainstem impl per hr,UHHS PMC,38158,PMC Audiology Svcs,Tech,424
Electroacoustic eval binaur Pt Liability,UHHS PMC,21998,PMC Audiology Svcs,Tech,120
Electroacoustic eval binaural,UHHS PMC,22048,PMC Audiology Svcs,Tech,120
Electroacoustic eval monaural,UHHS PMC,22101,PMC Audiology Svcs,Tech,70
Electroacoustic evaluation mono Pt Liability,UHHS PMC,21994,PMC Audiology Svcs,Tech,70
Electrode stilm intra op,UHHS PMC,22127,PMC Audiology Svcs,Tech,"1,201.00"
Eval cochlear implnt w prog >/= 7 yrs,UHHS PMC,22052,PMC Audiology Svcs,Tech,976
Eval of auditory rehabilitation status 1st hour,UHHS PMC,33240,PMC Audiology Svcs,Tech,250
Eval of auditory rehabilitation status each addl 15 min,UHHS PMC,33241,PMC Audiology Svcs,Tech,66
Evokd otoacous emis comprehen,UHHS PMC,22107,PMC Audiology Svcs,Tech,661
Evokd otoacous emissns ltd,UHHS PMC,22138,PMC Audiology Svcs,Tech,186
F/U coch reprog < 7 yrs 30 min,UHHS PMC,22118,PMC Audiology Svcs,Tech,217
F/U coch reprog < 7 yrs 60 min,UHHS PMC,22126,PMC Audiology Svcs,Tech,435
F/U coch reprog < 7 yrs 90min,UHHS PMC,22124,PMC Audiology Svcs,Tech,652
F/U coch reprog >/= 7 yrs 120min,UHHS PMC,22122,PMC Audiology Svcs,Tech,869
F/U coch reprog >/= 7 yrs 30min,UHHS PMC,22123,PMC Audiology Svcs,Tech,217
F/U coch reprog >/= 7yrs 60min,UHHS PMC,22133,PMC Audiology Svcs,Tech,435
F/U coch reprog >/= 7yrs 90min,UHHS PMC,22131,PMC Audiology Svcs,Tech,652
F/U cochlear reprog < 7yrs 120 min,UHHS PMC,22053,PMC Audiology Svcs,Tech,869
Filtered speech test,UHHS PMC,28841,PMC Audiology Svcs,Tech,270
Fitting/orientation/checking of hearing aid - 30 min,UHHS PMC,42288,PMC Audiology Svcs,Tech,83
Freedom Speech Processor replacemnt,UHHS PMC,33645,PMC Audiology Svcs,Tech,"24,000.00"
Handling Audiology,UHHS PMC,22041,PMC Audiology Svcs,Tech,42
Hearing aid check binaural,UHHS PMC,22044,PMC Audiology Svcs,Tech,159
Hearing aid check binaural Pt Liability,UHHS PMC,21995,PMC Audiology Svcs,Tech,159
Hearing aid check monaural,UHHS PMC,21986,PMC Audiology Svcs,Tech,159
Hearing aid check monaural Pt Liability,UHHS PMC,22001,PMC Audiology Svcs,Tech,159
Hearing aid measure binaural,UHHS PMC,22093,PMC Audiology Svcs,Tech,159
Hearing aid measure binaural Pt Liability,UHHS PMC,28843,PMC Audiology Svcs,Tech,159
Hearing aid measure monaura Pt Liability,UHHS PMC,22114,PMC Audiology Svcs,Tech,159
Hearing aid measure monaural,UHHS PMC,21985,PMC Audiology Svcs,Tech,159
Hearing aid repair Baha/specialty,UHHS PMC,28806,PMC Audiology Svcs,Tech,"1,600.00"
Hearing aid repair basic,UHHS PMC,22104,PMC Audiology Svcs,Tech,345
Hearing aid repair basic Pt Liability,UHHS PMC,21996,PMC Audiology Svcs,Tech,345
Hearing aid repair digital,UHHS PMC,21993,PMC Audiology Svcs,Tech,447
Hearing aid repair digital Pt Liability,UHHS PMC,28842,PMC Audiology Svcs,Tech,398
Hearing aid repair programmable,UHHS PMC,22105,PMC Audiology Svcs,Tech,424
Hearing aid repair programming Pt Liability,UHHS PMC,22002,PMC Audiology Svcs,Tech,424
Hearing and dig dinaural bte,UHHS PMC,22132,PMC Audiology Svcs,Tech,"1,652.00"
Immittance,UHHS PMC,21990,PMC Audiology Svcs,Tech,127
Immittance Pt Liability,UHHS PMC,28834,PMC Audiology Svcs,Tech,186
Intraop neurophys test OR monitoring per 15 min,UHHS PMC,35802,PMC Audiology Svcs,Tech,"3,501.00"
Limited central aud battery,UHHS PMC,22100,PMC Audiology Svcs,Tech,541
Musician Plus each,UHHS PMC,42291,PMC Audiology Svcs,Tech,100
Optokenetic nystagmus test,UHHS PMC,21983,PMC Audiology Svcs,Tech,292
Oscillating tracking test,UHHS PMC,21984,PMC Audiology Svcs,Tech,292
Positional nystagmus test,UHHS PMC,21981,PMC Audiology Svcs,Tech,773
Program/dispense fee bicros,UHHS PMC,22099,PMC Audiology Svcs,Tech,350
